bugName	pval	pPost	sPost	Adjustedpval	AdjustedpPost
Faecalibacterium	7.30787020464252e-06	7.30787020465313e-06	-1.40881946476236	0.0055174420045051	0.00551744200451311
Blautia	4.68197811704929e-05	4.68197811705041e-05	-1.14622512465504	0.00812732697442531	0.00812732697441943
Acetoanaerobium	5.52216013669504e-05	5.52216013669688e-05	0.455850732228197	0.00812732697442531	0.00812732697441943
Longibaculum	5.55607203255315e-05	5.55607203255541e-05	-0.988272889066381	0.00812732697442531	0.00812732697441943
Lactobacillus	6.36908684646942e-05	6.36908684646889e-05	-0.747266811116387	0.00812732697442531	0.00812732697441943
Collinsella	6.45880289358303e-05	6.45880289357836e-05	-1.01005405534602	0.00812732697442531	0.00812732697441943
Clostridium	0.000149110348609316	0.000149110348609327	-0.549886396872802	0.0160826161714334	0.0160826161714346
Mobiluncus	0.000282651766673747	0.00028265176667376	0.903189512481689	0.0243927173378442	0.0243927173378396
Jonquetella	0.000290774113961056	0.000290774113961001	0.935718237232718	0.0243927173378442	0.0243927173378396
Megamonas	0.000367251213198028	0.000367251213198102	-1.17161599713701	0.0277274665964511	0.0277274665964567
Lachnoclostridium	0.000489418183075463	0.000489418183075527	-0.8759070546543	0.0335918843838159	0.0335918843838202
Veillonella	0.000940954497943625	0.00094095449794361	-0.891021056197486	0.0530503423913096	0.0530503423913129
Lachnospira	0.00096206839767532	0.000962068397675324	-0.878662770162752	0.0530503423913096	0.0530503423913129
Oscillibacter	0.000983714958249449	0.000983714958249511	-0.79621200808775	0.0530503423913096	0.0530503423913129
Anaerobutyricum	0.00133417133828184	0.00133417133828183	-0.799301601052768	0.0671532906935194	0.0671532906935187
Ruminococcus	0.00151111669574011	0.00151111669574009	-0.787274909307407	0.0712639842670701	0.0712639842670705
Cloacibacillus	0.00160461951329827	0.00160461951329828	0.659285613636127	0.0712639842670701	0.0712639842670705
Phascolarctobacterium	0.00172620663236722	0.00172620663236725	-0.79818836855273	0.0724047781909585	0.0724047781909596
