bugName	pval	pPost	sPost	Adjustedpval	AdjustedpPost
Synergistales	9.51499863852678e-05	9.51499863852137e-05	0.993960062248184	0.0142724979577902	0.0142724979577821
Actinomycetales	0.000374161835358766	0.000374161835358779	0.665930072844291	0.0280621376519075	0.0280621376519084
Acidaminococcales	0.000726470988268169	0.000726470988268201	-0.86577484480866	0.0288222165796465	0.0288222165796454
Clostridiales	0.000768592442123905	0.000768592442123877	-0.617984962810238	0.0288222165796465	0.0288222165796454
Selenomonadales	0.00221743624138548	0.00221743624138551	-0.835444707957476	0.0665230872415645	0.0665230872415653
Methanobacteriales	0.00453213240212524	0.00453213240212527	0.309539470548152	0.113303310053131	0.113303310053132
Eggerthellales	0.00695528954624236	0.00695528954624239	-0.410503876676848	0.118368968151236	0.118368968151237
Petrotogales	0.00735938134089009	0.00735938134089014	0.119676887121248	0.118368968151236	0.118368968151237
Bifidobacteriales	0.00827321988069563	0.00827321988069558	-0.57933811942358	0.118368968151236	0.118368968151237
Pasteurellales	0.00855261445302036	0.00855261445302033	-0.860925086060771	0.118368968151236	0.118368968151237
Burkholderiales	0.0086803909977573	0.00868039099775735	-0.598345493964065	0.118368968151236	0.118368968151237
Flavobacteriales	0.0120748863752054	0.0120748863752054	0.587068617336359	0.150936079690067	0.150936079690068
Egibacterales	0.0136245133336341	0.0136245133336341	0.181189811882532	0.157205923080394	0.157205923080393
Methanosarcinales	0.0156796393124177	0.0156796393124176	0.198943829309285	0.167996135490189	0.167996135490189
Desulfurellales	0.0175222638169398	0.0175222638169398	0.198533813209473	0.175222638169398	0.175222638169398
Endomicrobiales	0.019239198071525	0.019239198071525	0.265873108062681	0.180367481920547	0.180367481920547
Aeromonadales	0.0208149873324741	0.0208149873324741	-0.4608271772831	0.183661652933595	0.183661652933595
Methanomassiliicoccales	0.0300338527526773	0.0300338527526773	0.179361918705533	0.250282106272311	0.250282106272311
Frankiales	0.0369393394622204	0.0369393394622203	-0.439024724849203	0.291626364175424	0.291626364175423
Cardiobacteriales	0.0431985362163514	0.0431985362163515	0.0629757025101156	0.323989021622635	0.323989021622636
Acidothermales	0.0541362910496154	0.0541362910496154	0.225404534340367	0.386687793211538	0.386687793211539
Candidatus Brocadiales	0.0618711611812137	0.0618711611812137	0.133801870519378	0.421848826235548	0.421848826235548
Marinilabiliales	0.0836778324383372	0.0836778324383371	0.224221518793957	0.537177319279635	0.537177319279635
Enterobacterales	0.0859483710847415	0.0859483710847415	-0.488214022429143	0.537177319279635	0.537177319279635
Thermodesulfobacteriales	0.0970517365595348	0.0970517365595348	0.192485815379373	0.580597886480294	0.580597886480294
Legionellales	0.106707059150483	0.106707059150483	0.299648854860092	0.580597886480294	0.580597886480294
Entomoplasmatales	0.107430169980142	0.107430169980142	-0.186231434105629	0.580597886480294	0.580597886480294
Deinococcales	0.108378272142988	0.108378272142988	0.170972570315426	0.580597886480294	0.580597886480294
Sphaerobacterales	0.129701950297358	0.129701950297358	0.18164891196983	0.667895987630807	0.667895987630807
Acidobacteriales	0.135874771269305	0.135874771269305	0.286664889010082	0.667895987630807	0.667895987630807
Bacteriovoracales	0.144357394522658	0.144357394522658	0.166891382105934	0.667895987630807	0.667895987630807
Oscillatoriales	0.147860472578865	0.147860472578865	0.241803601959385	0.667895987630807	0.667895987630807
Bacteroidales	0.149597941864269	0.14959794186427	0.126475201631346	0.667895987630807	0.667895987630807
Acidithiobacillales	0.151389757196316	0.151389757196316	0.163695573099589	0.667895987630807	0.667895987630807
Vibrionales	0.158927318724811	0.158927318724811	-0.21914708235353	0.67741172660872	0.67741172660872
Kosmotogales	0.162578814386093	0.162578814386093	0.144218284913465	0.67741172660872	0.67741172660872
Thermales	0.167867287587605	0.167867287587605	-0.177705693967128	0.68054305778759	0.68054305778759
Geodermatophilales	0.173706088804363	0.173706088804363	-0.0822768671268179	0.685681929490906	0.685681929490906
Aquificales	0.185176788827583	0.185176788827583	0.0897145256928503	0.700357721257628	0.700357721257628
Parachlamydiales	0.186762059002034	0.186762059002034	0.128602803708161	0.700357721257628	0.700357721257628
Orbales	0.20268080699481	0.20268080699481	-0.142012512591746	0.722554961463472	0.722554961463472
Nitrososphaerales	0.204336200666657	0.204336200666657	-0.134639501210992	0.722554961463472	0.722554961463472
Euzebyales	0.208190489584947	0.208190489584947	0.181212695110887	0.722554961463472	0.722554961463472
Bradymonadales	0.211949455362619	0.211949455362619	0.132992118301139	0.722554961463472	0.722554961463472
