bugName	pval	pPost	sPost	Adjustedpval	AdjustedpPost
Faecalibacterium prausnitzii	1.11615333838744e-05	1.11615333838715e-05	-1.38413009026601	0.0110722411168034	0.0110722411168005
Collinsella aerofaciens	5.54616474012226e-05	5.54616474012126e-05	-1.02330285848091	0.0200685982872552	0.0200685982872643
Acetoanaerobium sticklandii	6.06913254654895e-05	6.06913254655169e-05	0.443417407666606	0.0200685982872552	0.0200685982872643
Longibaculum sp. KGMB06250	9.50085133059053e-05	9.50085133058976e-05	-0.973321147052315	0.0235621112998645	0.0235621112998626
Phocaeicola vulgatus	0.000208791428180977	0.000208791428181025	-1.21633458214823	0.035121820676108	0.0351218206761021
Jonquetella anthropi	0.000212430366992589	0.000212430366992553	0.94620023935761	0.035121820676108	0.0351218206761021
Mobiluncus curtisii	0.000373870554256639	0.000373870554256678	0.880354186478235	0.0529827985460837	0.0529827985460893
Megamonas funiformis	0.00050132122004598	0.000501321220046019	-1.13930340528669	0.0621638312857016	0.0621638312857064
Olsenella uli	0.000778389505170729	0.000778389505170666	0.459039886563475	0.0857958210143737	0.0857958210143667
Lachnospira eligens	0.000914927573053115	0.000914927573053057	-0.891694988067531	0.090760815246869	0.0907608152468632
Anaerobutyricum hallii	0.00161193735813769	0.00161193735813771	-0.780653088239314	0.121885640976958	0.121885640976958
Phascolarctobacterium faecium	0.00169931413767033	0.00169931413767034	-0.811658190368735	0.121885640976958	0.121885640976958
Intestinimonas butyriciproducens	0.00172949223546559	0.00172949223546558	-0.731298882160162	0.121885640976958	0.121885640976958
Veillonella parvula	0.00174265759541503	0.00174265759541504	-0.816147409678099	0.121885640976958	0.121885640976958
Bacteroides uniformis	0.00199101988045136	0.00199101988045143	-0.753735809633207	0.121885640976958	0.121885640976958
Pseudobutyrivibrio xylanivorans	0.00202412310271627	0.00202412310271634	-0.941291672517353	0.121885640976958	0.121885640976958
Ruthenibacterium lactatiformans	0.00209580861010061	0.00209580861010069	-0.572658386105827	0.121885640976958	0.121885640976958
Blautia producta	0.00221163461450125	0.00221163461450125	-0.545377509514785	0.121885640976958	0.121885640976958
Cloacibacillus porcorum	0.0023447229896113	0.0023447229896113	0.642987525497842	0.122419221352338	0.122419221352337
Petrimonas mucosa	0.00253193317093436	0.00253193317093434	0.816278952781276	0.125583885278344	0.125583885278343
Prevotella fusca	0.00283458539482195	0.0028345853948219	0.979207936264193	0.133900414841113	0.133900414841111
Actinotignum schaalii	0.00303534899335178	0.0030353489933518	0.493897229252248	0.136866645518408	0.136866645518408
Alistipes shahii	0.00380188713827811	0.00380188713827805	-0.676662282094389	0.163977045268343	0.16397704526834
Anaerotignum propionicum	0.00439633391664618	0.00439633391664616	-0.698563996364257	0.181715135221375	0.181715135221374
[Eubacterium] cellulosolvens	0.00463599375559798	0.00463599375559805	-0.474748511066519	0.183956232222128	0.18395623222213
Schaalia meyeri	0.00627970093197872	0.0062797009319787	0.464931974776701	0.238830823499968	0.238830823499969
Massilistercora timonensis	0.00669396995687577	0.00669396995687573	-0.54810695602226	0.238830823499968	0.238830823499969
Oscillibacter valericigenes	0.00717390065034607	0.00717390065034607	-0.667766117652346	0.238830823499968	0.238830823499969
Hirschia baltica	0.00741058034986042	0.00741058034986043	0.179462857412439	0.238830823499968	0.238830823499969
Galbibacter sp. BG1	0.00785548687059423	0.00785548687059431	0.332942683393989	0.238830823499968	0.238830823499969
Klebsiella variicola	0.00790980776695971	0.00790980776695976	-0.192030772575999	0.238830823499968	0.238830823499969
Permianibacter aggregans	0.00792399478859673	0.0079239947885968	0.112935678355151	0.238830823499968	0.238830823499969
Corynebacterium genitalium	0.00794497699143037	0.00794497699143042	0.0848526039549201	0.238830823499968	0.238830823499969
Alistipes finegoldii	0.0083892292915454	0.00838922929154541	-0.545162178991594	0.240583535114822	0.240583535114822
Anaerococcus prevotii	0.00892583575626049	0.00892583575626054	-0.688537954585834	0.240583535114822	0.240583535114822
Pedobacter sp. G11	0.00893845300194329	0.00893845300194331	0.265690052736889	0.240583535114822	0.240583535114822
Tropheryma whipplei	0.00899557199981693	0.00899557199981686	0.321822892344748	0.240583535114822	0.240583535114822
Lactobacillus delbrueckii	0.00960908265328708	0.00960908265328705	-0.225077778381584	0.240583535114822	0.240583535114822
Alistipes dispar	0.00972942647033492	0.00972942647033492	-0.404770010043098	0.240583535114822	0.240583535114822
Campylobacter sputorum	0.00986583726974177	0.00986583726974169	0.129032517686894	0.240583535114822	0.240583535114822
Anaerostipes hadrus	0.00994347272147955	0.00994347272147955	-0.534437915332764	0.240583535114822	0.240583535114822
Alkaliphilus metalliredigens	0.0105983543309009	0.0105983543309009	0.252976716547694	0.250323035625089	0.250323035625089
Bacillus halotolerans	0.0114208058274963	0.0114208058274962	0.191551242615074	0.255167600816199	0.255167600816199
Olsenella sp. LZLJ-2	0.0116829004928372	0.0116829004928372	0.183892851065708	0.255167600816199	0.255167600816199
Bifidobacterium longum	0.0117064156086031	0.0117064156086032	-0.508118108901522	0.255167600816199	0.255167600816199
Pseudomonas sp. CC6-YY-74	0.011832368586235	0.011832368586235	0.226040911981816	0.255167600816199	0.255167600816199
Haemophilus parainfluenzae	0.0125212180794343	0.0125212180794343	-0.679485947376065	0.264277624144656	0.264277624144656
Geosporobacter ferrireducens	0.0131278295787738	0.0131278295787738	0.115951140104548	0.269579145035173	0.269579145035172
Erysipelothrix larvae	0.0136148789941795	0.0136148789941794	0.214179337285937	0.269579145035173	0.269579145035172
Petrocella atlantisensis	0.0137630470674776	0.0137630470674776	-0.582625680189293	0.269579145035173	0.269579145035172
Flavonifractor plautii	0.0138594116903163	0.0138594116903163	-0.464591097145047	0.269579145035173	0.269579145035172
Egibacter rhizosphaerae	0.0146276762655799	0.0146276762655799	0.182813218197164	0.279051054912602	0.279051054912601
Halobacteroides halobius	0.0149127932350066	0.0149127932350067	0.178751296414633	0.279122469606161	0.279122469606162
Alistipes onderdonkii	0.0159738387440189	0.0159738387440189	-0.603259980563082	0.283606869007767	0.283606869007766
Candidatus Endomicrobium trichonymphae	0.0162544910126692	0.0162544910126692	0.267544818388443	0.283606869007767	0.283606869007766
Tissierellia sp. JN-28	0.0165555445625705	0.0165555445625705	0.151667978604629	0.283606869007767	0.283606869007766
Paenibacillus sp. URB8-2	0.0168288075997365	0.0168288075997366	-0.140218571644081	0.283606869007767	0.283606869007766
Pseudomonas sp. BJP69	0.0171096061377474	0.0171096061377474	0.278518831454087	0.283606869007767	0.283606869007766
Acinetobacter sp. WCHAc010034	0.0172872522356029	0.0172872522356028	0.292336258553105	0.283606869007767	0.283606869007766
Candidatus Reidiella endopervernicosa	0.0174388746740615	0.0174388746740615	0.146085813499579	0.283606869007767	0.283606869007766
Bacteroides sp. HF-5141	0.0174772702726559	0.0174772702726559	-0.501093507677118	0.283606869007767	0.283606869007766
Wolbachia pipientis	0.0180325187306497	0.0180325187306497	0.161392627893765	0.283606869007767	0.283606869007766
Proteiniphilum saccharofermentans	0.0182246510291537	0.0182246510291536	0.338295407290754	0.283606869007767	0.283606869007766
Blautia sp. SC05B48	0.0187758505857794	0.0187758505857793	-0.608272113042269	0.283606869007767	0.283606869007766
Syntrophothermus lipocalidus	0.0188436808010938	0.0188436808010938	0.272362799595752	0.283606869007767	0.283606869007766
Enterococcus faecalis	0.0190893131521758	0.0190893131521758	0.318502553880919	0.283606869007767	0.283606869007766
Actinomyces sp. ZJ34	0.0194022017144637	0.0194022017144638	0.337232421422774	0.283606869007767	0.283606869007766
Sutterella faecalis	0.0195091134581451	0.019509113458145	-0.557286503119657	0.283606869007767	0.283606869007766
Flammeovirga pectinis	0.0198319073462203	0.0198319073462203	0.328651113454927	0.283606869007767	0.283606869007766
Candidatus Filomicrobium marinum	0.020242821403033	0.0202428214030329	0.349722543750915	0.283606869007767	0.283606869007766
Halothermothrix orenii	0.0208027957727883	0.0208027957727884	0.194364876996683	0.283606869007767	0.283606869007766
Roseburia intestinalis	0.0215527185377092	0.0215527185377092	-0.654101232934574	0.283606869007767	0.283606869007766
Schaalia cardiffensis	0.0217632340436795	0.0217632340436796	0.36176170845178	0.283606869007767	0.283606869007766
Chromobacterium sp. Rain0013	0.0218293868645203	0.0218293868645204	0.0652888731991366	0.283606869007767	0.283606869007766
Winogradskyella forsetii	0.0218394572836854	0.0218394572836854	0.108582780018699	0.283606869007767	0.283606869007766
Aerococcus sanguinicola	0.021863193358997	0.021863193358997	0.269906144721055	0.283606869007767	0.283606869007766
Acidobacterium sp. 4Y35	0.0221800422053953	0.0221800422053953	0.333774032552995	0.283606869007767	0.283606869007766
Finegoldia magna	0.0223051384438397	0.0223051384438397	-0.618459032023466	0.283606869007767	0.283606869007766
Ruminococcus champanellensis	0.0225856276729975	0.0225856276729975	-0.653224334952911	0.283606869007767	0.283606869007766
Paenibacillus thiaminolyticus	0.0237412818414496	0.0237412818414496	0.242000133915198	0.288445719715913	0.288445719715914
Streptococcus thermophilus	0.0239963023838976	0.0239963023838975	-0.26379907715606	0.288445719715913	0.288445719715914
Paenibacillus psychroresistens	0.0241283881623198	0.0241283881623198	0.282579390680327	0.288445719715913	0.288445719715914
Corallococcus coralloides	0.0241340672746178	0.0241340672746178	0.165579470355204	0.288445719715913	0.288445719715914
Lactobacillus acetotolerans	0.0249105389916757	0.0249105389916758	-0.174732678214345	0.293047910510282	0.293047910510281
Thiomicrorhabdus aquaedulcis	0.0251099520094495	0.0251099520094495	0.128907435905469	0.293047910510282	0.293047910510281
Methanobrevibacter smithii	0.0260870347341984	0.0260870347341984	0.236301998976095	0.300910912282846	0.300910912282847
Blautia argi	0.0264388013982344	0.0264388013982344	-0.51682050845469	0.301463114793661	0.301463114793661
Polaromonas naphthalenivorans	0.0273589399187583	0.0273589399187583	0.128174493830593	0.30511389494666	0.305113894946659
Acutalibacter muris	0.0273741296877548	0.0273741296877547	-0.529392331316926	0.30511389494666	0.305113894946659
Bacillus megaterium	0.0290236321690314	0.0290236321690313	0.105054638562958	0.319904923463101	0.3199049234631
Vibrio taketomensis	0.0298654370908743	0.0298654370908743	0.103652797347073	0.325566083452168	0.325566083452168
Pseudomonas syringae	0.0309459236595382	0.0309459236595382	0.137972163726692	0.330936940232017	0.330936940232016
Methylobacterium sp. 4-46	0.0310253381467516	0.0310253381467515	0.116042447240276	0.330936940232017	0.330936940232016
Acidaminococcus intestini	0.0324032375740093	0.0324032375740093	-0.358571562701532	0.340849024129188	0.340849024129187
Synechococcus sp. PCC 7502	0.032641791625275	0.032641791625275	0.252727193418353	0.340849024129188	0.340849024129187
Desulfovibrio hydrothermalis	0.0336508329648579	0.0336508329648579	0.098253899828197	0.347725273970199	0.347725273970198
Paraoceanicella profunda	0.0346947420570687	0.0346947420570687	-0.176586224454705	0.351542382622551	0.351542382622551
Clostridium botulinum	0.0349943926452959	0.0349943926452959	-0.383488790943373	0.351542382622551	0.351542382622551
Limnohabitans sp. 63ED37-2	0.0351039046643227	0.0351039046643226	0.162141934558183	0.351542382622551	0.351542382622551
Streptococcus intermedius	0.0354377401837249	0.0354377401837249	-0.141382238457389	0.351542382622551	0.351542382622551
Orientia tsutsugamushi	0.0376213198913524	0.0376213198913524	0.188851518596579	0.365154298217096	0.365154298217096
