bugName	pval	pPost	sPost	Adjustedpval	AdjustedpPost
Synergistia	0.0020674198022993	0.0020674198022993	0.917631207464771	0.14678680596325	0.14678680596325
Acidobacteriia	0.0101861404486109	0.0101861404486109	0.655086326123009	0.146941265695779	0.146941265695779
Nitrospira	0.0121336552804274	0.0121336552804273	0.477113679578704	0.146941265695779	0.146941265695779
Chitinophagia	0.0126730218330069	0.0126730218330069	0.689943618441402	0.146941265695779	0.146941265695779
Rubrobacteria	0.0135198396990374	0.0135198396990374	0.651405312773667	0.146941265695779	0.146941265695779
Saprospiria	0.014441730431706	0.0144417304317061	0.521810074211449	0.146941265695779	0.146941265695779
Gemmatimonadetes	0.0146947941109601	0.01469479411096	0.672323760485359	0.146941265695779	0.146941265695779
Deinococci	0.0165567623319187	0.0165567623319187	0.377113305470956	0.146941265695779	0.146941265695779
Nitriliruptoria	0.0277090076620785	0.0277090076620786	0.387468779239676	0.206285228818044	0.206285228818044
Acidimicrobiia	0.0290542575800062	0.0290542575800062	0.491524173748938	0.206285228818044	0.206285228818044
Deltaproteobacteria	0.038066929276108	0.038066929276108	0.441799468808285	0.245704725327606	0.245704725327606
Epsilonproteobacteria	0.0436547245831636	0.0436547245831636	-0.680343635206194	0.248752145537882	0.248752145537882
Chloroflexia	0.0465771293379049	0.0465771293379049	0.322181860428176	0.248752145537882	0.248752145537882
Candidatus Brocadiae	0.0539444344721924	0.0539444344721924	0.284058847075845	0.248752145537882	0.248752145537882
Fusobacteriia	0.0570048391093584	0.0570048391093584	-0.619827333730623	0.248752145537882	0.248752145537882
Thermotogae	0.0582501889178231	0.0582501889178231	0.330166682975245	0.248752145537882	0.248752145537882
Thermoleophilia	0.0595603728752675	0.0595603728752675	0.325230137943272	0.248752145537882	0.248752145537882
Ardenticatenia	0.0650785817732846	0.0650785817732847	0.312497744397782	0.251899466905639	0.251899466905639
Methylacidiphilae	0.0674097164958752	0.0674097164958752	0.211709445006445	0.251899466905639	0.251899466905639
Alphaproteobacteria	0.074796406134801	0.074796406134801	0.545063389565193	0.265527241778543	0.265527241778543
Tepidiformia	0.109888048634103	0.109888048634103	0.256625465136238	0.366691152085894	0.366691152085894
