bugName	pval	pPost	sPost	Adjustedpval	AdjustedpPost
Synergistales	0.00207383232314573	0.00207383232314568	0.918427782424369	0.202588396125868	0.202588396125867
Deinococcales	0.00444800599724227	0.00444800599724223	0.475714426584135	0.202588396125868	0.202588396125867
Acidobacteriales	0.00697879953131508	0.00697879953131511	0.603999909735153	0.202588396125868	0.202588396125867
Sphaerobacterales	0.00911090298175954	0.00911090298175958	0.471031703685637	0.202588396125868	0.202588396125867
Acidothermales	0.0114044219181977	0.0114044219181977	0.438380250625663	0.202588396125868	0.202588396125867
Nitrospirales	0.0122629943085113	0.0122629943085112	0.477324477877821	0.202588396125868	0.202588396125867
Chitinophagales	0.0129302389776795	0.0129302389776796	0.68951379814912	0.202588396125868	0.202588396125867
Rubrobacterales	0.0136175999836923	0.0136175999836922	0.65119871570754	0.202588396125868	0.202588396125867
Desulfuromonadales	0.0141138647928825	0.0141138647928824	0.49333554792858	0.202588396125868	0.202588396125867
Saprospirales	0.014586693414996	0.014586693414996	0.522388560458994	0.202588396125868	0.202588396125867
Gemmatimonadales	0.0148564823825637	0.0148564823825636	0.67274560300352	0.202588396125868	0.202588396125867
Pelagibacterales	0.0171037079021727	0.0171037079021727	0.487658650524489	0.213796348777159	0.213796348777158
Euzebyales	0.019679813566239	0.019679813566239	0.369915990797534	0.227074771918143	0.227074771918143
Thermotogales	0.0236207302031541	0.0236207302031541	0.180797532363231	0.253079252176651	0.253079252176651
Acidimicrobiales	0.0291596824164638	0.0291596824164638	0.491727647870582	0.284316843054423	0.284316843054423
Rhizobiales	0.033991165765865	0.033991165765865	0.680363328281101	0.284316843054423	0.284316843054423
Bryobacterales	0.0340255223030144	0.0340255223030143	0.513904449390635	0.284316843054423	0.284316843054423
Rhodospirillales	0.034830973165989	0.034830973165989	0.607243095106297	0.284316843054423	0.284316843054423
Emcibacterales	0.0396056397388364	0.0396056397388363	0.164973823131471	0.284316843054423	0.284316843054423
Chroococcales	0.0463249055151342	0.0463249055151343	0.213610547021853	0.284316843054423	0.284316843054423
Chloroflexales	0.0471205259256007	0.0471205259256007	0.321994557312453	0.284316843054423	0.284316843054423
Jiangellales	0.0473429728744649	0.0473429728744649	0.263783047216135	0.284316843054423	0.284316843054423
Campylobacterales	0.0506496374503111	0.0506496374503112	-0.674491983362501	0.284316843054423	0.284316843054423
Micromonosporales	0.0516106890047725	0.0516106890047726	0.392936531721983	0.284316843054423	0.284316843054423
Veillonellales	0.0520662278533612	0.0520662278533612	-0.518644820179217	0.284316843054423	0.284316843054423
Candidatus Brocadiales	0.0538388982421911	0.0538388982421911	0.284607741337949	0.284316843054423	0.284316843054423
Actinopolysporales	0.0549864553373378	0.0549864553373378	0.194854562961619	0.284316843054423	0.284316843054423
Fusobacteriales	0.0569313892769544	0.0569313892769544	-0.619619820401462	0.284316843054423	0.284316843054423
Streptosporangiales	0.0570131946372681	0.0570131946372681	0.407666240799353	0.284316843054423	0.284316843054423
