bugName	pval	pPost	sPost	Adjustedpval	AdjustedpPost
Baekduia soli	0.000177025166936406	0.000177025166936335	0.933771629979758	0.179531555484575	0.17953155548457
Cloacibacillus porcorum	0.000348943742438435	0.000348943742438426	1.01703791179842	0.179531555484575	0.17953155548457
Pseudomonas azotoformans	0.00204341444514833	0.00204341444514835	0.298399912701846	0.332512495416113	0.332512495416114
Flagellimonas maritima	0.0031694902671473	0.00316949026714732	0.283614267047826	0.332512495416113	0.332512495416114
Candidatus Koribacter versatilis	0.00318602678963709	0.00318602678963704	0.47724148682041	0.332512495416113	0.332512495416114
Tessaracoccus timonensis	0.00335278825089069	0.00335278825089067	0.499876681642168	0.332512495416113	0.332512495416114
Acidibrevibacterium fodinaquatile	0.0035251092060552	0.00352510920605522	0.476940573301245	0.332512495416113	0.332512495416114
Thermochromatium tepidum	0.00467182487148698	0.00467182487148699	0.492683455983709	0.332512495416113	0.332512495416114
Chryseobacterium taklimakanense	0.00506576559090077	0.00506576559090082	0.39342217061177	0.332512495416113	0.332512495416114
Bacillus paranthracis	0.00549488200596937	0.00549488200596935	0.214994880923377	0.332512495416113	0.332512495416114
Rhodoplanes sp. Z2-YC6860	0.0055565662654975	0.00555656626549746	0.610503093888895	0.332512495416113	0.332512495416114
Agrococcus jejuensis	0.00574496181119621	0.00574496181119623	0.340566979291571	0.332512495416113	0.332512495416114
Chitinophaga caeni	0.00590376320270103	0.0059037632027011	0.456234500647148	0.332512495416113	0.332512495416114
Hirschia baltica	0.0059829100382458	0.00598291003824587	0.201318287836394	0.332512495416113	0.332512495416114
Candidatus Filomicrobium marinum	0.00614195504915271	0.00614195504915271	0.608207799660165	0.332512495416113	0.332512495416114
Nitrospira moscoviensis	0.00625294866675807	0.0062529486667581	0.30491757411176	0.332512495416113	0.332512495416114
Arachidicoccus ginsenosidivorans	0.00662754199428783	0.00662754199428787	0.462637336866996	0.332512495416113	0.332512495416114
