"CV_rep1"	"CV_rep2"	"CV_rep3"	"CV_rep4"	"CV_rep5"	"CV_rep6"	"CV_rep7"	"CV_rep8"	"CV_rep9"	"CV_rep10"
"ERR1624539"	0.511831067269872	0.463215758472109	0.301423828146256	0.367744079002699	0.496504522261285	0.426211044095347	0.476503882309553	0.530271860458043	0.454495884297346	0.494288869431358
"ERR1624542"	0.582586861417394	0.400365098403871	0.67309598200479	0.681590018323158	0.585211335859206	0.62149992564714	0.536389329339487	0.677397658252587	0.612156720231385	0.523857898379063
"ERR1624545"	0.994817523306244	0.984443951261878	0.791926296358209	0.92431781274723	0.989093683631498	0.883808990726872	0.969436109096926	0.953245160548032	0.930371407791202	0.951708297015593
"ERR1624547"	0.489295902719998	0.497281334756604	0.286681684332726	0.45228662461107	0.693727874277177	0.579231265613314	0.70161959991023	0.563563787713067	0.611559590354123	0.792929956486301
"ERR1624549"	0.410609413228828	0.454342371316398	0.295202875324771	0.560001127454541	0.554740952698039	0.575073093179096	0.686237980899625	0.460131534614853	0.350498975677511	0.480040369186962
"ERR1624550"	0.2594946397724	0.217316460222246	0.20030630123913	0.0480461671895872	0.0609496188963263	0.107499451589023	0.17797156376851	0.0833254896053046	0.159059356720236	0.301594759007259
"ERR1624552"	0.753336797760483	0.690845902693189	0.693149647182535	0.646324683071613	0.771704544283471	0.803626888373137	0.733478080319766	0.726694833450557	0.746960989438951	0.74776242668019
"ERR1624553"	0.15266075067216	0.277134690533937	0.193937846598443	0.36751267907941	0.228883741407608	0.480504996898034	0.111248097915847	0.222524389523292	0.223047418650559	0.199387579674404
"ERR1624554"	0.352292807470048	0.462176634082004	0.501724523638042	0.22588863441864	0.522857834889043	0.498319846760996	0.362140832755518	0.544021444256318	0.47790595820412	0.270290456482366
"ERR1624555"	0.33799528322972	0.285092001064926	0.252065926797395	0.260341892290337	0.340305653410996	0.670093573174703	0.528798604080626	0.314336331650395	0.370874163483724	0.4233053333036
"ERR1624556"	0.808536644176653	0.758789482672879	0.86154742288508	0.834173311583778	0.706732530095662	0.793791522836362	0.91150370555957	0.920501328543437	0.891597291901731	0.803482614862242
"ERR1624559"	0.656868649821812	0.508250483136129	0.867588601048995	0.676849145611569	0.61981688502942	0.746299099525698	0.615646407450315	0.793615968312955	0.58051699205743	0.674096973745289
"ERR1624560"	0.626154739088055	0.593566512311127	0.618967569580792	0.485321076353119	0.613321480095661	0.630687148310354	0.777480143509527	0.649431705524563	0.740560902691106	0.596861471268388
"ERR1624562"	0.782433643089628	0.751257899950174	0.710279280833477	0.809459764937389	0.923715792146913	0.803263294618135	0.882719283097574	0.772566360931941	0.845707266106287	0.728389922388029
"ERR1624564"	0.829358019668061	0.836529750398267	0.808639745197553	0.659319585781027	0.739769891550976	0.584047955455393	0.676122278113232	0.812381288394553	0.584069715288028	0.839174353419147
"ERR1624565"	0.542026202109249	0.698095873278795	0.483191675537662	0.318020532175234	0.580849028064614	0.498018065040335	0.564733088346737	0.40704063024634	0.522096335070686	0.509765140446287
"ERR1624567"	0.574953880430619	0.467267962806085	0.380855597828858	0.580349425661053	0.544440677578252	0.416969940072117	0.67572507099302	0.51033972727946	0.577203863294618	0.610752820189188
"ERR1624570"	0.351045863292966	0.397954989976807	0.345668544762913	0.418197711214961	0.253598863190325	0.572688824787991	0.467228949494358	0.366005295146162	0.63135003777579	0.337237630916371
"ERR1624536"	0.288079435597765	0.410389547476641	0.367594533230371	0.255729379597935	0.268199583566421	0.157103700799029	0.145476469264087	0.233990400579579	0.147826542945984	0.125032004421904
"ERR1624537"	0.366602144781839	0.331124730079521	0.57334064265145	0.406110543807887	0.396633615531164	0.382160305669772	0.634798172206912	0.363918601942333	0.383543644744651	0.29824760445022
"ERR1624538"	0.414067604027599	0.326469834594861	0.425473955394247	0.364002438290315	0.461236128537948	0.384889365590302	0.18462311698228	0.150143340994543	0.404836453384294	0.417469488013097
"ERR1624540"	0.60198304848049	0.20836378832926	0.331697239200351	0.498270839875541	0.477351359055787	0.466825305498609	0.439594530242751	0.465976303448774	0.360495894429613	0.412676235483232
"ERR1624541"	0.0991051833571421	0.21250832468982	0.174279973488814	0.119165348274263	0.171990381571838	0.1329050755214	0.0747379454989457	0.183842425060206	0.0950894026186606	0.288023086298208
"ERR1624543"	0.243197336412577	0.383503262985118	0.475151303502707	0.337794308076008	0.234825816768979	0.211326091757264	0.36787902035944	0.511037953658701	0.397296524809982	0.450349288229986
"ERR1624544"	0.829848088867267	0.792688243658976	0.839556986397152	0.755535590721211	0.79396483828951	0.755860377274787	0.739973431542736	0.737289468546973	0.518548726543467	0.78621647115822
"ERR1624546"	0.499379343372214	0.624709339762657	0.503657691420886	0.545695613427265	0.227361163007783	0.423692060179757	0.374226638499416	0.525905018470979	0.603437494282783	0.472720868912554
"ERR1624548"	0.227634633165563	0.214476456325874	0.153108473200353	0.260853071813213	0.405026166484723	0.37286326628716	0.256243287422391	0.294218467645833	0.235199175721348	0.246944667226268
"ERR1624551"	0.25348679085071	0.377156343522488	0.363066856670364	0.321159294227534	0.30510598983694	0.318946102105951	0.262244728638401	0.328827090349557	0.198559230505481	0.246757712464222
"ERR1624557"	0.215232510838879	0.467089954083451	0.269677649171579	0.267892000591596	0.30232739082885	0.261360460073795	0.291402486272721	0.242051637901461	0.192687223316997	0.277192513899351
"ERR1624558"	0.703460858749841	0.869288497414829	0.872646995614622	0.812354240545136	0.832005119048986	0.894337110408586	0.706541411905453	0.837754503101848	0.807051988721959	0.851214378902628
"ERR1624561"	0.699062152689804	0.617839952915618	0.624468372521944	0.663156953054211	0.575875815745402	0.716107877078935	0.590528233262794	0.67837510119991	0.550192182943643	0.655879433927889
"ERR1624563"	0.62886285731469	0.437061945481996	0.48145071953965	0.421034909806308	0.595014251698416	0.4497494283484	0.417403758581341	0.480501280020703	0.403743970746133	0.662481622101494
"ERR1624566"	0.521930502251285	0.532334563413625	0.405520769984355	0.397234788346234	0.528357413016164	0.367280445490872	0.404723840959503	0.478728600130031	0.503873714440562	0.494474130986778
"ERR1624568"	0.130217743937182	0.217795406536878	0.130828639842577	0.154775707894285	0.126594880638073	0.398294263447707	0.136898513096129	0.204533600624118	0.168090197166866	0.198334136154714
"ERR1624569"	0.636198116851272	0.331102071317993	0.510788305918749	0.596278014873496	0.67015240822898	0.252217041602525	0.476151724414061	0.282022395230251	0.572242337071623	0.605761771061866
"ERR1624571"	0.726764451314607	0.785112042265426	0.733015237653284	0.698434150958298	0.730594844897159	0.615532225650037	0.708625834666257	0.674550745613739	0.658654387129368	0.822113711995
