"CV_rep1"	"CV_rep2"	"CV_rep3"	"CV_rep4"	"CV_rep5"	"CV_rep6"	"CV_rep7"	"CV_rep8"	"CV_rep9"	"CV_rep10"
"SAMPLE-1"	0.949559064269784	0.990826979131947	0.996703077124169	0.998692918669832	0.999994754471369	0.778030161649437	0.99966511104005	0.998448561503188	0.999565152906163	0.999999784516099
"SAMPLE-2"	0.999996384674894	0.99999948001121	0.999908737370334	0.998331219077725	0.998113308999984	0.99999802321106	0.9998443204409	0.994354291905622	0.999998848897467	0.999990617255896
"SAMPLE-3"	0.0102603987910233	0.000137642039966939	0.000291668982004455	0.413318582573119	0.00028264430141713	9.62000610876526e-05	0.000114203263410552	0.0297106727420447	0.00660120548528764	9.1617084795729e-05
"SAMPLE-4"	0.54318435080441	0.0235426528304978	0.000421539432766414	0.00167659689894334	0.583817144420385	0.0603495983329558	0.0540179595345069	0.20580694656936	0.0490988249395387	0.113254136243822
"SAMPLE-5"	0.73133341148021	0.154577612292481	0.978694432853301	0.950886308376352	0.999233968400196	0.952984649684143	0.995404672826472	0.992261871340229	0.0353517807508101	0.999926298971787
"SAMPLE-6"	0.000606516755355397	5.18018963703977e-05	0.000418317591138755	3.04425401364548e-05	0.0292942227771362	0.288380416241217	0.00225692178505649	0.000140838000212909	0.0080421006280226	0.000433977408652837
"SAMPLE-7"	0.998863422168634	0.999892829538194	0.998884205985681	0.999540419234085	0.99854990637401	0.999189712747213	0.99997300615381	0.98554057441768	0.999997684150377	0.892935070339868
"SAMPLE-8"	0.484528926896604	0.633893836009387	0.00240609756954003	0.112281175249632	0.221564295684157	0.464174447921195	0.106742446660614	0.44191935353845	0.313688018221002	0.759136047973572
"SAMPLE-9"	0.999994759694445	0.999999999857782	0.999985171086466	0.999999995753841	0.9999999990576	0.998812443226027	0.999991930056522	0.999607777643576	0.999968340717516	0.999991007435546
"SAMPLE-10"	0.998197077183465	0.160818197131899	0.737586910486647	0.704736057452877	0.915682479868288	0.768007937106984	0.94138814249877	0.29336544658662	0.915986321611374	0.457783631596539
"SAMPLE-11"	0.0397502535380971	0.507275336164847	0.881243671906932	0.0580119610311864	0.0742006036942046	0.57649918437802	0.0124535321315355	0.0288054133226907	0.186355368789827	0.579308941558536
"SAMPLE-12"	0.0158971784875193	0.718881732384393	0.0922205568729228	0.0915663286392056	0.904700869465035	0.322758816821311	0.0440437870248369	0.705259403261733	0.0297803233092699	0.905042287954504
"SAMPLE-13"	0.999933884240046	0.99200848966149	0.976831404663667	0.781771945936013	0.721655793564413	0.997651182738735	0.783381609807984	0.98163129730426	0.999689743748409	0.996478281573073
"SAMPLE-14"	0.0109146607226808	0.014868404378963	0.0103418274837619	0.00121233739062205	0.00423626522552668	0.0354561781154551	0.00136387886074423	5.27925094491969e-05	0.0407368982777072	0.000182757465839701
"SAMPLE-15"	0.000197891538689785	1.89886254090522e-05	3.91533847510263e-06	1.39248021677161e-05	0.000675917228201222	0.00335343381769059	0.000159751765335016	0.00295002941597348	0.00186336427203615	2.76333696088325e-06
