"CV_rep1"	"CV_rep2"	"CV_rep3"	"CV_rep4"	"CV_rep5"	"CV_rep6"	"CV_rep7"	"CV_rep8"	"CV_rep9"	"CV_rep10"
"SAMPLE-1"	0.999959310098665	0.999322823629042	0.9993514915112	0.992563325156914	0.999925185307017	0.999948507235746	0.999977888265189	0.999994796637461	0.949334323035374	0.982826850864438
"SAMPLE-2"	0.999119651511754	0.999690557742286	0.995795654323745	0.999976229563413	0.877610131496985	0.98070815589065	0.609148661685989	0.998654330166037	0.999803581039375	0.981297950108432
"SAMPLE-3"	0.000521849063599867	0.022815870807725	0.00204017542949038	0.00158633266565325	0.187925104430939	0.000511652031566729	0.000442872461705315	0.0457325379379316	0.0421439535430042	0.0036015640271997
"SAMPLE-4"	3.62903440140582e-05	0.006106973725568	4.03760651620863e-06	3.42193350392753e-06	0.00145882861233946	2.90291975855495e-05	0.000182920145335342	0.00465007481551117	0.000576010456619388	0.00179334725821657
"SAMPLE-5"	0.934453547384399	0.953314965126082	0.000311344883646017	0.999880836030954	0.994152603134698	0.166833887564603	0.998428716089499	0.281020250223135	0.998888519220668	0.980217970390796
"SAMPLE-6"	0.979443238817314	0.925605803499633	0.000330973229730444	0.0313430527456765	0.994014033096918	0.00540432270113644	0.981527079484233	0.996453729480716	0.22326092748542	0.0298590705636586
"SAMPLE-7"	0.999940947114149	0.999839701533428	0.999992326500661	0.999699940727603	0.999758801869023	0.998986169666481	0.999959584877996	0.97964148960173	0.994768595718806	0.999909902775146
"SAMPLE-8"	0.971850421793356	0.123704196984232	0.0918949041915566	0.0451323876963739	0.821920716750274	0.853482381425383	0.879333500713066	0.435940795859934	0.841698611665312	0.480531400274268
"SAMPLE-9"	0.999998000802476	0.999999938860711	0.9999998933068	0.999998254099567	0.999999779919944	0.999999746555863	0.99999873927343	0.999993793973582	0.997063987951963	0.999964458745476
"SAMPLE-10"	0.280965467098034	0.91311231845813	0.979980036514137	0.962280623268578	0.932569157793944	0.891536887575722	0.991575117217701	0.0394116344886384	0.287449866116419	0.806277309346657
"SAMPLE-11"	0.737775932671624	0.997135059251049	0.621729390996161	0.0219094042533775	0.628804127567706	0.572610591897355	0.907223658346105	0.00557351624656929	0.177579034685126	0.586419806538014
"SAMPLE-12"	0.007649812847929	0.450376959204253	0.0488278753287937	0.160300538947981	0.174872476720207	0.00246225761458143	0.298896402184464	0.113669611267827	0.0335034204552596	0.943751622275083
"SAMPLE-13"	0.275165311386155	0.145602518891913	0.837027429404375	0.17274425127382	0.0672395975957371	0.110808396921154	0.0635502366561816	0.288139136321201	0.00208488219929665	0.119225013080413
"SAMPLE-14"	0.00124069900069969	0.0462035936502641	0.00361221935869688	0.000989314861528272	4.76677041902833e-05	0.0476986930659243	0.00132084314189248	0.000449868488163462	0.722303562932909	0.000809147190640711
"SAMPLE-15"	0.527910054996723	0.000712782732992531	0.0054779962363878	0.687795425276325	0.00170546584725881	0.0546562785920873	0.000233424808226701	0.00112641078940587	0.351200178033228	3.67311101092781e-06
"SAMPLE-16"	0.999926648267146	0.99483731969264	0.999708086002849	0.999925810161432	0.999978240304956	0.94393912615105	0.999999992858496	0.999895274213266	0.999999976411306	0.999999999890633
"SAMPLE-17"	0.999942977619277	0.996926757867978	0.999948535014155	0.987750384509221	0.999974590179693	0.999996736724961	0.999950119657004	0.998728239414661	0.999984076625135	0.994539509183404
"SAMPLE-18"	0.066077830481663	0.612778811376076	0.164777239834822	0.202632312412475	0.585177704589621	0.168952193697748	0.00044141547731369	0.0321576218447007	0.208952675500343	0.400256916951947
"SAMPLE-19"	0.15208436274665	0.956328395998199	0.0369005003927377	0.000616324208905193	0.946237778310905	0.918881929009424	0.119757649018296	0.508004533575671	0.213362893105837	0.163135954706481
"SAMPLE-20"	0.407967436547063	0.886894593145502	0.993687151747843	0.133835993765754	0.986130873676374	0.98372893330969	0.688915578703893	0.938973147059831	0.322848002568945	0.966102514336423
"SAMPLE-21"	0.0801777945422091	0.062824272867471	0.903706320250871	0.509435899505733	0.289477179636987	0.814957728594573	0.990877911168288	0.524098676189556	0.157855735448288	0.930946206036645
"SAMPLE-22"	0.999995146155232	0.999995865550078	0.999968519853932	0.999993477333664	0.999997642746524	0.9999977908918	0.999998847518874	0.999999996857859	0.99999543178947	0.999999676030787
"SAMPLE-23"	0.00759081587385044	0.0130805064897366	0.00834630070835575	0.0143464202891782	0.913341718773424	0.00446252336603001	0.114229055129333	0.0832358348620048	0.00294236006360027	0.103454747200569
"SAMPLE-24"	0.058782251136351	0.0323537440132103	0.0748026302854429	0.000296916241196903	0.0163964617379311	0.0113880083241824	0.721879904033942	0.00912363844993042	0.0489077206488539	0.0232885482714741
"SAMPLE-25"	0.0348203250130039	0.00286355508052832	0.0239862707935817	0.0442697425444199	0.048465947164029	0.0587128894163303	0.0224889074603906	0.000613769959153755	0.00143414228039979	0.019246721258969
"SAMPLE-26"	0.672858928429082	0.897762292617373	0.748180962227955	0.992945780541823	0.945815911328694	0.739332649688813	0.975275678205422	0.665960981367335	0.993125399367032	0.543484216039331
"SAMPLE-27"	0.229974376325904	0.940882642476752	0.900454035602923	0.887434912508248	0.592845644733146	0.00150348396511655	0.140314609172105	0.214813039511841	0.0325897259124876	0.186457910536405
"SAMPLE-28"	0.989785865503205	0.286733605530881	0.0188093566547602	0.999969328390588	0.316594389114747	0.286486920174834	0.999293515309379	0.172087219569505	0.00876425168555803	0.807124113118201
"SAMPLE-29"	0.00302301676928586	0.0406937413039803	0.999999774614674	0.999998568869533	0.934999487942372	0.941267373335236	0.0140955003923102	3.03577442957999e-06	0.102302726741931	0.704840233405797
"SAMPLE-30"	0.999935051936017	0.239905182920349	0.999999999079683	0.999995137611562	0.999999542275419	0.999988500385087	0.999999526007842	0.996051351983978	0.99998161049338	0.999999627958163
"SAMPLE-31"	0.984880103040945	0.999408111875008	0.987371300820337	0.999949458662641	0.960851282108136	0.99940916401268	0.977721363849901	0.984902748968362	0.531824566908523	0.99754449124639
"SAMPLE-32"	0.590840323158181	0.782313241280606	0.999999165481244	0.985075665209912	0.999547656001064	0.952185349756655	0.996439502243974	0.727638427472895	0.973575028174161	0.980059150001764
"SAMPLE-33"	0.00270964326487674	0.00971711996965061	0.0410703261214245	0.000140495183200201	0.0151502724905735	0.00275065286552238	0.460879033477629	0.00786254552795206	0.391693289584516	0.652263883056642
