"CV_rep1"	"CV_rep2"	"CV_rep3"	"CV_rep4"	"CV_rep5"	"CV_rep6"	"CV_rep7"	"CV_rep8"	"CV_rep9"	"CV_rep10"
"SAMPLE-1"	0.999610691605152	0.998672240837509	0.999996524534018	0.999455816243432	0.925161998390376	0.995291214115076	0.998378584715048	0.985696273797625	0.99936367076111	0.998608134947851
"SAMPLE-2"	0.979523671631616	0.999954555460637	0.999879663958166	0.998471497832545	0.993009150208505	0.999264759951997	0.99964488684158	0.999376606000647	0.946767298471458	0.997090434125398
"SAMPLE-3"	0.745120638466212	0.991527799958356	0.420303393984466	0.966895072032315	0.92506340582314	0.406977842248365	0.72402890945749	0.532490621851362	0.23246549211976	0.844832541048528
"SAMPLE-4"	0.00101086125058352	0.131053706721046	0.00269608078746126	0.00589111027733586	0.0030184393047989	0.000397240587124108	0.164458041806533	0.00158242888198819	0.0497345589672683	0.0592450686642499
"SAMPLE-5"	0.475292444756663	0.632915765469262	0.167802280412123	0.544532777123087	0.799644093711118	0.448597474315979	0.98611804557257	0.835778293746243	0.517671472060456	0.980777138772296
"SAMPLE-6"	0.00199712985526964	0.000535582315129488	0.60717521079606	0.988340693140955	0.191043329232399	0.01418825845446	0.088110073368126	0.0331090135825153	0.284682227620525	0.383076176839717
"SAMPLE-7"	0.997421314534191	0.999925063427244	0.999442540674514	0.926651460211671	0.997224200284816	0.996541604941403	0.985666348988662	0.998395544622885	0.999969382294009	0.999900695204861
"SAMPLE-8"	0.188163993912554	0.117704584229895	0.611183785389912	0.103750352831144	0.103836654041121	0.102763765253895	0.0753394870215861	0.24801302313526	0.419464227211668	0.742157068481215
"SAMPLE-9"	0.998781177136571	0.999999985237085	0.996655960928356	0.996935087016597	0.999929695925354	0.99949964339865	0.99972321789904	0.999997643592769	0.998183355075957	0.999992155873616
"SAMPLE-10"	0.521321807665252	0.984607991619975	0.856165300219701	0.563307966906539	0.295744807840252	0.278406235259814	0.728646919908579	0.718751036330259	0.885858951800411	0.72057354143153
"SAMPLE-11"	0.980548280209131	0.995946619692378	0.883365976075913	0.998721402030658	0.962581198841682	0.763345318027695	0.930274303315651	0.999577134673861	0.832245404388294	0.997802334002163
"SAMPLE-12"	0.0102241694431215	0.736608751730213	0.00103210302616178	7.95158300164076e-05	0.0131006356916519	0.0524643064352607	0.124143050087213	0.453805172710454	0.0104097678142453	0.00433562262249402
"SAMPLE-13"	0.645164610680742	0.136227282333783	0.317450818317622	0.397874947880081	0.704496286276154	0.896695722731371	0.944045673829315	0.778574717814517	0.116254670806111	0.3702197204684
"SAMPLE-14"	0.00194739731121771	0.00245118081926898	0.0300934188581389	0.0313489692725406	0.0395349246818773	0.00884022291542091	0.00420606930907774	0.00834504214162756	0.0101851443561783	0.00170613201536992
"SAMPLE-15"	0.00451698952390709	0.00106053664294663	0.00157595178871675	0.606637390730941	0.000465244807207346	0.000726415358312441	0.0954554241692564	0.00637066896183611	0.00348331733438942	0.000976563189509191
"SAMPLE-16"	0.999993691913028	0.999998356032234	0.999999250370043	0.999987246353887	0.997366354448142	0.999999315619953	0.999991495352002	0.999999999985207	0.999844091239197	0.99999740319542
"SAMPLE-17"	0.999999511244803	0.999990640174564	0.999855103291203	0.999833511431663	0.99998790238302	0.999995565512699	0.999999751600094	0.999966851299487	0.99998805765734	0.999999954914854
"SAMPLE-18"	0.164822374767312	0.167467354052149	0.796394909193355	0.603168042378771	0.0127177417928824	0.428447122690621	0.962786792161351	0.242464154036749	0.936364898466118	0.0513943086406904
