"CV_rep1"	"CV_rep2"	"CV_rep3"	"CV_rep4"	"CV_rep5"	"CV_rep6"	"CV_rep7"	"CV_rep8"	"CV_rep9"	"CV_rep10"
"SAMPLE-1"	0.982365852143678	0.981027248953038	0.990313835474127	0.928018109922888	0.985234830968482	0.995763010346863	0.976667147823633	0.916595753667763	0.985276002852686	0.992912092824818
"SAMPLE-2"	0.579474486665895	0.376910009045268	0.23916952190312	0.625413429229151	0.75302330454059	0.514324517770004	0.444894946706166	0.40815616808205	0.655131560097556	0.485781013731231
"SAMPLE-3"	0.950755053923101	0.888815223339065	0.923737562559617	0.973818567299428	0.981105820320462	0.982120923833797	0.931327501346325	0.965765669571377	0.967799500139203	0.935164101479971
"SAMPLE-4"	0.810047720598654	0.892815121188064	0.51365342688888	0.911884763521763	0.900290475983986	0.544705894008838	0.931699251856227	0.89242510442386	0.698768353628629	0.856433154226076
"SAMPLE-5"	0.242351725364229	0.0919478250269242	0.411753335419616	0.310621831452234	0.0318159736496853	0.243396044807543	0.292985236230679	0.228567417927032	0.201416703719999	0.357643547792544
"SAMPLE-6"	0.644324440541171	0.297978121404158	0.489600389030059	0.487975129546626	0.892922026487052	0.765563783575395	0.648847134924059	0.397377121977368	0.779730447829878	0.521546928321314
"SAMPLE-7"	0.961190178455327	0.944690711783194	0.977614150109816	0.902811669403771	0.984634127894717	0.981899471079406	0.97876879290864	0.923058067221725	0.968387833972674	0.85457141517164
"SAMPLE-8"	0.400180281605213	0.760437651888017	0.676550017954048	0.64792128627091	0.77119938842739	0.789187628610811	0.394702057076586	0.312487898391354	0.869913881559184	0.86570870664639
"SAMPLE-9"	0.931936614923007	0.936569207702444	0.840511342283988	0.972807408320613	0.932599752319574	0.940867983181015	0.572423504495994	0.851754883346902	0.918228373499209	0.968668851604866
"SAMPLE-10"	0.676739689946398	0.805846215493736	0.824075610354955	0.793956887899844	0.652938709154851	0.751618766065154	0.888568058497052	0.765054281649411	0.86579871996877	0.829760394555919
"SAMPLE-11"	0.902954248229797	0.453075590199252	0.599018721984481	0.695919321427423	0.738260815628819	0.792559734356397	0.932192394342219	0.475327360294691	0.960208635744791	0.917626492374258
"SAMPLE-12"	0.0381470691113274	0.18189740498644	0.0136549178994587	0.0280590831697344	0.0353169564845214	0.145882291016673	0.0163331103093939	0.0214580549623034	0.0622019662949664	0.0478872510676721
"SAMPLE-13"	0.992126912998085	0.977890798865784	0.933426715152977	0.823505212798561	0.977021970316286	0.995604576922483	0.954475603047529	0.93952467379599	0.969989675077264	0.930646188292155
"SAMPLE-14"	0.0303944438235937	0.00230577615112663	0.0471320194030728	0.0412446493886226	0.0391853001069505	0.0609603202314179	0.020573495459582	0.0703270833197074	0.0148170683526578	0.0348629504519908
"SAMPLE-15"	0.013024091932106	0.0112348112085244	0.0159853026475013	0.0451511877760493	0.0441477836564898	0.0570831091481232	0.0129483104714717	0.175988716082561	0.0333326156044511	0.00348826327339796
