"CV_rep1"	"CV_rep2"	"CV_rep3"	"CV_rep4"	"CV_rep5"	"CV_rep6"	"CV_rep7"	"CV_rep8"	"CV_rep9"	"CV_rep10"
"SRR39238554"	0.426387408036524	0.464912779733705	0.352005325354487	0.580797303055847	0.354268789544414	0.588541608722675	0.476928030736719	0.419802143602378	0.337180049635839	0.326042894045216
"SRR39238457"	0.160410799289204	0.344833017943232	0.155143011925558	0.431959362954387	0.497555923243324	0.665102722129654	0.28144825493487	0.39610492437753	0.38784326052839	0.421325615608288
"SRR39238553"	0.225910398184563	0.180574710868058	0.167411726404662	0.232426777140642	0.144025788851162	0.208612361532361	0.157775446565067	0.126075211279598	0.263437489278261	0.152796533454015
"SRR39238456"	0.521733158055815	0.519215437037316	0.627383932405581	0.543552781268154	0.575526177117906	0.512895144142307	0.51143320183842	0.573087411240698	0.570324651783933	0.421476345305768
"SRR39238532"	0.268107681288451	0.220330989534345	0.21160594821	0.34444258441208	0.29792236071681	0.298856638188039	0.196031037991409	0.259916885955475	0.509842606584569	0.343429458167543
"SRR39238521"	0.234151566303306	0.159503185406349	0.26210070706603	0.259392218892478	0.296834018509673	0.192648919994227	0.226622160615951	0.236861034525498	0.189642043919275	0.149948342101605
"SRR39238498"	0.103411293493137	0.138974119042212	0.0742364242833061	0.149640614073016	0.0530040060794794	0.0821133192093716	0.0819385313790873	0.049979594334048	0.101743641826451	0.0790916137063018
"SRR39238471"	0.216719965802129	0.199457898767272	0.274082440755809	0.196412911352995	0.401379104307541	0.249906037123768	0.200487722549632	0.226019940400996	0.316487946049707	0.278692274555961
"SRR39238492"	0.173339134987737	0.165954733194634	0.242948960843352	0.164585045800962	0.258763575433869	0.255805218956611	0.169876620681494	0.13108469210128	0.238650534856479	0.267019396655685
"SRR39238481"	0.296134473906533	0.210961806758635	0.115957633357777	0.319628429842452	0.190661625543849	0.235715584002393	0.191168888949359	0.356731957393222	0.372528877085514	0.113420729431985
"SRR39238454"	0.0645508950683358	0.0642766341952896	0.0700289026812776	0.0998471102539924	0.0627395000751898	0.0974320866620655	0.0841618817105476	0.0609774378900611	0.0637784203318469	0.0788754569564779
"SRR39238455"	0.865671619189605	0.880762404313517	0.894110867182478	0.910563871381425	0.900206449828874	0.927990799128931	0.895166399321737	0.877952056336044	0.920491582820272	0.930403853669495
"SRR39238519"	0.35928279318086	0.36911587100176	0.373271003719792	0.343935601540521	0.36520741782531	0.32265771705162	0.342806991214697	0.241337696031669	0.407263791113782	0.358526394238045
"SRR39238552"	0.625568158554478	0.379159397143901	0.523603116469761	0.335845583548976	0.352483270458581	0.34301841548849	0.488940308945162	0.555171129793276	0.438690651327188	0.355249626320247
"SRR39238541"	0.333813341571515	0.344372982061385	0.363218652465977	0.360602548411655	0.341729179761877	0.340785062122093	0.306950786196166	0.362966608289624	0.301230099882308	0.307081081496794
"SRR39238540"	0.512854189888354	0.159186427111882	0.153398460210785	0.241754222180619	0.143719511837963	0.191121937884176	0.169960033312319	0.345116475554812	0.225981783414866	0.251049935424628
"SRR39238539"	0.0300860284502513	0.0497539688236738	0.0549332219857395	0.0447468714444524	0.0249556702011745	0.060166233514911	0.0316212212565466	0.028978678950417	0.056312941715059	0.0582695870641498
"SRR39238538"	0.0689248178982304	0.0822373022900935	0.0866762694406328	0.066089028380335	0.0957496883265271	0.1132825951604	0.0950160473557878	0.0598859962150495	0.168528077535664	0.112603574072906
"SRR39238537"	0.0804949312631549	0.100669257181374	0.0750787461037605	0.0734949702520103	0.108375932230395	0.0849215497015917	0.10434406831393	0.0957073770841324	0.0958802959156648	0.0959240612695113
"SRR39238453"	0.583456740346781	0.679571821183316	0.66800640627602	0.783380365241313	0.687078763744245	0.632017922592251	0.699929341701564	0.696748352390616	0.697184825631167	0.657109868361342
"SRR39238536"	0.211836597977328	0.136698827853761	0.14656520699255	0.127417545242652	0.11377855051127	0.231235583395623	0.123470684342463	0.184198925352397	0.108739794941414	0.141434755912218
"SRR39238535"	0.0749621061502468	0.0657129024887386	0.0568386899597278	0.0493044394538371	0.081312893682812	0.0489823426954557	0.0638168390451607	0.0600651804469513	0.0577187941869559	0.0550164227293446
"SRR39238534"	0.126010932643962	0.143791166751839	0.206082346179492	0.176139637121052	0.210278978247434	0.138062509862264	0.164524797875376	0.134944685482982	0.129232043208131	0.162303370689981
"SRR39238533"	0.0478255166977622	0.101825579276717	0.0569008802141908	0.0802830515536693	0.0665063439920635	0.0948530138265257	0.0277938682904389	0.0787553007494173	0.107923443496506	0.191689040378311
"SRR39238531"	0.171274034269677	0.118772696894333	0.156224626980517	0.102869753588452	0.140105605981631	0.108153890003155	0.0780087818006813	0.115687907644747	0.134669334988605	0.147603202660839
"SRR39238530"	0.0690761165861162	0.0920282644194123	0.0870901348703427	0.0841381898484796	0.0875766028973028	0.111973652284571	0.0925770989487196	0.0682706247302986	0.0835398925283771	0.0934129426082592
"SRR39238529"	0.797347388247112	0.815165426964607	0.806623429933705	0.759930883184965	0.830796557913088	0.753075931648305	0.765830436857766	0.7923499705149	0.563335776217716	0.768392598983638
"SRR39238528"	0.220507925900806	0.194907236490776	0.266201049943454	0.238016801319992	0.246480547805367	0.21417064020877	0.220100356685063	0.206291754369932	0.276163482357495	0.235093990389142
"SRR39238527"	0.214492349964095	0.25056012301819	0.265658100232475	0.20637499592367	0.208952102588214	0.155953644526504	0.183191108378564	0.429781630513199	0.331622016770159	0.274706055803976
"SRR39238526"	0.19835365200854	0.377382257358311	0.150326754790227	0.337723664739129	0.217753345427942	0.353398683486487	0.262799653609784	0.38805273862175	0.401089985495774	0.429903710660778
