"CV_rep1"	"CV_rep2"	"CV_rep3"	"CV_rep4"	"CV_rep5"	"CV_rep6"	"CV_rep7"	"CV_rep8"	"CV_rep9"	"CV_rep10"
"SAMPLE-1"	0.999982486197436	0.993723815317865	0.999956598799596	0.999955826460088	0.999852941486326	0.99973497564616	0.998625540236285	0.998624848026641	0.999902751178722	0.99968671242327
"SAMPLE-2"	0.999926242831658	0.999968677322025	0.999998690303948	0.999723278305068	0.999998162399213	0.999939954084069	0.999759651033225	0.99999728625596	0.999972694646525	0.999969673297865
"SAMPLE-3"	0.00785287717672898	0.0014737205834973	0.260089089147278	0.00196958471648419	0.468707783297305	0.00832008035300122	0.0124016983254203	0.214735494056458	0.0188165569156027	0.0198464064527502
"SAMPLE-4"	0.52410820730898	0.155106153720772	0.00258479148609521	0.00113617149364793	0.686968495651146	0.0822898916215393	0.0023890134102687	0.0175737835637103	0.23791878031691	0.144830316880066
"SAMPLE-5"	0.73523976485503	0.85608524513586	0.784428378847114	0.891668290316153	0.945281436646652	0.240516624981595	0.986130723595049	0.093943120796378	0.893262196535402	0.78155067843914
"SAMPLE-6"	0.447293444804057	3.81323323198332e-05	0.23410830674633	0.997202011986874	0.114674190981097	0.0186216771937136	0.109071594109493	0.985987280939949	0.072551440830503	0.830113852870027
"SAMPLE-7"	0.99940099664203	0.999934805829824	0.998994081562694	0.99902826058283	0.99910978029844	0.98531344278539	0.975943536331099	0.99930004032369	0.999379685772222	0.997354170158415
"SAMPLE-8"	0.250178579429566	0.248183332933129	0.0137984511735221	0.00493470154335504	0.193845769414021	0.0156731529435985	0.000125385240273325	0.0417404132618302	0.00559034789491586	0.0597712956327914
"SAMPLE-9"	0.99751793223232	0.999993064928377	0.999999998926236	0.999993276369189	0.984116388139908	0.999641022627465	0.98277202717071	0.999999203355	0.999858003766292	0.999999400525651
"SAMPLE-10"	0.351926453971651	0.163926796473822	0.41628525301521	0.27066548030165	0.831379383112464	0.402089961606258	0.967624752944132	0.955437150552215	0.990808525175916	0.520473646976308
"SAMPLE-11"	0.982513114856135	0.707922282980932	0.976716109276579	0.4871318479717	0.999417224726896	0.0885038455911967	0.0171389541456077	0.943567750452825	0.100334166039592	0.954599256992874
"SAMPLE-12"	0.000566589847537238	0.0110123483946553	6.67084248725737e-05	0.00357487574699226	0.262912691118059	0.00164681143395222	0.108422514670075	0.00117930832105447	0.000994892448417788	1.13728265488157e-05
"SAMPLE-13"	0.0567392796780726	0.967797806083479	0.999897032588343	0.747863846843067	0.917784601832245	0.317906852582131	0.975831079586033	0.796190639411094	0.685811848397745	0.809343686868643
"SAMPLE-14"	0.00674661646191031	0.0277691060576534	0.00709753641857422	0.00329519602068369	0.000340920556685827	0.00223292075457679	0.00105377035880106	0.00143554173242458	0.0166392419447956	0.00376956768697708
"SAMPLE-15"	3.98778643822207e-05	0.000549531260940802	0.0747535132427652	4.33947502738001e-06	0.00309626147582885	3.85090701724132e-05	0.00700779414254787	8.77400669561989e-09	2.95451642056479e-05	1.21967362458141e-08
"SAMPLE-16"	0.999994977648203	0.997111979291127	0.999997371191637	0.999998315241992	0.9999999954004	0.999997502986229	0.999954043391455	0.999999782205904	0.999999997426019	0.9999999092605
"SAMPLE-17"	0.988462802228748	0.998941333327425	0.929307214889053	0.995381658671884	0.989294432023994	0.980965220564294	0.99970733943628	0.998066453198918	0.999922249956437	0.999813631257173
"SAMPLE-18"	0.195963085263614	0.900961859871745	0.597453586587174	0.25074277031186	0.493212053323694	0.0710018016752662	0.611501962714392	0.207417765280383	0.694039276298105	0.306847035213572
"SAMPLE-19"	0.999915018347939	0.995587539285257	0.995714044285409	0.986626809143811	0.965748286059415	0.998597358480141	0.999806860782973	0.994777081700121	0.999921262821354	0.997322550256439
"SAMPLE-20"	0.999442505349385	0.0520036213790186	0.870202464135215	0.995638192747953	0.99940807509319	0.995836242410144	0.77270909556883	0.88209808537215	0.996039029948328	0.842217597560847
"SAMPLE-21"	0.99092069929001	0.987347292881935	0.943279824381339	0.11113659633608	0.99997364824562	0.89218666223242	0.992192122400219	0.997940743192164	0.998572802899173	0.989971880959352
"SAMPLE-22"	0.999999312857795	0.999999914004833	0.999998258940727	0.999999816707595	0.999999943935471	0.999988009901669	0.999999105746139	0.999991863461134	0.999999624390084	0.999999853148894
"SAMPLE-23"	0.0172853947828937	0.121674996050808	0.00771980795765491	0.00583652396602609	0.467075484361708	0.0879553667556617	0.480979414047375	0.165359563311499	0.13912822518526	0.00313445534710611
"SAMPLE-24"	0.0511602020757684	0.270390779958047	0.039742620272136	0.612336724592992	0.363843341386566	0.567519934654297	0.922136865951775	0.982384432335855	0.415640453228838	0.65356577977747
"SAMPLE-25"	0.00121858968939216	0.00489387295550409	8.91340218017042e-05	0.0263457625392955	0.00380671266510731	0.00134518799752506	0.00748925469264108	0.406069530234523	0.00346186203574431	0.000190757071613021
"SAMPLE-26"	0.461863638584438	0.858327252976967	0.155077251748668	0.398252528145666	0.74962199184035	0.76134135339999	0.231229535702109	0.827600174367677	0.932141841197853	0.998457263703427
"SAMPLE-27"	0.740433114825186	0.289536962834039	0.413093207026271	0.360824418338847	0.731877281049818	0.212695003330491	0.24423905932992	0.0412598026142253	0.00831317214751661	0.547868390938212
"SAMPLE-28"	0.260618100649425	7.68557629893904e-06	0.000285987188916301	0.00132294936383447	0.00189593717619785	0.405280818042806	0.117805732069377	0.000222660921998322	0.0173341967576688	0.000787661025208488
