"CV_rep1"	"CV_rep2"	"CV_rep3"	"CV_rep4"	"CV_rep5"	"CV_rep6"	"CV_rep7"	"CV_rep8"	"CV_rep9"	"CV_rep10"
"SAMPLE-1"	0.995039521806974	0.999874753463343	0.993371421549371	0.994064462027195	0.99994055436918	0.99996747652546	0.999828378122372	0.999999381332959	0.999987697896118	0.999910259265512
"SAMPLE-2"	0.999934464561558	0.997763643300799	0.991737360148024	0.999975204744864	0.999607623364588	0.999920605903402	0.999954311065236	0.999717617324625	0.990750098657162	0.999690981217073
"SAMPLE-3"	0.073942291588455	0.03790327786232	0.739691825509249	0.0840197024626552	0.0229789759416605	0.380891665905004	0.725007374665592	0.116265879387057	0.843463753202717	0.0879421095358064
"SAMPLE-4"	0.399866946227438	0.263935630095421	0.0411989242808738	0.561709715236685	0.102327835060666	0.140164874133824	0.310609050020752	0.0384212603536529	0.644087821941684	0.0053422398721989
"SAMPLE-5"	0.960412354903827	0.954007043600081	0.110670055703589	0.210869093983813	0.266897943277407	0.766478479604354	0.404921657049601	0.998048718969709	0.0385030625985953	0.0120933072218237
"SAMPLE-6"	0.00125133155555045	0.000194495084986922	0.0215594783002429	0.0289516957635363	0.322772031192753	0.000325357732194317	0.00156930230766392	0.0135475347777532	9.44843702401553e-07	0.00183088597268249
"SAMPLE-7"	0.999738242619952	0.99992191639292	0.999987591466979	0.999995000243415	0.999575182623703	0.999949604120544	0.993364179910323	0.994166746343629	0.999828986393513	0.998749911318108
"SAMPLE-8"	0.00660715333531774	0.282748574692105	3.32704946449123e-05	0.891886576238769	0.143163750038927	0.492523455595892	0.0114760519988896	0.355501488110042	0.965583497733057	0.256550559703468
"SAMPLE-9"	0.999999996683315	0.999999729502057	0.999726033616376	0.999992617419201	0.99999073499751	0.999976161845669	0.999999980188977	0.99999979174307	0.999997508649047	0.999848735303866
"SAMPLE-10"	0.907054075749319	0.701363352647064	0.566613453629819	0.545523181665277	0.430366464974305	0.706430135156512	0.777021180535465	0.135665008213325	0.891993532832127	0.0182534734123168
"SAMPLE-11"	0.173516430175764	0.615585743870605	0.0378644250739692	0.447355494490901	0.991127063618676	0.548183138821996	0.221257779203582	0.191836472049471	0.858713065896231	0.150577111753657
"SAMPLE-12"	0.0056297020067763	0.130462278694163	0.232203768858411	0.07427631178226	0.0120926218666656	0.272136653659124	0.010672816013696	0.264684762090254	0.275649898706307	0.839838565825134
"SAMPLE-13"	0.0298582003292136	0.155693940062255	0.663989853345531	0.994317331588094	0.961821891289966	0.984691931470156	0.974044535401825	0.00912971368393116	0.997565134276346	0.981002432745607
