"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR5865065"	0.999904336606689	0.999707851980609	0.990542993588398	0.99917768591675	0.999084573600971	0.999986967580065	0.0638688509273425	0.999150921891943	0.00689592660386518	0.999997202338773	0.991423430548807	0.999989524096985	0.999502439424893	0.999984420167152	0.927132137095617	0.988648552577952	0.972009008398772	0.999946645243801	0.998909375894902	0.992001012083751	0.985215895503359	0.999975252142479	0.999992844781675	0.998956424821464	0.972248018945755	0.915279795313297	0.999998875132255	0.992553466815718	0.999985444150867	0.992539187578482	0.980377535567669	0.964525525219836	0.999894020890962	0.99995186769514	0.470357016051509	0.964259603428654	0.963281287378358	0.999722429035227	0.97344630926073	0.999522069308633	0.827180574170297	0.982396427010747	0.99869545234286	0.945485906570955	0.987380373446609	0.999642450244854	0.999958338762041	0.997736890169994	0.999977731289713	0.968514628474266	0.923798364824162	0.997905419260226	0.998730799162246	0.242656969699906	0.410393624643009	0.99903447329887	0.998766726248399	0.999999740040081	0.999968744272441	0.994425249434532	0.999935307975503	0.971317412823087	0.0935327645188783	0.999970118104301	0.999983037704639	0.999767764243003	0.99991775888081	0.0656172943969827	0.937413328582112	0.879357828384396	0.999981219396891	0.999356090626652	0.978576993590965	0.341657158816331	0.999999997645464	0.994039385662389	0.996488245336445	0.0314107219559686	0.993626792163668	0.975205343418295
"SRR5865066"	0.994549167639012	0.00259397156813452	0.000451801736188125	0.88697268668465	0.0109241792108679	0.450879143202075	0.0852555732238228	0.913466869056051	0.0082797421075054	0.997134292302833	0.506185573742915	0.808889114330043	4.34476888270572e-05	0.00267739423576881	0.0128843852224022	0.351618382608897	0.00294300942084931	0.0462442620078362	0.342983342057862	0.0036184391124003	0.0182551242308552	0.0557063593429912	0.964670999539933	0.981744217472172	4.18635311817383e-09	0.00249978039164754	0.999985688252884	0.00464766340074205	0.00954731914466246	0.00237821562684777	0.00115093087072634	0.0704219565902313	0.0154532191444006	0.0965327025476436	0.0208694738816611	0.0510789169552204	0.00046942095716296	0.157503858072282	0.000212554525596005	0.369672546642059	3.32986059760842e-06	0.0263719038856342	0.999863175265345	0.045279529037858	0.877928912280758	0.999889572155468	0.404630553132066	0.00092204198648819	0.870742345964833	0.923801000699942	2.23338887185311e-05	0.0729757370493747	0.988907590283163	0.00774320574697857	0.057154129753586	0.0273750047879697	0.00633770036778112	0.403371893354873	0.489314310667038	0.000791141282252113	0.999743153074456	0.981696293427224	0.00179358877301362	0.280239705294111	0.997835440831604	0.00966573778466836	0.872011940054732	0.00138982074463724	0.00992366075007112	0.268437367784758	0.543196667500535	0.999914944579471	0.0191007476266623	0.0044186372797787	0.999999999314053	0.981803402040013	0.48143375193976	0.989975132353723	0.824175798072827	0.0437886464416649
"SRR5865067"	0.262489189522715	0.0240586289974568	0.337981195782563	0.197798707730052	0.202147752613094	0.0850488236236604	0.0147167144527492	0.0677252976723489	0.0704791459927488	0.910428943794482	0.212577453520283	0.122711327053051	0.156271439029444	0.970689948324469	0.93964147323383	0.280881380922236	0.0337617503978668	0.121427057641015	0.12357866564177	0.760199291184126	0.450959271151902	0.0279166523456087	0.56933259372333	0.51347877529335	0.0340906843920964	0.686939982014589	0.572511558183663	0.0240709840523203	0.361673587696716	0.291358921411902	0.351711848691838	0.857327466492751	0.0539432368679688	0.062463485290255	0.0939902061089132	0.288207510876291	0.226086155866747	0.208578223313332	0.651979805754683	0.52101392370232	0.0274550780467367	0.541545813234363	0.0127590810745666	0.49699479365637	0.487363796537559	0.038185672483699	0.114418526328506	0.014000393732356	0.0266282827991574	0.0839157291935319	0.751094979320615	0.698380685217576	0.120520406936686	0.0373769482045631	0.103962854957422	0.0799654598607988	0.528092816784901	0.104099840287575	0.0137884918926417	0.8329543936651	0.000136597500014923	0.129342988542193	0.881499047183186	0.793219568541804	0.00804359437633588	0.0121279768147213	0.456787203478507	0.54526051246355	0.34110956486862	0.140239020640723	0.718630033101525	0.764054354808103	0.0558275175687622	0.032646867471065	0.777688535427794	0.952497816928776	0.964739435717781	0.0904786894079071	0.801551888896828	0.003135008658298
"SRR5865068"	6.43374404360503e-09	2.5856054573486e-08	1.96871789309621e-07	0.00387581385855756	7.08006196392224e-09	7.43838865589515e-05	2.6868865031211e-05	6.60870347461756e-05	2.1720680318791e-06	2.14550024980043e-05	0.000132949285395501	0.000250890135763614	7.65550555678688e-09	1.40206434918138e-05	0.129761887658549	9.47818318784508e-07	4.28508765095702e-10	5.56445892655948e-06	2.80335652782355e-08	1.98274884248564e-07	0.000194550313111076	1.61790323821213e-07	0.00184041454644248	7.33837631864857e-06	1.57188698478789e-07	0.000126617862185273	0.992778911016076	2.86967826329822e-07	2.56993436784885e-06	2.16790943952558e-06	2.95540067444729e-06	3.10340139967154e-06	6.90648726646709e-06	1.90837408716742e-05	3.23207029520958e-09	0.000166384314036898	3.44607840228847e-08	1.30615649925348e-07	1.59558138643214e-05	3.68949523709288e-07	3.69646552846551e-11	3.11624325826174e-06	7.61067014275663e-05	1.50048444764749e-07	0.000568901151608712	7.18785899389241e-07	2.75175681239793e-08	1.99292573787929e-08	3.98052027525802e-07	0.00395372619941179	0.00026967854430356	3.17749116062166e-05	0.00043978920807371	2.12371145038354e-05	0.00107488694115295	1.77850207947674e-06	0.00595289674279284	9.58823853942386e-06	2.11704274417167e-06	4.74890590719074e-05	7.33898568835886e-10	0.000282651925127318	1.18308986553794e-07	1.3979054225212e-07	2.58062266393234e-05	6.37818425841446e-05	5.64981922981754e-05	1.05617985154823e-06	1.13168764241441e-05	8.30604986388847e-07	0.00151906517590384	0.165320527006531	3.75449138531681e-05	1.23771476472421e-07	0.0004119317114397	0.0176711840112505	0.0796573854290672	0.00366970642096282	0.0460676886614903	3.73055681434388e-05
"SRR5865069"	0.0303620722009563	0.00436520353968253	0.000766258957533083	0.0261660159881022	0.25662228246867	0.00917580232628317	0.00617583365227337	0.000272586855827293	0.0094603370242527	0.195428194113753	0.00141374771318093	0.000779627264541744	0.0214351064062997	0.0097895340763896	0.000949957679949128	0.00485122451432388	0.00107264907841104	0.000296037481277607	0.00079355332822187	0.0558775896039717	0.0115792649470276	0.00303789461065817	0.0825264087422979	0.0789271717963735	0.0282358736217334	0.00140343059393667	0.0638095460845555	0.109045499721493	0.0147826135224883	1.48965538207908e-05	0.0045232366506684	0.0717694486015959	0.00304339583386241	0.00136227089215156	0.00241780826426666	0.00481474704684119	0.0112776227484814	0.0124926522363279	0.00175694205688412	0.000315748622198755	0.00898499357784793	0.0291947001001077	0.00849009707132197	0.553562060548972	0.485311473419575	0.00918731814754413	0.00491552763986313	0.00372769824645513	0.0104937801868439	0.000465269102380772	0.000516366010825343	0.0983758333238702	0.000182965382737693	0.00095088216287563	6.89754578574792e-05	0.00871635078862912	0.00267223666542822	0.000564250793202558	5.68515567874301e-05	0.0843520815724027	1.50280263220213e-05	0.0193595314042866	0.153659264201557	0.0108920056822445	0.00451297104326564	0.0023492659881436	0.906206394309297	0.00335044411856435	0.00338925811882689	0.00972314150550239	0.0249713860551817	0.000241780082990529	0.202084176351958	0.0276725493160431	0.0023411232401043	0.0429850035471576	0.000325468993231209	0.0039704139415396	0.0101745175663714	0.000336038012590939
"SRR5865070"	5.54428094238974e-09	1.17655334971337e-11	1.987147180939e-09	2.05331530045641e-05	3.55350224489354e-08	6.13238478568436e-08	4.95213568710118e-07	1.23379656451664e-09	2.5008593023502e-08	1.64203786441131e-07	4.19004476267961e-05	1.79870991810968e-06	7.82642094581769e-09	5.85987816495246e-09	1.58576416221696e-07	2.5840504560687e-06	7.169231877368e-10	5.51810781634239e-07	3.44280340997825e-09	1.83577147189627e-07	2.70439314668876e-07	8.18839506002895e-11	6.10212008695188e-09	0.000300550509147197	7.59140695882884e-10	5.37329314227782e-06	0.0359614114762634	7.74746199133945e-09	1.37649654390029e-10	4.80773108237253e-07	9.8489273738699e-07	2.92561065475395e-06	1.50175791665592e-06	7.65137812720503e-07	2.39199168963951e-06	1.01168198705129e-07	3.95292134285004e-07	4.92628180679591e-07	2.05652613407755e-05	6.99062081504749e-07	8.3932358565208e-09	1.06233126324364e-06	5.25891787129464e-07	1.13220535272289e-07	0.00813055443014618	9.00220284344868e-09	2.82957278196849e-08	3.75069403354822e-10	8.26806607897319e-06	3.0031456157928e-05	7.54336951043938e-07	4.24875266483988e-07	4.79111138872243e-09	1.3878580142919e-07	1.09218479490706e-08	4.91412835402036e-07	3.66504365004586e-06	3.44862210873712e-10	9.97468851754436e-12	1.03477636539256e-06	6.11574558357397e-09	4.82431271660047e-05	0.000116746706293477	1.62191623470747e-09	1.79780816468047e-09	1.67396883039584e-10	1.55744876367099e-06	9.17103771416756e-06	2.39134912145117e-08	0.000242879825346627	2.24426402171736e-06	0.0013744333007523	6.06863119342544e-06	1.72646948767617e-08	0.0166889093824743	0.000989992076150692	8.55478577004024e-05	1.58126711298414e-06	3.91732654298147e-07	6.69661229778428e-08
"SRR5865071"	0.992649379752029	0.891667457618265	0.954230670383325	0.996059363771498	0.999828133221944	0.962082294871942	0.986473322687848	0.953220011858991	0.998706501867732	0.999087250983956	0.99096275613522	0.902927906931168	0.887587711212527	0.904258266460508	0.996177784085382	0.942461247885353	0.996645677995122	0.511630997358114	0.919962865670613	0.999672786234887	0.998759632204865	0.961232614102977	0.999022829846734	0.992538644467121	0.975049648265506	0.984218619372433	0.957890673438627	0.998994386628194	0.775512793338764	0.182003417063308	0.715091892764319	0.99202192083487	0.995034818474609	0.952544093763191	0.920249419469077	0.847806621462275	0.994319660833077	0.967102748285176	0.176659313043907	0.992746372249549	0.99884922804403	0.983399819963102	0.887171238252305	0.999012168898886	0.971408174620844	0.989689333763932	0.97641061077863	0.927443377495705	0.994362628483758	0.991737675054032	0.857223385945349	0.999149510584621	0.851837701818558	0.991383480879008	0.2518688443277	0.996763583081981	0.960708252737744	0.949650475327101	0.955974068727423	0.998718120717255	0.0920685951277984	0.960901626195728	0.997366074170813	0.827188417850011	0.811711454358518	0.387484993153793	0.999336337238505	0.991282801772419	0.985457914420771	0.981930471683157	0.989259875074012	0.91186650832906	0.964622345830476	0.996380208511044	0.988143914512661	0.981041640122201	0.956227050035577	0.590986807995361	0.976441608884371	0.919601644001077
"SRR5865072"	0.00164900675556166	2.27483003438234e-05	0.0064042189009852	0.00999541905711692	0.000601291693129096	0.0360110952128387	0.0337870026204679	0.00172702868058841	0.238218379786254	0.0814338496022907	0.000722322134030994	6.38458144679737e-05	0.0025975881707651	0.0232471551840206	0.248857581126463	0.0127150531008137	0.00899199067459205	0.000662081389834268	1.88420276976949e-06	0.0134331439390225	0.148509610537985	0.176754297674384	0.094547652093064	0.0905049798858931	0.000225873103920214	1.05868639570325e-05	0.000188439663044492	0.0865491998403628	0.00284184645925972	0.00543923987665001	0.0169750406487052	0.00214109369085283	0.000227305018974332	0.014863179243559	5.64556630393682e-05	0.000182064741492492	5.0804187338124e-05	0.0125673452319263	0.00415608049568742	0.000109015466430398	3.12228310923015e-06	0.353348863085001	0.00481201941959351	0.00358599040558648	0.631579085591113	0.00154862271050733	0.00801180360831652	0.000836602081553656	0.00414438815785215	0.000649316372017697	0.000121404025919287	0.0149355933003396	0.000189423263480506	0.00015178560712309	0.0165647866287777	0.0201678974069252	0.0149270817147638	8.17867838804065e-06	2.53970137438853e-06	0.159879548753739	1.17429956144368e-05	0.00136689405547093	0.719339283715207	0.0151300150307192	0.0160012761602033	0.00138151265004052	0.404225397978456	0.0502829029128243	0.000337550263246132	2.1150151612628e-05	0.854014627005685	0.00540942794397497	0.0205594100490415	2.74774273689603e-05	0.000314496946656376	0.0122494212401349	4.07824927014814e-06	0.000266264097619601	0.00113150761737409	1.2558701041228e-05
"SRR5865073"	0.968818445283736	0.376156707639368	0.603130998189122	0.316199690887521	0.890890500864887	0.694002833314327	0.561353874327431	0.779849419470908	0.362602612684171	0.916137525647603	0.752311425664959	0.600429385950242	0.159456400657067	0.989978934936408	0.0566383013838148	0.785519839704071	0.12280845937923	0.0510319615621376	0.0834204357573604	0.629173334804949	0.493558826708491	0.989131266310243	0.355199363373112	0.31179310596219	0.994309788119019	0.523746231377556	0.268721242052531	0.699433182980734	0.664168924026175	0.82011425860007	0.674987549563534	0.64956633369296	0.942480119046409	0.715855886953657	0.00781081977618417	0.271324906072594	0.563118148663844	0.874105360058781	0.826416882204703	0.940014368099523	0.279222710398541	0.670399390046867	0.830571755238613	0.544895207641585	0.433311563094961	0.306257276877248	0.982596232611946	0.274904432794215	0.830369760010103	0.222703243168895	0.180007826209695	0.97229656793008	0.492256235593036	0.121559696729087	0.026668505575988	0.98188458051165	0.242532028349409	0.797697957814021	0.977366603679453	0.496253793143779	0.193913296550695	0.795873393317727	0.0853109202520711	0.99336518299823	0.887646027182391	0.241345836048013	0.965862506131475	0.0827172440917555	0.0736033585458251	0.27022018253341	0.817881977557229	0.0640282498288108	0.478109293825258	0.0850188846823117	0.998350250622263	0.474071360983516	0.319750633067372	0.522481650779056	0.192732424373142	0.613342955371497
"SRR5865074"	0.00299156807199522	0.0019867932131264	2.21796409599251e-05	0.0605528840281807	0.00222559921016272	0.637639344259611	5.09206001192639e-05	0.000383935814925898	0.00021393608088756	0.00252613806083529	0.0386082810105813	4.3549592978606e-05	4.74652429598369e-05	0.190384380491163	0.0112463860267646	0.00116777236095809	4.0172077105877e-06	7.3081067857997e-05	0.000987345947865713	0.000368065881920239	0.00835807357564408	0.000167053516238386	0.0161352993269851	2.35486875231027e-05	2.12011489575602e-05	0.0324879075512827	0.582512917586007	5.43985059386377e-05	0.00348810901482847	9.34936914243935e-05	0.000789144943328616	0.000963981472870388	0.000313305792585697	0.175369896766286	0.000153494696243582	0.0322322712840797	0.00034467607169059	0.000258018514145113	0.00314751120508043	0.000140729895760535	1.06115840097643e-05	0.00303415523036793	0.000608557124019325	4.82798383666612e-06	0.000319775017958729	2.14717279500998e-06	8.98532892689824e-05	2.38982902409965e-06	2.00152647061854e-05	0.00309575029805597	0.003254171860286	8.52528800571833e-06	0.000816934912180229	0.000103048536579783	0.00226217581344551	4.86029845997386e-05	0.00696109305921882	0.00657214115385966	0.00350016639077608	0.0201032841607624	3.3812795549031e-08	0.00079938348876664	6.2549924678601e-06	0.00278929915219681	2.47914425584961e-05	0.0125745880848178	6.33726188894901e-05	0.00192087745826056	1.70105485616841e-05	6.21236569622993e-05	0.0122458089748427	0.158204620396957	0.00170005983799581	8.48802920488029e-07	0.0244235662414847	0.000607498565517573	0.616249796072721	9.7680708013851e-06	0.0341034763279105	1.61167758875944e-05
