"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SAMPLE-1"	0.999954534205914	0.999942295806053	0.999998879095627	0.999808187925518	0.99990853909232	0.999998736515321	0.99998810820449	0.999999094717631	0.999968359493973	0.999989484613566	0.998746107826879	0.999995988387507	0.999999742974895	0.999999995484681	0.99999691887065	0.99935484657657	0.999896545341302	0.999993749303712	0.999994063381697	0.999998271054283	0.999999466776843	0.999994558380526	0.999990842919554	0.999999939495323	0.99999567756193	0.999999647031186	0.999999188398373	0.991815980440212	0.999273674007566	0.999996488633709	0.999994704832862	0.999997752451529	0.999991705311036	0.99997009657785	0.999970980028231	0.996912655344748	0.999999949505782	0.999644627013936	0.999928467119009	0.999998283604247	0.999999972224437	0.999957192784015	0.999273152994219	0.999879981127944	0.999985469604307	0.999990296844976	0.999999200896006	0.998485466664295	0.999990557927797	0.999996713085011	0.999981452797041	0.999919662639166	0.999998561391675	0.999988723568525	0.999995106287161	0.999386809098078	0.999998511748131	0.999994262339291	0.999359431795056	0.999346458224953	0.999996742691949	0.999971814169508	0.999999586775195	0.999992971212875	0.999851909600519	0.999999340689511	0.99999995755556	0.999999776254105	0.999998828141606	0.999999146341459	0.999303679606265	0.999997424500888	0.999646606952001	0.999999660702459	0.999998773386306	0.999954772215357	0.999997588494826	0.99999427570111	0.999998994754347	0.999992973163328
"SAMPLE-2"	0.998383420498292	0.999923373069933	0.999819544796124	0.984114396812589	0.994711428394698	0.999997863062725	0.99982171255799	0.99956390263286	0.990146770083342	0.999582486905951	0.99939830630692	0.998671731139881	0.999380353946011	0.999996316612617	0.999993737426019	0.996230820909966	0.999686698699562	0.999807110936651	0.994659307705367	0.993342054355041	0.999974871424484	0.999949328390906	0.999139457713283	0.999969591066277	0.998087576159795	0.898937940139193	0.993250297207257	0.982228086632679	0.979276680238864	0.999967041388736	0.999014971849445	0.999843482356018	0.999977942228561	0.965595053647851	0.994335674145744	0.161018013115584	0.999996232461212	0.986013235746637	0.999913347597449	0.999233669217853	0.999993068082408	0.99186286612234	0.995415748274626	0.997670770200982	0.999995886175392	0.999759230915163	0.999998923482983	0.999593132231604	0.999457778075563	0.99999172879141	0.995729532170437	0.999468288575119	0.998907670390364	0.999633907668659	0.948225816338662	0.998715362734547	0.993258516491861	0.999055959243674	0.999786935132788	0.667437113952955	0.999472469791499	0.980754314253879	0.999994857471976	0.999738908842048	0.973132617558721	0.999760553901088	0.999807509864832	0.999999728541322	0.999931793502579	0.999991306414674	0.98438780298818	0.998615896050024	0.756457828374736	0.999999099382665	0.999995355919365	0.999050481340813	0.999420472825165	0.999857531535905	0.99978994629447	0.996538325085054
"SAMPLE-3"	0.894566501691257	0.985404180537563	0.861564769037866	0.0324737310383049	0.374994755056047	0.933107242047175	0.776558566459501	0.952344785528216	0.302738771109925	0.316410696081828	0.0145541467606993	0.988178252773207	0.883556533425782	0.999261962395542	0.926947031820387	0.284647285846779	0.964400211358189	0.887121064804182	0.938850972143618	0.617198680785301	0.95430444992878	0.0441672001596099	0.34994906199218	0.994136914383666	0.650010476350731	0.964606847308655	0.914818116388997	0.0350965315973934	0.00876943912634629	0.690814369641187	0.973429237504686	0.27099747210165	0.673498393585245	0.166171235478497	0.265743573910109	0.00979505381766803	0.221956537794447	0.911558696497282	0.349079185507375	0.978946817629197	0.998013765985456	0.0648280340617031	0.00896624173100507	0.691461346097984	0.978523181141199	0.744018855501202	0.957912813419014	0.0795643650970276	0.99824554835885	0.875147116524714	0.83646121398864	0.0594133594222109	0.996201074128998	0.856137663084032	0.500750693276692	0.71466358238497	0.84638361309597	0.867293519607368	0.0728335230663541	0.00428066676099901	0.786504648260865	0.879446095151132	0.999414103959171	0.758118806848549	0.769650764081938	0.609763948890921	0.977332085173212	0.698544058860099	0.996190827488821	0.604796758702308	0.176492837832493	0.873148416891155	0.522528194582055	0.892503026320573	0.980031194831545	0.327918717267126	0.935838747638151	0.583148583604191	0.971189315041744	0.883145134246495
"SAMPLE-4"	0.00734687881277285	0.00103737527118584	3.11998596114615e-05	0.000149988331824503	0.000532301172143012	0.860507246967077	6.34175791965115e-05	0.00473983756459662	0.000140820756726024	0.0240937533388956	0.000337275696229822	0.00132874936239659	5.67691083580123e-05	0.000178083693067419	0.000975696113055689	0.00480811952954643	0.418702336184168	0.00014685949575794	0.00336374877460936	0.0140501547610083	0.000160471245445013	8.42282875448035e-05	0.0318847571483915	0.00289078338142843	0.0156763113954187	0.000102067435262908	0.00495353943996133	0.00300988324819996	0.0134826682807806	1.23474604209086e-05	0.182448783271126	0.00146126969347757	0.00144690120665003	0.00552809879967039	6.8771192617335e-05	0.000244821360067207	0.000917734623695477	9.43767221897001e-06	0.0696603252749789	0.000288519376379451	5.65395378505547e-06	0.00040966662857366	0.000145386406217284	0.00278896955812734	0.000134467497810959	0.212429425981138	0.0014211723682028	0.000123500924449926	2.21022600914417e-05	0.000453448759555359	0.451710128417287	0.000154375687206086	0.0186070248380393	0.000397526668225717	0.0128332061116146	0.000225960992023012	7.84867288680859e-07	0.126725353764374	0.000158585515090571	9.50472428891745e-05	0.00403980413669402	0.0178917999014931	0.00205329860338005	0.00182863145107169	0.000213815767582223	5.31397195849053e-05	6.56125984570864e-05	0.00342890782457636	0.0152116366449838	3.90757827495229e-06	5.61842484171789e-06	0.00115446347426315	0.000247924090894054	6.63604265740626e-05	0.00295741129765038	0.000298993345654943	0.00189070128019863	0.00109045253799991	0.0865656531300835	0.000740266554777513
"SAMPLE-5"	0.801696279471116	0.999780451694614	0.997649628853354	0.000550462504917765	0.0193216869482266	0.998058977947355	2.48079669026801e-06	0.349545989459496	0.78372776693598	0.00970771339790239	0.99996878596913	0.554224606351927	0.77285601655959	0.682115260073391	0.613875798568439	0.0275367896679264	0.937596442810621	0.01020516901715	0.658762253510862	0.755080743279161	0.876838937435962	0.464000136519647	5.22192911433926e-05	0.998614298421359	0.876088849975145	0.999732836542406	0.624399292683322	0.594405981553842	0.00397312335064751	0.000628730851771144	0.131716277777865	0.210881522766444	0.971563090480172	0.166629202368946	0.000470888632542093	0.415571381859236	0.973730768625646	0.000354602012087348	0.22712250037855	0.178625045805762	0.545335172551661	0.958836385349306	0.000630389358439177	0.982655576318249	0.674577381073274	0.00375070972153251	0.108433989306722	0.999500737620885	0.998109628233449	0.280117844350981	0.479112228818935	0.975743199740518	0.0149894041663223	0.95394178009754	0.000543375729819647	0.0284436991856582	3.71191141545824e-08	0.79063502993616	0.109231406521729	0.0346610174508299	4.83471893623123e-06	0.176746857989372	0.904402779048926	0.114364677967821	0.000319714472175258	0.994702785737024	0.998215872249849	0.914066017022119	0.961760278528627	0.994872219842175	0.993346525286589	5.44112726714743e-05	0.981585212726219	0.0997962597708619	0.998456456988036	0.494551828146336	0.32755211646707	0.985206004113879	0.0448065385395339	0.951408104886967
"SAMPLE-6"	0.693226309976983	0.75449633540518	0.351532708706259	1.11183137983268e-07	0.000178536115137122	0.937009330218626	4.71451825474741e-07	0.182951717739647	0.327689586451422	3.64189684349701e-05	0.906558753717403	0.000238954850084042	0.103438210259993	0.972654648044488	0.0033860789396631	0.00429555114707092	0.995814085476728	1.79762482521551e-06	0.0856651961120945	0.000956249137951977	0.530302262794074	0.864599683129651	2.16371791946854e-08	0.000828232938985638	0.00207591554762062	0.185081620311111	0.00561125042691143	0.81752816312163	1.14099636118337e-05	0.000139428603326281	0.000723932315732371	0.00564743695582296	0.826108716799611	0.000267969076608297	0.000329987116363906	0.00422682871657934	0.0174703969877027	0.000661987281775334	0.545212332469847	0.0259577051069595	0.0130460597188528	0.0121834435041048	0.000126445000983844	0.0549447288158645	0.0419681706286426	1.77549963505808e-05	0.00353111242470369	0.000364914248265164	0.0460783344637016	5.21380036193851e-05	0.863132077489029	0.0331417216794911	0.000740737529264769	0.572275027978275	0.000510285826428438	0.0320387764582484	7.77125373417682e-11	0.00260716344054295	0.0014571413579784	0.639095930520198	1.92789902549915e-08	0.0605883862939861	0.000365203762377038	1.29347836350173e-05	1.23317317512106e-05	0.0897338058651438	0.000129481264272972	0.0145854100296252	0.0257569975121664	0.895598484977926	0.00381791019652206	0.00450231325589603	0.0872398746314746	0.000313498900899362	0.74834098405134	0.000784218344805261	0.00316196060168081	0.000594112065633865	0.0053752569284086	0.0139571822548719
"SAMPLE-7"	0.999493365163668	0.999514334743407	0.999331700195925	0.993211049591941	0.999891558750573	0.999998788581082	0.999911678094508	0.99998277194351	0.9952093466619	0.99959749805518	0.998964847330344	0.999998601221461	0.99990757841562	0.999749670322537	0.999994351424668	0.999706322019123	0.999893570312875	0.994827705500805	0.999869052606186	0.943603292225216	0.999831581944965	0.999983131014512	0.952288405943089	0.999860736748584	0.997617310251594	0.992115112436148	0.906922023384623	0.999993466485487	0.97115832634551	0.999971601641289	0.992226713172034	0.998663147305579	0.999976710328918	0.999943515257509	0.999905939372419	0.987625392793699	0.999999669123074	0.999829004152609	0.999996162958959	0.999969569043507	0.997769674400958	0.98454957610232	0.999860478525512	0.997935729771327	0.999987128006781	0.999976983237855	0.999538874605096	0.973174546123273	0.999973306802544	0.999209682530897	0.99998900046906	0.999657233349797	0.999916699933224	0.999683057306258	0.947112475576496	0.999837973670821	0.408774415144723	0.996964046255886	0.999506913284917	0.999986293822115	0.995890842441791	0.999954932856902	0.999880636089313	0.997103545636124	0.999879884010361	0.999320223555457	0.999827617406666	0.999988413974535	0.996428590271396	0.997166233660758	0.998809081027502	0.973386745809048	0.999067962089468	0.999799182363793	0.980087967677161	0.999512919049445	0.99813246150389	0.977489890657569	0.99936531111229	0.9997256968961
"SAMPLE-8"	0.513769206623012	0.723405966434885	0.931272053514719	0.656808716337806	0.655365104801289	0.840269870166452	0.999334469511329	0.896450839942407	0.911357255939544	0.655293544452006	0.9164492961702	0.962074653302206	0.987353639171705	0.975675758341544	0.999046047121034	0.815522324661218	0.795534693398943	0.560759733998674	0.112860000014697	0.106601179332935	0.833825384113589	0.495382347464629	0.288433034136912	0.328394446641424	0.944562546392836	0.00869398388209189	0.324368112073784	0.710386953418902	0.179298757504833	0.71401881006867	0.495228595065892	0.937318129321009	0.999959118329791	0.00278211156673877	0.96033923443567	0.413681328674852	0.931820271766282	0.958744732727888	0.981101919893985	0.10654593005373	0.0377544870707733	0.660808971606938	0.950951556626731	0.855850881637082	0.961956984418253	0.85907154540214	0.874440932669167	0.320561766670675	0.94467073060676	0.988915400971135	0.916001691915316	0.963578102517107	0.0258073389655663	0.656220820079826	0.00241658793872325	0.918133299818856	0.00253334635937878	0.920581423902369	0.996321162125938	0.997929371072585	0.995356301294286	0.207684850542816	0.298816092750603	0.540475891580746	0.417469662939287	0.920860868169717	0.0177532108210152	0.984474237909652	0.304864655629308	0.293411101277737	0.00455932869121022	0.769441059574083	0.51693813786981	0.989832531062114	0.193411527085587	0.938089979002939	0.981528722365024	0.440182386504197	0.0140810312522093	0.826983240780802
"SAMPLE-9"	0.999999810476643	0.999998436238585	0.999581204615239	0.824158513215633	0.999870246996631	0.999999994922464	0.999998112274635	0.999992200297686	0.988956547981552	0.999938458194092	0.999998432975339	0.999994816407065	0.999923645653523	0.999999999705798	0.999977449440684	0.999999777188818	0.99999856721608	0.999959223788564	0.999993190875079	0.999977852017556	0.999996934561967	0.999994354864316	0.999942415644856	0.999992355084011	0.999999975771649	0.993584811716942	0.999993741369763	0.999338667988982	0.999793714919969	0.977910228294067	0.999998660017435	0.999801497998829	0.9999999889023	0.999915732502122	0.99996296578359	0.999042071171481	0.999996224508984	0.999991500756549	0.999999351525113	0.999999997197838	0.999999975867931	0.999991148441892	0.998263977734783	0.999978347562233	0.99999998686252	0.999999310800372	0.999999980683908	0.995347958824059	0.999997497459545	0.999999779607576	0.999870914205579	0.999999747106473	0.999978864698714	0.999996938921766	0.999990326546473	0.999804131601726	0.722609627059298	0.999999733073824	0.999764082577901	0.999962493357367	0.99990475203382	0.999979847414436	0.999999033666546	0.999997233110259	0.999265131130802	0.99997978945768	0.999970473679681	0.99999999942731	0.999999944423508	0.999998327428771	0.94171401119158	0.999921974298153	0.999974621056479	0.999999808980658	0.999999514801785	0.999989944769842	0.999999332415044	0.999998294850118	0.999999912427724	0.9995385485565
"SAMPLE-10"	0.794833472465581	0.916686800315437	0.16932947033048	0.107497724500011	0.397431894758959	0.980110644483233	0.0701256847129729	0.946292418319501	0.0980336093416379	0.796233170886862	0.111211158449422	0.953623156918729	0.028742729018484	0.134077011757309	0.93989033172599	0.792544321614833	0.83563752078299	0.931799236832686	0.235218811341104	0.974816994365369	0.442996832067636	0.129454456192389	0.985164125314714	0.350545509360486	0.992864881389036	0.0153479461884742	0.996642465445371	0.0435730441245035	0.97624386565859	0.559372622767109	0.919815204228766	0.125751600750867	0.779209752737083	0.850073857277273	0.288601323805084	0.829650320008199	0.809447154450278	0.0879692430858936	0.954105337476141	0.0923717610063115	0.790342423389387	0.694815348625192	0.755260192163834	0.91144065399564	0.825037561492605	0.8985014314291	0.997875349218668	0.871487917675513	0.297338173540577	0.853468367465337	0.805522361069425	0.550616048188565	0.503060842549099	0.887374012481482	0.25333627066344	0.975160611461444	0.0501454822652459	0.910993360944906	0.995371600911239	0.475365671956803	0.99665391505968	0.544076889677391	0.996478269918547	0.905155758026329	0.399570243207309	0.083816694853729	0.452425063583582	0.998971831440191	0.851066613740922	0.354131889495257	0.34385754551726	0.503848269266901	0.257902873614974	0.73310078181669	0.845672496840937	0.140629133145285	0.439393853678208	0.963006509592148	0.797740461627688	0.314043851232519
"SAMPLE-11"	0.000576269468722289	0.753894333867192	0.119102856714017	1.14961138312583e-05	0.00303532450526965	0.0148875230811383	0.00192338884645036	0.0142576119641832	0.0215237136586907	0.011794558443598	0.00080895700396507	0.0075978553779996	0.00124885979869778	0.00452384035973243	0.00913399295453619	0.000707225589067486	9.71712241564164e-05	0.00818685112087632	4.68315744310436e-05	0.000476500758804405	5.26282324836161e-06	0.00183291417551285	0.00027160872988202	0.021999144599146	0.547923165799168	0.000821171673113057	0.105784758886774	0.0478300737085669	0.280821855914289	9.86488885617184e-06	0.0108192539057297	0.000241806062917855	3.00725115654329e-05	1.91789374099173e-07	0.0098515358188468	0.000924737876913707	0.00426670150329749	0.00102955513662001	0.000265422581234801	0.0118924446647733	0.0482902247538621	0.000179934367988323	0.000303204557679539	0.00893601863773931	0.00410313408496797	0.000837565211566492	0.000772570367017669	1.38745496532508e-05	0.0464961683708907	0.00243437875160893	0.0396355680120265	0.0017014602338764	9.40444356171488e-05	0.0190104432787182	7.32751717333892e-06	0.0703014120982254	9.83895182568734e-05	0.000350951498657596	0.177201143636049	0.000135794948055192	0.00384926811329492	1.68196659881241e-05	0.511231333641339	0.00188982764331155	2.00642730758344e-05	0.000145181935048357	0.000756803323943534	0.000728338458459863	0.00038000225108414	0.0132692439941184	0.00409928571556478	0.000897243175051963	0.0017027479527439	0.120116103727778	0.00414983544408755	4.01020944311097e-05	0.000773818348867673	0.000282816059260204	2.78537717793344e-06	0.0011613026576755
"SAMPLE-12"	0.832848062964497	0.988873570849435	0.046189815596739	0.291810791848614	0.473880984855537	0.984842673686395	0.862739688723007	0.883802886765331	0.153782594822983	0.9778843315141	0.822963077166084	0.921006340676885	0.747530380983783	0.91216758384292	0.987197045585399	0.959206752542701	0.807429505040571	0.941668161303464	0.785166109721954	0.962328572556958	0.752960367745196	0.0574287255020288	0.802457061324454	0.958031649688335	0.99449266719145	0.00394530619924915	0.971336270486913	0.740062802579769	0.432773585212079	0.193490407199943	0.805956895361261	0.846754205628402	0.999630735954601	0.244327118516801	0.196744362921716	0.926129540341712	0.958910933722061	0.0833444284320774	0.99700287329557	0.198810491005509	0.971620922114368	0.419712817407795	0.828177853997383	0.999377055495376	0.943330293628574	0.976286942175054	0.945216714256647	0.544477430288064	0.91895335399321	0.878734306501415	0.468047255448389	0.987358165460973	0.055557054444939	0.987298153348562	0.108443845123175	0.820526477470108	0.202658027051369	0.997867187575579	0.994509817329309	0.225917514139135	0.949597245372112	0.586563000573918	0.998586627100545	0.777123957078824	0.95413906990546	0.591175765428939	0.736855489256108	0.999557253796185	0.0477096221943331	0.325699253198707	0.00455502581775774	0.930541379959641	0.0688253368541125	0.465541931524966	0.381771347926363	0.754720453025753	0.562203800900757	0.888576464589884	0.998982580824409	0.921100951794583
"SAMPLE-13"	0.999992956310754	0.353164148443733	0.868436523594423	0.0697116761556351	0.342880719300541	0.537030859216447	0.00829343560840219	0.789039475088699	0.233918846505272	0.964621534059963	0.516278448959512	0.980961625915069	0.272536790509459	0.491995595379475	0.733931447901339	0.127678683318558	0.743742440124514	0.480511984533824	0.218308902294641	0.0209600724817957	0.485797412761703	0.00114866711702542	0.785403957114254	0.00431349995113196	0.196551458078749	0.00790683797052783	0.333443070799304	0.0351310293361785	0.00321315637359667	0.0191685785480879	0.195252245198969	0.044152383243326	0.125807078262155	0.00319760564825797	0.165736044763125	0.548904675139058	0.39615192599205	0.159961656776547	0.28692694556453	0.858234091855724	0.567176430631337	0.020877145002932	0.981099684948679	0.0887780439332401	0.813238482656405	0.999918282189378	0.667142479434106	0.00778531320211727	0.0203496935867046	0.00339464963899859	0.737096306506397	0.39884717188379	0.143038717785672	0.157501823501847	0.0151341107900496	0.775641871121592	0.322227569323651	0.470098973070738	0.999962677382154	0.0506476591982144	0.499996319833426	0.746207243894703	0.972130693809463	0.0134374544770207	0.82226431427484	0.00265235104374683	0.998800125295235	0.999993527714312	0.00353019121891323	0.000121380753480503	0.00170986850832879	0.0827650944156218	0.0821293435918252	0.984736433139569	0.00139970258945461	0.626630941175728	0.12643980005269	0.0147017635203708	0.401854394961134	0.99807494757893
"SAMPLE-14"	0.00813873355497951	0.00733849888440904	0.00114651610030021	0.000564113237171913	0.0310342375047692	0.0897696328765252	0.00132395530978368	0.000948525698272104	0.0119442822562241	0.000586947516034975	0.0757277483097769	0.028926071365258	0.0351748635420172	0.000838304993701183	0.0248039321611051	0.0116617609498803	0.0108035821030447	0.00220027700450749	0.00385216649524084	0.0625429073699636	0.00523761539865634	6.20800038511127e-06	0.165005474742495	0.000869385471949565	0.00138134117280521	2.00897867765854e-06	0.00164970453123485	0.000868589867236802	0.00213458542234692	0.0425807839012113	0.120915710248031	0.0675644586228069	0.000688987798270622	0.0103399596505887	0.0792241371748958	0.0418718654497835	0.00173165814238665	0.00470026276596866	0.0296898102360652	0.0024390969574755	6.33502038326603e-05	0.0172746449591086	0.00668188903806487	0.0780494560839719	0.00744586753815924	0.0759578627227486	0.000834589700300137	0.0084301036899076	0.000331656471958993	0.018577820942192	0.208482432870849	0.00272810947332138	0.047778048741898	0.0557750504384262	0.0676563588519783	0.00515698307366185	0.000151624468832498	0.0380871040057352	0.0876047710798804	0.00466387149300881	1.05587663803479e-05	0.16595868834211	0.00408982262851194	0.0120409118085173	0.000101214493306214	0.0203092529823513	0.688795293337338	0.0669436129934695	5.90706749843417e-05	0.00042446814780522	0.000334698746343665	0.0190279700358785	0.000965691448138155	0.0290585267028016	0.00286791760439419	0.000190841840489584	0.00251528284682115	0.237778547521178	0.00499564830249896	0.0153709612071584
"SAMPLE-15"	0.106153694595046	0.947513052133642	0.671422719363241	0.00463096441786208	0.00433279602919405	0.997668244328376	0.495569143739249	0.452461728780457	0.76958421350252	0.878445404546068	0.778865715471802	0.844312831065943	0.966534880574342	0.00814403704286326	0.936395409427516	0.787005971969102	0.489750024719156	0.70897650401758	0.0708175736160433	0.991290694781113	0.974200757047664	0.899176205099936	0.363523049130258	0.148187784317837	0.768959776427052	0.0269533090837575	0.521297912082619	0.436897050129466	0.810736540212814	0.846747013636459	0.905787428946124	0.962862655921077	0.999327291979596	0.962894574789464	0.220793158934236	0.882225489745212	0.961345315952555	0.858094069224149	0.896003903590285	0.270837678259585	0.734178487981616	0.995524659276293	0.908027702940004	0.999832639685308	0.999998412612275	0.923572994993881	0.999810280577952	0.778218611282802	0.241314125928851	0.942963494890273	0.732617013986957	0.957817551891479	0.325297434450824	0.953601436854288	0.922325188835555	0.527133234360088	0.962362826295368	0.999958250618173	0.99038709420631	0.999991390848603	0.831976522112649	0.0616336493175594	0.638818938896479	0.551972031231004	0.0897214609694126	0.255474062173371	0.995923424082664	0.891493772290562	0.6380570534325	0.493240006356811	0.473825690286065	0.0926128544449009	0.715205955896946	0.062170485324329	0.321074143322686	0.290999498685627	0.206218681760708	0.987012187657304	0.998220557264045	0.192265333666057
"SAMPLE-16"	0.999999971417613	0.992820530667745	0.999999988807557	0.704323222839616	0.999927594175012	0.997915129530649	0.990552873907688	0.999933094876587	0.895299027661351	0.999998991662927	0.999999999999992	0.999999876713719	0.981475028739481	0.937540066739784	0.999999480569976	0.809017519017475	0.998714582282698	0.446838589930229	0.904133078412042	0.999373612956256	0.998870823098713	0.998866492421645	0.998147866525786	0.999999999995347	0.943973888456722	0.999998943799604	0.989945661539172	0.99710362129242	0.994941871967259	0.993911603944731	0.97505462210277	0.999997960602725	0.999721970392212	0.999999995500756	0.181918276786506	0.961401070034231	0.999999998469665	0.995750046419793	0.9987765953961	0.99997446986807	0.674785764689651	0.998526510960077	0.992354205231582	0.999998176365218	0.999920371614175	0.999986352840074	0.997236836500028	0.999999999983106	0.999693982073605	0.999814595980888	0.996159415703158	0.997240704559126	0.87466213774	0.916252689908875	0.995489070433453	0.949083517252565	0.99340237216166	0.997886484854253	0.999999999718787	0.945010126529958	0.999606708859854	0.987703925870026	0.999979095042363	0.97787665352388	0.924751243407109	0.998904994917329	0.999999999999601	0.999997927788103	0.998439636117858	0.910917486724444	0.994626441035635	0.992827859632811	0.995920198899584	0.999999882996521	0.19452331679039	0.999980954716991	0.999831073227405	0.998750675777985	0.999999859555048	0.999647856870314
