"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR31418698"	0.839806394953436	0.965006723871599	0.970264545205978	0.951724275376921	0.99965749414624	0.995049085280693	0.985018814588896	0.995341039385927	0.972827429268409	0.980455505113872	0.999157224574043	0.990333307467238	0.998985963247924	0.999393476629347	0.999026154897978	0.997742124750268	0.999200634702202	0.977971907510145	0.998661313701425	0.914167926200107	0.995652106807785	0.997081189817082	0.997709094640678	0.994451684524448	0.964518709190202	0.965178333352974	0.999826937131122	0.99993709719566	0.995702054785094	0.934139866346194	0.859583825394108	0.999470000259165	0.977558092177175	0.999413398438535	0.960743946663956	0.999410482929494	0.998302965583432	0.997820832076572	0.961366165269688	0.990116545707643	0.97843641256555	0.999712711542046	0.998628360514674	0.92837077914641	0.997333132548356	0.994180233086232	0.895586613982064	0.997095255153244	0.966746192237366	0.999952741466701	0.995158928680704	0.972842405112715	0.993672759967578	0.982572086400924	0.962899881345572	0.916696908416622	0.997896342518804	0.927657357133756	0.987575594507889	0.994639925310822	0.999134310938353	0.994348985219535	0.982313366904884	0.998514225278301	0.992667267175628	0.999744495870656	0.990357468891452	0.993870368666142	0.933183759448184	0.996493809648637	0.996991628198967	0.996262494578153	0.977315809166206	0.94063566237308	0.994230711531091	0.999351258586626	0.987227312193633	0.997838690435444	0.999913208022985	0.988349905528342
"SRR31418709"	1.89407577201547e-05	3.65948568470117e-05	1.39037330757863e-06	2.35163223987835e-06	0.855947433532727	0.000173362975090873	4.26154514589984e-05	0.0354892860551051	1.05648523974768e-07	1.87301179327885e-05	0.000111131273956953	0.00776528812017524	8.02486498452238e-05	0.00227792465432176	0.00045856061325641	0.0291107117214713	0.0502371423143233	6.49984821837217e-08	0.000400149312893161	1.07288265918e-06	0.00149479405626923	1.24120727668967e-05	5.38105684222772e-05	1.6450259011402e-06	3.85936638268705e-05	0.246838322777582	0.000120541059174824	0.00359153534637776	0.015555261914151	6.62505872489481e-05	0.000396746935307879	0.0117908270237148	0.00351471740922665	0.000143734102107043	2.11296622064839e-07	0.00102744028854477	8.18116636536779e-05	0.974465465243648	4.14825520372889e-05	9.04238950938297e-05	6.14565862589884e-05	0.151044119099986	0.000581995135504977	0.0179819646118455	2.10080558488236e-05	0.000687717137686973	9.21112433145821e-06	0.000677461495665023	0.000140842745532671	0.0709673604585812	5.02061265720225e-06	1.73149894552693e-05	0.000401172980848166	4.83561409969704e-05	0.000242184952412252	2.43185723801052e-06	0.000579475039336861	4.68422838210732e-08	0.000168374196863548	7.46689243922102e-07	0.00601993989127286	1.69192264580086e-05	3.37113583631281e-05	0.000251839023141858	3.90677412679534e-07	0.00667679579347528	0.0640402540761779	4.35306410453837e-07	1.78522597524592e-06	0.000317630357143577	0.00307026134221751	0.000562383623261628	0.0159665610764984	0.0417079250268528	2.94782105469887e-06	5.52670950978737e-07	6.30707193318807e-05	0.00010541759468779	0.00835241405104222	0.154316051542872
"SRR31418710"	0.0485855355347023	0.967215652673093	0.857000883785247	0.0377672754908692	0.996924486100572	0.718029520315417	0.843678464256546	0.972766159652928	0.455283807841062	0.0172946435321979	0.792111192600613	0.471004467302741	0.94999651350891	0.908659103250029	0.90256707502641	0.977143253187579	0.993789525099399	0.44837167099452	0.965573620461527	0.191007054857706	0.404700676449001	0.712340986850578	0.495736910226348	0.0111348936810018	0.740262270305276	0.243862259158116	0.911445967951969	0.946653638275976	0.332191144768308	0.899079837186344	0.00961088924156658	0.980536016578472	0.964952172113894	0.877148184917359	0.0454009529635617	0.977827904280458	0.696490679993854	0.870471199161684	0.410222124026683	0.407299256855439	0.415385425193189	0.754901673229877	0.0666074562728609	0.367062070043101	0.51731859097531	0.387331484234825	0.52032379023899	0.100879008592103	0.42775378727688	0.998777194347731	0.414276582771669	0.00984037965511485	0.0410848448871343	0.608878208961283	0.941689566792127	0.72246800030741	0.388231114707137	0.100634416919257	0.869601008407716	0.0188648335495769	0.994596624290457	0.502526519630813	0.0337521954808475	0.940230120314257	0.0321478767553446	0.71958659565305	0.853927421017401	0.0951792817748269	0.143147664843079	0.942648147636441	0.946857733787662	0.144313367973553	0.518353120029014	0.82937939633731	0.133921289975113	0.0319282780534351	0.0610715529236513	0.392942886067954	0.747198859798852	0.161498109209601
"SRR31418685"	0.00564372134763794	0.136134371885348	0.00408036813453796	0.00100431622572989	0.208138023492649	0.0073650328458147	0.0404708879612119	0.0128939427043458	0.00193429533152921	0.271311653952691	0.0877424295361396	0.00171099261934277	0.0227697663817836	0.00643581947094403	0.00193814894610568	0.0826785196533436	0.27561100685843	0.386869271266995	0.310069869729601	0.0103056873855784	0.000172446887159755	0.00163851146643184	0.580103510380627	0.592724222828987	0.00421712038613981	0.00394686307735776	0.692025546419418	0.357640185483895	0.0193144855097741	0.00063854650610475	0.086305013758115	0.285889493184337	0.0436954912662927	0.0340400575895	0.0120521151852333	0.922352229241117	0.00120492902504034	0.315341322203248	0.00493554024076594	0.0433411393293178	0.0458326074210223	0.983793253201509	0.00478591000821707	0.0663918112813403	0.932221703210165	0.9109602292828	0.137558382736228	0.251602338927501	0.185121458993802	0.0789347710604162	0.0967467813712319	0.0055472627806098	0.452663793675675	0.00967206969640072	0.00074852617123825	0.0638046667702716	0.731912552130047	0.0318824680803294	0.0134895770029968	0.741343906409507	0.331938202179857	0.127021185823748	0.0608595815340529	0.227522340372882	0.144486672325391	0.0935026963787584	0.000402784476260506	0.624578264378173	0.34305288999213	0.410668412347674	0.052564575766282	0.438113220919411	0.0035849887541159	0.915964498799926	0.173721123446411	0.0883871020451772	0.0322781047286077	0.0194079723341144	0.191040221539401	0.0934927564578012
"SRR31418686"	0.891047694118747	0.919740241522481	0.512788941586287	0.429446852412887	0.992305252166732	0.100151877391819	0.897632969430943	0.0857222871019949	0.926456609862352	0.819938539850726	0.771724562221347	0.0983835050512109	0.985559587939502	0.707580675944156	0.534677987625601	0.81116908938431	0.953274856628215	0.346792830186295	0.782275296766481	0.222503856802043	0.214440795946357	0.848993902778685	0.364141481764325	0.485390838865398	0.909954581570918	0.64477387197082	0.449209359759844	0.707612550800851	0.728335351656031	0.687427429859525	0.501107038165989	0.327006675533373	0.854532821976627	0.126889380528992	0.759537933137231	0.990624536672116	0.851849557550604	0.903540204060171	0.333510206569595	0.826926066304807	0.595313164679496	0.999710520700416	0.309379367964328	0.259233441351108	0.772348703286189	0.621726586249563	0.933349573653708	0.455152421292914	0.392620643330229	0.781660515627102	0.73217963579708	0.089273443008884	0.881862077209415	0.861653384969687	0.231754887812975	0.786743232167597	0.427213624393437	0.958273199766298	0.947390002159322	0.515773518229096	0.938442924181206	0.520574557480845	0.0995632230253396	0.958348244954699	0.761027291915843	0.743868791515948	0.354077563915568	0.770393531660681	0.361998273763739	0.0873801909125801	0.278747010003555	0.426101768502861	0.576387298912529	0.473884531567533	0.0972042971000624	0.258055455850827	0.184898072691168	0.442809053572742	0.857736027169863	0.394820783766179
"SRR31418687"	0.396230149229021	0.963436988603684	0.855921129535838	0.889105501209471	0.998174343611633	0.204693944000875	0.989069094263241	0.95491023981511	0.949082857391119	0.324492441170487	0.993650755185327	0.147711857721835	0.977923255102161	0.780406891320094	0.979658495014689	0.992460716145125	0.984544729360248	0.689902783760729	0.876379695411449	0.816303420178118	0.523309354766033	0.860624637555708	0.351798446817932	0.998760144021844	0.980375421077086	0.368695265064368	0.938304017407874	0.968808621892882	0.873919963135957	0.237250752668783	0.965217585807179	0.862858820520235	0.987987774977311	0.790907718494028	0.990934977775048	0.997223970707656	0.596005750996484	0.740946984366703	0.679304652880948	0.553041563936099	0.48353083537148	0.998813961710238	0.697830309975589	0.368449666882753	0.982886685223368	0.789046993853356	0.843719621227513	0.376074379544969	0.840815220713129	0.989112065745075	0.652930664479519	0.327194416649876	0.978605913196847	0.639757906927849	0.375915397956554	0.94029359894754	0.984583140848601	0.538781549476418	0.973415781568065	0.963197125419554	0.953002315275643	0.98501742084616	0.366130750732997	0.991207051644357	0.89344526868287	0.333399444149144	0.997598055813739	0.997465261906362	0.0172175212738991	0.989437734076512	0.99374635738596	0.384894882048395	0.988910194094151	0.834895524633142	0.43643975646241	0.997224891939166	0.720672837385633	0.997445657721386	0.980760614579778	0.937706784168161
"SRR31418682"	0.963189343182217	0.979038686966359	0.939827418251305	0.99285296890148	0.998436986980221	0.989186364940299	0.957461392820376	0.999828012310229	0.96702686736733	0.994254598798749	0.995486321986386	0.995938293419221	0.993838455362971	0.999979146329861	0.987917604759807	0.996660076839828	0.998974324390303	0.77993872456296	0.994134720151806	0.959096979597425	0.998406918902145	0.999646553047494	0.996678207869648	0.999988506527514	0.99178731225896	0.993004891961404	0.999657848502691	0.999609637268297	0.999063396789173	0.991775221989823	0.999796168207344	0.999770290263199	0.998329448013281	0.996074832030921	0.997024343411847	0.998619553128925	0.9290203709719	0.999407600986278	0.99734708628948	0.995131733570624	0.996664671729585	0.999770137524673	0.998097168492601	0.979842497131709	0.999023575089661	0.995695051272708	0.995594318802808	0.98991305042768	0.997782501631521	0.999742763095939	0.999119554593481	0.997035060864482	0.999822236184331	0.972524116787652	0.999686320566112	0.988198700275907	0.999862933947443	0.98354098759519	0.996795331398837	0.999822961912148	0.997023811403116	0.994797737896529	0.999405190960911	0.999333994611915	0.997580222237969	0.999697398928593	0.999855070884713	0.999959648866804	0.878956411983045	0.99953200622347	0.996936688431868	0.998578982060291	0.9939159007775	0.994492236615772	0.999470994131831	0.999979708251979	0.999471343510293	0.999761687733186	0.999996759301293	0.998319878101163
"SRR31418683"	0.00389920896342361	0.115327448649354	0.0201222097893407	0.0557748663408044	0.402293181000712	0.0620564387668917	0.102716909988681	0.145657784657425	0.087916823442918	0.319713670506633	0.00603686508467371	0.203084803551687	0.0771891772692436	0.306354356299144	0.0174277137778302	0.140895108689601	0.0763685945138485	0.0241737409748196	0.252943064629445	0.0410272530276277	0.00397057183808337	0.065795934358467	0.0316752644613315	0.0358861861385842	0.102296347099947	0.0729255436084071	0.274063838523573	0.0633194181981053	0.0228199708017354	0.173572936154699	0.0518050805237495	0.0198804251738812	0.313151310239701	0.126440586779536	0.0340200504894733	0.469145326141449	0.0221244030752816	0.496940582566709	0.0647884537566552	0.129067376995509	0.554525512861696	0.974520656525334	0.0147826768361505	0.0644158581255924	0.293838559670208	0.0160252125646855	0.273251302739632	0.0142010019173649	0.0134346948323761	0.160316225172927	0.202554433226931	0.0139697132141537	0.76370983992343	0.0291714252177304	0.0112903721152714	0.0354950730065803	0.188891389146047	0.129194733634299	0.0125004689170247	0.00506093378096872	0.375687191859017	0.0824796227248033	0.00667870938025068	0.0553041388365733	0.122813930672163	0.159586290914586	0.0117511014677921	0.0803234472942422	0.137835218795268	0.00595011784542851	0.0562625321817026	0.00497625290390943	0.11001157191581	0.110299923077148	0.0870521653796533	0.034403493641441	0.0213964100708287	0.131155497100293	0.220301481455411	0.0486196975818403
"SRR31418684"	0.953998230412281	0.999874859456519	0.999659165060279	0.998562164199378	0.999926505709193	0.999464878726313	0.999973495490126	0.999643146830551	0.468518350245053	0.971972323298746	0.975365669759013	0.99993962433772	0.999855027229824	0.992419253424048	0.943806799444995	0.998819518519626	0.997032581068624	0.997606001736707	0.999193241627559	0.997542579039748	0.999114333062359	0.990071836002322	0.999041522152831	0.84613665547605	0.999761940691651	0.991661049225368	0.996079872712129	0.99060310059839	0.999955751391773	0.85108201931139	0.999788210203339	0.998552714318921	0.999424530200253	0.992697782660417	0.872226379205973	0.999912864135812	0.880319980716329	0.999911600347587	0.997982708949443	0.999197149576071	0.999859194117318	0.955818430014725	0.852553364477116	0.988687415775178	0.999444818085027	0.998006177837153	0.999972780228915	0.910423683961743	0.999933346875548	0.998426094554149	0.988840587242145	0.989810026614148	0.999330283104119	0.443157120882443	0.466818105422128	0.999358635221362	0.99935415586839	0.931282731803868	0.972750858478986	0.954623952115292	0.99969136312722	0.999624815843586	0.992631510737387	0.999987989583237	0.999802853051291	0.998894414066001	0.92590244571793	0.999998724644121	0.999458672980606	0.999908125513749	0.999938806616688	0.978644562924682	0.979517816570442	0.99999994816741	0.999883095031335	0.999362744895774	0.998458987215772	0.999085944355625	0.96850260478287	0.999797071458917
"SRR31418707"	0.00670181662177004	0.446064425512251	0.216750972412967	0.0593942983457069	0.381644890854249	0.0112119827642828	0.141142278400969	0.16684910112137	0.0875670462637778	0.289859934573389	0.0136486363447489	0.229785408673188	0.178995710716896	0.484681791679492	0.0423823413353004	0.0762473819066738	0.476679198410468	0.115536687955429	0.430907339691827	0.500633993732214	0.0389107263907783	0.151941539359326	0.112240824425737	0.1284780553648	0.129142348326746	0.191702824058727	0.624255734145744	0.426763280416432	0.0779020918851566	0.270127305957142	0.0251749212689552	0.117619424082075	0.211328682543171	0.374547754110103	0.101382453180406	0.25885833900329	0.267884769086376	0.926393184265843	0.0393765215521488	0.287039408910072	0.810017235036616	0.999979669699128	0.190736778149529	0.227182456725426	0.540582157342813	0.142920544128922	0.482802089506976	0.142635638235601	0.144848377125994	0.249762304222397	0.249452596839327	0.0016533733439887	0.738614668000162	0.121534547864118	0.0805980976569649	0.0868593493361432	0.497980488580076	0.0768801869301598	0.213688623621101	0.0248223784266757	0.654672627130833	0.287598934947197	0.0531646666829281	0.265497415923395	0.107985694345789	0.890372155632028	0.0214134895875153	0.0585710763732219	0.407800508885699	0.0750078256708403	0.113588393357419	0.0317635337780481	0.237152533633314	0.0578069846431525	0.360683770243873	0.277027067957227	0.0295719535102813	0.281808550095245	0.661591046572417	0.294600166910245
