"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR13357893"	0.952772357513366	0.994671780642641	0.991192925476354	0.739133619201874	0.830405947866201	0.974343665897017	0.952666051743178	0.838448076554243	0.968404677843022	0.995946669659995	0.967746805740664	0.866197229245283	0.997549353812531	0.95909562960732	0.975608861825298	0.933771228242014	0.987564282381528	0.956672372739066	0.992305047148902	0.991814798999917	0.982423912350088	0.907187274356913	0.989353306237884	0.897706365861501	0.999738441857696	0.983677598098979	0.748883224234522	0.850257770997761	0.975459571016279	0.951712038649559	0.997810325603814	0.792668656383148	0.802850438706197	0.988640108621	0.827200059214819	0.99209468189855	0.972982715982658	0.998341671167153	0.996706744753659	0.989400777769611	0.98483113708304	0.994521139636974	0.91953962809693	0.977387502622678	0.997894545393106	0.981434316582462	0.954075088253199	0.498153545232014	0.929207867694752	0.990923791769316	0.982724504423895	0.990409744943588	0.924747153322765	0.999892386367883	0.980228459476878	0.999836037597499	0.972115686232939	0.999758745561268	0.967092770816254	0.719513158573487	0.975359633700596	0.997516318716465	0.996491223741274	0.993494622700978	0.788439656982301	0.97791015082404	0.997388580291329	0.996120601031638	0.993088001557893	0.868223769283426	0.825275540194768	0.984891566044493	0.966313894383353	0.817399308498364	0.995866135734838	0.994679539485246	0.968479410175711	0.997427071107386	0.969809240642787	0.984851666033876
"SRR13358121"	0.969635457950029	0.971581390592574	0.978694912223508	0.736670724188479	0.719867764347449	0.935817382544774	0.843944776963384	0.633113269962693	0.864135586762417	0.904826062423647	0.879324667720642	0.748957034978667	0.971579495987603	0.892590640820272	0.98240641979335	0.79474395305722	0.943108280966126	0.929508445283166	0.914132178155009	0.918508589814738	0.766211465991293	0.902718504006506	0.897365416450737	0.807304583670966	0.992048204398957	0.953296260287435	0.873111261861535	0.835829330746125	0.968167978866948	0.750811192814914	0.98882031819536	0.872574022511476	0.514209639885276	0.779016377292489	0.806287029034962	0.981641898055932	0.92337882558938	0.906697564307881	0.951994922713867	0.944514756708157	0.923226846436527	0.968555918637661	0.943135511359834	0.99008260487976	0.776484301370978	0.856557645505675	0.904251832495249	0.656638722683797	0.932169848630697	0.980632878018518	0.832604380128926	0.786649229639523	0.766159106453075	0.941995875593491	0.808025110016971	0.977730783622377	0.953163145693703	0.991158289445528	0.816039182819152	0.935543219675695	0.942811837930739	0.938927247352846	0.891931765337162	0.970540609322498	0.913734534990738	0.912286886057052	0.874253677464195	0.964807828751492	0.965410119477797	0.921497073565853	0.795812672207066	0.929733834963257	0.949651893736832	0.814307672309308	0.926515006605468	0.89972535008169	0.77656705179154	0.906436844594862	0.917929046188573	0.913116015645604
"SRR13358010"	0.425139618971406	0.159343890391604	0.307140631730789	0.402742320041783	0.22835905526167	0.165248973734637	0.114454267033095	0.159868208946811	0.370090371918235	0.196018074278389	0.237794190392129	0.135448920596098	0.129243700360902	0.048356910271387	0.0893001542321555	0.251137317445606	0.249786785463471	0.163061531586181	0.0608435847353684	0.16495501068963	0.184731457932608	0.0902665464339873	0.327783690906904	0.120963137571697	0.266973199626926	0.201531493633803	0.219782317177759	0.52098823879621	0.410553417489237	0.0781786955822124	0.098382773011179	0.397225967074147	0.183055688617346	0.361772552006882	0.356503171268178	0.283408976418465	0.27538991354691	0.13290344485019	0.280620577132704	0.185244601742855	0.108561779053272	0.0782083829462147	0.281496802824353	0.49556892045194	0.108412731182649	0.193724468661059	0.0338310328285889	0.198873105512281	0.189868489076681	0.392005136924851	0.278560385576495	0.123079275425093	0.098018051957468	0.26170355496314	0.224737130938146	0.0899375798556476	0.408617015490592	0.314134830910274	0.0631430351326627	0.429368041199607	0.162190952048797	0.260937978052423	0.317335772488822	0.0757761482270464	0.241188534070701	0.34405153680891	0.124495631654702	0.211059987561714	0.263602372322474	0.373736731199914	0.155597831976454	0.270762227075344	0.206239061137414	0.139132304137038	0.0776739794238181	0.121167257605896	0.430010093808578	0.0405254024922868	0.379926617799103	0.293478627932022
"SRR13357899"	0.552150487818355	0.533543897428093	0.517900602637715	0.452179581488146	0.388367053733416	0.559345765503989	0.459013323105177	0.536139805571744	0.347397432159713	0.386203239974285	0.754649789481652	0.405339581038879	0.440866473959197	0.434151017335537	0.320729620204927	0.476000173282707	0.552914686180063	0.383101478854671	0.536503937979349	0.617271364192191	0.486663692223752	0.307950852496773	0.670126750681861	0.384847274758431	0.743018430582551	0.653378252041378	0.327390731672796	0.567426783376859	0.61999344802875	0.412260851200964	0.716871510470779	0.389275694634219	0.267033147103391	0.49719681904848	0.650730560658075	0.517660752217985	0.330640932569601	0.460553581429262	0.371753353404106	0.306234504946706	0.433119581199502	0.493259361886492	0.625058293179226	0.332500563834229	0.329349941181123	0.517821403050542	0.373050378333193	0.299124204056191	0.368866679928377	0.665710422744932	0.367053839980179	0.471425092781537	0.333245387087447	0.728698409970342	0.448528110275488	0.40740899139325	0.593865745596659	0.536142686453823	0.437439247931756	0.498334814856526	0.371712625441636	0.62044955915269	0.423566416756813	0.518855279297012	0.393869607462542	0.53049257405625	0.550689736937098	0.485510618883779	0.65173664335615	0.398730175445496	0.149075749102984	0.794742118632383	0.551340526233777	0.258069467425767	0.398053803576972	0.261645858160788	0.347042482724363	0.395844909832897	0.697440900694693	0.388445980586438
"SRR13357647"	0.983779756090594	0.999452614587415	0.990105903528962	0.823891853467226	0.958212839550404	0.994661944429485	0.981654331588732	0.999892105137531	0.999479272256295	0.998601861927161	0.998415680148239	0.969043879842974	0.999547321835999	0.999950663120251	0.997551679144108	0.992412346296975	0.999400859281519	0.997807035506802	0.999696766794502	0.994276127648142	0.999374465755064	0.991517463208008	0.992829290018162	0.999981190261244	0.999680550021695	0.971966961913727	0.993203221628511	0.967623736347149	0.998549399171391	0.999246376933225	0.985607241899267	0.955878443357535	0.990044690395815	0.985852715692086	0.953188376366741	0.999932718501482	0.997273405521494	0.999808068319505	0.998200592794216	0.99877099313399	0.999999999980074	0.999692081310031	0.996592341564428	0.999647985606766	0.999999084692463	0.996544682170183	0.999999999999968	0.988575680027459	0.974542122963942	0.997136271214089	0.988997800144211	0.99998356013409	0.996245945386902	0.999998372411577	0.999992213715169	0.999991900546454	0.990524249338452	0.995361040653075	0.999693002339872	0.989099154007983	0.999963153294239	0.999871622727158	0.999872124584852	0.995255106301765	0.996889377372682	0.997404169864827	0.99940546153029	0.999765964293546	0.994596953759249	0.999999999429624	0.976971140279838	0.982372912944597	0.994942203825463	0.981594640679776	0.998581865781741	0.996756177035286	0.988559736856481	0.999851266436339	0.985942472705749	0.995383058709787
"SRR13358145"	0.99952308610667	0.99997713446668	0.999168011676678	0.947266763949311	0.995283349106461	0.999759106579303	0.996938576303901	0.999879234936708	0.999571238555062	0.999969038364694	0.999350133432529	0.998910403331935	0.999697047230437	0.999920864141314	0.999980937105735	0.999954686062535	0.999964508930826	0.999938555004553	0.999963884845363	0.999799652625925	0.999985054549275	0.999949893110954	0.99715021364007	0.99998544276806	0.999981443049363	0.999853931838501	0.999851844686324	0.999037117537032	0.999997326373553	0.999968866025545	0.999966761094911	0.999208815373931	0.999690872244383	0.99921158305323	0.999971563299026	0.999966397147579	0.999962536462086	0.999993180417254	0.999966889495152	0.999990388980426	0.99999998079287	0.999903744834965	0.999828233666991	0.999995851031596	0.999981719698659	0.999914949053974	0.999999998570489	0.986766737456151	0.99835532964173	0.999209601557443	0.999294499808048	0.999913965743282	0.999919014759619	0.999993608811594	0.999811292369382	0.999991863443311	0.999862157988771	0.99996941849619	0.999945959786815	0.999735487246325	0.999994286683977	0.999970506491512	0.999876188367368	0.999985849615764	0.999919687331802	0.997867791822198	0.999683370725773	0.999996782531949	0.999587779171551	0.999999835802655	0.999515175662152	0.999710554645308	0.99996180774035	0.991346761049135	0.999883491874508	0.999426433237286	0.999917092613508	0.99985717465051	0.998998275063361	0.999535913152603
"SRR13357892"	0.968976752700376	0.94558332761749	0.928840327266287	0.768132992701225	0.860161335751544	0.907926065119576	0.943750813405297	0.825117981271428	0.851975928024586	0.958210673730703	0.95578428258862	0.715317991431082	0.684174872088073	0.93959053288274	0.975972054633386	0.962869600959148	0.898036422174143	0.938857592170188	0.845909363421721	0.87228641897755	0.950182645411412	0.899827685418889	0.854180702152526	0.894086092641862	0.826185874875711	0.638994958729793	0.655562329337156	0.895806513069135	0.991477951011793	0.894289857124155	0.971967663523445	0.751813797260123	0.70635336715696	0.845672772953371	0.970847745198143	0.901955372865085	0.947739387843863	0.982696692784957	0.927228406080261	0.953210803001768	0.668191806271104	0.954263987567436	0.887120299830973	0.812634532985773	0.552924493490142	0.923342311200132	0.821250138779725	0.47189141441288	0.809149039599199	0.757802404315941	0.790614213514352	0.946582405405071	0.935171917644218	0.928604268972215	0.871500370056043	0.968221047101252	0.968967943968983	0.776416040629505	0.879765234451449	0.882015654290956	0.923916714312368	0.888436108432574	0.820395018369464	0.968219186842684	0.80150697141703	0.594356217787316	0.773774674813429	0.993669043416465	0.786520325926575	0.972243682911582	0.574965761611171	0.960788397317259	0.922939339801011	0.620212635516726	0.895603837185565	0.88477882698865	0.934644787900556	0.740964092870538	0.932996159888169	0.905579063164818
"SRR13357761"	0.998878604820159	0.99955089031871	0.997168670804085	0.970619703851833	0.984122197820651	0.99836987183351	0.996170593655545	0.969242304560438	0.994332310700875	0.999668001275819	0.998184285834986	0.998681502825816	0.99522754272527	0.994962458205068	0.999920906030666	0.999761806376227	0.999806984827468	0.998847858304496	0.999430393544112	0.996857520601454	0.999040383897398	0.997342382197692	0.986662800958941	0.998712075889248	0.999079873704134	0.999355980491774	0.997534287283183	0.99866237876449	0.999899092789876	0.99870134691354	0.999754802112651	0.997198942275527	0.994047713957947	0.996800845425852	0.99976888803169	0.996232944266158	0.999334461133094	0.99990206086494	0.998122550452106	0.999946173149094	0.997072413240944	0.998852480535472	0.999170634186226	0.999836328161813	0.969146703491958	0.998518014561508	0.994441477426141	0.988682412502882	0.998470422952487	0.996651353723157	0.997647634490756	0.9920933243426	0.998559383786574	0.995896818471852	0.988521951011811	0.999395484874699	0.999768758921824	0.997603781349211	0.998851636238761	0.998288395750962	0.999028751787859	0.999385223263887	0.993511853785649	0.999859867712373	0.999499807479184	0.947845140938774	0.984729189027891	0.999937829802836	0.998617437640686	0.994613847580372	0.990127303092175	0.998747419740367	0.999764845420185	0.983063858866731	0.999048284089224	0.996259567974528	0.999344384094893	0.994597519162127	0.997455747342019	0.998323321803664
"SRR13357693"	0.630001599271216	0.245285480919137	0.72141060393046	0.553900951641993	0.3953756583913	0.361295550236408	0.513217133665766	0.104134935243154	0.526400877796088	0.272773471448295	0.553009366476787	0.295732693214269	0.179504004412245	0.0984063797798218	0.601697134570948	0.313232152613411	0.365465175879558	0.351950637640785	0.430459092356673	0.32882165547384	0.20028508933393	0.184985086127838	0.551791252415755	0.221787087193394	0.63242431079664	0.661237326609792	0.372636045611486	0.560607313662884	0.464565672570307	0.281358108917549	0.617405516651699	0.356306096646731	0.273930103745062	0.440196282914681	0.244619652051825	0.175502010929296	0.411534963296236	0.285951898734776	0.35357959900467	0.226065297381435	0.283778296381142	0.565360586170486	0.586629269223268	0.669517295764905	0.333944211937232	0.36276076166985	0.28410771935405	0.268223923171463	0.669925218804442	0.668958184110734	0.439496976956809	0.755100003945719	0.179756701757524	0.566505921465601	0.452754807507098	0.320372395755525	0.554716732095335	0.778027007429599	0.201360125147116	0.233718495320615	0.292594323360161	0.214400316982676	0.152770250182838	0.383166152299279	0.339253312430899	0.492124277299962	0.366438583655243	0.414775380071565	0.612588853595033	0.680609814373106	0.228019299769127	0.579738448537448	0.624164457012521	0.326629427526671	0.26313280513374	0.303871380283331	0.551727821385954	0.351050450569108	0.399355823874042	0.279001000261326
"SRR13357682"	0.995741510964755	0.999542427430286	0.995634801024031	0.94871124792352	0.994698269763447	0.999213371262823	0.994348159915257	0.982483257764899	0.99945075909345	0.99993920214658	0.999765402947695	0.993999392770542	0.999910793509161	0.996330528760959	0.999823075244694	0.998679002329374	0.999953731185295	0.998801731240712	0.98391657697311	0.882493124320847	0.999967796750678	0.999894308566925	0.989546570940957	0.998334697408396	0.999973643531497	0.967311466724012	0.999402462761584	0.982010781584156	0.999835252948022	0.998929431218893	0.993250959415977	0.986052912342692	0.999305610769819	0.991472055832614	0.999308951774755	0.999581323190739	0.99955066526944	0.999985795881189	0.996886657875716	0.999479152778377	0.997766718664187	0.999830088632211	0.999861103875579	0.999803014181442	0.995396256054743	0.999630692998125	0.99612268234083	0.991188797000041	0.967900185087498	0.999862765352528	0.987391553651448	0.998525332650456	0.994991633877345	0.999844555786516	0.999277543123458	0.99997484650764	0.995703492967448	0.994168330142619	0.999780289301833	0.99935504579728	0.999848025591466	0.998532029315238	0.993521729898025	0.963616651408302	0.970809665719916	0.98935648160312	0.999166200429353	0.999806712431467	0.999312175696188	0.997753102259513	0.996647396047822	0.997770930554173	0.999970061596056	0.999898952231571	0.998810847085595	0.998711318732995	0.964690213437316	0.999541067162573	0.999868563650958	0.998198476208345
