"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR39238494"	4.15805035228857e-07	3.58931469688044e-09	1.31030525143223e-08	1.11840869158614e-05	5.93038134993549e-09	1.47057936038523e-07	1.50314102124511e-07	8.06267952226548e-16	3.43340272138655e-10	1.22541593820115e-06	0.000155410989787096	7.81164146193075e-10	3.82885564585901e-10	0.00206371386560079	1.09015498005931e-08	0.120436360488248	0.222118669866354	0.692102113665785	0.000197823920673053	7.86015344557893e-06	2.06476239224786e-10	2.70179713709125e-05	2.51215014082371e-07	1.61441382474374e-09	0.649102543961294	2.18049496297861e-09	0.0127496290783779	6.2874897182547e-16	1.56868618021493e-05	7.41964704140011e-08	0.989384910941839	0.0193450277609091	0.00311626518750491	6.68032877185807e-12	0.132210387720219	1.6673953416339e-07	3.53965195656492e-05	1.44472909101349e-10	6.11047954231465e-09	7.37448091962046e-16	5.04997726327799e-11	2.57156721615561e-06	7.18480079774582e-06	4.23897815766963e-09	1.11841927995867e-05	5.06602615014167e-09	1.73136362956125e-07	4.33327574608876e-09	1.66536030879312e-12	2.0213854435407e-08	5.26909465910657e-10	0.0216475446605686	3.45221492943103e-07	9.00644640559725e-08	2.01530539691228e-07	3.45945614358266e-07	0.0101628976201405	4.78837056804627e-06	0.00175145026575315	5.78260398791055e-05	1.16909120669047e-08	3.77888222924901e-09	0.0060517279153776	8.24845166251129e-07	1.27647656172606e-09	5.98622206033194e-06	2.21784308523259e-05	5.78662899825261e-07	7.62542974520434e-13	3.03329528505988e-05	4.21791547853896e-09	1.50583369655266e-09	8.1129306264682e-05	2.14257927621847e-10	0.00282197344632235	3.85704754227823e-06	7.07635918301479e-05	4.05372968578317e-12	0.0109778752799661	5.68742683387078e-10
"SRR39238509"	0.999996665257217	0.999978891367348	0.744714068461753	0.999999971636643	0.999984279053386	0.973067939032197	0.999986085748315	0.999999779415051	0.965388738732101	0.999993444653613	0.99997527824244	0.999999958797905	0.99841911062791	0.000211515354766505	0.999998924809955	0.999835416288111	0.999912993110063	0.999808081482174	0.999881188123952	0.994567769798685	0.999999996618465	0.533650284872977	0.546699832191605	0.999997223398495	0.889100682566899	0.999715295452986	0.937323214260269	0.999108048239108	0.998232379378509	0.999976670253132	0.999999695188547	0.202049113157427	0.999999723292989	0.999998554895693	0.999999488329519	0.999943245342605	0.999997532259496	0.99999797958857	0.999999037193696	0.999999803483672	0.999951179711265	0.999998266375523	0.999975276453727	0.969342033537536	0.9947952987288	0.99959210940881	0.999856421486803	0.999999222313479	0.974392288548746	0.999999369950485	0.987219456217874	0.999999999986112	0.983842532014858	0.636381162510605	0.995216112904533	0.999990640021977	0.99485555140255	0.692525651561987	0.999995619250734	0.999504555604577	0.998718991223933	0.999619904764528	0.999990197760367	0.997145732910042	0.999942032233322	0.999368312640976	0.999623747308896	0.994287063176744	0.999999671753265	0.999977273252894	0.985889196276775	0.999750172537995	0.999580723809291	0.999438805459872	0.997402258123261	0.999946854223426	0.982878936643586	0.999991212033729	0.999162116285781	0.999391046316199
"SRR39238493"	0.00948743495875297	0.000171267907825328	0.384132284484804	0.0134769437807617	1.76934030116191e-07	0.965365753881377	0.000364475846454617	0.00680626632773281	0.0527546331309808	0.0417426134945349	0.00518755255372417	0.0080232994067068	0.000588056643288654	2.58150871006163e-09	0.998820025934692	0.866082022468202	0.910682825467857	8.49523025077316e-07	0.000230035735358503	0.00153341760235119	0.98467811705488	3.38363843048821e-06	0.928429404693332	0.053209364861644	0.999854581443661	0.849028542351506	0.988727310061139	0.999999999442256	0.999925915173561	0.000113150706831859	0.8494764883806	0.617849130936347	0.000261810133638066	0.0152003011355157	0.972670416928986	0.00606058466222456	4.24060394518024e-05	0.0111522627697507	0.0288959416835184	3.02259736079261e-09	0.630747297046166	0.0139472377540021	0.0821360047044696	0.998841908550168	0.0564856542811363	0.00101905855245535	0.842318688811973	0.000645860069924582	0.126962742959567	0.000956579481190228	0.000175391103633628	0.000298544229556761	0.00325030216885266	9.96406887461694e-06	0.0167631174240234	1.86039145720019e-06	0.036849308772997	0.00069258570794229	2.25463898120228e-05	0.732882755748762	0.000431073871412145	0.00652341259578774	0.000793874184569885	0.0396388875639715	0.950896426355708	0.000398268813363209	0.678786141195375	0.0590573811792412	0.0289492103678126	0.986040960553022	0.962927442385386	0.992400773178097	0.999680422987776	0.00393143796279005	6.21062937288587e-08	0.000438718919798943	0.444424571616501	0.0111853381624535	0.16154721837033	0.802882133846294
"SRR39238551"	0.99950258451383	0.999937605149368	0.930213528502011	0.999668823354044	0.999969612721896	0.999848015565422	0.999843072438525	0.718838309464392	0.544136288720594	0.99885596729611	0.498201910972055	0.945583928207935	0.999992748212066	0.999975092322069	0.999837838446893	0.999921710903244	0.873357272869185	0.983717252270938	0.999958409750153	0.987614488673671	0.95980484206085	0.999999837694675	0.997972183958285	0.989169019949275	0.509746823711841	0.995450256142149	0.997616274875773	0.0164170565803593	0.990148719432837	0.99999705513549	0.998528801872492	0.977254614825873	0.999463675254684	0.99152946547851	0.999807245015883	0.999629026340952	0.998635520587459	0.998372636473869	0.999998679868685	0.974678187587625	0.999252380322818	0.999558213350602	0.977931163623473	0.599182453933342	0.999996313029581	0.998076791921371	0.999993848400327	0.962764613187204	0.0288006706470274	0.999937032239366	0.980748374861596	0.999999989478846	0.987599739645063	0.993370199981157	0.996429041794509	0.999355681730306	0.882343293268915	0.99999914102304	0.998186499548533	0.997375767081055	0.9999999744989	0.977274271924018	0.999991479741816	0.99691285080546	0.84630572976332	0.999920263762225	0.998540570884483	0.997724722678178	0.939514607662853	0.147867511600024	0.999989202580912	0.854949957050986	0.914436913434083	0.0396621888773478	0.995843983064549	0.999901701273485	0.962041119784083	0.999996362832312	0.984257523810473	0.989234299166987
"SRR39238476"	0.000156006341116518	0.000159925026356885	0.000190724570900316	0.000952385392518806	2.70767441510565e-08	0.00135482227230446	0.000214900074583281	3.88304666140827e-06	1.19386424545707e-05	0.00551115640789358	0.0131167393409623	8.94509976676465e-06	0.021044062185329	8.50607562504199e-06	0.000428407605991213	0.108043523665479	1.5882883839968e-08	0.000193330780056269	1.3899521708595e-06	1.1668959505773e-06	0.109676379277985	2.95819214978591e-06	0.00235566270771152	5.51086196482527e-05	0.00138580521484434	4.66713419267734e-05	0.00338928051228129	0.292815846079289	0.00699606622673001	4.39332503850996e-08	5.99227028692032e-06	0.00915500052898218	0.00964680718215923	4.52236710301607e-06	0.00127730389806355	5.60550090182847e-05	8.470880958185e-06	0.143509398316024	0.00191810702000808	5.77036013351365e-08	3.01457365151138e-06	1.05421152181537e-07	1.32440410827399e-05	6.80187993541952e-05	0.000483240874832598	2.55878495042375e-06	0.00017223525939806	0.000897867298651545	6.81230252241623e-06	6.13760764460694e-05	7.53829662815384e-06	6.18712028126986e-05	0.0130879328347615	6.14463729350075e-08	0.000180846030521978	1.76828727144524e-05	0.000290830485346992	1.20036668881659e-06	2.46409093781106e-08	0.00142272636689	0.00192962638048081	3.55950648814297e-05	3.39843069575268e-09	5.07223755485316e-05	0.00492684082757927	2.47121677652662e-07	4.53319286776452e-05	0.000521137561966476	0.000231783319804381	0.000241812461444642	3.64564591788384e-05	4.28571690203671e-06	2.48597468389273e-06	6.73761154346323e-08	2.34364614472793e-05	6.06245458272083e-05	8.62301779721807e-05	0.000751595427259348	1.86430156681164e-05	0.000647840947010567
"SRR39238475"	0.0479936333049103	0.407117361791693	0.0567341642800066	0.0902662225882391	0.0772281161097116	0.987007001276803	0.00175445230752663	0.284859588443782	0.21489892478041	0.0109069310948428	0.0838901708205608	0.0505710099031952	0.739633384012884	0.20550293453986	0.134228840616127	0.0558241737144627	0.0277673563622288	0.0341698034782211	0.0105559586925212	0.921944968889656	0.997367568582232	0.0509157857858305	0.494890561123127	0.663836413270157	0.0748921168368909	0.00604295138901895	0.748410491614508	0.293382422289144	0.291157640391153	0.0317969098751528	0.00641271882862591	0.860797203853428	0.422893696818681	0.00539375989518619	0.00589873597309219	0.0701635535117691	0.0152937634008456	0.0438731795311975	0.838808696951956	0.0141318426735368	0.00981447100407354	0.252556856965144	0.0149177183566569	0.0527745344257319	0.938765851174317	0.119783184976342	0.939106086083839	0.0102707283397336	0.102368433802827	0.00262670553053868	0.62722165929353	0.995230789983673	0.120205525946779	0.00251901818836667	0.189674004337	0.167431224755232	0.398367757361468	0.350487233233376	0.251383781498776	0.884177811283802	0.179141778173587	0.0760773458699946	0.059648302904824	0.220118156382342	0.11116874296251	0.293846391812517	0.0790003670363683	0.274536380831519	0.132509929621144	0.995842116488396	0.2619157401622	0.662160217775923	0.120210466347526	0.994277922225606	0.00994815786889556	0.693135750663671	0.174139669791644	0.379879359259072	0.266604769264123	0.0179344732019521
"SRR39238550"	0.925136008004342	0.964335776449896	0.978795229900534	0.836005785221849	0.626390944705677	0.987164276006683	0.59419303842596	0.968974999863942	0.949756485523403	0.826643887604377	0.993572146422265	0.766246068421756	0.991599492157377	0.862977445671692	0.992188582191805	0.965208596419206	0.511897029675044	0.142457939519434	0.680870357615774	0.998304347003605	0.979824045324433	0.995240343975156	0.968539027294551	0.992868680150284	0.794491419863464	0.275171473076826	0.908231013337965	0.939043292702583	0.994625718359262	0.753839307498095	0.483360539651331	0.970787047421415	0.991349847592895	0.744408029586674	0.810851982269991	0.883676827902186	0.957610899043895	0.885684754479807	0.995052976042536	0.463889618518214	0.305223072602063	0.99871534025067	0.0243156427653191	0.769561949840824	0.994244870903426	0.9670790696025	0.984707411608038	0.628377180423657	0.742192642268133	0.789585147426553	0.992135583283741	0.996899386313249	0.991692972255113	0.901044829795744	0.906154196974481	0.966595526763744	0.995888535763648	0.938146576542674	0.790282627928155	0.964960496797543	0.899612438626617	0.945204707732941	0.369595429984584	0.973337189230085	0.902596354555262	0.875469324624753	0.826362093414291	0.987575618005653	0.815563994780294	0.986524305261797	0.971223736881493	0.976523415900846	0.989302942630019	0.99914579263677	0.903929401973367	0.972236813036427	0.917836133734614	0.845323355735435	0.904458904528301	0.96052340834921
"SRR39238474"	0.613781772918491	0.00616133887780071	0.0124605498676942	0.0310670073484432	5.99850718024186e-06	0.0007278617031391	0.0198508618964144	0.187269805490664	2.40106377302883e-06	0.0330104998728415	0.968802432888008	0.787101244007073	0.00063541131694723	0.144535486770195	0.306663386126715	0.112006628897843	0.0044657445339756	0.25320236705552	7.02054887987052e-05	2.27296699753128e-06	0.00585139736615639	0.0140682922929897	0.000225530379686897	0.333930004056575	0.00108112049004276	8.29575718917525e-13	0.0176578880396611	0.00130714808513935	0.0151923130077151	0.0102999480633281	0.105890817995027	0.000568615410967712	0.976826546430503	0.982628368343625	0.994083765429107	0.0201024255653845	0.0452873094732971	0.968183632386859	0.533765732729972	0.000941896551428893	5.29635795357876e-05	0.0434591674568248	0.00148482636711141	0.000122955561866215	0.019137580262501	0.207893465386313	0.538446503707936	0.974776706487769	0.000522943541897739	0.757656458061664	6.05155897595719e-05	0.0306281922119022	0.903419021873546	0.362159853633583	0.000690752601637699	0.00191619118543729	0.00433228473665057	6.89911956246071e-06	0.00744328145711838	0.0279449989711823	0.166571291322032	0.13966301855809	0.000672411047498201	0.00787361361910822	0.976704314274228	0.000627967033055149	0.0853965617587523	0.00547698025087924	0.843810584910321	0.000680974944246523	0.00221750591477981	0.0852791715762667	2.47383762213511e-06	4.50403110939539e-05	0.00281430914251045	0.879726009317161	0.00163185352255313	0.00170141315797356	0.971434934240002	0.102222721315619
"SRR39238473"	3.72677206606226e-05	9.26108111186557e-07	2.39036841616792e-05	9.48091971465267e-07	2.96507626365355e-08	6.64753568428795e-06	0.0004225432613964	1.91573147777152e-07	7.60488296071627e-10	1.25655714851546e-05	0.00160514173771891	2.76924344456232e-05	7.13263586033639e-08	2.06336746855759e-08	7.94278083567333e-09	1.17577518944656e-06	3.87605731009963e-09	5.67208784012345e-06	1.59002119286113e-08	3.1537732133359e-10	3.55250312375981e-08	1.15257761485089e-05	5.11358194998283e-07	5.08210713462316e-07	6.79988726623653e-07	1.92390149661269e-07	0.000409189911826827	5.71053391480211e-06	0.00469462171953745	3.08831092626869e-06	9.64229647863666e-07	1.63956385185202e-06	0.000457681385793274	2.34855871894268e-06	0.00563890648922718	3.51468112305674e-07	1.63237323828512e-07	0.00013794765316719	0.000402297867880669	1.53310965466879e-09	1.18313618258223e-09	6.84629093359758e-08	8.80714210776193e-07	1.029617144739e-08	6.63345744891244e-07	6.57678999235575e-09	0.000319299866326826	1.07677785642954e-07	3.94824996541477e-07	6.95093368556154e-06	1.56816192524231e-06	2.45691346496934e-05	2.81854753105525e-08	3.96997389448349e-05	6.26121529749228e-07	4.1741437801772e-05	2.72997879449227e-07	7.73934592529626e-09	3.37911002364411e-08	0.000190359551468838	3.48167465908666e-05	1.5329451314003e-07	8.30764531492249e-07	2.44158834126571e-06	0.000244823748492808	2.29175479318126e-08	3.00778983807979e-07	4.07805466501644e-09	4.8026939497668e-06	3.44803171546625e-08	1.57728891969242e-08	4.89397832148436e-06	4.38093112128334e-09	2.03307138569301e-08	2.47026928163332e-07	0.00088561294907266	2.88442846766241e-07	2.43481068710983e-08	0.000129752820549411	8.260338212954e-07
"SRR39238472"	1.08081806405037e-05	0.000445533283824038	1.46571590333044e-05	1.02303633406926e-05	6.17886209601251e-05	0.000236415595016107	0.00012514945602368	2.59034641293794e-05	7.79625891264545e-05	0.00155586903334801	4.60297448343373e-05	0.000925928166262392	0.00277001449904594	2.2314390194022e-05	6.62637817579952e-05	0.000158174485385489	8.45200027542584e-08	0.000206185482942739	2.17257478434378e-08	3.58586312411701e-05	0.000257861169066729	1.57539638864348e-06	0.000888967157574335	9.31811366491785e-07	1.16842087538655e-05	1.85688113302429e-07	9.8975161620645e-06	5.04769016159133e-06	2.42209839488429e-05	5.33346495381667e-07	5.20481997993017e-06	0.0015172300041883	0.00290340219590854	0.000267756779126323	1.29251277951343e-05	0.00113585953821096	0.000387229474159309	0.00820474206975796	0.0058421060316456	9.35102020340146e-08	6.2071846926317e-09	0.000307632523658151	8.13987078423838e-07	4.82207690567295e-05	9.20281009887204e-05	5.66162616840067e-06	0.00925913344434763	3.43708485885864e-06	4.29873760138235e-07	2.81956581914201e-05	7.23466220695584e-05	1.44440567556258e-05	1.95290472834508e-05	0.000100402358772234	0.000129754912855627	0.00290563049454319	4.00792866863882e-06	8.21796192158249e-06	2.82078845729161e-06	7.43503035199339e-06	8.8606086524464e-05	0.000114736623574257	1.45717264853189e-05	0.00033393103442977	0.000656448545188633	4.34117856978356e-06	0.000609519295381188	5.88177869283326e-05	2.18022419469091e-05	0.000136813486320241	9.94237756580273e-05	0.0172258592679602	7.64600609290397e-05	0.000119426082954055	7.98069063030162e-06	1.10941176709968e-05	2.48108712455897e-05	1.8801130843141e-05	0.00120981779616051	0.000760265293488965
