"CV_rep1"	"CV_rep2"	"CV_rep3"	"CV_rep4"	"CV_rep5"	"CV_rep6"	"CV_rep7"	"CV_rep8"	"CV_rep9"	"CV_rep10"
"SAMPLE-1"	0.998768962657746	0.995759966936661	0.999744692765289	0.997239239784643	0.999551925689054	0.999663399194633	0.999911440241813	0.973390186426984	0.99998117491504	0.982989186460356
"SAMPLE-2"	0.999904035634293	0.982432217666993	0.999868139940152	0.999994031806564	0.996903459873961	0.999996513348505	0.999984780815127	0.999998782955373	0.999941779906757	0.993089620850773
"SAMPLE-3"	0.38648550517045	0.121676736240427	0.0913229516862121	0.00663798169929555	0.249010340638734	0.127869916110906	0.992355176032616	0.0323114340653456	0.553388426073511	0.000905128538860038
"SAMPLE-4"	0.00413257748576737	0.0050713835082076	0.000774990958930143	0.00421370778572264	0.00839536359812231	0.0046048765455289	0.00160982394687552	0.0056782052382833	0.00290103385153209	0.00102734773981813
"SAMPLE-5"	0.999965376664719	0.995714551911108	0.0491790555534994	0.532341559282052	0.999437898464775	0.554544764697014	0.227381252913582	0.999909462166936	0.984460055844201	0.991556516847976
"SAMPLE-6"	0.452481274211174	0.482691494263733	0.0458172776312781	0.000818532519101747	9.49349864640333e-05	0.0167492339154096	0.676454542230984	0.0410822668011899	0.0116403997751287	0.000316470312135826
"SAMPLE-7"	0.999772012995376	0.999913753072064	0.991084130632776	0.977587108115692	0.999851527812203	0.999832809170754	0.998352587978809	0.999988399537051	0.996979502382321	0.999742072902603
"SAMPLE-8"	0.00304431939990837	0.64181388403851	0.883505582596682	0.0339741032675608	0.027077795468621	0.0112747425648496	0.0111710755535798	0.0269000195858808	0.51788103724597	0.647190834853924
"SAMPLE-9"	0.999989462913331	0.999993556715563	0.999999375451269	0.499717875169968	0.999968923488421	0.99999325313415	0.999995996817267	0.993909676070908	0.99994271844582	0.999999941110113
"SAMPLE-10"	0.686280304853399	0.79621494535389	0.363873409420185	0.921325720869111	0.684271749200384	0.848022534304387	0.0675778002258626	0.932598954899074	0.923826375516031	0.202611347770786
"SAMPLE-11"	0.486362269975475	0.00900683370275492	0.999520008762274	0.79674975053977	0.00165545964818763	0.0740118969633708	0.0166285460889025	0.157036885019702	0.587164333206253	0.979606311843343
"SAMPLE-12"	0.00211034047441418	0.0987548500015097	0.0229642627268246	0.749490978396621	0.308604775553957	0.0604156089533452	0.197723220188052	0.000753933390396628	0.0129637915122153	0.296560950056302
"SAMPLE-13"	0.0985765779453608	0.00294303305606806	0.153110124574659	0.956012482463673	0.43434837984552	0.343962200427838	0.0185765757799538	0.472005569717067	0.957976515086354	0.764816909911388
"SAMPLE-14"	0.00525391727606417	0.0801097334025821	0.0661246330184627	0.00175431146273624	0.0127599340097131	4.15757288549575e-05	0.0010244260910953	0.0243958298520398	0.00125466247436594	0.00682026597998132
"SAMPLE-15"	0.0383430635624847	0.00345533292470082	0.1763219839268	0.000117112733022108	2.58210810567589e-05	0.00428678177414647	0.110024200003946	0.000319101133914872	0.00201097050323567	0.0669499316787243
