"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR5865065"	0.849850871474693	0.592379917638837	0.669088792013614	0.361029967557994	0.524942952722705	0.362410428590369	0.627371059164414	0.484279034582531	0.721612336509759	0.517459488730276	0.6434213180829	0.605368415271757	0.57041861701023	0.738476957331996	0.431374900538085	0.720158966069114	0.56023113686399	0.213147420316682	0.657283605810797	0.750285942081329	0.425391131647135	0.595361428435059	0.547133137927213	0.86577745922393	0.576671531665638	0.387485896933906	0.438355034982453	0.655758061152532	0.422358137749481	0.515592596434429	0.564522323694204	0.531735285695649	0.50009315749985	0.569422624592759	0.547102117538958	0.658234418544908	0.440376677737732	0.705468509831405	0.404454517111553	0.635692681612857	0.620530835660092	0.618068954104549	0.781018835804964	0.46235403396682	0.632402874091627	0.778142396755975	0.556971043029908	0.6390101053362	0.704625434748285	0.414733207037518	0.52088084538148	0.863098285829497	0.782693111838203	0.673879487348208	0.523040248240862	0.717636315021913	0.679037761517061	0.722154369755707	0.708966737491886	0.654326699045725	0.698533069385907	0.725068772000249	0.61918707434352	0.715424469943132	0.695296333467149	0.621311722782699	0.636714752744197	0.450011842894943	0.573210529002012	0.543900494952348	0.566253876625047	0.533541741097744	0.52344066035085	0.474530947565215	0.389007233203407	0.540261571815204	0.544944878202328	0.647978147081675	0.500792951092999	0.674539702691207
"SRR5865066"	0.666955793537895	0.41684442233033	0.473899057761385	0.114771523733823	0.280220882363194	0.171546119206463	0.319948367955152	0.21927185407748	0.525530419700652	0.389682669665929	0.53067495993713	0.45009910973196	0.380453308752321	0.728473474233205	0.158745283018533	0.586473049525209	0.330662769578626	0.0746803918668967	0.445757476444305	0.516497431197467	0.241914514016297	0.402245598501215	0.21304246483121	0.892054263899185	0.281391904185177	0.343418897248363	0.238459374197345	0.293139497070076	0.514261734814659	0.549182699411983	0.321925602353513	0.193916463533637	0.430284248030335	0.239426943015417	0.579251826671254	0.429905894482949	0.201429776061763	0.48900558874658	0.322861837568532	0.494038501381033	0.693393552980251	0.478883113293486	0.607387692229713	0.327255640792529	0.511288576913403	0.727025376136171	0.690365530940977	0.636281217867188	0.449896417719257	0.161571111539907	0.340890763612896	0.849931755785329	0.595153620549772	0.493500266318983	0.439937331550379	0.462345722047783	0.529698900885956	0.73047631735217	0.482355856148491	0.588158244524796	0.695934455662713	0.592509965140723	0.576320912837212	0.428344239228217	0.382895145648929	0.541097143945983	0.334814362380705	0.543704612683207	0.339045569046035	0.327923850033477	0.220191373974509	0.511266125798368	0.338067300844416	0.320062716965212	0.627297605208111	0.340300511151477	0.383825771962482	0.281650640941321	0.320648445011129	0.436173071378727
"SRR5865067"	0.441082972591241	0.105680746017041	0.153845784332078	0.0429434724241712	0.0468884051571257	0.043326060284495	0.0879369671385788	0.0281897746058415	0.145261700188316	0.22185752506205	0.214056572980317	0.289369809032362	0.0853599688746524	0.28484640645949	0.0384136940707544	0.303906023865763	0.271889608054872	0.0882367710776335	0.147387177833928	0.211105802039319	0.0299625606800921	0.175206271700008	0.0756248465823458	0.575908176663041	0.0742357394759521	0.115780914429977	0.051387388782838	0.0265741151229074	0.151793117528322	0.151093741724996	0.0805916547858047	0.0397196798741108	0.19574244959083	0.0909619328834955	0.185691559354279	0.142630642253566	0.059742198535307	0.290713733543217	0.116392714361534	0.156849120132204	0.155345400651796	0.182656221690321	0.276394361506718	0.134940443401195	0.221690687310225	0.581996684116284	0.181676088991757	0.122913487395052	0.284208078376518	0.0427247363396206	0.0768661916239469	0.404983078157123	0.269853017267346	0.177191722913305	0.145898452144151	0.20191339951637	0.222327849540466	0.299465301268633	0.146844754709416	0.183604520699031	0.284598750189882	0.236993008796828	0.167281526572353	0.157062279051869	0.140409711723512	0.173678183021552	0.194722421861407	0.123528074246705	0.095794878978749	0.0788413568882844	0.0561051805988127	0.152193573446745	0.0789503132291197	0.0656574720529065	0.141807022508237	0.0645204529562237	0.0879466764115788	0.147935694801337	0.0952515744144728	0.232502830694707
"SRR5865068"	0.843760795104483	0.580624954947634	0.80546924646237	0.295223356936691	0.517106980271673	0.318078583345045	0.598243024610858	0.431369341587455	0.749582006306032	0.535080153254594	0.727837998863102	0.692698592637991	0.566074457490345	0.804913856521311	0.468451081842887	0.796300793196476	0.199842079603852	0.145760769877576	0.714948008239238	0.689434403723894	0.455127670206176	0.624199528570554	0.49878437728556	0.663722736115279	0.537654140004675	0.320442950813964	0.442092324676889	0.559791638227005	0.340195458018384	0.46918463209417	0.506680247972118	0.599973899608922	0.42442388281197	0.633142786601831	0.594515757567036	0.568758947395209	0.325510912194047	0.76121863076065	0.447474853339655	0.710794564671937	0.499421253329174	0.628215251242662	0.746096641675563	0.469057268862395	0.678621625880556	0.664482410593928	0.451487635016409	0.68452443657966	0.695897769871229	0.415125221723143	0.519816523826607	0.760032827925938	0.719635540906597	0.667724963484077	0.511345990070051	0.813852741577548	0.76415596781077	0.787961257454389	0.696250337356119	0.690249963170209	0.736972138281356	0.760122486847914	0.629826645829037	0.828927238980346	0.761705962806454	0.695019894137484	0.619442887883689	0.412528169767772	0.526906191476025	0.559814311714044	0.536835931728081	0.530848159460675	0.437424654913582	0.416821483797844	0.310704508190618	0.574600480524812	0.587285588171118	0.606853808374723	0.496992632264046	0.676188765216258
"SRR5865069"	0.568895298135574	0.309314946019121	0.495578705475584	0.226612259972522	0.221100575851837	0.159640568718698	0.303682197984596	0.184576166697983	0.540401273866923	0.423959962520831	0.440683051708122	0.479909531766484	0.355792585002212	0.439360402449942	0.136084576269712	0.44746910373334	0.61393816008167	0.464281579892263	0.421208321410722	0.477608363845185	0.192745376911933	0.35651204534768	0.162984440486199	0.632908685854238	0.358992114824697	0.664992427919319	0.190086451173727	0.284948212297612	0.362353256240556	0.41251665359493	0.271351999952562	0.197407914824402	0.416098228790542	0.197010001244059	0.290947009845491	0.320215310300382	0.245653071524505	0.510262430761173	0.311130279834033	0.219653134402768	0.347112608353489	0.397809816219644	0.556595881279424	0.232729094013034	0.430333245732798	0.618862334859266	0.470037110263837	0.239615526743854	0.632470660355662	0.171262044880696	0.280237212770351	0.589402961377313	0.588423518311299	0.535138973952951	0.311897870711833	0.485360785034957	0.652871489646796	0.541594153250197	0.353077882071851	0.329437735628344	0.463184486373387	0.520278774315236	0.368036207351387	0.455796564294353	0.40703830451017	0.41227675951851	0.399795545795571	0.346823225582894	0.292101675175124	0.359328762805839	0.196977668193511	0.335235486956691	0.328914963043231	0.263851986222564	0.627990020622165	0.293435061541048	0.282416090305774	0.271278811458822	0.219939502477276	0.410295854980016
"SRR5865070"	0.441174433824169	0.201708230874621	0.370076143759877	0.0759028556606777	0.168557923219015	0.0917584073242933	0.134551264263166	0.155351027967024	0.160258980775761	0.315695553102642	0.394753527820062	0.22011022514383	0.183506232212963	0.445699491233089	0.124581930794454	0.371214592168401	0.13623564652892	0.0605157295958755	0.336307274685968	0.31347709050007	0.102011697388924	0.239106371752723	0.195509312791466	0.616734501505175	0.229060542167789	0.225007154587472	0.099276436962191	0.0734587673653905	0.213446765301628	0.268864534485084	0.190104492362386	0.15231213941996	0.2868189574895	0.228956867260786	0.352977148865685	0.210730385070619	0.109553371089173	0.438303666458381	0.161813661673906	0.340546406450284	0.322926332163305	0.279461820206845	0.274525535089043	0.192404921341968	0.317206635882206	0.473468288483551	0.23813933215446	0.440738445996867	0.342674314283804	0.12876780838813	0.124642430106806	0.589871340532659	0.275298053454949	0.311568694589595	0.245712748965664	0.397697922078752	0.335363267342052	0.442938647591737	0.239010579192085	0.309380822986363	0.399350842942214	0.411037860249272	0.392461287255054	0.359917331033895	0.293955492142893	0.319463731790343	0.307577378263008	0.197035640525919	0.2144721642483	0.12547407491378	0.135459887875472	0.348230898227281	0.150755882087212	0.147764043356078	0.227592000452328	0.177689396169225	0.28115975039525	0.253992505257198	0.139092472252774	0.313724759291376
"SRR5865071"	0.7682155579268	0.533038385510974	0.631530395149346	0.542635599761092	0.631637399096304	0.546175362845996	0.629666343902584	0.50408445649975	0.735670188613905	0.662411644733347	0.586478671407824	0.729464744191685	0.659307033344827	0.567451224620086	0.55801599839732	0.72752979123635	0.307142069965351	0.471718111986696	0.602532365473517	0.604649113829831	0.562884246099256	0.689291566230785	0.461473021954582	0.621820110992724	0.66148596091499	0.813741106562858	0.518266277264513	0.623304340486453	0.557547449076204	0.723283075087088	0.579248018110339	0.635218118158646	0.667387895459187	0.549485519551877	0.421458681380961	0.515275177544535	0.564525369936349	0.717071992296311	0.604243288327817	0.499075887471277	0.863841737216896	0.592888175838816	0.725208357635219	0.474301721420787	0.623989875873262	0.587794782862533	0.742917813966637	0.409008610951412	0.708386977357324	0.676741091715251	0.536138638091408	0.87657818916738	0.636103621274933	0.712745839828705	0.538876339026485	0.686852394033582	0.713189530164858	0.631298004514912	0.587601894021937	0.53470910991183	0.573289173817907	0.600005847587192	0.530419953829268	0.680745078843254	0.654192451323845	0.524800135751071	0.702830515713483	0.657407547478629	0.628870803327395	0.686457831853394	0.594664201163456	0.491222560855287	0.585125035340949	0.558241741409323	0.724724894952647	0.68407623100103	0.524621632379906	0.631716498346755	0.550978368462772	0.61478718157298
"SRR5865072"	0.616152240403685	0.388840070107025	0.544625352921495	0.133098229176219	0.294791079858327	0.22393515455298	0.364232930017286	0.259821044352135	0.491236431226724	0.509051479740917	0.468076893953643	0.500390765276996	0.359624339877718	0.676637964270425	0.25021892104753	0.47437646173618	0.312115210567508	0.185688463322488	0.419630145784597	0.569478338958895	0.280469386570725	0.388483818704975	0.265745631789899	0.736381547902758	0.274100149621444	0.404842889642421	0.229400670621794	0.201428843670068	0.59165912995603	0.357154801793374	0.332680351155897	0.357409806306528	0.464238222741869	0.312611969228101	0.537117193017888	0.38144067954109	0.194719973844172	0.584608189588076	0.350310866948638	0.45660325673187	0.387835265864073	0.530605197818422	0.641315320931047	0.400618327991159	0.540069045118081	0.663553933256645	0.460190935296093	0.536267927144316	0.515415799740558	0.122987210887604	0.3355932497204	0.525242726784325	0.571290978255433	0.497287170501007	0.496536243352804	0.606630457548895	0.516506630097886	0.686689635688896	0.472121333408061	0.596270737603307	0.701377198278051	0.546600098561158	0.544932949806775	0.538555630582259	0.404400021608547	0.474817283755741	0.42332042972862	0.405825977682063	0.431099430451697	0.377607265501939	0.298412927594939	0.479511914419673	0.244944477298885	0.278924233743863	0.526968963490068	0.338182069554315	0.534466198495244	0.308241261855197	0.313984283308031	0.391290369567781
"SRR5865073"	0.441534611154319	0.22711402681666	0.0923534558287006	0.075346204072178	0.177047582979801	0.0676748140944188	0.15370276462496	0.123157542474324	0.0700468247100951	0.175836791992866	0.143279053656493	0.16978275197583	0.119943101193613	0.133166173830592	0.0637281642988189	0.282263396743402	0.105582891096518	0.036865259763545	0.0993136828445189	0.25351799846779	0.0571419919938994	0.162781833749879	0.0943488828650676	0.600889316511468	0.0968985543687372	0.130902720024674	0.0957701009866936	0.0805909435264446	0.238779737107044	0.26435423840073	0.147975188473224	0.0565488866108591	0.254083201487181	0.142448121091582	0.0873753904233801	0.116053929885304	0.0623433170732862	0.23474362687462	0.0847855063944818	0.115974773953642	0.241423633079563	0.126541314209216	0.214565655605168	0.0965661509370668	0.134445327092651	0.473172150888176	0.207616328243541	0.0580207781980832	0.171703796340079	0.113982586320133	0.04841080550072	0.540181898807204	0.227505321385443	0.177066840539965	0.105799434192113	0.127080032514588	0.117267324075368	0.136923204108001	0.181469801696773	0.0957841586331421	0.107688434017614	0.100080823005455	0.0944515268642538	0.0965211429357027	0.116135641350037	0.112293851930054	0.219666712721992	0.170902855190081	0.121130712318278	0.0682822264809323	0.113519673333461	0.0660674158052991	0.0780589638126235	0.0870146365849102	0.202155579054861	0.11111098960313	0.0655934429556472	0.305540691970927	0.0971279980612732	0.261811352225534
"SRR5865074"	0.770236945416486	0.47680506309673	0.644677504472215	0.261875934098728	0.453927704047091	0.339713208663284	0.394372528817445	0.456014937249884	0.514939229656983	0.605507335376794	0.584795131442637	0.50382377984131	0.561860455720271	0.623862161737624	0.30567578772375	0.745958853513448	0.289557954573472	0.118252854447205	0.6138825616925	0.642832840098782	0.360797059196048	0.576040574765614	0.395674513695161	0.837082894293648	0.636916291728821	0.404695698184249	0.358497739106925	0.441863147510694	0.490191451414507	0.604067344008051	0.472887903219803	0.495518013976056	0.567418625194708	0.512668553955172	0.555356790989604	0.482453096204264	0.441789996486444	0.666311304358735	0.471713141346975	0.625960394081986	0.583701694450585	0.581040516830267	0.624521155939672	0.494665053432404	0.628759213442945	0.729131343204406	0.590791624796028	0.710513369302463	0.621799964081281	0.418852323283732	0.497483806605115	0.842700430420711	0.609393336472891	0.688255180207182	0.572624023879069	0.680544616979206	0.661307110795281	0.668704050323892	0.580070449238474	0.581532950771775	0.63287759377134	0.676684983429634	0.695065003503674	0.654934383479008	0.554905639841344	0.604029346525582	0.574832245025568	0.459292287545698	0.465079372493328	0.434331016983275	0.437141961912396	0.518180252856158	0.540969853801762	0.49104858912758	0.535131359456727	0.513256684570508	0.614145309037492	0.597412859934283	0.434521768627958	0.603918888054658
