"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SAMPLE-1"	0.855044745715956	0.749579161637906	0.793094892680476	0.658821783560559	0.795218338703516	0.551576078707806	0.710505402988466	0.764182731977484	0.859799734480999	0.681461965852657	0.68359916220306	0.874527156161757	0.713178891160681	0.662933302663904	0.585451464522546	0.662441803732659	0.78067647045286	0.67811780977598	0.636773551759129	0.689824205758084	0.771280385672022	0.693644836946592	0.502127361764524	0.957783439517305	0.469882610809511	0.576775890744466	0.655251929957578	0.745839476143492	0.840443423728043	0.817712416742241	0.770174429415644	0.591890877557739	0.659110576803163	0.620116493586594	0.543004687183986	0.695688190607051	0.648298911899933	0.637760009706581	0.592375887722101	0.608515237528035	0.621452778026893	0.544902744321628	0.853323058637203	0.559470596162963	0.76913023939583	0.964466508427038	0.85101704562693	0.511499190549394	0.716790184962827	0.685433376858551	0.852870357538615	0.903866443773477	0.782335302988477	0.715373768528356	0.722708898290008	0.771645195929122	0.799772414532022	0.624492458873612	0.765556868653802	0.68978657828943	0.577144091437335	0.731847846028751	0.650444952434766	0.745517738007506	0.751516004023182	0.742293739013396	0.601446368801349	0.763932963074884	0.64494550475101	0.700775413040798	0.724922077559306	0.545308643864527	0.679324358739248	0.700694174928299	0.88949896167829	0.778679100146553	0.69647554755336	0.865532783177918	0.729285194338715	0.808147266630742
"SAMPLE-2"	0.305797489834793	0.317101754878421	0.20351302590965	0.155114882159129	0.258032252562866	0.0793708401202893	0.215233571418522	0.194736141339891	0.400190067005284	0.338469607952147	0.209563852138842	0.373052554863963	0.147095846366906	0.266932481838088	0.0835108245510332	0.256150299501838	0.563524153834903	0.254794124327799	0.150796875652147	0.309322661306634	0.301119484662693	0.220940125524166	0.0960727052285947	0.586844402794696	0.140750977074527	0.159912368545656	0.123832426009899	0.0546314315902063	0.526523459739253	0.556154262038378	0.187461809613577	0.133591407484401	0.433837968323793	0.115282141318804	0.111705461635116	0.114591133317155	0.214352263483036	0.389193642914825	0.123110822273662	0.1505437645142	0.44717071209036	0.137742305820819	0.289250064962276	0.239009766225076	0.282885306927416	0.346130074073628	0.67131951545626	0.145608487093651	0.4144386840031	0.116706939748045	0.322753407263185	0.376173100920182	0.311348377950385	0.172072249707806	0.176444070172051	0.338695106055211	0.137308182390006	0.307409354599501	0.17523917421506	0.120478742360482	0.257983627971452	0.302972258166275	0.182617693788071	0.330997518059099	0.293676372236395	0.195507915032453	0.289084236552875	0.525873361743817	0.117219289812311	0.205349869081563	0.124170397557664	0.101785439033906	0.20479170030026	0.158341796252801	0.600132858491139	0.21449806939637	0.236632799811692	0.377210975489996	0.158345101593026	0.161791386017685
"SAMPLE-3"	0.934445600261588	0.769040977850157	0.90908963226938	0.722938430355615	0.833845787104527	0.668515968249341	0.786849502026032	0.80837117552077	0.93515425095293	0.841944132608301	0.827098166379715	0.888475504796832	0.895232170670335	0.852359180855697	0.79088006791264	0.880264543239245	0.867712792014175	0.549683419889113	0.849560683555924	0.847798702913152	0.810929811437318	0.847785697710982	0.748902875263628	0.941909987353293	0.829159798884288	0.55823622977112	0.788411679834726	0.788608602149102	0.755307894333257	0.856051812066122	0.854895788622615	0.864107951428206	0.791084691190651	0.827797139625052	0.752510800137524	0.819729154856078	0.836577703266895	0.916667995660465	0.797905893302723	0.770908336803743	0.66903284148856	0.798195282559064	0.921829975174684	0.789202790240776	0.888816868530928	0.926098111061385	0.825141457734466	0.777792125528373	0.941038525582211	0.847204284347772	0.892963161747723	0.905415916360463	0.907253618211835	0.922252051534183	0.815031688131659	0.944474965089234	0.873319299908537	0.880718596450457	0.852036894683783	0.825202351081496	0.872024841998522	0.903366442295231	0.796160823694347	0.948136069404655	0.907594160614988	0.859927776311739	0.866331273319609	0.735047298658555	0.717033185425989	0.868975222036199	0.804800048662809	0.761773629993144	0.815286787126868	0.816653995961371	0.672400991028643	0.856700774570689	0.856759826851054	0.923511109564878	0.836473813652934	0.862039378159365
"SAMPLE-4"	0.803012578262493	0.709192209797493	0.894169822051234	0.754471586439889	0.530007383586359	0.792147016617137	0.504522053844268	0.738704164853036	0.917804883683444	0.896243283716435	0.842782604545931	0.799882821645565	0.823564069671338	0.837314751504849	0.658920599227373	0.797748696885901	0.809324057692852	0.724476722945744	0.870304100919121	0.861610329626317	0.809203322735118	0.778773534768436	0.793860368291755	0.899430116383165	0.799793085782375	0.841654369444427	0.571402330993277	0.53307756593467	0.738633974155659	0.862032322636319	0.767223713261756	0.841282346242505	0.845722441303568	0.496424791363621	0.775186815934887	0.745512072085405	0.837225265579814	0.916352824555294	0.725880755839922	0.608483907746284	0.90297788522968	0.816470478420452	0.780236114778487	0.826536518619792	0.885844491913819	0.814803719420968	0.944417754058459	0.827633258240713	0.94607546091603	0.637522125301906	0.871084033300718	0.913738791475642	0.877067768003906	0.907906206059288	0.799005032395023	0.914240849082491	0.885073616849995	0.910169811107381	0.712712213342316	0.755167264095209	0.900793331554964	0.890726264596331	0.856620812266933	0.924333852622864	0.904381360893515	0.888342833124497	0.877747962064805	0.868245302933227	0.840107518035701	0.838583989695004	0.792559662419743	0.808723023393055	0.773394052757768	0.736848659081312	0.946600650847718	0.756109816159434	0.901179781797298	0.751464728846458	0.720563992309916	0.764610969410148
"SAMPLE-5"	0.380927807899904	0.423925300742653	0.447394326522157	0.293388254049165	0.225569329751013	0.253073813128031	0.280416353686968	0.265568403046329	0.619878520710304	0.43107195568647	0.454693150202598	0.510360195022517	0.303750208727545	0.60408114911692	0.192034611905169	0.403952795869418	0.696830425956545	0.678528234762672	0.34656032504115	0.46958795055349	0.354118785011574	0.333010948425526	0.350107947118101	0.719416111989143	0.159419010762023	0.918215808668326	0.199501708481104	0.0950135934856322	0.471269948459999	0.522672593169843	0.300236906338009	0.265148656790351	0.448758989661918	0.204219023135172	0.367211480074373	0.349564057034811	0.379165266058726	0.543109841935279	0.374345050778432	0.3108635406696	0.874404976723849	0.394531776651007	0.462894052672422	0.420288829620891	0.502157446675549	0.486753666965391	0.865352017775499	0.416053203337374	0.597933819862111	0.186808468598767	0.461619534760437	0.775359667309965	0.508615998174025	0.332188835233657	0.354602236047359	0.523832683269765	0.79425901280912	0.63025581219811	0.331638764187531	0.366630963199825	0.590853986664202	0.546991637615549	0.42307674798093	0.55424196945142	0.568234995047117	0.466172763257569	0.416084469680602	0.633438328885217	0.353923045442801	0.38199229769051	0.310378227383101	0.354403268397746	0.342583269068765	0.297626711258354	0.944315676664388	0.285283764589309	0.472142338152611	0.377137601489524	0.318352737550763	0.295859521841526
"SAMPLE-6"	0.459107665346125	0.530775736250555	0.501708184452065	0.709694749716004	0.367246143707203	0.713559102315283	0.424137214505295	0.381880882422748	0.82089536892325	0.456179434340706	0.466188390080923	0.637273237975816	0.566968957261513	0.697535040862491	0.30000868309023	0.47629906584924	0.868619399443667	0.80491993570362	0.575771841726626	0.633324274708855	0.475985666493893	0.419973312437028	0.701125081097238	0.951421762462701	0.234622890282113	0.875858260119316	0.297462886346678	0.250778764320915	0.726862467911074	0.778666853598858	0.447710699471829	0.485118728964717	0.666121900522319	0.219041889210577	0.425923861740083	0.487241518621939	0.468302836825162	0.586037380650427	0.273684865267836	0.482276996576536	0.976924078965153	0.458907285896853	0.567183749920999	0.482573161516138	0.508800663762478	0.643583515075741	0.943659652302749	0.62543611536064	0.61263476536305	0.325655515660729	0.772239983854754	0.939371699174807	0.61315899667518	0.535304737933249	0.516823207065416	0.54114247431337	0.642066086938132	0.666216578165365	0.403711558416432	0.433807667771519	0.675835383367515	0.624249628277036	0.602155058026847	0.607147146093529	0.802168890057201	0.527283653179546	0.707671925871182	0.85003823099069	0.76331241372873	0.538052754381164	0.681521670656308	0.564361803703439	0.401062623690529	0.345773497459731	0.969442339007879	0.518629275096747	0.682264260145118	0.497040953242713	0.412221559690771	0.554045615111174
"SAMPLE-7"	0.927076098586121	0.826232045600565	0.931654022252101	0.847774509070514	0.830952277966	0.858301949093858	0.725221950244801	0.857035347649388	0.964322849547281	0.900839421202244	0.862022969103705	0.909633257178794	0.754702798262037	0.915201571563881	0.83386373903844	0.920878140341891	0.916121976682717	0.733864673714641	0.890173508784464	0.878242826270104	0.868106714012553	0.890798046801395	0.780334649829529	0.862496187257015	0.852070117525185	0.629377604227589	0.794462138265559	0.733000589580285	0.75676248278891	0.883829619867803	0.889950721262269	0.902907714100916	0.815480690307455	0.710021876145883	0.76010070709399	0.831216342703629	0.887069587416635	0.926575013697761	0.840449153311078	0.792502482872574	0.703777523432642	0.865409051746998	0.910948553631084	0.880540349313504	0.919403504496895	0.826859930228147	0.878708398538517	0.836441291386935	0.949182598724443	0.830609630014228	0.880574483679879	0.791707419289884	0.925129106177284	0.848383790380013	0.836593453375536	0.941672407878714	0.867533542140161	0.946736496247759	0.825155237925445	0.857327767363876	0.943282176084635	0.915572037598091	0.854368683426362	0.951664139612681	0.943460166078809	0.841210734385568	0.922914557212085	0.833235692825877	0.870724285389948	0.923961095032287	0.865080087575005	0.840596203363725	0.861396381111351	0.86907116215421	0.839771373209387	0.887826636838813	0.896415839253909	0.879018471737274	0.8518977175844	0.837855747531903
"SAMPLE-8"	0.734074552918827	0.484499964628923	0.571110948206231	0.491832955898278	0.394491141386019	0.409298161881212	0.338342466072268	0.337155506904511	0.702876760075877	0.43989866367216	0.499941056875996	0.643771791362126	0.300553143259387	0.57805642923848	0.268703994253522	0.595172331652603	0.726829895023902	0.528921276243264	0.416757285733768	0.447790606744906	0.310050085646643	0.506889363324193	0.3306485273404	0.710025415428541	0.194566273764425	0.297822799370739	0.224259150786793	0.194706311112097	0.444866612070721	0.551153015392672	0.450227622617036	0.252149241337358	0.390483951924511	0.268103271910138	0.315888742037835	0.427767071615336	0.333822115937139	0.505893795131399	0.333399860389758	0.390186757942891	0.278100158265828	0.35099909848482	0.548506479074727	0.321925359187637	0.578891121510123	0.676242127622577	0.582365448344539	0.339328789699592	0.566756626293923	0.299830280652295	0.491980111555	0.470508543959114	0.566302050053224	0.335301502604731	0.387602143375745	0.576096963150174	0.56619423298014	0.527073157511199	0.434982962043136	0.470551254259521	0.495724362294669	0.533141759991613	0.382422632115697	0.540893647931479	0.647542784056581	0.442531688866429	0.541131153900726	0.459769826672811	0.459993791146249	0.416943934357626	0.453019277678704	0.345669121818849	0.346435811329628	0.351499885605837	0.468126887236681	0.433606607392753	0.367434423016219	0.557972757849328	0.377911450917504	0.554636112654969
"SAMPLE-9"	0.843527008479603	0.632324188372777	0.904261398375492	0.830488361998587	0.655822913936015	0.82921149285187	0.571741498610016	0.73284851529393	0.880564515612574	0.833455619382802	0.808206633284447	0.731945935232449	0.822008780121962	0.789461425211297	0.657041606839898	0.841872053126172	0.820015435667652	0.791148106392224	0.857967589523419	0.771101271863323	0.882440649101225	0.792416102597407	0.771961805316766	0.733723562321021	0.816800227369015	0.719818823209023	0.574905772242183	0.569316466724212	0.692440111960835	0.844113988964666	0.722589693617682	0.803461363347328	0.761359556085516	0.683240772422716	0.700415753793731	0.702433090338544	0.817909802993435	0.873375038125972	0.712655668595461	0.747795134156164	0.678880083166531	0.755916099452963	0.728952811821099	0.736363565611867	0.859847206918738	0.702241890572336	0.82501033228059	0.812199296306882	0.919883190170582	0.647622840621271	0.830800194965145	0.786341481565124	0.800400542784406	0.865295316097623	0.74105337637526	0.926722478009241	0.850469210670391	0.870504487744489	0.685371115130367	0.742993030722496	0.829613767770336	0.905485244970016	0.820849948818167	0.93045039241575	0.917730885761172	0.814589156837258	0.882290156825631	0.742170698172432	0.834259080070032	0.773644210317931	0.827127314533483	0.761393960041392	0.795721016451001	0.741156249981111	0.764001898028713	0.755606148929028	0.869327097663902	0.793416284423995	0.657122802494547	0.778335036497446
"SAMPLE-10"	0.686708440940148	0.711614036764864	0.870026397641917	0.872942452301294	0.688904891909732	0.788093449913367	0.610145016896457	0.727801320642528	0.693961135453984	0.861754991720435	0.758746345984891	0.69782083138396	0.801790082761435	0.423914962109705	0.622536116283502	0.63433467897045	0.798304831909029	0.824577182194814	0.806982327926284	0.851169810671579	0.875455250348859	0.740693559863922	0.519190674691724	0.883014015243009	0.912268032792233	0.781386501909033	0.627472844915596	0.8196783600847	0.749106669892269	0.927429542834406	0.666214697155741	0.781928202678839	0.850516713410548	0.696308984225685	0.452139667085099	0.620307164438317	0.853623276748393	0.827746392784087	0.737847638237078	0.35512432528184	0.976560067542197	0.741775786296954	0.644760499129154	0.761022387607571	0.807980454636941	0.758741589081861	0.947994946293916	0.562995102802536	0.88622598496932	0.771972882581794	0.707765660392514	0.981538864252602	0.811512522887836	0.891605041960541	0.674166883029957	0.77924577027593	0.847541723801094	0.697342118163975	0.756605942639575	0.483857656103993	0.548795386861012	0.753038211111218	0.735430562459509	0.800105884244511	0.825608101322898	0.702558052706311	0.83053670402773	0.820717470334797	0.784948865178737	0.740935671443003	0.836153484816915	0.484857998880292	0.84221918514372	0.750099787607856	0.842371069293487	0.825259920629519	0.803666773088094	0.86067759285542	0.669312853225952	0.80685414821185
