"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR31418698"	0.61329807672887	0.200112923110429	0.189192698871961	0.0757706424842033	0.149949726118615	0.0667018076766773	0.15566563477507	0.133728308037687	0.196870652168399	0.342805281584525	0.229056210946519	0.330434559146955	0.0613719222085941	0.481918048372641	0.0737815133308556	0.537893665804727	0.236386058822724	0.10564868358633	0.235713221219001	0.389297677925541	0.0500684227014794	0.231757344845824	0.150871394764523	0.550480766747237	0.248668124080236	0.366430757032317	0.103676929406999	0.0436240339957988	0.214635249054789	0.275228180377793	0.244956363992243	0.144890077748543	0.367204140801941	0.195726767977801	0.203130124097687	0.229405478738362	0.125059367965856	0.634282493869445	0.151220204356166	0.211803328361735	0.454703083733534	0.30189542474146	0.407806712414344	0.169317764164141	0.222867404749826	0.485521286320052	0.225410886842417	0.171816352945975	0.580417120384973	0.135512210106501	0.0612816176753932	0.742580837079148	0.510158867641861	0.232484947148244	0.166068882508978	0.288966059986834	0.245957186792999	0.489615304204454	0.209378626863486	0.203543811807078	0.51520601003148	0.30726596223017	0.203476726089368	0.276190376916952	0.299068435412697	0.143738477085019	0.555817271341321	0.206790565121081	0.180476005812582	0.158841151417732	0.117678757233266	0.26423611051405	0.11490333927677	0.125537746344068	0.462647593294226	0.11558016939903	0.164841360330188	0.3206029124567	0.133614932397596	0.338006757151129
"SRR31418709"	0.250482145881837	0.120027518209964	0.0587440903952794	0.0361985569553948	0.0606033345944588	0.0302432566808603	0.0535190166074492	0.0443928089770042	0.0324857369487596	0.142606880698935	0.108097858977929	0.136117629930762	0.040875044501748	0.105324120775628	0.0177639729736177	0.18835165890094	0.165367718953933	0.0868127273543203	0.0794670562102674	0.178980683778191	0.0195264437523589	0.0927703095956002	0.0407737029856596	0.419834053097279	0.0531285527943456	0.18353730006667	0.0318593260695347	0.0181073511673139	0.165851879399768	0.194389747685624	0.0752295620666414	0.0178158242139684	0.192492380992087	0.065010413333624	0.0714773389710951	0.0851726398757798	0.0402119005296288	0.159175072593649	0.0589105402415935	0.0790546835833244	0.225096572022292	0.144543171731439	0.116681881906506	0.138854504563106	0.0941477040420751	0.323807880333489	0.154324037847994	0.0537196384961677	0.141195715553567	0.0326847930877938	0.0231269106253234	0.451414638582426	0.170104489669673	0.088985605805546	0.128968362544866	0.0533240768588323	0.102230089173691	0.135371875517062	0.0865755715461696	0.0655750662881964	0.111322023068602	0.0883728427756933	0.0870645687810881	0.039107260359742	0.059996213644749	0.0534563923849591	0.150785718992096	0.108378192438356	0.045869589113281	0.0302009615176453	0.0332783933158091	0.0806256172089227	0.046859668589868	0.0484545072427789	0.356574430738928	0.045397542106534	0.0463043151305657	0.143128029227891	0.0445777174925595	0.153273007811025
"SRR31418710"	0.203678957813413	0.0914827907187848	0.0817020147662674	0.0481150542887073	0.0627011835592993	0.0253413369647852	0.0450125677314255	0.0571265116537446	0.0645650982568534	0.125532780654802	0.115296973428903	0.154792341919082	0.0584827747768669	0.0785567584230547	0.0167752157066815	0.119567737476406	0.229145493660236	0.0900569045369038	0.0848696276450728	0.10781316782077	0.0217895347505362	0.078554755767219	0.0392516080075988	0.436558206463563	0.0553021924880048	0.0956073740105871	0.030872988667614	0.0158684784124174	0.171811983759663	0.228905079280951	0.0726033580949751	0.0185208913510592	0.197261481676485	0.0452317661870342	0.0666818622543967	0.045843900759299	0.0333390174966912	0.21143799589526	0.0413409168168795	0.0461895958157504	0.222824888698236	0.0617961386018006	0.0966988464127325	0.049760657180647	0.104149912860535	0.375834873557391	0.181392927136677	0.036628852786575	0.211301153583821	0.0322594296019665	0.0495896767664734	0.480473051165251	0.111612154134443	0.117580967692848	0.0611815951324933	0.0894482871428081	0.0794141150452079	0.0952900761295586	0.0528483452915707	0.0487177402169105	0.0729491595948543	0.0971343629984475	0.0652252247207705	0.0623545881472303	0.0846139665562519	0.0949273611268122	0.144976041590088	0.109079778826814	0.0514318949608013	0.0328184801215696	0.0302654289943159	0.050398540924134	0.0415284099215215	0.0422051747363093	0.292418015574085	0.043997375965642	0.0408528157946615	0.129316099187277	0.0362605315772521	0.160405739184642
"SRR31418685"	0.198921856328571	0.173039252688023	0.15491464850407	0.055395546940407	0.0994779349924197	0.0862088217406682	0.0826223689084625	0.119401943618195	0.083258675234764	0.237981171100006	0.259621780145113	0.0902995878695625	0.130754313774612	0.228290484069056	0.0929052398770918	0.18965318668725	0.101800727532982	0.0758569275991252	0.187154871411887	0.21846928218395	0.0752132808301751	0.159960065202783	0.213027253535855	0.170900388080991	0.0735408604769633	0.207248243408397	0.0669304283898482	0.0449102652891002	0.192256845094263	0.23748846578442	0.115643567887287	0.071503639993619	0.234125119716771	0.115703216766895	0.302587122470569	0.183432831630072	0.0758946196714717	0.218352534720858	0.132238503956954	0.188043272535176	0.199939131333124	0.187226000118519	0.108664540423038	0.139684556419459	0.205241329992297	0.132376614284175	0.177207056976872	0.185101590849737	0.157056507003334	0.0780349398500817	0.0918261097008585	0.174091585396489	0.136167915834378	0.138097283972901	0.196313421891173	0.142649345646292	0.141720667721752	0.212520224393578	0.148128034059822	0.242286650025926	0.209653646105045	0.13963050912354	0.253361639442112	0.100068871053828	0.103590577382152	0.221723134821708	0.159419442264424	0.161806188062203	0.182782978928272	0.0683834666648822	0.0822521424068778	0.230052793860345	0.0805156953578185	0.104394099252217	0.378230900944552	0.106648842372366	0.146376201377082	0.149372445363743	0.0854480165103909	0.123468217371271
"SRR31418686"	0.381632607707354	0.223797657435672	0.145220082055506	0.0526139417725295	0.130493816354666	0.154731485893115	0.0996202092126137	0.108224833911411	0.0512746188299024	0.305870337783267	0.232964763051326	0.184373716889135	0.0857434797803985	0.201832906486294	0.064884646918699	0.318655009037958	0.119122122771591	0.0621174917718804	0.20823261226811	0.477849152740559	0.0480256900367556	0.160584574783132	0.206046864220631	0.454490185515721	0.166739092752323	0.200897660401366	0.0559275446761304	0.0482481951440383	0.183021780844148	0.253088400650636	0.157297891464677	0.0836895455742878	0.324818902366741	0.170260978017588	0.187009413405812	0.225296948973696	0.103041298345676	0.407935990666378	0.121590458355952	0.132380165683744	0.347827014870949	0.334205508132158	0.195026833237262	0.294083974594464	0.183913323783824	0.388088062333225	0.202287173816726	0.129088335074014	0.349775778651697	0.0814352349195247	0.0500066365813368	0.58228775710072	0.375206811963276	0.232133585387107	0.21235559263749	0.189737302979618	0.142526632257659	0.307169181903431	0.220497575929838	0.13924982741349	0.263569439635721	0.181495378387613	0.183486473273656	0.151745396509605	0.192422213028753	0.168167281218058	0.306918946581993	0.14625010882384	0.15522228737707	0.0605980097414323	0.10665596453423	0.302950463287795	0.0907765188362652	0.100103417434872	0.352341019350027	0.117554428726508	0.129993451213734	0.282269979449613	0.08600743425597	0.251838340666776
"SRR31418687"	0.547057494559563	0.308427850734824	0.35402444491569	0.193631718611512	0.257634057646244	0.175825105849027	0.159981084028325	0.28028054323531	0.159169680900153	0.46598449615466	0.427302170796188	0.30468119475232	0.21385521453115	0.39981223748348	0.257607027443236	0.475423710115218	0.379001991204727	0.259504904457745	0.461979218230132	0.51259894450935	0.111428407622755	0.304465028977392	0.513298490221909	0.53149354556412	0.311737063769765	0.290148673393794	0.164002630814099	0.105289542512487	0.275140033722742	0.377992901066294	0.372036635672899	0.28949709663539	0.446444608434737	0.35711380891891	0.381971334283171	0.453504350297178	0.242735162109379	0.565340256678077	0.22961951022059	0.297992488356388	0.273102332611435	0.404755951218352	0.280098116042244	0.325063853545445	0.386605640395824	0.507929306286698	0.213062561362359	0.313326038118212	0.515657388891121	0.295501762481749	0.195986376736864	0.541229726956208	0.466219968793759	0.397719281140291	0.324852797512994	0.443296172492777	0.305017030466724	0.426398868907161	0.34607765040331	0.379145461978488	0.434848084560479	0.333754228595486	0.381964824574214	0.356759280941557	0.348659210182651	0.311103444467137	0.544256185710799	0.230231527194767	0.340975050392843	0.152347888108912	0.257149283108711	0.587913864670809	0.174586755485018	0.213863168282549	0.400027398447814	0.26781568780825	0.330600037887337	0.519232735524061	0.230313376459719	0.462059126946554
"SRR31418682"	0.650490256509546	0.289009850729872	0.24865252309519	0.0962519798915393	0.248250153741771	0.106276263135901	0.21940032004744	0.187276871717093	0.311931807858008	0.491865786273089	0.333592065700364	0.410568794429093	0.156224868288049	0.554092143990351	0.177458683653042	0.670038125095528	0.219149801352655	0.0861435880260879	0.213731480709602	0.445463399305486	0.106057042620381	0.390490828926972	0.195753828956965	0.517126171074935	0.351699514518197	0.33553633562066	0.188270756795495	0.0910661438566539	0.248358994713918	0.378119533717224	0.347079818340363	0.236665113606267	0.384334012840617	0.288385946627393	0.290482978233102	0.355096408344653	0.237073603712716	0.629301766840167	0.335051172313896	0.304897641909513	0.722631465849768	0.499519507210923	0.514213572502794	0.397025695802546	0.259529631021362	0.486506004835854	0.381690665149354	0.243631835371388	0.587121115912672	0.209069278835456	0.115924510024626	0.863063849864201	0.602938692198991	0.332962512709463	0.374076782840085	0.291700125499875	0.296197817381765	0.583234272789854	0.350487215371603	0.263157968164905	0.602571782193147	0.374606351499508	0.298554901050106	0.333741952061204	0.293251107872623	0.211499803384977	0.552384273351412	0.250791965463217	0.213306280118052	0.26236857969095	0.158734610589578	0.351409164882946	0.23947288058789	0.261163538302962	0.410524562675965	0.208244273384679	0.212914559266322	0.427463623729208	0.236342875101839	0.356815572637879
"SRR31418683"	0.34474434289548	0.190921454109221	0.124907799277597	0.0931874161799829	0.133984280236601	0.0529411375734213	0.124078570675437	0.08582531323684	0.120622061303281	0.142290152988345	0.153019122530023	0.207475334158008	0.141508087455028	0.11038254169932	0.0484761296062939	0.255102648345033	0.253528974254018	0.14794390300287	0.134517797175931	0.235426205972032	0.0391260093032643	0.147279626892056	0.0925089334778394	0.466421163421931	0.0751789589288976	0.158693086203332	0.0551005617771149	0.0526961751256257	0.213958326602021	0.284136162740944	0.11254297273381	0.0430240985201682	0.237198730829105	0.103726997356941	0.0634321802623905	0.0962809993636823	0.0511434495191893	0.210405003209391	0.0575688112060951	0.106747905119852	0.27055306784918	0.165635511327649	0.158487766113867	0.183132198215163	0.127615379919756	0.353753736598967	0.229896257550513	0.049811031291134	0.196773333649932	0.0709804252387233	0.0945840435955889	0.482337482214534	0.202044517679445	0.187020375569911	0.158939742414357	0.144239468262628	0.129340571591372	0.140397204895962	0.128222088107029	0.0696461496145998	0.0983741240171001	0.125196101517442	0.0845108712129245	0.122332502092371	0.151233235728794	0.0975733444928256	0.21969918164257	0.156730878546213	0.101286717394211	0.0559763653103144	0.081284230061864	0.0703604633957452	0.0595939648697016	0.0621130796425982	0.35949678636662	0.0937675642368718	0.0621471901449482	0.214324395184389	0.0632203363087842	0.224715326984054
"SRR31418684"	0.492689900421062	0.295224537700555	0.505215716125088	0.199450419282417	0.139183107336347	0.177349429839415	0.135181289502445	0.246521138834764	0.346928462913772	0.296555760234319	0.540602868238187	0.363845210705629	0.301679887304004	0.333068190613474	0.23123686194851	0.376083242119225	0.394768771598109	0.220474030678692	0.456154371024667	0.283261523081643	0.25393996486847	0.377937199273902	0.316051781758462	0.512987744079479	0.137004051426146	0.240765394624502	0.147247417324818	0.114320096027547	0.200366634695957	0.254926485171232	0.30426179590657	0.13503283156709	0.276495892043421	0.175910246130569	0.377812435369009	0.387975356073829	0.220635198130424	0.332632238738461	0.319358657993987	0.306873776669181	0.177786499600148	0.429782697884587	0.258085627193833	0.543111983914265	0.49410607363003	0.560610682099787	0.305645710442138	0.317334056405403	0.371694693874583	0.238669972903082	0.338352399003216	0.40254021440885	0.299820757020982	0.375502232160148	0.563520315931709	0.35544464113068	0.52898668923314	0.352418896960796	0.281123919974752	0.412534604968016	0.319880291745184	0.359596468004697	0.36519602759138	0.292518290678428	0.330192844508016	0.414909872583685	0.267406096287207	0.173168063174869	0.197444433313754	0.186969659233362	0.14976745895324	0.381190365727952	0.235708663864439	0.276050951282651	0.347366794585343	0.201369930972896	0.278556997133544	0.284678752768022	0.279903994882328	0.426283672687401
"SRR31418707"	0.201718868298117	0.13504374843971	0.0943715679532866	0.0623844034922799	0.0870713703738721	0.0510826102716049	0.0648561928741244	0.0781826039519329	0.0568041187322619	0.173854701812866	0.14469398799833	0.181691231687213	0.0862189013420193	0.15810544611952	0.0475523552059018	0.13294181616297	0.252370061821752	0.140139119896074	0.117568311078054	0.146623673569169	0.0296837329144291	0.0998818799434374	0.0934462652148268	0.488671791462301	0.066174912536083	0.211963516719673	0.0556327787430776	0.0253175140907301	0.196567405472572	0.225511272448856	0.128043275384831	0.0389297302222558	0.219855216752874	0.0889521784399661	0.111279004275063	0.130150559718349	0.0644434372422886	0.180316992980121	0.0876854284443446	0.088147621844414	0.229506119333792	0.116852772695201	0.134320432517036	0.0866602883984464	0.133412858713205	0.434603919187135	0.176969039305348	0.0890541336558708	0.156238080702701	0.0656097482996916	0.0467075563189406	0.452917907296678	0.161070484047744	0.135534051712136	0.121959502009223	0.103970606752328	0.140567465871076	0.141820138078325	0.105807980473503	0.11685737441742	0.135646793856965	0.123670070272686	0.134966620738009	0.0747833759510694	0.102243511107844	0.085170506966633	0.170969285609825	0.140284245641068	0.10588147540404	0.0478265409685715	0.0609382042446409	0.14280176423823	0.0688837902604096	0.0788987463603177	0.371902080098051	0.0698027196781115	0.0763259706120591	0.188339967012658	0.0738096153392778	0.2088742913622
"SRR31418708"	0.0479866896867908	0.086865944517914	0.0322733468724588	0.0154281540147516	0.0386406337100631	0.0199983336736229	0.0430330001236505	0.0428291813457422	0.018247412771851	0.0536863854014082	0.0261310106164298	0.11929468458976	0.0257614859893661	0.0483161222842201	0.0135626251271799	0.0799210289639269	0.0933955470028314	0.0658969975412298	0.0325658808618811	0.118688158904257	0.0184369427154565	0.0235807655045611	0.0176412891874108	0.309861625029315	0.0515498779891641	0.131666774691736	0.024587795210689	0.0154166787249571	0.159697371125565	0.123212893607799	0.0409266046271321	0.0143465200450671	0.11236636593868	0.0317671730377469	0.0212654544939659	0.0368565466461696	0.0205829158321603	0.0462779041225039	0.0222263249707358	0.0184125295964779	0.149258463908383	0.0440152824598454	0.0925000034842763	0.0394763758713986	0.0178123903674754	0.298840522996137	0.0841734856449577	0.017020513791868	0.0544503458240736	0.0250032675782454	0.0110652642285159	0.255276571086085	0.108801938076553	0.0507849498174818	0.0284760433431442	0.0197827141416655	0.0250859237080421	0.0726828237953043	0.0390323515367228	0.0136715970795838	0.0559519381527401	0.0302334317749019	0.0292005882384749	0.0209879043688102	0.0183361889871603	0.0159760914766364	0.0530240517238708	0.0644367461939631	0.0298189739112755	0.0226666459358762	0.0190894112432861	0.0246178976408133	0.0273670533750517	0.0237665824180156	0.327569543373223	0.0197014329172572	0.0285305550983254	0.0700449754021576	0.0226020150992372	0.0814985162709618
