"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR13357893"	0.181608727785137	0.0998781518720652	0.0366514723656077	0.0346588199517754	0.0598400531636167	0.0821623640652009	0.0331747936705825	0.0480108673450381	0.0318014618379218	0.560596178526417	0.148238435991859	0.122488480028983	0.197169095464195	0.0631533283780814	0.0111938907612831	0.248322940265047	0.240069637469326	0.18962177524388	0.0623580359203424	0.18332929278757	0.119284380887397	0.206107341498286	0.0112434859435133	0.63086922539077	0.274246907561161	0.925077398194688	0.0368384145725404	0.0304368061524371	0.467132563687374	0.574238261768305	0.0655170555933489	0.0200351054499507	0.503925919462404	0.031023800496497	0.182054503000728	0.0502935664477039	0.165840402738436	0.187102891651427	0.385282100258856	0.074322628123424	0.858233286526614	0.296697833795477	0.18771705344102	0.239274125489208	0.184311064597095	0.534202098023844	0.719977991237284	0.125190780972791	0.257075305399499	0.0148384595328572	0.0273323237037042	0.840552789975367	0.189955789540042	0.348014436701291	0.289763400873318	0.0419786614265523	0.33951949975997	0.290504487591927	0.0692747487753049	0.077512247900656	0.200520886895649	0.147397187075032	0.310207706614159	0.024958284693555	0.0164431706040743	0.154564963232513	0.117752188205708	0.387451600727787	0.117793898029155	0.0963041530130567	0.0266626711445753	0.130515180484786	0.300359303659046	0.207017306202137	0.954982971807723	0.0896638659407604	0.0961056152604811	0.0628251166785806	0.0670307398424015	0.0808368309442912
"SRR13358121"	0.138218294543704	0.136849112900543	0.091785338273167	0.14290296032483	0.145755533348552	0.16856384140795	0.130219856694496	0.077344865624268	0.113393234904497	0.328831550568752	0.15546542204782	0.188163584102146	0.257862178241169	0.119706343782341	0.0359218728056249	0.178513121090252	0.165864981566292	0.350061708902733	0.168872279373822	0.212490302092379	0.111993927127623	0.161553784014854	0.0746073776631902	0.705425902046551	0.203740615530304	0.913943919333586	0.0656734687600133	0.0858486645513997	0.564947432133796	0.675850540802613	0.100204370929851	0.0679024724911472	0.55935210853546	0.0882481539893635	0.130509468188629	0.0980965827941817	0.132523215134997	0.220322735296786	0.150429597158506	0.119015468088359	0.93486554511319	0.197672650146745	0.181221082441814	0.116993656283458	0.13291398833345	0.386911915587238	0.729950904802263	0.152653836687134	0.217669332487937	0.0672304329582333	0.118460889666396	0.901340102811039	0.170878574415041	0.334553771312168	0.235744985926503	0.0829897631278669	0.313729059041634	0.190827487204903	0.104442890484596	0.0862945393088371	0.148840067550804	0.1862769830219	0.282729417200348	0.0748543743883398	0.11318280010032	0.123259461769566	0.255012916603438	0.555484476405742	0.288995531363111	0.127074756621687	0.118852211577035	0.194650682320099	0.167758175842089	0.121937509973254	0.953010317003666	0.189385976274637	0.175656705487474	0.145626873455964	0.0789187705566504	0.183922440143678
"SRR13358010"	0.192932571141852	0.191925319359016	0.172961074856646	0.122896659340758	0.136946084675136	0.130120380371746	0.17281573320103	0.0564417375967248	0.248411382973021	0.269496739736707	0.2109906717787	0.134746144689977	0.270667966152445	0.113989067138471	0.030916490482205	0.225209183724079	0.127175754985319	0.17610010522353	0.248572602542076	0.394199874718357	0.0822536740592364	0.189936275784735	0.0789577187189164	0.480032870884556	0.154717903087062	0.754115701878395	0.0491922490469421	0.118255274819844	0.452587204750696	0.55176767650706	0.0810960246793005	0.0504834315912019	0.465765992064051	0.104014688727966	0.110225203874157	0.11724371342346	0.0984642105939664	0.234893307716119	0.112558627202079	0.127853647434473	0.311306835889285	0.248196454524131	0.185567833023236	0.172350199324062	0.164497226734153	0.263169928785074	0.422184884697484	0.112267760641551	0.258750266289963	0.0532824177587678	0.271574936056626	0.33550525487969	0.253712083788794	0.335027999203378	0.16829251196662	0.102817407108711	0.329660351499718	0.26038438392332	0.150620720349225	0.0781081877392913	0.160715373523593	0.227727234940889	0.224522353029818	0.107633691391073	0.147371677909862	0.149836389277513	0.230020434762182	0.370475832156611	0.24223344883858	0.111374049571046	0.121645330953881	0.152205621913897	0.127390105152268	0.0897236895966048	0.846215865927754	0.194364475485021	0.148270370029869	0.157071076044268	0.0678419618168724	0.173876972089295
"SRR13357899"	0.325040991694449	0.252847049181411	0.076330390061641	0.0777344589214423	0.152614546333011	0.104122370004218	0.159577607329579	0.098770785690769	0.0573584983488079	0.329411457971231	0.169526486849746	0.167853820519178	0.141210560929766	0.103939763157019	0.0394246563574845	0.347783432377281	0.121816159146696	0.226502360529212	0.101583231391893	0.36390650552715	0.102832073252697	0.239608705679817	0.0523138972007563	0.401959141427687	0.177872223387812	0.868145981193349	0.0621286673590467	0.110845408215283	0.314981742830388	0.405324124329261	0.117249063774729	0.0464407080597548	0.380940737717035	0.120697206091727	0.124503764418859	0.128226414984483	0.125560479696582	0.208711726325315	0.236165457822078	0.143261863752089	0.812219702212952	0.286367090785975	0.213485657335646	0.182214627203966	0.152264495774688	0.289909873257058	0.550930810369663	0.0943985770774743	0.205843728157609	0.0601698727896136	0.04026625696058	0.749254541779415	0.277485105875719	0.21908312417321	0.165526120184831	0.0679202414170324	0.378377221573376	0.231765868342446	0.197218981775853	0.0961634283875329	0.152237126163662	0.137387212820568	0.183623504834146	0.0557248765086243	0.060825287813897	0.121796491634621	0.194895628157315	0.32906544704858	0.17691751417854	0.102423937831722	0.103984924947295	0.112960105338891	0.175332887451987	0.152218833418161	0.771256370298108	0.139807891498157	0.0954658994272327	0.151504563372515	0.0884801950651236	0.142725565967173
"SRR13357647"	0.944565972986636	0.740027964054584	0.782123711803343	0.700865601817587	0.770264119678824	0.700475478956363	0.72910966396232	0.829518440715696	0.611440066613573	0.931841666480506	0.725641880095617	0.801445808035614	0.630434893704034	0.539217869870358	0.886993462732395	0.935731494271782	0.215518299883614	0.685118117356492	0.63682691288516	0.843952463330669	0.894829207290313	0.904228227217625	0.563493242295371	0.466868579285741	0.969661877260794	0.983849671651341	0.807445201788224	0.835813511002183	0.449430956748158	0.725151188838098	0.822214000502394	0.919789662022169	0.822755433643688	0.917120780173013	0.581017446067688	0.752658975679449	0.905633211720232	0.928411200988064	0.953216313628438	0.534878878970916	0.929824039677144	0.877397528701214	0.779579920935616	0.780589439830539	0.822258802027067	0.667818901867784	0.736263956577627	0.51491254718403	0.918521164635962	0.943209224143713	0.533728180466187	0.954924585455371	0.86792699752133	0.867428986220742	0.685142943540421	0.854327168673975	0.942801351930678	0.739769055176211	0.880815264078847	0.682770878885789	0.670283532164075	0.623025436701592	0.637557871818331	0.831287611992664	0.675101921066014	0.635312539702748	0.907965951511292	0.618205246290902	0.711072101253115	0.822416558515203	0.83739539150904	0.508540571622986	0.878862453987735	0.868141642755912	0.845920898201795	0.799072373671444	0.728239574357454	0.911421314988996	0.827295119365461	0.817074556589161
"SRR13358145"	0.925681946775113	0.815873681633348	0.888720742580702	0.830546900373203	0.857092679845911	0.842268302644508	0.789931421503281	0.89323113653491	0.81867051789008	0.949806049570464	0.839448785394123	0.774248862699509	0.880971373929169	0.572885981016867	0.88768706696697	0.908162971692706	0.536965979304812	0.550736897110553	0.832375521749426	0.89101195426618	0.934995337653102	0.917538396120668	0.627328390651073	0.819424280872906	0.973817020917998	0.949626878481744	0.863071547590639	0.937161613750516	0.715448315396591	0.907374315781493	0.874384799926418	0.925269085060571	0.900743340018508	0.878953628753502	0.675762805424824	0.792665710983405	0.928268953009308	0.921822106132418	0.943898252142962	0.59455246627607	0.976660572787403	0.895417270935865	0.885057634261243	0.846493542085971	0.895610909008912	0.827277899068402	0.927019626868143	0.655319493158579	0.938388267060331	0.930889346443685	0.796659609614998	0.986474340636397	0.899365169835121	0.954457908023183	0.836172096078485	0.907564290993122	0.929737677845822	0.82487013910933	0.896398850706879	0.75330875324363	0.735316773092805	0.79658910636844	0.814763425234287	0.897253617557681	0.794222572852037	0.8161443630023	0.901951791562723	0.818135355017481	0.848008142848179	0.898352969717794	0.886668970042643	0.671765274840091	0.924340892640274	0.917221098246147	0.914937273291692	0.903479815513883	0.848120148879726	0.907076783654799	0.858684123593794	0.862693641514664
"SRR13357892"	0.291051996955869	0.267381532163221	0.144330709855706	0.204471371048164	0.258305929531491	0.244745735031535	0.239359718246156	0.142839356002436	0.128021547936628	0.373691488320365	0.214520304898613	0.17344905553279	0.2812986709104	0.15656500544475	0.103513580746111	0.292519191900954	0.129325294499112	0.149053318546292	0.19511039157709	0.341653569682982	0.210142647994188	0.286859738130229	0.120163602849524	0.529801093091365	0.255357317204786	0.757330141530312	0.179980085356293	0.210680513374791	0.461151295037998	0.587465041	0.176421053515807	0.120554570736023	0.475362211376795	0.180948012310494	0.166262357964047	0.171745139394164	0.209797617195228	0.264100225295004	0.268493847385843	0.176695810420292	0.890236942618526	0.295428828235341	0.254001556651852	0.267966759512871	0.227378353700699	0.314925511923615	0.660891729948386	0.145326836316942	0.242422926804034	0.185603979542174	0.0985076075578295	0.85466524743672	0.264916798705882	0.313027762408963	0.256321574321549	0.121045637992628	0.32915555673679	0.265753264778329	0.222932748357564	0.149007154717477	0.194498356765128	0.191889516455145	0.257219810906226	0.106554694955012	0.144149060790672	0.172470291029162	0.278606099065915	0.475670838742561	0.29754060431951	0.201064446068893	0.199984241775182	0.180725106340561	0.26138121091089	0.213361367142664	0.830485447985438	0.283749966806513	0.171646300225675	0.278191432017606	0.184974641986654	0.226620475929359
"SRR13357761"	0.78269545527275	0.672186819535044	0.595927612004322	0.552845141376022	0.600121147285829	0.60881544103435	0.524358082064999	0.600592477185959	0.41464808663441	0.852516905165576	0.62484125344612	0.545130256614461	0.648183195694072	0.368109933663479	0.626619616945464	0.768285985571901	0.339495205041991	0.491520844002099	0.618430770845303	0.722311246664821	0.753537256913904	0.760013799152297	0.317210607811218	0.679662306919994	0.87647420604632	0.97998138291896	0.568354173246874	0.67922102947079	0.628103055358571	0.827405399504043	0.61128584168615	0.688546057383539	0.783697396545463	0.661136682286353	0.464846604893466	0.523117516475704	0.75515151980983	0.76847228072784	0.850422451966533	0.464580269090468	0.96759660760066	0.78301487905292	0.705851055327513	0.712960045672766	0.704092175881572	0.666754425816734	0.835522056428286	0.419717069734558	0.786858092845906	0.733477784248868	0.333830041715031	0.959346479737885	0.756878813645172	0.817100858607071	0.668446519427853	0.614082592153955	0.885161146261275	0.648470322897833	0.674706370256498	0.492067830132995	0.538332494960449	0.555753621604518	0.627874998687228	0.569332302541429	0.462294540050209	0.544849605944057	0.72931236257435	0.743343132892846	0.628396247149029	0.674749282807122	0.62231885846954	0.443983061637967	0.783777064841431	0.727175392289214	0.931753081492062	0.688367026467932	0.587800830739552	0.715175817808655	0.627255297813823	0.633632937170011
"SRR13357693"	0.408361438713712	0.177156084237311	0.0778537803573949	0.0823711330286064	0.15547605252473	0.107406236116314	0.0854694165643314	0.136726769384832	0.0597045512232193	0.329359337512623	0.157082796310042	0.35173061022516	0.16615581874858	0.128965199334537	0.0390441546428122	0.388411076827501	0.137241119293342	0.239322486067128	0.105583724513003	0.188125504420003	0.101459117577551	0.227014173571616	0.0453122584124241	0.837638164061741	0.179818202072265	0.891937672679986	0.115604152297591	0.0621993574603423	0.414770556618158	0.429301430333688	0.180172912688854	0.0469806081254485	0.408216327807382	0.103001488181236	0.124280330420028	0.102671053388042	0.123898912156999	0.234268925892808	0.21739025537199	0.15104433384263	0.381604836288596	0.216178936572173	0.252871634609288	0.159691997640505	0.152445787642301	0.808882105279377	0.379076263993588	0.101116068504787	0.219511080116239	0.0868130935462517	0.0441679398999152	0.737138339895258	0.225724609741169	0.295486745813792	0.205998930290761	0.0680636261263974	0.482198485604475	0.196877700577382	0.121666167174701	0.0866996430464306	0.164206867706675	0.142878220685066	0.196764256447191	0.0564154268640354	0.0800711773460442	0.120250899541765	0.24498585098578	0.314925745507707	0.153463299369921	0.10280809188057	0.0866025281323307	0.128250613644056	0.171530272433499	0.165243711299449	0.890019980282743	0.126879483276273	0.10365864117186	0.245081578126614	0.130029963591588	0.314132942404154
"SRR13357682"	0.542472538048966	0.367085372773016	0.301012951949117	0.528638926957694	0.539751011804524	0.53328869827045	0.431957983273901	0.40486362140712	0.401092327628586	0.520514115352944	0.361351108908067	0.458903956467225	0.55921996469031	0.267519273011585	0.380686630839098	0.555515159002628	0.17670947984161	0.464671432258877	0.299099039485882	0.26107924572275	0.537641237571864	0.568311478713943	0.24970651388515	0.690159854923528	0.452370393364537	0.941876573736952	0.459266848704316	0.473051258663687	0.614746553343996	0.728424560159356	0.425718799466827	0.369416129923538	0.600918868707136	0.373006962932422	0.283047787832412	0.299162442096707	0.453172453476623	0.367665212378557	0.540738373422895	0.393165000683564	0.942325200516297	0.344835994152306	0.410644019151924	0.285180920988936	0.380173098147884	0.54374536887805	0.792474890390893	0.258235222874321	0.325928656139628	0.590158173801831	0.381384046620247	0.927408103916665	0.272989476641939	0.496733848029689	0.465863734836554	0.255329957257776	0.667914730581655	0.258158002404377	0.350923739682739	0.314933774484262	0.222179612549999	0.297061683809293	0.410752390367234	0.228775857586094	0.332121421654875	0.315584909648145	0.472418682865078	0.685642174286464	0.519463759221538	0.475131301202572	0.450748872761322	0.310182411693456	0.513027095720586	0.471380678795266	0.91864451725003	0.571228959019578	0.338799606814436	0.510320300826959	0.452981198714611	0.460456175392635
