"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR39238554"	0.482695814614566	0.556972569620705	0.451063243759014	0.351695429456237	0.413077856982603	0.310863054790902	0.45197713122764	0.370546666104344	0.384432145042367	0.487806741656168	0.549835449799025	0.315920171867238	0.363598608779475	0.337730052248729	0.334126203753165	0.404075679100982	0.427164647801578	0.340080445952367	0.331496441359904	0.556787147675756	0.278519241834239	0.483293797898365	0.300335109097432	0.541427615779995	0.276389598921675	0.695235499972639	0.37734941683769	0.541362439018644	0.344111363367118	0.654460070666472	0.393615933194135	0.237022285451683	0.415268299800516	0.379105418074634	0.424019699441733	0.473272297103421	0.30543496332833	0.370247138233919	0.481025664485316	0.322300518756648	0.9257944090821	0.519970396513348	0.601025945624331	0.440038355818348	0.419260870437247	0.381252060871562	0.826040116144947	0.348713283789548	0.376844846148787	0.276658070712798	0.367650486435473	0.854796157397808	0.483074701687584	0.414990243115564	0.552377674086892	0.275237837925909	0.570780554533433	0.364954629081984	0.596536820523578	0.407414244212763	0.278687995668027	0.355290319378451	0.430517943577565	0.290341652604947	0.315707858817706	0.514148101106173	0.317330608800379	0.591569523727329	0.464885735923308	0.328027755868997	0.503121327450243	0.300289864953583	0.374484672625613	0.421982753841358	0.759615137823875	0.454100446286384	0.318347974145052	0.414647553153369	0.377296517461034	0.390537636583439
"SRR39238457"	0.657168489279456	0.558108547713048	0.239063556819364	0.275425094659737	0.458116788375958	0.225227737461155	0.565026128892713	0.342449977270761	0.662452147445583	0.424527376038997	0.310138918996736	0.590190078997707	0.302181790961873	0.519008593269263	0.170672213138018	0.484896926485105	0.884311100230634	0.662722760206771	0.24102093568394	0.671773206394003	0.38656766398734	0.398812207724414	0.232307077193143	0.866219724434902	0.265966786868164	0.935513926314223	0.194410243971479	0.423941453559043	0.597076306654232	0.612832199551279	0.358558112395274	0.318283726760896	0.585623034093431	0.217579600877592	0.278565156505743	0.400737003052066	0.385486819887735	0.508280071038712	0.336713006218776	0.343389294551128	0.842267138673887	0.465962834335898	0.73593363246458	0.293214460519935	0.446342155153594	0.584919895851487	0.796029434121097	0.411772173558941	0.529931218226682	0.165903544634672	0.450431519688666	0.770215894918005	0.693659766691731	0.354366975166688	0.421782661930418	0.496423687347322	0.627776838024349	0.576835936691192	0.514996577148831	0.435509382574292	0.516130662232746	0.473162069858426	0.449748794160003	0.417218954918968	0.391970273482433	0.343932061267343	0.470962499531467	0.668250553669017	0.46952855480842	0.464227075355484	0.371465255242669	0.308324000061968	0.465858259771862	0.368278773147322	0.968657592457777	0.451009281696354	0.381971173612814	0.397177488468866	0.272931950833966	0.335370277398772
"SRR39238553"	0.254484800164071	0.18582363885569	0.0691583866663535	0.0610535135692903	0.12983155057147	0.0746095594817501	0.238986618112828	0.126243576466647	0.176515026932739	0.0753932446451166	0.0488921950418264	0.492945192721227	0.0748553884781552	0.244406709227269	0.0621290819391606	0.220460729758084	0.293643748717962	0.203746413056659	0.10446946948624	0.293322560139715	0.0769037616632438	0.0694606510027656	0.125981359253417	0.715966962486706	0.23449030090904	0.244672503124465	0.150932751633206	0.149580173228562	0.287423319724112	0.241985458662034	0.114289846193825	0.130434288205694	0.22226164123818	0.0783832877834565	0.0703722131949537	0.111795324935835	0.0835339513202388	0.188631291143659	0.042930155579146	0.0792822261417007	0.401986441350963	0.105009129470061	0.490890218176838	0.0746988016065464	0.0608023557565666	0.598062727563487	0.276258372367029	0.0958753567161267	0.196700554474814	0.109999808348933	0.0612504315220535	0.540597916061047	0.339536740530586	0.144324160185554	0.0844305017017666	0.153204746289434	0.0550974732886047	0.231423595075485	0.130017271512025	0.0734880907270584	0.215486140321345	0.125672725692305	0.0928262370694885	0.151839061925623	0.112563252559084	0.0794406846410144	0.191131838538523	0.233283306873733	0.13949125873446	0.140119918910909	0.122677765041415	0.0690914149117565	0.134219087038194	0.0758475033212822	0.410210942279369	0.0773835290780372	0.0937471736813908	0.160964630434292	0.0987665881301111	0.241242631620923
"SRR39238456"	0.399240368348761	0.240024269829246	0.0676755398778034	0.0454144419632304	0.116834497214705	0.0482295565608875	0.173068464919174	0.0655735015081011	0.0577642752531433	0.228609811858698	0.138536143303353	0.186130400479985	0.0913379359290882	0.107687544273375	0.0431007576536258	0.308084492020315	0.102542779134616	0.105107774955672	0.0554302840616629	0.367553397378233	0.0609006855943535	0.191953379366323	0.0681413998695608	0.314303134795161	0.110154876539813	0.505619027272324	0.112253036484146	0.107557253304997	0.166757601040412	0.330925862612815	0.0924143659122407	0.0389456170349774	0.226402273846082	0.142503825620362	0.109608323070138	0.146116224850628	0.0824560307534989	0.223407944703791	0.159332986309235	0.0933055161228246	0.382169330075915	0.188705080283067	0.341885493446003	0.102443005032919	0.108953451380841	0.339724682722309	0.413088288874713	0.051793306967701	0.195302056326336	0.0619546019816974	0.0412354595006456	0.396375848514754	0.3101193905625	0.166162704804324	0.0913151921366669	0.068585257226089	0.199060301015523	0.15785449152004	0.26173118461257	0.0794080161862815	0.103336336664823	0.0962787749635912	0.0940699228892975	0.0657076704904802	0.0541915368017665	0.140417148636897	0.151783173789757	0.243587461726969	0.138228539910597	0.0634108887391584	0.157309412790922	0.0623759747825057	0.109687000839314	0.0956417995436365	0.568050387502515	0.0932092845596257	0.0501168306085633	0.214713765256458	0.0988080510701647	0.162572668967181
"SRR39238532"	0.738304111393167	0.396287238227467	0.278212582018294	0.163988579632157	0.337913643306787	0.14723611638171	0.376654305733527	0.18166705795608	0.29950121753783	0.391113586007437	0.400896223812576	0.570424367816026	0.29531106476962	0.415015285188349	0.210888452094757	0.545696293615729	0.503491327097265	0.285579427440847	0.17869548568441	0.417120870294353	0.177348889050136	0.439104680734362	0.162422576811306	0.722462816465233	0.211124061814247	0.647701670078258	0.30382572958215	0.309600603371288	0.274410119465322	0.384905932031638	0.253685080481261	0.163544225581211	0.286927153106441	0.345377318820889	0.288091160775248	0.375407173675623	0.207122713323321	0.407006165426385	0.409684629103056	0.277347600087354	0.434946997074701	0.349629212233312	0.659424588820298	0.197900546908385	0.37028220122805	0.668586328958249	0.395460684554376	0.220894770189918	0.381290732411465	0.274093200358339	0.127582261424712	0.611118600036871	0.527487054401284	0.329619366934184	0.292910587851187	0.316973126484951	0.533660531796536	0.373133031147266	0.50314612708349	0.389623115355125	0.331266869290052	0.244477924449135	0.250420205550479	0.266237551390247	0.247794753141814	0.332320470926034	0.323660052228369	0.308517045664925	0.268516588153758	0.283885428891907	0.281845600093093	0.201056340746149	0.279773180101341	0.282944015692504	0.556004826476534	0.325266355727005	0.163798278509264	0.487856053811726	0.318061842302705	0.421700323452672
"SRR39238521"	0.820188935514476	0.57650154875862	0.464391699738481	0.34266180326598	0.575191778464649	0.354846767453255	0.538471167758579	0.518571485275808	0.489829066895765	0.462194234902026	0.500326876093028	0.688611671763187	0.420277958823	0.490598179959234	0.50152845894874	0.705402497742987	0.19487184479602	0.384296597455594	0.327116352678321	0.442902435782183	0.374279853719055	0.640068316169749	0.336739852398498	0.597722812892044	0.315719019994082	0.757555287124234	0.574919872859957	0.552374155585612	0.337121385899879	0.465786093339436	0.538506857849079	0.36050786311585	0.37242888188341	0.489728788610126	0.39487965028125	0.49740710841532	0.362244221495989	0.470038626948833	0.557403436502304	0.500498153874385	0.356547747704996	0.423840491790176	0.675880179896671	0.311178630259888	0.513399776506838	0.674615311163078	0.481120995282354	0.29605908273132	0.405327589998875	0.602142784501044	0.302508161493858	0.485410020358679	0.49629775655945	0.425908756738633	0.413971647760146	0.436449398624476	0.681054164223165	0.397226405672955	0.602001679176874	0.528502262322755	0.358748873009004	0.339065186699155	0.354575193475359	0.40097277260366	0.413058792533568	0.470276660592992	0.437933952018961	0.476245010046089	0.464786314943555	0.469905590077589	0.540502184666201	0.297771178868105	0.42942944724288	0.501095043479112	0.583491594505991	0.514589727026782	0.285160599193874	0.597563550305898	0.550141258936741	0.564273737758323
"SRR39238498"	0.275774294125694	0.324931717539178	0.255940555890514	0.0908185249796895	0.309824691739052	0.176724261858092	0.360156305638234	0.276656910300459	0.346811921788334	0.244243198588505	0.209193494613736	0.345558428101699	0.216431892157507	0.539884994116083	0.177106717019637	0.256295724088964	0.436619301468164	0.0783055512366307	0.240205256317679	0.392454481477691	0.181263154116377	0.126305509653968	0.161179940347419	0.838539891203651	0.319759799022213	0.299940851052064	0.218408095894697	0.296802156256771	0.42701819420561	0.297498850333834	0.293089787634921	0.222070439027649	0.262920410885526	0.2128165350564	0.261156729914241	0.365426616635164	0.179979176838532	0.182118001895145	0.160849027807772	0.195757135437031	0.435250570234304	0.252617999801522	0.687315442477567	0.16409145399911	0.173086736295038	0.749342308028809	0.319242075564849	0.336301598540391	0.241742612585768	0.139214638183512	0.195638827900166	0.668956928691076	0.52813066187196	0.284390256731651	0.328033123197721	0.331002383184197	0.183582979370848	0.455887326609121	0.342734874962612	0.324788951464747	0.486772983066306	0.34476211321119	0.343348800593733	0.308950712543751	0.169345871142974	0.192138113982555	0.173536933561526	0.300450249931405	0.271639619391276	0.317773341956406	0.198457134153401	0.39374467799283	0.279422728605042	0.231898474152168	0.420569640768813	0.23663216989018	0.30524582243501	0.275515214176344	0.23596590098627	0.323691431046086
"SRR39238471"	0.201289019694057	0.195709022431852	0.13532269275008	0.0647126140658063	0.127154872407927	0.051215190987022	0.197967885315431	0.0468578085165051	0.103773957826526	0.155624996427181	0.133419045229221	0.064163226466994	0.150255933458134	0.0865777683384569	0.0260726141484997	0.184387774767517	0.209046341365643	0.0833362412581631	0.136952058368891	0.364725851215864	0.0448327434751883	0.112657992281905	0.0587816602569801	0.290747181935211	0.0942580970582146	0.302262120472879	0.0397178855037895	0.107393437095291	0.293380799743798	0.445275328524545	0.0570181723872629	0.0327548659559436	0.287327562712854	0.107228949338711	0.0623044170087785	0.10922368126145	0.0524014014676689	0.153184910825012	0.0555818869169122	0.0802875447878073	0.411367680246022	0.129353215292883	0.175851424659542	0.0617546053795964	0.104685900254916	0.128070540719717	0.396535115691539	0.0631964965396532	0.190969086860559	0.0227124514750381	0.0875494176847898	0.343114944549135	0.252064363667472	0.205949456395991	0.0898509496601119	0.146833436720481	0.108672667754469	0.152102186739808	0.174882344510188	0.0667778945168854	0.0866374210190522	0.159774216882221	0.109753871318038	0.12933739314272	0.0952241254238403	0.0943158095344577	0.141695235644974	0.238958373833015	0.15005329878033	0.0608328818086006	0.107970162030592	0.0840619115103631	0.0684726650786525	0.0520135999582482	0.588542939158401	0.118977917022747	0.0857621054031612	0.133586582421261	0.0369327194315222	0.105027688749278
"SRR39238492"	0.434342489283722	0.117166471611	0.0804264939546916	0.0406501781879072	0.0777201869846887	0.0420922481348864	0.0956981224199199	0.0320062591321914	0.128423520899119	0.173883804642527	0.141605922250146	0.147739417364837	0.0619646885097962	0.221049283181415	0.015945460538638	0.40094310298125	0.35672437216299	0.0449278821250714	0.0851721183800357	0.234541776586257	0.0202389206572098	0.146563518664022	0.0479165439656056	0.609756578929782	0.0692338369373227	0.115352400604791	0.0289282262750416	0.0265983971939487	0.228557459342664	0.280397580233802	0.0636231418509178	0.0265991429465039	0.240052191066538	0.0523767667633947	0.0985884144789763	0.0738357721468746	0.0332580084628652	0.291421495947477	0.0529470809275445	0.132866738545791	0.308015401120775	0.1296301701871	0.279215404151901	0.0567848282808915	0.101237643696151	0.325251863664292	0.250827701241799	0.0786566180125373	0.283489891978651	0.0188263735277478	0.039447871581173	0.47350901527331	0.281269526085571	0.137269261524795	0.0894426904607494	0.127010368818798	0.0837150074439046	0.272362440114461	0.102450905537711	0.0777831264240769	0.232540097815879	0.179406021907265	0.114427659267801	0.11730359537034	0.123291207703818	0.115367224374759	0.254990689812018	0.160132329728478	0.11521925757727	0.0669815538487593	0.0523371556173734	0.0875407829957622	0.0517091745572608	0.0466704246864173	0.30900917218425	0.06669355399479	0.0585123428699662	0.105034337190929	0.0362546509835806	0.144684751877734
"SRR39238481"	0.721185149018908	0.65290763302872	0.600564500525017	0.565541983217868	0.630589571099001	0.607348417494773	0.590648688903227	0.524802877729321	0.533399034765818	0.627848693697197	0.679608445416761	0.659370086170481	0.683618697806194	0.517518434752143	0.54167246472433	0.46369123538395	0.747383594951157	0.500151335438223	0.512029358096592	0.601154615765213	0.462514431938068	0.596877562331021	0.413282424139827	0.867082262413805	0.394007281928946	0.418545204667195	0.588287854121952	0.714158341473069	0.52120373181421	0.695968927925587	0.620194118445941	0.376852177100835	0.497849938435033	0.619143349492155	0.535845581446138	0.705002703847309	0.493734868697234	0.405723397554813	0.626893890673149	0.46974413499779	0.771428184919593	0.604182035506168	0.734506224215095	0.537296281988903	0.69360480094447	0.854862262440836	0.737536151546605	0.530623611618406	0.42118468063461	0.615667934904942	0.555251271585555	0.873571468986742	0.63945106547973	0.639184173563614	0.751239801350572	0.555715065389379	0.665073475753837	0.474067541690378	0.764547381764349	0.739437893661334	0.423919030247281	0.51477135371556	0.61483863910321	0.44888855898255	0.489672567449464	0.545796678362112	0.438201926146892	0.568254408750561	0.69404434183532	0.502018136751354	0.731984192187859	0.517402894763733	0.557008990395232	0.611843776849142	0.65591916705963	0.666706626352974	0.490429683075029	0.724644195831304	0.634390478876538	0.716943776209832
