"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR11292125"	0.842025817046579	0.655560602278764	0.840864217308793	0.708824706659905	0.743581572174996	0.609876936224283	0.761556863250451	0.695011574327492	0.920494129120597	0.553401998862556	0.715068537342793	0.866604861834033	0.798434667602905	0.823749923272716	0.701713268018653	0.690904681711602	0.574332341147394	0.495970070894714	0.690551249375059	0.611625467018526	0.555336751590415	0.719779305839141	0.623267506815226	0.868535507162951	0.402946526086935	0.42836642942777	0.639930898816367	0.758243718078449	0.559123504244486	0.625475271612321	0.749679409235578	0.703286749557195	0.531168192532613	0.570448147970328	0.651292577992036	0.668940254485585	0.581207812252986	0.71051702293314	0.573191474448138	0.765857029554889	0.599921437875215	0.610312024180506	0.835370074532572	0.581123739339928	0.77192878734713	0.866080558176367	0.690308279047794	0.707910962775995	0.718248421292744	0.786294341968663	0.803555370718694	0.867452304780832	0.700781107565754	0.738361360191297	0.662296954875535	0.828211977381885	0.84700254589309	0.738112417133797	0.70324731390268	0.766410810989885	0.729353808523997	0.828126328040036	0.705997423005802	0.843723442540099	0.871649771779992	0.779343601220657	0.672370542340902	0.640259348269065	0.628995167854401	0.77895712159465	0.67068519914701	0.618666595908302	0.695748010713494	0.683096145402923	0.454640113147543	0.746418990472753	0.655886459645084	0.716421369054332	0.730584816831225	0.814735562893785
"SRR11292126"	0.767829352772618	0.503398016458461	0.692610161529757	0.46618811799407	0.483444672852987	0.281830350651298	0.522002692415639	0.35767054696835	0.721651169882613	0.447895056078689	0.50292662585396	0.523554337715264	0.368231684649099	0.557745233163877	0.350168619520428	0.735993171857072	0.769394902040144	0.321300615026323	0.592924480655769	0.650358013976264	0.530605897122426	0.600784286574059	0.355921099671735	0.782581018224639	0.456960872230202	0.457611938673891	0.386474836475398	0.312144228041598	0.583370220842541	0.775755907080602	0.428377980432739	0.515530401437141	0.622153621892686	0.47959897696707	0.273885401671406	0.451229143816742	0.509773039028599	0.730147189430935	0.353190316840349	0.489602647407963	0.946718026990676	0.434526861131088	0.586250588185814	0.482747931114014	0.634301444932804	0.392488997198135	0.854638891463523	0.37896946589999	0.756807577757092	0.50816357950394	0.578794303150125	0.916722018612633	0.656241959968743	0.481515916104918	0.410398044134146	0.736875059217967	0.524607176383445	0.620849424792008	0.519729542705693	0.434497638330276	0.571268574495069	0.64141199315293	0.420786411909339	0.746562010147352	0.73694690130808	0.350954812942011	0.706796809716754	0.593856557538771	0.377978952902741	0.537283477294251	0.461741355695319	0.332797263579729	0.427249701402503	0.351269190577435	0.592888886783867	0.569819793373574	0.588843585233492	0.71714454993183	0.429396623971518	0.460788852523516
"SRR11292127"	0.748516254413906	0.591250753492614	0.810450139579031	0.595677537235411	0.638806718576212	0.545422492912537	0.699949292963283	0.59070177925017	0.908712368426186	0.490593852118015	0.740890766864784	0.774716315933084	0.790113261315131	0.806633433660625	0.5725697278	0.658347143444715	0.75327225319529	0.661236511502197	0.76964517801901	0.603981015474038	0.46344020480665	0.701415104079989	0.663197598052307	0.661219676917914	0.566693100651147	0.659388571206665	0.584319958067049	0.734502891068375	0.51134877550136	0.565415744165289	0.673619842856842	0.624726965630506	0.529716269306568	0.490342543215546	0.721189979536588	0.681754390816648	0.624978142073179	0.716484268326288	0.611680763841227	0.755239900604645	0.494468914596127	0.63555707699699	0.7896764808695	0.531069098756927	0.761039995742916	0.635852774380221	0.655987531655832	0.7602691833141	0.797769406460241	0.542774041446093	0.756561937390629	0.550607106640741	0.696018800640632	0.743301956430752	0.666253708776895	0.820594682053536	0.810524801088265	0.796857362108065	0.635477994191862	0.77968740368872	0.782550385022034	0.877700492944905	0.747660124427234	0.831645239334325	0.812310834171794	0.796359924618637	0.600548833117664	0.531871693517313	0.670119167129492	0.771347984120596	0.559303105760008	0.724226319777331	0.726825495522512	0.689637955650441	0.557222176798709	0.682417931884064	0.656589601483293	0.481281195530119	0.606080492415323	0.594423905088672
"SRR11292131"	0.91526414903785	0.588820028183544	0.859187433459286	0.441053115791331	0.529993110765673	0.350394254928393	0.593704475144897	0.587399549136506	0.885517239317289	0.585741109512135	0.732840012390337	0.71479176494986	0.3987514674496	0.79614209273588	0.517656474290144	0.859482377754435	0.465209425541663	0.285905649780166	0.817369916500352	0.8020076627385	0.40082203826138	0.732570770520389	0.5346579533902	0.543335151697309	0.81574186380914	0.607421740795384	0.517292725713901	0.5910162439703	0.315720916490362	0.527820038943213	0.685199587706529	0.713272362832164	0.581255336070467	0.635805383883591	0.534385475338372	0.66769266309669	0.623670304506093	0.908496521786557	0.589048865143374	0.603187736585721	0.510598941671496	0.747842705885556	0.809834886639283	0.609619372256692	0.775910626889197	0.6232842583891	0.486053158871556	0.580298529301686	0.92140945678729	0.655448189491749	0.631651254265914	0.815365208592514	0.859269709047109	0.714217085412501	0.479112699771784	0.858628624165189	0.847987537382115	0.860477788604423	0.68362423311499	0.667931136900021	0.837832740280304	0.831808518525377	0.59438279787898	0.871139525632985	0.846302030990184	0.614077628579399	0.837748445123972	0.333751224373192	0.537479723544434	0.708806400842833	0.539982919075963	0.571513997844336	0.637176892663542	0.58446879208291	0.367879353448316	0.577726629129275	0.611094714624888	0.697427580667557	0.566579539734701	0.72405628279057
"SRR11292132"	0.285812113067654	0.154167921558392	0.136388256631091	0.0823528067118401	0.072743841842514	0.0432982938248005	0.105428359738247	0.0613310091556094	0.310295635904477	0.276461811377313	0.183455685699217	0.297226574776957	0.0789882161261901	0.220264614234564	0.0337153246988986	0.244862604466617	0.431774280998371	0.38082795907192	0.109720745258163	0.198914664083375	0.13629120309484	0.185472781727308	0.038782748272891	0.423634270477999	0.113599729291938	0.841286964087584	0.0788347299736394	0.0286663440439021	0.269207369285848	0.325161979333173	0.0880170025095376	0.0606342281979736	0.32083966952984	0.0525523623216444	0.095818073042849	0.066036764011271	0.119944671749979	0.361491602706204	0.160546024235927	0.0856569763765839	0.760296289157484	0.162343556199911	0.218481623552051	0.155720339418535	0.227330868730688	0.24551034857475	0.662644977314066	0.0929820609585179	0.398797938450207	0.0539598412455296	0.140605755738503	0.62704453755556	0.240527484365142	0.145164007307073	0.11083151237848	0.202832879944979	0.46532496044245	0.300983225200129	0.0924388318192601	0.0928901608320452	0.246851525163104	0.223995611532745	0.12939045986238	0.179719109028865	0.174509829171693	0.147218473874951	0.228755000580174	0.397232183156324	0.0794601589393754	0.153409880337948	0.0489496957658424	0.0776337880880016	0.140655153721657	0.0917202290570328	0.836871801617957	0.0924840369023601	0.117737168099699	0.117500070056957	0.0898681335135106	0.108170820730197
"SRR11292136"	0.388568875824038	0.253671145077736	0.144789653568963	0.145364494654744	0.155856322977827	0.121940294112782	0.16498068842944	0.179349242216796	0.137861123735743	0.203582642351087	0.219583347128435	0.331374745931636	0.09773341420955	0.197717385755187	0.100492445744367	0.211611429966942	0.353558141579049	0.236769344304426	0.177532822266701	0.237515675286796	0.105207351853372	0.204740408098875	0.106449932720305	0.476908444297203	0.187724215958594	0.212554090442269	0.162547059381856	0.106234064072763	0.205100668209568	0.178279947367101	0.231344112441274	0.0854287134296119	0.272489556051414	0.172510425273617	0.156205878001438	0.213536551428364	0.177821783446863	0.24207651108358	0.212448560322333	0.16601650587247	0.206078789536735	0.209789509674006	0.282041250729578	0.202869733481685	0.28464395021968	0.579232759001587	0.214488165090198	0.184922329698428	0.227168558670496	0.18378159042564	0.129824522086104	0.419858335356576	0.263826721438959	0.174379582780485	0.20565185365353	0.184094341806717	0.25052775570141	0.215650347399726	0.225166051925919	0.243935114825493	0.191926529088476	0.204347611231434	0.204574814338386	0.116053873416251	0.153010505019469	0.111359051757262	0.230515718818685	0.145516986214922	0.168274401125557	0.11706410676625	0.14534416625588	0.154518389834113	0.22122870670763	0.206727174836414	0.185155932707995	0.120754842367943	0.132936959928726	0.255231111022698	0.190580074218364	0.32463786139121
"SRR11292137"	0.764803682349687	0.590797768169959	0.896344390158426	0.688622345279832	0.480445335460804	0.617092948350317	0.479586617512024	0.664003535399581	0.834522487324245	0.599878500652168	0.814082655126684	0.629952637940204	0.683888902495845	0.745000894140652	0.712935916646805	0.743961974475224	0.470217355557586	0.40091640873719	0.714441514002996	0.707389153681037	0.677739962757736	0.735532725203357	0.720844178771805	0.581344468318525	0.59291871323071	0.577854185458878	0.464996226824235	0.547665712367274	0.320309761339389	0.520040235817272	0.726293231606546	0.747713091498393	0.542991739895452	0.538957898731746	0.660183472859044	0.740029795214376	0.724050457224681	0.830781332491648	0.708910741060686	0.611683763224733	0.392491794471351	0.744999367217881	0.66687529540217	0.677208075931641	0.751836411835074	0.657762438514676	0.510752376425846	0.751666843689655	0.859153422130217	0.728094530229714	0.664431423205536	0.728489112113472	0.761953672846854	0.773502120614144	0.563148924697831	0.765403851190554	0.894236392974163	0.797812093085103	0.679933469353238	0.64925285358321	0.774569708811179	0.83454486530701	0.717260279931669	0.83294303127553	0.859620401641731	0.745073142427866	0.785781504176383	0.320570366045074	0.685528708601362	0.684637706158167	0.654250283836923	0.675401126115926	0.740715625017824	0.700545494433202	0.328584098312029	0.613808006115283	0.714377402534444	0.689598236000007	0.650699917138579	0.789462610780349
"SRR11292138"	0.31981313545373	0.188975805207609	0.109625071571723	0.099087926318889	0.0959856049710595	0.0579367126099333	0.125043645991047	0.0854891410036379	0.277084702178864	0.318872296732771	0.173812069974825	0.335146530173853	0.0813970700959254	0.233301539144425	0.047073255988732	0.270710551723135	0.30168567863441	0.427028998788427	0.0957380265637719	0.218012638423443	0.189616818113267	0.208214680118135	0.0468834792671038	0.364494753134623	0.137822381891315	0.855432435609847	0.10662052682465	0.0371314725996856	0.303627590430676	0.333533406523175	0.113019141312903	0.0800762051503625	0.348709218575524	0.0668536179682095	0.109649155880496	0.0819326470714629	0.159365296699669	0.35630314352996	0.2073605884296	0.0993999108753771	0.763605762171481	0.182672482589413	0.24787151421734	0.18953278621676	0.235619071716827	0.294564581047603	0.674939108448998	0.11125599085468	0.37066806229423	0.0785089098577451	0.138560265236173	0.651274752327361	0.264988273002142	0.140046079983952	0.136973983909603	0.187673083724852	0.446359102538727	0.301509592304302	0.116585377067447	0.11231358342553	0.259270278373321	0.197955955957212	0.144792280688511	0.156729906612871	0.15837358583824	0.144065550479903	0.248773986258179	0.441982061194656	0.0957506870609288	0.174782695294514	0.0654091616999536	0.0860832289383677	0.181235375266944	0.123608730189774	0.845677254134672	0.110324918297568	0.132301305117229	0.155452699985187	0.123047031375697	0.122092909880178
"SRR11292140"	0.777572507783031	0.576453392268888	0.65113423343654	0.460150230888187	0.610331029856052	0.413485825208606	0.54543564113645	0.636891824599232	0.794792260829892	0.464383817760624	0.634097211531665	0.769647404252198	0.522096791675449	0.813562546278204	0.594838889551051	0.73948959282873	0.569595894248992	0.375368467091842	0.562485231553926	0.496516008792213	0.703701321888918	0.636046419969456	0.631584395071234	0.732380059940549	0.391141736487952	0.343457456014673	0.595017143628431	0.414287339056132	0.464721222673453	0.435109394640014	0.708400196144016	0.590601737712887	0.437156602061265	0.480758591993627	0.650899771503731	0.67197156502945	0.598692023714755	0.662548424783434	0.530071744670855	0.721007932374847	0.407417345529062	0.512244768710018	0.769445045677132	0.578162307350887	0.682962523429103	0.812590342040834	0.602721020707741	0.672012485191685	0.671417982200683	0.64421113530849	0.656762126202718	0.645067752787783	0.644431709154722	0.501322947394355	0.598644588519061	0.698962992736544	0.69221724378491	0.737141973130444	0.594197804929561	0.720199387873032	0.75413820190653	0.749204451781763	0.627377213461129	0.70797604232558	0.717221212154671	0.65428082496941	0.562053175559998	0.474082585303642	0.49952011462593	0.652177027676773	0.502679297774854	0.713917177074722	0.611718734434653	0.606660803272291	0.433875997493306	0.594817589335175	0.608616123096877	0.669985114825718	0.698736489424655	0.608782630082866
"SRR11292141"	0.697980643005247	0.337300949177163	0.480577095416645	0.333337648295638	0.276688048648342	0.157689183938419	0.364493641933665	0.163247570689709	0.483745803286612	0.256454912650622	0.409290858716692	0.324698310509212	0.393479936634261	0.2212193529572	0.136219560451896	0.443486236207108	0.250232592511832	0.132640113091437	0.39122240572738	0.447781126268838	0.237150342242234	0.391756703752451	0.190716905558763	0.603904735605208	0.315642649074964	0.209057862000041	0.161575202283992	0.418908254343929	0.249272539651388	0.341636594734035	0.199994336540644	0.154357050200716	0.312603969248724	0.262950615287218	0.175603090315806	0.272040241355486	0.221344731484249	0.410001147871119	0.177900072874276	0.225895114494479	0.256334434496963	0.234223973942029	0.371791592857761	0.186929521538687	0.409356677527953	0.570807416512094	0.375847823089556	0.202056272138801	0.447692270370206	0.293625342381344	0.452889048781705	0.626735903986035	0.415940147378588	0.460191488753135	0.182872526951225	0.384869054647954	0.492278191044795	0.243541643247433	0.391140346807339	0.229766593187975	0.153863612631288	0.368176491793832	0.223352553534115	0.323359441026182	0.412045967234766	0.389806627689618	0.336998737165298	0.254602970339922	0.226910539152487	0.214300748644697	0.279497663319626	0.199900956098958	0.313561757016405	0.189311005101777	0.207364728643491	0.354328264723322	0.186366759280014	0.437801953992868	0.227396356558453	0.496078932412858
