"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR39238494"	0.919981902144933	0.737983722102031	0.477135736558819	0.301906516972329	0.770334828145915	0.712248125724742	0.755120749066036	0.673906156312289	0.798920474882194	0.812855003042356	0.558526374800737	0.655350141966302	0.393877257770256	0.839424714913046	0.463067893327873	0.862853487859223	0.288157377840058	0.274681164537364	0.489258499665928	0.875337541908262	0.639773008424616	0.713737106817653	0.296345607339747	0.726063140743031	0.823884173329127	0.973143583721653	0.489167489799679	0.634979805953843	0.629242971984784	0.763466225872606	0.625481136132475	0.735865732169292	0.737664032796892	0.697085389429613	0.555690317684847	0.607428271279803	0.624732448964224	0.878748249616328	0.75216223770145	0.590335508785552	0.954297387576229	0.858171026861435	0.881120517924179	0.730523668129391	0.711196632468928	0.517960390633428	0.815664817058419	0.591750252083593	0.836576480538358	0.412794850383163	0.452774900763325	0.949607818593934	0.904503906489628	0.610529698010548	0.761027623423256	0.776339638846776	0.804739213708495	0.882591797222073	0.796603682062341	0.74432904110211	0.880326368629273	0.593245079739018	0.649793695330593	0.727927869989014	0.732436341212353	0.485228561999107	0.817638037803179	0.765000534267	0.611525045218279	0.786250121073372	0.61718073854139	0.471786903010958	0.677739950782581	0.679975620543779	0.955712547318304	0.714845020082836	0.625406797347313	0.748317570145613	0.585246129627523	0.509776915817535
"SRR39238509"	0.280615479198575	0.161683934114304	0.0838064360912546	0.0543352695398116	0.0934356370873986	0.0534894854520142	0.0867456728375283	0.101201154590439	0.0980360886675115	0.206755502152831	0.138855675625008	0.0557532200170474	0.105032182346596	0.0787337978695886	0.0192612399337132	0.260572846217452	0.162250355534575	0.056467210288632	0.122090037670846	0.217435385257994	0.040563120647651	0.150328906848194	0.0390855092464222	0.366897905449186	0.0996997225050607	0.287674415478221	0.0254511022784242	0.043202567681752	0.26601195172916	0.368228828265352	0.0631254718978737	0.0276331998476307	0.348080664018521	0.0455267853497598	0.101384127476043	0.0495519195819061	0.0447868381167038	0.215146652944975	0.0663351792791211	0.111757195547195	0.809686561958185	0.115412869627013	0.106824444141667	0.070631086175231	0.144197352828738	0.139768750509107	0.52261518393033	0.0701464109592689	0.204390497206694	0.0260882538947561	0.0980518959428308	0.721328361731052	0.13344323803825	0.190093645649828	0.112113207361559	0.116688083261681	0.0911182491834609	0.146678544095905	0.0833108324316552	0.0778102824287627	0.0963773732692884	0.099426819334425	0.13819551938159	0.0733630229398106	0.0728515556597436	0.13435527305529	0.175469709760677	0.269768592991803	0.12485758399626	0.0566470092587489	0.0527224877057149	0.0643312777448265	0.0673402902067464	0.072962095618295	0.683725261580484	0.0737722622454473	0.0796483190548411	0.065871099749704	0.0327151760197532	0.0902269117245804
"SRR39238493"	0.838463785565477	0.760704254940772	0.497762234743987	0.524973242053203	0.565607322310582	0.845352887918446	0.552105983352372	0.52745930738089	0.363349089125378	0.858686789662229	0.726084927590403	0.565743916937274	0.651730122884297	0.58912172420387	0.680627991831795	0.75051038786034	0.621708636504915	0.374524112732214	0.574478279447855	0.830094028321848	0.541313476784655	0.726910665334643	0.528323400031811	0.885731915387748	0.763922422553749	0.751496037195221	0.64196123810929	0.775699617264986	0.581349943595141	0.690607021995804	0.624628736051321	0.573509168265937	0.7013593775978	0.691390522523007	0.735553044927588	0.811356097187526	0.670134104856617	0.687627792177492	0.844537310294744	0.605948065946313	0.957649541727161	0.814084671395205	0.806729747332525	0.723606706704185	0.68722952614662	0.896286769230174	0.786618926121662	0.689891077908595	0.691954534642357	0.717693042798389	0.440965468866961	0.965588029611172	0.869282371733423	0.794435069486465	0.803829828517187	0.37866720774912	0.740499814315906	0.698091018728487	0.858436691331953	0.747126135134181	0.670892641849732	0.50617051735602	0.773061145552973	0.327227198702326	0.545338235344327	0.680140360743919	0.667681941923808	0.688423254471483	0.723601591678912	0.593673646111173	0.71480059372519	0.754259167142139	0.755274827356568	0.755439821365526	0.767882074998944	0.711697747210304	0.643799085491078	0.740030158911786	0.721976835856406	0.743892119933447
"SRR39238551"	0.736798915467826	0.566242523708079	0.368250245934612	0.307541887821167	0.611635504747466	0.276392420236704	0.677866008474805	0.409169940160021	0.700488002605178	0.462385825936172	0.31801775498407	0.766589163182728	0.41011073368804	0.567806825200132	0.323469748550542	0.48737266487669	0.537207253369985	0.568488291001194	0.442080168636797	0.64481579144976	0.23729493098862	0.423870325398705	0.370112776360641	0.943418684869911	0.271236563111944	0.922908192854909	0.447877038220218	0.661597454417201	0.546625071391755	0.529040653310888	0.591630747632568	0.298158976268096	0.505255268412441	0.475018556017235	0.238940099284149	0.482838431892069	0.235195032576473	0.583582051738925	0.183852344133657	0.423381174468681	0.647430909972643	0.394837682110232	0.808532235792246	0.193655370438998	0.439042396713054	0.830914222265491	0.590849405689179	0.336397576918915	0.607932819683843	0.435319906672256	0.447848414856758	0.83283711042496	0.714248438576569	0.553565521358619	0.333096810194763	0.549504454250295	0.738723798818053	0.445242859656079	0.579500680405537	0.41437032873105	0.478798262873775	0.55803465822132	0.430219904662915	0.556216728116869	0.591537527045973	0.336878518047904	0.525951646644668	0.611608800193333	0.491931903988587	0.379584065614511	0.544112064698546	0.354687519812514	0.258019307310481	0.246778021556005	0.886437771879056	0.506581204465941	0.443998657377089	0.608562549198259	0.420458756028	0.617183499665507
"SRR39238476"	0.868425880778569	0.655973663829059	0.673967481738404	0.575285213205038	0.7109626767919	0.543558510328708	0.706120829947241	0.63113171441714	0.717548401749693	0.545029779438568	0.652440017846489	0.777955819554563	0.616506339236909	0.696006128412776	0.724560364932093	0.760711662191148	0.417734020641421	0.438686179802071	0.456151716997942	0.507884077442301	0.588204364280111	0.741018371131756	0.479244071397617	0.752995328108361	0.41019246437266	0.741315131547079	0.778484930572084	0.737470778700015	0.48609246557285	0.569260172073249	0.662051317837327	0.60857569636968	0.42617327305778	0.6411078035519	0.527475107663887	0.647433851075473	0.489189460751016	0.571802381596667	0.68213393814802	0.637171510523246	0.628432827147364	0.529723267297496	0.813457529923476	0.419639112903206	0.633848239813172	0.725687182471699	0.6307890649474	0.44032479722828	0.49479025759926	0.809959838131416	0.474800109298219	0.72142498558393	0.614936108105505	0.558947459138697	0.557426422526342	0.564906887425846	0.785185442641345	0.529721863256058	0.731618305888701	0.703122849723076	0.524207583704535	0.448527930930454	0.481169543246957	0.56200119164181	0.637004681285824	0.578523859758702	0.579177095706624	0.612470408636526	0.58686246242385	0.680989819910101	0.707507892325595	0.430426480371256	0.560082790879905	0.630612932849847	0.577452851084563	0.69523145315422	0.460425275509691	0.727661923867005	0.744445220293848	0.702872465370228
"SRR39238475"	0.391223904496266	0.184955973401391	0.0663095299963746	0.0346691080953188	0.146841421154734	0.0419523642186986	0.284760688604041	0.0728761981344504	0.264954180971743	0.0870696650404003	0.0549725187285608	0.436163941529698	0.0758253800695484	0.342279825868344	0.0552986358503854	0.319428662404357	0.193113717192367	0.0542698061591266	0.0697006067998616	0.285329462266306	0.0436577692109297	0.0884939974118798	0.105433830518558	0.677405665074263	0.120557539228191	0.195462785074077	0.118089569017636	0.0903186096153105	0.213627494472131	0.185558251032884	0.105851964182231	0.0971939052130595	0.173037979970399	0.0954827281062788	0.060981929709007	0.113063485960918	0.0473589004408902	0.255726200753378	0.0384589804445692	0.0926090237250925	0.19709978084157	0.100856835426684	0.561601516369688	0.0518632163714963	0.0528931898153408	0.470880343527316	0.166613864218447	0.0667340550063333	0.217028052889378	0.0894621734866372	0.0597678189416007	0.331482955196966	0.385872977210563	0.127951003476398	0.0581669541871502	0.164029637402052	0.0534177282045922	0.260387665171112	0.153704811936121	0.0690317929768697	0.253000180045826	0.126732116414577	0.059011969701727	0.190496837752927	0.135113957324159	0.0746185672357472	0.218193514369552	0.202697430476121	0.107212442738656	0.131765779608026	0.105408514432818	0.063852606326695	0.0698794660105662	0.0501905530438289	0.328060186803677	0.0760560079785364	0.0592632392662131	0.187936378889424	0.0850209104590187	0.205603386099244
"SRR39238550"	0.527533791650057	0.311495504554563	0.092976384617416	0.0908260489205015	0.27557758772434	0.0876372728085412	0.338971160797137	0.153344842075087	0.216614869841212	0.197550126995894	0.133150884372651	0.37900302954824	0.157097180994967	0.280362599570302	0.0614219172386038	0.441738868225742	0.17690497809766	0.119581629702616	0.129235893508602	0.424099328507852	0.0719732278257153	0.213090944092057	0.145404326268574	0.565782116347855	0.167520670237193	0.243207308979512	0.111237152421201	0.171671452413066	0.319681054566133	0.389999823469555	0.180560091166814	0.10111930861407	0.344570621927188	0.144321697163934	0.115844971717549	0.17303805574449	0.0932310609191875	0.350508477587247	0.0756516187898394	0.218604943990715	0.488529950317695	0.182000917399868	0.477150863360854	0.0929819498011762	0.11985100923088	0.415895802929336	0.404786831079593	0.111152921883479	0.289332233454782	0.0945526966047098	0.0911920821730938	0.56543558549716	0.410829243820334	0.233519842987752	0.12357277700209	0.16014372229294	0.0990719147012398	0.278764935677114	0.253328062421378	0.117615856839035	0.229875932071064	0.200700026386578	0.149784427169464	0.166635566530874	0.19007488012221	0.143324971803397	0.340323020149427	0.359182794129838	0.240638729345256	0.143474980093507	0.203183276168401	0.125974540759469	0.125890513071444	0.113727288076843	0.532907858199937	0.16662669924263	0.0996706177586217	0.245028190950224	0.102852253479042	0.248125890777913
"SRR39238474"	0.485040007305096	0.458971454832938	0.386153846777506	0.280184877370941	0.443151658235096	0.233688269783983	0.504538086093932	0.291924202375545	0.340610528455763	0.254472213939577	0.306280200647112	0.245542183826347	0.409108956779731	0.193891016098386	0.293634532984439	0.390377494572719	0.224423144101324	0.176608361041249	0.264295454801126	0.436019113904801	0.257529522978948	0.360225735133631	0.257102754378794	0.403039214372527	0.227912855937774	0.701618162330981	0.289031608226576	0.524708315067282	0.329144159501902	0.451872945902856	0.249967863865005	0.219235533675412	0.319658683096357	0.384278003575769	0.156229968069333	0.304538867891604	0.202265954540259	0.281399429788428	0.256192642001133	0.200699249446236	0.552510875139537	0.246624557655217	0.380530896346285	0.162752592247357	0.274154359323155	0.219205597438358	0.423209339492435	0.114462920245244	0.276610262357648	0.392773362067263	0.25365974475064	0.499722389740873	0.343137649582384	0.330399267024726	0.191504196339638	0.313642589518859	0.442347110511618	0.20339190339148	0.438296648630721	0.216074337160521	0.131506967362049	0.199921390366805	0.166460511397874	0.291634138413374	0.281687735950952	0.280905222478902	0.26760382130655	0.333070042395291	0.29385792505334	0.267550314059908	0.352045501029823	0.129522707151323	0.237161213256584	0.225662095894142	0.600720727076375	0.397238392427051	0.179716788157275	0.46291790554533	0.232911343567099	0.312299785452254
"SRR39238473"	0.440902600138993	0.422995586725804	0.385334136571329	0.158738149251594	0.242226560405668	0.205105996911354	0.350654187348046	0.35295825796157	0.239425338544739	0.323528193027551	0.349276489085566	0.380632171778281	0.234044124617807	0.335159439792103	0.317326611526747	0.36309017166108	0.254064584887337	0.137677319557037	0.242825897773025	0.411857351873755	0.292760204947295	0.27001363521096	0.268709908726605	0.744798874909579	0.277121994726835	0.253589365127415	0.354775272084518	0.39842430253733	0.334775416422241	0.321272177099355	0.298371028639329	0.249780223317095	0.275278739134859	0.342258747296968	0.311167413509196	0.455085567060941	0.310222546241991	0.209840669472168	0.302683152446217	0.252763911454574	0.391684103940642	0.247853777745275	0.528069028436074	0.248369614057748	0.284665972479312	0.760525998402361	0.457990114069152	0.29318314357011	0.235444979779445	0.396527322114882	0.292524292324981	0.59355384306262	0.418557779223876	0.29319891666568	0.369575737222509	0.305759438235145	0.306540302512021	0.239954931972102	0.502704629153876	0.333737483519703	0.223634882029442	0.257057494465977	0.326720679058854	0.285183343965985	0.200232985943405	0.352773173386783	0.184643748242218	0.344089359466823	0.289796675863292	0.238352925540735	0.377234529612017	0.214824806724955	0.369256096648833	0.32195220028822	0.347875091798016	0.239419181079274	0.333556158715011	0.491042056461412	0.366029026514754	0.436758115133179
"SRR39238472"	0.658845969982631	0.432622412399777	0.229881190890398	0.264717362898292	0.38476026826043	0.339296833489393	0.396564372509677	0.21243646244235	0.422579340977822	0.43592474574927	0.29994044662044	0.648618074551049	0.297812474853023	0.445002605543772	0.123230294097991	0.536380722466445	0.426729718073258	0.275016449269561	0.24066268998017	0.545176341283798	0.279358266627431	0.370984129855913	0.208358571732711	0.939675546035836	0.247360479622707	0.564026778405142	0.249929588200928	0.274371087417392	0.616278545984857	0.68116868542691	0.286388016790714	0.190456819893339	0.535370357834555	0.232451230305455	0.210741350712278	0.338475554391882	0.262032354684645	0.441266686193926	0.226220132256037	0.28897879889879	0.577480651027791	0.337014662901407	0.6899038296876	0.242961805664801	0.317391701995529	0.847969318302	0.703667852608129	0.261904438661566	0.426544606064405	0.201780544268036	0.247791966215186	0.758863227958568	0.612575438665345	0.406786153107281	0.357977748138685	0.297850405925418	0.349580350213166	0.458183175261427	0.430601643941575	0.261660647776485	0.412531188972517	0.340079280551822	0.343102485286647	0.303163588210346	0.379135251388787	0.278218616769174	0.489155382429064	0.636244160423569	0.499675586503673	0.335847421368387	0.477820766499008	0.262099460363721	0.302491269482237	0.256018880226546	0.819088702318548	0.396575998520379	0.289959688363367	0.536149203033949	0.295578482618292	0.52964745644215
