"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"ERR1624539"	0.0403570082116195	0.0294030613376923	0.0400292373547296	0.165633186922727	0.0503494793050723	0.0840639655617057	0.0258192173051073	0.0526584126876242	0.0160748088749954	0.0220728358384354	0.0286975008964829	0.0498453111839615	0.0307757300826285	0.00147092341280724	0.0184166958503676	0.0142380736467694	0.0927651473422478	0.019860528660053	0.103731334471014	0.0255731911591501	0.0501550900268703	0.0193341998120381	0.035376884437072	0.0202927378068758	0.0478524297352969	0.012342823661279	0.0191195285098475	0.0086345650113035	0.0186393410848664	0.0344965192525327	0.0215272300695225	0.0254244200746029	0.0327683182844595	0.0573526020258215	0.041040711609913	0.0313943032656712	0.0418993932673448	0.0424993198390328	0.0249132401617744	0.0231121100658161	0.0257225612998922	0.0493412111324315	0.0615945365121386	0.0558655881744096	0.0276132835699642	0.073059174122238	0.0308534579319237	0.0241871830408267	0.0354877160498433	0.0385734477286225	0.0571151743471045	0.0536052905793907	0.0114092990700635	0.0219258421311008	0.0196405999839754	0.0328151203094218	0.0290420712312063	0.0670369969915564	0.0634647453144777	0.036271445412502	0.0249472305657748	0.0281672387146606	0.0259349340605124	0.0426493689181286	0.0397394644469647	0.0183403279082834	0.018554487747346	0.0626532439839547	0.0214448343862503	0.0574351191282398	0.0224479054327532	0.0536439564161935	0.0284874928039844	0.0252308606926246	0.0218116788801972	0.0486312876803137	0.0454720881374852	0.0217433058089656	0.0188147042917911	0.0262710776280532
"ERR1624542"	0.0248977187812468	0.00647284488800222	0.0150927228493996	0.0226548731831679	0.0246027096423618	0.0209851130416681	0.0107800762442103	0.029191988484054	0.0106407824761472	0.0138906621518445	0.0139139191359398	0.0259485890840072	0.0230439488803825	0.00758111356494327	0.00970946798392285	0.00795654797135456	0.0155082621686092	0.00892497838526615	0.0335816834449034	0.0129405321171452	0.0311381425415651	0.00793491973581913	0.0143725716753101	0.0109909800878114	0.0245060825008576	0.0107691571361602	0.0135149619086034	0.00603627628236216	0.0128511331978939	0.0136368723583972	0.0128068428989066	0.015524232693362	0.00506443790167127	0.021253035198907	0.0122619964305431	0.0167065161220959	0.0178516581586276	0.0227099386430532	0.0142353363929886	0.0131400209381737	0.0273286875284094	0.0208922604437614	0.0288466707460068	0.0115037281064818	0.012100483010565	0.0176607913286982	0.0148766574216329	0.016458785386045	0.00928787654617871	0.0233672091821903	0.0101720097670427	0.0149944743092062	0.00755583997493723	0.0111298566281599	0.00654651975851997	0.0159725881577013	0.0188988947258432	0.0178518130450891	0.0246634444870112	0.0236215216059096	0.00852580593611922	0.0135639778365671	0.012632630582301	0.0151305199428583	0.0167127057918136	0.0118692854254537	0.0144284674307769	0.0153452965716816	0.0117726182924781	0.0408757748171536	0.0100259675795846	0.0155529156344826	0.0160619994343166	0.0255323426918818	0.0190420341875809	0.0153926160039996	0.0147012510701853	0.00907959043453639	0.0145670118326976	0.0110048153557865
"ERR1624545"	0.80387134459177	0.0161562004754514	0.43513258401288	0.883826184802415	0.745704529359434	0.482634978740086	0.105042762953582	0.528908968703248	0.0704689567457295	0.171457521210732	0.156409250411419	0.588960485281395	0.620986361307043	0.0677299802185855	0.0520271472477568	0.222344198502056	0.412176501393305	0.00508809851582084	0.56136744288766	0.402727452979103	0.106327091480172	0.047226565459991	0.437815353595715	0.311886172536803	0.17344514691039	0.00374673590305738	0.270714847216316	0.0111642521286501	0.0452282200696143	0.574022910631969	0.0332867640366896	0.106863230428625	0.00419525363679849	0.101769765420363	0.0342844838039827	0.305891034544812	0.259772482313603	0.321113244641218	0.0396371237653152	0.0174236407426758	0.0510113336897826	0.281378608079824	0.287529182283913	0.0325749728922317	0.44519514611352	0.147922213530024	0.0717911305869892	0.705119725081998	0.142592690626889	0.445395450967701	0.366225481342295	0.0434959531983382	0.405856670810661	0.029355114323083	0.0213183210721534	0.203514192498903	0.062880377947772	0.1739881021149	0.271157901142709	0.180086341596022	0.547991170567742	0.460876703925838	0.0113348472058035	0.519276327289863	0.419642304969697	0.357918840916879	0.510766224086139	0.221269723762327	0.00816148808133359	0.638149718449903	0.0139706291081855	0.591672070384017	0.256645439053782	0.114846187693444	0.0328151640514108	0.0549326168649456	0.534841230589338	0.156840098795612	0.0998792787952988	0.0118919995917357
"ERR1624547"	0.0975139647642547	0.0893485611150109	0.076034412573496	0.108039315725917	0.079464286211593	0.0971561651523919	0.0889030457818508	0.121089072932251	0.100362883317303	0.0890944629609011	0.0913911846222617	0.134450407898983	0.0612808854805811	0.0104371005019613	0.104185415600648	0.101251868147234	0.129117896059044	0.118315627115079	0.126792139619181	0.0833779087678211	0.100977365974828	0.0802800077509824	0.1228950932817	0.0924184092157838	0.148716677160954	0.101162641681006	0.0771757061504861	0.0751801909081913	0.108315763292413	0.0961910622084692	0.121277321480736	0.084894614723436	0.0768368503318761	0.101317256814534	0.113722142062879	0.0900138789867521	0.0796134836731962	0.106255544327632	0.127972904312041	0.130102769553354	0.137366766030554	0.123407623416519	0.11398098289504	0.116979166025499	0.108916214450611	0.0980968095741891	0.127824288440834	0.114169628154904	0.0726039434376566	0.135236051523479	0.102546727180109	0.107285147467227	0.103460829352164	0.121857042720254	0.0753554787423779	0.122411985564975	0.115283016007395	0.0701977415943823	0.0890345707521469	0.0720555503957458	0.0513283944289574	0.0913030298080353	0.143647338239002	0.102705334605055	0.119999025987689	0.111222920673755	0.0947386522759403	0.111574095807785	0.133053452046917	0.246204035829237	0.116158673967755	0.0911161797096781	0.0934970427281867	0.084110386491519	0.114822151115206	0.103150142457782	0.099344341085268	0.123804429719801	0.106114354147126	0.10560815612973
"ERR1624549"	0.120738737362379	0.0277495468893115	0.128810733146107	0.368814294948647	0.178848686612367	0.128233122585293	0.0270585663368057	0.127413952407008	0.0278376231965756	0.0364639574846815	0.0617506952385045	0.121687343541001	0.115582561979347	0.0247290669745841	0.0383612079738614	0.0263470226565413	0.12768782040422	0.0352446492323906	0.162827524648918	0.0539690129074156	0.198097193597878	0.0294137599279721	0.058399870998652	0.0392605891070292	0.08306272091324	0.02734908141759	0.0346241587427022	0.0159353651781425	0.0408570902077426	0.0888798270840205	0.0416987191046211	0.0550493749481825	0.0283858758993644	0.158976751423174	0.0761439304211079	0.0822360870206086	0.154405574227416	0.131005318228685	0.0630133539351003	0.0606939490962849	0.100165587760443	0.131843528458188	0.118656216991758	0.0848636663850795	0.0616045161501027	0.149565499992922	0.0621069682264833	0.0857518318961052	0.0678890730763836	0.0859626956560802	0.101124831984415	0.114182698756261	0.0253379761378727	0.0316171070117006	0.0277833347238942	0.0854644364622259	0.0709517488957124	0.108715255545761	0.263851399042525	0.195776534288757	0.0504119666359502	0.0665286870437311	0.0536270930331099	0.0923065381287698	0.0699339989959509	0.0386481188833744	0.0754963769356561	0.135396133522143	0.0436667093025421	0.111913791854941	0.0277850203535061	0.145599042106832	0.05640972470178	0.109147378599308	0.0478843032903611	0.0967259919339326	0.0962694716115321	0.032341013941581	0.0388867887482911	0.0472908898682047
"ERR1624550"	0.167784310546803	0.1126342854069	0.175988291934837	0.206402153744184	0.317612083134816	0.179435892403095	0.317893445511306	0.31094083562206	0.23770500573972	0.22064313426453	0.203369801517434	0.240817653888934	0.223601600075596	0.0254005035226282	0.184336422104268	0.11351966106408	0.0732158424200734	0.154034047731208	0.244512579214391	0.145266591693365	0.24440551085702	0.13708071505345	0.181397545024481	0.202339451321329	0.250947897004225	0.261465224053699	0.135549218681584	0.152923131946979	0.225192791938976	0.235622244645378	0.162773213298106	0.259884211528071	0.116528470835212	0.214926492197359	0.154177255524538	0.257601771532473	0.217246834433057	0.251729401415858	0.230744276647598	0.171875346946711	0.341689765503132	0.214523976234214	0.261859869123078	0.108016820948877	0.169434464725865	0.156757308299483	0.190699429008376	0.211642766158484	0.0384590134350191	0.29820283373415	0.0723064765194751	0.138194600236248	0.210850236742524	0.174359351587765	0.109138104441877	0.214148507183031	0.274047240506341	0.135944802970369	0.179413698636294	0.134847757114965	0.121264445949357	0.191823945945308	0.205190898572459	0.147419360820533	0.184727016185725	0.192069424438093	0.176027235416636	0.206449404138022	0.192515194587819	0.222301353909291	0.163669262212408	0.15826115899117	0.124674658007571	0.251432552209155	0.232054839158017	0.145724403586117	0.167624397604262	0.109686886553476	0.15610985457211	0.148199203344597
"ERR1624552"	0.535095201204507	0.36536137000378	0.361382001207843	0.368433770803744	0.376449755253413	0.232631922160398	0.239875650617179	0.385985009973814	0.254967461258346	0.270162964966372	0.34924251813574	0.415529629213091	0.474941131285761	0.310234153941564	0.322530874205433	0.243187773292273	0.250254998109831	0.281959835975058	0.35952843740593	0.283429820969024	0.453585126933419	0.197494075961045	0.322143937511129	0.307375149414593	0.328612376762871	0.320400246754498	0.2178272838685	0.211692867386127	0.350296971975439	0.346580724446354	0.314001230759041	0.318332877496483	0.127362505524195	0.322054311321206	0.296371485352561	0.338911157284635	0.384770663056337	0.423086641791331	0.409689410136822	0.369854101364676	0.453912908400237	0.413009893218685	0.335280554392846	0.241627249686738	0.315160717663119	0.38873991478423	0.339363265945333	0.43962613832558	0.141404054557232	0.38885078057743	0.214854893700947	0.289814517038305	0.331853722364727	0.27061071808988	0.175719284317736	0.414514250722364	0.378604278767883	0.241646563530628	0.441284676518272	0.392269568206197	0.257097011523867	0.319599112989857	0.410030336875882	0.30169315696245	0.334763152165893	0.315539304156607	0.410207122924672	0.37128960646197	0.374435543663624	0.493734235772298	0.228045767160382	0.294295693765376	0.238134956423178	0.413688685781474	0.38224655817001	0.309513001959597	0.286682167579007	0.239792434541412	0.2949405946927	0.255210887352766
"ERR1624553"	0.0351011816944624	0.0143538607010584	0.0186686227124325	0.00884908122869041	0.0124686155078204	0.0202136692388337	0.0141433122064976	0.0121103204271924	0.016572003483108	0.0210177982297343	0.0120164726026254	0.0244647041024846	0.0141415800672752	0.00790179293412201	0.0151034050790566	0.015682620925639	0.0273641164297721	0.0226737812220599	0.0168188885796394	0.0241407860434666	0.0128812385603161	0.0157119084145971	0.0201881190597649	0.0142073767074317	0.0314730927610051	0.00846178804215399	0.0255734668061232	0.0109299681447126	0.0193778307763649	0.00795716255225059	0.0221722127554093	0.0157756368526642	0.00821509869039414	0.0122112302078203	0.0179151970218717	0.0170318709616172	0.012729862220649	0.0187224575049978	0.0174502751048617	0.0230579669197157	0.0165613345724473	0.0262136467054786	0.0195086933325111	0.0257167919623104	0.0155030832138564	0.0134201152025006	0.0216989973855115	0.0186426397255782	0.0257635011417838	0.0138195344850163	0.0214435242864315	0.0179291430085875	0.00957701269222256	0.0237698414400185	0.0152157336760936	0.0261138227439652	0.0146548465004675	0.0136519405023075	0.0142758259846098	0.0183336939585062	0.0126530594306974	0.0122036116675369	0.0205028991675054	0.0229231316468943	0.0202919217490628	0.0142662367146446	0.0114990551701119	0.0190960436325102	0.0177902285269862	0.045620970428928	0.0198985561985021	0.00790333601033158	0.0216817753317079	0.0123121102793135	0.0120231459807309	0.0171147404920793	0.0132197991790698	0.0202438089182397	0.0137127482544535	0.0140777972968055
"ERR1624554"	0.854568061490285	0.22867371282018	0.828287230795969	0.823846142856783	0.783316300796557	0.592602743891758	0.352113966388511	0.423409782459441	0.586442571082093	0.622612709435363	0.40096035910067	0.512964347020828	0.660775357530395	0.543645477386802	0.443331636017228	0.216421534200874	0.547802577582189	0.268442017953532	0.486335350021727	0.480558267897129	0.560759206390043	0.375304886747879	0.442135488262809	0.274930076879066	0.556455700148041	0.248454472454942	0.346026383508449	0.368950110468598	0.452417666173381	0.504447559558914	0.277166729981112	0.640908018251192	0.160864527830724	0.496784603251436	0.516388183937333	0.738720173472189	0.82279907521059	0.671835795572892	0.607345063656297	0.270695639072769	0.228546144442206	0.731447776548522	0.450025820831754	0.541644908866387	0.461846717440071	0.475756653224405	0.443937349850723	0.641707259454468	0.345521466928714	0.319639604468341	0.529985015562669	0.573340337555462	0.326612351103285	0.33707075493715	0.32566518206415	0.687174861542239	0.454495038630415	0.367194138633434	0.782577192967225	0.768813753469624	0.508795422724453	0.420317238657508	0.380800979159696	0.549247062583886	0.411169818701787	0.273099510575389	0.42179566256336	0.731498540928434	0.288323703750366	0.718505367386913	0.279968535502429	0.580233980293958	0.336825229391894	0.53464292950325	0.115897007190673	0.431750802797586	0.512769544850384	0.203196205665351	0.085004880024208	0.304790970197372
"ERR1624555"	0.00849427404267336	0.0017112344802303	0.00503412098336851	0.00998671517216142	0.0164352769058578	0.0124702943744855	0.00962661859506598	0.0232307216014002	0.00978852134709537	0.0117293049762929	0.00717621162432725	0.010292198309989	0.0131760220410345	0.00513128188628161	0.00430658332149619	0.00287956762935058	0.00436301294182253	0.00251970669527109	0.0262026724427895	0.00585033707006859	0.0169148412849297	0.0044533575663069	0.00723077141008643	0.00436251377272004	0.0169942630546807	0.0091901954365055	0.0067457058141197	0.00429190054539728	0.0066611086662554	0.00840191308959294	0.00498202308606466	0.0129676870508889	0.00237200407501491	0.0171687901570843	0.0050160671409275	0.0102986501685578	0.0086585924351108	0.0097404019053957	0.00525301512559842	0.0042204502591984	0.0173179857745356	0.00719197992312549	0.0216449735694206	0.0037307542738088	0.00571349364913094	0.00597530148948425	0.00623265659137863	0.00693214454573389	0.0034465103053188	0.0158604527717457	0.00329829528629129	0.00627299745413365	0.00390384410286489	0.00653636659606339	0.00314788220340267	0.0055120963176362	0.0114026985111472	0.0148045958650901	0.00885319449295424	0.0106402407633878	0.00436332567511537	0.00675661765593885	0.00406836320046231	0.00522238938503608	0.00804315525052727	0.00614726675320627	0.00659707496612577	0.00463300159341836	0.00452932098288361	0.0100686059562513	0.00700559194107185	0.0111301847131785	0.00764598267564751	0.0175056381734226	0.0100290320157993	0.00603061891107671	0.00729601750934785	0.00360202035507587	0.00662414695067347	0.00596791859407669
