"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SAMPLE-1"	0.983410325768381	0.903571863057808	0.977413216401229	0.877610451432184	0.962208570651121	0.867209751354193	0.959704967097251	0.83549849309365	0.979994362184401	0.981718079338105	0.89903429937734	0.899042240866525	0.950720919661963	0.977276306836287	0.950078666152688	0.899475586511139	0.827101253409421	0.931480144443491	0.770164996754283	0.937052084430382	0.869346056345254	0.933307375267493	0.920916544794229	0.917189336925974	0.927449581103756	0.918348320332331	0.911119754545522	0.962291283773584	0.958228002322661	0.913213824451793	0.89031670984809	0.968052139531022	0.812643723946119	0.882398354733506	0.91651740358891	0.972125688031462	0.967113053345999	0.950272064074531	0.970079024249404	0.90387937222218	0.882962344798561	0.965884566245632	0.839627657139383	0.907554863569962	0.926669274139045	0.820042409914335	0.929404967411507	0.965275059800347	0.767526695403619	0.849584836341211	0.868707993566094	0.89512380742723	0.949788385427797	0.928416983815666	0.925077298666346	0.971747858040108	0.928978585594047	0.79413473219182	0.938514982187214	0.943830766558924	0.945566056408795	0.899126027994964	0.940657704811804	0.921078551078771	0.887933991266316	0.895462491225352	0.917776924923991	0.957992114662727	0.925772886038843	0.963891685093867	0.907429891726021	0.861573121530583	0.855968625573604	0.916810176273455	0.718440439784734	0.855313146000048	0.880212040366436	0.840060804659549	0.627640251263005	0.862921374087727
"SAMPLE-2"	0.00913931826898388	0.00249513829453163	0.00283531716311307	0.00176997340115718	0.00336411424823661	0.00631188071558665	0.00580949575057638	0.0045371074743515	0.00714283062423488	0.00811570564850986	0.00287028654490815	0.0049004639158699	0.00413425523295145	0.0051190232308419	0.00325932561766504	0.0043910797890336	0.0059597759238012	0.00393360018894798	0.00708196681952265	0.00475263492274411	0.00416954552299318	0.00463170294816127	0.00555337728064658	0.00285190746927876	0.0104955748265523	0.00345542871484699	0.00878822075559781	0.0037107899617232	0.00465168566522339	0.00212071109126183	0.0049321727093088	0.0052747073746778	0.0028966009060119	0.00704850265951967	0.00374163786834682	0.0040516411737811	0.00279718646926996	0.00362963155464835	0.0030120339522147	0.00455410441774569	0.0072550750592942	0.00448839313751122	0.00658851213563429	0.00509002694957395	0.00400387250258809	0.00227878923943175	0.00483157196588153	0.00540815685614245	0.00928896270783619	0.00647259280720048	0.00483728211010967	0.00428917019069661	0.00267647967835737	0.00735413972018437	0.00459289835242303	0.00438034121077926	0.00408494587532036	0.00711996430053461	0.00305462219964091	0.00678540117436459	0.00268804529909208	0.00283187064072172	0.00351638388640015	0.00397469548789792	0.00528772710346685	0.006429470364493	0.00430121910204575	0.00257665844722177	0.00354971429537669	0.00814041973443754	0.00784093004437865	0.00360805511553626	0.00626410777016254	0.00497602757819083	0.00410151548130934	0.00361911661502102	0.00327796510982482	0.00542086251117798	0.00386678447990352	0.00422144919984141
"SAMPLE-3"	0.48250335821005	0.45761581273711	0.35055325109227	0.343508445879271	0.382184704180692	0.374742261523302	0.556834269312385	0.45937929176174	0.546249162987708	0.637782242857849	0.39585715567285	0.34978820264432	0.548345711022998	0.574257642882085	0.376400585296396	0.397221138648024	0.453560061418233	0.451366596461534	0.432210090597471	0.456007476087642	0.457879272484809	0.473130083118457	0.458018640300795	0.398962199503755	0.4415532110219	0.495730253321381	0.483176654145151	0.506467063349157	0.501728080111122	0.449461467711267	0.394141054605736	0.56059769916834	0.45522951334584	0.496965288869049	0.384768815945135	0.453117564933572	0.383838323412165	0.406250915950042	0.417100581807766	0.41617119210553	0.503639900630951	0.421181840227561	0.445992656159546	0.418193330148718	0.462056069194948	0.385971698544417	0.421001835536166	0.463648470268074	0.58589264691166	0.555147968584407	0.49634865165274	0.430144311116865	0.411670912848371	0.485170614551556	0.510473262496225	0.401609806268848	0.438034960185506	0.591954197545812	0.432220156834927	0.529080792312254	0.508221981661371	0.388797014259158	0.43420872707106	0.406966308515009	0.420940094427132	0.531141177592105	0.49538267111904	0.345634259564704	0.443183655140096	0.399890775804048	0.517924326414344	0.514041035399778	0.500041710924616	0.467137700953199	0.441312405507137	0.413144436952549	0.364904090278461	0.429067397194061	0.375723123270694	0.443658551505368
"SAMPLE-4"	0.216423727280869	0.0602473156847448	0.131166835701121	0.227211682283092	0.338569324476261	0.242922903264128	0.321724731636407	0.291962637185993	0.472655704049848	0.489092937650827	0.202434347748824	0.104172638549017	0.324363359637048	0.19034376296625	0.131323860890941	0.123738922318619	0.142617286303391	0.0784635405564107	0.374359379279376	0.197770269864179	0.192346313678821	0.235131754933644	0.222238888376527	0.087183264421692	0.302587774358968	0.268419766342375	0.324685665787776	0.336154609040793	0.22797786757172	0.236290072717227	0.090916794688683	0.525575095380601	0.0957637307124412	0.408253140266299	0.137953441221893	0.362622779670392	0.262340191787681	0.172274099288423	0.15364412910053	0.09728269100064	0.192355079530126	0.127362199937518	0.278864482706855	0.133255138142689	0.185410837294623	0.107297524166612	0.125797522893792	0.181008340828331	0.23168719498971	0.292148138188642	0.177603629710479	0.182814923905305	0.148082461434017	0.22313493411328	0.192973005815369	0.127286695218561	0.189381956911256	0.499002102036576	0.136767621138394	0.273980271505931	0.312440156699412	0.188330667862582	0.0966799301169208	0.125506265128696	0.190210555907379	0.226316161379296	0.154009567398966	0.10052295613593	0.131503503584403	0.112454943446532	0.2920262204851	0.382721028922086	0.205403001478095	0.322603830504006	0.174296019852669	0.142289223953746	0.205637760672745	0.0989324714802188	0.05671541848469	0.193567905484359
"SAMPLE-5"	0.057799533666756	0.00361547970467089	0.0215488758949389	0.0272443906149149	0.0676874713677756	0.0527114589595239	0.0572431549865346	0.0389628924891769	0.143649582223655	0.13534284333938	0.0165589923179143	0.0159019668618049	0.0386174122311364	0.0140961753555604	0.017938086124867	0.00744840993193285	0.0173593190199608	0.00596363389014277	0.0585679730037542	0.0222065501385832	0.0248729024779866	0.0318528434051663	0.0286457384477244	0.00782403489155349	0.0827303395672001	0.0313162104166024	0.0313976584165442	0.0451479495041012	0.0277916677306389	0.02453034491104	0.0108483354180179	0.103315759910221	0.0130213371558198	0.077558211717325	0.0184899987342715	0.0669281695447286	0.0447462432332716	0.0235212557207324	0.0180481598204831	0.0069884515345842	0.0206457653137638	0.0234675433504343	0.0412501790863468	0.0188100168020456	0.02281478836606	0.00767295381213325	0.0185001343865401	0.0298097466018997	0.0240668836119164	0.0292460543267848	0.0188634023728395	0.0245820947437753	0.0155491929952196	0.0318273659142573	0.0234766721631628	0.0209951257387066	0.0281573564959341	0.0585884541484857	0.0208890092521115	0.0508924938675827	0.0251392056898387	0.016603079647761	0.00824093992828949	0.0153766221865825	0.0222173385586255	0.019803447675798	0.0170168794794482	0.014734838408748	0.00757885855738587	0.0229152615033337	0.0406295730664579	0.0538062910442128	0.0227301863221301	0.0422216909810333	0.0066474778553605	0.0133845018725252	0.0232388795373233	0.0110047679587458	0.00447360851071342	0.0207519491710793
"SAMPLE-6"	0.233823695349329	0.01590056918223	0.142379811052904	0.152025844407524	0.328897496846043	0.131537743579139	0.127518378843943	0.150754065248623	0.188052628026819	0.214333924947873	0.0795334866075457	0.0939453985715762	0.243154018769571	0.13499651809137	0.0836379741750689	0.0231104041503195	0.0471771755869958	0.0244231113132934	0.16240778757788	0.103784544631109	0.152816801012684	0.0691393964781518	0.0777988655330198	0.0429642323544898	0.157291993022347	0.0855728437294772	0.0801015440858854	0.0881068151481754	0.107262704989457	0.1060403081902	0.0433430419663694	0.24735074389199	0.0196817072774622	0.224180568364719	0.0690595047985007	0.228140967389244	0.268770524483691	0.146887133868128	0.0997740901327289	0.0441523501415164	0.129683190877433	0.124013567801695	0.182335134791755	0.0513407360623242	0.0751041902621138	0.057747384995003	0.0687551765566702	0.130693384024781	0.0406486524052812	0.127245912820379	0.0471104397238101	0.0817768444135511	0.0590174520114326	0.08038371731574	0.046349257574195	0.113045272189028	0.115597867346	0.163891002595673	0.15498167577658	0.20877057856952	0.131299194520198	0.0786192685188888	0.043557432916203	0.0737794554530815	0.0752175767150318	0.0829012151284729	0.0870951127556379	0.0908613604024709	0.0413030007486025	0.124233679002866	0.0740210248055821	0.127710367482695	0.0744169134735644	0.192320752526756	0.037108329646066	0.0639157547928596	0.0863540800183465	0.0267234981894021	0.0239654315013841	0.0543924307773827
"SAMPLE-7"	0.788940485864663	0.476451511423501	0.615183675500411	0.338135139350791	0.793811487450671	0.577915907534765	0.803789412164993	0.549216384644067	0.786648847782619	0.863731306748674	0.52187500045067	0.480020663705443	0.80563851507717	0.806397983200792	0.633005630267796	0.40766127599407	0.318437908265906	0.439388305022563	0.46625645164306	0.659618912863121	0.544738172906021	0.641863925424836	0.535329244834433	0.649221899404892	0.577443041033905	0.682648682824378	0.620181852119196	0.744807927181229	0.699378659665614	0.531537670913908	0.630224262528861	0.796958555967171	0.405327548100724	0.598744368729376	0.455716748811236	0.751431240225183	0.65669218623676	0.625793340392958	0.62393983802273	0.457530603390797	0.611346483295202	0.608173083763073	0.630137891781858	0.400294378136056	0.547571295023439	0.373552040027853	0.577500943888988	0.669803068292022	0.386722088150504	0.605201298084354	0.364902401212617	0.432297175532181	0.648872725555651	0.593159824810177	0.580200067465141	0.628327481918876	0.658177381528162	0.615818103006906	0.552782868061181	0.658795100145063	0.740696818020317	0.57856941583693	0.502894419238903	0.495712083715672	0.50898701346451	0.629514183292189	0.575707327963584	0.509424998552985	0.504315881236511	0.689017262965844	0.570695547829975	0.463279789833882	0.585969288144123	0.709522202600272	0.420490707855712	0.423167253867148	0.431059266312592	0.448418340697944	0.537822043696482	0.475584338363248
"SAMPLE-8"	0.0527796270249659	0.0332298431815638	0.0433195957290264	0.0190385678727683	0.0335404409989402	0.038154403611688	0.0284850013011858	0.0269244312644637	0.0158358409860513	0.0254403137816705	0.0282266059889975	0.0515951773719281	0.0543331483801225	0.015471260752553	0.0232298637932359	0.0195393066458253	0.0491138422528088	0.044822777444203	0.0303887417426418	0.0706741388927062	0.0325472930243444	0.0297750702236121	0.0305905709562563	0.0426539057901862	0.0308742394439824	0.0137650773345387	0.052778812880893	0.0154985578172296	0.0406797025702002	0.017097997802124	0.0417310517646996	0.0342949324642479	0.0203504229214286	0.0226414151379854	0.0248572316452964	0.035079683752372	0.029037726848504	0.043134893765124	0.0318141357732943	0.0464083985253696	0.0448685901677971	0.0452073555582257	0.0292411279070612	0.0459477862082808	0.0268743918000057	0.0440558538760654	0.0353052286524691	0.0290377264350457	0.0558107538765512	0.0393259107538603	0.0400450419195984	0.0328549829172031	0.0147848790702021	0.0224299581180864	0.0357546608137156	0.0388028277908133	0.0267926557658691	0.0326776388490656	0.0316068814790847	0.0369392529482553	0.0421502353423479	0.027935223590086	0.0377256935067044	0.0524879650505486	0.0376205921194193	0.0376170001120705	0.0227884905430428	0.0459442833631148	0.0282168472659574	0.0624829831486131	0.0189090449935686	0.011962662233171	0.0559921931580345	0.0267272975981734	0.0307434725357194	0.0431628647122573	0.0238336086677519	0.0303933753988917	0.0376832900504763	0.0229949543289299
"SAMPLE-9"	0.0431672097053605	0.00676383002410738	0.027750663802966	0.0166758034784431	0.0510801277816131	0.035883823833803	0.0412972757988756	0.0402220651084028	0.0223482029707195	0.0316884310012669	0.0236779881303309	0.0348212375837944	0.0826778339847469	0.0247253856535445	0.0157053910683079	0.0105448059651466	0.0220853611314493	0.0142027257964185	0.0338551538384874	0.0538895430568909	0.0487052972098446	0.0259665051932871	0.0212066763667982	0.0255292057240215	0.0342869332349628	0.02006144078405	0.0512828862214226	0.0197731596759833	0.035908745269702	0.020436725449747	0.0238988176509435	0.0538746695106412	0.0112445995492304	0.0327979204914764	0.0169952389022564	0.0434754216026835	0.0306661061922233	0.0387159845001351	0.0224934125224572	0.0258658265350746	0.0527939767225214	0.0287252162337597	0.0493753790034274	0.0210435686313831	0.0222268815885064	0.0242720631566298	0.0223556056229291	0.0284965251548839	0.0436300102195145	0.0467925714585871	0.0222549292927979	0.024507737694717	0.0120396009132372	0.0231797106270395	0.0258246528662364	0.0262892396619688	0.0280779534167451	0.0459520570407401	0.0332770049735714	0.0644970439753264	0.0355195815943967	0.0244951170006507	0.0171290105620341	0.0308333949503388	0.0261150324813266	0.0336451146344414	0.0277030628030089	0.0228966567612458	0.0156390647036304	0.0359809859903629	0.0216485045303409	0.0201270294148845	0.0521054059630739	0.0533034346500446	0.0286206443593477	0.0275886034330856	0.0198599253434183	0.0155951148126749	0.0262925229219166	0.0194533668290366
"SAMPLE-10"	0.101316610665083	0.0383949120644091	0.0203991959747036	0.00856743830738593	0.00928204515348498	0.0236936286767966	0.0104569404093073	0.00862823707952926	0.0198142984278759	0.0287635784738662	0.0114263543934637	0.0181135659360038	0.026806782425247	0.0496746705946638	0.0196411434122561	0.0188717937298109	0.0796709634326827	0.0301411785163646	0.0215682956983306	0.0403306199741347	0.012564916832115	0.0230491320985705	0.0249099946319545	0.011059086405292	0.0308354864600694	0.0066462717318513	0.0485040039939258	0.0150496300312662	0.0219928425238644	0.00673855522464434	0.0216792708548431	0.0209330204824993	0.0136575569114431	0.0190565743593211	0.0177605890466684	0.0170776848024388	0.0136980492103229	0.0151052959364185	0.0166539308080501	0.0200677447441309	0.0109286204478323	0.024317820052695	0.0124013441352364	0.0447158645506847	0.0189580482002141	0.0162772366609788	0.020630095849661	0.0237407793765992	0.124147149589026	0.0143099415175318	0.0563415945798308	0.0262417303985826	0.00815527975197361	0.0210246109023035	0.0306890993991847	0.0224900403210193	0.0104071182290135	0.029075856078107	0.0178158354400129	0.0436223797423647	0.039138008351134	0.0110368068799871	0.0179712081383195	0.0266103489916431	0.0234612566641841	0.0209055633940111	0.0160509415210267	0.0176391715362461	0.0118107419532951	0.0616951260449083	0.0207496150166779	0.0131390528036821	0.0360212412737883	0.0125961317229394	0.00923848971521909	0.0224574243396503	0.0142212795145637	0.0281647522006264	0.0105299166959792	0.0170218727151933
