"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR13357893"	0.81601991135846	0.244738839110946	0.709580307554226	0.721573446823041	0.698144801105169	0.448755584438787	0.274064500066515	0.29293826619313	0.585662730174318	0.702702755652548	0.262783772148057	0.374688486383603	0.453100763170184	0.410605531181644	0.334158706591507	0.272744591824845	0.29636306088442	0.216677049517322	0.387265176782169	0.255005330066364	0.411074215961207	0.223932021253907	0.35886266031279	0.186657945728689	0.509047394349647	0.177703031891724	0.246041744426782	0.219617292189063	0.283586003855106	0.344352278109683	0.172550511233351	0.442807104060486	0.129609412868035	0.522525185939563	0.381073995489883	0.56616732703691	0.71554235391422	0.540879630530496	0.415558654645577	0.20746893616625	0.235347217405176	0.685873898837027	0.305019106638087	0.360269374244122	0.315481566045829	0.281325898695261	0.351978755515012	0.582000342010083	0.13720737898134	0.25038428101445	0.301203821733874	0.394682997369411	0.278593854378577	0.241999002580731	0.183037306195939	0.586690583118241	0.374805077053621	0.313415210372069	0.696088920029669	0.637505849921175	0.258823728514633	0.264434929860133	0.297308314826702	0.370128936608204	0.285120680690753	0.235020285667244	0.350820711066936	0.58600147761805	0.258196749798471	0.437249946097351	0.201894892638942	0.453998952624809	0.142721570756547	0.399285908854226	0.0881963865558862	0.250586506474678	0.363466579463533	0.125496092887749	0.0439687996396525	0.192099126357146
"SRR13358121"	0.998595568217646	0.994490121189508	0.999155643771468	0.999689360824687	0.998948922102795	0.996387294227496	0.998617322890892	0.997213031841026	0.999611836524657	0.998773209090762	0.996693836614653	0.994010846469065	0.995490153822575	0.998950120962877	0.998600041734959	0.996729821247112	0.99560786906113	0.993274877737208	0.996435925113608	0.989149066216668	0.99718654629371	0.997436168545254	0.997801602420543	0.992670422200937	0.998247644690397	0.998869725241083	0.987365140929352	0.99909809367293	0.997580171358886	0.999272704948103	0.992486766768527	0.998822689550748	0.997979282730032	0.999009032842138	0.998508984024821	0.998978091583362	0.999451703291319	0.997559626245962	0.998894102969177	0.994225081157368	0.994160673111789	0.998206609365506	0.995234825513517	0.997395368149553	0.998543005122458	0.994417850155482	0.99714247240832	0.999318581904208	0.988113414854214	0.997715768997113	0.997722834039946	0.998129457933771	0.999374717856448	0.997984143656432	0.996993379453349	0.998694413413761	0.997832396389665	0.993733234168183	0.998755725516828	0.998425746815638	0.994737499753453	0.996904349110267	0.997476824699319	0.994760209530327	0.995951091177473	0.998164316772698	0.99880762263873	0.998699939257771	0.996801565624272	0.996450273436897	0.998249036231365	0.999620455710248	0.984434246006995	0.997421129612062	0.984870109758137	0.994544451083957	0.998099335166228	0.994647348356237	0.96150076732091	0.997409881478917
"SRR13358010"	0.938877073052573	0.774215407414389	0.864953807150877	0.583595575379189	0.782840068222094	0.63403539686978	0.725030278113219	0.676762919272755	0.85727823965613	0.885128519613438	0.79238961083012	0.815624777727267	0.844103675162032	0.892701445012983	0.834229554606776	0.649615207640611	0.631832246968294	0.774931735613731	0.67012624438853	0.818126626237197	0.721639588617278	0.742156602729204	0.784061042865322	0.750094703626517	0.797494523248872	0.777158607431336	0.710166296317872	0.829630956472007	0.839715475589821	0.736489111223811	0.709526494031508	0.851061052612437	0.478645189205774	0.622414114314392	0.753187392684838	0.843664172383589	0.835550132309229	0.836388784011385	0.884739869733489	0.753436504203961	0.73833146111684	0.866708838385877	0.638889126185336	0.71015191987538	0.752246820581185	0.710189407666656	0.771050222612317	0.867110345414203	0.471361280883071	0.722889647343231	0.574154639328864	0.707428344451652	0.841540460192094	0.775667688452368	0.683952754269681	0.866865549140808	0.804514141515401	0.559970192461568	0.771040716582132	0.791698851736681	0.802053320134219	0.73928509061616	0.820084055115601	0.778598377315799	0.759692047380943	0.783384266589701	0.784116185014283	0.800604812918143	0.782583902755552	0.847779186324878	0.702142774617789	0.581394945646751	0.677124655152282	0.789298461861649	0.616805493511005	0.703639834341121	0.703805447433055	0.656108076106458	0.571520622119189	0.661210310887045
"SRR13357899"	0.191270524824467	0.0509664528673845	0.201687009370669	0.470546415907683	0.230563637882322	0.170109604542106	0.0420308810791903	0.161987042889513	0.049272614893386	0.0627462318947609	0.0868882593154181	0.162108789856196	0.162316592835103	0.0394627357335021	0.0597372459578187	0.0410703313555917	0.145913204245192	0.0646767902221885	0.202782880359557	0.0752928833952341	0.247480898426443	0.0430882719180486	0.083368017796027	0.0546726451085248	0.12052023377814	0.0402265556005526	0.0524207106592067	0.0254139932505602	0.0614971043937352	0.124379249286443	0.0562630308883825	0.0878094344898407	0.0338706083607482	0.151109985435664	0.107488466257421	0.13070533019149	0.234595545024159	0.187019221235842	0.0910492946429293	0.0665254517143323	0.0935394952515557	0.193950842974886	0.151985627948662	0.113576790216584	0.0870671073630522	0.184187625622726	0.0882665865379413	0.142979090046872	0.0765405006066862	0.146362789173711	0.125910170348892	0.151137067846381	0.045230455222835	0.0460819804778815	0.0389999722523034	0.133000817986536	0.102216871249071	0.107142842527021	0.344459489428594	0.262530619525892	0.061643045117941	0.0924080074197781	0.0788767445960053	0.125365354521884	0.0949907774034831	0.0803881777655972	0.117718920405644	0.196425299515159	0.0612653967785066	0.132438975493901	0.039411071404125	0.18941471030114	0.0677222184744973	0.150233829118329	0.0598794158986208	0.120204464322036	0.13104664877222	0.0416028745408448	0.0436909149076646	0.0630798310559724
"SRR13357647"	0.982637955868667	0.248920599025412	0.972698200243889	0.982681593262177	0.988112061964435	0.957501013946355	0.907110643633775	0.904471582993313	0.964790591607991	0.967927527397607	0.901833035843519	0.88853860256172	0.952897699084584	0.979059624915294	0.563143250859629	0.459685911957006	0.906719539152731	0.810064195654088	0.942808183699982	0.857671130914201	0.898029940511757	0.893228189136221	0.920423636613328	0.882562068449707	0.935485789743279	0.922368925276884	0.731503806497157	0.938082442712473	0.839195560471968	0.93198984102377	0.925406794348088	0.952695687157805	0.79370017381321	0.971392626830687	0.933882755198469	0.966196957906191	0.978961242976145	0.940579207459071	0.951916463524438	0.808400582371667	0.836020352043895	0.952592710681579	0.928769629466397	0.896491720026498	0.872873237404776	0.906201447429802	0.927748637433758	0.962057621059269	0.622594388823645	0.888762891832933	0.877738729648506	0.914518961431282	0.77393961443687	0.885043720745162	0.81495489942331	0.954364504268478	0.940764484855322	0.730075386356986	0.9461836260911	0.932160052787886	0.956954811737384	0.930862025776249	0.893548896389211	0.876552238448627	0.905757536744382	0.887797280731985	0.790566299227088	0.957732035275439	0.846101906145982	0.980471354740477	0.864438960861209	0.954082777181599	0.512155288614944	0.931647643597348	0.617564863013924	0.85358838917721	0.925779180865204	0.5766401498897	0.802847106109838	0.877439213993612
"SRR13358145"	0.999742769912643	0.991091254151117	0.99951043947703	0.999634431822161	0.999716745901691	0.999439925399303	0.99844670595729	0.998551813950372	0.999697298557312	0.999902025206263	0.998926043557158	0.998229983740448	0.998806991441265	0.999732972874181	0.995763855656747	0.993904876761027	0.999100275904505	0.99779808289137	0.998995589929284	0.998233779794408	0.998340401690216	0.999152502213392	0.999023893684406	0.998716877716841	0.998936339251936	0.999383682875329	0.995461004663438	0.999693934104769	0.997626132504969	0.999429215533203	0.998557788684893	0.999416903084497	0.998826942084231	0.999369492702389	0.999312635238493	0.999417059581852	0.999813767720811	0.999145477788341	0.999477212026263	0.996263201746896	0.996077201078212	0.999523061946846	0.998671942916057	0.998845524318222	0.99856282600138	0.998880200188572	0.998909754403206	0.999286048712511	0.996140606279956	0.99790508202254	0.99858709445307	0.999068309715289	0.998688525590719	0.998718755667265	0.99831062669714	0.999074998362157	0.999404157291372	0.99820175835326	0.999389081188536	0.99904677081027	0.999605711775265	0.9992059147322	0.998323811813518	0.998823782143517	0.998569304732711	0.998211626898391	0.997366411745244	0.999100899515856	0.998301827557831	0.999297135372929	0.998489277738372	0.999552157540727	0.995426360891915	0.999065124004546	0.991832046905293	0.998298823025524	0.999166988384104	0.995778128547141	0.99814150435308	0.998671042864305
"SRR13357892"	0.989871948901598	0.94403291229573	0.978858713777736	0.990113855253962	0.981134996603501	0.939093054836768	0.942672697453763	0.929825460170577	0.980815846291167	0.972752104365439	0.929153576824979	0.915123924282522	0.958052565155741	0.91006723532858	0.952668475208681	0.90598471866039	0.927201987960309	0.865242790649748	0.947493936133307	0.865146372314902	0.945361333332207	0.91329453786879	0.945727855318625	0.848149843151738	0.959049816890269	0.934320349650409	0.851545287952578	0.947364139638468	0.932807202057686	0.966444195960721	0.844097580919595	0.968331027862717	0.89032922053888	0.975881520579128	0.95379338564415	0.974298744935023	0.989272086237924	0.95779818929065	0.966966072423181	0.875541811087103	0.889548692242998	0.969481416547058	0.911248793021434	0.936091835725273	0.94787461698344	0.923494116516352	0.930153594440556	0.978840588759865	0.778054041271284	0.929195708889778	0.931622759191275	0.950490968898527	0.961972449759391	0.925192865642132	0.893900416738814	0.970728686093275	0.942730552093206	0.9246708921371	0.977488942240717	0.971720866248564	0.930975331776441	0.922702789245954	0.931255153176356	0.912928874789231	0.921382366964969	0.929973474216653	0.956635795766535	0.972386253171073	0.904774233053001	0.957222882009275	0.9205942430278	0.979442090420379	0.779663018473531	0.945985757470373	0.755220158873309	0.902577910793124	0.947708431561129	0.835774059407278	0.535328101960957	0.906521919083962
"SRR13357761"	0.998648647840457	0.983815094692837	0.996717440718412	0.998350127695752	0.998968930428083	0.996257648057196	0.992405731319551	0.989569616169096	0.998411678946124	0.999040790944562	0.988043527336243	0.982505773944817	0.993893552922136	0.998113538519681	0.990961397898251	0.970546475523225	0.989386963921336	0.985325943807969	0.990832163353113	0.979710797513841	0.989566711658504	0.99296985103062	0.992811568347231	0.992027305852451	0.993163173650584	0.995923402308106	0.956332645633374	0.997241539973753	0.988658042879617	0.995305356660698	0.995743245739839	0.995702437733665	0.986502225806664	0.997090139119919	0.994411889594896	0.996958499687505	0.998792608477524	0.993823657010966	0.995185135826471	0.975861073745164	0.975586315442706	0.996187841799149	0.992673387764837	0.990112229482778	0.992926819518788	0.986063095454938	0.99489955838333	0.997268626397349	0.967726950607255	0.988935875459716	0.991391609931696	0.992177458197212	0.995949871298105	0.990625309840114	0.986602701930938	0.995686401264562	0.995849647235554	0.986733179184727	0.996716926074472	0.994970182758002	0.996022692753595	0.994608851050488	0.990555546681146	0.98722261719168	0.989175350951159	0.991290715090903	0.990681393871136	0.994936569282437	0.98875404588001	0.997431809958408	0.989874644549934	0.997537779821067	0.965434714624891	0.994504348346504	0.928430958833038	0.982629891102212	0.99278368447671	0.984304811024052	0.988299530587746	0.991197277253193
"SRR13357693"	0.969859250216206	0.698320592968473	0.958130317058541	0.96536371969238	0.977823721803407	0.870106341979712	0.94290383609355	0.934420792288538	0.977826329635902	0.966186119195419	0.899399701298514	0.875823784688523	0.954818591170163	0.949349791967261	0.921331094856671	0.806245009673702	0.609972964084198	0.668597525566358	0.905177052894468	0.803502488313722	0.937137687195896	0.848069151912038	0.887581598953409	0.804178771759173	0.937812822146211	0.947717934986748	0.805944454258207	0.935273211723258	0.919615928426885	0.953840719474449	0.757903772743383	0.968665357131071	0.666084814581252	0.931655351062255	0.885021787874964	0.970714975084636	0.978489123496096	0.944366905437307	0.945711922618825	0.743501375309229	0.870319764590249	0.938012676555187	0.905809992576401	0.758187305203796	0.901665241748085	0.799040570719108	0.875617038395251	0.965718567829537	0.389849933000747	0.925238116064855	0.694393074947591	0.865638428979141	0.950805213698696	0.880878151452421	0.766033945449042	0.945220817260459	0.940483658973406	0.792561276061547	0.956009224868118	0.949257903033474	0.863664606112858	0.892134119968009	0.863176628390564	0.8149727973428	0.85247874533581	0.905958160118871	0.938945016138311	0.926813699113378	0.844674250695147	0.886437569648823	0.867166382074715	0.953067951481085	0.67241210293209	0.957678602447345	0.768428194608969	0.779784680743636	0.894784162732477	0.646249410912232	0.500293498010758	0.830934110811601
"SRR13357682"	0.998609481021993	0.994467640482909	0.999070830923648	0.999713259239766	0.999207631415574	0.995003531243013	0.997028116274588	0.997351673022705	0.998890307821995	0.997748777747803	0.996787920424284	0.994613872335965	0.997528270513948	0.998376310232001	0.997716809046333	0.993292182984899	0.993284533294945	0.988579251394586	0.996458479624929	0.989782861928747	0.997677498985677	0.994605028944306	0.996465781481292	0.991673032123694	0.996763048095303	0.998015317487412	0.983260097064982	0.997812761249255	0.996695944897198	0.999128809937187	0.989209764129621	0.998508632402002	0.993032855517988	0.998664092282774	0.997568503234746	0.998819827309246	0.999422291131918	0.997917655107942	0.998690717436069	0.992684703131318	0.994589747766147	0.998015665576798	0.995170001346163	0.995007399346168	0.99756107036225	0.996276930238449	0.9957767005254	0.998901199560702	0.970960258250689	0.997359912924356	0.995227860411973	0.99718699846631	0.99879589927987	0.995304542837443	0.992657240096306	0.998289301916301	0.997487489270242	0.993912707727179	0.998907307905376	0.997972856167083	0.995653656412189	0.996666522732486	0.99656076686801	0.994191518133232	0.994824790533391	0.996983231142181	0.998205584407217	0.998617505671287	0.995401691926311	0.996760872223213	0.995053558270184	0.999286813248906	0.981728779104591	0.997473247938531	0.98687941430579	0.994353058169877	0.997485158557391	0.987978420573185	0.961254308965692	0.995271294857218
