"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR39238554"	0.984510032244389	0.9398593365025	0.935683227245795	0.880573433411137	0.933708805588703	0.802960246804385	0.917819848327946	0.042259379955012	0.972227793505514	0.985937970015337	0.792613167708909	0.801982206867122	0.923859857944895	0.877794558653478	0.891782614571699	0.762553906400221	0.680943070683893	0.8235289650223	0.340379608899471	0.845155745532346	0.800365179689878	0.850291728406167	0.0402474144633257	0.152824496061774	0.850725347318228	0.785856890945916	0.769316339893515	0.893387318175519	0.853334544621547	0.777263674422804	0.675689280431737	0.89671080313568	0.76066749019754	0.851448367313035	0.802647071230521	0.917917980927345	0.963787208189467	0.906855878768402	0.873384479098154	0.681708396612512	0.686251505720514	0.948044466624092	0.726372727511429	0.771838470556605	0.809085868340239	0.747704621680804	0.833970522404386	0.909801327772462	0.567198204647283	0.672807787021787	0.712984133647511	0.781412746452174	0.858592364306623	0.852449468762995	0.833567737147408	0.925977529049856	0.844058880132449	0.876304617294083	0.944227141465509	0.905856372327215	0.624671992040818	0.120062275776898	0.786956145072249	0.840056685240843	0.0864595898703299	0.769192665194416	0.84146740861949	0.894113906287377	0.802117058691252	0.904889469728448	0.824611415126536	0.771613163943259	0.722404543336058	0.821357674962314	0.433132726697374	0.723922191911774	0.0437461778769532	0.615627999133184	0.307868661770436	0.755965419322567
"SRR39238457"	0.524279216777902	0.0146997104851815	0.178413532826918	0.490108570719108	0.531002265331414	0.307968205400479	0.203993179696753	0.321298910085521	0.137565618157243	0.446648586056863	0.0933739066205506	0.266154020765044	0.345002124800734	0.0227727343293351	0.0290749862042471	0.191572254366662	0.113172594997202	0.00832705123887022	0.380324770352017	0.228664719978715	0.035317451295802	0.0422594787068115	0.304556364906345	0.218031811694233	0.149643196040521	0.00464799014002009	0.248867844736378	0.0145717105037652	0.0332131700692773	0.283929170361683	0.016762006121673	0.108575284966182	0.00575123205133503	0.0560685976688585	0.0161295842521606	0.20631420733256	0.179186064063264	0.161203896876054	0.0159200651951601	0.00954106114393938	0.0321170581427053	0.152578893400603	0.18560600138265	0.0136983174755385	0.215059368721377	0.0392364164409784	0.0410065179022072	0.365106392631389	0.047576803602997	0.217323227870848	0.112212442024986	0.0169450670968501	0.21654675079595	0.0277359139812403	0.0194161320039694	0.092400497782517	0.0469141701216339	0.172635127010254	0.0758728457811969	0.0572763685874757	0.261989620496948	0.259821339267646	0.00806861398298634	0.256480372534702	0.232946406999213	0.14276163966699	0.185137285965715	0.0719774556969296	0.0116167940176888	0.273597934917828	0.0184742990664865	0.300228979868565	0.137693468082843	0.0702114243564735	0.0284485362921996	0.0214088590799172	0.286773039309501	0.0667213194965108	0.0383918712503069	0.00854572407376147
"SRR39238553"	0.304390817317005	0.0605752445053326	0.101594657489422	0.427092749288372	0.21128229712367	0.259727356779346	0.186269701115388	0.359636331449551	0.0491715672250079	0.1168435113724	0.1094445910625	0.355665645985846	0.231194776167489	0.0154783944425554	0.0552274480176656	0.351763955700068	0.281681150804589	0.0200826978259584	0.386386901189345	0.252387408021211	0.0503757297290543	0.0570877160175838	0.347975865582878	0.340314677984058	0.129125538941078	0.00863916231454175	0.252664020106248	0.0142753377521443	0.0454629419751434	0.341857267027263	0.0528738902542337	0.0479043733913861	0.0291037165782462	0.0530307197241935	0.0293226240314167	0.0883961733139699	0.0697094153270972	0.11857461594611	0.0216412792678166	0.0323325952288209	0.0650612054774094	0.110774334462904	0.212231007299645	0.0323194517181658	0.314477220015474	0.0967991711924787	0.0687579227004495	0.385519562308354	0.165474108592959	0.415095322469723	0.266317826159409	0.0295842823996028	0.332933714117162	0.0520638358132866	0.0410824823642497	0.0879551099428701	0.0505146042569032	0.148058274588663	0.076792712335719	0.0438150037264037	0.219717200839529	0.290070540248071	0.0208849153212998	0.30759017079854	0.322723555558433	0.354252368702246	0.341559986330174	0.0853175477785643	0.0214929302578538	0.295698748531817	0.0365395428297335	0.327387776045657	0.222101766550883	0.0496774582429828	0.101197993257254	0.0490463080109153	0.307366409928229	0.263427804939934	0.238884992155663	0.0214502954651164
"SRR39238456"	0.326914019423251	0.0193535134416696	0.0938606086251179	0.316398941840875	0.20637550131122	0.150331128169119	0.042586567452531	0.13773825232127	0.0324200196113886	0.142634711041171	0.0374529763867136	0.1910822362966	0.135771541554152	0.0113647973067623	0.0163834785054114	0.126077106539032	0.118694199087915	0.0095165002003651	0.171898884691053	0.11427705987369	0.0238718678909733	0.0176026199100751	0.155456757050819	0.111989458211971	0.0639417897325841	0.00192588642700377	0.108092435043364	0.00432963980598979	0.0152584162549404	0.125818413313032	0.0151468756710143	0.0247150644228688	0.00376705881160173	0.0296029188121449	0.012613973805238	0.0617010934708901	0.0573124938711424	0.0838245247405172	0.0103185875679747	0.00952570164475458	0.0235760284869674	0.109938202708965	0.0815437464163594	0.0141622032645383	0.117568153641674	0.0348216655545921	0.0305015705046776	0.227061982825021	0.0501109189945873	0.138191263309778	0.103222071949792	0.013965543442028	0.100200540142465	0.0144933711621181	0.010310628844286	0.0591576471259817	0.0232567812247888	0.0718371005901688	0.0613280451388537	0.0373159282496488	0.0942406985771988	0.112013909387994	0.00746960395021823	0.180480071623817	0.126411975449333	0.110177923240777	0.128844761835051	0.0524136807612422	0.00718556907752027	0.178972363972068	0.00839869165333066	0.133184272874035	0.0784209822836235	0.0250076595286236	0.0162892970311661	0.0176812484485102	0.139087075571387	0.0591797949481456	0.0382261667890187	0.00562634577958486
"SRR39238532"	0.97259873196617	0.529038940689585	0.84844520869949	0.97045749346459	0.915352819402241	0.841822891882509	0.663643058173563	0.817360107188891	0.649603367648646	0.894173320847035	0.594448625869397	0.820187819253096	0.908049615816224	0.655305014442099	0.495061345669131	0.734683805760192	0.838120312191767	0.153755021049776	0.887387316389653	0.823761184048378	0.426836682436279	0.415760304289496	0.865712511821479	0.744069400736792	0.638803642244235	0.0695659958826571	0.708348449623196	0.199424593313931	0.375186300913815	0.887588033933893	0.228191105372172	0.602409916135656	0.136160616717168	0.555543799714605	0.322011784120486	0.767631189247987	0.832994957270925	0.742901170846154	0.296192757618726	0.139089227280103	0.22678260165419	0.794709976739623	0.711308252641412	0.32495482687673	0.840201524223949	0.586467164141639	0.449773124141382	0.924612742815595	0.624270842949219	0.805660081755482	0.83388376534751	0.350122005002953	0.830945992245647	0.317983868648932	0.298139463458141	0.690068291790868	0.40850102559619	0.786818985926493	0.792510436557402	0.644270278096198	0.88905899397744	0.811023429385764	0.168090237287867	0.858883224998829	0.809221509870684	0.781993392117344	0.850323772963022	0.704196778215045	0.148441824526056	0.836009441936618	0.226171640010371	0.915800143365437	0.655352331497722	0.454466991120248	0.188596011625407	0.361904329266836	0.862189543864496	0.586836940219039	0.314561605241249	0.152263216854041
"SRR39238521"	0.748151745138692	0.0591322017917962	0.248550168886982	0.712094015907074	0.577371359568127	0.402846155040583	0.154824968464614	0.586608156307922	0.052290636785785	0.248224919988865	0.196111482495096	0.659843090513696	0.681542914770213	0.0404325821187356	0.0591223582761813	0.475991503190049	0.425132396022744	0.0083732055547121	0.589808549622436	0.65410545831118	0.0478500270031946	0.0552646441785873	0.582159872728043	0.58204350030732	0.123778409370316	0.00275616361493839	0.532002847961849	0.00986901686976752	0.0567720227534667	0.61372070615038	0.0470608194360424	0.0892706769997221	0.00320070690725223	0.0373136039045888	0.0183032446952083	0.223586023830996	0.132812994751083	0.260175033356513	0.0214089787655058	0.0172348095904831	0.0492451382180855	0.209978093357986	0.305262310870433	0.0184397597705648	0.5362199565885	0.15085147862392	0.072597311290824	0.667946240183551	0.192392590531588	0.560388003104563	0.382572181837926	0.019516125473424	0.557325920725889	0.0323581640204826	0.0241784370946996	0.148948590146191	0.053048782829487	0.220138847540644	0.112072913988731	0.0515687082966907	0.667548829129769	0.582866937234815	0.010865190890594	0.632399512960347	0.560204886142116	0.485637847331759	0.523208148146109	0.130476336245982	0.00921471978919251	0.615822924284713	0.0139152915384108	0.44339875761286	0.440614172075567	0.0618239556267784	0.0869362975764434	0.0492025367658472	0.546370984268755	0.32225147932462	0.319389861101404	0.00907162734359202
"SRR39238498"	0.368058101298721	0.0333837529890875	0.0571217880268773	0.375132129769767	0.156595691926699	0.236344875204181	0.110874413855681	0.307973256833905	0.0226664683714715	0.0713604457471204	0.0651466595398055	0.361201549624442	0.292399880309225	0.0193679811097024	0.0161166701008277	0.446496139173552	0.267702856280281	0.00401730580681948	0.34680186800038	0.281156134610422	0.0192403383497603	0.0328934031907357	0.346829378060928	0.303439006730043	0.0534961001687477	0.00111274067863341	0.350369782935391	0.00411540607071946	0.0143841272474139	0.261138870784454	0.0164979618816907	0.0185105502235443	0.00667133487881285	0.0162114503164421	0.00640729275229272	0.0463382502121783	0.023898451112853	0.0740937971346835	0.00351087558636609	0.0079129183936937	0.0161218393967976	0.0515887351792224	0.13346793582286	0.0091925697548935	0.287185197280193	0.0498189896015493	0.0235496579056054	0.306393852521396	0.220876055101057	0.268566428321324	0.260044641416957	0.00834355437014809	0.215933189050375	0.0221616812305744	0.0215752704493121	0.0341806187497434	0.0126129061727403	0.192827720429835	0.0317663936772663	0.0219583706827262	0.265055793865758	0.266726635483426	0.00313962242750774	0.344775789467052	0.314060826129779	0.253829606651631	0.317167397560385	0.0283617134225919	0.00519409362349125	0.210690568495294	0.0142823719026365	0.286821427368835	0.287712639095473	0.0229917473332274	0.0555688971077431	0.0216627640800169	0.342509996681748	0.222014475649887	0.15214108273483	0.00713058159193453
"SRR39238471"	0.327860878925197	0.0100434490288483	0.0520200414652985	0.283507528134696	0.23515377233681	0.194881486605108	0.0254685769439852	0.168580481636273	0.00583485268874903	0.0332464130688593	0.0367288086035767	0.24813006357258	0.227735718454615	0.0134846138660399	0.0084437809212227	0.168289908908434	0.168498869549467	0.00154741212016513	0.255352947355592	0.265598246308698	0.00540795104871357	0.0115869681905935	0.210194476559224	0.232003040560352	0.0233436892362836	0.000256430448979056	0.259031103420778	0.00134443312354271	0.00714955503845518	0.145488761352614	0.0133817832214069	0.0123705536960171	0.000537512819336906	0.00773063834613636	0.00271270843729932	0.0404470587456964	0.0173812670492748	0.0438191324779134	0.00210310072962886	0.0032066341502565	0.00755230543764229	0.029426863212392	0.0813323522034786	0.00385566391201163	0.159535856746562	0.0260768319492026	0.0121484910096998	0.237252582024845	0.082474293463818	0.168858909825674	0.142003162957979	0.0031135008582237	0.159272265935265	0.00512125232319174	0.00452807736694288	0.0218350185958673	0.00642316474528376	0.0670102051327543	0.0125691706799648	0.00802717597665574	0.317919012221919	0.23979589298231	0.00129119365037198	0.239722456607731	0.222065524480902	0.153916190824922	0.121218253942474	0.0199888110250141	0.00123417790027854	0.241741679995425	0.0023131589036544	0.110370427498751	0.156704138894725	0.0105118572459295	0.0169482394481177	0.0084907294685632	0.201488971169966	0.115723579413699	0.134312316938605	0.0014963979153889
"SRR39238492"	0.749491984085683	0.80660708300028	0.767095932867507	0.855332427262526	0.793175873693377	0.607971341581883	0.585626776386176	0.746506446520735	0.649356614116716	0.748121346298434	0.756125363208727	0.716242369627149	0.792123152893906	0.695003365096957	0.663774758354131	0.726333434655205	0.604156454430586	0.7507501299725	0.756641461558657	0.640856895999695	0.761712252872099	0.553872776319599	0.714721558427871	0.66501143736099	0.656456711479619	0.659618754747454	0.651428844456151	0.570594639033498	0.70145251939104	0.762898027676413	0.606978167698484	0.732958519556362	0.407102511538137	0.747786681569208	0.684405960411825	0.747870327892714	0.82523596388388	0.787992352049372	0.735912443359175	0.74224097825149	0.770339949135981	0.781653998612862	0.707581548689532	0.627736534221263	0.683541680805178	0.790516815881177	0.682839718392459	0.747829944637077	0.464310527468344	0.786524037853134	0.638493281153325	0.687553811396857	0.699396086896241	0.613358483965897	0.508564075548612	0.75254207553264	0.725642738591627	0.756947538666513	0.796294549853799	0.708999209854632	0.694354210098494	0.730190760484491	0.777430665837546	0.700990212045873	0.702749891522114	0.734842478787465	0.720662119341872	0.759856117914171	0.813984340420288	0.601956979355997	0.585004216810424	0.732655249320901	0.556333162004942	0.744737461149425	0.780204638283007	0.70491772301193	0.716089210132079	0.539584400248247	0.54359998673106	0.629245800908715
"SRR39238481"	0.890971247517318	0.185006283474182	0.343262255739597	0.399212517722092	0.441854788936609	0.273576442999941	0.122673533741436	0.198875228005035	0.195126006697414	0.563913403807615	0.166063332954321	0.336034502674502	0.527557134475203	0.268387018379102	0.121864753806618	0.34094313686963	0.32024259113889	0.0553697451032483	0.389609189555727	0.434866725152588	0.0548219000500531	0.0815304362731573	0.440248265738275	0.261559222587431	0.191453815783831	0.0087298752584427	0.394272439657056	0.0371848637052162	0.0919233395526049	0.235288647366022	0.0529034062467143	0.157009493555564	0.00911704309170757	0.104500666452129	0.0471949517791107	0.262099285715533	0.278526643089078	0.248706237267679	0.0669958504773453	0.0446630782861741	0.0524704570361288	0.318175106211108	0.149997251227777	0.0567763823665059	0.2937940698066	0.105793993072135	0.100967216319272	0.529720622086197	0.161335472669368	0.174635318292108	0.259467299188855	0.049218743005152	0.27299746959663	0.063638150284102	0.0492647863308268	0.241244958500509	0.0695660403148551	0.275236986949948	0.187259086619862	0.171919122735639	0.464375360655485	0.300713219851349	0.0423721807076573	0.389923368168504	0.347813373726602	0.198897117581331	0.280482645109844	0.168549389442497	0.0487043764524216	0.569175122298573	0.0388450085752933	0.255835994958127	0.207681956660217	0.10902725911825	0.0495552070422896	0.0630265990379567	0.330175783922526	0.147136725305415	0.0522346292159534	0.0221692663580236
