"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR11292125"	0.373795798523488	0.403496377939934	0.578196714747142	0.565099887693416	0.501259249020814	0.499745489235283	0.524379412093167	0.518790641990742	0.459280559909429	0.410155282279311	0.476279694115322	0.510162957517142	0.470021375082395	0.497461788106134	0.486242064560338	0.475155677218326	0.645495224353153	0.563834867766714	0.450862942495081	0.590635634999981	0.505898498381307	0.563624653440287	0.510433982326739	0.519291678271952	0.515858751634238	0.481971906721134	0.544113877986219	0.524924983134594	0.588487732539258	0.526545194573785	0.534441287792068	0.572539423965721	0.522485978846595	0.523508847623555	0.524448655219838	0.556347021443759	0.487013472947798	0.518561270550841	0.50905764924421	0.607522847251163	0.570008581981655	0.513013148497089	0.460146854198612	0.633194484800249	0.571509653252706	0.547976001527979	0.527448403829407	0.504338604252462	0.690786712922626	0.598029843710831	0.688162497506861	0.58799787178569	0.476950518127566	0.494828372013502	0.616536623136109	0.51804639659983	0.480168962231088	0.483115697763703	0.542171095505792	0.510627193041031	0.506411363326192	0.50899155975862	0.56380113954478	0.577726292569598	0.518523937812608	0.575588677225371	0.493541787192446	0.573925287830443	0.499418531258651	0.590943170438725	0.505159500119759	0.538809388415537	0.604136546585097	0.42833201133503	0.487897649441432	0.577292531569528	0.508110516596101	0.564302276957447	0.487360899454195	0.552430589016757
"SRR11292126"	0.137748163371027	0.167232942255884	0.157068613933375	0.486868416808004	0.391697835175896	0.307792649715228	0.324362920317675	0.581041367061305	0.370338232809957	0.448142739480871	0.39070826334641	0.214957140606799	0.398922172369406	0.296743985907796	0.220363322202461	0.277368766660129	0.242259796698398	0.2120194633998	0.634988924086971	0.247282430038988	0.440114655453271	0.255071185918246	0.338794541402369	0.207780229026499	0.341903275205855	0.451067629368063	0.361401466525161	0.313207950203326	0.301495165386902	0.466379460767667	0.177305812616959	0.492856934450174	0.198212469807085	0.577646126962386	0.221012864560864	0.349668060513075	0.306860339595758	0.290362714638804	0.216296743830804	0.245563846654512	0.462737480403007	0.193380902880341	0.464528454406349	0.190357181517964	0.296812315748318	0.329533860118205	0.216815135074516	0.215508777152841	0.314214274884726	0.512037365738771	0.286496476633331	0.301074026746446	0.225655250893726	0.255958904909974	0.227728524324878	0.153461572018638	0.342620487746461	0.686761294785738	0.283966225079096	0.326250830920855	0.289975382559797	0.365922153936526	0.235897381113117	0.214518048218823	0.32664176501722	0.291055809283933	0.283492962822661	0.161035728584855	0.362945563795951	0.141247702895751	0.345883249712364	0.616751004758678	0.323324160267791	0.503510788119455	0.590775624723888	0.310028629692586	0.37935834713552	0.200036606613972	0.250837533161824	0.355107259534443
"SRR11292127"	0.110701319699052	0.0518788948467023	0.0504190199438665	0.0222466544062266	0.0422713636696793	0.0369302864033631	0.0201812630621093	0.0314643234653403	0.0193303403071355	0.0339777431281132	0.0361159028611876	0.0631936074209839	0.100130110925696	0.0461556222796074	0.0294901475632136	0.0320797206258783	0.0686996178393541	0.0564467572571103	0.0358748502693099	0.0975245137314052	0.0487934188319187	0.0328572988170443	0.0381828564009671	0.03820831142251	0.0418444749430341	0.0167805357787143	0.090686920105332	0.0218828156334782	0.0539099956987928	0.0210558911114673	0.0516010088624405	0.0474830065171351	0.00833408773412766	0.0325432295048616	0.033694001750788	0.0469808892679202	0.0371130231004406	0.0580297650634444	0.0426403778756701	0.0684855591517543	0.0616312268458056	0.0604498521947999	0.0454139511713442	0.0514122392381192	0.0354924868065552	0.0574893755382391	0.0433768683435755	0.0454598963790398	0.0920485990393741	0.0461892209669113	0.0557034447886211	0.043252352426769	0.0181977988248863	0.035762890957149	0.0335769504033665	0.057751375845521	0.0326090589217343	0.0544037622716508	0.0511077428855121	0.0758251978217601	0.0658063578541145	0.035184458435836	0.0467787757239137	0.067336078017071	0.0468988328209325	0.0471953374786944	0.0371470066308311	0.0467683298306448	0.0371711125400372	0.0920043552587251	0.0265061876969004	0.0170224634253266	0.0772052488638963	0.0426055279838552	0.0428178140721718	0.0553377080682562	0.0289852013791425	0.0368795702905643	0.0441641188443108	0.0288216335935704
"SRR11292131"	0.613810624029796	0.767324037463394	0.631175391500086	0.625031125653372	0.688375134373928	0.68500357530565	0.714671313211766	0.569716280827656	0.626064473429116	0.739004977346521	0.617662265839648	0.564402698933664	0.636841122949666	0.455647708304165	0.608102009625374	0.714956714698598	0.698775683464857	0.755389872930274	0.585829115486941	0.656531732213462	0.541383263118247	0.692524774732986	0.65801282495206	0.735878611044742	0.603230519152077	0.605901050034506	0.709088817296219	0.674134989784304	0.658643267164077	0.592817674230661	0.73962276053178	0.670614815251912	0.66411956301479	0.619208891933358	0.629544815620438	0.659573837385059	0.604971057455935	0.63069104167214	0.647132422765822	0.706361808877933	0.610852953362886	0.649161393718897	0.639432806373142	0.688603837461603	0.644282544404332	0.643295037301883	0.66714778319443	0.623604063307901	0.714330879701033	0.668040668797687	0.723565685999555	0.630418354541896	0.653347337442966	0.642734415011462	0.697076622285323	0.643658097718788	0.6224670378798	0.72313692639289	0.574703118637556	0.582835020377188	0.733755862091492	0.68257686950741	0.696385116364929	0.658212495451195	0.64863380507581	0.695700919798588	0.567726621718232	0.654543956022617	0.740008586241541	0.726055298304512	0.65402607704346	0.598012832020603	0.683597581755547	0.604653955826536	0.657737681493114	0.639866593721474	0.609454582320775	0.689790508483607	0.705314480719846	0.647210508828516
"SRR11292132"	0.025576046896723	0.00440768967985674	0.00914278516522303	0.00414148937546428	0.014677710046458	0.0146239448402448	0.021707959013868	0.012222648992915	0.0457960100539381	0.0472397404599935	0.00742043173752537	0.00925882881392238	0.0128142946511692	0.0255445371987058	0.00947210212252697	0.013329497059074	0.00599655129973845	0.00533739607107322	0.0168357767889779	0.0111607803510352	0.00796416036928698	0.012557165937605	0.0133372982186564	0.00561645396030233	0.0328028019744146	0.0130265567152289	0.0344928728345196	0.0161859382027003	0.014270290429073	0.00653581985770098	0.00830117668486843	0.0282382996620131	0.00435729916375622	0.0160180518440319	0.00751886851841457	0.0191213470782783	0.0104211687364784	0.0096837105673826	0.00878798914771779	0.00561892226128843	0.011623230242279	0.0108184727018645	0.0142723488557834	0.00768830132664859	0.00916567938656311	0.00320552018196112	0.010392323240394	0.0138102662961159	0.00776893272134672	0.0143017558621075	0.00575810135779224	0.00786479296706478	0.00884499217196427	0.0166193809115375	0.00953362902897028	0.0109892345084335	0.0124839142775223	0.0131024476157759	0.00574204342347517	0.0127696870796938	0.00850812978961478	0.00696388525933446	0.00629964481477951	0.00725405123182096	0.0109823133445049	0.0136935324780025	0.00802834543956752	0.00585195727983079	0.00604835391694399	0.0141739722028193	0.0180426913155275	0.00868963359495894	0.0103394813768638	0.0140653303874448	0.00848846350243232	0.00573149100794157	0.00755582852809305	0.00743501799432277	0.00419933431387164	0.00867713441135077
"SRR11292136"	0.042330277561338	0.0176833664588892	0.00920772667266795	0.00460470565007325	0.00897694282815523	0.0176962135150668	0.0486120679674341	0.0136039800520325	0.0312636465436659	0.0393013106832273	0.00973983721931499	0.0133329819193822	0.0138669133365405	0.0207356011589902	0.0118958326868537	0.0175384133548253	0.0120419422168482	0.0144497246313936	0.0212214064668183	0.00955569886663762	0.0127001321334931	0.0146424653033996	0.0189729632859367	0.0127598938048757	0.0345942908810298	0.0147886809393413	0.0200766510547738	0.0126974461532372	0.0140207548722743	0.00728070197718573	0.0139778651406189	0.0148149782524142	0.0269396536757801	0.0180937943345073	0.0116743694373873	0.0107666411501753	0.00860627856519818	0.0109171031270742	0.0105285430877696	0.0131783450723869	0.0200865685680589	0.0150831251248754	0.0200679818309125	0.0122835891315285	0.012186321332142	0.00646907368290538	0.0155124187831969	0.0194270642817341	0.0128413420904078	0.0159091561232562	0.00917929135469084	0.0103725823770971	0.0113921536753099	0.0272743430395907	0.0160956358310113	0.0153765498731154	0.0149706027302179	0.0192464876885182	0.00972862559044052	0.0181811135247404	0.00739131280388795	0.00841887937355755	0.0137304837568063	0.00928291656623951	0.0156296166115667	0.0145789466545203	0.0155956102398787	0.00864915973422244	0.0156040935940191	0.0244355399125304	0.0309949417334224	0.0117326384292625	0.012131417834219	0.0165815935909193	0.0155084670503069	0.008719665519224	0.00900790304737805	0.0150927498936803	0.0106892721834506	0.012401768867499
"SRR11292137"	0.426490312794937	0.250208750576874	0.268647605051878	0.225711856757666	0.30978112291154	0.344762441983116	0.556726559990471	0.30920320283011	0.459982568027694	0.420368900332857	0.259783853972459	0.219427989963676	0.43513716284216	0.261811866279714	0.263534873003325	0.276063835736999	0.366370448179476	0.224242656728783	0.328001654472791	0.351516035690895	0.306079995857084	0.421753585075177	0.324134570567554	0.263011002212528	0.395197046766292	0.340660737864355	0.47026761416756	0.42482014000577	0.379435201874002	0.275673595021272	0.255512576915921	0.501079439814803	0.505987130075811	0.408816720300381	0.256718552998144	0.379133365725704	0.303649673987834	0.257493608690543	0.228175875722839	0.26150290731365	0.308858636144549	0.246656247236422	0.273307549915968	0.350940495068505	0.341695413335947	0.229205970013025	0.268138455717278	0.343325599208192	0.538691904733155	0.348625630289481	0.409859742210743	0.32819336198789	0.259075639010649	0.334851184574252	0.49877414965326	0.2638651670958	0.26978009666537	0.426313844789315	0.272456268581356	0.459163484403628	0.38240477875815	0.256195725939029	0.242101818986654	0.263757305171503	0.301446155425668	0.331917416402948	0.331099981131382	0.246707575637456	0.199153841534708	0.288939126485753	0.39601644743713	0.41659321710017	0.373874950569305	0.331774037041614	0.267915585089302	0.279481293373443	0.257869675162976	0.297782748219511	0.190407347866988	0.327314502236758
"SRR11292138"	0.0175249710902519	0.00267030470414032	0.00511183252829746	0.00271804057321186	0.0106981150523686	0.0097925461276174	0.0179416761336583	0.010443610543082	0.0345966267469311	0.0348348004654454	0.005251609706191	0.00639163969559186	0.0092481097370348	0.0159277029943837	0.00622078516494945	0.00861172433178147	0.00289611199671308	0.0029793940890528	0.0140230043398958	0.00605971743785469	0.00631389597603695	0.00742411923442086	0.00889972062338847	0.00373186133064327	0.0251014410813529	0.0109776635796843	0.0208107690128792	0.0105085602052868	0.00912089435230707	0.00474228939772562	0.00520983022120732	0.0193434403301832	0.00284773267531679	0.011908133456855	0.00464744264883773	0.0124817581966857	0.00699174887319864	0.00656404757425081	0.00566830645907858	0.00336627830901157	0.00944654037329025	0.0067616407595389	0.0118401954484873	0.00382094787299167	0.00578345786667474	0.00195225812898213	0.00672594496337427	0.00973879206123049	0.00325875354824246	0.011566101485224	0.00260411959004415	0.00455764835471252	0.00652186981534422	0.0115833498695911	0.00517527045711397	0.00687873975891392	0.00973837271261899	0.00897256688148773	0.00382531546433952	0.00831405665049802	0.00472001615759473	0.0047073479581567	0.00396756220604505	0.00397385726444092	0.00732193105557763	0.00964495250441533	0.00602142568960435	0.00333438320841134	0.00415766783509755	0.00955093379610657	0.0128789890939	0.00637020078940937	0.00599067404522558	0.0119136144536857	0.00713842866611373	0.00336619378993186	0.00496819639419046	0.00435070219351888	0.00304927105235101	0.00565697757364286
"SRR11292140"	0.0624238302854364	0.0593702232703814	0.045851676815757	0.0286738429808876	0.0379711955024521	0.0430693379609169	0.0394588574204884	0.0311209747777782	0.0213085358735036	0.05655406692023	0.0431480494819756	0.0503919291593918	0.0436515168221382	0.0152593713469503	0.0299379663666704	0.0661692025283252	0.0440588111853433	0.0719808461419504	0.0583100896800843	0.0551472562837377	0.0319445741409445	0.0254445278328696	0.0447545482990884	0.0558973094371401	0.0407029545408927	0.0140392374891174	0.073088268058976	0.0135600421573979	0.0351898563079396	0.0182251644024232	0.0347256799299845	0.0296170897819598	0.0220355600457401	0.0306615891506926	0.027463467231262	0.0324165726246591	0.028862569788241	0.0520629943065692	0.0357128863533494	0.0672187729826334	0.0488302149250932	0.0589240098484866	0.0390923586086845	0.04015664536022	0.0246233342143455	0.0502830493742429	0.0370224749278011	0.0267873799734742	0.0301261138635355	0.028412631398511	0.0308182587280419	0.0302809039716941	0.0148138667703408	0.0255744267779379	0.0280915284030805	0.0426070795678298	0.0311903789073771	0.0605389908040542	0.0373063148852378	0.0304742832547347	0.0321193690050102	0.0371598968684914	0.0560494544748554	0.04991985829333	0.0462895118746036	0.021735177561664	0.0188848693953073	0.0488791082939207	0.0937305380537677	0.0807483424029102	0.0247386129667088	0.0155199947891393	0.0408948927254222	0.0375976217374283	0.0800207514112184	0.0431815463058131	0.0353707285822386	0.0252245744341885	0.0293255759461035	0.0245212235134808
"SRR11292141"	0.553163647438965	0.611288920926574	0.640434839655451	0.695079983599013	0.56357603810651	0.562124196579943	0.532270841378506	0.640577400217329	0.607175511838322	0.536192527607159	0.599506349460717	0.611772340589476	0.629619772840161	0.635926486662361	0.624586847882791	0.720417763608339	0.750099150285072	0.731395016962734	0.567443792780247	0.681493355127361	0.673583718915606	0.666899565265144	0.642447786419573	0.579480103607602	0.645763809923811	0.65040824976875	0.733097528871608	0.678897268173102	0.707943450533192	0.693354366964106	0.656308614387505	0.691600199254124	0.577393944852505	0.623241578582359	0.657339662672432	0.666783361643018	0.639802963311098	0.633884939444123	0.674230816159637	0.708933213671065	0.65415359086547	0.631210354394209	0.574140870553487	0.730850156022557	0.716568640414842	0.657716202949309	0.650611284926027	0.706526484580228	0.836174925345838	0.766393493915611	0.813705091497119	0.721303864866801	0.658220512012698	0.643898343230146	0.705437348415279	0.649619651407355	0.604979319124196	0.577598240867082	0.666131246508139	0.734419070042978	0.61715427875274	0.63222744727808	0.694373105218241	0.678522020516098	0.639825097637224	0.776588792736334	0.726141878397307	0.651543172783349	0.623488047505908	0.62704007738551	0.650261026550852	0.735875243373833	0.703965358845641	0.620153937026248	0.676345275784255	0.684433951513878	0.635838873984988	0.705666402283908	0.609809438695309	0.6949796840944
