"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR39238494"	0.962181651881629	0.0287248319295828	0.367681268228693	0.962471507173293	0.906681393794317	0.801788126482641	0.660012357934373	0.931265939897343	0.235389467597818	0.509177258802543	0.360887462368245	0.853195473513225	0.925456968967388	0.23326279743469	0.0640256867778927	0.836991423890032	0.68955012420882	0.00123212933847432	0.930970518338065	0.808028942508739	0.0580320815311002	0.123635588174226	0.911217427862506	0.815129926151956	0.353260409518595	0.00272062125667162	0.831939894120287	0.0200437846698436	0.0574449414639734	0.954049864344122	0.032842321833657	0.224345267092246	0.00558740901792265	0.125066101423853	0.0139634009586678	0.474781124983438	0.235208425208093	0.325921395101166	0.0112447337004846	0.00597108791171975	0.0613676992330793	0.187812232032958	0.650826526918092	0.00936445445438226	0.90890905593542	0.112533303248726	0.0704400177301579	0.967856293108797	0.445623616310602	0.929002466258205	0.724717961802674	0.0142938020915094	0.956156238009131	0.069424035619788	0.0380130040609781	0.182638453444273	0.0616970216378929	0.542666581528144	0.1040111937919	0.109623444513939	0.923889179230586	0.890926460523746	0.00252668374175187	0.800611533920941	0.873961296581672	0.912686466936586	0.94223521891687	0.107127354986364	0.00230542359076021	0.779366802384232	0.0334725694178186	0.961664104744449	0.685113235832718	0.143359685877847	0.0982232434860637	0.0293890442444393	0.895929057134738	0.680926039994928	0.487028670223852	0.00761925094533435
"SRR39238509"	0.962304771299805	0.0252879816798557	0.66122558025736	0.986007018539912	0.977717867619919	0.91066559439762	0.887612220543306	0.503847658291516	0.628918187261248	0.786309299856694	0.68250964268004	0.938996465714911	0.971002248024372	0.25920528038919	0.248912004173563	0.850183711907602	0.756487719880775	0.00478106663315051	0.858235032012341	0.92481320093975	0.268184793443506	0.40099879327954	0.172422761677438	0.437567455990417	0.64432583357637	0.0298879042250465	0.885529916884403	0.137844126861441	0.27093645270749	0.98818666051682	0.1312633497108	0.643584095093406	0.0252363434218931	0.389782982156185	0.0617797183441756	0.831484491853746	0.514485340100872	0.68144394481613	0.0649407319920844	0.0282975172052228	0.287375271057139	0.455038449708381	0.85879667306568	0.0368579597181467	0.968221658714015	0.280758038624518	0.243512296252365	0.987631773893474	0.662541725526507	0.979719572397996	0.860736967607411	0.0679440006529452	0.986755760839535	0.226729516682802	0.164564714995921	0.455001234544811	0.282219996970021	0.72484604313846	0.339349362314477	0.363137861302923	0.864251656954957	0.549430072165896	0.0139155457134581	0.915623339862283	0.371450352045922	0.972762492436065	0.980634800648351	0.328819531138266	0.0121974468494856	0.833161931024133	0.132883601356941	0.987647159519805	0.868903570153534	0.504556989085605	0.264193416026956	0.113935088893099	0.259979681060748	0.841598282771569	0.751335322968774	0.044790291335149
"SRR39238493"	0.992565993727734	0.205047954357531	0.805731334386063	0.972640811443664	0.954924231526764	0.949892444868402	0.813538505229108	0.137649456823343	0.521481279949075	0.937143791012982	0.832745011873655	0.987414647852254	0.960681424785975	0.264317079650085	0.269777585811479	0.974565282635622	0.952926541737206	0.0248418468283809	0.844208513517065	0.975567811557524	0.204542640742197	0.479070309048186	0.086449953387154	0.469685410476744	0.733827177670135	0.0126063685403526	0.962390492133966	0.113286737686062	0.225624086278667	0.984641792815912	0.161040504433868	0.445265035978278	0.0580004564430156	0.215793651921969	0.121671765289221	0.727201537650043	0.563128665765248	0.810173472192121	0.145386348912058	0.0779501663868696	0.318242317068505	0.809527246346095	0.828348918949879	0.0978124397487338	0.971725637846003	0.597982826515608	0.35929698181632	0.989125184986818	0.754517907815406	0.962935249406621	0.895639982076557	0.0955734606092327	0.989908333617857	0.318413127814404	0.199779547733918	0.624481287693439	0.354712372679747	0.826317253565262	0.452123009655481	0.286044623538528	0.922892514459069	0.366592789301301	0.0316921585510729	0.98247992805211	0.304248669837442	0.966854465681632	0.976976763389847	0.490769048324723	0.0371644442843021	0.962636791206501	0.127142470138467	0.962873278660299	0.947739778079657	0.387197435709948	0.420280416542478	0.242918053625194	0.114294228060896	0.930962210186357	0.910320633522712	0.0401991819629432
"SRR39238551"	0.125621610840402	0.00508557883627725	0.0288959427566004	0.090374884555573	0.121728013227411	0.0726249877158409	0.0292452558488143	0.0969890342563255	0.0136147808616554	0.0515307497191724	0.0213357818651653	0.105890147527256	0.102650621056288	0.00377132546842883	0.00713535569804098	0.0563769320624041	0.0482498927294017	0.00298027445413863	0.0946117992482823	0.0917436007325101	0.0110104685056384	0.0106260925774375	0.0758677172384752	0.068992138209124	0.0302831315939366	0.0012446424721905	0.103844265919525	0.00291215921791564	0.0101106859076244	0.0685648255257244	0.00858556012310412	0.0185487001199966	0.00129109530357502	0.0141524861825413	0.00428849079172676	0.0355042083260467	0.0218420718883993	0.0369732444359146	0.00460685392515248	0.00506996295689698	0.0193455547140972	0.0315821581549898	0.0538679393512293	0.00469627572483407	0.0618308420128176	0.0146968986018366	0.0125488730325206	0.0917316748139263	0.0299108063980475	0.0804950954973229	0.0414752629414851	0.00504375285515314	0.0477283890235779	0.00774423009370625	0.00568162231441074	0.0206488950988898	0.011171934758491	0.0447209281912063	0.0155801911874449	0.0133463731465906	0.074183779912518	0.0688432661217623	0.00264748314094296	0.0909496449323124	0.0720495190316273	0.0516067133986324	0.0556821579595452	0.0161424207587263	0.00252167455306033	0.107538339761158	0.00453998283831457	0.0524851711309193	0.0701904030076532	0.0146536122564021	0.0135689619857803	0.00859937246566756	0.0657968542594393	0.0329542075594911	0.0349356500157238	0.00282857512764217
"SRR39238476"	0.970376955362025	0.317531747289366	0.757686551552922	0.983304759740506	0.936610219054349	0.935972782542554	0.766683197505561	0.977359988885061	0.437345444669332	0.813739727411657	0.807986434446962	0.982065205425062	0.964097449091864	0.451164444553105	0.395651628402758	0.964800332437336	0.953105278907215	0.0265258559339366	0.972981748070407	0.974570414079345	0.352451007393376	0.526509810194353	0.97164711343666	0.964354786562951	0.628255097660219	0.0256868773839906	0.954681590439148	0.136169835202392	0.302868549616377	0.983926413587145	0.223329069837615	0.460617401657914	0.0688600500895622	0.281793374836352	0.145789020058089	0.716884389445321	0.575949436864439	0.802128964756269	0.120312786806948	0.0858574237649598	0.298774238474437	0.71514602568877	0.877573968177164	0.132397447577634	0.968623071214006	0.72504962295933	0.383633559066283	0.972810859843012	0.856306153303879	0.97001444269699	0.92863198340996	0.157224842808036	0.978087778403385	0.365842287700535	0.283050430426618	0.539487026320335	0.349023945947724	0.893952380684228	0.554097214632455	0.296103733837958	0.977797396869045	0.969098263599384	0.0378575420537789	0.978332823663217	0.966454668386288	0.967896594634326	0.972654546348074	0.49448367165775	0.0445631326744283	0.938537997163675	0.188840582370738	0.96800723989602	0.962421797776011	0.391368943513557	0.553146769588935	0.397929921275929	0.977221861270941	0.930731991243841	0.920242686576662	0.104168292204274
"SRR39238475"	0.74686171272542	0.192378181757692	0.374618695783703	0.767572774006606	0.597100239341346	0.524901113591923	0.444189887120839	0.66223073326587	0.196414454327695	0.418494469546544	0.308798623195725	0.664152660520576	0.619839940236128	0.1928469137404	0.140684819241338	0.675485393105837	0.516595728908244	0.0481905514178792	0.65950879906636	0.529377638918007	0.130984339705195	0.156116052608802	0.683433277489602	0.640467900201755	0.308723838262867	0.0233514139069619	0.524117141260103	0.0494064580942248	0.13136689911168	0.703911039716759	0.124164516557382	0.174443632015525	0.0470874280994353	0.149140576661128	0.081368606080023	0.312428760459296	0.242778244859726	0.348612143314209	0.0735496499012279	0.0729132806329953	0.163702801860404	0.336395981726029	0.456596553287765	0.0721339288049601	0.649771732085361	0.235577486189216	0.18546556763138	0.75962444068434	0.297568239848086	0.667750050601848	0.516513139607949	0.0734053598332196	0.708471534252657	0.148215861529901	0.096237640039174	0.291881658278404	0.149420585404189	0.363795433085734	0.223344962599446	0.138570440538323	0.630892171484216	0.621664498475286	0.0542739991232527	0.621025764302145	0.631548376054934	0.612146986183995	0.676046510707539	0.246400007782104	0.0560699332702592	0.599684440328873	0.094538168235196	0.665067958089401	0.442836094463683	0.152152930790683	0.199995006279693	0.113463191703448	0.623464066397583	0.500220486908298	0.406966019961069	0.0482746142879072
"SRR39238550"	0.644724684973607	0.0175265368498452	0.163315024773252	0.815797711062811	0.517308421071974	0.46178706302261	0.0871053184641869	0.643945855607213	0.0196168180062544	0.116092163696073	0.149409412968956	0.691776522694244	0.568500143077291	0.00980946423910554	0.0186876024348192	0.487806214541337	0.471745404040665	0.00307110229531007	0.65780285457546	0.485888092798853	0.0511127827222027	0.0295842101052031	0.521984171193931	0.488976062377958	0.102160802286327	0.00107261731255347	0.465495262579538	0.00340002557554935	0.0185416134740879	0.636377042718552	0.0199560478609383	0.0368900662423661	0.00297153461084178	0.027888936787936	0.0118244768451529	0.120255599920072	0.0806663074237085	0.202742322946937	0.00895330892213591	0.00868277931962065	0.0354985160160991	0.15311303928066	0.302158636134723	0.0115968083836588	0.48619866197983	0.138803927927962	0.037539357666597	0.660087172387553	0.211987190108985	0.60276987767373	0.382663296523324	0.0146188221000084	0.481336468072102	0.017688112919661	0.0120297807692814	0.0799888730379911	0.0320529229259461	0.19733330518598	0.10135292380039	0.0557960571750618	0.553157091902393	0.548336591797496	0.00382501157751783	0.610604210742191	0.523149184299138	0.478227145446077	0.578675782601944	0.0787479623649461	0.00373339231697243	0.437177752678207	0.00735705110735623	0.579023299176821	0.394964441934034	0.0545997334939398	0.0764463507554585	0.0345141792551554	0.581577410975156	0.268587650624639	0.318613777708949	0.00497818675417644
"SRR39238474"	0.956899066162605	0.18154632090998	0.664152303025703	0.92852809835583	0.869946840852206	0.797156024070672	0.325638586280054	0.82689781587646	0.231446103390113	0.704576440259102	0.541118710736259	0.896872604821797	0.887284258027574	0.205643384710376	0.167583511188	0.727011820987677	0.843432411867196	0.0241189603465081	0.885730725985205	0.894393864442159	0.142615523986785	0.220758756142071	0.864920297743123	0.778700287492197	0.421607174421913	0.00885098785684558	0.831116208439152	0.054635612604618	0.153630368145992	0.87718705039995	0.093160782872979	0.344272209697532	0.0135167415391324	0.170240308706518	0.088738465971259	0.579310356943324	0.474683129606712	0.600433022458951	0.100050942405774	0.047268152641787	0.123843704390028	0.584324027457539	0.580436193566652	0.0936334044360456	0.81223917853583	0.465440749931556	0.196159293875297	0.887830939917765	0.522090487170439	0.781623557162242	0.735777889989621	0.096068240067565	0.831212183770114	0.121812498946081	0.0908111182918801	0.403377748288356	0.174491349953636	0.656618474477662	0.351833602464937	0.211722930128836	0.92990605932998	0.843109945352106	0.028593774654448	0.898706810434859	0.84470468530025	0.75584479066997	0.771249415122826	0.385044882717846	0.0224188017131835	0.849306948368355	0.0513997348811908	0.795555146731249	0.766092643560142	0.196036140251282	0.155366827507633	0.191569495195288	0.863567961869469	0.593833103166565	0.478592114289424	0.0318566409633795
"SRR39238473"	0.259453795475162	0.00945282775969684	0.0324369850314122	0.326299828072089	0.150219657221134	0.188667308986858	0.0694915504869817	0.330073221852301	0.0104991019463311	0.061105894622148	0.0448723838083095	0.270425966285009	0.283262307619226	0.0147263728733856	0.00840863286179125	0.161352043908496	0.224705665842247	0.00135120135157244	0.371039973384296	0.283602636041952	0.0103713182335408	0.0164654071873073	0.283846396025663	0.25955999189081	0.0363157003154129	0.000562998220593255	0.228222913771034	0.00193069743095142	0.0094741507678194	0.288064725357571	0.010209940980479	0.0168145560568212	0.00213228736223619	0.0113472484298068	0.00311707219599496	0.035758054794121	0.0152946861714439	0.0422115470417719	0.00192249949531286	0.00313195642387155	0.0125640735567785	0.0287377918013291	0.123918132497644	0.00410801745498922	0.244090427615212	0.0330325191575133	0.0137303301565879	0.275438589328483	0.200258199831519	0.330993329226931	0.211266979167583	0.00411194145079955	0.207972985777152	0.00885012689207027	0.00881908410590936	0.0180978128368554	0.0091737036329789	0.129634337450196	0.0164882667924737	0.0114117554617465	0.304457934547043	0.246163416327358	0.00136189799495737	0.265120096512032	0.266267484217155	0.240149003560691	0.245537870309453	0.0170188308894111	0.00131347772879178	0.156356409082381	0.00508213081922126	0.276548260407407	0.25352129014002	0.0131574777610809	0.0268723831497012	0.0116309654574115	0.240318516976029	0.170186010966261	0.178252167944784	0.00247070854567655
"SRR39238472"	0.276715155825577	0.0157036191858204	0.0499935205409382	0.335376232690423	0.197054365256614	0.162018860576622	0.0522486323346443	0.312244816955932	0.0246327575350639	0.0938195045774436	0.0626494349429937	0.244541222012312	0.29155609900594	0.0269566879959577	0.0189945312683875	0.118490481079547	0.168661297597906	0.00425729790103372	0.344301074633909	0.22543146580318	0.0286570063932584	0.0227160875029049	0.234598633234781	0.166415900061973	0.0585774863848413	0.00269736383086455	0.167796749775791	0.00568896719373404	0.0206858921936429	0.262474239774146	0.0181620375913006	0.0372595321358954	0.00267310785273215	0.0309013283300313	0.00872478099312526	0.0649015875103778	0.0395264277563832	0.0721740830648616	0.00667544796104062	0.00771170594937978	0.0299813291777823	0.0537087993308133	0.146676641980239	0.00890915310697451	0.207106883332024	0.0495632158675611	0.0260291972937002	0.271661816315735	0.122645315311227	0.3215898101779	0.162436958432994	0.011298244370472	0.184018935065498	0.0170476783641117	0.0118301719491874	0.0355552596330422	0.0228123703914918	0.143453320728984	0.0413265295934561	0.0311640024092169	0.234172583034439	0.212235287389623	0.00467560410501548	0.217883473123745	0.221548071576684	0.229876454721627	0.237378216380548	0.0278863355516812	0.00455704429268003	0.15373861023325	0.0105280616365744	0.267559326071594	0.182283604650628	0.033813933616449	0.0365822086044254	0.021355413680969	0.215007043435712	0.123596350346599	0.131907753842432	0.00680251544778657
