"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR31418698"	0.97284064639411	0.960152186356279	0.818990132620609	0.934231742423707	0.76767354673593	0.989902348280501	0.962803513620811	0.957542270181798	0.942058197270946	0.955947558229569	0.873293293558194	0.946373083748399	0.900097581131663	0.966152142835186	0.974175404102575	0.969380650528683	0.943983852563083	0.987748343238358	0.95050484425864	0.956640915150426	0.968243242474023	0.634394773322178	0.615726487327256	0.983926657210599	0.944718736917146	0.877151786331438	0.982645783494859	0.976233934150518	0.890370147224701	0.99755011824863	0.950858288643592	0.945634824203112	0.96373108253098	0.89769397575315	0.872976450246743	0.934021790769998	0.965890812101913	0.802506326423109	0.972187339230023	0.720528829203616	0.984089959894029	0.854197544243569	0.974224515068871	0.973958647877787	0.986588645061619	0.76871155049363	0.78680692110015	0.819913680300306	0.97268493671396	0.934049177480617	0.955085880745541	0.969687273452848	0.986876143726201	0.87129073372282	0.934961233798034	0.875854407498461	0.731038473204175	0.748583456419661	0.945417480235451	0.949651744255403	0.747293179418541	0.932497190503317	0.982992983658231	0.940878589822299	0.943610437599332	0.973545104745141	0.97590335002228	0.992456165271041	0.861553308553118	0.894194906268506	0.958923663063798	0.989683122182726	0.851845865768861	0.904934782672276	0.958446078825619	0.960873153510337	0.927218345083989	0.925948801632721	0.883772268259175	0.640718238046387
"SRR31418709"	0.912393957541925	0.945117636657356	0.71103871646744	0.778755772282993	0.77243567173881	0.980509138097296	0.954302568214331	0.9116635178089	0.860480380326754	0.926012899558033	0.791786167130934	0.875666479389438	0.844639951948468	0.960787521416787	0.9613425902813	0.943714060861769	0.900626723251231	0.976896565280333	0.907254127729135	0.898800263887881	0.948148616683519	0.260809804798085	0.198004782728333	0.964258274207231	0.869175083644872	0.785771164375652	0.954521529544684	0.963443535208948	0.781628201482977	0.995430240889525	0.905275419140383	0.932764338909189	0.956015189578119	0.822406873369056	0.762400382141457	0.875105637019711	0.924645155008556	0.70705060742299	0.954665433187735	0.585727008818199	0.972187736960767	0.796246824805992	0.960172656387689	0.955726885549811	0.984719211042304	0.593534730148589	0.666082528026877	0.577067600913536	0.953474797460147	0.875502912552501	0.924156688830258	0.935424669649247	0.974710368871451	0.812040221110057	0.82075462734071	0.81853367330442	0.516038577414832	0.712473208947849	0.921602368049712	0.905787541702458	0.682744472436939	0.903656266693811	0.956714119064889	0.920966429326722	0.818984689766092	0.95142130888924	0.959642367645816	0.982318272496087	0.752423191631495	0.725292082898847	0.900743156163475	0.983779952200645	0.724568457729157	0.855790861905069	0.925342785818474	0.908101576566127	0.893263281120282	0.877014944008201	0.844538530884451	0.598110836409097
"SRR31418710"	0.793719456651334	0.889853800085721	0.559515763011844	0.662847557939734	0.513402520770077	0.960477218375556	0.863099730405127	0.842542528187638	0.717848165545827	0.841619446227832	0.642730481520135	0.798499419655464	0.684422266011084	0.834234318603103	0.904822515033429	0.907963944525926	0.73857581370889	0.952484627226577	0.811134767660212	0.865472247591529	0.881511481151039	0.186657132062636	0.196151858924684	0.933561143704432	0.637355360410722	0.631018238807194	0.93184568178019	0.918476864787551	0.725291357386131	0.988848126149113	0.810734753032724	0.798898197896614	0.86568163240411	0.757837970388426	0.692588112234258	0.784571048526738	0.867720638540503	0.471674506044971	0.897819793365213	0.387703100164031	0.940149982760193	0.629097972834769	0.816069878834215	0.891461909311033	0.949379754145273	0.396525262235162	0.537100003526692	0.419148433213549	0.887964709161549	0.808156032488981	0.855804876021399	0.872636005060866	0.946611035347247	0.613744724228099	0.725399357435965	0.545377875141147	0.380318464735196	0.411659328998399	0.846441190102268	0.797783842353808	0.510421628136843	0.808639651951719	0.923838551289642	0.786041109518441	0.737412806410771	0.879228812537384	0.916710195345879	0.964618363716647	0.572963690061996	0.62623768814165	0.837977974614097	0.957363554496503	0.595165546443486	0.710646198336722	0.847669493909227	0.862508231136758	0.773104800831069	0.777001833325921	0.679220146103426	0.201059211794112
"SRR31418685"	0.94866961688061	0.952333216236178	0.757426978567316	0.848096410572046	0.787391393105354	0.985153301233118	0.954467140496463	0.930693906184651	0.886379748316835	0.935659265265574	0.802850132760601	0.930149537841071	0.876647257135577	0.957013018371696	0.967930194338977	0.945206409983139	0.92788665092871	0.981667319679313	0.909399765181669	0.946427112482562	0.954045933362699	0.279467475604088	0.14514295499722	0.974553639905293	0.918727903775996	0.830850155773797	0.960872630688865	0.96233764895011	0.882217701014539	0.996907018544049	0.902544287423342	0.930163015832706	0.951828282152753	0.87569159357657	0.771688297998103	0.912715367712249	0.961652228965003	0.729851481129981	0.965153627155586	0.537854138361048	0.976811236257447	0.771359566978639	0.964082082024342	0.957470461592068	0.981318469580667	0.533730078389499	0.719247620663576	0.578804571842461	0.962168564107351	0.892981089489128	0.925312769782381	0.944148585232221	0.982112202824295	0.796531646537725	0.877727856920893	0.824247552807528	0.487618406826587	0.66972727644066	0.925511350019353	0.92682406982673	0.772229740096546	0.925060986840122	0.978248565103597	0.910486101139782	0.878258893390846	0.964623354702009	0.957194696173681	0.991768851453048	0.719789629839437	0.786282594601561	0.942929138042334	0.985216227752946	0.787412221821467	0.880970946463871	0.939210216540555	0.942187816370096	0.911306512351235	0.895157397705838	0.868780319152202	0.627564928277002
"SRR31418686"	0.968645156394464	0.963501495592496	0.818055939924029	0.924420478499618	0.800844134188322	0.989226124665162	0.967381561442386	0.953791031030484	0.939005890631323	0.955235180866949	0.865280546075609	0.942870139943528	0.901253555753882	0.968038311052503	0.973291806953334	0.966585598037699	0.945581981335482	0.988035554356098	0.948010858845783	0.950176092130327	0.968306519182002	0.607896553844261	0.5046761245147	0.983141944226651	0.939952161565726	0.873425578508104	0.980240503034822	0.974937970382964	0.876813889082219	0.997673407855272	0.948342286867069	0.950242276396051	0.96754258818634	0.889134834501109	0.85777163870302	0.929964284363865	0.966071705139679	0.80224627829566	0.972828108091608	0.709208753967921	0.984513011406642	0.84944780019033	0.973349806918627	0.975599413479488	0.987982827665586	0.779061903804939	0.766245313032859	0.810731115875287	0.972097362876526	0.93325831349375	0.95257272226148	0.967079614829276	0.986662126530655	0.873178139792329	0.926412139005163	0.879669321437208	0.719396650065026	0.75148246255058	0.944054226674647	0.948033699796562	0.76290097413132	0.934657217878123	0.981323896053023	0.9437705665715	0.933691043560917	0.975400132691009	0.975415901230998	0.992462993231351	0.862078076185096	0.879086505448231	0.955937845568941	0.989770895454945	0.839426783985646	0.901979734586204	0.958304607475023	0.957342016831575	0.928907965421544	0.926154898626884	0.888572638943996	0.667616391763302
"SRR31418687"	0.986907949634837	0.968317426052944	0.876795916763156	0.965190811242845	0.818104407693872	0.994164823017285	0.978192955091259	0.974683873400932	0.963461001143508	0.970386360914509	0.906267271155107	0.975638147962684	0.942282528905243	0.980118323212861	0.985977212560837	0.974591786065527	0.974201832845436	0.991249989597614	0.958045634957894	0.980393932940194	0.978569876641354	0.699758246561187	0.499689676812997	0.990984908870152	0.971353167724311	0.926157102940503	0.986407406307997	0.982496393845604	0.950805668045174	0.998738689260925	0.959357148638176	0.967651356029755	0.971670978563391	0.934743159612716	0.88077270038289	0.959256412773822	0.986234849499294	0.864989894419295	0.983085458559558	0.737247296641556	0.989682696760591	0.871876595910788	0.982989955949408	0.981268729442772	0.989550852260522	0.760510395556154	0.853592160699418	0.841872278272174	0.984972743348692	0.950248283351662	0.96608793069253	0.980644456951601	0.99281470497075	0.891946701117879	0.963266610414851	0.908498595088684	0.725753847848243	0.785928760515639	0.958763833443806	0.971263885872594	0.842092151362093	0.955546225329105	0.992839400538055	0.951216467130033	0.970926597038988	0.986604652719608	0.977446688610532	0.997197801060155	0.878310542446044	0.929892086146997	0.980737677447411	0.993447844653254	0.906102378740599	0.945398157535723	0.974554666354312	0.979301257410183	0.952564244516396	0.951143769632692	0.924583857718426	0.700268098858009
"SRR31418682"	0.971004571266431	0.960465695314583	0.819104155199632	0.926491552044333	0.760640743544693	0.989274633501431	0.963333877241681	0.954575164181057	0.937430810719422	0.954463664457933	0.869284238851846	0.941085632751674	0.893081878358999	0.966953801457702	0.972678705763036	0.968687086385244	0.937601092807143	0.988046573941169	0.948825601638374	0.953698412551974	0.966588411285967	0.658380074586385	0.6344794383503	0.983238043417093	0.940392382313413	0.868923894105188	0.981866278428715	0.975534150295221	0.883619209741656	0.997429568017754	0.951116831472903	0.945851543231712	0.961929519954236	0.895219338931345	0.873365679694046	0.933211108984082	0.964631794233004	0.792933416804029	0.970508231095326	0.713996859144598	0.98406664508559	0.851968915871295	0.973267713131809	0.973742266086177	0.986851611655466	0.787424734719495	0.78291705082214	0.823165821175267	0.970573204205341	0.934981526324513	0.953258150984816	0.967584602476026	0.985790292376731	0.866971877441452	0.930126908674616	0.870231160455664	0.734299233877224	0.745193566830236	0.944302971594059	0.946170061260097	0.735051475437074	0.930189016519012	0.981547070754861	0.939061331155782	0.938527227441953	0.972665955078998	0.975748407229719	0.991922418340429	0.86935436569285	0.892865597600999	0.954827948325239	0.989027713441661	0.845454851997841	0.899518649590687	0.956986822353209	0.957488148356186	0.923919948711057	0.924502344059849	0.878271665612013	0.63457405455762
"SRR31418683"	0.919094658625844	0.912464354231677	0.672538955544046	0.757540057634672	0.566476083820522	0.973517517802361	0.925262609955088	0.887711325566987	0.778138013432275	0.868372954053492	0.694787567845968	0.881593406448844	0.771433084012608	0.934434222370922	0.938888761747057	0.917215984928396	0.837222626475051	0.967393589743719	0.851179381042008	0.925458745575481	0.908002747404453	0.31065728939806	0.110467138929568	0.959687821857277	0.863995430973959	0.721355063191931	0.940492187642342	0.93331031246868	0.842605257056944	0.993897753455859	0.838879689367441	0.879833704832117	0.882015547191144	0.822241374645264	0.6977605589284	0.848212808068152	0.942608541941701	0.551825261688728	0.927420625835299	0.388630626994469	0.961718935078085	0.647082881522468	0.932689678864762	0.922293636229839	0.962612563401396	0.466428320603658	0.624039517610512	0.487535666349195	0.925742802526471	0.859300042995345	0.877979171673762	0.904074555011514	0.965330803383126	0.637714838467644	0.804305771104019	0.667182012407459	0.388729191020438	0.486076217491371	0.871933550404362	0.858407598227911	0.622754907244224	0.855817658891222	0.960219582414533	0.803862536388996	0.827764141754267	0.93637996023215	0.917262349056	0.985314537067032	0.658077265265432	0.719254881237873	0.903560121950697	0.968809604619834	0.684623727247251	0.794970786063306	0.89791927174961	0.911365929099122	0.826551212237436	0.842949668334663	0.751225492286129	0.405943001893929
"SRR31418684"	0.948685354901859	0.944358264518919	0.754858314273922	0.791312510496682	0.667757586747468	0.98340365028201	0.93322205524616	0.919902886737642	0.847752942256619	0.912085812385882	0.808226806701002	0.904124950596015	0.82601816179538	0.953618996372656	0.963824197906432	0.951243429391105	0.865553688809342	0.983127362039139	0.903065477761676	0.951308732960782	0.941785776147148	0.364840938244519	0.284740435970723	0.970513786002548	0.90461697235596	0.78466425487603	0.962859868411171	0.963762790207779	0.892081828532863	0.995294486615889	0.914965803339716	0.908605454696704	0.919773216838765	0.89697457303768	0.834910506513968	0.929975915210027	0.950763383812645	0.671927006729322	0.952346310717323	0.519721324849121	0.973716243047792	0.778336802334865	0.963172232262995	0.942366230307574	0.977095527616926	0.562029346811635	0.775716011350926	0.583043482368205	0.948418290339016	0.894364783282116	0.920059792413246	0.933952387281196	0.974155949711638	0.755612386115395	0.868036535150958	0.772666658958025	0.505898544500656	0.658077392493762	0.928167750868833	0.907795280326222	0.678779409508187	0.911924193871408	0.975928630121436	0.886792432932721	0.860835304709673	0.944010253293889	0.960055624323866	0.988143313652579	0.745844754424466	0.827305637813911	0.921294070984449	0.979589242787778	0.793828901580837	0.861951045209603	0.92554612490942	0.927005459622034	0.889799319245538	0.877812861587933	0.827140645062789	0.544950452607902
"SRR31418707"	0.505794117113128	0.509613075330804	0.282783717990051	0.330181963846385	0.25826271592469	0.651646835802448	0.482024739019367	0.478169566504138	0.309097196327814	0.452434395048399	0.299460116664779	0.458931462079286	0.342689535559125	0.524971382045452	0.513118699224866	0.551293905271423	0.349950755627792	0.567700872077683	0.48096485805608	0.527166401404478	0.485042496849044	0.109113247106749	0.0982540541635761	0.595131815882425	0.520831137909384	0.322002037506206	0.591582092760636	0.527436217661426	0.427148597346525	0.786402352761669	0.354227677843236	0.384167106554579	0.458632293748953	0.414869803383676	0.334040914452652	0.338334154593503	0.521196754837211	0.224301838094457	0.51057860003698	0.198056388025251	0.597577015280116	0.293379117056317	0.625329036920413	0.493901350493411	0.566595143547186	0.183153722763718	0.258884528703225	0.184595185687708	0.500783483971643	0.463257250627332	0.484706785657554	0.486821774359688	0.618868771846788	0.27186775877016	0.349551138802842	0.301705624951573	0.198624775561861	0.215843203151737	0.468910614325961	0.382011211309793	0.315935949246741	0.422233858715285	0.545230727056766	0.342839039373095	0.379611190262458	0.488563974438655	0.49964526869411	0.677189089486771	0.249190951274639	0.281922165611512	0.498782034095554	0.628654702610643	0.277938727611688	0.344334714858445	0.469274503374381	0.546523823468008	0.389726867831858	0.420851508812526	0.34564038610884	0.269684250232875
