"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR39238554"	0.360966035306253	0.430816719274927	0.36588948463891	0.320848018453846	0.341494442136483	0.490576532383037	0.346891767439948	0.332771756663459	0.308787553029686	0.324230855723343	0.330523809374913	0.233483251163347	0.225810913292487	0.609372214506789	0.312347674368039	0.452853463642759	0.17401703352813	0.466810524217867	0.442907224194551	0.392205447682263	0.26322232978614	0.487490907639523	0.238300348865248	0.448923167578866	0.359534017368297	0.31892117564465	0.537071339790653	0.454506275819059	0.325620471846437	0.436093913820224	0.484064571166815	0.350330827658503	0.384681532501984	0.427264230543161	0.397205898570261	0.345680418479512	0.327659900382306	0.324588682626799	0.349129225526279	0.355958723773531	0.437694967751977	0.345557306322915	0.475221146339803	0.305549092122065	0.48001899594067	0.480127191081484	0.315847903891358	0.350928022914486	0.291391951045756	0.507386652155499	0.306029701634807	0.389105617130229	0.503016899776871	0.175127591999834	0.259851581744702	0.183714952860552	0.208727871128441	0.285664373291379	0.384994707664978	0.310435777583655	0.367916680218996	0.482319801264786	0.433342204704387	0.398401600241232	0.394823059478326	0.382907444984983	0.423893057651874	0.358528799016782	0.354914162326985	0.300642848667755	0.274820808299234	0.373050839870974	0.294348030252784	0.333457946985488	0.319780690375782	0.398864434243735	0.439744524437442	0.445204513038518	0.394363060876642	0.499394417497812
"SRR39238457"	0.120369771376057	0.177532883347276	0.260341656875299	0.21170963986218	0.204127857878399	0.198558138768689	0.178268689028525	0.150439011777168	0.120302709616382	0.177061771868134	0.179773487768578	0.118409599414701	0.141456329546095	0.249239976134078	0.106114369565369	0.214404540017104	0.0819275976287739	0.135137468790987	0.262204950429889	0.169439390919	0.128288841420191	0.346482258534594	0.13581330834067	0.206973981096466	0.150812453711613	0.213670367194588	0.251674242304524	0.174114986245559	0.158835922137251	0.161358549794315	0.17455774031738	0.162935641229644	0.158310824084473	0.185630431119988	0.228367722973532	0.099481670355846	0.16465032962339	0.161902861386505	0.198682080971535	0.269915399924221	0.189257439954803	0.208844262364566	0.136543967598768	0.166038434526408	0.162369803934666	0.271788902048728	0.166864376028651	0.236584533820916	0.120290593470753	0.299147997243653	0.13916290489863	0.180429125555021	0.272756125065853	0.116903392626522	0.12235770321038	0.105798548834959	0.136489299817548	0.169740158357199	0.140060864240021	0.118094081710561	0.238115782584873	0.216576025843568	0.147148197091025	0.161562319637358	0.22567749855918	0.215887408320466	0.135609486640195	0.13627310407675	0.196905418249479	0.116994974274058	0.137451860051345	0.155874429904256	0.176622175412554	0.170351161688351	0.159489364910138	0.21015911636758	0.195765562716682	0.279360791756303	0.183318540187717	0.243679524427009
"SRR39238553"	0.130999693893307	0.254081580365337	0.217227843478162	0.179619598734874	0.225111861584859	0.253048129074798	0.171233297627023	0.185056815944197	0.164671149091757	0.194297255361087	0.198425362259321	0.117535202355743	0.125607327900169	0.272718388101882	0.144427561631562	0.288139636255	0.0818623577620468	0.221933136268544	0.273539362126641	0.192268770239777	0.145367394673885	0.294354152234868	0.241618687611284	0.230005459471914	0.132462254540763	0.187697317263514	0.340935172529601	0.249759053558487	0.164576075130936	0.186970645082088	0.27796837678151	0.169805023760309	0.230583695985861	0.248452258349745	0.273815833488509	0.161328118440683	0.141418196791633	0.19343285453637	0.186124340162282	0.267748365373932	0.221828701494712	0.232990166802363	0.171345639214188	0.167035374623784	0.25097039370784	0.325358206610866	0.183661841706285	0.225378606587526	0.144948390734262	0.316261624107027	0.187366917661383	0.218719062594109	0.268897179377599	0.117803503146365	0.135798739385121	0.0983181380009025	0.156608552720251	0.17267018168755	0.210857839442839	0.155584055063227	0.234438053823791	0.280487526836678	0.185228897772811	0.235610452386188	0.21358870030832	0.180219739529689	0.252976529329267	0.135775014995319	0.21291064873479	0.155220271163673	0.140615667365186	0.191168282111483	0.164563106355902	0.176828287442643	0.171724406658578	0.226951960525253	0.253390190712051	0.26653806596356	0.232774447069992	0.253452068115001
"SRR39238456"	0.218101925336169	0.336862469708114	0.161739691000224	0.227823155465988	0.188610415904811	0.40707959824913	0.312497509327359	0.266467372647569	0.202691022321822	0.23787601057359	0.145894741594684	0.19339886982283	0.142984173645617	0.427017181414428	0.214695717362053	0.339980579728098	0.147905685583927	0.321445307682885	0.302586163836711	0.245250736066754	0.192927497216445	0.176520816733218	0.0574908849213695	0.380632125851488	0.220990530591988	0.181900505290514	0.450489513954743	0.309812076338706	0.170221341834129	0.508148995743368	0.257844306466098	0.242655340152474	0.335563145619934	0.216333695264496	0.161324711839758	0.127750709599994	0.250399963850202	0.15151662181756	0.235754725739576	0.154077745873344	0.364135183240894	0.154925298569256	0.318640362353072	0.257741514289983	0.404993999396502	0.249962744299306	0.0992060649235888	0.166183684942154	0.239815716594389	0.369770031326588	0.248107788068323	0.306189193648034	0.43341876698543	0.0917183982279031	0.1594312272205	0.0942722660285859	0.113193880049431	0.0938478889319854	0.248831032293351	0.200815930565701	0.232074279130918	0.28750577811378	0.277533249231508	0.231450998171382	0.270598259287162	0.315674991261011	0.28991488901965	0.341459347264343	0.183595779882271	0.132016577824267	0.242133351028538	0.341972990793988	0.126952022159337	0.174941445656141	0.243549301027923	0.361831741243325	0.263213561826991	0.306631518726347	0.237942777030142	0.211387169744497
"SRR39238532"	0.288896717549293	0.487363941131731	0.26387000081505	0.326853585856637	0.309196625849635	0.57815932485405	0.387405018133248	0.379992980738934	0.348447165997046	0.335660298600126	0.262536502913555	0.256762053445943	0.204613639629871	0.586182800941625	0.359514250860219	0.488937780129348	0.206807266930765	0.541751680110104	0.390645356820967	0.399115533588055	0.270155633043752	0.33141933341149	0.131524746691298	0.516100492984979	0.217363595992962	0.277256699287453	0.616524635233459	0.515356802730839	0.28844437774974	0.604256025334339	0.493239802489636	0.366981955839773	0.477540815502655	0.397136093767238	0.29848984497024	0.310866981508428	0.338213361039335	0.288046428940028	0.339120939545451	0.262418093699259	0.510369025121081	0.269647545207491	0.386948767426006	0.322636295544868	0.582327466429429	0.414414044133939	0.211080240729083	0.271377511246805	0.344367605024628	0.529133392417388	0.342781460146948	0.443035186187203	0.574983458267032	0.130269119332586	0.264703886640299	0.113699018321266	0.171694204201095	0.163976051281569	0.466316519818699	0.341706705990321	0.34719812481268	0.492451684188504	0.484595275660205	0.415145087056896	0.406220121863651	0.416342726612985	0.484048072610472	0.453711444882508	0.295008130098661	0.276214401454098	0.317394115733847	0.458565155843719	0.238284481379221	0.307130926106013	0.336645829858103	0.46834768791621	0.452208187294592	0.433352492911371	0.402398025887318	0.267137368179831
"SRR39238521"	0.169073811346462	0.284190686438511	0.231378262840227	0.226221992899778	0.271702585564446	0.305247485305243	0.193698318582347	0.235403743895306	0.236755006104748	0.181165123800866	0.205882911259404	0.164089615507126	0.134743245703932	0.378103931860478	0.19608429505266	0.28045163242654	0.115957465887361	0.271200804912818	0.218776474590998	0.302984391366862	0.126534058326615	0.387506027254125	0.148523817979255	0.275497345267646	0.133271167706012	0.217418357072934	0.367398100616666	0.288935375210468	0.275571049842175	0.201289941947507	0.353493489889182	0.222071966050375	0.264879858934149	0.357071533882324	0.239374780160859	0.250452312669486	0.205125073974736	0.282578299014316	0.167535540973729	0.245565927268895	0.241719024781423	0.210537032117952	0.184829694643045	0.132487717399991	0.282240461035245	0.36685209320557	0.226648461908469	0.218266494648537	0.178213267333748	0.359223698163444	0.187732897458095	0.257580396492965	0.301047112961749	0.0802973707608297	0.189972993405464	0.0707985789272854	0.128203957451888	0.15154978453301	0.281697763224588	0.225384559752957	0.348189771240879	0.385951594486521	0.31669111760515	0.271727958719098	0.298555526197222	0.209614790322323	0.262854011208672	0.200609563051923	0.211080735129333	0.224200561516471	0.193172550433126	0.185381363813018	0.212898683578584	0.235779816338702	0.188207963987199	0.307682973928085	0.353984970675812	0.299408133853746	0.342381947971324	0.289289566611527
"SRR39238498"	0.119102680690817	0.256880468597509	0.231256709177667	0.238815543997328	0.249537056768185	0.29409654106459	0.176623348967276	0.185859197283251	0.180255928015588	0.216419824918481	0.20245132838352	0.10672206323506	0.132848303467941	0.338698449662145	0.14027889636079	0.309448157568715	0.084369819667826	0.230934852920533	0.326829220920909	0.176922535515957	0.144443262929577	0.319614973295949	0.205520325629876	0.260112506547923	0.123897216754266	0.215867032179301	0.4015100947088	0.297752027861904	0.135431552495191	0.217361484004121	0.29659377849931	0.173462791295627	0.264140898787865	0.223023052655642	0.274067472314864	0.135861479690126	0.13170362865006	0.20049775669565	0.220379436534522	0.319222167472579	0.258921480870072	0.246904029781255	0.194170712837909	0.180060371321546	0.276141795130777	0.335216888790877	0.161498019121466	0.256866405809142	0.146799985047071	0.387109847526695	0.178656544601853	0.248881860396857	0.36563396007907	0.110848601219543	0.123652748042062	0.0879365088626052	0.158693355836172	0.170929621479896	0.273165505756572	0.157163209258187	0.246757926050699	0.305566271247349	0.194090366662075	0.267273250134605	0.26050421797402	0.226322763699081	0.252416249260326	0.137754968994558	0.212452839491724	0.150043457659694	0.136613153024191	0.220083979015992	0.158346190325074	0.193723691900126	0.172167392444207	0.246669596532879	0.274485279929748	0.312662671011548	0.241361667213753	0.264731448384509
"SRR39238471"	0.107228214530234	0.228868123315203	0.169251937012252	0.243285434127114	0.196513775920685	0.288795410278726	0.198324609319651	0.177307561625257	0.167592432372806	0.187694540331539	0.138565716744201	0.110472312476166	0.113933270287566	0.332563813831077	0.120578418661502	0.260273093208881	0.0903329289569682	0.19028119108072	0.275352330195705	0.154374275643556	0.12156562555039	0.236964807546062	0.0707518224003972	0.269018046649965	0.114728909142865	0.182065817634277	0.376517784431594	0.243893730592301	0.108300517392976	0.278839541970605	0.214847719265721	0.165679399638058	0.255115975814141	0.158616060106187	0.159304727379086	0.0794188070131208	0.142617543335381	0.147376557751111	0.19179610952859	0.216321492051661	0.252434719785137	0.158975570008291	0.168394267257372	0.173060708837372	0.264925471987457	0.257140215225407	0.0889753658650124	0.191794329432885	0.143907204973582	0.353341695926176	0.156054551119467	0.236053022359924	0.386451965239475	0.0729129760484479	0.102254066326112	0.0622954289044611	0.1055211537862	0.0953831100006124	0.208844653249991	0.13642643576666	0.222940440451096	0.248855227063834	0.177598492209165	0.203661637741575	0.255258697612642	0.250844215070285	0.189167039396366	0.169221109640863	0.158539272791567	0.0993412399569223	0.146614234496865	0.22142000578576	0.108287620538565	0.153335580254795	0.161192191508369	0.266991450666029	0.225524414194679	0.289366685101925	0.201288580643072	0.191111008130735
"SRR39238492"	0.0784086641718581	0.207980774724894	0.135775806388299	0.129593822443652	0.164631023796924	0.226540249823715	0.173294029707892	0.152232375090434	0.114309815149379	0.181693778450318	0.151375478479592	0.0749671783648115	0.105575126347299	0.259915659997906	0.124437713988383	0.28276486295869	0.0695824409137877	0.164127545721716	0.28597820860897	0.0963474113236449	0.149714151971216	0.121718471949353	0.166155490489597	0.189031966525435	0.0972372911421839	0.136711749135714	0.322291909570089	0.25400138688444	0.0693897673744646	0.203577110145362	0.197348277641542	0.147849983769731	0.248299089392593	0.127785666447722	0.201683707650652	0.071591193811308	0.076302824403164	0.121048462692118	0.171792550822396	0.237552221433075	0.213937122659472	0.209831796700731	0.194734651653884	0.186276403541929	0.275192537308426	0.218031299345591	0.0959721121307847	0.159792433689127	0.133949607777995	0.26542846652748	0.194076813348151	0.200125309291265	0.250036484515477	0.126871699271782	0.079767470616891	0.0984825902260102	0.148910767579592	0.148867662767194	0.217841573965542	0.108348588085162	0.131776577648839	0.179241543309194	0.0912623450433369	0.211652953233598	0.137207869359416	0.15248274435476	0.233591014480353	0.0867612793104534	0.169580478658116	0.0852477971021063	0.096207658107253	0.224238994219328	0.0920363148040503	0.126790737906916	0.146572073252807	0.16774582910127	0.171098031873836	0.214531879072023	0.153568310748881	0.165340470294227
"SRR39238481"	0.568059897615733	0.581537746728639	0.524913361683829	0.536406469102656	0.437997860215215	0.736781564598063	0.585337522807771	0.529319850557084	0.458956278915726	0.494266770593061	0.453039460193556	0.470934992482194	0.419912127865692	0.773418855256581	0.560321106644964	0.605243499424052	0.388108061312734	0.677292330007369	0.574438394429098	0.645336825506366	0.466290411920995	0.525182997063997	0.121344626767692	0.698668761804519	0.521563065060762	0.503699690598549	0.698896381467648	0.649968450103052	0.554442811951149	0.768632499981938	0.586679310245768	0.556658249852163	0.532301839138443	0.573548518064604	0.478204132187105	0.511774485167107	0.633739976587308	0.428295330040761	0.604202853851412	0.401891021220534	0.685866086912672	0.438788087101113	0.626413536696725	0.519542507105324	0.66575917735848	0.470963768648606	0.441288031411989	0.426130213471808	0.527677688499316	0.670492580447306	0.458726720214296	0.588493181234087	0.763640989169384	0.270827867922777	0.429651168517162	0.28360341724856	0.245872473820773	0.352561196040951	0.585364919955103	0.50258163351313	0.510877301890641	0.637139324700689	0.714251400399722	0.51461769604275	0.611517236282522	0.668745674601464	0.540542377128378	0.721891234699518	0.443755505715149	0.447880555967179	0.522876763586272	0.634504340825199	0.442105607385425	0.533556414821011	0.53098208629165	0.625732482346106	0.592967739791012	0.627698613986357	0.531761782595666	0.468378688818475
