"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"ERR1624539"	0.795017128811229	0.813604808869878	0.926113524802705	0.79462265366288	0.907178510967992	0.881264979725974	0.935440958041377	0.944012464170079	0.839019064769107	0.774885069205549	0.789653981477766	0.875328406664969	0.850710635091937	0.924422644492703	0.907005451852919	0.827684446969305	0.655316291958569	0.819168861388071	0.934722536279953	0.831076847501369	0.890547264745165	0.839675627562017	0.864424044485351	0.905377276345	0.910234081258678	0.894994339331862	0.925240037685723	0.658231196167067	0.878060071012667	0.73869510688189	0.833028765519827	0.878930925446922	0.830990926782974	0.834961618083065	0.87778249586945	0.902452914086794	0.787838856251843	0.757159569025916	0.89360646537225	0.814760383965242	0.895381168495696	0.780919364323433	0.919938714832607	0.964541137930926	0.962168305912454	0.919536272220421	0.84652470211853	0.93816065484113	0.94619383911953	0.884040131773871	0.664916486896043	0.933254776772649	0.845538168963066	0.82226545134921	0.863851181614204	0.82419458914109	0.954607287602849	0.849177106027773	0.809618752069902	0.880797208595036	0.91700610324974	0.844714089462773	0.79300622593828	0.864435103117402	0.798407510624906	0.909835635085994	0.865993812114812	0.860957457276613	0.823408213896975	0.913551205674579	0.883025001794143	0.956700601246837	0.891655943098268	0.849209570778675	0.794106648373888	0.891851261403314	0.87453534700046	0.779112790293292	0.858912967569455	0.936721019486246
"ERR1624542"	0.813923809077348	0.822004843059629	0.924730454136684	0.79462265366288	0.886031469500193	0.82837977085756	0.881325108731704	0.85153287477639	0.833207059455228	0.775670140010813	0.756937717963013	0.891059050534618	0.791442553149483	0.89367518057422	0.92872794361578	0.830372026368887	0.806396276989528	0.840027780879446	0.9237919246335	0.823616544989053	0.884842597844318	0.763410526438377	0.812267031533703	0.788938669282479	0.894362157209406	0.857070642439951	0.945272362575559	0.873897444286758	0.865377542675281	0.744640292096341	0.767907367735132	0.853518911100486	0.801952747379323	0.859338663979138	0.771803815211128	0.839065097425204	0.785414527673035	0.761155035707497	0.800706564319362	0.672145257255285	0.927683866391617	0.773041438210218	0.935206832981412	0.925374912172202	0.928177046257649	0.944343026701304	0.841599250895907	0.895242538854996	0.829490243266344	0.882438537070391	0.814149340587959	0.913734146914299	0.828269223950431	0.830936990011338	0.833336780365841	0.812975418498937	0.806252147381061	0.80735876177206	0.81402939606342	0.78021962892989	0.885213322694096	0.756496627511178	0.782674825947685	0.851871060983094	0.822764717016514	0.891152471235831	0.846982840145167	0.852092090749147	0.795602535294611	0.915012520774761	0.752063775703316	0.92522395687496	0.832991289176818	0.805892879217859	0.788389258111649	0.774535791587662	0.858393655044238	0.783551992545712	0.836465738042065	0.909280804773677
"ERR1624545"	0.79901391346924	0.804384514073753	0.885550733379092	0.79462265366288	0.865397683288145	0.681240347831641	0.795258023701861	0.684222725679686	0.802485672109045	0.775379004313574	0.749914161322248	0.920930849324355	0.689815473869584	0.813753903260175	0.936833483445056	0.829378498907851	0.806396276989528	0.82636219516468	0.847353198002473	0.779995437421969	0.840904096572555	0.682076524640724	0.727510215874983	0.620427616859452	0.848600375486087	0.779760763719121	0.94371019477763	0.875385493518401	0.836374964365832	0.739760491663506	0.722649846402174	0.810369249827662	0.769325994217126	0.850663289906945	0.657276152368982	0.744863714966022	0.769797957318705	0.759677482022523	0.700791929773987	0.665397059436577	0.930757379997793	0.757583365264031	0.930437173381628	0.840664574555558	0.851602444301048	0.946112947453499	0.808288994481385	0.820678892064381	0.692346324546546	0.886372985778914	0.814149340587959	0.865730298924261	0.790098295018539	0.80933218279045	0.770198009699399	0.784331459611128	0.522852230746798	0.746834283651533	0.812401742363739	0.684999676276204	0.774122930986565	0.826415031137483	0.762107642962363	0.795772992779427	0.772238056301453	0.839906803235167	0.802882861977986	0.809318502801972	0.734410560998481	0.889591444743749	0.645923070397001	0.831096598171895	0.759585336682875	0.742961999689186	0.777247866562558	0.664130786025279	0.810924651689089	0.779303110029772	0.777688082106492	0.831891079498184
"ERR1624547"	0.759163740929086	0.835009925362783	0.944884404673839	0.79462265366288	0.805720981769642	0.899121634158176	0.949428553863098	0.948540540386405	0.861997021272618	0.775627733165964	0.795088382526341	0.647088706159749	0.849692232879322	0.850739038558307	0.822959152867626	0.830227539155863	0.806396276989528	0.844718386223986	0.915182863088761	0.858853527017618	0.91948902415061	0.855986024658037	0.885041272240278	0.917547139035121	0.921919024224655	0.902160125042896	0.748400991129768	0.778643037274786	0.846340408154085	0.746959442024144	0.779892032151179	0.898389655513562	0.822921281396997	0.811145531384557	0.888201813362862	0.919352451643351	0.79514656179849	0.760940118926509	0.903738097090682	0.783899286198551	0.855036462582628	0.784210408289765	0.715392305514287	0.975491048741055	0.975385075000252	0.818370665722977	0.871691063537658	0.893320627253748	0.961848893044436	0.8179281471739	0.787502028227756	0.948826773283189	0.866866104530308	0.847157694026386	0.871669766279324	0.842750430922578	0.957634537175968	0.861824221742883	0.748160288825575	0.887413075877777	0.939411486684477	0.840185615851646	0.797289721760411	0.892201514688196	0.819069067179228	0.931635336449723	0.889112552304294	0.800585961915407	0.826122821362131	0.822078426954888	0.896724326502242	0.922119517701993	0.906614142054718	0.861403266001989	0.796503871392644	0.896042353341448	0.809017515925543	0.784875265360344	0.870347221253353	0.957186508365862
"ERR1624549"	0.778385165082961	0.799693643403609	0.901271363513626	0.79462265366288	0.904497432912511	0.849320847421573	0.925340427485522	0.935422771102395	0.823722663005321	0.774436352996981	0.781286358894364	0.886625104896014	0.844244375048564	0.91639965651829	0.904777011157228	0.826136272151224	0.367909578469721	0.802238457022514	0.932403969866943	0.809423601285365	0.868966967325942	0.829135479263299	0.846672828440959	0.883774686338028	0.893964245149957	0.887895654467137	0.948005594220281	0.257944242697606	0.865212751553516	0.733627666493167	0.832972112934343	0.881449272748924	0.824019040367282	0.819597160252099	0.867810249290316	0.88300462723789	0.780581290944343	0.754860112810962	0.887051564391152	0.8297930729713	0.905534042914708	0.775903968782049	0.932647569781435	0.953142902517626	0.949492666673551	0.941305882939181	0.829476912864955	0.932215835827747	0.926849295585394	0.917342866348023	0.375205986856544	0.915578037095726	0.831373499753984	0.805775996423085	0.844300563846539	0.812194684933913	0.932116261291692	0.836599285791279	0.807067076476387	0.87664687754635	0.889419730271453	0.851535221408554	0.786441245527856	0.841083820027042	0.657369839198213	0.892586489524828	0.85016566885933	0.84092512302562	0.805984130251275	0.898206389012171	0.882858035898892	0.949669385193417	0.881648780613071	0.83640272668765	0.790463426464239	0.889252568032014	0.856034917934158	0.775135818654768	0.837398713882831	0.91819355512911
"ERR1624550"	0.648349939214646	0.73517414910339	0.839370328966926	0.79462265366288	0.767845266070587	0.90181473344218	0.729918025709347	0.710866519692322	0.724800419687336	0.773187320477848	0.774855924125284	0.647064781574207	0.727078684835149	0.622814182332872	0.741715915980942	0.821780744123039	0.806396276989528	0.739035492774335	0.831496737037141	0.657909204667771	0.699216073778879	0.657704019076751	0.72337850707423	0.746828267089625	0.712891953340904	0.832088753856153	0.702108881077323	0.769781895386255	0.659471951096011	0.715789659773058	0.699857134933082	0.736254282150449	0.725358775532028	0.717505752058713	0.674872635918734	0.568178125649172	0.781249559778497	0.748399732008981	0.708052927336037	0.720623715713785	0.797160003295218	0.784747272078805	0.758827351345479	0.718235078887463	0.690487295059183	0.775905110144338	0.718101072909701	0.773462325208169	0.736945346970353	0.829221688600682	0.792314622289676	0.786070884633664	0.720405647153435	0.724988905304287	0.622896792856683	0.72897063898035	0.885746390246366	0.786098040966548	0.743882251589787	0.716364752541727	0.849292634185338	0.741175900904429	0.797986604940579	0.742416044662671	0.707520919349206	0.716110526041226	0.717493079555681	0.56150128900849	0.829355679252004	0.599132246403044	0.633602503212724	0.739117791024321	0.721246900223554	0.791908978859264	0.796895439596983	0.719640513401672	0.556865864285965	0.767343760603038	0.619094110965965	0.737254525601725
"ERR1624552"	0.704045667368925	0.760293319345818	0.857910309438207	0.79462265366288	0.704714538871868	0.868176328939345	0.489022176634541	0.314595353853084	0.720470110146403	0.77469459889432	0.786048346645947	0.807838365997979	0.581360848609094	0.448047007628437	0.86631404256644	0.827028350693197	0.806396276989528	0.79166878306104	0.719312338481787	0.653383134027349	0.698449751074516	0.47112128032954	0.60514081437744	0.539742314318117	0.667630257648187	0.437783975063262	0.828559522152285	0.765506033688534	0.661378920303968	0.728443720725472	0.544004237077025	0.649507983699559	0.653385208606434	0.786352064500569	0.447582791340431	0.397062157753741	0.784734098875173	0.75618489611073	0.424023133753814	0.658576350924946	0.785607331495785	0.77875071995131	0.814327582086864	0.452524909071779	0.462071345866503	0.846885069180271	0.716891897349264	0.594495322720714	0.44049738961248	0.701391628026429	0.79314780407597	0.736807537418719	0.686389878982301	0.753663684987754	0.54561816301434	0.710981474332433	0.742370187986991	0.712328078496461	0.756419694389173	0.432638119201112	0.80878316444085	0.825702203663648	0.790172962668967	0.734176356249226	0.629709523980288	0.660613002518368	0.675555937486443	0.554602819567026	0.808954650849554	0.580598272458672	0.268969174233095	0.425148138640272	0.541177406699305	0.717601829321563	0.792529873481409	0.378292641805083	0.522725836538812	0.777422901604268	0.568853920523967	0.634810657841749
"ERR1624553"	0.744377717836164	0.804815839163988	0.890319829081363	0.79462265366288	0.850187087786695	0.896918105861463	0.929153269212344	0.941096891400102	0.829386172690751	0.774598810126183	0.794405104740119	0.698225499626773	0.846610401491851	0.866358546406922	0.824819150657123	0.826697798779414	0.587019341368234	0.808499528057377	0.913001240934219	0.813992500980943	0.877165399699231	0.833011974971305	0.860099938387	0.90831458551272	0.891508934031214	0.897638834703764	0.754864486281626	0.441080258055302	0.831106160542402	0.735468708044305	0.802344919453003	0.852901922903714	0.814415186082725	0.793643949920162	0.874756755022264	0.882623208581573	0.788768776536795	0.755693947547432	0.889463428899241	0.848870574071042	0.817085027987832	0.783795091578147	0.761686177775724	0.959538059295931	0.956017898964423	0.786753180441785	0.83581378840288	0.892501231455457	0.946001019939643	0.800238764106359	0.57227379016677	0.910783895378221	0.83661549802541	0.811873723503803	0.836430565781463	0.816608481937303	0.942808920969575	0.823320917469423	0.76943795330498	0.878162972206201	0.904389578506756	0.85348096969814	0.796750250094837	0.857273503592392	0.722072446582773	0.897960450079565	0.856064322377533	0.786599733199108	0.82804387426608	0.827230761845962	0.879430395537256	0.929320884735574	0.885359464744744	0.823954362269962	0.796201054727738	0.890199251037373	0.799437201836873	0.777489422634039	0.830843467998879	0.929266023429917
"ERR1624554"	0.775325610805045	0.797137516004575	0.909938202661397	0.79462265366288	0.904998598509997	0.873392325170411	0.923396575244053	0.937212718614323	0.82088323267922	0.774356415992933	0.787452128018065	0.827591453709568	0.84306973685525	0.917625708531773	0.901978789361618	0.8258595516618	0.806396276989528	0.799102761350552	0.937311274715985	0.805354391165267	0.864766576110764	0.827202715975711	0.848901574621566	0.895374906705779	0.890808841042534	0.871341840131743	0.909131663006239	0.856857607856291	0.854774272668102	0.732719138915877	0.832962027277493	0.868794504821422	0.822754615438009	0.81674829496801	0.871788522895639	0.879208726993833	0.783481541374332	0.754449276400767	0.885848491360865	0.844172907978931	0.88853467480241	0.779593660558301	0.921155907043493	0.953685649190984	0.950712203959689	0.91523186413207	0.826289439361148	0.937003194176469	0.933966594856766	0.896523089623609	0.814149340587959	0.919319401363939	0.828746359731254	0.802722178697169	0.840589767673124	0.809993926428987	0.94892469340424	0.841165826727932	0.806610164979107	0.875895236711266	0.900313951271545	0.855472396107988	0.791275228208579	0.842555421617075	0.847763029842574	0.889227210445316	0.847191999340016	0.837123510811801	0.818898486493815	0.895233764294853	0.890831392978474	0.933560063441187	0.879785761421246	0.841741136025509	0.79314249033655	0.888784313565661	0.852513383629394	0.77510737928849	0.833303297910556	0.917709665914853
"ERR1624555"	0.790165994955124	0.809544098927101	0.917554662356839	0.79462265366288	0.905618534704063	0.848630260360977	0.932575725081431	0.942914082327696	0.834582045797322	0.774751588715154	0.731548388454116	0.873161206840209	0.848809624204513	0.905580570930022	0.913439106497981	0.827224824088619	0.430552388409752	0.814251328247137	0.894221082796945	0.824845200214501	0.884472602220418	0.836594824380315	0.855178262108628	0.850322056397175	0.905642490953585	0.892289029500361	0.932792348287005	0.331842102344391	0.872533029479925	0.73719346874885	0.833011906208752	0.878627495255247	0.828939256943259	0.830501783414913	0.815373150212725	0.882894596280012	0.782393908402296	0.756476740235838	0.891691427352674	0.64573425984684	0.896836293632244	0.775804991810353	0.918541054892294	0.962470199157476	0.959116516763352	0.925541509659804	0.841602000018179	0.930673741407675	0.84691388949808	0.892365735870008	0.438857910729982	0.929323349613212	0.841427154372369	0.817475721217054	0.858259016492541	0.820687538850266	0.837637978023539	0.84020424173012	0.808862032155812	0.879574770476345	0.897649793954937	0.545874935016737	0.786311247608699	0.853482281600196	0.697149693607419	0.904980759014191	0.861436689475094	0.855227048078966	0.80563041151764	0.909217355327586	0.876349731313374	0.95517589193425	0.888757926839437	0.839526559164941	0.790391646745735	0.891083490884913	0.869252820653243	0.777397422745994	0.852770949217317	0.929468038015506
