"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR5865065"	0.727510552063582	0.818865434770619	0.858119313109287	0.79462265366288	0.745327424623542	0.820837798896542	0.910236203827703	0.902668652215899	0.836595186045821	0.775335136978527	0.774867942422372	0.793567391163744	0.820673375409634	0.78155183901578	0.867535661754785	0.829228477116148	0.680323172117372	0.810377583790651	0.906551756720672	0.821689528714381	0.888454264261854	0.801451832341542	0.831994527940607	0.83131923052575	0.885273479993303	0.774261308938673	0.806177100715796	0.539641172028763	0.809442113675155	0.742190333406218	0.725908492956017	0.882517211999798	0.787378373929265	0.789319599852688	0.83823592394516	0.858147353514927	0.782557054987718	0.759454426667971	0.849317294076363	0.774098774128538	0.848839900308467	0.772096792882332	0.713018277111312	0.94633429429046	0.949566778188164	0.862826337685954	0.84465577710502	0.807423698685037	0.879395587331829	0.843456374802157	0.64553395107822	0.890954675793432	0.836997275444015	0.827791292680338	0.816948537579685	0.818725010222343	0.77682363694931	0.773068988692455	0.731696457413729	0.832317504014359	0.853894990180567	0.860445145987995	0.781428869286258	0.853155235105443	0.686652357849467	0.898558539565809	0.856663612001437	0.723374810280929	0.78046857740268	0.720438889235175	0.85822100404137	0.779955689899964	0.862890613866902	0.770333123142771	0.787705574931049	0.836656080039505	0.723934881652552	0.781037649589114	0.818314443494997	0.92065295893762
"SRR5865066"	0.695933813641415	0.766062215094094	0.787474766439628	0.790820155533111	0.769074019375837	0.855208597531753	0.837081058417438	0.834144163257323	0.768272311374409	0.769144339734888	0.785256664997013	0.824895391656725	0.729036938072629	0.736205342822014	0.859795388107783	0.777713971207239	0.719549559586653	0.73354098119334	0.877005991534502	0.733681908980752	0.752050892395237	0.737489944893756	0.765963079263171	0.798933370462313	0.758961179551385	0.848132548735542	0.819835963630874	0.694703348963448	0.742831018456176	0.71857785973059	0.730264872207843	0.789818266396287	0.748007604811906	0.75702549397713	0.776046046848771	0.728650418063473	0.774999278621428	0.75211136800464	0.794203680340862	0.798159308959243	0.841029606203583	0.776665145617275	0.795409071865812	0.868219146664593	0.865676322833215	0.844107186613405	0.768716114600649	0.793661053096254	0.842825741305425	0.858034905279296	0.703737103877347	0.765613201974595	0.765155475700995	0.764849763269625	0.72672546373595	0.763042753111315	0.834177813530188	0.746942364691581	0.755848592503288	0.78979480713232	0.811634422733155	0.850847105701817	0.783526618080878	0.782345237438845	0.692224651643593	0.788846572211757	0.772229282299952	0.670962870724699	0.802308417875143	0.693392671814345	0.804968606769664	0.813465198585829	0.800847348491924	0.749046344644914	0.787791385215906	0.797544351408112	0.671579246422568	0.770371112803512	0.72404662943168	0.808938311981216
"SRR5865067"	0.797809383446387	0.815943489420318	0.863139179488635	0.79462265366288	0.907895212328685	0.892689749850693	0.937060228792311	0.943293674648473	0.841563626320805	0.774962937804607	0.793097483514945	0.918118090108572	0.851810865630386	0.922378059205919	0.90139171663082	0.827952219134191	0.806396276989528	0.821991372531524	0.916498703044719	0.833512125443647	0.893961346625486	0.841451664235563	0.868650677107074	0.912718973158554	0.912819622829372	0.893548960303758	0.924899170779606	0.859663333205604	0.888864215080812	0.739568843857148	0.833038603393767	0.875761553722865	0.832179125309694	0.837520439270309	0.876988699902284	0.905521615837974	0.7901870003854	0.757557442556978	0.894710181757126	0.821306480275032	0.895505094160872	0.783001519388607	0.920842579999216	0.964737519382382	0.964532385503543	0.916659881617623	0.849339120361227	0.91727515900182	0.949525408897829	0.880664292589975	0.814149340587959	0.901602256653468	0.847896717046793	0.825014747404922	0.867027930950686	0.826216126238203	0.927066002051272	0.803512211102433	0.810059287449804	0.881505612225409	0.898207464831859	0.840237639010793	0.795718567650634	0.869543005764669	0.860526704085407	0.912564473195906	0.868594222596236	0.864212852013508	0.830350590225995	0.915992934453409	0.903503096279742	0.955579084521281	0.893316313086663	0.803039813627084	0.795622683757925	0.892297104703982	0.877532828253116	0.779980253378004	0.86239734248856	0.940165447112735
"SRR5865068"	0.74312212392911	0.788485043545749	0.825943505407085	0.79462265366288	0.834003904416814	0.848457932792266	0.843437600698251	0.828652315539922	0.794833951449266	0.774559262475348	0.781115252682465	0.875846070718347	0.776324056793109	0.826170957441418	0.898582325503167	0.826561209626799	0.806396276989528	0.776296083165199	0.915157849025461	0.764533222348434	0.826551556281904	0.736096373667344	0.782947787166049	0.799268074274343	0.83793154366429	0.729218072148482	0.896168487205917	0.813394591258075	0.802038862076467	0.73234984860813	0.743910015001948	0.822479398755446	0.770833921090475	0.799848010035092	0.788317689165856	0.769744155931017	0.781231241400593	0.755491101175111	0.783196845936155	0.792851379336861	0.84975621464097	0.77580203816578	0.871704901834899	0.882170833387015	0.88240891332646	0.900354462005232	0.798465195193429	0.841748926184946	0.814745276463345	0.8482095537879	0.802197844038272	0.840570684248895	0.791800193355229	0.791052675554442	0.76269642535209	0.783243256569889	0.811472614874113	0.752721611421102	0.778614710724335	0.77325051028218	0.830456317171632	0.863315832123317	0.78630736798714	0.810444735214728	0.774877414677762	0.838869282655731	0.804638687231841	0.74325870772703	0.801395859182913	0.789161388981018	0.767233982438383	0.815083305059729	0.803368877052882	0.753054115180286	0.790389504783099	0.774324012186416	0.747688851560939	0.776009911555543	0.762686150715711	0.859514962354712
"SRR5865069"	0.728942701402945	0.76797470200814	0.784458090592458	0.787254682107817	0.746938065497431	0.734007937895236	0.768179008467851	0.720618487120488	0.754685410711064	0.765150948252747	0.734743524283239	0.769632599384031	0.638294413657947	0.677051256425361	0.829337251113821	0.729489213874939	0.763491723781677	0.744590813492265	0.792621070013005	0.726625301933888	0.705935550989339	0.672269429951555	0.68897120092738	0.590862360631074	0.688678109916266	0.686697579260496	0.792853711599602	0.802775377316157	0.717188874747275	0.715741598535138	0.68328478048202	0.704096803082949	0.710783513473092	0.791314109589144	0.599886049575091	0.632293373893658	0.761583350789781	0.754482580173712	0.706002824312037	0.567145959923315	0.83062360625779	0.762280787590799	0.813058610055665	0.799150095622053	0.796242132828553	0.827904165774574	0.755389475806516	0.68406504217128	0.533026080274138	0.774583653669739	0.757407307527345	0.690806276529019	0.737801976076284	0.767049968448818	0.701549266934083	0.746129715867331	0.488643796722047	0.711256882325375	0.776309092915445	0.701527642155622	0.727424994010211	0.66782349148146	0.760341401260907	0.747365810029779	0.685398855018751	0.738139129968568	0.738586627153216	0.69591975729838	0.749270689497207	0.746947508512097	0.619992440783605	0.65798779732536	0.7435612783343	0.710905373984321	0.774161021777759	0.692624808110425	0.687969510698813	0.770704561312471	0.707713942725906	0.723591117003425
"SRR5865070"	0.748858791023939	0.788534838880316	0.864935233624486	0.79462265366288	0.754223201345295	0.904516650632151	0.800845165799842	0.743382741162433	0.78669086211976	0.775128282983499	0.796909863314286	0.826355255263249	0.740867504955861	0.762924216153785	0.889826548956972	0.828519927214578	0.806396276989528	0.818200724378714	0.87151191676709	0.767989730369826	0.832628923523053	0.690129558978984	0.767699233508592	0.806989593254923	0.830149552477521	0.773528888112148	0.818518625617799	0.799416877871745	0.774656609813024	0.734068564702016	0.65378144845393	0.783071129786836	0.752325218179307	0.811470257204041	0.740704291640288	0.728622977441054	0.790897709500133	0.757736581949487	0.696383764999017	0.818055497818983	0.844120864407662	0.785319758901021	0.825574084451277	0.846350796302527	0.853395254627609	0.84516025036832	0.794630124267678	0.775234294620551	0.837989225242274	0.774158906976881	0.797323295705239	0.843607693372989	0.781063960971442	0.796312650938149	0.743531816120457	0.774439389547446	0.869227654688606	0.746771164538936	0.769991047910966	0.685108304344559	0.873225289112439	0.861242961362063	0.798729141568885	0.823895479118804	0.75567010471417	0.825571878427778	0.792683217567295	0.722143706653453	0.832743559137971	0.764919817682759	0.650029145906427	0.795242555279271	0.752042189419417	0.748715491524355	0.788695432362577	0.666108068191474	0.717396741189049	0.781505613449092	0.750943064858691	0.858362956346007
"SRR5865071"	0.730379472216971	0.731713824162063	0.749825619367888	0.784455676863929	0.767759975896482	0.632720335628286	0.617251346466839	0.527055765735181	0.693141745656667	0.760978749215749	0.749914161322248	0.89617114274997	0.518319132411201	0.604623298796063	0.87594098004635	0.682612337637256	0.691869417704334	0.688882831147171	0.741260433169983	0.65092938307716	0.540015219034731	0.570399155584341	0.569967092338067	0.44255593028919	0.533724920074115	0.491420690372683	0.894330944873729	0.773183466444549	0.682418447204896	0.70141367901963	0.662406420503723	0.609003937109966	0.661309236940865	0.792852030970792	0.491054216586169	0.473936737789656	0.746357248774552	0.751166149037762	0.581562018418543	0.596166051612821	0.826519613661199	0.753032886581402	0.841548457085599	0.586375122370967	0.565154849131139	0.885328066621511	0.686142945175078	0.651657301191667	0.362423257071942	0.80632304684312	0.700798626921209	0.554330914848831	0.663168245381795	0.721997696651008	0.609694540674423	0.694287958886698	0.494648221323367	0.686026969558771	0.802947908618145	0.59300460743318	0.61830723899926	0.698545153213036	0.744477096154951	0.654441921419551	0.60955101656095	0.592177732664646	0.644431993058454	0.679031603024669	0.715749152042052	0.713902507063538	0.43835172934628	0.492951813992402	0.637837793867863	0.686859693669617	0.764888242084761	0.571494770710306	0.667155235738378	0.763888202992759	0.618780433796107	0.501910215437344
"SRR5865072"	0.518401869732292	0.440776645494717	0.481959004361467	0.131298090969134	0.146882065273123	0.328093265841392	0.361647779444349	0.382365287781664	0.463726878542216	0.293949037877167	0.288206143210492	0.25044075446357	0.415724387778874	0.44801099180036	0.31465337372974	0.0885285543236293	0.106586452758465	0.473046521636213	0.186397303275267	0.548569946236749	0.393912059912824	0.476923355178762	0.414243805453023	0.39050669753596	0.336825112088778	0.526134182832681	0.212776737745909	0.154856024230351	0.365982046711759	0.400920071423059	0.374090831517341	0.404627111700701	0.154602641887767	0.239235346354291	0.375659675044077	0.554089909102486	0.243460539130644	0.158858665296711	0.398845038415275	0.0533354940754007	0.232041859585359	0.252519226138983	0.147381851295414	0.369105498914407	0.364766454194665	0.201579486093955	0.410557410770663	0.39292740451564	0.416303697844812	0.195785897525399	0.0810241671027381	0.36053504661827	0.390368581481463	0.385657094586174	0.518549031823158	0.376269767303874	0.373940984501774	0.398106181619201	0.195083687834999	0.383153906093725	0.454702110741872	0.0324916696428622	0.234847751224498	0.418020713393336	0.321092929581254	0.395680384664091	0.409810997082151	0.518821605632055	0.254528730466305	0.406493605800274	0.34012634108075	0.519699293518451	0.388164879600695	0.396802221209005	0.24775325301802	0.360403124636735	0.515333946700497	0.257351195801987	0.520737360789217	0.41094129099119
"SRR5865073"	0.678809470557592	0.789149245764572	0.809322129190848	0.79462265366288	0.720977277067591	0.857351335259692	0.870124905523753	0.864772702771032	0.800567191655368	0.774440856143074	0.783303968880239	0.566539405063978	0.796920170639325	0.670349766767791	0.728382707385077	0.82615185256792	0.806396276989528	0.797618880349496	0.834233375584828	0.768035934448375	0.835045736600068	0.764175244145976	0.802193767979975	0.821616283349864	0.833085240177242	0.846519325448338	0.544116500394267	0.727308458514012	0.741738745827649	0.731793741404115	0.71104001169334	0.813993359832639	0.766032214993362	0.74621765517266	0.794065145728478	0.783857061905847	0.781710589676161	0.7548832459926	0.81786460922187	0.798589961803439	0.780687350634986	0.777107745448607	0.550511944028754	0.903455859696091	0.90190384766493	0.680023804138465	0.80447338628891	0.729334216057363	0.878671471315946	0.764683144958975	0.77970834155206	0.837787559026818	0.801152501807495	0.792235169285854	0.752293879881003	0.789695953294341	0.813198914354496	0.755486522568788	0.718923117774565	0.807981824008626	0.835794634221284	0.848019028136779	0.788020955330895	0.818040253916193	0.728076483979079	0.84970085525971	0.815564316434043	0.634454247575202	0.798619790480161	0.633835276585637	0.810778091837014	0.759456260951605	0.827360923243852	0.755718925434451	0.791336784767736	0.814518149016027	0.631748457405089	0.775347245809342	0.751331099374382	0.876610862819998
"SRR5865074"	0.740005592333198	0.796267373185903	0.840883829122216	0.79462265366288	0.797233840690667	0.840563405769868	0.829610988016208	0.784512293865912	0.799869425322981	0.774917743205097	0.77925203500789	0.842489451190315	0.74572191101219	0.776199094041752	0.902007266971809	0.827796837479819	0.663673829356952	0.791679947574052	0.895163960249273	0.771050450000566	0.835495258063983	0.718797217695251	0.774380226408298	0.774077560251188	0.836899112174314	0.696007662416411	0.886500273573026	0.573700406446696	0.784643119784334	0.735731480738045	0.709262275244647	0.830025145022685	0.75996202588517	0.801428787303152	0.759657528419275	0.756164817422213	0.78238542917145	0.757326560570253	0.756384752522042	0.776815676854152	0.860042343489903	0.774693661323673	0.853423822522049	0.872372021756012	0.876075890053144	0.905303213607747	0.80460699646624	0.808819723721564	0.789776972067335	0.849127937056167	0.647612594929712	0.844410063258598	0.793321317184146	0.800122569247551	0.755305576344254	0.785346290677449	0.762773927398717	0.746841805990284	0.765836185252492	0.743776015888486	0.831338978723266	0.85912491862118	0.784850459284346	0.815762849410585	0.670461898142759	0.84136730686791	0.806536442903881	0.721297716435694	0.795251113508336	0.75617121757472	0.726023238109336	0.755371302934597	0.79002890916028	0.746628360531977	0.789585997320051	0.73748917258875	0.719843451454453	0.778428749210733	0.75934666853847	0.859615429796517
