"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SAMPLE-1"	0.838593287741084	0.842312254308815	0.913779436733078	0.79462265366288	0.888444589273655	0.908702875038356	0.893036270592584	0.850445491493647	0.854035588507037	0.776488717300465	0.798357648299907	0.932789128228432	0.791929017245564	0.884928923731858	0.951352368037515	0.833145670939443	0.579101944517336	0.864418772053584	0.871351360804768	0.851578815977572	0.912071684958235	0.768582707542996	0.842792351841379	0.884304521623544	0.915590908691281	0.876323626628873	0.959880158551967	0.599637716213499	0.886420146526282	0.753134177523768	0.754621702025611	0.870650300062038	0.808118946242399	0.881525680448793	0.783740240181782	0.872820905673213	0.801833584440448	0.765283149365541	0.795799706236063	0.861579380916787	0.946952270595189	0.786203827987102	0.956347088183284	0.940854630518339	0.949127755760099	0.960255562205001	0.864619591703571	0.883184311198209	0.925223653633964	0.891197117537766	0.588731792298881	0.906091372973417	0.846769684516924	0.85427705321889	0.858768098113689	0.828973373717456	0.898228941479001	0.780108956594561	0.818555260682003	0.767537015601928	0.917680822960706	0.841203751421938	0.799874614160669	0.889078827043306	0.745387197910697	0.913707721869647	0.867699998463506	0.87848527202399	0.840690064870229	0.934225458503063	0.776589760037511	0.943026731018499	0.841347216646428	0.779379525699002	0.797958535337654	0.75349835868286	0.88268991691532	0.791174212820517	0.864690771642862	0.938233472997466
"SAMPLE-2"	0.848825160750045	0.858941572480558	0.963196697568767	0.79462265366288	0.914082328752137	0.910365229593729	0.962899395980236	0.960117945260698	0.88678327019229	0.776553750057568	0.774361165898034	0.827620250353799	0.865802959755699	0.941615932679119	0.905429982488866	0.833364770894587	0.806396276989528	0.872427266394938	0.922487940227561	0.894900703507118	0.945799446373756	0.874409945672095	0.906128882278654	0.932551829103111	0.95281354868421	0.910386723274607	0.906761260912176	0.866324039381595	0.91907663030528	0.757045442419415	0.833240015236436	0.904304919483454	0.855070102096172	0.883153995763533	0.878418222413056	0.948154362432951	0.802492816124702	0.765609439551812	0.915186305214117	0.769878308957767	0.910874103619811	0.786536600734383	0.885829497572333	0.985333075939518	0.986371807031712	0.908681951314096	0.898121649017254	0.943204030099732	0.957284758761625	0.825196052244404	0.814149340587959	0.965059724650562	0.889970535793557	0.874176139921115	0.919363019676738	0.86367107533299	0.951987607571789	0.874204177124836	0.818911621091477	0.895231269685022	0.95677856373154	0.620133587345138	0.800305403377614	0.918502746603822	0.88664992490238	0.9541834564771	0.913044953375224	0.917837159548331	0.841740920821561	0.953940265522362	0.91312954383328	0.973375678054133	0.922693462799172	0.873030616684364	0.79820156889457	0.901079558310549	0.92653690789233	0.791671646976101	0.919123552458151	0.973553922488115
"SAMPLE-3"	0.766591718116505	0.810665327456815	0.878528822240719	0.79462265366288	0.819687165943483	0.903903687931684	0.850639331924578	0.798262378941467	0.817075068631185	0.775377678866188	0.777699605698442	0.817651509735302	0.753630550169557	0.823624957011445	0.887789216835082	0.829373967242882	0.523392013976407	0.828971672540179	0.918800266424583	0.797023476853388	0.862167794211678	0.733892770344952	0.80689351363324	0.824884817948208	0.862963827574497	0.595940879944584	0.876208303166009	0.35277700294954	0.81619198040829	0.740895346926511	0.716871281233443	0.828646385122144	0.768667713889377	0.824040052905704	0.768626684815833	0.78435231533191	0.794580546840732	0.75967074404505	0.768277895257966	0.743301363494203	0.823845113263421	0.785190860972786	0.866512888388333	0.895332336607104	0.899705065418452	0.889050777734672	0.823953728163672	0.836469626139853	0.780623509979771	0.780315424120385	0.508869640081191	0.87141230518451	0.810196535948412	0.817340903276966	0.787160918561609	0.798847280071199	0.842595781410772	0.777649553069816	0.776438697438557	0.750746313766051	0.894045204158879	0.778178766480732	0.798562009215158	0.849456335094623	0.637795197825166	0.866237447239913	0.826315907846585	0.766687792202447	0.832898592640237	0.795022549039906	0.722661453037909	0.761274155222607	0.806087833188536	0.779028436612545	0.797219086837246	0.742076870069751	0.766814939962116	0.783255436795064	0.792348528553563	0.895113082540096
"SAMPLE-4"	0.741178512550625	0.758745998323136	0.794223570333613	0.79462265366288	0.881045375365194	0.91038842665799	0.346272293366919	0.244296976848026	0.756213972035433	0.773767533635922	0.749473074658205	0.845950560465687	0.748929057959362	0.842362524595634	0.829839838379172	0.823812440085168	0.675220382579087	0.766323516299834	0.919273991522248	0.710885173141139	0.759123669030572	0.69257007640431	0.768241841500042	0.786611500956295	0.789858920488489	0.520021569007855	0.851115608160474	0.605301808356425	0.788091004964452	0.722867423947092	0.763332306687149	0.739548192172607	0.756252946221202	0.794707984859415	0.694901736104448	0.649983557314678	0.790700392429322	0.751411624728746	0.742029192223018	0.500128315705112	0.737008249972246	0.791173761815154	0.870653841743225	0.212732738263557	0.188439112423175	0.842225232495715	0.754416854719158	0.878782478326529	0.57677438001533	0.7456134103325	0.684721305972963	0.83551047332919	0.752456821118071	0.754465861268932	0.71375100127489	0.753005092117001	0.855377305185977	0.810487693800383	0.803222399968529	0.741825231065276	0.896886365829825	0.411643297874524	0.806286526388388	0.790297983637762	0.730427508554974	0.776827265904743	0.757184711046176	0.74274296633795	0.855920748523269	0.700371467820791	0.445691877939538	0.739945402989489	0.758674896967184	0.816014307852578	0.801594287592821	0.704663192215359	0.750980504766094	0.772609124738725	0.710063790532585	0.811636478637665
"SAMPLE-5"	0.760343342644726	0.784629396631151	0.782947688346404	0.79462265366288	0.905340412915017	0.873898975116663	0.303863922686257	0.220392559563118	0.806867570811713	0.773975388602286	0.739658444942869	0.827466495977022	0.837375618436888	0.912480379385866	0.7984280158263	0.82453671938963	0.559900848097478	0.783657654420224	0.939265784163843	0.785070422171778	0.843180587330379	0.817759013675201	0.848023190905055	0.870477267461311	0.874628098361749	0.880330900332174	0.79417465359732	0.46057200141	0.857871399172943	0.728364763063827	0.832913981102077	0.811860165049956	0.816634092496392	0.802699843702395	0.824479754629479	0.835911055846173	0.788495615052149	0.752486033976369	0.879963902858163	0.434834089025042	0.805627017133233	0.787487633632464	0.761881258361535	0.154978659854088	0.122190099677259	0.784065259257774	0.810460221040804	0.922524593066056	0.837470336306568	0.790278933730215	0.569456279162272	0.904471348810136	0.815786461703358	0.787680497707933	0.821926301127809	0.799240664431728	0.865834227218683	0.848448189762674	0.804422538282532	0.872260933863631	0.916396564485335	0.313345416200556	0.801535409958824	0.8372768554096	0.746162508927158	0.871940860817395	0.832360544645653	0.818007426765785	0.844719624405591	0.757527886590385	0.520519460357125	0.935617598722983	0.870561485541125	0.850890643176967	0.798896452517976	0.849107317828686	0.834754740089333	0.773546329454181	0.812659868094547	0.908210460308661
"SAMPLE-6"	0.779969716486187	0.793680204523323	0.829018376741033	0.79462265366288	0.888261435600032	0.875884464467759	0.300356159024358	0.182305880238575	0.80198589720936	0.77469038492796	0.75698060531094	0.925236421769832	0.783384822902544	0.884546935293656	0.911384494432412	0.827013817357986	0.459769167862189	0.805761464638471	0.932771285894881	0.778674405773108	0.838000849514615	0.74672612905126	0.808353612963928	0.823342144006146	0.857519967960941	0.856210092641557	0.924523668343706	0.376900121464068	0.846823284559219	0.733995520755425	0.776720090334921	0.824675435291726	0.790243860040177	0.828425633554741	0.760993533953384	0.776092624524826	0.791730949113688	0.756163309117295	0.794110406988848	0.494223852268998	0.903596199066426	0.786451329897688	0.883766864031747	0.174454518909618	0.15264974052523	0.922746441015226	0.806476262956911	0.906094560644605	0.804679422453011	0.881857551735628	0.468462222031129	0.889024589177066	0.799474536993847	0.797400460821106	0.790776740310781	0.789162825955494	0.848926841387749	0.82206510549592	0.808514398545343	0.782640454634596	0.909315283620249	0.437782110259395	0.80019503625164	0.83361508843411	0.661937338911552	0.851446234420453	0.813678600765868	0.809778147812845	0.841472069907118	0.788456679480685	0.398656538918448	0.908728156459214	0.813486534941482	0.824692363056186	0.798139287683281	0.734912714714756	0.818510373382948	0.778549394359273	0.789886243661288	0.882635997573016
"SAMPLE-7"	0.804491120059357	0.821544415569465	0.933665553733571	0.79462265366288	0.910068257311541	0.92564963649302	0.940846900803645	0.945902841856267	0.847624596390546	0.775152516791249	0.775287106098768	0.897795006219075	0.85446259942291	0.914994084909839	0.924961877539971	0.828603033233256	0.553676042102543	0.828721326050148	0.9011908489894	0.843036754898807	0.901886295275756	0.845710608898637	0.880652882022627	0.92236872366465	0.918837174959388	0.616916219926968	0.948444946823107	0.48102103944891	0.886510617427583	0.741689008311597	0.83306256285922	0.903141334707196	0.829203762511703	0.843618919847152	0.850967595400309	0.904763094235989	0.797737262489563	0.758524658678317	0.897356235174312	0.80905398874337	0.866755015733206	0.790126576749713	0.95272131264458	0.968196430170691	0.967982552197573	0.948902379251362	0.856016416736699	0.94514310769944	0.897968515466694	0.884106987385628	0.563200692528473	0.939956826733455	0.853517631249414	0.831570628041135	0.874503270182294	0.831062966028288	0.960346247343466	0.864850982364478	0.811129001699542	0.883215785780323	0.943990121615078	0.670850859644905	0.804939450321236	0.883499018716564	0.775579187359944	0.918900749398354	0.874748981202473	0.871873465901706	0.852794303880061	0.903903581925358	0.901144682703911	0.884246627298281	0.897266862581368	0.865989218988978	0.800827123750534	0.893376256158171	0.884576528839016	0.782402891742343	0.870581904306776	0.948838365390946
"SAMPLE-8"	0.790837260714921	0.802988072647397	0.841334380324097	0.79462265366288	0.889783512965413	0.898329698709335	0.562097257124613	0.441590742377947	0.812913722038034	0.774983031550253	0.801334784758313	0.883884217480591	0.788543371096483	0.856791862313659	0.916823293042537	0.828021274026585	0.680515143905152	0.816759785195493	0.858290429555338	0.793906971735828	0.855102995440729	0.755569358030738	0.819917263186932	0.880651879961124	0.871387861249574	0.86065417426682	0.933820466069857	0.711859864526685	0.844807321059786	0.737294988583659	0.776479907433416	0.840501618265429	0.795296108856081	0.838175623443981	0.781311669033737	0.817850358935182	0.794863468318567	0.757660056427428	0.800635447400576	0.801201363588707	0.918002300881168	0.788028350958302	0.920839064283856	0.499568480100684	0.471875638101058	0.938380155696866	0.818801659099083	0.891050954388762	0.915291855286	0.895651304513843	0.689982884305917	0.880727220404434	0.810005854924318	0.80856548224353	0.806909161682139	0.797650353248687	0.927731922979637	0.802118090508704	0.810172856998172	0.786393553892421	0.907823774544742	0.757770109896772	0.802233977736078	0.847616681075423	0.77055495619524	0.866516731788229	0.825986708500111	0.824965767758362	0.846396964015864	0.845428861016231	0.530529078036292	0.91618955090649	0.822755814110147	0.804403846138167	0.799291744910124	0.756962530357319	0.833177776932633	0.780880055446814	0.807139739956934	0.898431611203891
"SAMPLE-9"	0.805509136473508	0.812082709505014	0.893928905316748	0.79462265366288	0.880738596815546	0.898942339474966	0.567712449020385	0.41500926614125	0.816115772056605	0.775504029609879	0.768727247586631	0.927388947686927	0.759640771341233	0.878183267277005	0.937752923077113	0.8298056122157	0.586740481761121	0.832329094462877	0.930199574199079	0.799536031399553	0.861159365116536	0.718613750835761	0.802844677277485	0.818755316579795	0.869885784444056	0.549530466027142	0.950189453844857	0.547331172455514	0.845452798944102	0.741858530720869	0.742607628177563	0.839890911576299	0.776976900321598	0.85444071212801	0.734811279963142	0.776197972050637	0.797370746721293	0.760312600337521	0.746763997762092	0.652901635383426	0.889661364475105	0.787487205056456	0.957200402072485	0.53172899835189	0.525967275227069	0.952148725086532	0.823146139025394	0.900688834463648	0.735081243679737	0.85715983449261	0.596391139883581	0.898954254746745	0.807129198509816	0.818826302750637	0.799051520286086	0.796948707851155	0.874711245619954	0.815651914436306	0.813101876610526	0.728299870409895	0.91964895372234	0.697492915335548	0.801534856049804	0.851851177455672	0.714253883458351	0.863862209452437	0.822809440984156	0.828667359234537	0.844718290268541	0.836958449799166	0.486890124777853	0.789760442579115	0.793372617087971	0.817864754365861	0.798896139267526	0.685088201488906	0.832565451297631	0.784490384820583	0.80449479243569	0.892495528449801
"SAMPLE-10"	0.791981469155073	0.803978910323765	0.917062300035911	0.79462265366288	0.890049376822244	0.919029388652872	0.868747234681031	0.848770608178194	0.81409106875939	0.77501418579625	0.802104548958923	0.861054503892147	0.78918324328833	0.857943454800932	0.854627106204018	0.828128305060261	0.63072963443729	0.817910239885432	0.868081080056193	0.796261711612883	0.856892678497137	0.756631398852869	0.821633464986273	0.876660118157901	0.872860228311972	0.509544699108397	0.828008515931054	0.537071642621126	0.858741245142494	0.737648176160384	0.776537453646806	0.786984962936101	0.788274285255039	0.839187314621027	0.78276118249932	0.820043700638923	0.795472260955937	0.757819108018662	0.801479672909227	0.791044312795134	0.743283874988179	0.788501562888792	0.828327712270199	0.908166527796246	0.908579166686389	0.817067250333738	0.820122037372822	0.882790486243381	0.865019698672465	0.659058794886683	0.640398532394359	0.902386755831761	0.811157540662126	0.809749988832563	0.80866298805665	0.798579825080712	0.959525110402984	0.829400751818406	0.810348851730239	0.786946983027415	0.92172509087573	0.729643278681408	0.802844877569767	0.849480764984643	0.750358236790062	0.868116551127679	0.827322808947465	0.826584114296171	0.847855239739802	0.86996906537152	0.768056911261453	0.791916585074288	0.823835658743903	0.831837854684268	0.799637813687742	0.786908746392035	0.834749992644832	0.78117360205113	0.808996500209965	0.900339365014991
