"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR13357893"	0.97860154677108	0.975727454747013	0.998781062372784	0.79462265366288	0.936669377820442	0.681240347831641	0.99858698734106	0.996745076623518	0.987476380351726	0.785846366066641	0.749914161322248	0.99240057106582	0.951898955391543	0.99596698186451	0.998789960720556	0.862766612217217	0.598377521758839	0.986039134408459	0.986243654989348	0.994787066602287	0.999242493720262	0.972200102170382	0.98285017023662	0.973655506578455	0.99900340747174	0.90868515842191	0.996810118673743	0.812250580131319	0.995408561676496	0.844017447037542	0.834433538236901	0.995057438649224	0.943116987167891	0.986591340732957	0.969847167823349	0.999318616152409	0.829837139934191	0.809593067302148	0.978097834449233	0.732523984020449	0.997375161527812	0.757583365264031	0.987518793995996	0.999928710820699	0.99997047648227	0.997958796373972	0.992114733832605	0.986290673936774	0.996299025440292	0.944977470538965	0.608050039639658	0.999203068006919	0.986661525395796	0.985846559535563	0.996846648909262	0.972158692570548	0.811229759959675	0.921136749225395	0.864991550723947	0.951161675979599	0.991375968604439	0.837220171799441	0.762107642962363	0.993714078997586	0.932095093270168	0.999210893339065	0.993958905245949	0.996853416969741	0.734410560998481	0.998936526609983	0.986733145152957	0.994101350840822	0.989918781193743	0.909301519935997	0.777247866562558	0.941213447465375	0.997258120920343	0.846233315293074	0.997449961563974	0.999725640128842
"SRR13358121"	0.922782725667744	0.911670050479859	0.982211785427462	0.79462265366288	0.852814566857384	0.681240347831641	0.873319870878823	0.656352665429057	0.915075010984682	0.780631036751303	0.749914161322248	0.97267874369764	0.718670097421395	0.897806258895051	0.98928623239054	0.846731565429773	0.573346133104278	0.942890810142225	0.905215126108139	0.929930084279427	0.971304445550643	0.696368371258996	0.813459187496977	0.645446455544598	0.961799323933879	0.768056523496787	0.976172433866505	0.677501035291949	0.941879026136413	0.791418237051569	0.600134031922928	0.893069574461332	0.802825242838561	0.95313997714017	0.629042056638803	0.908916501156588	0.801367849244793	0.785563646151948	0.619860055623357	0.601926653376212	0.983519494014388	0.757583365264031	0.962791892650873	0.954389760032829	0.974004995111679	0.981231730070166	0.929375078964978	0.821257941956938	0.790032082244244	0.828685883534667	0.582956966344192	0.966566107937165	0.895111013590109	0.928134924167948	0.914751900617302	0.875687495311864	0.394874441238089	0.763703194740581	0.840311038323855	0.538386101766958	0.913774831900304	0.831859459834981	0.762107642962363	0.932564256422817	0.710617219099808	0.961273372112838	0.918754943627519	0.945001582404887	0.734410560998481	0.978493369906645	0.555610289080346	0.885813032545053	0.80464190483603	0.751556383100624	0.777247866562558	0.437734954814597	0.941061694712304	0.814928651661258	0.930811526310791	0.965937251329862
"SRR13358010"	0.79853627756683	0.836006739397146	0.918765405108556	0.79462265366288	0.869014984946275	0.681240347831641	0.950034797472842	0.952396339884382	0.863049333386586	0.775664095798264	0.749914161322248	0.881371631861997	0.861429664778705	0.895781215249685	0.915430184901138	0.83035143752069	0.806396276989528	0.815551973897628	0.899748740804347	0.86251381923362	0.920711036116419	0.856748970219222	0.858994306965109	0.827601204919076	0.929249090658204	0.84680010530857	0.90445692910945	0.843568534657423	0.891472477277054	0.747360107131089	0.812892470837174	0.90872628066353	0.835060027052798	0.841524800931015	0.861024378424398	0.925992053887536	0.771584236788788	0.761124410135711	0.904211917260304	0.711170986131312	0.910215005513109	0.757583365264031	0.857018900799265	0.975977052390346	0.975484708503821	0.919701926881908	0.872829355429349	0.901476607195373	0.907296451006996	0.890328157577241	0.803667137679961	0.943276971891109	0.867844669187964	0.848301221699111	0.885227837180488	0.84361777397534	0.754957347847149	0.824227430657237	0.789124042097676	0.887729014078531	0.854539937496781	0.826711735466979	0.762107642962363	0.866813121845263	0.832234966075351	0.933434526100973	0.890150875615564	0.860122410074588	0.729795159364259	0.90156649438413	0.890282034380099	0.907421215440501	0.907297587342137	0.818601112020528	0.777247866562558	0.896244074944684	0.870941408491245	0.781340879557822	0.883339302818529	0.946953199540521
"SRR13357899"	0.881633221307285	0.887033912857453	0.965163281821608	0.79462265366288	0.912743313954515	0.681240347831641	0.975908018965292	0.972529750420688	0.914464727495382	0.777822260683306	0.749914161322248	0.962151153231177	0.887897786619856	0.958836648887379	0.976859027943646	0.837601471804787	0.806396276989528	0.903536846104705	0.938113897658143	0.928292176669531	0.968994025007905	0.896411530588238	0.90694586853633	0.887389407707832	0.971568012430415	0.862085168304347	0.977939733956685	0.90084212296733	0.949939419968879	0.770458363259044	0.833401213415681	0.953869442960273	0.871483516744422	0.911269837860559	0.897372832916526	0.972470392031479	0.78483902417326	0.771924220870144	0.928907574369754	0.772717297342155	0.968720948274598	0.757583365264031	0.956376067088424	0.992803910138097	0.994075958598987	0.980009021403519	0.926536792608394	0.948878013082824	0.951404192886093	0.935879745400786	0.814149340587959	0.976234356617445	0.915955334041668	0.904560835442838	0.946916091658582	0.888556575291926	0.776602058147487	0.850200037773358	0.825768295571558	0.90519422772433	0.916274282042866	0.835246001635953	0.762107642962363	0.926926091250925	0.886973477124588	0.973132694130546	0.938319356699901	0.946036308369047	0.734410560998481	0.971929683110859	0.934904731969831	0.958838745586129	0.94066809027603	0.842092758307699	0.777247866562558	0.907648899785552	0.95200972081268	0.796382904875404	0.948203025338333	0.981919971365217
"SRR13357647"	0.895187781739758	0.885153464704664	0.961150043685615	0.79462265366288	0.850503347435964	0.681240347831641	0.827880853911902	0.618215921825425	0.885126038127502	0.779089040204275	0.749914161322248	0.962335144470841	0.702777867699147	0.86330997200621	0.979754462365965	0.84176205248222	0.806396276989528	0.918887169078785	0.88363144622247	0.894077527566696	0.947319493552845	0.664939743318991	0.773801043338165	0.606060829603018	0.935856317371968	0.135786142445939	0.965501360876186	0.864634076331305	0.915893221978668	0.776473181764416	0.619109123541723	0.856046667266965	0.770445770986925	0.93318449128178	0.603532914233715	0.853353782604951	0.792395858235688	0.77813482393965	0.604206635427914	0.61146136044221	0.915183175952472	0.757583365264031	0.951887340962117	0.916321881421037	0.9416617566753	0.967674381406335	0.899243173113121	0.799054489837188	0.510180434602048	0.672100478544761	0.814149340587959	0.943480692070439	0.862901688450116	0.900549665080226	0.872757654585594	0.847233307113621	0.413416974226274	0.748388661308338	0.832436248212864	0.543848222519797	0.875514085949725	0.830265720177158	0.762107642962363	0.900090464188001	0.795088528901969	0.933490848575216	0.885596554764184	0.913745239599725	0.734410560998481	0.944269121280138	0.476208480091824	0.497408257482685	0.768646987672599	0.738714236462151	0.777247866562558	0.459701533117077	0.908687064687802	0.80489260278126	0.891570441735517	0.936064871831365
"SRR13358145"	0.873205010317936	0.897699527116083	0.970462782425171	0.79462265366288	0.73930101011813	0.681240347831641	0.891242719921696	0.750107433348692	0.904222491343282	0.779534496188006	0.749914161322248	0.892875983287056	0.751736301624396	0.799876431876499	0.967195621727894	0.843208374570277	0.806396276989528	0.891437211683723	0.880414984146333	0.915011034216994	0.963068485287054	0.732734247992621	0.820141423962351	0.669992435243345	0.949206225865075	0.228173317879223	0.896675754245758	0.804689525567094	0.902688987753473	0.782003361402124	0.584124391177933	0.895521249027965	0.779024412685892	0.919485371620274	0.684857407784192	0.899993505712089	0.795013392165867	0.780295763758255	0.696647238752915	0.604916291180109	0.903114476425114	0.757583365264031	0.8330552214992	0.957791170569123	0.971447908655659	0.935033158294949	0.918201775213019	0.751302624084108	0.666146858896128	0.640506512089896	0.790143878422637	0.961287246004541	0.887809468393128	0.914131734295331	0.892291555459054	0.867707709640147	0.439000004194955	0.775616950650807	0.780771389984989	0.630499083961381	0.900100225166651	0.834480695514535	0.762107642962363	0.920145843740333	0.764303684838334	0.954203867009169	0.911345194267626	0.883829493730849	0.724038763924957	0.898386411868766	0.599326367691909	0.468858054845882	0.827810680339557	0.765099444118964	0.777247866562558	0.557948303800556	0.873816468557556	0.80782830726102	0.908797564171358	0.960908847128998
"SRR13357892"	0.66239666881259	0.780905042274382	0.843364966978891	0.79462265366288	0.746372828409548	0.681240347831641	0.910407901948919	0.925757324914003	0.80265696387283	0.773864981575404	0.749914161322248	0.555513614291397	0.83569617398828	0.706644313209627	0.684101336525221	0.824152235062318	0.806396276989528	0.7790284290948	0.8354453194135	0.772244145962615	0.836428207289282	0.814950906275355	0.804723966239965	0.756408223660784	0.846619216636086	0.833109697589514	0.515702437310213	0.716475669637187	0.765140916157051	0.727095732453495	0.765940163109872	0.838117444207347	0.788030601582556	0.722514034336506	0.823231698123232	0.832622560776368	0.760175972272873	0.751915637631107	0.878211838602563	0.664962777266199	0.73598712094266	0.757583365264031	0.450510789730926	0.9365312590213	0.934564829642069	0.633022197981358	0.805675663183303	0.781154143381837	0.846406280071414	0.773707757780048	0.781072501703824	0.887160273951767	0.811895146508779	0.783172067659926	0.778146543165413	0.796043379698297	0.720662037124945	0.800128570012447	0.718370201245875	0.871191836257492	0.778215449880943	0.824837107174162	0.762107642962363	0.789221771694472	0.735729825723817	0.86343385698405	0.82785708349107	0.648059683937217	0.720288970419165	0.637826926984187	0.906218385410782	0.760501781882462	0.867780451018368	0.797148411523425	0.777247866562558	0.88587003661823	0.656128251719026	0.768285829093436	0.769561546916147	0.876571510807302
"SRR13357761"	0.660362987148725	0.744827682394227	0.770687727822544	0.79462265366288	0.753710914046507	0.681240347831641	0.740530980693546	0.714487554513989	0.735936878993022	0.773462678145356	0.749914161322248	0.658340573322977	0.728880725534089	0.59507590234496	0.70597996880786	0.822746766719135	0.806396276989528	0.751462233170861	0.776805754339366	0.674789484056655	0.721209197717231	0.66214160773303	0.679252832363517	0.571593290504347	0.730715003664172	0.389303535830599	0.593497744092636	0.709598147529595	0.697584048695267	0.718892914939323	0.695135938084125	0.706311759905961	0.719684472435697	0.729705632355146	0.649972841363426	0.604946084442963	0.757581276533619	0.74983145041921	0.708854592370572	0.632739447408771	0.602866719396545	0.757583365264031	0.587175330720071	0.738527108827387	0.721191732946245	0.649865665331483	0.731188940456318	0.67383194988156	0.497363189342112	0.636861054707933	0.791933121582768	0.780080526783409	0.730457492918294	0.73696820203327	0.639425465550171	0.736778033721987	0.570686751668318	0.734789891953613	0.744780141231349	0.714121292753141	0.686364921671977	0.824417194837175	0.762107642962363	0.705628447428838	0.677476601122832	0.73492329400525	0.730058871479974	0.579100161495353	0.724788534988444	0.561513259516049	0.653926110966361	0.409119334533765	0.727543040444488	0.73423318314105	0.777247866562558	0.714816893744235	0.5736725272908	0.765303594775258	0.637641033551651	0.709312559700683
"SRR13357693"	0.793736549389289	0.806969498323027	0.835759552793657	0.79462265366288	0.891457840048418	0.854213859981526	0.887303045467046	0.875947511514189	0.82061528855372	0.775018272635577	0.752068816959495	0.926620528986255	0.803885249896088	0.871162773775311	0.929131344790097	0.828142342341283	0.806396276989528	0.819301892418895	0.856771684940347	0.804204231024836	0.86617153239616	0.776938385919279	0.818182461601312	0.818197439870588	0.882906608733251	0.848493241660945	0.942721930551824	0.870143179584509	0.866293884585131	0.738213747469501	0.789309110202754	0.853402320983442	0.804128982066372	0.839319656413749	0.75891608338668	0.830136103713568	0.784755182053549	0.757839968424332	0.825259549294269	0.735382205897981	0.920164104573863	0.776643761207374	0.939230460215685	0.924921092588532	0.930187203862784	0.942019485213844	0.82712742303085	0.874551191654811	0.820882201404957	0.90301465552543	0.814149340587959	0.862091344478569	0.819822026872697	0.813547180226026	0.822968826905065	0.804997164376908	0.72419648635389	0.757885525014347	0.810371930869516	0.810515768240355	0.851136465284544	0.677793012107897	0.787412367347183	0.840874500640019	0.827143059368287	0.879378656627451	0.837250179932227	0.835741251313731	0.808615971838497	0.900621029072285	0.846073035349917	0.911481339769312	0.841156057005788	0.756851205208397	0.791000078123045	0.813838547228057	0.845211968936086	0.779434839108071	0.822066684032464	0.902200533876857
"SRR13357682"	0.679836175470078	0.742916709629508	0.797568436652874	0.79462265366288	0.674912417187203	0.681240347831641	0.425426680918785	0.261486180168263	0.694083659432141	0.774287540038902	0.749914161322248	0.780804217261875	0.555442923230222	0.391111077768838	0.844683639581504	0.82562089871813	0.806396276989528	0.773703778906527	0.692007707906338	0.613343377004803	0.646524010591411	0.435301475906254	0.521925063691413	0.326169955864155	0.613367623603951	0.697233095758539	0.754667904852379	0.790076847089349	0.618938283410044	0.723380083417379	0.527485201576374	0.605309654543301	0.643511673067519	0.766690223085147	0.380083465012462	0.328567138529308	0.762884244874635	0.754094998826566	0.384258903727012	0.54780977454316	0.85521528268727	0.757583365264031	0.736142069177863	0.362471368157657	0.386465462347971	0.813576792288409	0.686476701725944	0.487030897765308	0.327328782066163	0.771166081081786	0.79187663506646	0.667826891087664	0.657144091721388	0.731748471613327	0.492254506014225	0.690083176614609	0.325567311771079	0.647885801316826	0.750330469111725	0.400305158157205	0.62875534299019	0.825277877052828	0.762107642962363	0.659225536280466	0.573356834050992	0.603939953355984	0.638473878465437	0.500281859403079	0.724764811624606	0.573338207040402	0.29901040204777	0.448563167275285	0.498081705318101	0.648883261835396	0.777247866562558	0.346708733509715	0.465214579094665	0.77139359382079	0.515035272294438	0.516159655363557
