"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR39238554"	0.736878381076538	0.777010723216979	0.881374865376086	0.79462265366288	0.792161593078692	0.847243489366145	0.680815209070347	0.558720074291361	0.761173858857314	0.774728355717996	0.779459554412849	0.808276172330477	0.662201191622511	0.585600810680933	0.849921831731147	0.824302756626263	0.577281479516617	0.788674578590573	0.790391600621193	0.716010483861094	0.771753743660094	0.60581096410215	0.695996777425109	0.664359778267262	0.723570816774537	0.702033237775069	0.794121136836552	0.463663705071431	0.741598858713269	0.731361956550772	0.653893150318097	0.711021985841142	0.723842422714532	0.755736443392448	0.5983071612939	0.597888938931885	0.782074016061657	0.756357786647121	0.609529092483825	0.76414600536222	0.864099726418899	0.775607257660075	0.826954034217	0.704237854808118	0.709401231567057	0.834185460756338	0.76198007921761	0.699842058619755	0.71673779694998	0.752634219323936	0.566360248446851	0.815531239494991	0.743043416883392	0.775634808830225	0.668077564051741	0.749453902768613	0.784556092885158	0.753467490250195	0.725280309617431	0.606216814313643	0.831458118366796	0.835414667430852	0.786051490184334	0.773987225736333	0.579029026433287	0.762544531128892	0.746022785687686	0.677008226515859	0.792306863427077	0.72311743230583	0.502881864674887	0.648995273051118	0.681848082890647	0.755905933107303	0.790248260085779	0.577015232124513	0.666253537602396	0.777201030339564	0.679282197211571	0.762949156043492
"SRR39238457"	0.7835712702763	0.790750075341371	0.899198497829268	0.79462265366288	0.868692689379325	0.859432730972428	0.769335206473894	0.695575251204104	0.785480754994118	0.774957779404597	0.753480037716944	0.912806970098879	0.724025821014669	0.794087491011384	0.913916362228555	0.827934488753367	0.628406186205426	0.810921600531536	0.836468522986732	0.755028781868747	0.813101111554247	0.665520802232282	0.744163631256845	0.710579717752552	0.824503474043134	0.828907489910467	0.922981467322503	0.626713978355796	0.824399537225849	0.734993455412815	0.722093534197653	0.770196906928437	0.760778841651419	0.837351904760454	0.624231215718524	0.686498749308816	0.785073323236688	0.757531096146862	0.686319083384819	0.674073762885716	0.905813101805741	0.777394223102405	0.925992472932057	0.805156347539981	0.81312009869776	0.917325776377213	0.789059953480322	0.833872494643694	0.688042919250269	0.849172318959143	0.638078579046715	0.855244625915576	0.773001237492369	0.792892968277783	0.742453769824467	0.770998106780212	0.767108929637351	0.77824088844959	0.810030125022618	0.67602578564888	0.861912448061049	0.671895227136489	0.788396529366226	0.804409423683777	0.688592220305929	0.813323959461004	0.782427516001007	0.784970500285761	0.811264090231032	0.871612129510959	0.627204593606008	0.874121819519582	0.741313185411331	0.779904001339961	0.791544727234661	0.657309483793105	0.78653571778853	0.779111926390014	0.748802215929837	0.826101851947161
"SRR39238553"	0.810010482356154	0.821080601065362	0.860463010078946	0.79462265366288	0.892111560337781	0.799856605141859	0.903959411026695	0.890910014049991	0.837103715684437	0.775476360304751	0.770538114055893	0.907311858075195	0.813325755497667	0.897713571434379	0.926059668669015	0.829711146657194	0.806396276989528	0.835543060092602	0.89966566760369	0.827873205186099	0.889431189731894	0.792203508284496	0.824526247607567	0.827199056479894	0.901950944491589	0.863884815419194	0.947006834156528	0.87161883914462	0.874573902681138	0.743393714319106	0.790736821036635	0.863639922741233	0.812727847439864	0.853611494141042	0.811010821531316	0.870274538523532	0.78112252263104	0.760172119976564	0.837275797856737	0.784031987776264	0.92308638021463	0.769546832411281	0.899774682037184	0.942303332009975	0.945712969463352	0.943273954636945	0.84541348779369	0.880534330118768	0.882999828615859	0.890181382543716	0.814149340587959	0.887938882783175	0.83594077914157	0.830233715989248	0.846506971610884	0.818271053999243	0.758208778234158	0.762562623796277	0.812947079888124	0.818935465221118	0.841714913612996	0.774815564030073	0.778058200675818	0.851147559422397	0.830934201265844	0.899899869673375	0.85552202018395	0.857608827528981	0.782509493808466	0.916407516793715	0.834611251813554	0.934183383838421	0.855968444417	0.759058366931727	0.78586198288186	0.820653306488407	0.866273578345061	0.781678434708004	0.846942381035554	0.91727799231855
"SRR39238456"	0.876451730279061	0.87966781478242	0.946290897946443	0.79462265366288	0.901538667739735	0.681087379593463	0.959578878460017	0.94662579798282	0.902251499262357	0.777731851333745	0.749914161322248	0.951790652863997	0.857618600898418	0.947219580017049	0.969434761714053	0.837301844769817	0.806396276989528	0.899372316022664	0.93538001929207	0.913865539525796	0.960026622216452	0.85969630687002	0.880702710217548	0.843077265964629	0.961764500990608	0.85274916177837	0.967441024250656	0.894000913360633	0.93898215863402	0.76812392703867	0.800656576417897	0.929026899858459	0.852580923789654	0.909483618025115	0.862005049796157	0.955128172091221	0.784293333256139	0.771477303657224	0.890929992693915	0.746652081160299	0.960372915644311	0.757583365264031	0.942102090036813	0.985808844774267	0.988870962382984	0.968838858100274	0.914638203311477	0.918079215671482	0.921553250651973	0.899700628013479	0.814149340587959	0.96092339090918	0.900425734530322	0.896336410096038	0.929266301679036	0.874780718039792	0.648176380959616	0.805026518940009	0.82528555307679	0.86068521352075	0.887054210066286	0.842473100098397	0.762107642962363	0.914418984906778	0.867233509224805	0.962924560341187	0.923537933956592	0.933729723483378	0.734410560998481	0.966078926674221	0.901854562474122	0.949026454336238	0.915514861956926	0.795652315459127	0.777247866562558	0.85666272346744	0.938897435868374	0.79576648681835	0.932384357541333	0.972461821928619
"SRR39238532"	0.80823551783727	0.812484306871616	0.841765471706536	0.79462265366288	0.866545889956808	0.681013989134919	0.792724517002167	0.723645652485419	0.812341866776478	0.775644080489513	0.745348997616246	0.940108022640307	0.739117232702445	0.71108210471997	0.936273006559488	0.83028324651499	0.806396276989528	0.835510491662527	0.886075978373446	0.793391534794265	0.856170087898589	0.691079714284142	0.738219147613686	0.604564414103902	0.861794738076434	0.476770733664779	0.946690726870935	0.873461437493827	0.852020464577259	0.742709394269376	0.72225022901221	0.79098672718152	0.774155277308024	0.85857932094374	0.688373528843424	0.766250303678285	0.771459094726325	0.761022979021137	0.70810592930525	0.705822785252805	0.926813956506193	0.757583365264031	0.92064319960695	0.858913167000318	0.871913684714114	0.940295359417895	0.819353338302205	0.725644502063709	0.70416855804977	0.863190868915803	0.814149340587959	0.843216360694817	0.799922823039274	0.818989960170877	0.785780961620854	0.792112857815296	0.436196295560615	0.703432642151781	0.813884089120715	0.689024664087503	0.746939715236028	0.846767950480003	0.762107642962363	0.808495643584177	0.778193681701239	0.854405084169209	0.814480162083464	0.823080726193565	0.70333748486919	0.831441183234639	0.661240581676518	0.636567759132945	0.769546881829499	0.697811431018348	0.777247866562558	0.666532041457554	0.824609718569813	0.781198198095161	0.793933056937353	0.849579459487559
"SRR39238521"	0.804587058142456	0.809297038002413	0.855163032141833	0.79462265366288	0.866156665494987	0.681083099640195	0.796750683979113	0.724217535121792	0.808515776144283	0.775537484327245	0.747904071091369	0.954081800509935	0.737265449345498	0.777684151594866	0.954460479014877	0.82991978510869	0.806396276989528	0.83189443644797	0.868667412135471	0.788119014921631	0.850316325915503	0.687813486874967	0.734185148812185	0.6279226910557	0.856765161456793	0.666290136627548	0.967056860096183	0.883321650320211	0.848186387184144	0.74153305421005	0.72262116766912	0.826356303759928	0.772346768166655	0.855438200134041	0.675478193880144	0.75820783742727	0.770791943070073	0.760482395080578	0.70562936833979	0.751532047580779	0.94504851629881	0.757583365264031	0.946682808526813	0.85217467271285	0.865320661289423	0.964919130609113	0.815062837744839	0.792398330200515	0.6994236685345	0.913820371556574	0.814149340587959	0.849234291640167	0.796141305092542	0.815201932958918	0.77983171212432	0.789100083485831	0.476434823012965	0.716845281873326	0.813288926292653	0.687847593250094	0.754261105538725	0.846676234012564	0.762107642962363	0.803560497991175	0.775953744112183	0.848888490571344	0.810030015780388	0.817773754334757	0.720941468891847	0.868408136567067	0.662654382178969	0.766400266103536	0.76588379117595	0.711828661282795	0.777247866562558	0.666090112904573	0.819358905303735	0.780437338914255	0.787705778065729	0.8428988290412
"SRR39238498"	0.320808593280864	0.322761515780979	0.260047677829069	0.0854370093265831	0.00487349808713084	0.21464409555157	0.115334785316258	0.0912642490236813	0.286685753763741	0.22426134420007	0.256764022371051	0.0200983606865282	0.109191024254844	0.0159763063100011	0.0936990287292528	0.016989680075826	0.024011691480972	0.28664912611778	0.0140148114387074	0.411903754404197	0.101843729853964	0.274759735392218	0.179832559203981	0.12252753711125	0.0439456928413752	0.240909005022045	0.0159427568940086	0.0200920443941652	0.0608011936199185	0.31777120973824	0.0886862047617277	0.160491078258977	0.0474224595299384	0.109876181806582	0.124718264807108	0.204504953300256	0.17478217529072	0.118908940863573	0.139056651984292	0.0215415795756336	0.102707097941007	0.19896749066804	0.00869275693871889	0.0901242934286244	0.0992482797437198	0.0326125800126556	0.239746496850308	0.0219926366111458	0.174001745915925	0.070117513789473	0.0128372431968109	0.0508028670461424	0.203508138707786	0.271392661223916	0.261353986931644	0.226832542397407	0.154177308191874	0.221950402000435	0.0801883804809737	0.1418532216521	0.233152777373208	0.019831815671881	0.165261435278326	0.243002478631295	0.0532276646003635	0.108147439839676	0.189481205461243	0.159285640772685	0.155850535627726	0.0230166709937899	0.118902515716389	0.0257004740952302	0.163722206050568	0.222627499452151	0.166844513300488	0.110817849761388	0.125332719234398	0.204168277909558	0.284567714487193	0.0874273336960731
"SRR39238471"	0.70466266695327	0.771032895629653	0.849281591145656	0.782569496210093	0.571621799858266	0.718690537120782	0.710178848194841	0.612804064694288	0.744366845574794	0.759745315403686	0.764289682605942	0.734224272210653	0.526749389929934	0.436271595292717	0.839724883733036	0.65723379064193	0.733647416950296	0.731256862494922	0.701408259304206	0.723221185626484	0.636498293368938	0.621231375791872	0.639508822810088	0.538129615763818	0.578046799223462	0.760820919670531	0.742827787354658	0.77689227485556	0.633783237080754	0.711230254262839	0.580749498914514	0.677967965705546	0.655478092475204	0.779474718199834	0.538676415696751	0.567424607808982	0.759058043599216	0.756745844483221	0.629208042891462	0.618969559538176	0.849901015215322	0.760634245738854	0.694705407123036	0.735622519273623	0.747165604016671	0.805545500713008	0.745881795487152	0.553921662574203	0.587848007708141	0.782526296924926	0.709139196882322	0.645866595219527	0.71383581812747	0.771110385072368	0.657820034666147	0.732187862573607	0.627667590270239	0.724031471261869	0.743046894712718	0.623779388055132	0.745788952240207	0.795525071099211	0.752943176083589	0.738169842828763	0.583611112641539	0.684231997813608	0.708452552012408	0.612236019533519	0.73706020362173	0.58009528560954	0.561121248136759	0.554073472628745	0.697642817662479	0.72453346689929	0.768844435443154	0.596970016026492	0.582986080924022	0.772511219906348	0.674909255903776	0.63985142170872
"SRR39238492"	0.489511165197479	0.485795019015023	0.406204508436307	0.236231979706288	0.149994321837369	0.257092987237951	0.281098996083174	0.245675108185565	0.475707492500736	0.398272738084167	0.374744963503546	0.236926758627245	0.397685532330559	0.227363102454665	0.38504752435874	0.18635766552829	0.20726588802138	0.527486172835057	0.126707457281237	0.504211951139337	0.376548019767678	0.40376196722705	0.354134233065471	0.238781411663063	0.330154142667717	0.585752258797431	0.286711619365068	0.235655458343469	0.304657027268281	0.468311218036727	0.340303873132515	0.437237535614072	0.201659157716025	0.318778760169981	0.279679870769809	0.388150754167526	0.330867406155217	0.257020859822537	0.320336653804958	0.0952746862807571	0.405814554548059	0.339682696066704	0.169001084719358	0.239409915361699	0.244923111578641	0.346084828713906	0.42679513830037	0.243589722125492	0.282946858384133	0.405798378743607	0.158154815126824	0.304816547967097	0.403923133425244	0.432175719029174	0.418494277492202	0.412648282243802	0.143664671880472	0.366634829202383	0.283211231024175	0.32121064838818	0.314771476073007	0.111809607223361	0.318770710947847	0.394121049447628	0.283762888023516	0.358368350316535	0.404100040814356	0.378737106946765	0.282802839858831	0.282470071808183	0.274460297694858	0.351087373207402	0.342043313226575	0.363422569999613	0.344507336099091	0.288381855465278	0.356856525710653	0.358226859922835	0.427987455658239	0.309961932801056
"SRR39238481"	0.797927017870128	0.799717037470559	0.86323677787101	0.79462265366288	0.857461083648767	0.835068824580004	0.70662664448387	0.59069514171118	0.788484156507396	0.775457263074894	0.77466876322732	0.922198220530513	0.690153581956505	0.682180500850988	0.913950880371038	0.829645927477599	0.806396276989528	0.826175164124975	0.872655921650506	0.75897526938701	0.819610692654331	0.622132192430649	0.716814636958053	0.66541251221781	0.821889356494595	0.572031823320117	0.913250158457298	0.863838038594334	0.823892002460114	0.739364757427563	0.684089499165412	0.717124235398744	0.747853854698214	0.853036934159608	0.635424472273151	0.671438490566864	0.784948179643097	0.760075135373568	0.617305597157939	0.758067297239094	0.905591552980145	0.773943192374779	0.887678958590565	0.763495257355222	0.779907925927407	0.903999374395271	0.793304042365461	0.71243922739621	0.731416395311715	0.797955015280954	0.814149340587959	0.815024644740785	0.769295265649919	0.803135652333098	0.732211134139233	0.769867788027776	0.698817830487318	0.716829682364582	0.812840190234837	0.60424068501076	0.820779922096824	0.802200046751798	0.783862818393997	0.804588197304112	0.765163710911476	0.809118702496557	0.778146400751002	0.788526063315781	0.778667513112905	0.819583864566894	0.519154661345494	0.680723106316164	0.703489218410532	0.716971510465092	0.789042266334727	0.567449722488677	0.785102958298855	0.782172338032482	0.744830785076319	0.811995895974368
