"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR11292125"	0.74610122559057	0.800640437683321	0.853374769439254	0.79462265366288	0.860321093076908	0.886001709317844	0.92605347285127	0.93058874994367	0.824772186827781	0.7744661505268	0.791067723112046	0.835694335471016	0.830106749412405	0.877842248223134	0.866472611521591	0.826239352111154	0.575345348383693	0.803398051520005	0.9192288234757	0.807533232665844	0.870504406244497	0.829851660124027	0.854286844327359	0.901372156644672	0.887712057590264	0.890088612200526	0.886409886981993	0.469642427765345	0.838715869751793	0.733965886223969	0.807880220702311	0.878207640610552	0.814377340734112	0.794221213981598	0.874302281883004	0.87767994719111	0.786134032480446	0.755013164846514	0.887497263252863	0.851366802178836	0.876651554445136	0.781772874430851	0.86584771538284	0.953885666424754	0.951173671661561	0.898163532987803	0.830653340066137	0.896373617464365	0.939192673698245	0.892980776666886	0.564629575666598	0.889857472435234	0.83234471298493	0.806905322056074	0.832763616534963	0.813010156464212	0.917794269439221	0.805813043487705	0.775586027002319	0.876926106877783	0.886507378321315	0.858091527174702	0.794119007209684	0.849702056811524	0.719284894926127	0.892793885204565	0.851262071671829	0.790778463940264	0.822091608840567	0.836048726622314	0.889830730753691	0.925784658793933	0.882336942415996	0.806110634426063	0.794727839411032	0.8894267037382	0.804465127715765	0.776228479200849	0.826457633503933	0.92332060978053
"SRR11292126"	0.773589536418269	0.826662635117489	0.889732129588765	0.79462265366288	0.808125712897271	0.891377352062999	0.452611794782368	0.275277796891634	0.839606899473413	0.775797976470774	0.75475860082399	0.746942677258776	0.783768926639516	0.786167681692849	0.894624553430768	0.830807111725157	0.629555879616412	0.844623313529763	0.858753156927818	0.829241737291809	0.893332974592725	0.774595237564868	0.841138046996036	0.836766241843793	0.89157766818909	0.692214799862009	0.859018656092692	0.517947244313801	0.821401991799782	0.74624141246975	0.724477449954579	0.873751497561641	0.786013292886242	0.82975017357824	0.742655216352156	0.829642735058233	0.799808465729898	0.761802279372625	0.812578966184533	0.420011886873889	0.869737543881008	0.788337677213371	0.816837296258306	0.36661700805017	0.361520594168431	0.904403979882778	0.848548826607398	0.866297857967215	0.794460094799534	0.832954531220748	0.609808894991931	0.925660291926075	0.835341495638431	0.836460863182767	0.824085473175325	0.818613284700564	0.836156197335482	0.836653232414733	0.767006491536243	0.791079178941167	0.935440084979013	0.418411858126158	0.802633355243679	0.876062682540364	0.70687724643194	0.898302024845827	0.854931718899222	0.78545145014712	0.841633452988096	0.698773245414065	0.509898901564533	0.786220225912021	0.842962416792579	0.837872986552483	0.799517947622441	0.743831671278689	0.786489888632141	0.786682613855854	0.828681356837705	0.928431628001175
"SRR11292127"	0.799887838634368	0.810290548732485	0.875731613126491	0.79462265366288	0.887471658903441	0.849824524415918	0.541144722697606	0.40493912910956	0.820454104586691	0.775249370602143	0.788690020164933	0.931356771904776	0.78838357356454	0.896223396678899	0.936130339627714	0.828934922531786	0.806396276989528	0.825967813704184	0.937715388051177	0.805460510239933	0.866565783330677	0.756853485191298	0.813030121246274	0.848926202387586	0.879924350188707	0.847768525215434	0.946288922942265	0.873386877346119	0.864506260170463	0.740112149467917	0.772056147868515	0.851430019752853	0.797187946583615	0.846663294964899	0.807307776979648	0.827598506586032	0.789463093091371	0.759018005270076	0.798520632791569	0.780122326691979	0.926834063394303	0.780338440773711	0.94567903121228	0.477058158916771	0.465020021230499	0.946220980220507	0.827347605781019	0.907817762872733	0.894714078229025	0.90048702756634	0.814149340587959	0.904602300627587	0.816526189753916	0.81718439348162	0.816306240160101	0.803159508106681	0.899694343371506	0.816431793617388	0.811673966610004	0.781888035150507	0.901340509284088	0.864284653709382	0.792248087981718	0.846250401379992	0.823475622512002	0.87564356165365	0.833549057465666	0.835161565975412	0.821440595350803	0.852710295579265	0.552150584819849	0.908524343365391	0.825260305021431	0.817076012236301	0.793684050100381	0.746946316359561	0.842481546634517	0.781626562137909	0.817863847249627	0.900109017436287
"SRR11292131"	0.741221258271755	0.821944781380826	0.827143954790608	0.79462265366288	0.803761039782354	0.854433028404452	0.748965609021022	0.701602066686487	0.84805603257691	0.775166240788142	0.789530527837235	0.732201376242529	0.854653088320697	0.814219027374678	0.83554326885901	0.828650086163673	0.687245496001352	0.829200751653329	0.863711303702183	0.838886337302786	0.902439195416639	0.846015360065428	0.87094858065344	0.905898074220434	0.90729736041099	0.547911761514044	0.785193030995541	0.524335168568755	0.832106109370059	0.741842102875353	0.780838547978867	0.896188754630344	0.808514298580556	0.794536800780285	0.868170871702308	0.902555237688669	0.78943052209146	0.758594597597786	0.897545544983139	0.781269441590491	0.75151946415807	0.780844918992628	0.751464808865387	0.746402606454191	0.736587602022445	0.84199081572351	0.85649026642571	0.867113480098882	0.912448027879025	0.785679519313096	0.66085519589415	0.921237162327174	0.853917914302004	0.832037683409836	0.852860842965119	0.831409734543549	0.903980309356222	0.823899901038245	0.746216694013822	0.883338792969061	0.906689863682538	0.837726458821722	0.792909104298902	0.87417287650255	0.748683603400829	0.917758410335643	0.875184948540505	0.775389186733037	0.814701608796397	0.658806837371387	0.800213899436273	0.739173528592406	0.897547853943116	0.823022506526049	0.79405248330407	0.875843563440589	0.784655108731697	0.781109734989381	0.850011474157666	0.944710566038803
"SRR11292132"	0.75677017698295	0.781647889569136	0.844552286862411	0.79462265366288	0.898530230623493	0.681240347831641	0.911026751514862	0.926151099709717	0.803498121494495	0.773886897257473	0.698277074954397	0.824332738489428	0.836030600454074	0.882104141881227	0.792491116451773	0.824228596915184	0.806396276989528	0.779952811752706	0.877737588956822	0.780149473223018	0.837786711308195	0.815510883399538	0.80608511925221	0.718364694664886	0.8705906406814	0.833281717697302	0.789540264120031	0.829402240638906	0.854648611884489	0.727347893212065	0.832902829292527	0.807733987156947	0.815190471222298	0.799325800992859	0.777527343180694	0.836707726291116	0.760316865613479	0.752028915064023	0.87856131642537	0.47790620664782	0.800751353828122	0.757583365264031	0.697151125650853	0.937258627615411	0.93541234659906	0.778625660057209	0.806632497942473	0.878061765828467	0.695217693195129	0.788995659578843	0.814149340587959	0.888068030480418	0.812672453596325	0.784072338586029	0.817357836814563	0.796680948706771	0.550765928852019	0.800435636525369	0.803912179213215	0.871404626350575	0.779294077192067	0.386599695945397	0.762107642962363	0.790336719079645	0.821465409195963	0.86761346675097	0.82875845017751	0.813329391790158	0.734410560998481	0.876205486956147	0.906529109729987	0.899923136273136	0.86833640579817	0.797419997272873	0.777247866562558	0.886001308368139	0.830396032538198	0.768447632515828	0.807596951659378	0.8777778022187
"SRR11292136"	0.821348148986647	0.835709090208555	0.841219600352392	0.79462265366288	0.910490721740252	0.865789134529172	0.671620110755117	0.581138260352163	0.862735285250855	0.775653219788084	0.771566582222853	0.842883968475347	0.861284388802772	0.925565111664255	0.871888669126881	0.830314385748078	0.727848096374188	0.845541528325304	0.899297104438418	0.862874053289366	0.920347307044703	0.856521118603286	0.885624563280558	0.916205781431221	0.93296353814643	0.885221968375567	0.856590119159531	0.753653441371843	0.898908532257701	0.747240307978163	0.833125898760242	0.874811368159569	0.842433930243815	0.858846011026257	0.861696602758118	0.924252525774081	0.795012470033425	0.761069296898949	0.904070411610881	0.72028285478436	0.881666021232629	0.783895796217313	0.892463307453785	0.643253665500123	0.627432715837256	0.869314160427223	0.872489787506552	0.917839566301258	0.938910138951957	0.813500769770168	0.73688688758478	0.93171031959931	0.86755261096463	0.847959918783823	0.892549892227867	0.843358751743434	0.880083391932995	0.827370222221476	0.813935058119217	0.887634594875288	0.923563775315409	0.716016141314805	0.796881088538222	0.892658027826194	0.843065683556153	0.933683765471899	0.889841198668654	0.89036730763473	0.833279298729346	0.888046937759306	0.740762262982017	0.95362065577091	0.907093633687417	0.826209013512554	0.796274472763142	0.872834218277762	0.901522614558544	0.785008321910048	0.890242889406105	0.95759817339559
"SRR11292137"	0.73268925766431	0.819119973000491	0.805423760700606	0.79462265366288	0.795786373982029	0.865000744076459	0.56183983164245	0.464671448236814	0.845006799901603	0.775069907972522	0.769763369974273	0.631370686953573	0.853311786911323	0.841794212699455	0.784162549261083	0.828319634262509	0.692124890618264	0.825813397101543	0.924199117743527	0.834370494327141	0.898499429727271	0.843866076874985	0.872391261802476	0.896916842973442	0.903085433412307	0.695607835200157	0.712212244252066	0.522283527084128	0.821093381195065	0.740766377847483	0.777219765561223	0.881902308230459	0.807562668599665	0.787257433247029	0.869920303747425	0.890288023044337	0.79209189394992	0.758103447890198	0.896210342555601	0.638198705653751	0.73864834583286	0.784413526725322	0.685003932853653	0.473198152381727	0.453683580609105	0.780222844641544	0.853137073676406	0.871942100671598	0.88965235130516	0.749490201945279	0.663720085960682	0.921364906678029	0.851089358757539	0.828737820151191	0.847057572466904	0.828963972269519	0.870361175179715	0.831332467650541	0.7410485588711	0.882473102486146	0.917184389889558	0.7357897634341	0.797553444900141	0.874758799297206	0.74791698143679	0.914448822240783	0.872097537420043	0.761792430070937	0.826443086407474	0.599071248785269	0.727147931694864	0.814985277433796	0.895561299752911	0.83134864758944	0.796652001191471	0.865807727670999	0.770712248055719	0.780954439710568	0.843928697929856	0.943894169089768
"SRR11292138"	0.752793454132123	0.77833009694927	0.839214934354475	0.79462265366288	0.898155746402726	0.681240347831641	0.908244524269874	0.924384908577114	0.799736206295856	0.773789414088468	0.688671133375065	0.820829924772718	0.834539011916694	0.879165951482015	0.785804651191109	0.823888771766271	0.806396276989528	0.7758202552412	0.875749654070579	0.774637050650125	0.831674461403476	0.813010273400122	0.802785557112356	0.702509140224328	0.866016682738331	0.832515557120658	0.784348422942374	0.827916901438711	0.851029455275456	0.72622527329773	0.832890547207013	0.803110484744322	0.813590471193845	0.79556020545392	0.765882448318031	0.827166909077235	0.759689797378741	0.751524839406185	0.877000340484833	0.439879849243705	0.795276178674822	0.757583365264031	0.700996516374298	0.93396293343125	0.931563072762677	0.772522416260183	0.802349379221459	0.876169803002537	0.654413510343218	0.787575755243244	0.814149340587959	0.88398131621466	0.809196330917634	0.78004753358233	0.812221898066764	0.793833919588221	0.509306014145842	0.799067218414238	0.803348960559463	0.870455925039729	0.774467954997929	0.342406700802544	0.762107642962363	0.785344638310012	0.819530019891138	0.862705018838688	0.824720742167337	0.808070923083244	0.734410560998481	0.871904193894377	0.905140029956626	0.897793258208796	0.865848483870909	0.796210018732589	0.777247866562558	0.885416457396133	0.825490506961509	0.767727394425421	0.801901361049377	0.872334083759307
"SRR11292140"	0.744540609501745	0.804491722909899	0.809505596864066	0.79462265366288	0.848516142608529	0.819763433796076	0.746432459041381	0.723534364334552	0.829028863451257	0.774588438086015	0.780988190774823	0.778600623545643	0.846460190834385	0.877864066833979	0.862882645573323	0.826661982548018	0.806396276989528	0.808104258987106	0.929772914426594	0.813445063626142	0.876655312984925	0.832766538361062	0.85042849933253	0.882398049630403	0.891222001733544	0.867141632042661	0.82457178592116	0.811202343911149	0.830874112838545	0.735351382899716	0.802803449048697	0.876409687605894	0.814420401989694	0.793711188939905	0.87595918848089	0.882248239083997	0.781338379497391	0.755640756234373	0.889310764968331	0.766067155781909	0.863599279273261	0.775726361214662	0.752841718988092	0.741668338580908	0.718818986776633	0.866417713018459	0.835414837143307	0.893711617562337	0.928217416514915	0.872661135541337	0.798691953100257	0.902745889615916	0.836284701459728	0.811488759191666	0.83615652747917	0.81632903773699	0.867406206251901	0.806519281185581	0.769949876186524	0.878066635989697	0.872051308532033	0.795460416671649	0.786207960972296	0.847005766821629	0.815241933236141	0.897565290678434	0.855693482154516	0.786974597491063	0.799904605529537	0.763561448243167	0.784531282224386	0.894594985819394	0.885125559595783	0.805495027604623	0.790334625738125	0.874202555189879	0.799881846869065	0.776209489161006	0.830513656034469	0.923738195913253
"SRR11292141"	0.730825409019966	0.832009890051821	0.897595342006244	0.79462265366288	0.751001295932915	0.873145911180468	0.947579967774123	0.952870504877828	0.858820074094619	0.77551932265747	0.787425151616946	0.682495067281327	0.859485789757556	0.802563331041208	0.873857656331399	0.829857809761389	0.497815749518553	0.841177758395777	0.894233085542046	0.85227515934388	0.915744033646261	0.853691859453607	0.877890968103055	0.899124702338086	0.914676903083738	0.895399097456751	0.750384063292177	0.269026282757761	0.834736603601169	0.74576269401133	0.759402601411625	0.906738011552899	0.814290613578156	0.78853590200052	0.88369832589573	0.912204978633423	0.79036680628294	0.760390226058052	0.902313343504115	0.750689833797682	0.858682994759271	0.779577445381042	0.649771722395572	0.975331521180359	0.977344793342072	0.828244659192211	0.868246537449773	0.853748819989943	0.952096297691973	0.848678047483594	0.451175513856687	0.927207114209647	0.863912879799991	0.843707261118925	0.859718169087537	0.840141932355204	0.894853826311558	0.811839555535712	0.722072923669926	0.886466754057985	0.904381912034721	0.840321033213233	0.791254036386096	0.884396504426927	0.63671838861263	0.9280938204697	0.885966544783211	0.753486245597157	0.807047558978405	0.751624328071541	0.927265439937249	0.888504116718302	0.904550125289284	0.809835395539536	0.793130702579989	0.895439026283397	0.759242174947631	0.783429667857932	0.858509225326028	0.95291526498522
