"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR39238494"	0.611810387016278	0.758530584821921	0.836975249926065	0.79462265366288	0.561348857727466	0.825098210346962	0.657867958408282	0.558864438101705	0.740154919068008	0.774140917344366	0.738711555282087	0.492075779102374	0.662366599896635	0.262283368969104	0.652952875039949	0.825112169069774	0.56389326490892	0.77640907329517	0.715341772756511	0.675863120183925	0.732021024802937	0.60120040025845	0.67549987772546	0.538700095315209	0.697098571279523	0.247306942011334	0.359662092423402	0.223792500771918	0.600923007116038	0.724985450942301	0.567648108392667	0.690294883879406	0.67432203429284	0.701528187810554	0.541959662259399	0.496627256489315	0.775762683057781	0.753339924161821	0.615130440610896	0.546659289670745	0.582645237148397	0.772616422024489	0.361666137133542	0.66648138523764	0.677899704673084	0.523206889534786	0.737447469981784	0.472841670361691	0.399074844989153	0.56227702630267	0.502101410315001	0.785210428485842	0.724195497674998	0.753032129388537	0.581044792621409	0.734664519403909	0.556078772028554	0.74441856665648	0.680592122433383	0.618908335214916	0.793279663345542	0.654903300425321	0.782114427261386	0.742155199606812	0.435215111523737	0.722727408175741	0.722566134236378	0.433594414739929	0.762648816796	0.277633617491838	0.585838379309591	0.14458737679132	0.672599256883545	0.747169902435965	0.788081605925782	0.597694155121011	0.4041168439241	0.772500999647197	0.592431651900216	0.717966244184518
"SRR39238509"	0.686830367326876	0.772021456347647	0.881622241899759	0.79462265366288	0.695501716247832	0.871749468231872	0.676151866337856	0.569131578688769	0.754645651211624	0.774587495936809	0.74177445467357	0.738981507317746	0.678122099106377	0.508584392898967	0.839464174809356	0.826658728931675	0.697001374237159	0.793866496656815	0.757473254631638	0.702444354451314	0.75982471595581	0.59924494362218	0.695950920635043	0.61574248657398	0.74030369023561	0.801187136814288	0.733861251163045	0.58496299992222	0.690229540921758	0.72973349570631	0.607608686365749	0.742649713830843	0.704321391675494	0.76523711932899	0.52814113343672	0.529867405057782	0.784618424646781	0.755635924273913	0.603354334973461	0.54931512473647	0.853682350666701	0.779325271527467	0.587039095852849	0.686029435078183	0.687390504266322	0.813602851012783	0.754483675984245	0.672293638049933	0.537651558452761	0.806942871083037	0.66767403299712	0.808833798322196	0.736385057007727	0.769495588587526	0.631141743653312	0.744436041528952	0.659571330444492	0.758475914906257	0.735195609033212	0.602218966812848	0.8447152879823	0.387351652413413	0.790924407259472	0.772417713297909	0.590547616767291	0.748436304251683	0.737792803248351	0.571967317495972	0.808491905154564	0.609930132706385	0.487522320796336	0.645750666661851	0.674194117186893	0.762062406606034	0.79294739885642	0.573707139106031	0.550486784072659	0.776736971722242	0.643912182510873	0.755369530587508
"SRR39238493"	0.584085620816748	0.638742073801874	0.693519984945608	0.450430246547564	0.277617334163927	0.685362215763777	0.453920997401097	0.365648227424986	0.627039268842673	0.556505565606624	0.577977268486865	0.300566503495661	0.508779287019055	0.349317202135985	0.550482253407082	0.429348608515546	0.431996949041254	0.546660804870301	0.451775624235405	0.62914670540663	0.601439328939051	0.485586333120308	0.537691199567644	0.494799340442617	0.539479373673589	0.452632189944892	0.294750956305404	0.355103746423742	0.454269439591512	0.585853897217538	0.40266217063018	0.545826690792791	0.367938492268132	0.520622129106881	0.450987801509129	0.496209589047972	0.540111918011318	0.451271708998309	0.41861764388122	0.244693192780603	0.433290908874888	0.53778804166671	0.245904597039587	0.466240250525084	0.482063224020113	0.383079413447275	0.603891376559703	0.39281763619525	0.496819758409262	0.33971773028944	0.361210646473316	0.566999362362201	0.570226953337713	0.613008543613248	0.533891536361926	0.57347661975492	0.5599682011742	0.541732742179369	0.438122219900649	0.409363370215173	0.672720656298945	0.365530200975398	0.536451559149832	0.626575078102365	0.429056409086176	0.57310711886506	0.578595110283128	0.459333419148774	0.564405430669543	0.353408788910891	0.324263934580535	0.348077802671469	0.483803965173936	0.543590473870998	0.544489687864419	0.366305538220046	0.430036391073359	0.541183349346108	0.552109122256017	0.581946999629141
"SRR39238551"	0.772233953320849	0.776238783262022	0.773836657455987	0.79462265366288	0.849983655573057	0.783849606529089	0.659802929813228	0.535205159535849	0.756984344376636	0.774784818834482	0.747296298142215	0.926993632762505	0.66651140979108	0.743395278913355	0.91955448666926	0.827339320247082	0.595204276028832	0.800594473750695	0.813194163394333	0.711566072467125	0.764734282011606	0.58478439047575	0.666839936553561	0.575308089509462	0.771744359154139	0.79915168456012	0.935896796767406	0.582022955711176	0.78920870434963	0.73155418626196	0.677934704253613	0.715975375301273	0.730081920181062	0.831620778213332	0.543330574844804	0.572454317230886	0.775250374483508	0.756646826025906	0.579259555352938	0.698791912076664	0.911177546494016	0.767722696248591	0.91278203836574	0.671014743486356	0.686264771835067	0.927121441063649	0.757492657472259	0.727597193971051	0.529316507248171	0.853180899226178	0.604872023012303	0.732054736365464	0.736220280558101	0.774458831288913	0.676019932864646	0.744946163299007	0.424953585423643	0.662161352038113	0.809050603159018	0.577061131758702	0.726536962379238	0.717393822098485	0.775640485439854	0.756119691891401	0.616433189166322	0.753214704633435	0.737663534719646	0.74177112116408	0.77549643307753	0.844695865884842	0.496708157294579	0.826586220459621	0.661264344591396	0.661955708000853	0.784544845708085	0.54222063147654	0.736713938736473	0.776460322033263	0.687545935110039	0.733564774188462
"SRR39238476"	0.75728694798782	0.805035481309056	0.860753273706765	0.79462265366288	0.770619930346253	0.764951761856703	0.757076503123169	0.653239493137877	0.799673968980391	0.775502090189063	0.760875898122188	0.880430975487672	0.701639413558879	0.590863400007518	0.916503945262713	0.827871870163766	0.651646720213729	0.767173129560608	0.861982618223123	0.771518718318352	0.837051319813918	0.658877673665901	0.727047715960125	0.626521469095716	0.80273364740537	0.591794617313981	0.897045362762572	0.595886798668193	0.787407695528732	0.740563673747139	0.653697947972244	0.798737161744999	0.743705541454088	0.792063611557729	0.665406285694235	0.702661537570339	0.777803578326275	0.760302755102549	0.667122663452495	0.714456243837467	0.913569379511439	0.765665924910673	0.849544276204698	0.816075798090258	0.830477059552217	0.9162408571464	0.80548634190822	0.67516912538145	0.718477367068057	0.847622363892605	0.634727473709909	0.835367557337555	0.78433015932887	0.809849457775188	0.733829750754457	0.780577086268054	0.553957032007977	0.718719613976065	0.733281547443164	0.65116945173415	0.790289822815462	0.850968814141439	0.772908081033657	0.804921840761048	0.623888651915888	0.82975814941253	0.796103632968301	0.717880185144729	0.740259732096777	0.706919392643543	0.597387502120017	0.569676156012432	0.738868937775169	0.716211821032828	0.783061380528653	0.622701111447635	0.707783904981193	0.781311959556808	0.746109388502186	0.830270082129089
"SRR39238475"	0.735627219354817	0.796220279219738	0.777337990653798	0.79462265366288	0.787851258962852	0.680927331569161	0.840655945595513	0.81060962446881	0.801683700566454	0.77486336908779	0.749914161322248	0.772429765615098	0.770612259475704	0.767831868754768	0.851678742567511	0.827609778217057	0.806396276989528	0.81101991859061	0.879406131235489	0.773105815480984	0.838084962512496	0.729939712421094	0.753593487775084	0.670169835274779	0.840141184706181	0.825279044940772	0.829961582577595	0.804262666074481	0.78225021917977	0.735417202422986	0.715058241950215	0.814323367661	0.767220555841845	0.796935382740084	0.746347239649856	0.767321454133758	0.766546506880478	0.75704862960368	0.771152965944028	0.71280165074233	0.869151218649298	0.757583365264031	0.7583530857428	0.879361951705858	0.883941141815365	0.860904370725559	0.806469637923124	0.741633166490609	0.743305910374696	0.835327055093421	0.79504180479624	0.820449888954092	0.796572994345983	0.800206544720175	0.760189583677324	0.787539754558197	0.44400607365111	0.700088009388314	0.76243567766743	0.758654820115764	0.715742889162248	0.854366245181461	0.762107642962363	0.792531457407841	0.735126411446301	0.845768192380008	0.810335619318722	0.718718224532904	0.726099550122127	0.770931269540127	0.757696890708401	0.812325820296984	0.799651890442192	0.694933076044586	0.777247866562558	0.755252920775728	0.718120764929417	0.775587720405559	0.763174565131703	0.846270155124604
"SRR39238550"	0.766916507393744	0.776801350746199	0.813177797768321	0.79462265366288	0.865020095295789	0.75869970273318	0.753123983880286	0.689472049492289	0.769437445600567	0.774507821576725	0.762777210016117	0.914246348707666	0.721060172342551	0.802169255685514	0.921990140136549	0.826383441911371	0.806396276989528	0.763457165601496	0.861592041369642	0.730354111175817	0.784984186121536	0.658298190589887	0.709268991809013	0.665941679797158	0.801880664953562	0.789897850804668	0.940388588090212	0.868752978887977	0.801592048900465	0.73007263448799	0.72788534470902	0.781264961431544	0.755467737656864	0.822115466498494	0.66603238479979	0.675498475706024	0.771064094189374	0.755227119769221	0.68499932546338	0.790274921682208	0.917385511733909	0.765010948523489	0.934258781106078	0.777434676374055	0.789127499891932	0.940828725475844	0.770594410306596	0.810854819698444	0.696921542245138	0.897612775207535	0.814149340587959	0.796323170987894	0.75815453407339	0.775997764534383	0.718693353713394	0.759247516323568	0.624839025684148	0.717302950337497	0.807474984356823	0.680023142135414	0.751706747539377	0.851262355486397	0.772036556178162	0.764603062052566	0.762484083766859	0.788569489829229	0.764372931275475	0.761564360297101	0.764850607833307	0.852672011707551	0.67477621803982	0.822510023767704	0.731301825201921	0.716372609463596	0.782589332827252	0.66610726276283	0.763995657689425	0.774063068954178	0.722702590530577	0.780034970500349
"SRR39238474"	0.596615609043111	0.721641810430874	0.747924119489218	0.79462265366288	0.652349618161205	0.681240347831625	0.630112384154509	0.589156086232979	0.698910475705866	0.773034760211991	0.747766226251587	0.564830542767511	0.684394995701518	0.357574102571572	0.673630962761838	0.821244110914106	0.806396276989528	0.666361056654709	0.780698756670766	0.615814119758549	0.64919850525265	0.596535280284048	0.620844040377781	0.473896693563224	0.642334685221029	0.62197469109895	0.539886257848722	0.709928482351582	0.595608230019456	0.712841313434003	0.630829480490154	0.668444275444819	0.687028469926948	0.677560067324004	0.598290297336979	0.47043444290584	0.754804114169768	0.747604690106538	0.630983927296434	0.639276349970949	0.729778831396247	0.757583365264031	0.479551080188412	0.597600259585075	0.576065373641253	0.639154876629407	0.688699470715975	0.527282202040391	0.525084156439313	0.756409672496926	0.779725283011882	0.713246069519594	0.688387122808196	0.707358660311335	0.541502748638989	0.706649380796653	0.496474543137925	0.708406219095362	0.708454673206465	0.647276813081944	0.63956217177971	0.842913829841821	0.762107642962363	0.657513555092548	0.598547134487814	0.654733371022813	0.677370423125681	0.437557823908296	0.704857872350749	0.363951976266065	0.567285639134435	0.369675994856197	0.658995459198628	0.70944154651246	0.777247866562558	0.64133141055741	0.419205972957328	0.762106556406916	0.542415776367906	0.605922764564572
"SRR39238473"	0.73742532306576	0.796739647628244	0.836878005640336	0.79462265366288	0.719772444947358	0.826735067471917	0.667713797298344	0.530225959117111	0.780908455947308	0.775464626448765	0.756995927494782	0.802885138404224	0.668866521074095	0.462882973270706	0.879901549185652	0.829671076108457	0.806396276989528	0.82512154035199	0.82619405225301	0.742298067607536	0.807546834335822	0.593042494156408	0.694408894817322	0.574909273396596	0.784886108740149	0.580718565854426	0.829337067127896	0.802241048774095	0.731551676546575	0.738881827910658	0.594985997871142	0.736741823047633	0.712917452806833	0.810784135593106	0.57543169939503	0.594277185715513	0.78401301033358	0.760112532490818	0.576554523231233	0.634026304363629	0.889863075074103	0.772850956976487	0.78753387227799	0.718832194260704	0.733151365727684	0.867977158114643	0.785095250696699	0.562402150385886	0.617140869731292	0.799950014148483	0.79050194642191	0.782611527015587	0.758451404887087	0.799273894430511	0.675775259114468	0.762348395687912	0.504217239116072	0.686330100775341	0.754805435484832	0.565607013358231	0.794400488512867	0.779382244486202	0.782423707077484	0.794687576607886	0.678880498284837	0.788955541846234	0.765064728223273	0.652120188742117	0.766324185968122	0.616925581308131	0.437782089047777	0.497774066018451	0.674994774382094	0.686308266142812	0.78825136654577	0.521955134717145	0.630721529790942	0.782067515791963	0.694329201598329	0.788054843413062
"SRR39238472"	0.833736581879869	0.835643907117276	0.874109107412935	0.79462265366288	0.872132808231181	0.680984730879245	0.848612079877814	0.781197386992255	0.84139944061271	0.776410349393967	0.726566295348786	0.936355750465234	0.761570957254185	0.800693697531711	0.95688512152824	0.832881398317508	0.806396276989528	0.860286658374531	0.859559951109884	0.834560960734296	0.896900171180859	0.726851557225941	0.774892509738563	0.634208180283358	0.898592779579046	0.667442921510327	0.9647918708316	0.886377726935638	0.876603723114157	0.751356815406078	0.728049661705847	0.84762201004195	0.791669034597331	0.879537870902998	0.676842098758246	0.823286903926399	0.776221183729796	0.764889624218457	0.742766293827075	0.624721126676384	0.949710782107498	0.757583365264031	0.941939677268435	0.910644746186534	0.918933654587443	0.963513796131239	0.851359910725481	0.788183215164345	0.689613426210153	0.893736535681372	0.814149340587959	0.880956873766763	0.830146907186814	0.846243514725804	0.832648844180298	0.816241496725803	0.347113003860358	0.714934194235967	0.81812520102509	0.714568655852885	0.784784099469103	0.73925890732961	0.762107642962363	0.844911998905075	0.799204374070478	0.894783673126065	0.849276386751401	0.862082715850361	0.718505425897497	0.901283849700466	0.654441538419802	0.806707811424128	0.805848305849474	0.707461464078418	0.777247866562558	0.690390250708744	0.86405005508775	0.78661914645178	0.841306383639903	0.897991614539163
