"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR5865065"	0.960386273855687	0.000155185837535993	0.00949576186162772	7.16457820619079e-06	0.181762575149366	0.0138277168363369	1.00049609464503e-05	0.336961417411421	0.0399693560230696	0.000579205781439193	7.24365788162212e-06	0.541762583795835	0.239253250539134	0.101036643971626	0.0291163334864834	0.114041150344702	3.83542291417895e-08	0.00500375390140718	0.284653980413813	0.180978309512438	8.76454149118305e-06	0.00355030965453914	0.0254491863854523	0.574807954885665	0.0368470839477146	0.148683728704064	0.0238208239957018	0.00129178440136531	0.178366471136006	0.380351493645805	0.000396746487290733	0.0868331128472774	8.36793682079996e-07	4.85079952581258e-08	0.0826138115711268	0.999865315991416	0.0240301884205786	0.00693302327958164	0.00827128184897325	0.945814853856959	0.436361780008789	6.07683940613987e-06	0.411163983865308	0.971286158311458	2.02621363729949e-06	1.01089187364908e-09	0.562125809472939	0.0581423693363008	0.067226006474292	5.25382660094343e-06	0.00574470176732757	0.0547393860217096	0.00185332947498142	0.993191192425198	0.0219863166028971	0.0127697741327222	0.998238955806694	0.612017602146615	0.00540834093967911	0.624622814279534	0.0201681055537524	4.87643787122378e-05	0.0934076270582573	0.0453859109678037	3.99672368046295e-05	0.00849669503070026	0.0995260775128298	1.39606233035887e-05	0.00544098515953354	0.105117493132507	0.0182398627444489	0.00551534848594996	0.0731659415577649	0.00132361985855147	0.725063420057571	0.0758175216166518	0.164862595459683	0.00782270561089245	0.0693504118276502	0.00510581177312321
"SRR5865066"	0.394923313621584	1.34494247893325e-05	6.20699423488549e-07	1.89483763599919e-10	3.51854501435863e-05	0.000775237855366552	3.88292339624971e-08	0.0996863669822199	7.87997624247896e-06	8.78225071686015e-07	2.14717079833316e-07	0.000305837613791537	0.000620837493305597	3.78363364711463e-05	0.0302259772247777	0.190517423166949	2.07040321716114e-13	3.29760371798576e-06	0.00220073287109869	0.00017925039691808	6.42553257292694e-09	3.74174456978012e-06	0.00550337503882522	0.00154399513587562	0.00213606242148073	9.59673111619987e-05	1.08572337629513e-05	4.84544465023156e-09	0.00250188283063542	0.0154260952410384	3.55375332636116e-09	4.20365946347426e-08	5.18744433420256e-11	1.20048416410865e-13	0.00130364257987658	0.985862335990115	0.000617635361441325	3.02657865427715e-07	5.16559097535714e-07	0.360666648334541	0.00486502505584876	9.9586868879127e-12	0.000645793358751444	0.24731061957136	5.196396304698e-10	2.99702880491621e-17	0.00165282605855031	2.91772487039407e-07	0.122894563755707	7.30275764368676e-09	7.15136527327408e-05	0.00260016287217886	6.94750056701643e-06	0.991672631587746	6.07535744288616e-05	0.000188393448590476	0.86145919984176	0.975222894444381	3.16319608125963e-09	0.0856527868503939	1.02339746289039e-05	1.0376508737449e-08	0.000229495716259618	0.000414523296400525	9.97759124607105e-12	1.45871882921909e-05	8.40083420819295e-06	8.43184132223325e-10	0.00208864233849559	5.38190359597175e-07	1.98974929312943e-06	0.000347215379328219	3.33998614295198e-05	4.04469119932728e-07	1.74284031446174e-06	0.00187370983489551	0.0228250854264437	4.84131720647131e-06	0.000112458420199452	0.00078136854724806
"SRR5865067"	0.828720511389163	0.158184170279647	0.154811916014059	0.00589884490459819	0.203622133959048	0.128018936823247	0.00518497055151222	0.557334836687025	0.825544933182353	0.0929749897871127	0.00128112570769155	0.0835295168936764	0.757771548422378	0.200290483317815	0.503522422991103	0.419553591685828	0.000770706579897182	0.068266340860341	0.324490910577555	0.0423508966283407	0.0185352272839188	0.184931478148156	0.349857629124555	0.0410712656201446	0.122274685546884	0.0201252093744682	0.0205544600990193	0.126302760903896	0.652117946771712	0.953080719961573	0.326738880675525	0.0196281875352397	0.015283261959371	0.709448926722685	0.224429523171579	0.988471382482658	0.540067863703355	0.422836957119279	0.0476643740803502	0.163447162116792	0.445665774922022	0.00783897772554332	0.213435168772008	0.554878800349242	0.348780459019247	0.000149079855410075	0.728407642248943	0.075720785556242	0.111572361274944	0.00584905456672802	0.0517826465666877	0.674166127721574	0.168904541705238	0.995888000658329	0.0504878674570059	0.719518290034182	0.973125690980388	0.738119545673937	0.00232083009871604	0.892501846537565	0.196981820750762	0.0766503054619916	0.487173101725444	0.221548870347301	0.01242667346508	0.282041989041098	0.117567716751211	0.0234245603532653	0.0876330425872684	0.184965566759189	0.04778000092035	0.0242135864777716	0.221518691468073	0.0645367923801963	0.722144175408014	0.0964177717293364	0.150527653531055	0.64936326204298	0.259017894061412	0.0563610569109115
"SRR5865068"	0.00016590852613181	3.77074657936406e-12	1.74644987141084e-07	1.77309064460444e-12	3.83291437282761e-06	3.59533765362725e-07	4.09931465133262e-12	4.86822372069652e-05	1.07495342144089e-06	1.77520772977482e-09	2.18945113782498e-10	2.66113618419359e-06	2.11514893201048e-05	3.10772365758684e-06	0.00146153590318057	7.26002479767694e-06	2.72253824606492e-13	1.95483624898259e-06	4.98654348689789e-07	2.49750151828905e-06	2.17326643177195e-08	3.10981668405712e-08	4.1994183240973e-08	2.02360241727179e-05	6.67960815657836e-08	3.35275456288533e-07	9.93218417660718e-08	1.66073934326672e-11	3.82324840322316e-05	0.00355538592506657	3.81113616568316e-08	1.08435912030496e-10	7.22214893520402e-10	1.3671582343902e-14	2.16768407582596e-06	0.00146010269491508	2.79941787467662e-06	2.04639988516666e-07	1.51966367562458e-07	0.000172077529871371	1.37777717483829e-05	1.57461401599181e-11	1.14708098759793e-06	4.75595219984632e-05	5.02173666280987e-10	1.28704432400059e-17	6.60336887357055e-05	3.44511115518586e-10	0.00148661758646171	9.28434439993495e-11	1.54101918975206e-08	5.64221505225394e-06	1.10868113664955e-06	0.0972973570437886	1.45534175555715e-06	5.59532618326605e-06	0.000194716429709543	0.0582581793807038	5.77591852048886e-12	3.51776846328245e-05	1.57148215882365e-07	1.4246818368984e-07	1.88238195547989e-05	5.2167261989565e-07	3.17293158354881e-14	1.56324958960028e-06	7.27466595236905e-06	6.25157720686672e-12	4.28662535856405e-07	2.03424002294498e-10	5.48496171447859e-10	6.60190204483477e-06	1.58329846307049e-08	3.45614381034126e-09	3.63288990561404e-11	2.80447932229503e-05	8.56824565661057e-06	5.1472541813145e-06	6.6073969630995e-08	2.82267196632736e-06
"SRR5865069"	0.00693363327724318	0.00245080250111161	0.637284431786192	0.00153536572836075	0.0141166651135693	0.0193514319709559	0.0180853127356825	0.00362536962198219	0.796373342482413	0.191566481966267	6.3188532388863e-06	0.000411618738928524	0.115801279974926	0.00308455515978962	0.779745948512774	0.957350098257375	1.77527761658637e-05	0.00291424855337787	0.416275551487236	0.00118938776061701	0.000568599625855125	0.010549522829346	0.000395508926672609	0.0802647728114663	0.00861177947814771	0.000745495611342309	3.80677234856447e-05	0.117713044523781	0.223541183438847	0.428860822154287	0.00282165491726277	0.000133664925868437	0.000114985474271951	0.00202902988509093	0.0154533513621456	0.99998989857174	0.00120233693036339	0.0752517624717497	0.0501041557285298	0.0366323430782755	0.0978487481360911	0.00273047102509629	0.00392374884379358	0.995227991098808	0.0312839747390031	9.46014630978445e-08	0.87094400306641	0.00127483743950424	0.000853979072177499	0.00106351352876511	0.293843936918463	0.000493205431329462	0.0425474093396928	0.99998524383348	0.574302216960946	0.000183559264382045	0.99961322029708	0.991896069716003	0.000711325831628468	0.511130691758282	0.448814253644617	0.628257656889381	0.813103581942816	0.0262414269127649	6.14322100011323e-06	0.533016969415445	0.129794909127468	2.04568562116016e-06	0.00320976089567765	0.0380714656693875	0.00103436771904431	0.0868531813255924	0.557978195214118	0.000970751630216651	0.999404498641649	0.223403839454222	0.209783254233506	0.999531923842595	0.00120258024170543	0.0414808165357113
"SRR5865070"	0.540027550270983	2.81185056483968e-08	7.95091634024124e-07	3.39666965251254e-11	5.7746371569188e-09	3.52718522914897e-06	5.84103035385959e-09	0.000152983183520979	1.00856339849437e-05	5.05454621770957e-10	2.79688054129817e-10	3.88120903818713e-06	1.00592811443039e-07	2.67444642771094e-07	0.00265074144873973	3.5080423888904e-08	2.52047993637502e-11	1.7137333634975e-07	0.000539703881511217	1.86058308213772e-06	5.60936730968715e-07	3.95083434211897e-10	0.0256835260196298	2.59277139859187e-06	1.08344112305087e-06	5.95066776453191e-05	1.04429484672318e-06	2.56521294386695e-06	3.15613846147709e-05	0.00078918515751081	5.07887488717077e-12	1.71132166965478e-07	7.79609665314701e-10	6.69074366680251e-14	2.42258901140308e-07	0.140684148935324	1.7950843285849e-05	4.1943256144027e-07	9.6953208585357e-08	0.000979993468144915	0.000122160612839053	1.13338476267457e-07	1.30019042796756e-06	0.00262389585824386	1.00260683312679e-11	5.06995772679603e-14	2.26141995032563e-07	4.39491586670689e-08	0.000160806593242883	6.0454371146414e-10	7.23936268038259e-10	0.000232796361432454	4.62416296534478e-11	0.925556614648896	4.04234458708335e-06	5.42454357025879e-06	0.381186035427347	0.0771036801583156	8.58062388586313e-10	0.000522973188470124	8.52934363634793e-08	2.71438576215143e-14	0.00019697495695211	1.60670843232628e-05	3.13176936191812e-10	7.60401883393134e-07	7.53101572592452e-07	1.1620848854532e-10	8.26797673645282e-07	8.44100554702197e-09	6.08483602092265e-09	1.03123332574161e-05	5.81749402683413e-06	7.25241736124893e-07	3.60506059514841e-07	0.000731467262236961	7.97704467719494e-06	1.73097919922718e-10	2.27222257961916e-07	1.80027194893628e-05
"SRR5865071"	0.920536788316734	0.972600748816845	0.985685351716709	0.178728973768484	0.962356976209895	0.667162465488473	0.973337333818854	0.717389003032473	0.952081718026234	0.866213606284603	0.105304318096566	0.317534117224113	0.926752949079794	0.529687489292169	0.996326497639251	0.995500469017292	0.00410704567703323	0.335233256977334	0.997247862879264	0.260950474202948	0.0676335597172154	0.665471536775419	0.179157172744238	0.778674913698858	0.987457147213613	0.353532475996123	0.320330188182788	0.998839161508634	0.990188281711677	0.98857187818754	0.403702936120511	0.0774080377248823	0.00425150364933029	0.98043449280182	0.908775162774513	0.999999673411685	0.13675459466936	0.92658025635248	0.611938725277961	0.741309171707933	0.92996475068555	0.426506898923853	0.0715819806696219	0.999986396986732	0.34601651905415	0.000670961359359577	0.993978963903674	0.578639477131532	0.648795651581747	0.174524577072975	0.975795413961663	0.713140974609084	0.838048182575394	0.999999826299184	0.705327769783733	0.623718564474476	0.999978482687494	0.998883091367698	0.72604558718562	0.99930429314174	0.997610600476163	0.985995341708801	0.997861790156089	0.540531229677248	0.00867212666616398	0.98257835656155	0.925176024607861	0.00863825355241089	0.419219545658217	0.993465811999868	0.304488941893343	0.687298496494529	0.998131871044761	0.877636243684904	0.999999771329643	0.968290480178066	0.920425345346064	0.99980676081979	0.422465146138157	0.903273213593016
"SRR5865072"	6.2598077832613e-05	0.000323378970056316	0.000141559931728661	8.02415843106485e-07	4.17095715721958e-05	2.40939040808213e-05	2.27491204058758e-05	0.00357001234365756	0.00901545531059639	1.06305462570909e-05	7.57840496082149e-07	0.000484345803343032	0.000339596389295712	4.85808856252717e-05	0.951245269316019	0.000170710221409885	9.18471987203788e-07	0.000398575373428932	0.102782828181203	0.010706916429026	0.00128584912056087	0.000105980531152559	3.00989997302175e-05	0.199072451954383	6.90205945718519e-05	0.000551626413975365	6.13581323408085e-06	4.74234378580733e-06	0.00644091884226913	0.000740630507714328	0.000136595052254451	0.000392568798583917	0.000149533858459259	0.00147689470412009	5.47665079204185e-05	0.794989927785288	0.0412822762346745	1.48488621793746e-06	0.00262631341149869	0.180304051210977	0.000806757060589991	3.35340343326157e-05	0.00102873139799255	0.202144871844469	4.09679605604237e-07	9.88596089482276e-09	0.0180199058602134	8.49328713025481e-07	0.00358307183049213	1.85722122285633e-06	8.05284083641211e-06	6.67248408234605e-05	0.000173070120686471	0.999789196556012	0.000211154731895747	2.54462135705567e-06	0.505131142780793	0.747827521315739	4.17689636021589e-06	0.624875376784458	0.00108231837970668	0.000249023602884527	0.0034164235715941	0.0007329915525498	0.00116988528939866	6.94885948358429e-05	0.000270369804563208	2.51428012536054e-05	8.04333846333683e-06	2.41271905965197e-05	4.7056040252168e-07	1.50599190289478e-05	0.00164589523192468	1.33404142830408e-06	0.000966657280452917	0.00714656653190765	0.000592101389431569	0.463187618374633	0.000154695003189658	0.00945647602307196
"SRR5865073"	0.988064348727159	0.997307512692645	0.998955073466073	0.987148289209329	0.998675531149076	0.969273420812861	0.992027865667038	0.99664224064252	0.704437177100684	0.889551314532625	0.984142205670507	0.92429994404681	0.999691369933307	0.976645884768075	0.999254944518372	0.999989063094807	0.992035934202258	0.996268295750017	0.999686334805082	0.985986973071225	0.958069482689621	0.999738561945562	0.917349655709191	0.996547691412899	0.994587717519367	0.989648320146465	0.995223892656831	0.999759749180848	0.998099044663653	0.999778787815425	0.992984896695933	0.999816370217223	0.909407507335623	0.999997888392903	0.956559007533318	0.999994195045761	0.990155823465997	0.996510020208435	0.997726587725956	0.998251894009865	0.99929063264424	0.987839875633888	0.993059799558701	0.999756235208941	0.913589788395392	0.889130081074895	0.999292591264716	0.99594777982404	0.999590945552626	0.993653311321606	0.969044749034843	0.996828548831413	0.994245148308984	0.999997593645437	0.976033878128485	0.992953988890515	0.999815445157071	0.999628303713907	0.998648547266579	0.999959749941069	0.994876193443506	0.999841284891503	0.999973973441809	0.990446660184765	0.999982029964904	0.99237892584674	0.999670185328571	0.973392958104048	0.771998273778025	0.999834792809095	0.940986708075911	0.966564507708723	0.999853045231855	0.99909204885755	0.99995912067821	0.999681566930074	0.989869374561096	0.999976809542476	0.998161607313191	0.999779132827661
"SRR5865074"	0.198424158366004	1.29913408764242e-08	7.24426853010192e-06	2.76175018028755e-10	6.10710450228615e-05	0.000120653526647366	1.48112734571948e-08	0.00144958589770466	3.09022845647598e-06	1.60691020456409e-05	2.54809245225042e-07	1.53709791004781e-05	8.53677146880024e-06	0.000450997807450495	0.000614165654896201	0.000434015556134193	3.13750034330365e-11	2.85767188823947e-05	0.00016366062968435	0.000148806999264007	2.24180522139938e-06	1.02922272086543e-06	8.16311123932207e-05	0.0163033587066185	4.89528975661312e-06	5.6185425224248e-05	0.00018864566954647	1.45980521674804e-08	9.02653767781183e-05	0.00627405023390895	5.84048998320598e-08	0.0131285685955605	4.32742559264681e-08	1.20897023203491e-14	0.000276316409618909	0.120618062617413	0.000461923696694599	3.88292139468158e-05	1.82726360967187e-05	0.00259879361362823	0.00210210229175328	6.50099950108459e-09	1.58961915257319e-05	0.00230455679947939	1.04768747537923e-06	1.10104979876728e-13	0.000318561529469302	3.85927663499388e-06	0.350484756686943	7.17136806154000e-09	3.46643044902554e-06	0.00249844312141189	2.5795195356451e-05	0.162341804474988	1.30289550109848e-05	0.000374380356781415	0.00137502022803298	0.0420815482400584	2.0458510331594e-07	0.000449185469492314	1.34065780093253e-06	3.04708284310758e-06	0.000117283049609821	0.000177544287852038	7.14282547765474e-10	2.48392392001764e-05	2.68354988639269e-05	1.99062139038572e-09	1.9817851258809e-05	1.27041016224191e-07	1.35999509581342e-06	0.000156474224633133	3.00462609095074e-05	6.72639219890949e-07	5.46045509527668e-09	0.000518956168060622	6.72098291180184e-05	0.000163139878498532	1.5804217951112e-05	0.000268669693380473
