"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SAMPLE-1"	0.99100433819382	0.986421364876178	0.977166635881266	0.876846564779929	0.95241775222317	0.940270914280299	0.0282957129788362	0.938983963136483	0.99129360501604	0.911136911989914	0.31221785878059	0.0662635964524563	0.925629633383328	0.990318828149062	0.313423533750684	0.628696957134163	0.941438673270175	0.875656423903072	0.694204778638068	0.987551609671343	0.898999284834589	0.88617134032192	0.92036909888744	0.988628729894729	0.845210025134026	0.999442916594293	0.977157935591072	0.781896499849712	0.425666080587965	0.879333470680129	0.385335556226469	0.982130287253433	0.724721505738925	0.971641042380524	0.999355206002727	0.997224350394469	0.856625075864033	0.842790398698652	0.994284887066659	0.909473519058281	0.613648212237234	0.981435190463164	0.977998384571483	0.122130997397923	0.989544414322313	0.557456759643228	0.997319668889034	0.98856795110143	0.892117994330751	0.998627078683985	0.975007932411191	0.985452475612129	0.878546859440897	0.819326626027002	0.873535343498503	0.865224875630228	0.457083945813908	0.923142562725247	0.993149119469571	0.720761491246957	0.982719796377394	0.991353985115004	0.962226800379602	0.237070832660326	0.998862566680349	0.970328232324454	0.9926429334904	0.851623808238231	0.821808480457245	0.963408933146448	0.982038995035055	0.754275798793992	0.834247523620904	0.997444000511658	0.27453767282881	0.946593501168344	0.874014465778854	0.998834754239457	0.993466705719137	0.997490915824518
"SAMPLE-2"	0.0297396158242584	0.00673468379886193	0.883572460425478	0.333420943397656	0.956757195527472	0.499490614675608	0.00290054931203841	0.693444811235473	0.097719286805443	0.59658287894217	0.977545983095069	0.0204690467229878	0.291915820230227	0.9086620315413	0.688105560216596	0.829495472122984	0.418091875201071	0.840680540249109	0.628070323973841	0.983195034955611	0.977892339267822	0.979746750334337	0.0911074413058068	0.997443140019921	0.615570924687957	0.0743726285764962	0.899572841615643	0.320047711702158	0.0907337975369705	0.97809285934475	0.697197630738087	0.994094519485667	0.0280708329881536	0.859663004037159	0.124089038134854	0.967093747948258	0.770328137510843	0.0160371652328651	0.889179167950843	0.993408896605633	0.0471295746481074	0.618460012627565	0.217223705868566	0.0039782268254546	0.474199398389513	0.0190785064615321	0.971070205034201	0.886700695661511	0.184771026016436	0.96777823723324	0.826772155756266	0.374859856053067	0.401313423279096	0.685015033145395	0.204446490169036	0.0218535832999127	0.0407633601578018	0.625324604949835	0.999355520455147	0.0489793259798745	0.440642725800988	0.976517763727699	0.894697952974917	0.01351173515575	0.999167612705135	0.550121485437866	0.164081287415363	0.661977539878925	0.00239917698447425	0.144866058141639	0.191611146527791	0.0449690592340216	0.286486252015129	0.825101622259616	0.061278207151275	0.879905074999453	0.841753569533033	0.999365423165267	0.985044904307232	0.996697832114952
"SAMPLE-3"	0.016866804332945	0.608313771568121	0.107861289689465	0.0239658690229501	0.232963719527804	0.00204355683864702	0.000175479145345132	0.0747924679103628	0.056980293637131	0.0487183332745349	0.0605323679088626	0.0112079970971365	0.192029396627121	0.444007547003607	0.0591615142905161	0.0127377170336614	0.0148966612069686	0.0100964336847013	0.0206192066163188	0.346641595644911	0.000113353879447368	0.183054383964561	0.000196407707708484	0.914404337126487	0.0484899438428095	0.147377444913133	0.267710378732304	0.00312947592893415	0.000337655672181903	0.0776878180252217	0.00917470955381309	0.910657646922188	0.00239022408514425	0.927796167112363	0.773625150319184	0.853692465727191	0.0101242738165252	0.0198993541617845	0.0674966248911735	0.667236928534523	0.0145506190803892	0.000442795756585468	0.0359505306120017	0.0256560755165783	0.00148229443527814	0.00877282438231002	0.558987803221749	0.00981532103030346	0.0922599963391089	0.305519528254979	0.955266482531734	0.00323817612079932	0.00118595616087427	0.191030654094175	0.170715552410882	0.00144007588304147	0.18245344926715	0.0512791439140598	0.851546063117549	0.0418572701996224	0.892861757237969	0.682001114470243	0.231970117101912	0.000170872930121076	0.182597313566562	0.169144669752393	0.931818279150568	0.533899384668831	0.0104438149575382	0.133896906901194	0.00208622448385869	0.0118954515596447	0.79632466501694	0.0583011459103842	0.0127715348236259	0.127003403091422	0.0346327943885352	0.229512639172946	0.336301224055153	0.669465462188544
"SAMPLE-4"	0.00142909995668988	3.51069420258133e-14	5.73831495601895e-10	1.68735135876695e-10	9.27637990531031e-05	1.95006234410703e-06	2.11859458900682e-10	9.70182958763808e-06	1.00482227917096e-08	9.72811576242758e-08	1.31054816051994e-10	0.000375396960425999	7.71890533203311e-06	9.76012505141955e-08	4.3211011755527e-06	7.69177507679516e-11	2.63332944373439e-15	8.25519341527194e-07	6.21230839493061e-07	2.29348773817676e-12	4.93638098040671e-11	8.04036871748985e-07	4.07924478139045e-07	3.52747534947451e-10	1.79123245791287e-07	1.85603778495963e-10	7.24719243086384e-05	1.36033236404893e-08	3.96524033790629e-08	4.13503173150992e-05	7.60870440324113e-05	1.34987201785625e-11	6.18696557038259e-15	1.3838003653577e-16	3.14961512772926e-06	0.117031788515394	6.15286716986441e-08	1.5056560023637e-10	1.71314583237873e-05	0.0130291925729046	1.4344169320871e-06	2.48720072278559e-13	9.70119224975216e-09	4.31736237493469e-05	1.01044276108856e-07	2.10521372370762e-17	0.000510465001240963	1.92221305488514e-08	3.93925279378452e-08	9.16240362015536e-08	0.000110439215152304	4.10482940151017e-06	0.000106007749838971	4.43094577981319e-05	5.69131384027909e-05	5.84509747513095e-09	0.000129910067905637	0.001548290538452	6.18435517569314e-08	9.05842646624651e-10	6.72502574145932e-08	0.000447087848368084	9.37234179720745e-06	5.84014570855255e-10	9.28561710696083e-16	0.00179008368862655	1.74477756711393e-08	8.27532002406393e-10	1.4972154876993e-07	5.67845180410186e-09	4.66729466240147e-09	7.54983733429206e-05	1.68141054116965e-08	1.85085761637149e-07	3.13156447107077e-06	3.37351543844308e-05	0.00349039927466831	0.000449887358707324	4.30076077612219e-07	2.94986780646494e-07
"SAMPLE-5"	7.25090374190843e-07	6.46065721537336e-05	0.00151620909896546	0.00012140749924641	0.109111806496355	0.00139674215943735	0.000121510684493616	0.00082394081423111	0.000570213296757069	0.00198471535083474	0.00325826958121373	0.700108889978819	0.904403819345063	0.000501689271374942	0.563628445139652	0.000909330849336993	4.51396761852629e-05	0.0113257027960058	0.0161064072191081	1.52415133588563e-05	0.0158633035492808	0.83012152282354	3.52497793098774e-08	0.226389770642614	9.96235600179453e-05	0.000123752971178427	0.171331455177625	6.67725217664657e-05	1.11881939803124e-06	0.780067347648716	0.0258268184590653	0.000862193451541006	2.42362406404562e-05	0.643145800099797	0.00108493010410194	0.00254520098647142	0.000287453909282413	4.35214342646334e-06	0.314916644351671	0.983778754659428	0.547966523023783	0.000180041941483478	0.00149162899557605	0.000238435185794073	0.00621393038770565	1.51789070538909e-07	0.324505751145242	0.000335507596753618	0.0684745982589699	0.877922249012622	0.9682019834741	2.69126752942584e-05	0.00705628929768532	0.990372903259331	0.494823958986985	0.00132590204323604	0.0123489629143014	0.799378643702423	0.946101502321228	0.000116383802408284	0.0303654491140516	0.995755355733374	0.0468693652569789	4.05208363314971e-06	0.0338339549061719	0.560021101220116	0.0538040675531434	0.951927540357452	2.04566649323234e-07	0.00342688673820019	0.000288063195630528	0.0206161455917626	0.00809785737523007	0.0507537609434795	0.000126002478531054	0.27797572064701	0.995905415092352	0.867168053144953	0.993093470384519	0.562935687553486
"SAMPLE-6"	0.000324400681989501	0.004258387053636	1.06322250344166e-08	6.75726534492526e-06	7.80731247881931e-06	1.01736316969866e-06	1.10834118798386e-05	0.00170206758452911	4.01577662144586e-05	1.3256294172637e-06	0.000225705036877763	0.635330503386758	0.000113066998928698	2.46576454573865e-08	0.0728863107227455	0.00098261068200715	1.03117274449915e-06	0.000521105185946245	0.0359626886096453	1.08212381324836e-06	5.91146261949229e-08	0.000392754120145123	7.89180328440056e-07	0.000593979814543121	2.27391636150636e-06	1.29424297100573e-06	0.000164416966331557	6.5408480958342e-08	1.90608786148242e-06	0.0635285286779465	7.3585972979907e-06	4.15657877698158e-12	9.47610614783495e-07	1.63103673740145e-05	8.24400357325044e-07	0.00624827970399818	1.56071134890477e-07	1.23485172184468e-06	4.64631114646099e-06	0.970720837437154	0.000491458610092636	0.000173921187124949	0.00122751030186147	0.107916158927587	3.2147769279562e-09	6.87645834723045e-11	0.000720669759374009	5.38480872013204e-05	0.000696841198678577	0.0243722815792248	0.000130938835821787	1.59012245904327e-09	7.98503165384574e-07	0.000103950006203988	0.0391979744844084	1.07765702541366e-06	0.0247415544651432	0.00359238458508863	0.000230336496974275	8.38509529737029e-07	0.000952685839830654	0.000136319292352393	0.000395380916693141	9.4538115271943e-06	0.00116562690868589	0.000216969981601414	1.38076430928781e-05	1.12611830607665e-06	2.07867078087371e-06	0.000433149789385079	3.02267003394271e-06	0.00278380717119884	0.000257606551889314	0.000584111626819703	5.88391419074801e-06	0.00143240353538732	0.999743949453903	0.000181160357853942	0.199641509577069	0.00893157014470636
"SAMPLE-7"	0.739113436323377	0.380559650519178	0.0552974862634958	0.061089137025969	0.522986607403649	0.078267705788187	0.0275729643487529	0.584666173461488	0.773851225059832	0.609577130902096	0.0102428033704087	0.999808139812711	0.571354643413521	0.0167889798023394	0.472100901347869	0.558004739595823	0.776745862082671	0.991083635530482	0.798541350650931	0.0360835880965193	0.667315437152547	0.163444375423438	0.0374998013786422	0.997516198668786	0.00357521916303594	0.999631803998378	0.701651491218469	0.0521809952406191	0.57444993016617	0.978430044349822	0.837097288492731	0.723851137727065	0.00497653705720935	0.00716304832387395	0.962796410481894	0.997269954990261	0.195187080091454	0.525570392962173	0.999360040824264	0.836883997234545	0.872656714894512	0.999229752300675	0.333494103298551	0.0101482666214637	0.861172327894054	0.026602748598122	0.996823219051364	0.978984797543261	0.110560928444099	0.922121610114413	0.490183423813516	0.00539809661167133	0.986298586290501	0.377093879819706	0.304451026492525	0.00691269601614478	0.063165698718223	0.94928368673984	0.583693276754722	0.221075267915271	0.982975488948174	0.966251127873694	0.904934297687229	0.157963938296556	0.985904690753616	0.139961231843652	0.666539026779661	0.954782857711978	0.000744916130197278	0.768121652276431	0.0581666861797187	0.0933017562331921	0.0101418526296023	0.948196642017917	0.440868702826522	0.577086255391772	0.805402113244087	0.995864425987304	0.383943067257666	0.985515239398126
"SAMPLE-8"	4.48876097058234e-05	8.90130706304264e-07	1.23413628726422e-05	0.0002207339714735	0.010649826621234	0.000156909296575947	2.38239134362906e-07	1.27916573341384e-05	0.000154554931894854	0.0507261956457761	8.63042366525615e-05	0.950620129892684	0.149197800687328	7.40659601511041e-08	0.0115184782332037	6.94325641301885e-05	0.0017069601715718	0.369524301314287	8.44928894795247e-05	1.83123685738531e-07	2.25022844158491e-05	1.06387243391276e-05	1.15672092134861e-05	0.976828555613857	1.55231948831129e-07	0.00437528550588402	0.124644191542398	0.00013452834559373	0.0602320173972	0.577254676266377	0.000823549683369026	0.893161890098527	0.000263623170665113	0.00269476876127568	0.000936340950561122	0.00230600093750205	0.00613790487038606	0.0144233040322949	0.00519143278055515	0.000899891002781036	0.120317974456271	0.0499460644668248	0.000486781162718425	0.00016274103571025	0.00436755128581637	0.000266246448200687	0.00147168641399463	4.96609118076106e-06	0.00090581502946122	0.00077854327783768	0.0219445305113964	9.52256183207575e-07	4.03028717571682e-05	0.00316549067699347	0.000253413544340865	1.97770752163386e-06	0.00011471310177003	0.11929033353193	0.00537806332633873	9.27444939149325e-05	0.00692791945396699	0.0146074665080856	0.00019406545082784	0.00530295838879442	0.000441348965179262	0.00749858454931146	0.000889965029973264	0.341663915359691	1.23653121746691e-05	4.2199605616664e-06	0.000395294021462707	0.0115070671207571	4.95578844424547e-05	3.76336768906096e-05	0.0225047148518726	0.0389187548256318	0.0643014891709938	0.595776079207076	0.00809882828219021	0.0112444123219027
"SAMPLE-9"	0.965735550038754	6.20701131601601e-08	2.01138033170594e-08	3.14308296325943e-07	1.8130384648213e-05	8.94456765748426e-07	2.28386417461401e-07	0.000769031827272975	9.15891601831921e-06	3.52278712243396e-06	0.000589447469542286	0.955820122226389	0.000760118156527323	6.61084808486542e-08	0.220728255578545	2.68623258684281e-05	1.43313992843919e-07	2.3224877062931e-05	0.0331771327967415	4.72503942040848e-07	1.91913802405258e-07	2.7322912985558e-05	0.000639416927175679	0.053219254095899	4.46803514230166e-05	1.18464491514799e-05	0.000255179617642658	2.18978096958242e-07	0.000345288160094061	0.020092466229563	3.20371035880986e-05	0.000140716761053324	7.58203251664901e-10	1.003591670401e-09	1.46286894865857e-05	0.443895308970906	0.000383194258119808	2.47555935465653e-07	4.11906116370078e-05	0.244013032256316	8.21979273698094e-06	1.34281856616892e-05	3.62911563825094e-05	0.0571392636692945	5.02083844021326e-08	1.62369674767288e-08	7.9409024505116e-06	5.84101545067962e-05	3.43538636394613e-07	2.26134845164576e-05	0.783097194601041	1.30680815696721e-07	4.63166969869271e-08	0.0101361261335669	0.000298186069781261	2.05946010938254e-08	0.0847034698791582	0.0160160703621714	9.24184663002656e-05	2.93881433768077e-05	0.000155751893304523	1.42887191480652e-06	7.41454428863571e-05	3.28676288233124e-05	2.38678555018156e-06	0.000127509884262153	1.59418600720353e-05	0.000226458070051154	0.000135927962857752	5.1945608079794e-07	2.57786767791411e-08	0.000242948543044028	3.43160324262274e-05	4.00753522036922e-06	0.0195157237219907	0.000155199629626259	0.187566196802631	0.000229206913726659	0.00380524845236428	0.00358888256179183
"SAMPLE-10"	0.000639242275138855	0.000454930301067721	0.0340594434373692	0.0206784519679241	0.0062957242583757	0.0552262337179768	0.140471354830627	0.00162486150885382	0.000502454243073581	0.0394111592837825	0.181972888127653	0.000814346846633333	0.224070465849516	0.287182261088749	0.239416519158462	0.00493574653940697	0.00102242223421696	0.0099332939355678	0.0971240600689169	0.00359876942311122	0.0850443070030618	0.781559578083574	0.028808605227233	0.0806679996364374	0.000843032834918725	0.0457501237240826	0.00889696900131088	0.187723523830737	0.029913420169115	0.00930710524175442	0.0120780082999448	0.064055410491679	0.0043778169711359	0.000312682297909067	0.0179891782386045	0.00713040764297983	0.048701265219628	0.00283358122711783	0.0528512494594152	0.00084243825668093	0.0286931918094745	0.0027433403424238	0.00142545178353996	0.00010051553467779	0.306170266847078	4.55435956992242e-05	0.620391981374586	0.390922672862032	0.000702729442383904	0.0403410113262031	0.969168787934055	0.0383602151032757	0.0739605339539955	0.0155686613110006	0.18232419460674	0.000159405965910184	0.0133507349031564	0.276389421979468	0.0620480374912419	0.0152356836515308	0.00231299286200424	0.916468816911815	0.0301949191178508	0.005833092535165	0.00118865987652978	0.0983376897667381	0.0204326444340137	0.00373698204407333	0.0136052285728214	0.000892897378944224	0.000318462530510697	0.0701580535235141	0.0464568266363423	0.00335762426733627	0.00180846297319214	0.0153094011831249	0.00355038521072524	0.237127395426736	0.0167084442187322	0.19416148337523
