"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR31418698"	0.996876265194095	0.99587643182935	0.991404796772832	0.941396718193712	0.865081960891288	0.973200927028122	0.976720988637632	0.843804057237118	0.990195685406754	0.916449708404573	0.172269610489303	0.201295274595859	0.995251906844447	0.934524315520131	0.74448609114271	0.882205330166638	0.956553334679047	0.890034871251654	0.977798385202078	0.965711222157913	0.769295956772272	0.921712661281915	0.841096175042645	0.871510921472826	0.438330719019172	0.973829871791764	0.995349333984328	0.964861017530132	0.903826954379543	0.864755891496295	0.560718313479893	0.997026630804187	0.951814621778508	0.449335484859844	0.968176205357724	0.988947475516035	0.983086274076779	0.983299162202441	0.95064485346353	0.928631423078269	0.990244067243529	0.997535985778977	0.883932597302292	0.97432569398618	0.995966518740456	0.957852539411279	0.968582443209308	0.99533843946616	0.991086057788468	0.976241505403893	0.916540613089908	0.964304631693102	0.950869544363698	0.841783514745926	0.924680521881833	0.996278091535856	0.966931709544188	0.620007755016697	0.890506982379117	0.958823606733635	0.774146869529737	0.998642864475933	0.992763241835073	0.914954726522526	0.962406497097491	0.97904200852876	0.899507676702446	0.449397455627803	0.293777139749588	0.97552988733247	0.97075362544978	0.946570067707471	0.885179812453533	0.96020720385893	0.657311621993987	0.895474307042721	0.788433306221087	0.99930555552839	0.772419029634656	0.984208865147616
"SRR31418709"	0.157264007397712	0.000897584206461246	0.870326693768922	0.763173910993155	0.215277580058211	0.642683986979531	0.983548154598544	0.527987255392016	0.898041449526966	0.361093231071794	0.00257060828652006	0.517519846316376	0.780353545237679	0.509526498239792	0.509393607097639	0.0155308381636773	0.315162530551518	0.0301952822015637	0.425390457830063	0.653209154495717	0.739301015658771	0.119210389318445	0.909720827030845	0.0383777473443284	0.790980438420765	0.774601835662398	0.741703454141414	0.635743091251727	0.83018669949977	8.772530516978e-05	0.00937394001490612	0.931465771758066	0.855742621227654	2.52243238752823e-07	0.987242035544247	0.989476650990126	0.941902238516966	0.191433300340249	0.566805140329469	0.955028783804866	0.955759664350079	0.985701925201304	0.454825206937276	0.146380115314682	0.980106672904053	0.517345923086194	0.826333271995695	0.965196858617581	0.943976482617732	0.435436104431201	0.444564992283331	0.403370708958927	0.353349731741512	0.747484969040125	0.0021874072042626	6.35968663569301e-05	0.115768497121644	0.0149418564145912	0.714169553804736	0.947978292123108	0.892699520939682	0.47718796939274	0.952295446439658	0.0773406753142468	0.818818698518311	0.398272345698929	0.772314309950896	0.295933274621568	0.0307656845614682	0.531710091321577	0.0217157603246882	0.625096232233451	0.0375535932660732	0.84294436800925	0.969962809640183	0.252494716754621	0.00166347469416759	0.986587487786403	0.18319387001781	0.331984902034027
"SRR31418710"	0.984070790872741	0.980665961292733	0.939777569859426	0.993831788698626	0.851098837521486	0.797290489473525	0.981426841147181	0.888129635950773	0.968302182708899	0.623303614669465	0.48164685697906	0.800318070167963	0.994110927331196	0.972675301820037	0.391943803726033	0.977967324024101	0.677086655289754	0.80782676264753	0.849817257295256	0.953361100285405	0.969752984446092	0.970557522806038	0.982572099692817	0.610648748320497	0.957411375412169	0.997556032501469	0.960079527092177	0.992184081023414	0.948870418457699	0.917596842312524	0.455487650581023	0.839000258893915	0.900245739452887	0.710085343585156	0.983501942762696	0.993498148600332	0.912099062192929	0.78047000584556	0.862206706129459	0.986066051275768	0.99907978057245	0.99230346682748	0.719313154204382	0.918146833628729	0.996639527377594	0.731033521092447	0.957531622986608	0.994679718370245	0.992270691923791	0.954973568907789	0.805212274282862	0.989047184634051	0.942998909345727	0.692758006249497	0.80207065390292	0.995308183895818	0.985710529733569	0.897430657544308	0.84020676087698	0.897828924990433	0.944972378955505	0.985129966678135	0.949268039794746	0.700544704082661	0.965097948598908	0.947757807781757	0.978957077885837	0.318360889214085	0.690280561743632	0.997695243331849	0.827373295970078	0.971571197935745	0.921382708825038	0.98505608814199	0.896830925562691	0.957882033299083	0.621253789770732	0.996910234788554	0.727794261638381	0.849202222523341
"SRR31418685"	0.578866333885454	5.12437096813036e-07	7.12041376806225e-06	1.18113591230145e-06	9.52842222647414e-06	0.000701333798722028	1.03716769551146e-07	0.00406025639835522	3.62900132311171e-06	1.16818830013208e-06	1.26310890987715e-07	1.44985470191205e-06	8.44860205543397e-06	4.28078866081064e-05	0.00116687762118704	2.74663389383722e-08	6.38871917801948e-09	0.00035653224588441	2.26190517287954e-05	1.27200194121735e-05	1.26019158967032e-06	6.50187047377382e-06	0.0981139869720156	7.36301603207194e-08	5.91016737496862e-05	2.20096259613069e-05	1.64567371309154e-06	1.04487200522854e-07	0.00048283309891585	4.97117377658575e-06	1.14293137627639e-06	3.8109520669899e-08	6.51188655691364e-07	3.38076508170166e-14	0.000206848582951316	0.114413764191643	0.0109071673194555	1.36998970772696e-07	0.000340516429581263	0.000991492770767071	0.000399269850758072	0.000144645828928103	3.04078211493391e-05	0.00260033349214686	0.000857460695152324	1.67770782800787e-09	8.86090884323099e-05	1.55605592503767e-06	0.00406049742684137	4.57369681281289e-06	3.73496437063197e-06	0.00616342817886431	0.000332264124013739	0.00225518650720301	6.2949258874184e-05	1.29071871502991e-05	0.000368148320899252	0.00441988592122168	2.53660156201775e-08	0.000138807318756364	2.86589780737531e-06	4.35911907057323e-06	0.000152557613110201	0.00412764331221302	1.18996472219577e-09	0.000198964028773867	3.70340867555312e-06	1.47877073059702e-07	0.00547496158668251	9.88586277959782e-07	1.83790894653394e-05	9.56665884200228e-05	8.76208704722681e-07	4.50316904373939e-05	7.31870631481389e-07	0.00251073668328711	0.000391332819130125	2.08944306017447e-05	8.38065236128488e-06	8.79855485938742e-05
"SRR31418686"	0.396450144993305	0.298795091644407	0.158503404755358	0.213513860783342	0.229969789892387	0.0626610725303876	0.307863038355796	0.132122229096737	0.0535735422657551	0.0899969245213122	0.0795313793847533	0.060201724285965	0.546164856125074	0.399579464086677	0.0701656283864858	0.0874276734518461	0.0425097484601959	0.077938416215068	0.0316463124491192	0.176952236509695	0.319383326658767	0.275265513980959	0.201501907801491	0.0181172816526857	0.67069442469895	0.0520646312012341	0.8228554827681	0.130327122282001	0.447228338150005	0.0256078736816504	0.00664287796518842	0.0322790716383799	0.247381088276566	0.0460516905903627	0.177021308676222	0.614940820174938	0.39167874104269	0.0368797711035127	0.290500210002473	0.425852220498923	0.0122293203345601	0.183488016680184	0.0995910871936361	0.825163886459356	0.230095157533404	0.128694121953747	0.264494928189884	0.147587588274385	0.108482939128598	0.0913106043468205	0.582258927227576	0.105835037952553	0.0452499858100681	0.193974490428083	0.326350362291511	0.198550841300437	0.904020049307025	0.00499475852492512	0.167546355741513	0.0801102169182823	0.153982963358478	0.132111531664476	0.0491081912928399	0.148390479940858	0.198861899327478	0.415103539785988	0.128774384036801	0.258934206510003	0.108360210781906	0.284471711817711	0.112769342885902	0.065555902078884	0.143483598923745	0.109222132737419	0.0865300106301794	0.0299570337311894	0.0130289959428586	0.0240015984445416	0.0572305603205832	0.0197376919652479
"SRR31418687"	0.0292183942132768	0.00626323677431579	0.0242348303456683	0.0989291317522669	0.0101334827371977	0.0071334480769172	0.057782646971847	0.0035000885734992	0.00392820752639814	0.00545737015957385	1.30767158388917e-05	0.000765733531595334	0.00506596168626245	0.0650951609427026	0.0124060774465269	3.17772236476555e-06	0.00449422137157	0.0351144010844175	0.0184386318191505	0.03158939583722	0.0975329944059403	0.0131839249978358	0.0158520866176782	0.000269471876108644	0.00149414434706311	0.322622112926746	0.0576175488828623	0.0116877032421177	0.00852087085466608	5.15568799564549e-07	0.000333699814950281	0.00964293078455265	0.101169967759827	1.81535579453601e-06	0.0286353730591876	0.155561560064867	0.525322832150494	0.000285585885128106	0.105079598906272	0.0267874559584402	0.0216209313825799	0.640020334585805	0.0065566988619504	0.0167044160532465	0.39171765963065	0.124858868460888	0.0116646226218344	0.141869824954522	0.187394164901068	0.110486444977306	0.177572714371592	0.0204580730503465	0.0266861225798244	0.117017337736882	0.012067915363591	2.90441540449596e-05	0.0905827867237554	0.000348901196808866	0.0159361060990898	0.0563541176052889	0.00934640259615609	0.0524307834216763	0.0525134077921873	0.0539730939116507	0.0217484455556744	0.116365542515726	0.066888373802518	0.0732002864730269	0.00342595346813925	0.225372037495443	0.0253932137273323	0.00337910663988291	0.0241895761426533	0.0975770215500014	0.184370309496628	0.0164298789240831	0.000341783868384143	0.0892688901171637	0.00204693516262794	0.00432826348140386
"SRR31418682"	0.981696083813715	0.740041986543893	0.914920681563834	0.846827450846561	0.919221090954355	0.903480283651208	0.997949868718137	0.557065563005449	0.227015194288676	0.986738902351307	0.821370365597975	0.0897610258572975	0.924895858666889	0.936467246335974	0.953574632389318	0.0840458856229737	0.633920176239795	0.868729451127571	0.954269961423326	0.770883767763574	0.43106423792016	0.929649013313276	0.591821229958905	0.0676958985897	0.591600102393329	0.554214074580004	0.87858293463793	0.685363474303171	0.709934565247235	0.00488933989848321	0.216438737323621	0.987571995188038	0.966068495681055	0.0246280187028541	0.555169852266665	0.987621310306265	0.982495758829042	0.928250789905342	0.940541950844217	0.740564858870991	0.917851338035623	0.996705029997708	0.601786603675181	0.750344253593592	0.974888765174416	0.949385781006145	0.968982845191719	0.984499916905691	0.926429594317651	0.956468380846723	0.985480533572964	0.888042500601354	0.948630805271909	0.913365107026251	0.404946439150602	0.787453587417885	0.395902652739804	0.120250422334294	0.954596248774363	0.99502030692697	0.312968910061713	0.984312895470937	0.987274796765256	0.887860897097769	0.928037927840921	0.965683777892889	0.356069424974575	0.403872404241204	0.47218814482306	0.961057952596415	0.922248876419023	0.824978478411917	0.876261162279418	0.831732313592102	0.597050862684161	0.817029861307753	0.515409682299365	0.994913075677632	0.681214500930107	0.864588756987764
"SRR31418683"	0.210910952841063	0.115367494142806	0.0643869280201595	0.726359089456233	0.422299113496571	0.0261894978974551	0.442996054097679	0.2347437424232	0.0180249705440533	0.0464844007205513	0.426758369530334	0.0621159383205694	0.455770620545378	0.254088240289026	0.177107521139948	0.146102619419033	0.140311852896328	0.053555861518205	0.106607513762585	0.176612243080867	0.0911741183067363	0.578236349383479	0.594824129873679	0.105432035592281	0.824707462307735	0.0722597712886338	0.184945245767306	0.623598659180014	0.436950001889746	0.0497041531356366	0.0290054463438099	0.147075334893712	0.363261172954155	0.2456631652581	0.197580769328345	0.85953367499766	0.121907266484564	0.0602142054731722	0.246484927272563	0.454673296559933	0.769940682139339	0.923738181398952	0.0264407763164795	0.691083911300874	0.708451426578804	0.223786325023613	0.248974495098115	0.310568009421982	0.213254482636167	0.244089478144636	0.292879513265648	0.0590305202656628	0.283261671389242	0.0720600320170429	0.112709485572568	0.269814686414527	0.201703967001753	0.25593287429535	0.103163580314338	0.381160682086163	0.498355433238105	0.3543629115942	0.68014614618374	0.0291722823678124	0.0135952243467155	0.395746814081817	0.415632740616748	0.128954800613565	0.159896126395063	0.615445001172238	0.0644620278989243	0.292475227971371	0.140835304824165	0.667841544898189	0.540411873174035	0.294339570331005	0.0620740034551351	0.0228039171439591	0.0455320014159401	0.0652976247433426
"SRR31418684"	0.998790943075612	0.999157459968621	0.218006728195342	0.0325512702959752	0.0132989646338923	0.037131752325107	0.0776450226027435	0.107105973846329	0.00586916881447867	0.000726938288222241	0.00478803582246361	0.00466954929723149	0.585364725091292	0.0199608373040974	0.0310681257326801	0.0222324768163182	0.00011300152228874	0.0816958811620281	0.271141088643367	0.018624861373065	0.0126911303280162	0.0115095081065108	0.823984420818704	1.97982639172612e-06	0.128311705984198	0.0560580011601956	0.002010438959491	0.00553467613265187	0.0663040934091612	0.426841267097976	0.0164326204002356	1.08599285015191e-05	0.000559357308180501	2.89725666317768e-05	0.0642437393553277	0.967963435493877	0.249035266356141	0.000779870470407891	0.473247602960992	0.559109412854437	0.406388165651713	0.0812181005842579	0.0134110404922703	0.124983075608819	0.980741144337562	6.7599858731046e-07	0.0308286934256107	0.0130806873077592	0.963775279842431	0.00147307603776769	0.441433566292378	0.174774346718376	0.0705630042731815	0.327397050407159	0.0356324586918335	0.0451809555735826	0.944243503479712	0.517868864495599	8.1986712425799e-05	0.0134937893287523	0.0314728155056477	0.225014245335244	0.0156111832872315	0.173781678806743	9.57672760626672e-06	0.336722748415477	0.015172061224802	0.00307300134481532	0.927310836429338	0.0848706414706744	0.00780123095076575	0.228235626767686	0.512269043497234	0.0240961024839297	0.0474117772621625	0.282596455913593	0.120274807155853	0.705712169242593	0.00489917071177553	0.221186668949384
"SRR31418707"	0.377799843278307	0.28421384341873	0.336276208222258	0.522412816309084	0.396889997957596	0.212456807028387	0.698619922848388	0.2663901597176	0.270413434870526	0.207019868813254	0.133356528604863	0.22932303575803	0.980876714646432	0.198494667545267	0.377557505396286	0.102757953138039	0.125674498063247	0.154596459313788	0.0895140626158268	0.301823071113748	0.172095423058964	0.78051057446267	0.360620162470995	0.0853105054735638	0.247210596022566	0.0965386310524645	0.438937176365205	0.315253028039593	0.445165549869628	0.223092990228021	0.0398983680436441	0.172380626235451	0.52329559031685	0.161092478655631	0.471030874721306	0.377235103877496	0.463724168877515	0.310877798722731	0.19812424012581	0.143073621273312	0.821882100860611	0.664697098515119	0.114465193817125	0.576502182691851	0.465537356618899	0.257990958325299	0.247386345690444	0.303815102444329	0.357970214882183	0.252441239393788	0.332884486249896	0.312082397271369	0.298484596041473	0.419233913845019	0.250311456071619	0.711377811993818	0.195043827201104	0.25836095930931	0.151737695564691	0.651817617144097	0.599236573463976	0.228905355880187	0.615380234731689	0.25431683946566	0.0220350931678984	0.703701822367575	0.303855448482171	0.357540401452505	0.387362184089956	0.31783073841223	0.379597886569247	0.166539922187569	0.246484846646285	0.777597969746272	0.733308876714595	0.305425464543247	0.121393925684369	0.0256611271788725	0.0908636411619073	0.122346792389655
