"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR39238554"	0.0289513065255248	4.8465490459417e-05	9.33334517514969e-08	0.00147295018665664	0.0151365253318092	6.92595782727668e-08	5.2260306170841e-07	7.02235805291048e-07	2.04084457927555e-06	1.15325074339978e-06	1.10047143377339e-07	1.60993505115257e-10	3.93510316438512e-09	2.31023077079535e-13	4.61166659062387e-05	5.73707243766555e-08	0.105600480956524	2.27544072884839e-07	0.0284873348268702	0.000194771736383869	7.52765670255792e-09	1.82064603630128e-07	2.65590895316468e-07	7.74061975567261e-07	7.2629392682883e-07	0.517961900778624	5.32543724069822e-08	0.000614133557072902	0.000658469875543665	1.23329206043446e-08	2.32544323993507e-09	5.5559144159317e-05	2.21770147693538e-05	0.00800340435434794	0.00827331872493343	0.000253951511687246	0.00264048893044915	0.00753418616661777	1.07936298546574e-10	6.24712774203377e-05	0.000184950925464616	0.00931161916377749	0.179312661407407	0.00469340711733513	1.04491299108031e-09	2.25793313952403e-10	0.00173622803313706	0.0302018223737905	0.00523856398067107	4.47473229701812e-06	0.000104846549214628	0.00120672034888435	2.85042190920359e-07	0.00268960026247085	4.72277679586533e-08	2.17070490461667e-06	1.21373797987536e-07	7.75111329426473e-09	0.000653686960699267	0.000297071628279836	0.000663091774702075	1.10912568802336e-09	1.703664776475e-07	0.0598385051361029	4.59460394184317e-05	0.621432475739451	0.000168903826434697	2.51547107760517e-09	1.39840499224331e-07	0.702075451727104	6.88026613772669e-05	0.000110165956108715	0.250792653222664	1.22485691107462e-05	0.0165740672079243	0.00168266557472519	0.017233740673293	0.000188179260746505	0.969597513345836	3.89690843408211e-06
"SRR39238457"	0.000427705864902189	3.29453559753463e-05	8.0662771928944e-05	0.00281551156744623	0.246700806706398	0.0431678787951641	0.00964947238141965	0.00949097008559873	0.384907874874204	0.035232470776386	0.00355366556140909	0.806037193969941	0.0245949478061178	3.70582934035343e-05	0.00528679559473009	0.040884617227698	0.000376002487582484	0.00527789860888935	0.00883679914466882	0.00864503081286496	0.000999831854292115	0.00260209943102922	0.00218721009990691	0.838864389440059	0.961999068217279	0.252437381276978	0.000469469691693609	0.00115504354215158	0.0028957449075038	0.000236343325048658	0.376243475416625	6.23752132282606e-05	0.000110878696641757	1.37131069263519e-06	0.907260192579881	0.327919268870418	0.000732322384503126	0.911952467840957	0.00352983790332063	0.0697508900609116	0.0274175931262505	0.00410182929126964	0.919144867494299	0.830341427606294	0.0225230573393155	7.28219113218372e-08	0.550482015974337	0.000441451798671249	0.0923624822225928	0.0129097392224675	0.00096368143905072	0.00133694747149103	0.685822492130494	0.000319554692359968	0.000153383873180347	2.27780876855814e-05	0.000736702720630757	0.00255840164632883	0.00474560996152466	0.000172738221444304	0.793447365149804	0.00167098154638686	0.0259131160134451	0.194096158023475	9.44070603186179e-05	0.264659475766204	0.00104778362740522	2.77042775546392e-06	0.00384583982398647	0.254193398930224	0.0868718082942312	0.186444487672263	0.000117592860862988	0.195683272170141	0.0501453520336144	0.00172744894800187	0.983019620566282	0.033631038086465	0.0300351133135676	0.929036969382927
"SRR39238553"	0.00104703531684417	0.316872349167892	0.00263617724439346	0.0178309696696588	0.0124365924656473	0.00997582524097693	0.0120502139980164	0.011118180111886	0.045298943580502	0.0278249556394173	0.056427395226263	0.805206570923548	0.975095944458142	2.92360187747462e-05	0.0724057569218136	0.219575171954474	0.0488229884157662	0.000514525224508844	0.0854700518443307	0.637915418097011	1.0639370986978e-05	0.000612776027770239	0.00026458836879332	0.967945408161596	0.986073258804647	0.0108233217092123	0.00227781690235862	0.00145650465034149	0.0462755794515654	0.180086426848367	0.0368180180455472	0.129838882101902	0.0419691910184636	0.00883248062075025	0.0365746967322303	0.00192443826935019	0.760885771861045	0.999070351103426	1.46024611418014e-05	0.785060992779354	0.711701075010892	0.937551284657781	0.99811871246356	0.639117537252793	5.22872354216291e-05	0.000341219066485694	0.00278393132462276	0.0237100979343858	0.990702967115559	8.29999301478217e-05	0.953510190642216	0.00917991642613556	0.0167155819788418	0.0518697835469813	0.304804180618708	0.123315268635343	0.836041551349646	0.00363465641572364	0.806809214807189	0.00208341876383969	0.00620425159657055	9.05837926898264e-05	0.000261868066638859	0.984896942091255	0.000234235194717383	0.0581713192618791	0.906457798660851	0.0158223413462223	0.0563541743708575	0.0414640495720755	0.00199222672371508	0.31658832059746	0.881523265174569	0.0138531636754365	0.360597554374341	0.00137160343071458	0.967755201806576	0.000717758492979441	0.721888895861498	0.93262159183122
"SRR39238456"	0.000749307976527738	0.00274453191874563	2.07042916266523e-06	0.000335040623252385	0.0240617584028029	0.000533218951767987	0.000228053705501377	0.00149455597976026	9.5277940232787e-06	0.00271266647415891	0.299626936534648	0.015552336765947	0.530088675955885	1.34881305514629e-06	0.422221186492092	0.0109909619943593	0.000852894346292963	0.00158627531004984	0.116053718225666	5.88375238733772e-05	5.88794148709282e-09	1.65467299668574e-06	1.34514710974084e-05	0.304009596608186	0.00268915746412648	2.11560738702334e-06	0.0120344222943195	0.000158680850782589	0.0937443818266832	7.65347844992842e-06	0.00810628315932881	0.00679707897963475	0.0772220715394557	0.429282033615182	0.000394282022010599	0.0001052693690325	0.97687772270682	0.999878294339702	2.43510015323157e-10	0.296331671778053	0.000201487416819526	0.775410632563625	0.966340171852265	0.877087033333073	8.29030468570159e-05	0.0741741935547459	8.75459183615312e-06	4.54264758607504e-05	0.0845898360396228	8.45767722500694e-06	0.0557945429964316	0.0172422124714638	0.000633134938831957	0.000718411839546499	0.00596927382502563	0.00468640168884959	0.0612007852022002	2.56859348260447e-09	0.944204109576479	0.0119101775202578	4.28680362277232e-05	0.000619750398981854	2.74365012856217e-06	0.364807129878046	6.32513679061367e-05	0.00211650081962238	0.464102604150694	0.000140178575566621	0.021247905574789	3.18199089525911e-05	0.000351028466022095	0.0164905066465861	0.170258853870137	1.8567272180933e-05	0.0151186672695074	1.44100554806783e-06	0.0347276103395039	0.193194049504331	0.470709048299695	0.958350587655565
"SRR39238532"	0.00448258552484658	0.000392221136645491	2.89572869816338e-08	0.00274645694337086	6.93236365291011e-05	1.59189069157066e-05	1.59350255958384e-06	0.00371051448963541	0.000240270883656558	0.000258040270353473	0.000520505240029522	0.0238624181748572	0.000790047228684304	2.47778134353601e-08	0.000183324011525847	8.92921627253778e-05	1.40314281393901e-06	6.00909453904e-06	0.000383646037868083	2.72743511708395e-05	1.04508577169451e-10	0.000122131984256182	0.000240916933088896	0.00704572390687777	0.00133982195639127	0.106782489933495	2.51257444552615e-05	3.55920598855773e-06	0.0213792658923801	1.98091488616174e-05	8.6975534346631e-06	0.00107628942915836	0.000871764476316112	0.00441947690979606	0.303741013091489	0.000230942349273226	0.00514998995706544	0.572196688182257	6.02179672413482e-10	0.00576754409971775	3.34144391124197e-05	0.0269155084248323	0.975457582012999	0.0280963567721145	1.06409042813624e-09	1.48476706838701e-08	0.000431433215442195	1.44186852633319e-07	0.0511673028636608	2.33679671603671e-05	0.000979276582897604	3.83157752577898e-07	5.58809310074776e-08	1.38689506143101e-05	0.00886030749927779	0.0163928578532163	5.81358385377928e-05	1.10409534240681e-06	0.00163341458386232	0.000188586107569179	0.332303347644799	5.19599348510491e-10	2.22133863224793e-05	0.20166351053345	1.05099103650721e-05	5.68763058029519e-05	0.00148228492289181	7.36713547121327e-05	0.000613044742220093	0.000403439417101615	8.98457358510488e-05	0.000423580656070391	7.41132778698934e-05	0.000586238850766516	2.24964911284262e-07	0.00106730207518081	0.0563418198014889	2.568132466087e-08	5.70191106533485e-06	0.000302257889551603
"SRR39238521"	3.34590257900643e-05	0.000287634250432609	0.000403594554778366	0.00267598514000201	0.000542593665625332	0.00011674845416464	1.04976269078358e-05	0.00108645659920116	0.0221907650271887	0.00169946130425501	2.49289145993932e-05	0.000704558346720974	0.00907517219208816	2.7599311254936e-08	0.067304302368779	0.00233700559113747	0.00030716310126051	1.22004875076749e-05	0.163387145931422	0.368195737572235	2.75798749679689e-07	9.26423025978099e-05	0.000329542388472432	0.00841182853055386	0.624361684489408	0.092790264829663	2.89454233300147e-06	0.00541452788705505	0.109779487142136	0.00820974933056936	3.3281524134863e-05	0.00195269517283258	0.000270928284848752	0.217508680399236	0.286253037933411	0.00179330821995337	0.0415215043193351	0.996095687172739	6.59159927017443e-06	0.000700050916640439	0.00565956165583861	0.752653643131096	0.990077591721336	0.84894608990742	6.11607901548613e-08	4.21240535045821e-06	0.0249692315222887	3.08299126471229e-05	0.990258999066361	0.00114166169485869	0.0141728653626163	0.000435320066301213	3.93844922937945e-05	0.512503685305528	0.00527920667334667	0.00648992898158601	0.00721368598330859	0.00236520080533837	0.00309895295439549	0.0185758523877088	0.0136832242382566	3.08708340457144e-09	0.000235990673512942	0.719003613483207	5.32364248533315e-07	0.00541794984592389	0.0570461015527531	0.0285397971734448	0.000202220496910058	0.000762295144821364	4.92934380015935e-05	0.000136478904582441	0.00688012341110366	0.00435589739513328	0.0460681591749032	0.195066179534447	0.48069437981363	3.67943304737205e-07	0.000943865496178234	0.0962327819521913
"SRR39238498"	3.60233513554644e-05	1.02848296851777e-10	4.24704732896196e-08	1.45465383832721e-06	0.000762506809121384	6.25576112746968e-06	7.5175547208714e-07	5.350191649216e-05	5.20196039134759e-05	0.000804080799510374	8.62990253086761e-09	1.00955205124523e-06	1.05287137210706e-06	5.01972482714523e-10	0.000545287372812742	3.17027819372908e-09	1.51510551672779e-05	8.15173504288881e-08	0.000552964275533237	1.53377344969652e-06	1.60021077599944e-05	1.66506719772077e-07	1.12762165189011e-06	0.00419599283806581	0.0107729580361838	1.20779202665819e-05	9.90238341416843e-05	5.71413665586714e-07	0.00345830211858577	0.00013989109667361	7.06031043768438e-07	0.00448918515378606	0.000404739947544992	3.29428464263766e-09	0.000336599524183971	5.59767930890715e-06	0.00140376478604485	0.470126756834783	1.26307022173102e-06	0.106293737612997	0.000179723085107059	0.00011343347635789	0.98964360659704	0.0189835117104532	2.45428091467277e-10	1.02793191661266e-07	1.28698917334234e-05	0.000747177900093487	0.00171475623045056	2.14355668996937e-06	0.144572204695244	4.50960307985022e-06	5.4219580209552e-06	1.5517411553924e-05	0.000332252612433561	3.12461251872843e-05	7.93776053715475e-05	7.91461133817132e-06	3.77325277260281e-05	3.12463532591663e-05	9.31967161332951e-06	2.36979081506734e-11	1.39402297288245e-06	0.0397130469888559	3.42122896008669e-09	0.000462018476864422	9.87421676541832e-06	2.37124673351093e-05	1.61966715611523e-05	6.39789567720094e-06	2.34068031672501e-05	0.000191625982047455	6.6248773777298e-05	1.6232507200803e-05	0.00297794598229213	0.000252778109455802	0.0349263121802989	2.94048127062028e-09	0.14792067863582	0.00124487448246644
"SRR39238471"	0.0054945398710369	0.0888003349370343	0.00274930273986082	0.666436099551087	0.752580853843695	0.921646582118207	0.00383481293193603	0.0932028576957303	0.0355768405606098	0.0818639336576608	0.864883500221274	0.0655324690180547	0.946080085744088	9.61909606233509e-05	0.832061219801214	0.0528111234166087	0.945906357018475	0.0645936625860688	0.889558762794934	0.999300130308145	0.00215843296147853	0.00162479944574019	0.000243625632977423	0.91011296410609	0.99999960457039	0.0150761017891537	0.0411463137321355	0.86031951165734	0.996911990589753	0.523723986817378	0.99802139926322	0.268214510838911	0.796603109767363	0.97127429260963	0.969012438236134	0.0091816309202336	0.993891137649097	0.999986659552188	6.66457560066385e-05	0.995913109645991	0.206021854094625	0.999777871500144	0.999992666047234	0.997813784182626	0.00856781619204557	0.18111953394473	0.173613560125285	0.380420123684975	0.996562096512084	0.0647241996361705	0.993566276067958	0.471349894802182	0.98721831281947	0.00117053263485441	0.552574835381684	0.996857679196059	0.0766239754751506	0.00170428309921356	0.999481594393056	0.100392320284565	0.100485968837266	0.382189137074912	0.00194950072252792	0.935138320278464	0.000129384314074283	0.78608847757305	0.991990072098524	0.0302909827934557	0.0186935759614483	0.093065738564391	0.0311804726820669	0.277662427245289	0.922959007169236	0.232083752364562	0.997091664228398	0.068813871876952	0.999829472871871	0.968934401652213	0.996847666740043	0.991205603808887
"SRR39238492"	0.0800963019705881	0.0270641547428924	0.138493828414902	0.0253626422447685	0.161064765393315	0.36211468016171	0.181670821107124	0.351098182179089	0.128770748398618	0.251734353751269	0.0754262590171653	0.011653053164954	0.0454057011189246	0.0068363623061178	0.146508130651095	0.4666076475424	0.0435693098492324	0.136327155694773	0.188255724658562	0.082426295977334	0.00855552156123436	0.00408232198994687	0.0168136676475328	0.0546670378815314	0.767438830187466	0.0226432143723932	0.0968712313242294	0.00556395516484196	0.818498218886306	0.477622036987558	0.314055515809167	0.021063661403352	0.59305940935672	0.947291274366926	0.223961864629294	0.0168295196339701	0.701373583429858	0.972125275995278	0.00590085301803995	0.32666155619005	0.0123692802351237	0.703452163647272	0.801970333737503	0.429451325989492	0.13789907394552	0.00026095898691097	0.349895079884778	0.00591770641057869	0.982254636921014	0.00773744407539666	0.00416323589200278	0.0817868577172796	0.510520495313608	0.00356349169272506	0.116672207522735	0.772805540900807	0.0598749337333492	0.0118974001892964	0.061254531453056	0.280193046383962	0.572216522285827	0.0300374892493627	0.141217647224816	0.974935565865665	0.00976131154583676	0.0539914110197752	0.00711826282788437	0.0138382082367705	0.0179184243896297	0.0220631624115695	0.0376823133504279	0.579345216882801	0.0121076321770541	0.10201973313095	0.0254422292149564	0.692446639479376	0.305981660135851	0.436490885909598	0.00120438353934017	0.168185650949488
"SRR39238481"	0.00232703936693367	0.226147445215267	8.92621502573231e-10	0.0447259521391424	0.013199863863152	0.00489406021714485	1.01566128361326e-05	0.0308685832297025	0.00909172773562463	0.00476791733027388	0.000293461107491737	0.00162736918894249	0.0046296430726924	4.47040164932938e-09	0.011004546027947	1.65214805983929e-05	0.000253901533036673	6.13022874289748e-05	0.0011853711055698	0.000170275779440176	6.30577937705115e-09	0.00149673055183009	4.65401495379515e-05	0.00760996768571736	0.000141187025210067	0.0203339722450577	1.84543008623462e-05	8.30148332449794e-05	0.0327439304350596	4.67256885179176e-05	0.00305424804610981	1.7157352676902e-05	0.00810992435553735	0.124330376004721	0.940271101191791	0.000271773595067594	0.0711772118071174	0.806583292829417	2.10695197970508e-09	0.00133782476389123	1.87070704463994e-05	0.00831982341228811	0.972795212139727	0.0381482715617392	6.64278422527753e-05	1.79718076661768e-05	0.0672433769250474	4.41998492487132e-06	0.225136214708337	0.0236668983420116	0.00696558248608669	3.81446059647018e-06	0.00527628130390159	4.49557097644293e-07	0.0061597833324739	0.113759051531661	1.2552643015967e-05	4.87010598153228e-07	0.000412089602727629	0.000723237719298345	0.111866989330471	0.00129540815332481	0.00036661235854085	0.102713247003907	1.16262124052455e-05	0.0151490728583529	0.0024012128009357	2.76815347777703e-07	0.000164615763735666	0.000263967269079973	0.00123891512222847	1.49921305397079e-05	0.000515381216849099	0.0236884974115511	1.20325835143649e-07	0.000367815822170925	0.0251665767812339	0.00102712622494481	0.00426630871429783	0.00671886659018085
