"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR11292125"	0.512355197520206	0.421764288330852	0.930935546365114	0.027000381687267	0.0603879683389667	0.418935091031484	0.00233833830185229	0.401187081079649	0.991627935565043	0.275691576794075	0.850798518811358	0.945605098215801	0.963646960482788	0.469231685352153	0.352104074286993	0.309796681948837	0.298519724174249	0.608820492516784	0.576752473037101	0.995391352756651	0.0217007407422384	0.717475387743521	0.026264764221091	0.99927073205647	0.338143410102636	0.99976704312162	0.605055809787981	0.0139836573145269	0.0586792763902117	0.910268121430289	0.031124264806274	0.973457988589559	0.674346840820584	0.596844778587334	0.998136545455578	0.175348011322206	0.473100385829687	0.257309960316876	0.277047370927252	0.770315184354459	0.978236568837178	0.251174189909633	0.939529478273845	0.159995487614146	0.00486307779666448	0.0765884304107166	0.608620251380921	0.0594894932418698	0.982494117300779	0.343562614443106	0.252493255598396	0.532836995521326	0.038384085028868	0.958421760013723	0.611220768756868	0.97819623474972	0.20368230032716	0.919674590961281	0.91142893662358	0.959364991740475	0.885440647338796	0.748672921790141	0.141829257838176	0.915308780097429	0.986239687786563	0.0297951870558182	0.997869815786978	0.962814121827541	0.0714176308521908	0.614325449177358	0.849302619151918	0.0444556405588458	0.452734481873336	0.758285349824292	0.00740154961732928	0.816587695422141	0.811282215819527	0.192313477599604	0.845888652902504	0.771396244599367
"SRR11292126"	1.18530180889734e-05	0.98945746987909	0.571629307954522	0.00171672177972244	0.31174971990367	0.00443116346638486	0.000104097637832086	0.0274559684347745	0.000268428861844731	0.0492292484943747	0.00115334350052601	0.071070731251291	0.00153522418607863	0.285261463120036	0.00935326062366252	0.000500349985263119	0.00323599299981386	0.0196703250849839	0.000695446698462335	0.300575066517175	3.01396855319852e-05	0.0016136752398414	0.0011916247486209	0.104051288153543	0.0386476702733514	0.0132117329775041	0.944884050179239	0.00121243157374091	0.0123512233941436	0.967883172128232	4.67988460267482e-05	0.175596235275081	0.00699838895315717	0.00228008613191134	0.000838907286850653	0.00503917879228385	9.7387394446102e-05	0.00531629387394025	0.213388326001107	1.42634709395903e-05	0.980585494778385	9.58767428228256e-06	0.00362865498046015	0.000539232228233357	4.05871143903299e-06	7.63595453776522e-05	0.171458919977802	0.055969998537147	0.929170580403745	0.101932767713619	0.0327986669630786	0.00652453457299708	6.35369799880362e-05	1.55745900136036e-06	0.00926943792252901	1.59746033738488e-07	0.000545739694452153	0.844970334540763	0.000928335496018931	0.00223479901506436	0.00184788580064198	0.000198219837606963	0.00868658715946718	7.87841239564737e-05	0.0395949496673296	0.391341690621519	0.0168438268137915	0.00359180105607857	0.0164677466380262	0.061668786727453	0.043488734337188	0.541659606895823	0.151112891989011	0.0348288386103676	0.000788769906123235	0.0344818196285237	0.424920521140276	0.000416383262125775	0.171883287625244	0.169979836430984
"SRR11292127"	0.0859442409392853	0.989435479867047	0.00224435842412026	0.00136785260044979	6.07678977913627e-05	2.08300653621346e-06	2.25189826864255e-05	6.32665039911248e-05	0.00305797418543235	0.000256190631791832	1.20481416188039e-05	0.000173829218292651	1.62052684862686e-05	0.00330806916786011	0.00356184646733666	0.000263715847713103	0.00171409687411708	0.000116885720762698	0.000422128735781671	0.00431759653452602	1.38833850222875e-06	0.000126839368778913	2.22772703740168e-05	0.00756731696926762	0.000807313236661049	9.49299844630348e-06	0.0006836285813559	9.66372289907442e-06	1.58450379821824e-05	0.00264372307336077	4.51337270576623e-09	0.485737353242554	0.00290585083820355	5.10993724903033e-06	1.12616538362026e-05	6.01496424886451e-05	0.00011852884099347	0.000254385167093342	9.9125028779829e-05	0.00112625023853576	0.0726106458549297	1.63137028951864e-05	0.00325759293727951	0.494213231876919	5.02191346590867e-08	0.0581880166861208	5.1495590163348e-06	3.92445208534241e-06	0.106921035425808	0.0338576450171902	0.00275223981727966	0.000191476895084952	7.63944669263616e-10	0.000606557979404117	0.00057803338329065	4.72707271841179e-07	0.0731882367452026	0.000647962044917269	0.00429155480635447	0.000163218268950998	0.000190359385018778	3.6938917764974e-09	0.00171430242706775	0.00012580089692067	0.000920380280243231	0.00287993244248218	0.000427398395822795	0.0193987422568798	0.00573503180423876	0.000250563528877159	0.00185317916098484	0.000221337576678594	0.646046911485514	0.000782112081578722	0.00151059073565073	0.171400518417855	0.0198158556306807	5.58202509324046e-08	0.00243243225781945	0.000268654632873817
"SRR11292131"	0.914131802593992	0.208666437882355	0.089533065006795	0.00013429562805381	0.00113183689465476	0.41467119337307	5.7315370139921e-05	0.00782497999948147	0.147413351929528	0.0143928792231893	7.4037218654353e-05	0.00865493855660978	0.000376615782986394	0.239043626055178	0.000263131223024328	0.000119391896801982	5.8796481323907e-07	0.00572096265356701	0.000125237087890092	0.0213353618709496	0.000436944031689648	0.000139841183599799	0.215620772073069	0.00448904865683598	0.761594219798329	0.0037177762681274	0.000333970503575483	0.000180407292207803	0.000262905997347258	0.0353255957984563	8.86364661999461e-05	0.000528681364938335	3.46969431517032e-06	3.06573421074996e-13	0.0718749301881844	0.826679675043433	0.01497741684876	0.0012337896589158	0.166034857389679	0.864692135708233	0.33240690876267	0.00132614076995454	0.0952917781866396	0.194814818974816	0.575560167814354	6.27525239340671e-10	0.158256137561098	0.00443552046712309	0.334277495495844	0.00048605035707283	0.00380965871355272	0.412084342064919	0.0281620474851955	0.00392686962923679	0.197892406223048	0.0139405563887779	0.958084723735496	0.0465376013960874	0.00328903431426034	0.000120206747146215	0.00168307869946511	0.0454177312702606	0.00748319924614408	0.055252578821236	1.08898698518489e-06	0.271080921273266	0.0224859079337608	5.98942222116668e-06	0.176162320831151	0.00249419481553573	0.396269887952033	0.137334701287451	0.00310886900705508	0.00196144296662726	0.000169348640679903	0.000663636961945159	0.535817298277514	0.0455491483102642	0.00732180631612408	0.0402967307487686
"SRR11292132"	0.00490046313484417	0.538239205781902	0.839606980230286	0.322814443990463	0.858252942398553	0.468331946619595	0.00679631160663311	0.152585769598913	0.990252392187756	0.821521267169062	0.908968780276098	0.998509939943989	0.9340511906557	0.901590018022562	0.627100075771931	0.655610140336245	0.00905415549098936	0.92314766406127	0.241392273391717	0.942369138469276	0.05216683432907	0.652555840288828	0.00887547824829082	0.999200736113289	0.0204346182887394	0.983399573703219	0.0508686698568569	0.153805198394727	0.0444137564925199	0.717068988894623	0.60038231182896	0.762076442552804	0.0111693720426946	0.48952866772275	0.984040838549386	0.860371453847652	0.22286491154304	0.146940057400932	0.318938559447354	0.676981987893062	0.978564774307235	0.0302480124898564	0.0599413095452645	0.022261040463085	0.0291386213447887	0.0151835448191927	0.956729375369536	0.184315107089101	0.0558005268449534	0.799259409519759	0.958192971952968	0.0590931783719607	0.76068604169197	0.961136035910689	0.528870956383708	0.391561224440179	0.133256202045904	0.995016894069368	0.998008675043056	0.868060703432644	0.995907884628974	0.965507763721608	0.888372413418441	0.00770933162557357	0.956614243140918	0.695782248557331	0.998326551890902	0.748003624516566	0.0279867667852067	0.558379400374691	0.0183140754439706	0.832326637701922	0.120399592908034	0.127797283550625	0.269347608632148	0.870303539061596	0.990921898769588	0.994749591179659	0.406850560220798	0.974081827096277
"SRR11292136"	0.924500654759976	0.999999132629897	0.998460992834507	0.406737183774502	0.0535286061543518	0.393484106982924	0.0691869296940768	0.245795286079685	0.988121042995114	0.611747008567566	0.0444080833604386	0.255362660831961	0.0780002027778319	0.87280985887609	0.254212039906441	0.284702048682098	0.466813095281435	0.99365776515487	0.0305421465653604	0.954817390349852	0.331758092521722	0.235914148864501	0.420989268207559	0.392919414826463	0.692749454139574	0.498002276690479	0.225404179858306	0.125961669099494	0.103494977784083	0.993818920131668	0.0608547047877917	0.889352671405605	0.795226321511026	0.687717815202401	0.549171461501584	0.744686472608615	0.633780627275765	0.558482777785653	0.807788272849727	0.921046146409181	0.996931564831239	0.919119041726416	0.91385818823194	0.167268316041685	0.988889730314592	0.229258260979965	0.691562783611475	0.382732493373312	0.999140147585976	0.980398413458907	0.912592211442153	0.965474258323429	0.36131166404016	0.450436318078256	0.90566393605541	0.908891360544196	0.971530860806604	0.956111936551827	0.931609235228419	0.474798999887992	0.609857619003011	0.965428788784216	0.957956046841206	0.613798321300949	0.990237135390054	0.952754310842673	0.964035496136557	0.848555568183779	0.655910501815541	0.340181568525926	0.912865250043899	0.928142636978042	0.641706599492604	0.684702647335609	0.0561430551959705	0.958557715268478	0.979162931841547	0.995738740412296	0.972291158376865	0.862677711936609
"SRR11292137"	0.0268179191932521	0.000462365227699539	0.000979251197230133	2.06222930085709e-06	1.52956151149067e-05	0.00122548198549858	2.1655122095066e-07	5.43657295389519e-05	0.000900096440570189	0.000128090515529502	3.31532315924137e-06	0.000475756851826958	0.00427842480539557	0.00549325086342728	9.05739822325407e-05	1.36111342401894e-05	3.69854423171008e-10	0.000700918326264437	2.5598598662115e-06	0.000571724020667234	2.48543733515916e-07	1.28210344968702e-05	0.000574451221088703	6.46086574395615e-06	0.0839396996382097	1.26338474812234e-06	6.89789200792392e-06	1.34194931292084e-07	7.21755965044323e-05	0.0349231953654057	2.71637214004059e-05	0.00222888704857345	2.52611484596273e-07	1.30433144123223e-14	5.64749848916925e-05	0.0667295644101725	0.00110822336692675	5.67200013996653e-06	8.79087901445368e-05	0.431983024019087	0.00213711702280533	8.91018671808439e-06	0.00444510255391037	0.125086646700371	0.000583745142399765	5.64633347680429e-10	0.00268865036910019	2.6788809744108e-06	0.160787026338222	2.09194524855187e-05	0.380374329237917	0.00363439433078476	8.28694083671274e-06	0.0933626951927669	0.0236420147434396	0.000171362037117448	0.764049328737765	0.00213998990373965	0.0228453917676545	7.39755155831068e-07	1.6359430149622e-05	0.000457634581215217	0.000182908620904191	0.00185659113655942	2.85665966144281e-08	0.0281316202763919	0.000804794620582988	2.68684185092937e-05	0.00496472986377305	1.31807335180116e-06	0.000199351561698044	0.000114186433112738	0.00219102651605911	2.48844338754277e-06	2.42238406684977e-05	0.000676036237240868	0.149845303654973	0.0127573598624976	0.00154271581612395	1.89146032344423e-05
"SRR11292138"	0.0024095164639197	0.106694390901997	0.466921014345746	0.0391790176779698	0.513178863284714	0.135767221972119	0.0166503832550584	0.0579656113356227	0.940095396729256	0.435029644973345	0.898649093482608	0.999501885099223	0.621850915328211	0.461465476612929	0.869365582334358	0.349833917615639	0.000767331997975117	0.954504634768193	0.239392269938501	0.875887486452459	0.0106031461627082	0.19520565422056	0.00553224305956702	0.998528471355717	0.00345264784763555	0.858750729323959	0.151297051924677	0.10776561381152	0.0307055894673678	0.328997538319366	0.435306407999396	0.722608414164816	0.000457802131068434	0.262455946593396	0.89805117983629	0.560924996722765	0.12966113420907	0.107149436511484	0.0253978687354386	0.368993719073069	0.73022509674866	0.00380090485215101	0.00329753510792086	0.00435309227730051	0.00174081004519208	0.00754842769425606	0.561673203341344	0.0328901724021999	0.0217171724757241	0.299384854659985	0.616261224568996	0.0310385539213183	0.400729814717672	0.93494016565765	0.0636545397118138	0.0344586064430228	0.0532872890936779	0.973220459979075	0.99833363582424	0.611447581705507	0.987281718076719	0.651189795195646	0.969250269610407	0.000473934349138315	0.639704431829675	0.22671631368176	0.988473638678877	0.396652039668009	0.00148947726732865	0.040452459760626	0.00150820745795344	0.531582719520364	0.0396124514661472	0.196100345611389	0.257749711408551	0.823974757854662	0.584742658345361	0.95768607084932	0.124567499248395	0.977323905181833
"SRR11292140"	0.00169499575251463	0.998369390007574	9.70050344743394e-05	0.0012513577435346	0.536901802434128	0.0245183533465399	0.000394762155979376	0.0623957911482598	0.00752498108174952	0.000314798918021918	0.021943186949432	0.988958179579286	0.33348212843529	0.00478795113891744	0.572016523140752	7.05662668194792e-06	0.0174899130806705	0.248750558106275	0.373708797247285	0.00511503900315415	0.0354455570255197	0.0428767675574	0.00149767282309873	0.0324669534900002	0.0140133918161217	0.339862760584298	0.493039248348801	0.000464092092911723	0.00517241372795234	0.0645016457248441	0.101253810808718	3.18942538722163e-05	0.00133352645006071	0.39036743153484	0.115726513041022	0.0223912901120165	0.0558143833569845	2.89505076488764e-06	0.181882099038612	0.92999568252314	0.0123657889969348	0.038417645007655	0.0961352970678686	0.0594352297113253	0.000194208605448369	0.0337877030103445	0.176961700773367	0.0917005479226154	0.737939821700778	0.167988081221699	0.0139462137936603	0.00185172973724767	0.0199058636948542	0.0449110123899171	0.0844668948113782	7.93854338812842e-05	0.667490475563849	0.0702889168633332	0.447065299020007	0.00593439654707632	0.0984158479307613	0.50731204232129	0.0496112773903453	0.000180267163535634	0.31337994279471	0.0265989066628015	0.00963359740939655	0.767899732839212	6.69652326007074e-05	0.0213232117678036	0.00642419902097752	0.000202853321638224	0.674385579612108	0.432862254609803	0.0682338649063297	0.00528960758101846	0.504631251345563	0.225816195253052	0.267820060769832	0.833070933289983
"SRR11292141"	0.906712086703353	0.119763777846732	0.859928775780545	0.720111553191702	0.235604374952058	0.0767761040884774	0.945930854956581	0.54500213358625	0.0383734990613997	0.107058517866844	0.929148734192322	0.276158815294104	0.341219729619605	0.935904238500265	0.350739083071128	0.854867283933531	0.216431828348411	0.311685560252883	0.55920315747977	0.77533733242292	0.132957948543112	0.722918154821816	0.731413681490146	0.703079800428133	0.848217938278337	0.896283178284291	0.52068830645102	0.596338088682385	0.154037691163777	0.58251156678016	0.0989489543794548	0.944636245434759	0.843636237171388	0.00664970924200433	0.488790018119778	0.486295078721502	0.143965110098002	0.899692255666774	0.57909347896869	0.89884387106245	0.573568904680665	0.178386708599057	0.69774956982279	0.990366540112521	0.468822232704764	0.0238657632935375	0.511450979295581	0.761712864052166	0.263237904007562	0.035909575485794	0.92712145691198	0.449508514235895	0.161170165348307	0.378988837112645	0.816978012230654	0.0117778546124871	0.997384663060461	0.374120972863559	0.60189901409494	0.313925495226369	0.748535867047893	0.845113303508704	0.520074573606107	0.522037877518466	0.182690455556707	0.444094646403708	0.967177678593806	0.402236090088567	0.984130484750701	0.948185349502445	0.289222135653189	0.915962609270575	0.525521602983813	0.127024854564568	0.227748614858629	0.765498357454067	0.37210657447887	0.35066895046426	0.871718172749967	0.721252005380012
