"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR39238494"	1.41751146292082e-05	0.0263602070648071	9.01946482418989e-06	0.0074067737135614	0.000161014030178973	0.000289884807223241	0.000182326392367148	3.80593281558618e-06	0.00230080808639105	0.0882868176159936	5.04338523695453e-05	3.09393058099241e-07	0.0123126396052206	3.49508481697223e-11	0.605869515389398	0.00287975991157595	0.157340504882313	4.83860867848162e-06	0.924844506559568	0.00493114484403506	0.0163075672305482	4.94972207575598e-06	0.000695658838773782	0.00702915193932153	0.642464976708216	0.615006824885026	6.51424464156242e-06	0.104422669875097	0.97582621972351	0.994344390317057	0.0306590262160796	0.928808975291714	0.151176545243198	0.030440715541884	0.00285336591902701	0.000512430481808762	0.339628896276638	0.994277593672007	0.0138748258696977	0.000103843921563022	0.999869217979107	0.957610164806842	0.885622652724636	0.332751067107931	9.80052463221459e-06	0.000202541844908247	0.363602032634685	0.33962098595205	0.838651070950726	1.44148099247782e-05	0.999915246751481	1.77067299669863e-05	0.89705446860059	0.0364585163318235	0.0340357370066644	0.143258097232343	0.000291787098736102	0.97468546770959	6.70519228167288e-05	0.603250313374953	0.000382422180522464	3.29707473996775e-05	0.000137767874193675	0.450354407718235	8.32771833093168e-08	0.10240906644119	0.000114895285320291	0.000400229629866694	2.69941915187633e-05	0.201923695363443	1.2095746384963e-06	0.349656620798702	0.0389316514482625	0.000885356324255171	0.0239255977211604	0.111694122499817	0.974292186502586	0.0924166832546998	0.84628838547738	0.00055594002870557
"SRR39238509"	0.754094069284033	0.994869283803214	0.995346287294752	0.914384537283894	0.992954744502439	0.903526710895342	0.99883551016936	0.957910743762668	0.635051668233484	0.751191638589933	0.0925721106756564	0.261364705568498	0.947713297803028	0.173203774811444	0.908042588809004	0.95049339714131	0.994664564776909	0.826010626914037	0.992474440249717	0.999418194405405	0.997784070720502	0.987355818414545	0.408396512187017	0.987529394437871	0.999999911145341	0.995563552983128	0.0838132562004453	0.817452621845584	0.995185695451939	0.999997981109794	0.996060600150151	0.999771886487378	0.678242666417703	0.999044325441203	0.944247499563238	0.546665619031601	0.998907941565074	0.99999365257061	0.998359204414524	0.889211295743389	0.999985855163376	0.999950457278723	0.999776499899118	0.811046277236576	0.990981184753213	0.208814161387228	0.996499798559905	0.952556574841345	0.999975425425967	0.809175907416468	0.965347062438292	0.999833489589754	0.99998549027758	0.972023862246893	0.721215331912028	0.999980995238359	0.0498999122363864	0.997991269318969	0.978395127358684	0.997443830103895	0.967165640914055	0.881445460204286	0.929319912823993	0.994975125518041	0.760820773848197	0.976289713823473	0.997784730660559	0.999555573931798	0.242410940519889	0.999171664009388	0.666306349556453	0.991868672739687	0.914552997514422	0.999825028211887	0.887236046699872	0.998447389623408	0.999654023480526	0.993213268963174	0.991950037024937	0.999993810353843
"SRR39238493"	4.4519127000474e-05	0.00152950311932365	2.96104556522487e-06	0.000326257877539779	0.0771815232284075	0.00307286442194579	3.60398158071639e-05	0.000117138658137043	1.49853041182146e-06	0.06349005963696	1.95030933640208e-05	0.000102258115002301	0.936595545528762	2.03272802697011e-09	0.610960741169525	0.000778140134097804	0.168375139249041	0.0892780875612914	0.044418445908627	0.985790436266199	3.34251137766822e-05	0.0378557066898356	1.00794167436539e-07	0.000813774404444887	0.923280706232423	1.43111371993195e-05	0.00109465302065391	2.91121306452613e-05	0.0383423924001059	0.0347227719177015	0.096665265934588	0.00183013193441878	0.00156169466065531	0.00986942137620401	0.00147413375564118	2.42974709244889e-05	0.344111312935364	0.924635179968771	0.000263480325910839	0.0876104010153729	0.000267078301068637	0.823749274190171	0.994066724449702	0.96082562594137	0.000109106407038527	0.0163213877409217	0.398009662655747	0.000291920371848073	0.999964560617199	0.0319360090244507	0.992490794883381	0.0209673881727814	0.752877442131406	0.0726744541780678	0.00219327708982321	0.808077033732742	0.000719691530620916	4.97016653227181e-06	0.0962833333387062	4.82522122195084e-05	3.73084035491469e-06	0.0269350053664096	4.55527628708702e-06	0.268305254780505	1.28026864387426e-06	0.319075129585217	0.055348852757383	0.657194249197274	2.80719677331478e-05	0.00108622747557961	0.000121995237495338	1.69993015596817e-05	0.00145044651140413	0.000548871323762823	0.00254439345515334	0.138810611739839	0.75437163721281	0.420936945779764	0.985919234770975	0.987119486043374
"SRR39238551"	0.000456466884764648	2.3167233503126e-05	0.00061666708788293	0.122286918677909	0.21895440373512	0.0134641770764034	0.00958941642516499	0.0230844588904922	0.978651451256058	0.643652665569243	2.59205031355423e-05	0.990924594376474	0.344670314048008	1.2879489582524e-05	0.00611599031154906	0.00105136962971939	0.693086786150855	9.65535625576815e-05	0.0806318455978196	0.154288978519462	0.0268804349905794	0.0146637820445264	0.00298794121666411	0.996193746844849	0.856290934555366	0.49955801344961	0.00666868783412713	0.404230280264647	0.451543458507466	0.192962913473368	0.0228401036575872	0.0571760542454309	0.0957422764561374	0.0631997334269064	0.992941398599625	0.155593601133726	0.0618703698887589	0.999975421214857	0.000836845311250676	0.408206461982511	0.409064030634271	0.267541801412797	0.994804197766409	0.9288133263528	0.00177002232243198	0.000285699578280185	0.0591989375123244	0.117326530168725	0.307797258323801	0.0133993945115958	0.904740894984047	0.000502837007469339	0.138576135568572	0.000451146016838248	0.0224562081892124	0.409797253030459	0.000632817375346468	0.052071755856471	0.0679998792601717	0.0324570063120528	0.994707705588883	5.31319234792677e-07	0.0322541301422586	0.676891329960917	6.13584199877543e-06	0.151731424044343	0.48676035784584	0.0721050758435701	0.000916386290352801	0.216325323786001	0.243387405018087	0.346602616968264	0.00295192652484764	0.256241172571038	0.913993666795649	0.0471080182079459	0.754841287647607	2.0717892021076e-06	0.556679838431398	0.201163088991244
"SRR39238476"	4.62320256951639e-06	8.48885331806194e-08	7.98101448778573e-07	7.98818974027436e-07	2.00128970748394e-06	3.99115730679021e-07	2.81694625676564e-08	4.48805574063878e-05	5.13954777055403e-07	1.20189395480474e-05	5.81736732425163e-07	1.02240085775858e-05	0.000136051922848569	2.97770666178587e-08	0.00413473959755523	1.61262783560156e-07	2.72251560238802e-07	1.40756230058593e-06	0.000120050206950531	0.00263121497039792	4.00394633252558e-09	6.34798063812185e-08	1.13918032467072e-06	0.000197905164498321	0.00617647152072096	9.61209108035726e-05	2.43419481316786e-07	5.32107728109895e-09	9.3786530904286e-05	8.97773667949716e-08	5.9790679719712e-08	0.000494122761304616	0.000311068026691908	2.97135116798879e-08	0.000421969978273993	1.84403870007497e-06	0.00766097123919188	0.775132443858369	1.27557148350605e-07	0.00221658581919215	3.98926390259857e-06	0.0165148505477188	0.759250903280775	0.000420951782765635	7.02737336089436e-09	4.56609394776554e-09	8.12859072553637e-06	7.0271742817957e-07	0.00677978363088264	3.07207565768766e-09	0.0019947520477675	5.93100204369546e-06	7.75352691572531e-07	0.000112130783558325	2.39058937250521e-05	2.57918279433929e-06	4.9042501778407e-08	1.181788765803e-06	0.000341301856124319	5.10828667336131e-05	2.49357071274098e-05	2.41810750061879e-11	1.30496860762598e-08	0.0041430072064148	3.18504080727283e-09	1.79012596019015e-05	0.00327638517274644	1.06720631578668e-05	0.000300371610202081	3.30691279804463e-07	3.949028473888e-07	6.70013272871831e-05	3.12457812977966e-06	3.59521305927343e-07	8.66491301685112e-08	3.07692515289378e-05	0.00260870014732009	6.49542283165443e-08	0.000201468326329699	3.4247828091942e-05
"SRR39238475"	0.145024991401493	0.00458939598131459	8.17944787339411e-05	0.0292296363119896	0.319535290965384	0.0056068947918389	0.467531019324412	0.242056103873813	0.00512761166857384	0.510310122764605	0.857564505491441	0.989549708218863	0.995079411574137	4.19268985837549e-06	0.7141818369674	0.49122815313281	0.0275064650514923	0.17022278493447	0.709402650617527	0.00263762858731498	2.07964340060131e-06	0.00622584073667477	0.000844929864201393	0.999885961592601	0.386596322674154	0.0174313969882024	0.800656425491172	0.00994959233265563	0.321082580724919	0.411902756912777	0.0188002342107003	0.986049438823927	0.0760422265309332	0.940452034997823	0.0421022431995312	0.0535945466850921	0.996344462922594	0.999902537290345	5.56783706894907e-05	0.996032442946911	0.187554234037731	0.981849562779087	0.999834008733259	0.998138941139132	3.70579535958504e-06	0.0529279526806956	0.00178128603497628	0.0460387772056905	0.971279853295458	0.00015254862328227	0.5991318634441	0.000560297700915874	9.05739257346462e-05	0.243823253092894	0.758337019281855	0.227510303969359	0.782406818856572	0.000526540509970771	0.997173231363606	0.635477421828282	0.146785108456441	0.000157165656076395	0.0108218817895294	0.995734002330617	0.193236053309907	0.0039573710651432	0.532901709561429	0.0452989960372768	0.0287028508298663	0.0404405130814437	0.107808119208318	0.397940775850827	0.898262102025007	0.0135032177583695	0.819948187285748	0.199358659055016	0.940925061068365	0.000812670843240441	0.582123964884858	0.987946661875263
"SRR39238550"	0.0406501125151892	0.0257439145431489	0.0156612871526578	0.107446862599613	0.865181704246514	0.0904140608617945	0.792037710184505	0.217796262364683	0.0346191058349878	0.616930577509196	0.587472184928339	0.577871426182576	0.993825994183672	0.0171383306669783	0.805425752743795	0.376064675722443	0.0907127906096097	0.352134447877392	0.594356546377554	0.13737341870095	0.000382971705762208	0.0129243319663315	0.00301366158499952	0.966022303642531	0.99522309984769	0.0126992479666889	0.640555403276035	0.0168451063440033	0.420772285751337	0.16167444023174	0.354171536467663	0.880341063591271	0.413467698652593	0.446329735529884	0.262216140867262	0.321202959737194	0.97255206047766	0.999786376607023	0.00222672219680165	0.992285601669763	0.631669580496688	0.981398917001803	0.998483275198186	0.958311486988424	0.0794881535470549	0.523576968395096	0.329233529659215	0.0145107165124448	0.9882643093899	0.0509590257454093	0.946126733820864	0.217120513024956	0.511740538459789	0.353397587480427	0.554204080032966	0.833032902735594	0.102597916167261	0.00425276724000875	0.990795684978894	0.361175858068721	0.0999655798340437	0.305010273774317	0.062826382290203	0.981081176376263	0.0732435297178456	0.4853324362487	0.881965942657244	0.176933075672347	0.412282517442631	0.164201396728521	0.208463607663914	0.774555667775646	0.522564442044658	0.18917322125722	0.902420316870742	0.026860299527658	0.960855855540055	0.783912447022354	0.585091010157017	0.956540815484275
"SRR39238474"	0.00285515253302336	0.00047246911822522	0.0261405598753086	0.110895150721258	0.58800970964905	0.00896858427512282	0.00374070221175851	0.0623895770402937	0.48377347079218	0.00475426613327051	0.00271429583264517	0.950527178767404	0.609271096042399	0.000210335793966521	0.0891931701651224	0.00679367358381646	0.0645080094390998	0.000416336466640323	0.313208215522973	0.999700074039899	0.000409818671701404	0.278208652428374	0.000134123846293207	0.503952964515633	0.999988311232584	0.168619218498123	0.00137684096026919	0.0398728174302954	0.190747470539055	0.750190767250826	0.336179910249989	0.363746473772649	0.014781244411115	0.0590084729099652	0.992210422350659	0.0324461373370324	0.0296255274278926	0.988630722537802	0.00188700302314579	0.899340537553815	0.142715539847546	0.994268425032549	0.999069360005899	0.986627847153135	0.000131224504046685	0.00133877375324081	0.404940487231735	0.0355685353744796	0.840042784649761	0.00382872146261008	0.80934561520451	0.313111519290931	0.232408353183516	0.00205117017439168	0.0778181358129601	0.939851641941138	0.000895548269730507	0.0365182564499392	0.961894390990198	0.00369996464457711	0.989174468174667	8.41129992299539e-05	0.0127817120123746	0.391425318030978	1.17274739148016e-05	0.494804305753458	0.997946243505818	0.0224610802064849	0.00222867522542387	0.169185857451106	0.00617353277597594	0.0704194702757811	0.145481459345953	0.942884907727685	0.153029939525309	0.140113112474254	0.994021004901489	0.00181053313960257	0.0651438861090482	0.8031101555756
"SRR39238473"	3.55334979167052e-06	4.52297312036977e-07	6.21532062032046e-08	7.47016386300495e-06	1.78586346349804e-06	3.03512583095519e-07	1.9226808898459e-08	0.000168185340856534	0.000211064460148217	4.74221199112889e-06	7.28367818602807e-06	7.06969171277542e-06	9.95584742227401e-07	1.43802115139878e-06	0.00015058350580702	3.49789598706347e-05	3.32781545510506e-06	1.04393585124137e-07	1.55323724468471e-05	5.50184517479482e-05	6.2097345002715e-09	7.98026222933204e-06	1.52248755111337e-05	0.000498585854714895	0.000184027977630306	7.54907613604742e-05	4.7665683877146e-08	1.99802793148926e-07	0.00121382414295301	4.77754196458688e-07	7.89302567441769e-09	7.05999668720912e-06	0.000188041524877431	1.70669919493997e-06	0.00165607308565131	3.06881322054307e-05	3.82857539301532e-05	0.0940913199592443	2.57632451921477e-10	0.00130217173896582	1.61759913974047e-06	3.49590950040238e-05	0.473200969313051	6.77750170160936e-05	7.2921925304833e-10	1.60350982110337e-10	0.000380452607300218	4.96121444131074e-08	0.000109325330501426	1.27620787735045e-06	2.31485142299047e-06	3.73806482763879e-06	1.46902369612566e-08	3.47330585629022e-06	0.0019643721556525	0.000141125724647229	1.14203945633152e-06	2.2709861761005e-08	0.000131761088658625	2.37338289871821e-05	0.00327487924224196	4.64986975089717e-12	5.90183115170604e-07	0.000853176775686884	9.35577337925301e-09	5.02713774521538e-06	2.00826961227634e-05	3.58466767971594e-05	9.82815292277605e-05	3.05886844182469e-06	2.50097764688688e-06	3.93286882538824e-06	5.67694611391192e-07	1.66160666409145e-05	1.25959116707378e-09	5.57227696597663e-06	9.32504999543763e-05	6.68000679797601e-12	3.18243964692733e-06	0.000149015484879884
"SRR39238472"	8.60234720107736e-05	0.000152784322194217	1.1526564767609e-05	7.1787552558867e-05	0.00182119066490002	0.000423954823158917	4.89799719710985e-07	8.9888854005862e-05	0.000294440821093577	0.00212351262474223	0.00699613871305066	0.000880362992300265	0.0166402896902716	3.00502631382977e-07	0.00816098965204035	0.000258491782494903	0.00014846337174566	0.00162213876570744	0.000458663548842743	3.13343594102579e-07	7.12482045188742e-07	2.97314115135992e-06	4.9248404932178e-06	0.621699252502538	4.4785416865794e-05	0.00152630783670504	0.00120571846492383	2.74840113575314e-06	0.00344676091530592	0.000125342012167848	5.54374292463224e-05	0.0245134973127252	0.0432618182068612	0.0496994622159101	0.0056293725916909	3.55751870439449e-05	0.681885160084056	0.998515114616066	2.24537331837052e-07	0.546728337817854	1.6325436890007e-05	0.152113983914821	0.996362936695167	0.0527390697731281	2.30255163736915e-06	4.3807531272972e-06	1.3571589614449e-05	6.40007293865148e-06	0.0152431827267627	4.10822638525036e-06	0.131296788813387	4.27323341209383e-06	8.2763688793868e-06	0.00239359270892076	0.109886783134105	0.00227013632956537	0.00163749656824657	3.81079411361846e-06	0.723463492508825	0.000224998819205234	0.002016826146691	2.99215769570209e-05	5.25633649343771e-07	0.0289451151736233	8.08284459015731e-06	0.000316854608200391	0.0622913764845279	0.00946768145063193	0.000794528976061321	8.52521912791877e-06	0.000480262364624897	0.0508257466696625	0.00243694847961107	4.82158723516793e-06	0.000413963740855854	0.000458919252894502	0.144110581509393	0.00557661234710165	0.0179165575151998	0.588543829576964
