"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"ERR1624539"	0.706612564872464	0.400052687613987	0.647893965213368	0.467353328716872	0.417586960191056	0.560914478933199	0.483781317905917	0.240442878124865	0.403491608539889	0.554492047226273	0.444051237369114	0.719944499648586	0.555381815296814	0.561754095744173	0.518818197038655	0.616661768505842	0.451842215976687	0.678130108967667	0.682221209047356	0.267984423754416	0.308926771759972	0.458120965326511	0.541138728948794	0.61972473336521	0.431160913886813	0.370222004179583	0.502479088791327	0.543135034060289	0.492964270764528	0.443349241743756	0.357068359835627	0.299609663585827	0.460184476123663	0.367059242079132	0.330572822719408	0.28882257851023	0.559427570621018	0.502373765851422	0.499397126587181	0.475279634899762	0.681991200616034	0.369949815563927	0.52260454366822	0.341333570691267	0.589890104243747	0.409691173555773	0.55465420062169	0.760877756308957	0.312631647754183	0.710298842968134	0.350107086182664	0.489507254379999	0.511277436732186	0.467146975093388	0.558110553253947	0.336512175565319	0.495400324094161	0.34819099149308	0.55853812251624	0.316080326152095	0.49413396621566	0.613675846516584	0.469146579488207	0.675740931541163	0.449846812259433	0.686575527003456	0.457758316671957	0.415839341153463	0.518999745456079	0.454470311332304	0.439867025699876	0.566514634496038	0.408600507482831	0.58786122414522	0.541923869804277	0.508629235925541	0.361019202504017	0.398810834343575	0.446968550643716	0.597863161678509
"ERR1624542"	0.693252139166221	0.2907150806455	0.636503956151292	0.457953927578052	0.45620994059622	0.50997535033653	0.466124711260611	0.284989260513683	0.408872159089302	0.553406953231295	0.443750136168495	0.687630001399596	0.541656222549443	0.500982069039065	0.511804371751757	0.640539771272865	0.338779040664132	0.617853469003753	0.688657286858395	0.281301949486352	0.307476798371009	0.51996782274609	0.554847163039016	0.620135372123797	0.410156375833933	0.395279259100386	0.503872290831059	0.559611898623013	0.503077458140668	0.383844628763792	0.370652035388547	0.29696867170143	0.484029343123379	0.370039024784359	0.364023100816563	0.306870672222856	0.558872047286021	0.495166573956144	0.501715339445064	0.505643068667268	0.671002089291794	0.380532158613062	0.49937031663772	0.320105652965465	0.570318697981829	0.42022381091853	0.604432496635406	0.616636123108042	0.362753603141576	0.683921355062021	0.348762149732989	0.509339262770252	0.482340310533513	0.498916821970298	0.601579546634354	0.358053395015142	0.480099728977396	0.336878735252532	0.579777011647484	0.316093932949148	0.525692880213027	0.584632481980629	0.467691472853296	0.597260446998289	0.444493530197404	0.697842741084883	0.433614846084541	0.415849286327911	0.504965967936531	0.4860692107984	0.438143028414191	0.502537890228221	0.406048297728963	0.591605554508681	0.546333687330591	0.459336612431318	0.401409198684175	0.453251332489081	0.302618921831727	0.621319767571255
"ERR1624545"	0.729349417162017	0.493346452150267	0.712969307398725	0.586341357330541	0.589201362955293	0.625937474468423	0.643835143777163	0.569797857959713	0.463244015659943	0.587152581276785	0.533596136220088	0.733291548848107	0.631806368202072	0.662807748556909	0.625537979051436	0.760685896395489	0.499002926972541	0.656668357448202	0.64064673221114	0.474151627133971	0.437471730323947	0.623001619216571	0.613683773715354	0.652819583518746	0.58957812878355	0.577961961465255	0.618124288742521	0.596042901506053	0.628108791418256	0.518409365938488	0.518189129464795	0.521013972952239	0.555574232403172	0.559243924473585	0.447533169192387	0.542514807182453	0.636960674498981	0.610901976169047	0.616113228255079	0.580568564358828	0.721613257125364	0.503204165560674	0.632784136199906	0.465244919897368	0.623202490520183	0.578811361592421	0.678633849333293	0.670112884280399	0.558750389943346	0.748990441961669	0.531007511516554	0.617811235028356	0.591573672816354	0.60278367150513	0.662428046000175	0.561065146289399	0.559051684857153	0.552297028006961	0.559992396651538	0.450246560152498	0.520308691129698	0.626609059157565	0.58939839865893	0.643895571295749	0.606722428293234	0.670676496737164	0.551929667574457	0.508069983683108	0.594807629828205	0.655287701628532	0.573130789736457	0.633783795715725	0.569460165394263	0.673581888265255	0.66703987317173	0.553542415850415	0.54055238441409	0.619308370093497	0.626320190006583	0.696138028523173
"ERR1624547"	0.661331674992231	0.216732623256799	0.396920852440572	0.255551504546139	0.306048212383086	0.388027005514513	0.28767338908182	0.180322010992094	0.273757230260956	0.423147265371322	0.25410926076277	0.500837230486035	0.423329741567413	0.275353855680214	0.374366973534907	0.417832395869289	0.271925914590241	0.447246953844289	0.584476657457018	0.11817201766048	0.237887919226263	0.382834195478342	0.452191149039074	0.494648350830235	0.306991208843869	0.268511322551387	0.400638727233671	0.406508319918568	0.308325570404492	0.267848189308508	0.212850395011948	0.197179846375793	0.341069767764082	0.279682966193087	0.331950144793687	0.222834307616759	0.463133089815943	0.381433969524556	0.387731031464368	0.399326240322619	0.443576983559355	0.285320726292235	0.416668189274307	0.227585512772395	0.329398489199858	0.342965443785878	0.448165389891796	0.507313716453508	0.244014547877851	0.541286644328277	0.250984299986636	0.370626936576158	0.416877765150271	0.358432931443228	0.442293754744584	0.233930805467447	0.24817235067695	0.262879291997476	0.405697856611255	0.182320818395499	0.39246455247875	0.326621162234549	0.211314912748537	0.515619240316495	0.309658853187502	0.543323103994508	0.302787366811569	0.197329536856425	0.325308577832148	0.346780611429504	0.300105828854997	0.355687450016279	0.276206399207988	0.507206505451129	0.424231892562916	0.338295986881575	0.326317639222517	0.335593641753202	0.194251843584065	0.47056085478732
"ERR1624549"	0.687906852356955	0.387289871964089	0.590175184381288	0.374744273310995	0.427285364287057	0.499747802857311	0.39538006304654	0.2772497356285	0.405694249420579	0.484529507456717	0.334493939693655	0.636277367782217	0.507713933158997	0.525197564708123	0.381963414716034	0.556086218998768	0.426986051067368	0.558130073441133	0.630519623381419	0.242166902974507	0.295284651327408	0.484089805026888	0.484676233557211	0.468819263511013	0.424109783047224	0.415388167300033	0.476281459013618	0.520178587995183	0.460616348204703	0.360082142885892	0.339508826229084	0.271984538599969	0.464099660549624	0.300847966922095	0.342617601991924	0.260345089272406	0.503015326794863	0.43317120106212	0.402029216414725	0.462349163086897	0.622233864242961	0.37668342685467	0.523005596466608	0.215240737434805	0.488487499564936	0.381101576444653	0.566218249538639	0.735311553457313	0.301902450395065	0.712772298683237	0.315214623804231	0.453517280176506	0.322466024278609	0.469427604096181	0.55112261912952	0.298061215728374	0.38974347873131	0.326623927094538	0.522622021674676	0.227355344897293	0.500532842431308	0.492214732532551	0.393355608965908	0.688300952994247	0.402263737273232	0.644890054960372	0.352824540810527	0.346711998443522	0.438133165628586	0.467612885597982	0.359524039775781	0.483811656926538	0.343858429573416	0.62528355028974	0.471711827498314	0.426814586154992	0.340438219637615	0.342333228486127	0.423631061800572	0.616564569183163
"ERR1624550"	0.344370986997847	0.284825565573669	0.338936416912352	0.240002462773876	0.251037758232744	0.309416050938566	0.298999476043696	0.188471956991357	0.163085521655621	0.338506166535008	0.245954510249028	0.366364684182029	0.272343117066754	0.241415148188346	0.386923020913637	0.391496148745297	0.176142230528851	0.408773816374869	0.467976694156382	0.147358889580838	0.232348371913978	0.322833153244105	0.431271760335655	0.349072876447611	0.222381650167486	0.227764203277753	0.31983851148051	0.321890236291036	0.271395394822663	0.207208793993208	0.202533262272168	0.150755057762199	0.248815245786999	0.292820491711145	0.271367121089536	0.185357838519148	0.339851317010488	0.292341912964882	0.437289557694598	0.310870206219049	0.371374684503781	0.236293909685711	0.337829346725278	0.258388711093737	0.268582685382558	0.28803141034266	0.343933778921951	0.313735250057082	0.232739427575075	0.418608673460059	0.226427757760516	0.292182512163045	0.49052235808462	0.296558103608722	0.385325004259063	0.235753081658406	0.223702417494147	0.233317186482934	0.294341194975515	0.183587923777587	0.330478902888553	0.254547750568687	0.218042284564943	0.411889795641983	0.301096061316407	0.392709400310942	0.24056527019379	0.206913833274896	0.231126916538617	0.291838575957012	0.258373127334735	0.260563018338126	0.232763596240418	0.324816830344114	0.327647000471782	0.260981273901888	0.364115302438317	0.415064250266343	0.191052891642649	0.411272976875064
"ERR1624552"	0.66519437996527	0.173419514464346	0.363617234526527	0.284275244160041	0.302063335907957	0.502937575184544	0.217423089659206	0.360580817786576	0.50615278805561	0.398435797834896	0.24651288716741	0.450976701113037	0.520216172550347	0.306918388510133	0.369296844093203	0.38602231470569	0.601453007462726	0.354884083593016	0.549809483461564	0.154191446227167	0.477144574937771	0.384323131210182	0.451931182636833	0.49282980070093	0.455552493631763	0.372821807267059	0.431632663543858	0.485994749568391	0.326508325060675	0.432184526964937	0.203305847477523	0.359294584857936	0.463063879172432	0.254550061616032	0.481188882150982	0.26440519799098	0.486739022651735	0.387350823937358	0.386805761183099	0.459573748018691	0.420792490357554	0.302189434085254	0.435881556661519	0.35963615808974	0.328365737227243	0.366765575814489	0.440733998426794	0.531348865837838	0.247408338210101	0.528336922097722	0.292522532766028	0.439243662692229	0.417212058160432	0.36740533356359	0.405116234152514	0.248103612571108	0.25011181822979	0.549217118477593	0.463158767549296	0.195012861860811	0.479051734698589	0.325008382951099	0.234220377924008	0.509413097026135	0.30145360481841	0.514565440814631	0.353245738635575	0.196981316439527	0.317701915228733	0.311430415213645	0.349410966940575	0.506826608074877	0.3665136876873	0.65219649058279	0.435304271090895	0.392383268360673	0.31564668905456	0.30267253568301	0.255103173828466	0.528880427853932
"ERR1624553"	0.667810132240775	0.204460889281465	0.571095748565557	0.296297437742298	0.427730910054754	0.404344595304256	0.377515321652177	0.211590063708797	0.314700412616766	0.505539697428951	0.363369544034815	0.630798073844584	0.466034698164447	0.377281330971732	0.423998248108689	0.527033056747479	0.267156951263774	0.584891208631077	0.657315232708008	0.183563923748106	0.241697409803971	0.456830326061926	0.473904868169797	0.533999004026816	0.332457609765912	0.335851703944157	0.448216039154076	0.467280249834114	0.443882414700328	0.353280557216328	0.33542385632239	0.20220435111282	0.418335517772717	0.296418486386719	0.293482404965563	0.25234263374563	0.457335076190043	0.407977272624905	0.411042155891456	0.379737478668706	0.598327543652501	0.377129016658401	0.457947541506291	0.240202375143388	0.473955983702779	0.361041096182955	0.521978317868294	0.528394027735735	0.277566151269618	0.658015555931568	0.294712551939053	0.368583389791591	0.41542042310321	0.448139682506343	0.514098021155227	0.264182433138948	0.359508477977527	0.28583543955618	0.509999883920637	0.175357133965309	0.44003806400097	0.492349840566337	0.330156753374994	0.573120978628728	0.389473400955467	0.642816669512986	0.342045988741438	0.300525074878466	0.459955107067387	0.401028759135687	0.293058709880572	0.481565667494172	0.272881133916579	0.585307097181316	0.424480699440253	0.426233666861405	0.333431703563393	0.343771099990123	0.178844885939858	0.629615166501435
"ERR1624554"	0.707288381778034	0.382522929952138	0.666105473924532	0.493383658161568	0.450861127437018	0.500262165390433	0.560131016254956	0.21433955841039	0.350782087575581	0.584653506436004	0.564286734823791	0.756595779401245	0.527677521729305	0.589062979315472	0.661896052172618	0.74502525914826	0.314903104348868	0.696826675818058	0.712868369841912	0.324298697281477	0.355666913490008	0.512995120180422	0.640950569866538	0.683679166300874	0.390213353649572	0.360971856908382	0.509687335982395	0.57526779691044	0.51408998467558	0.394192403260028	0.376295206269239	0.256681178595667	0.443002798098335	0.460157971785506	0.436395511998556	0.338531544059653	0.57486966136269	0.530721293002471	0.675857956337111	0.51342756456492	0.698276901358692	0.367553018447025	0.60156863695905	0.488395391598227	0.602176498650803	0.421824135525684	0.606802111238064	0.640072861968016	0.341519615481085	0.729595758271687	0.349043097759518	0.521017188280508	0.780060355049617	0.496871949525363	0.619245436559216	0.460494440462681	0.515701197510088	0.387814843510328	0.571871949192366	0.352150716366055	0.499067976869947	0.621416497511241	0.484960339905592	0.636494431266507	0.476681859223793	0.718180032198264	0.451473256370977	0.441679944822493	0.549363550652993	0.597100256218428	0.455523925484387	0.514297572513935	0.402676611202046	0.530972655022321	0.570975679255313	0.472447038687131	0.534740513684397	0.64064582160269	0.411179301435698	0.639042962515356
"ERR1624555"	0.713972401274117	0.350463681861595	0.663885373959811	0.498541305149439	0.437539233595651	0.513245320530876	0.520714786273582	0.376120409890449	0.356893332168012	0.536072466467102	0.351464168467619	0.738951969930016	0.543121503394281	0.510205717259492	0.46854606533136	0.656194454381387	0.247711585699374	0.698495200037523	0.666219810872423	0.274021801271677	0.270108881182583	0.518075191668073	0.538793807355097	0.619473712771399	0.41628160788536	0.391095085158802	0.506072379845997	0.565453460933192	0.506504059147927	0.373213714716896	0.364878722401433	0.305575198099335	0.469724526690033	0.410747587883232	0.3497180287715	0.293025758779657	0.581408077197477	0.498486405201985	0.467709092712772	0.492627621999804	0.700244751526183	0.366708368255617	0.474483395003009	0.250441522560784	0.572954618406772	0.426641968713219	0.620521617889884	0.618383346296365	0.386236398228826	0.678583046421525	0.381328949280304	0.51068668240341	0.365399841532425	0.504747815069738	0.621396012296216	0.396385238016673	0.494017375729002	0.287850389642942	0.570203806717596	0.356711416697365	0.533679791427125	0.576542227153596	0.499190788109166	0.610112084902544	0.440168087086241	0.694670435934058	0.419571738006477	0.44487942682472	0.463433223766574	0.499252736704244	0.472089433347571	0.467987604598685	0.432804607205427	0.581387714859377	0.570140931791149	0.515977244970783	0.392043477516773	0.420935529363079	0.320099229626699	0.606013096549491
