"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR5865065"	0.230441053631002	0.263531373879487	0.162306455656063	0.204304680578161	0.259112983787623	0.487725660834288	0.175186836793574	0.469100390379465	0.272134443129173	0.335662767488058	0.68941696825955	0.131320908621037	0.3262041440577	0.203877035686444	0.304028047416077	0.122889880099941	0.318102965796377	0.230087225173695	0.479864005550232	0.221260132587182	0.293666172090205	0.339791873758505	0.364456478425408	0.28169399719437	0.372807127302574	0.37214331634383	0.312874890437012	0.409792369692757	0.153481207202267	0.284088497842097	0.171513936056884	0.261699596268514	0.367326284616302	0.218491978096793	0.210741739914353	0.124491656093636	0.34037121615187	0.263449735461612	0.254899243970267	0.330921129025137	0.211971462342845	0.409064216225072	0.278326882939307	0.267763099132903	0.201136474327289	0.349985737346371	0.383736942430995	0.294120348365711	0.441728975309979	0.188920918624276	0.269908889310779	0.291264759496257	0.173882520471954	0.30949316433353	0.30327358855603	0.236836662894312	0.18345214847649	0.258898486931702	0.334999706031516	0.19562577757655	0.433881886929743	0.20931035761509	0.226833335574921	0.336476490043401	0.226235247415493	0.283497245949852	0.317309825190622	0.173886667816419	0.204428164816986	0.299722801462297	0.295290308523453	0.396970534571822	0.322746947036937	0.347528066592626	0.293118951046119	0.310955863207114	0.228392963459419	0.241921924818609	0.404852169412473	0.22919983417225
"SRR5865066"	0.269364602419765	0.20260777519197	0.225345303865291	0.180641079077405	0.239944607382298	0.507306332954359	0.218237661277001	0.385022173363735	0.272916453700046	0.325483295942251	0.861266202391201	0.21423688431458	0.295048204348421	0.220467948045235	0.254428964175046	0.166169564721585	0.33208926018943	0.307559836736987	0.442552833120618	0.207999526844861	0.272059117975693	0.331950696585801	0.293962549704592	0.284696810929077	0.350492111425138	0.320240712512482	0.282723734934432	0.570231041458637	0.197952836860924	0.328047301925953	0.166377438071629	0.255654514818378	0.346350586794744	0.185199707386724	0.195571162222564	0.141166394388154	0.259914285983405	0.217793743895839	0.218438739148552	0.234529272059317	0.257371926307291	0.513621931696477	0.281734602868476	0.352055858524605	0.210350677881629	0.238018252045814	0.566320078006405	0.284130523113038	0.585656825129397	0.238274705332926	0.222477726086518	0.226262858352556	0.191817343155404	0.285046128007804	0.295248764364996	0.203420603162373	0.176485504804445	0.274404367633844	0.360136840360719	0.157902657062563	0.382473005964177	0.204951899274863	0.26053330154763	0.303311628639987	0.233891774212219	0.308793178739631	0.285418275707967	0.150763266673873	0.23526399430309	0.366597216008226	0.247082275931511	0.477510041533109	0.282940467706436	0.377763703714789	0.272447313362146	0.295726168504496	0.207762662212781	0.20426860609024	0.253536020941972	0.24363108308525
"SRR5865067"	0.0888694236365422	0.223839787849918	0.253124069711964	0.148513230262381	0.263396703386741	0.303057389873178	0.223471613128956	0.468750762729618	0.176901373610351	0.249678655496727	0.383191389722577	0.175841169320432	0.190691801830716	0.251993175241752	0.212421227450336	0.181038554968191	0.274114343821759	0.319870474383672	0.342689850049859	0.209239430773516	0.227141907681722	0.312871939744522	0.273409436185015	0.202250231427958	0.249525088921166	0.325499995619062	0.227979678887626	0.29575156694553	0.219731116095975	0.25719542226668	0.2236791621228	0.19055186439233	0.276227724802037	0.186212454217894	0.161592865564595	0.134846690989288	0.196119994157406	0.164553011013962	0.215955026036101	0.20235339442835	0.257390327381056	0.31716541794616	0.217305844715564	0.202473705407997	0.184202923697882	0.265336179073327	0.29690044440416	0.141511963365955	0.42392100236463	0.231787626724364	0.217837017143827	0.197627171708006	0.151701207341303	0.280139035922129	0.281187071534355	0.18505592715567	0.163911320485849	0.2440163827399	0.271195905208096	0.123858864886981	0.337904390028815	0.169360594374517	0.218489393068298	0.261056113209532	0.223835885104854	0.228653108653828	0.205210732383277	0.174826803232551	0.159945028309971	0.252528513365834	0.181820818072946	0.2898101991781	0.200589805403328	0.287919079534984	0.195649493828672	0.257607850905876	0.222836869212411	0.200045372504253	0.266088763831002	0.257121356720147
"SRR5865068"	0.301085463625331	0.323311307450282	0.187945640449087	0.201156215464178	0.196379368350177	0.478495282727524	0.17543672290642	0.286935203401985	0.188503966302026	0.26608924498343	0.686863554506705	0.156361152808324	0.277460984944694	0.169304173779672	0.204800364493411	0.132471899027965	0.242671327706473	0.225935054163973	0.378956718617128	0.173144960722018	0.169547540096916	0.279148246429426	0.259890332887672	0.252631743824594	0.306885425433023	0.254069536853313	0.254052455756596	0.436985595090374	0.182428454772255	0.196201622216052	0.152313075711093	0.219641374643145	0.259571943405896	0.162116201581742	0.133019980115048	0.108016764810651	0.305475142253196	0.226714573807605	0.181124376559645	0.261665873807696	0.223910485297834	0.400893627551369	0.226121710322469	0.184186102313473	0.185403072850003	0.28021916153543	0.452446365968785	0.404311756251722	0.483059624851319	0.222585217812753	0.198729780975637	0.259463414398681	0.107959175894469	0.236889638434957	0.27912105754523	0.163925572657444	0.166164545301844	0.148840561783754	0.268553907254814	0.183925230732131	0.331445142054152	0.171717060691061	0.23196499670496	0.348376626180301	0.217386660877742	0.259381675998495	0.256635533135573	0.15100696846157	0.172832704155563	0.254271089436423	0.257677436546474	0.320491776369774	0.274844884630215	0.283582581198428	0.277789557270472	0.209584368149324	0.171658228953389	0.167344273837688	0.328763928519149	0.200109743311287
"SRR5865069"	0.226899728732233	0.343780599961443	0.3078871007495	0.412208048446082	0.224336122865873	0.399747809859801	0.373445473449786	0.220028869463626	0.179996945806851	0.324434728411498	0.397630087105999	0.303160389773047	0.326886024677148	0.298738233217978	0.341862698813061	0.334432138467817	0.143282360690638	0.382244363589496	0.361198929161526	0.265602871540686	0.214563232357848	0.296779048810604	0.32927942097038	0.346669006704298	0.264429198294873	0.258821621951452	0.314880754305948	0.356284121972833	0.301692005242031	0.215947824012952	0.225777453092916	0.280961349603888	0.258371418012959	0.302302638915733	0.184092655429312	0.16751101243504	0.392917531225194	0.33959832564218	0.319029708393924	0.338165504261969	0.351192108089734	0.272333267332175	0.234634184691875	0.226407406292346	0.314461738537312	0.318012089772315	0.39746332426185	0.336422656635644	0.311072027619291	0.264512557768055	0.263714543077134	0.345378740805535	0.223221972589794	0.279873775205237	0.354197068956599	0.212211796060599	0.306991387051987	0.163787931119883	0.30667507738684	0.381552312028712	0.342865150607381	0.327983945325737	0.391280389591877	0.290203505844046	0.399476878541513	0.318498838414356	0.333310471481574	0.320506642855126	0.235516110699662	0.246561993929478	0.403359568713567	0.212120349974213	0.384485100143238	0.234297046417842	0.396645036321731	0.256954920317576	0.250555586513862	0.359260286432366	0.329827883236255	0.269815983531597
"SRR5865070"	0.140860749403612	0.0846676932638393	0.0937147631839805	0.138306188903033	0.126042739693133	0.170259118728806	0.104585066380547	0.15256134350242	0.0913725128647038	0.13855387312956	0.383364392723439	0.0768468885422259	0.225506310487589	0.15572201755673	0.0964998405843571	0.0909464691078173	0.130100014788962	0.140896811012856	0.137952729998979	0.138606654398168	0.140029190549999	0.14969846200925	0.105209402484044	0.108368307024758	0.166931361506298	0.196488537049471	0.118861540196169	0.187435526024388	0.150012173014804	0.156406076408687	0.127509663210366	0.172446607523199	0.155458661758247	0.097563418016921	0.118058979167106	0.068354426295571	0.180406165805299	0.126450789126155	0.0998087320539306	0.128077304969102	0.0986577031163119	0.273122312076714	0.107220027056936	0.136730604467065	0.108303898025637	0.16124152192961	0.270785404675789	0.149388421577185	0.189304967272249	0.0995672626041605	0.122174917091265	0.105227611370298	0.0623472360681669	0.146514432448828	0.114588130632543	0.0775746587954106	0.0919745224028771	0.13055476260874	0.193533194213249	0.127725219381015	0.152596940289042	0.153172517953664	0.181650731170066	0.0959065941993108	0.206892294157826	0.106951264891827	0.160458977567356	0.130139937818885	0.138283418801178	0.107364673649069	0.144294382056374	0.154327472810217	0.164239396531524	0.14517082792558	0.134502597184799	0.146971645563826	0.104685761259602	0.101517253603338	0.185900249323069	0.109076500546517
"SRR5865071"	0.736881729180899	0.468076379197405	0.469981962485146	0.561987811987307	0.475974089400958	0.719994298383164	0.425128339904785	0.561573007238848	0.591446231972278	0.535361582955134	0.486535013199092	0.527641964291288	0.652935859123135	0.493676253065686	0.538076834827357	0.477270156441645	0.614794209727102	0.436983861656423	0.61754356200199	0.261144580283231	0.565415057090901	0.503009996656112	0.526087458732285	0.610716908634885	0.596650856698135	0.502141233423392	0.552695722499235	0.642804292053623	0.53513465297941	0.504800927107597	0.396524638982425	0.656511438543078	0.533805440743876	0.460753217876617	0.505529185616527	0.476825741850319	0.673261730021188	0.587193036108172	0.490861934109479	0.610921888552617	0.488889884839768	0.53285137079559	0.511979370832232	0.538425829031338	0.458776271993166	0.66563851898616	0.58810084081698	0.710610348714552	0.677345701847547	0.556455399026968	0.499666958057043	0.631728444506109	0.51887659294091	0.482222964024012	0.49761093507485	0.394275072930416	0.416778177825972	0.521150325077228	0.57448662857119	0.49910452064242	0.581003990522038	0.449976251255889	0.411618531708899	0.526945379496558	0.462173464788318	0.589448236179592	0.645467448734443	0.305772721875528	0.386156697686683	0.402824121878108	0.6260192893323	0.583579877054049	0.65044545046223	0.616244282467949	0.716263846159475	0.485453163557482	0.428288179411003	0.506445766806744	0.66105296976859	0.586680825785101
"SRR5865072"	0.470909676442795	0.286759931066202	0.341601750421754	0.299495999801141	0.275667577466935	0.511967619530259	0.340622882630296	0.448595160843212	0.346761301194575	0.377313845838323	0.470996907712962	0.329191091976295	0.385537663486068	0.347939037083365	0.312888759924032	0.265237667000757	0.326186140387169	0.441616334214631	0.471255161255591	0.231242952562667	0.311678037819753	0.369756426089026	0.348471632178787	0.359479454585874	0.379449141215588	0.366245926926041	0.353898193863536	0.449721086995477	0.260956115125672	0.384641792744272	0.217831801637397	0.347203882375619	0.398959856029408	0.258017567121162	0.219022754485489	0.184030247334081	0.383089796748128	0.3166088339161	0.267261257622243	0.361493308842332	0.382172547217271	0.330593090179744	0.253548961299284	0.261973170003072	0.312443406797157	0.340018409059437	0.43703354214813	0.349362121463484	0.393206572493506	0.294760570389476	0.289350735782448	0.372122577272374	0.186077469807708	0.341108174848844	0.378773456029107	0.20180435242806	0.283815413280875	0.293532738612568	0.406083720513522	0.27062969886635	0.455482161989235	0.303963671630536	0.335830598998017	0.347459359388002	0.320615862562954	0.37838791156781	0.357942302957026	0.254129295467306	0.244832757486185	0.294065736083315	0.366141317319124	0.392586463038471	0.385398169269559	0.40982519217766	0.373002345785279	0.376133068237764	0.209940018356686	0.260283819729569	0.365773813315273	0.2497015527735
"SRR5865073"	0.105057698154042	0.199370675912508	0.108586466344661	0.135455681615671	0.167214183920831	0.272438992830698	0.12645474093732	0.180781343407143	0.136497735180996	0.206938014720583	0.234992661060512	0.082758497856875	0.158781765189084	0.115695141057595	0.206270748241328	0.0881979725787077	0.150933643430833	0.134203126101631	0.291378264355594	0.111256268988447	0.166519198662558	0.205772941375939	0.244490204011727	0.19862864201305	0.17787449336567	0.189174693961778	0.201615208957954	0.155764912810298	0.155829509361176	0.14037235094562	0.136509000521667	0.173719929751856	0.168661944093785	0.158153478663216	0.127214171394532	0.10048983972408	0.209958320950497	0.180430450250229	0.186985349274034	0.230287040709358	0.121931141245842	0.190926639537	0.200489756824028	0.141774300148663	0.107065924358613	0.289739871846531	0.14896914831022	0.161216685938524	0.176273040593556	0.136356755460349	0.17147041790878	0.197343892447219	0.196114413772537	0.17592523513938	0.189989490878039	0.119315785542336	0.0984408650796749	0.139446401583586	0.163966921415166	0.138831213336855	0.238302972459689	0.095466552547436	0.0907459192686213	0.212575962542451	0.19046074713942	0.160283325457472	0.225034933407116	0.0877561287082624	0.10983988174771	0.149585197710607	0.193590661980823	0.15136090667924	0.198752577791893	0.186654128869389	0.226860416610779	0.134143777606528	0.175434993501724	0.208464157664983	0.234804347189309	0.211459012889059
"SRR5865074"	0.320373387033755	0.255881944697564	0.17016722774393	0.20770360411539	0.216750717601256	0.366346293284846	0.159564454541661	0.164933391658346	0.141151679336272	0.228510107279279	0.588954840719474	0.148475486539322	0.280851451901194	0.196949636097032	0.170978513174707	0.119760586786555	0.187987859980207	0.24407278011109	0.282710176509072	0.161335182982396	0.141753994281634	0.233965066854547	0.201913789918669	0.21052611009588	0.242671997048646	0.227286388586146	0.195029399725053	0.323402086169369	0.232069434918563	0.182371635611051	0.201771091936438	0.236237220287799	0.195777815164362	0.143156894194651	0.130182681796525	0.102347627635651	0.298046409259381	0.208001082817298	0.185187260999235	0.235095054605829	0.171513166183669	0.435237560214409	0.1983021558876	0.154823973820263	0.156664534302121	0.330915807558128	0.377798559974585	0.38859187253724	0.457223573555894	0.202358676092841	0.168191303608944	0.216053133515292	0.107907009673955	0.221326448691575	0.20527398166363	0.134795098207268	0.139133230510741	0.11853822023989	0.22996479779638	0.194035804940269	0.238409960602144	0.171584498523834	0.200075504254583	0.253007778956262	0.201748240401368	0.203077581365204	0.279583071726929	0.138213455789007	0.164513305248878	0.213924827551132	0.24180578224669	0.226258336841117	0.260312380472477	0.218131024059063	0.28831687244005	0.201090017375302	0.176887276624168	0.155113041480863	0.274121904254591	0.203160096755743
