"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SAMPLE-1"	0.100618856883614	0.103803398272958	0.0830182807348179	0.165535918831986	0.0989186514829675	0.104743996079122	0.12135821471604	0.0963931257009304	0.0568079263504647	0.13928239616296	0.125723069443267	0.0819242417848564	0.170445468592394	0.140956945589694	0.0888235585887031	0.0951417558369219	0.0565174497899713	0.164022045891229	0.128393327820804	0.14040647072984	0.0849352304518766	0.130806183907336	0.105088567870523	0.108969687481445	0.107193555959628	0.143610429312586	0.106919811850147	0.0723171754099742	0.144697642666495	0.103057341802462	0.101945510720289	0.129495242807008	0.114761479147847	0.106111669526398	0.0979947194590039	0.0538820860269459	0.173841081359357	0.130383532658392	0.097771271835224	0.131541383844595	0.0937637925291077	0.0985650966260205	0.113157980752583	0.0524385083896604	0.0988774214312355	0.144398316473726	0.129872550476082	0.142609931443143	0.0575967886832163	0.0843666357431436	0.10420135830579	0.106559992313816	0.0559645394803406	0.129077427180631	0.119234815784319	0.0907627477345049	0.0890778720835882	0.0709568324666518	0.153160212080093	0.153852074425914	0.128519193869683	0.138517736180331	0.12309302163988	0.0892791145106353	0.195786708819441	0.100495618361151	0.141413228668102	0.128915820783598	0.124020781215658	0.129716030428913	0.153899892607459	0.0609735152378892	0.148523426220596	0.100684034307615	0.142269386575627	0.128346513414295	0.0921578976913176	0.104634151408639	0.15950247514575	0.125420847184698
"SAMPLE-2"	0.224127259351964	0.0574015961157006	0.16049147946246	0.160497987796465	0.133793606709972	0.0681152414346411	0.120303171276944	0.0467808805373276	0.0634809965901132	0.151039565618703	0.0788146209027594	0.176776181254304	0.227785752644521	0.235196594747078	0.117983711967958	0.227541231583289	0.0810852819203579	0.235095643237833	0.137356920889578	0.12054348434078	0.100719401756465	0.130866242613902	0.132955171157987	0.14724988430549	0.0928514110968216	0.13824205183059	0.113040292324393	0.0856949780904767	0.226427717545532	0.120995638272893	0.156968196523869	0.0893820830846636	0.11357599817174	0.111979405594094	0.165058343457869	0.066913633617309	0.185378286273381	0.138449871892129	0.167616163479573	0.137003379259839	0.156773518727266	0.131119886186517	0.151607790548023	0.0834011339668168	0.155585020572394	0.125743771479889	0.169109279359478	0.193498362625528	0.0402503668625089	0.216379384989191	0.0993290230321973	0.0954909686097817	0.148411475036388	0.15261684328033	0.12961977654733	0.0928213463552886	0.113175308377856	0.119601180730796	0.18820517222394	0.106876811447047	0.103567839297358	0.254639075549246	0.165400830521674	0.125373875731005	0.241290892343265	0.153749139489367	0.121624010760126	0.180235776188124	0.199539043162056	0.110400502525793	0.114194744102952	0.0918763845754991	0.104687232603543	0.14398003949163	0.130355218592539	0.156870478018066	0.153288444584103	0.136721720236359	0.0857233836633713	0.227293854476792
"SAMPLE-3"	0.0713274943706667	0.0586177576673738	0.0565596439085809	0.106964232448313	0.0701214881667491	0.0938425865555227	0.0644214978089664	0.0944788100862661	0.0718085187909385	0.103146106243531	0.0679113035419022	0.0512369908545163	0.140953243583236	0.130163482984088	0.068659533556461	0.052636073061271	0.0815645428367674	0.114469054056502	0.0941193720062024	0.0888645648033836	0.0959656480568842	0.088250698267555	0.0867104166419246	0.0794674023557626	0.100200651058129	0.121209308276953	0.0838151568307072	0.0562782622668752	0.104198357994599	0.105649862065158	0.0755735386393527	0.118469030712793	0.0931753654564741	0.070399208060178	0.0876584264329828	0.0463135049078285	0.132881095948145	0.091065845843517	0.0758187967212018	0.128228254207764	0.063577166908163	0.0865686294225748	0.0872255630978228	0.0492060409136358	0.0661275630862976	0.120983644745685	0.0828596724503066	0.102867460762142	0.0445186039569801	0.0621283234303026	0.084718911296883	0.0923756316333116	0.0448451999158529	0.0935319671323525	0.0773769815538461	0.0584460798931019	0.0586766414457421	0.0848545010662153	0.106838561928511	0.101664632122599	0.103633838758914	0.0899386192723154	0.0806666541830368	0.0743579185694485	0.135861642042292	0.0656029869383706	0.112119619239074	0.0851760938382506	0.0830558875482002	0.0675310982198532	0.113740855805466	0.060391065715136	0.118012507911231	0.100539505529825	0.101845985011731	0.112444005527986	0.0692651260969873	0.0703961302780245	0.134277835368805	0.0958816575132164
"SAMPLE-4"	0.507533839583281	0.214616050565633	0.299144161861076	0.347827358685506	0.23003673757548	0.406743909864078	0.306630248150699	0.217827013660152	0.209554080164764	0.284337449747686	0.649341893183745	0.317310765538552	0.423326888198628	0.357206246469851	0.258199673217433	0.266570328964652	0.160485767181655	0.401363167615416	0.321370555027991	0.242324746197017	0.210122104938223	0.279753412616291	0.242680721976182	0.292141455268975	0.334572701160026	0.277023688621587	0.285679420710966	0.478930313702061	0.316769056168335	0.25357448889724	0.22245465902659	0.290362815066014	0.268415078699394	0.233358882023989	0.181411694133102	0.127303690494522	0.41401039536767	0.315909098879411	0.222462880575753	0.317283694389747	0.317865595765111	0.460642375647653	0.265850416024707	0.183281900982624	0.277851866611295	0.30863990027386	0.564590232158688	0.387794141535823	0.449704020089771	0.272955164083212	0.244610111200635	0.304357880054603	0.13436335393268	0.279150013172421	0.294082447309871	0.204311007553118	0.243371095432223	0.154489814400576	0.336191821000214	0.288650133471799	0.304967999872601	0.320686939767522	0.388724679417214	0.259049663846067	0.351325095455089	0.313385722268704	0.307756369300782	0.262182918908973	0.259700973341843	0.308335299732179	0.33809332666749	0.299367535868304	0.34899826086637	0.301206039450534	0.362903842822384	0.307507650938563	0.198649195045444	0.27707859701372	0.323431489635396	0.30780812082836
"SAMPLE-5"	0.578959296617582	0.54542993318408	0.747250243219699	0.776202337674323	0.522025511095608	0.731568550444332	0.754187574793104	0.630639728962534	0.552869108336736	0.543831228443184	0.505536603623502	0.757624349920736	0.61379418482012	0.766300526144935	0.569219912176095	0.707852021063674	0.372984994397767	0.81406752319124	0.636729533889134	0.630526333492233	0.504342317935891	0.654065994257379	0.562431531817814	0.603290108792833	0.563376229005655	0.63806289710664	0.550485055236516	0.681809268912163	0.589655965498186	0.585705519001652	0.486714861386676	0.677967969743804	0.654285197818294	0.46555122885456	0.378073186213549	0.382423083370314	0.656555502881491	0.561039132908818	0.507228685933217	0.622290979501019	0.773266835938453	0.391865174216686	0.369717188492652	0.370272735729283	0.689345106583085	0.550723312823516	0.696754543445313	0.608423444195035	0.55750572404508	0.542719854349089	0.437752875526763	0.701068625070203	0.248705396296715	0.624320374610118	0.720666543225272	0.380289751677816	0.703696580286805	0.405845402911534	0.668512990167823	0.733768427213842	0.73388371378416	0.677725373218227	0.788660948261727	0.536020857708478	0.520828183950812	0.667803488081084	0.62347787402028	0.699338324861975	0.444903732484132	0.592746676871462	0.75249932989334	0.421641419618784	0.746804237489137	0.537161012308996	0.715238378149202	0.609682111978791	0.395380617808365	0.613956309197941	0.701332711398648	0.421780419344989
"SAMPLE-6"	0.335226141030626	0.649976274583544	0.642257565266487	0.572757296175931	0.451024044174362	0.611208614866736	0.77065616067143	0.600355602323127	0.450369867631198	0.523947269575494	0.484848276686586	0.623955181090577	0.497590398306739	0.624943798347602	0.479726398783275	0.612496414404256	0.369920994408667	0.711687894067027	0.595628809997258	0.477852978925455	0.428627165605585	0.565507874391061	0.4695381304442	0.482963076317002	0.482625889547253	0.554569225804308	0.573462888815946	0.564614084979713	0.473993077572253	0.527819433372814	0.39522068325019	0.505378922177386	0.578336819546866	0.539984131494368	0.291409138115891	0.277818584661723	0.509342842549939	0.535996826700646	0.413620916723297	0.468789294490275	0.667028520541529	0.349723122628408	0.370856472281272	0.295360173918391	0.570760208079581	0.435159934297887	0.582529683074528	0.473754063359847	0.459205233673771	0.473312377681933	0.498815942089934	0.531028907379135	0.235765959444427	0.53426877229468	0.608036833938853	0.32707662193788	0.553841232419811	0.368302397905222	0.599055026121095	0.495300249360064	0.637281010510319	0.566364193506393	0.635953583863757	0.475016964809056	0.670161093436777	0.580091788502137	0.492093073225734	0.543723334432728	0.388898777734314	0.49725501703147	0.563154347444061	0.46974839418991	0.565865515491676	0.51208101748843	0.540944746447434	0.537354071903788	0.302656183918093	0.487090423499627	0.590387501542289	0.457227714150503
"SAMPLE-7"	0.158617123834915	0.315971004027504	0.198906494111433	0.149862064779992	0.145041875385397	0.233691615592665	0.26880264824033	0.164662907613548	0.137792753415145	0.270128629357857	0.19085418847324	0.164366980187064	0.175437085315858	0.156530327063526	0.242636807285176	0.186569683965746	0.0859742335618185	0.214921164548202	0.32132941193639	0.126178855205694	0.131967070266644	0.19873158652251	0.265403710046312	0.231041318360029	0.175814800542482	0.160894419933853	0.311586556814612	0.188073946160627	0.164945729119948	0.123806003751147	0.128834863730926	0.105956334013224	0.166846880125895	0.274334125079698	0.105513094978094	0.0799801987200161	0.222197252202733	0.256832937835479	0.21396641390563	0.251337191426966	0.235326711066694	0.163655889820907	0.24508436996609	0.0699534307109315	0.171868989607347	0.192456277837459	0.202828623695171	0.17404173905604	0.137041430088204	0.215082213731091	0.250962788167844	0.21856578872282	0.152949037487852	0.18378303002707	0.252831871874124	0.162880254396488	0.147985899964684	0.104264704921395	0.17558967409344	0.121599368403784	0.240991803226711	0.155602046135113	0.152808357358851	0.286775843193807	0.421517390545996	0.229895475646078	0.157020225320232	0.148018829966568	0.138477915236362	0.172756773022246	0.175958323254211	0.173914454971762	0.162443041813322	0.235263106743459	0.198849562622558	0.162790690976239	0.155175435077182	0.232897158478413	0.153242787166173	0.291006519150356
"SAMPLE-8"	0.43697245070832	0.492690184122049	0.45717951991178	0.256080385654662	0.25662703696682	0.302959508444539	0.541962400231903	0.311800840938564	0.203844301723006	0.374518259388567	0.209550202115795	0.451243274812993	0.28224939920124	0.368512537393109	0.374359810998017	0.460086715487689	0.120547631988092	0.525243904046809	0.444947291035615	0.189444734685025	0.192245064529451	0.312885927507376	0.379879903602055	0.37046896927585	0.247318001495668	0.247794190483649	0.441830259225897	0.329133287403251	0.301561851112519	0.231356659653035	0.243237812802154	0.142716306414534	0.264583213084172	0.459741697793907	0.166648729658116	0.157894011064866	0.313746942666307	0.368773683836233	0.347666097191017	0.322981673649063	0.499105757712276	0.247882482581481	0.324873971645831	0.138127715639444	0.353734290118559	0.248493314368606	0.361194124145011	0.277016870966192	0.23454026534772	0.437513449158659	0.394114949877951	0.3031965435054	0.248027577867197	0.313293799536843	0.411778213018338	0.271506177126837	0.297635887661061	0.170907535038881	0.315186115869437	0.177462679744802	0.345774316485012	0.340361736525472	0.335412701882135	0.430398273450551	0.588922143133379	0.413175365784401	0.214489537742567	0.307734228370739	0.261549541175097	0.27214206585257	0.2484059412164	0.325083315438473	0.224595504823809	0.361322677807838	0.288786423872012	0.341792719264804	0.250928944619501	0.369094637358142	0.212413727957582	0.448773704263263
"SAMPLE-9"	0.264762104705182	0.279475378461221	0.481416499263585	0.289922266352638	0.281676750774181	0.37464273971784	0.429977879575871	0.229965859344739	0.179953427171016	0.36464493434789	0.465816750024018	0.464024945038953	0.307728727401676	0.336696948346877	0.375492764551011	0.426088007710129	0.129070380644492	0.548052925044131	0.476741543702398	0.234055968359833	0.191665187870556	0.369323972581091	0.375109796341037	0.381359061760546	0.270242006441167	0.284941419119897	0.365144232692246	0.476913554128534	0.311789546905059	0.240223631898013	0.250785510415521	0.161219144479455	0.305101884636218	0.287887209548475	0.168057859890614	0.14995818029882	0.346162074762228	0.308109357940465	0.337799037894902	0.295084653619467	0.517608215060403	0.361356491148207	0.298072125174209	0.165667603496021	0.374055380069693	0.251592545462452	0.537537628267084	0.296957700412402	0.349959059040256	0.427854846992492	0.257245970816837	0.299817023799184	0.216959322422162	0.348355621924312	0.457793368585184	0.212346884164317	0.323618095535547	0.16285046002891	0.349519394726495	0.207518154183702	0.390553424440835	0.359621685061953	0.42192175230194	0.429344806392561	0.399097938038281	0.443632270821626	0.231956808685223	0.335427646315337	0.273358892209427	0.334070541387628	0.27807085199564	0.311268259274352	0.259676117320445	0.365581839059727	0.310937860472736	0.321196129821593	0.269003785745383	0.38935408011813	0.204522798202125	0.393748676493683
"SAMPLE-10"	0.360378287101403	0.342475250862913	0.508508730229703	0.374095787132479	0.310587304498806	0.484647980544164	0.416254233755093	0.466486889002443	0.431844340547091	0.386358708995818	0.295409224606653	0.513704812602895	0.431568554350606	0.458133225371458	0.514780323104845	0.589710558395472	0.559545245753717	0.479962068201832	0.473389587575155	0.347446462558301	0.564210397955741	0.383442734511106	0.505838541855252	0.496132855167751	0.433463734209922	0.410037175784815	0.46312839538546	0.518100248194189	0.366468995982199	0.453605558412266	0.285742354173081	0.350086038785181	0.439411679737129	0.397663372585597	0.454514212601063	0.348435254904018	0.41473138087683	0.394697142813857	0.54535719215516	0.41804526272568	0.556617283408484	0.298407884544504	0.412332501962278	0.538901617826984	0.440565846517105	0.321183483586075	0.439401015555263	0.382317134976492	0.284754097040514	0.545485821591718	0.378320182688156	0.435500819492591	0.533659698582613	0.383880484810099	0.457851032854861	0.353408921374983	0.390244805662464	0.609931464429554	0.432482781599973	0.276358359328192	0.498707651794314	0.428689877791262	0.465348926650511	0.500034011312445	0.487447452614507	0.469835277770169	0.327674009027714	0.391041258978951	0.358431377824974	0.33621340456793	0.386601622858158	0.507975683983882	0.394721007718962	0.536913460134324	0.391780102110071	0.408657464804782	0.410406754079986	0.503461361208875	0.37407965275262	0.447524456147015
