"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR31418698"	0.102857054983282	0.184834827758097	0.174268400073955	0.196200206620497	0.17598796976083	0.216487483551477	0.180879839973266	0.160725645036577	0.120780789115799	0.200610457038179	0.223073997897128	0.145739693743312	0.19513831061781	0.213077905773366	0.26654758930927	0.207106516311931	0.200060274681877	0.221589531580795	0.23271099892324	0.205457432277856	0.241341414548562	0.190007229148263	0.255666292137127	0.219937865033952	0.181882266049314	0.209843260119408	0.190204069507001	0.168219199584256	0.214374142775312	0.195382994273354	0.188986224150544	0.184528343169881	0.172456154942436	0.190448751214883	0.193567395667375	0.163625104900479	0.210203494267832	0.18702018973889	0.297696200482046	0.196005335433194	0.184563882494674	0.188391366238039	0.2090060932692	0.309328582652901	0.171638595213634	0.238659926100307	0.167818912977217	0.169522470443334	0.148630075234293	0.198157106091189	0.174126940080123	0.18139848443489	0.325518733006461	0.190183628398404	0.19036568029623	0.160940986625416	0.156139309260443	0.245714871318888	0.191382170917847	0.177318039063619	0.21480799026109	0.191008383588513	0.19121529272789	0.198927314796789	0.268351952081999	0.167409198374092	0.220607437931163	0.18008538635051	0.189355156801821	0.159144270036427	0.206144447393132	0.199017934015678	0.207811996132127	0.173831791315306	0.20993244703486	0.173020140072245	0.243570543971111	0.269961391816792	0.268076932173004	0.208929694246671
"SRR31418709"	0.122757849587026	0.219460628635203	0.196219588996922	0.191737436778751	0.216452067692222	0.223009328493708	0.234036471241116	0.248409184535421	0.152633650809233	0.232526363945639	0.355038326866675	0.180471690961103	0.225865437503134	0.258796575516589	0.274205602741821	0.250211077148626	0.291863292596932	0.28356386302794	0.274937529149497	0.268157685002164	0.306045246745746	0.254915530590889	0.266957836447091	0.232973557880583	0.215604965915416	0.277773978506734	0.202509252365563	0.197913933905003	0.224401660252543	0.272914695260596	0.194079629234542	0.207307691439445	0.243284664317237	0.210808097081778	0.259509214233526	0.182093645167925	0.213638079899376	0.19536033609476	0.310450848275326	0.196417465355345	0.202175219915796	0.197186200393076	0.247027205470441	0.374285812610627	0.183396180263996	0.233678610513017	0.217221726091743	0.184406133895248	0.166731583059261	0.22126629550161	0.184892217959626	0.184449390049071	0.364667988797966	0.240321834664427	0.220833185729818	0.209342041056964	0.159904049237875	0.337198123140811	0.273875525819103	0.163613276183182	0.262972334389753	0.213977890635022	0.199983447184873	0.205945912997385	0.280164621807954	0.20163157468953	0.227484194512502	0.184540967959578	0.243302676474831	0.285123410408317	0.200744005663158	0.251579900763007	0.210522725849023	0.221916997512308	0.203052177765287	0.226067176998161	0.263491637916085	0.299949993342866	0.280251901060919	0.241382678227969
"SRR31418710"	0.0918012335590398	0.246314281013878	0.238411059009472	0.125825831112951	0.239696876534359	0.202756844612036	0.229222670799823	0.218880042193666	0.10270446908581	0.218577280887643	0.287088553887395	0.181822443994071	0.139611834716702	0.213394777072173	0.267509480367496	0.234668967049491	0.157640796497588	0.292342034839065	0.307360104896704	0.213416107858333	0.201549405717501	0.260072829885297	0.313655781545484	0.200156072245347	0.17799489631974	0.236300454345836	0.220727825560041	0.204834962435153	0.215603706618381	0.167232996193696	0.2235944196363	0.117052722722276	0.180141611845854	0.218333606406778	0.181753252833922	0.17232491110518	0.173234928894557	0.16847917055326	0.317375421682839	0.184194590983812	0.235422013263317	0.24733157516797	0.294797605262157	0.240182338073954	0.155913677041653	0.250513189514863	0.206513694533639	0.120533649846892	0.253163008940648	0.27628231850418	0.18713948164848	0.17185984866823	0.316912574388839	0.240078305871382	0.261428114944676	0.225463802143074	0.135661639282884	0.213023239660646	0.182108521034592	0.103011550494474	0.255233320845931	0.138544591228892	0.157335389045299	0.291047671692606	0.251605104680134	0.206065228102655	0.161279350764538	0.15133311624395	0.180503731714562	0.296916526965448	0.14695844913737	0.206709047215314	0.146083441640609	0.217537782808761	0.182079145206854	0.180841298964751	0.316062370349687	0.305592905993542	0.225067153581714	0.29680868226952
"SRR31418685"	0.0967563087818481	0.284012787382677	0.405564989868455	0.199250489837666	0.26205019298074	0.307436423267739	0.381381803664645	0.281715648222879	0.129857324998949	0.274982987605981	0.49282252142605	0.295049121023538	0.198085071030624	0.344806753083869	0.295399262303284	0.31266189733103	0.0953229686978298	0.467064242098153	0.359276255069262	0.235819901732488	0.157707054080151	0.3192650135733	0.307393063760699	0.265130745376866	0.223508937686908	0.279444834938434	0.280497377407027	0.420444259329807	0.251752941159216	0.192039813196291	0.262374308984634	0.131680467591099	0.234900705876293	0.250113943407185	0.116022527031444	0.143446712123475	0.230366864109781	0.208983633691072	0.270600710212432	0.224214049524486	0.4084291653965	0.409358782562728	0.223074279188204	0.178317238478883	0.275991753982308	0.228134515750172	0.470082101630494	0.156231789843129	0.453641430380181	0.308881024752265	0.234697789491602	0.22037947942487	0.144966657130687	0.297880561785311	0.369208120676059	0.178959586293713	0.250109435120298	0.13434645619235	0.256990250328156	0.158959669790836	0.327140962016787	0.253772889512866	0.392809683787776	0.318866212672681	0.353116360036499	0.294677123854084	0.178719454908859	0.293497382510053	0.201169397681124	0.263214161297181	0.203478825526426	0.291577177825606	0.200577044144783	0.251443433058954	0.215372359867109	0.255351478647672	0.250888477081012	0.321326831424341	0.253680920159246	0.252888326900176
"SRR31418686"	0.187953890159807	0.25084996737644	0.268161159910516	0.152562042632968	0.252919391082307	0.286302869147696	0.267285808714929	0.279202218398349	0.183228355057758	0.305742798632278	0.337221348116261	0.237148953273883	0.224086730362936	0.236810291109874	0.262494742892639	0.232760820028824	0.200755445800129	0.333404666518087	0.424032458552067	0.177233897878474	0.196128505265348	0.308976199506534	0.319646929754375	0.286178452961353	0.233837660169263	0.268552872587256	0.285612300516756	0.25637237942989	0.210877950062288	0.235162348337606	0.196908125114146	0.156858068073512	0.2692069885728	0.231076625997404	0.178095742188911	0.156688161634809	0.242196876592295	0.232738680511199	0.258610099588533	0.242392753955104	0.288011500548026	0.239822705390108	0.284954561271097	0.200138553490448	0.214271876866749	0.259679371203776	0.272915946728423	0.213923194444778	0.234615859555961	0.294929525061662	0.2272860947677	0.227364641782344	0.236081030361395	0.27906119597246	0.309385703882075	0.20194374712406	0.175443059497389	0.215591721736939	0.290117903224853	0.124820785014778	0.323096045378263	0.205906165670455	0.178657962403235	0.324099085578159	0.29415317541454	0.305449773384348	0.220324465986219	0.165315132977921	0.232104727853407	0.297315852216945	0.19174759047814	0.305655909890701	0.191616646275485	0.316592624946743	0.232525801676259	0.252377225356726	0.2253042475957	0.228428685037628	0.235708135428762	0.27830727356005
"SRR31418687"	0.0834441859654332	0.229324821288923	0.329150241033136	0.138450928995394	0.203645590466792	0.194364966754658	0.312106517109079	0.220128579090367	0.100406812495013	0.244188034740698	0.184818389337943	0.245015510446793	0.144404738729769	0.263076778192794	0.262428367299467	0.263149150054679	0.0750107899800311	0.403977091030917	0.328455777800827	0.183689801892793	0.131479482909445	0.25929802352341	0.276707144100256	0.226683021493817	0.155371874009993	0.222344733722206	0.248507515990132	0.21298388015799	0.187279664041435	0.157132729102325	0.197822076510752	0.0861852331613969	0.193775173171313	0.214103241746243	0.0991407115479898	0.102055645776364	0.171949069600243	0.173574143380019	0.244998500088469	0.181368445600375	0.354544454000544	0.19667149218002	0.203901437123486	0.0906911813344485	0.227535557294829	0.167786944768484	0.250539428443952	0.117741987301141	0.170059879590666	0.275112633814749	0.197352241221132	0.170105778124389	0.140439683597862	0.245727487412325	0.319809632873932	0.152810451945732	0.196691306005387	0.11645227940981	0.205250964224212	0.107767336444775	0.274029170646482	0.207573773891513	0.251037169324519	0.298550271356023	0.321184722726703	0.253991783055619	0.129274941871601	0.237110348437234	0.170020672829704	0.212093925204864	0.147700343964591	0.197954036151034	0.136035623337601	0.229036522216121	0.156646640254472	0.214895890510721	0.191151866256459	0.280567751407135	0.177707472935824	0.211555984490791
"SRR31418682"	0.0860496374872162	0.221302558986272	0.193723870356277	0.142314820448115	0.183351115340326	0.257205718518352	0.204030585188172	0.210135343517195	0.129679335119175	0.239702529238496	0.271065636106004	0.134689136682201	0.158444989208334	0.18810572458566	0.259415026747501	0.148283751473152	0.138181985495789	0.2253361234871	0.323359657467506	0.164584321384576	0.164077929019759	0.2190617549946	0.263745481191102	0.216687267611894	0.182404056340192	0.208214222613191	0.230034462286949	0.18167892377293	0.166825561454383	0.168897681953618	0.170519534253134	0.13921271590937	0.186417618242361	0.188830803701092	0.105931720215078	0.105376057513518	0.190970120539562	0.188715858591798	0.22957697318857	0.202695512196055	0.21184014516752	0.195978896197174	0.206850339916346	0.148620041907149	0.173292578893069	0.231368863911193	0.177723835135648	0.14528853457055	0.197752447901587	0.184274675576176	0.196826335709224	0.190963536461288	0.199484514254449	0.200864747751703	0.233649266320947	0.145761442265764	0.155584106632684	0.144548031593441	0.191773045604307	0.134961789295002	0.254605396383379	0.16210575452577	0.165610628913866	0.24427737072585	0.271438766619147	0.199898601063255	0.20226290749268	0.155190789151259	0.155536257301737	0.170296791058368	0.181545066900026	0.216787813375524	0.179620158806518	0.198673662156548	0.19474846580552	0.172094251421148	0.172252276674221	0.229234856254221	0.269033682198827	0.175921061089781
"SRR31418683"	0.130903148315728	0.282505996823327	0.392571458663865	0.184070637212002	0.312900866361244	0.280364359166169	0.356493058364135	0.313329684267733	0.181505346609815	0.318854608510196	0.318310165828825	0.295151237153797	0.214762190776215	0.339854477990197	0.342612509253353	0.345506167171806	0.181352314384706	0.390014195068018	0.414261925800077	0.265016678251384	0.230761831811606	0.348419284034644	0.346228065434382	0.301455563905372	0.233726149943982	0.327179151925275	0.315860782263347	0.296554885122744	0.266488154650433	0.243171272260235	0.291277992119689	0.159578504613846	0.290388836588475	0.26672270618778	0.167303881251934	0.182073594905433	0.226199184498308	0.238426456747046	0.324988790693799	0.237251090346036	0.401138176306777	0.284397729037767	0.279630152723961	0.213252148010848	0.297259301424242	0.257256004125616	0.315810514194206	0.180218303185177	0.273121888987581	0.365143615095195	0.263332825720623	0.233904252711427	0.252997990270185	0.325012679010853	0.371494127693042	0.213610135447308	0.25625551860679	0.231598383310854	0.308314322574969	0.144936532908494	0.357249397437355	0.285723656307877	0.309578390024987	0.359024109804848	0.391075500605201	0.332671689102593	0.21514605782575	0.278070029954963	0.25875485352985	0.284252979804489	0.202610173253667	0.322557842419689	0.200971674131005	0.314591933983633	0.227331832481107	0.257821187311316	0.264331153461888	0.345417203969256	0.287066004584603	0.271317272734924
"SRR31418684"	0.103283713485669	0.188273259294358	0.202783508189365	0.135096403699711	0.159026582600529	0.242474988153217	0.154844300067952	0.271030016288189	0.0945893268932625	0.205992558686432	0.296777012432894	0.146998600439215	0.154719234316188	0.15187387629108	0.2219414122492	0.137578050370728	0.0708872722865975	0.227265155494523	0.282146953480796	0.1454970035978	0.111940536119325	0.193954885225239	0.234111699384066	0.200646115854168	0.181777759690657	0.16661866554319	0.20685066357178	0.230730430577302	0.163834661890946	0.113389810580443	0.161216377938507	0.104264389642547	0.145306007134283	0.173589068133239	0.0814823141369063	0.0823309439655593	0.20024596632223	0.166084930582106	0.192454724053009	0.192957495848245	0.228399856540768	0.259738857871028	0.189721063498337	0.0856020144743187	0.163320704502412	0.214250259364939	0.247641147435598	0.139606549821268	0.308214580896907	0.196847119823363	0.203162428689488	0.178364031020076	0.11559775296478	0.182266272870352	0.236237565672666	0.193573299494478	0.144547403807153	0.0843670175908523	0.163368158153881	0.120958310243553	0.222743590980834	0.145360662241309	0.187423805446141	0.25983757298218	0.220656860726998	0.195502157576416	0.153964661439789	0.156935238057015	0.135302882598819	0.171274042712744	0.16486071500401	0.211644056376286	0.158452609654783	0.192226001902243	0.186511297629299	0.173921108680075	0.161135314212912	0.215420293052706	0.181909825833261	0.173147977246278
"SRR31418707"	0.125892957206716	0.287084324595141	0.427913060066143	0.209767336263348	0.341955188946322	0.312788352883782	0.398381299352669	0.29144784725409	0.193103913464283	0.368600045601691	0.494443469115583	0.332554539024268	0.228191595203436	0.392091026682066	0.399451337852965	0.36578662918202	0.216870511639975	0.486118074983665	0.479481599224222	0.316224700191072	0.239046535310026	0.373489288185924	0.383037499518134	0.336437874583588	0.237948333289675	0.332425778205181	0.304977387793768	0.308885849621512	0.288795106039667	0.308016881734135	0.311830528289362	0.168978895589672	0.316491631118208	0.266941390949499	0.167187490063244	0.219546701234688	0.236279152283004	0.247741191070761	0.373907410418708	0.242097956487336	0.430054935521194	0.292423153803398	0.294437493317348	0.330903014148559	0.345106446662373	0.273209951047818	0.324012492334384	0.206713025978601	0.288146332111753	0.369900967597639	0.248247568653635	0.246237846991086	0.37170330228644	0.349675032020621	0.38646028209022	0.235189253702835	0.299639436531825	0.255190702024411	0.359027338229088	0.167378897587	0.370071570510411	0.348427574846957	0.335393458151485	0.349617540101952	0.366568169837762	0.368967796604185	0.268694551595083	0.301123401851917	0.341282592845024	0.350824029818762	0.22205356896067	0.3583700189669	0.217730812790763	0.298812781067605	0.246275627084557	0.303211406516989	0.283258561270806	0.363989648514557	0.318581152232258	0.278662152097895
