"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR13357893"	0.781791320302883	0.82149750640792	0.857627950164498	0.839268022625324	0.76132785792153	0.814676986817963	0.889096970173794	0.74764999835414	0.711157755856408	0.719329269000558	0.78133816231831	0.887757960447353	0.776526769094824	0.855227913490353	0.753606785715529	0.897527027571594	0.749130692329898	0.864749126102236	0.758835251058218	0.791885115145775	0.741314279850723	0.776348786473662	0.730292621839858	0.806851380343757	0.75539508127058	0.762164599992039	0.752205772855139	0.821651333067122	0.800672730852164	0.74324397096056	0.725879269636877	0.819033641084856	0.761491879610945	0.770721880375944	0.715986425876016	0.759764956917103	0.792426879723639	0.786270206553157	0.748508699820526	0.730117834778136	0.847170802337183	0.648574404024023	0.729879166427496	0.789576483298667	0.782705426844166	0.783115741303226	0.805741820568276	0.810166497142176	0.819965919506181	0.819285342133416	0.697803928632514	0.805090088671111	0.693142826023983	0.765777818082436	0.792272674692431	0.757613819238665	0.773107215853232	0.732071489904496	0.800291907658566	0.777469627780633	0.798971310327478	0.785075910338155	0.814875917222206	0.704863463708854	0.770921248678489	0.814086881470406	0.785819621598291	0.726282324479238	0.727811920230865	0.863634900090631	0.821078844797872	0.715740374891262	0.826840092127435	0.729550481520617	0.857678261184512	0.740749312248738	0.708269783189917	0.78999849769094	0.840025607562413	0.752505394535243
"SRR13358121"	0.781791320302883	0.780290821310224	0.416374251007704	0.761434332057584	0.505746168491188	0.814676986817963	0.646231015069542	0.688265737295289	0.61499563688205	0.576704733206186	0.698154291326211	0.565083943158089	0.706597393609664	0.52977247820827	0.580298755338249	0.522694294417913	0.642532539178471	0.542001609946178	0.685744694001405	0.448289898104299	0.604049210849957	0.637154503143092	0.5974361129142	0.693503631837595	0.69094123293124	0.579722030110397	0.601711755412854	0.642947191246543	0.544950959069369	0.543122848298955	0.357726862109872	0.819033641084856	0.623952566911017	0.617207698261487	0.624391053965844	0.479992495552713	0.792426879723639	0.716768771010175	0.535613507715125	0.730117834778136	0.453117288657127	0.416004795673641	0.591390375684262	0.590520893547424	0.441918687694781	0.780768268699196	0.624102398073748	0.810166497142176	0.750175271820499	0.448494475629254	0.547977358384762	0.777866607292843	0.556407262124572	0.56263165228598	0.605546295267146	0.601342448399698	0.454384168496583	0.501497445731033	0.666556443238208	0.777469627780633	0.699702067454162	0.425443714908386	0.401481515746902	0.499312355270261	0.480492238182672	0.628286231306926	0.785819621598291	0.320026171598151	0.413476709824698	0.747171395152381	0.821078844797872	0.475194772796816	0.826840092127435	0.545924519917903	0.857678261184512	0.542344555622087	0.503715726790212	0.627138957522627	0.840025607562413	0.544236670283271
"SRR13358010"	0.636597816130051	0.703696410935425	0.624535593489139	0.680317607033639	0.569842521107161	0.743067699016366	0.683721189302997	0.637280147707552	0.624271394572258	0.572446305028052	0.402986338268056	0.709943134021337	0.575588095794534	0.526370902854273	0.627513652705061	0.696032727877563	0.684638977345398	0.670860722348844	0.659078490671496	0.358412097004451	0.658266180443413	0.604330250182595	0.618569811686679	0.695494403236764	0.503754438864647	0.568192561452807	0.644433057779044	0.677994294409557	0.626771870322753	0.617030597534081	0.495351276153079	0.728517760712729	0.612281857553821	0.646402719373059	0.633497352676864	0.54718550604274	0.563607148696701	0.597746188900148	0.617275166629744	0.550822343472048	0.627849705168275	0.512586234954793	0.503459016719238	0.649423754547421	0.552273505901612	0.573742289523264	0.6280121026257	0.745215192160433	0.693968722725657	0.657599838543993	0.592987171620946	0.568446349307122	0.635806436648792	0.589909049351223	0.608937837115216	0.474367772286918	0.522435566296643	0.635567714251879	0.648495956628349	0.620168809203308	0.666433831138668	0.547017202097628	0.524479710651876	0.590332879410287	0.615199277609099	0.664575331114348	0.69635463605717	0.431327806683889	0.434970964729375	0.498270762536505	0.713442404021176	0.590792150503384	0.726873458153883	0.646408075810091	0.780377167636321	0.607114970119937	0.563497267207803	0.642048512246553	0.363787899155828	0.655868367494176
"SRR13357899"	0.72249238044588	0.777214431095603	0.857627950164498	0.839268022625324	0.76132785792153	0.814676986817963	0.865919450502944	0.74764999835414	0.711157755856408	0.690190768295642	0.670955484871198	0.887757960447353	0.725265837833397	0.844059358146554	0.753606785715529	0.891160021853883	0.713696818939394	0.864749126102236	0.758835251058218	0.716236375729586	0.741314279850723	0.776348786473662	0.730292621839858	0.806851380343757	0.67931017094425	0.762164599992039	0.728937772451278	0.821651333067122	0.800672730852164	0.74324397096056	0.725879269636877	0.819033641084856	0.761491879610945	0.73309501138028	0.715986425876016	0.740497253817929	0.721575057512037	0.722701960957488	0.748508699820526	0.675911947749054	0.847170802337183	0.648574404024023	0.671417786954125	0.789576483298667	0.782705426844166	0.717432085763442	0.805741820568276	0.810166497142176	0.81032553797202	0.819285342133416	0.667571966844557	0.74364994111627	0.690448000929406	0.765777818082436	0.792272674692431	0.674953865675619	0.770134828922966	0.732071489904496	0.800291907658566	0.777469627780633	0.798971310327478	0.785075910338155	0.814875917222206	0.704863463708854	0.720973278775253	0.814086881470406	0.785819621598291	0.726282324479238	0.683135395076463	0.791372359354077	0.821078844797872	0.697041383510238	0.826840092127435	0.729550481520617	0.857678261184512	0.740749312248738	0.708269783189917	0.78999849769094	0.76004415572821	0.739453494387919
"SRR13357647"	0.781791320302883	0.663050420428923	0.660306197643727	0.80997139819195	0.600026600945879	0.828147091770068	0.635619798119507	0.592686638639324	0.699168767117752	0.634538424815313	0.638773036096472	0.697367809373491	0.760758758374949	0.641736198043513	0.721002562881036	0.733696300042428	0.749615085930093	0.547325035516817	0.737679068000846	0.571277175578261	0.701269067576486	0.597958303959635	0.67596666912264	0.767124802230288	0.710733093022893	0.599309640132349	0.684029173377618	0.7542982569356	0.709196295386772	0.614259099350247	0.581990883504655	0.819033641084856	0.637266712108949	0.643798515516282	0.626809979689033	0.641797779943667	0.792426879723639	0.7595584376078	0.695189052635158	0.730117834778136	0.67846165727479	0.554838704040364	0.624074041519678	0.780041167184538	0.68690098280101	0.782149990770211	0.639221319562285	0.827680128699077	0.726883056992007	0.688431782422939	0.639032194657924	0.788644370685074	0.733967819090528	0.590601744365198	0.637335758565277	0.611799054063107	0.675523656591403	0.671176404656631	0.687819931077263	0.777469627780633	0.704632023957366	0.819517386835402	0.669576589418789	0.617964969149999	0.663949529762641	0.806804179765998	0.814365409154335	0.565300176314236	0.599010178865175	0.548783381209788	0.821078844797872	0.686382650817301	0.826840092127435	0.637561441677939	0.892803405527267	0.55876985020711	0.587233280462322	0.672852530287742	0.844860645643531	0.639115187043145
"SRR13358145"	0.735256553994509	0.337599025545893	0.260372599475386	0.506683952588422	0.360100715720397	0.709194379823312	0.223358397261394	0.397577308967205	0.576979568834792	0.523574477899436	0.463523150941231	0.313188586622837	0.619126956245554	0.293184171894112	0.502372150475048	0.274309649339735	0.635368741034693	0.211830338746299	0.636025582383638	0.193806337281254	0.526187626603338	0.401570249090782	0.486072664621958	0.569449067578234	0.553774270774559	0.391818640161408	0.477628133332606	0.50054816390503	0.417873896294414	0.421789904176284	0.264825404290862	0.649879420174987	0.464443058327788	0.336976221079193	0.457355853482696	0.391492621498031	0.659864935163526	0.559831605822698	0.437510357960606	0.606521088367504	0.298933099431484	0.370276281761912	0.484410952376314	0.514519159641528	0.339638792878288	0.655144157862742	0.394499784253896	0.724587906686433	0.485574876083469	0.398228897965328	0.400359629082753	0.615608028117596	0.584524437331699	0.365424618702181	0.381251146185968	0.329577966665854	0.308993649961283	0.471632748474044	0.501055563793162	0.488454381565324	0.514903937925	0.453049872954823	0.223888873318314	0.443508804153693	0.336869151853602	0.58732631183865	0.677298188058479	0.183140336438894	0.345942834809015	0.31310432748776	0.617966358261346	0.514668047434416	0.63797216405529	0.535951498025516	0.751920265222478	0.345276585954904	0.332147674640168	0.413669703841686	0.678625518457961	0.488055222197219
"SRR13357892"	0.746361118479201	0.591000682804771	0.541265957836325	0.625090311313638	0.522233392456298	0.716842207101346	0.576845563555752	0.498771531888323	0.603247464909432	0.53489803985484	0.588808592617551	0.611460738920125	0.663420382367654	0.560588911390456	0.598360757522258	0.628353431578322	0.697316391498513	0.51314872427276	0.628600837287433	0.473735024594503	0.641581274411526	0.550075969961652	0.591089323293339	0.664562186186643	0.643539916669994	0.551625249544967	0.619657823359612	0.638833421614571	0.58486187531536	0.544289672894705	0.449381023102264	0.694434379603501	0.568954650669789	0.56639893911446	0.612225569663761	0.53455420377834	0.693477658435681	0.663789024022929	0.589724940417149	0.63655968836969	0.555329992236993	0.487876843287098	0.650698508272178	0.638559838029832	0.49909598806216	0.686468033482002	0.575319115755889	0.721743623114634	0.610719745820447	0.626973620465128	0.533914953834352	0.679559115683109	0.62660513297285	0.53204720708635	0.556010501195981	0.556059415838799	0.462785532134286	0.62166616032	0.589301273126027	0.561784981360562	0.624729435509242	0.492690236641796	0.454125133324782	0.5688993017741	0.584448540692429	0.623596426856326	0.663872505061454	0.370676041385198	0.505991932154389	0.642687229676245	0.672109943981757	0.59149241677103	0.688466863456484	0.633027867871892	0.75024347407593	0.49711259733749	0.530873786632196	0.601074464187349	0.71904986374143	0.639051460680601
"SRR13357761"	0.615793059488974	0.684382722990494	0.442344491690657	0.745261120154773	0.452367937966623	0.774713897268215	0.544680574850283	0.604477149677183	0.55546444865769	0.538489445595437	0.488092001751205	0.482282401952703	0.63530215788336	0.503450724251386	0.573905391853107	0.519990408683069	0.578968160578195	0.420666643545189	0.590113791077708	0.445326226481423	0.578540444530506	0.515608782168143	0.565963198602442	0.642044768714598	0.625157892188533	0.51810961956385	0.572744443811933	0.607418805837769	0.554203556792398	0.454275995332727	0.415426594583331	0.779224415775823	0.517671819846334	0.568729523238723	0.516379071297924	0.527113648305536	0.727973659153184	0.66145239460488	0.562266608837764	0.677102565423497	0.474988456013573	0.42309059594398	0.495571431448767	0.589492978300918	0.47416555222019	0.738521421513209	0.519608387764942	0.717503240212512	0.693998070107732	0.450111866631918	0.548967940887986	0.730940964856031	0.499666740002138	0.479516657473226	0.538997697110368	0.507759743977711	0.504100870706779	0.483728144309439	0.541234360018689	0.755685590909596	0.631508731757451	0.517575302812903	0.496570321749927	0.476857629607259	0.530491638153878	0.584679155776695	0.738207982275292	0.403992928298048	0.36614183139766	0.476597911219986	0.787883632346003	0.455677458473727	0.794109874949113	0.474070834683762	0.829640031129862	0.438469650379915	0.4799395990097	0.5802384081643	0.827010188997697	0.473178738788743
"SRR13357693"	0.410513549039758	0.737001030981351	0.557239352335146	0.729292471275119	0.546957940280885	0.740735431780951	0.756892981240424	0.509653041639267	0.51648902814587	0.543718133228668	0.748393055589355	0.581746479732965	0.567636103289944	0.630763918376269	0.599350422494539	0.636292987883065	0.517419695263468	0.666943887277132	0.628366618571001	0.646302855220959	0.565336989995908	0.631654726589724	0.592498773092751	0.630914958307768	0.558413606358586	0.600787594887712	0.563868188856321	0.61720659710936	0.568438812023877	0.56020897937466	0.483882185200429	0.731741207591955	0.596055753077311	0.579542232921089	0.492641228014958	0.430338307010998	0.649361707262324	0.626399687413061	0.573120344461102	0.616925666325799	0.574824739206024	0.434150276038733	0.483244847310622	0.614413928042243	0.537945744562296	0.678248871708039	0.591409116001792	0.618519267382183	0.644597497874571	0.462411697518855	0.471331188418508	0.691004714019761	0.524279018469112	0.579725899634141	0.621864437456581	0.474465282622035	0.565062644980759	0.50926578654949	0.610247890759061	0.731636475901956	0.681629828573078	0.526401788037147	0.602405781087102	0.457561232388103	0.586600307645438	0.574259886732871	0.710625153377879	0.504108789350921	0.424497863187104	0.69225314620143	0.748963104663812	0.396462332208731	0.755584294696358	0.438860436149303	0.753157309590183	0.493057603519716	0.525309787247082	0.633549581852174	0.739709507923156	0.4622272348492
"SRR13357682"	0.781791320302883	0.758998177877897	0.497341505019077	0.774869859298796	0.51882722752443	0.814676986817963	0.670767264153438	0.652949779118708	0.630575001363584	0.574435426117366	0.680598754883622	0.631511591973827	0.718112301456091	0.592241233776861	0.609618250357498	0.584569364790976	0.660831072915878	0.605156719808428	0.66970589044565	0.507272471924879	0.626916299573639	0.610786133017611	0.61059868857611	0.707724026841413	0.702337104274356	0.576092381636567	0.622946648334546	0.661580176514386	0.590446418369011	0.576726751834019	0.414292835279304	0.819033641084856	0.611365220062513	0.633828193410543	0.620238960667989	0.523218526206372	0.792426879723639	0.728264931509441	0.571510526964251	0.730117834778136	0.525797165380704	0.451834233968389	0.614298592753718	0.62428358133173	0.499711501107104	0.781129308780177	0.618422445789675	0.810166497142176	0.73813902982415	0.514158135912907	0.5723093162359	0.782210041602054	0.578537206653849	0.566294514191721	0.605678360203974	0.627790566068113	0.507605006837305	0.537067146280528	0.650520504935172	0.777469627780633	0.690310601452196	0.486050753825609	0.47230340796486	0.530176390460156	0.529945287459363	0.63927812661835	0.785819621598291	0.380240470464739	0.463752844916378	0.736744859435525	0.821078844797872	0.534826096860089	0.826840092127435	0.568393750435232	0.857678261184512	0.575590498181365	0.521926212687941	0.633861092441371	0.833502674283538	0.56629348880289
