"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR11292125"	0.405143368944207	0.223165211667025	0.303425698391952	0.273715400069337	0.353375635258809	0.404822490096332	0.235792493787181	0.268574768159695	0.249283745963938	0.346416416000872	0.287450288965224	0.28003001493522	0.3434038515777	0.236772929437424	0.284680025839675	0.247692601927156	0.214426626839837	0.302652826545284	0.486120477649844	0.176593422115611	0.218905805964125	0.395001984419843	0.350398239694735	0.371819761742366	0.303618015744101	0.336655477209922	0.336513090998297	0.332690805267498	0.344853976277198	0.23001328132451	0.278146167737102	0.294634696077849	0.33124917561769	0.218171087165409	0.22962671802953	0.164946014894155	0.395583573570244	0.316663746070307	0.25977506160845	0.35565112311263	0.320437266834534	0.335397391237316	0.333427267254277	0.137726396698579	0.254103717627979	0.437034481414783	0.367218139198136	0.376985506086083	0.368891366617147	0.366730119941989	0.247494378352665	0.348473129479759	0.192812901464127	0.353427780471166	0.385117134707446	0.200908378027774	0.216284211484838	0.198178335910969	0.351268796811364	0.225226387151423	0.402893076642977	0.239705105479243	0.206998892558473	0.376742770985824	0.266963363342822	0.398052108714535	0.348943741270161	0.185600880559499	0.219684357528309	0.30703170818904	0.324797685931153	0.255989133499076	0.327148162183607	0.403981180880823	0.424223915315843	0.258125595001866	0.266400186943985	0.274262478635366	0.273730218860313	0.434106669102354
"SRR11292126"	0.124151280498112	0.380020376942311	0.188949311307007	0.16234565154204	0.19283081478186	0.211880469422475	0.252745746547646	0.111060193480146	0.0875878665201153	0.246711539587886	0.198769361712416	0.137095753093477	0.138976209469547	0.16296894699102	0.288450631979929	0.213891180224655	0.0960738105335418	0.180108349589074	0.300805584254224	0.128383266166861	0.121663320971441	0.203062317557637	0.321416870685588	0.254007476741623	0.137496506150124	0.152890860612557	0.270035217400327	0.168623634475538	0.213682288662543	0.0875882312189824	0.199490999007897	0.107713874384242	0.119589267258569	0.305302150257847	0.130243336962406	0.105865140336647	0.218324565056199	0.245675436648519	0.308393167169866	0.24619839339814	0.191837606893185	0.221340033007664	0.28094165280554	0.131213833545233	0.149251198214826	0.290155228242902	0.174149419134584	0.160006183603539	0.263931798050073	0.238111122737676	0.235462036605361	0.212336142510048	0.315721887194844	0.18598672276274	0.239902313714424	0.186503567393793	0.137296764892236	0.105480715693129	0.136704853345799	0.149180235095265	0.201659737002641	0.131717185369161	0.134391227324127	0.279504027745749	0.380837571263739	0.197391880235902	0.192448426844415	0.137142610641389	0.11790986785518	0.165687907280005	0.186944365516868	0.130059971316746	0.167935283436651	0.151725276343415	0.244737702740103	0.11737788709377	0.29298064742495	0.303404047593697	0.221331189880964	0.309966152251494
"SRR11292127"	0.441222040200666	0.238268454509432	0.537664927099497	0.335004920157515	0.36431574458214	0.447453128778843	0.404350686210535	0.429503701219025	0.39252423308078	0.353837570652966	0.288230887147293	0.491957312124439	0.391310452825011	0.495843931689767	0.37283109600503	0.417555441486371	0.333429332341745	0.582522561406611	0.456900128657028	0.349849840312699	0.387469436800298	0.408071681144017	0.385106642117249	0.356609748715706	0.387605471134192	0.431737357464209	0.393519055534063	0.438581780372239	0.389839834966687	0.432328622093201	0.341689553885306	0.343485355995686	0.427386742615996	0.269685656763551	0.25535722493203	0.223682185115256	0.369806750530605	0.320754137682283	0.340256936504024	0.384131342576437	0.54533051603603	0.344479959415349	0.317931595657338	0.211064683702534	0.404138741536824	0.350972185258667	0.423393203453248	0.325542070255608	0.317085222355212	0.459819863936803	0.308726735630394	0.397063341264362	0.200945772785186	0.414126693928631	0.44693037939095	0.247981872235274	0.358572429288597	0.357825234685379	0.411338472202375	0.247830295041362	0.488106245059396	0.389396817617162	0.438895185050956	0.43779984836238	0.378869730923617	0.436922203494307	0.321793382881659	0.369462777230291	0.306672709367893	0.354420877424033	0.348936907419179	0.385746580571796	0.364701822927799	0.504742647832644	0.370562346363668	0.432375158713936	0.264540914851993	0.372160524582392	0.290044120880671	0.406680090837232
"SRR11292131"	0.218490431392896	0.286191978100289	0.269942120239429	0.267867733585847	0.269827032457679	0.407715957799017	0.242692161661777	0.182745708747309	0.15237479208359	0.296378840822268	0.551749474679799	0.229283386298922	0.26735489748329	0.201346860562042	0.34149198253015	0.283525560722303	0.187182206658758	0.271244794207537	0.373723393520858	0.222233836135044	0.229792748158506	0.29068520608771	0.378521820038007	0.350541468940886	0.267875721944754	0.246165861909493	0.298244060475196	0.425325089547861	0.302071101528695	0.179884664185541	0.265165879793016	0.23462221352658	0.214726117613083	0.266899644073697	0.229672796632525	0.200948152113843	0.345724678554099	0.288740577158743	0.36645051401586	0.295633778908472	0.2815345195101	0.443434540632093	0.323487655642951	0.339497879745361	0.2259666562025	0.392000833368709	0.404286930936096	0.278410964737283	0.508214623161686	0.324975285913988	0.239105328198695	0.298768947260404	0.353823540815183	0.268762700188748	0.316097144196214	0.24469237640569	0.211983917162289	0.220988657139692	0.23233401186166	0.242779630781195	0.31227064813174	0.206044186016871	0.2668795825335	0.338447677716364	0.303131030299152	0.286887466506073	0.304104657699788	0.198807249337895	0.194005250721679	0.27104678200343	0.305197274282651	0.264003727163738	0.305804886991478	0.255458734314407	0.371470412979503	0.195042240117131	0.382838706623703	0.337782965688932	0.280073810995421	0.343636529937439
"SRR11292132"	0.386494740351755	0.768694244534342	0.78297377923604	0.753950072851657	0.657047314449017	0.721125755031844	0.857341133364988	0.572896130181221	0.534091263624033	0.563933875105894	0.719701183403315	0.763446943546327	0.58603246615535	0.755323466088175	0.65302684783369	0.818914120952214	0.576307152012595	0.813639390624458	0.621729145025261	0.791885115145775	0.61870099865475	0.689058681603938	0.637463100429003	0.672216243903527	0.582893883636815	0.677161857833531	0.635632495910964	0.704561408631825	0.668863824661101	0.620654392229199	0.65880922435978	0.725615907232458	0.641172622585575	0.664429206184968	0.530492585331661	0.510267232604435	0.639217856138911	0.651150262553774	0.651174168490973	0.60939746993497	0.763771390528758	0.540239089848747	0.504148065345375	0.61962666947197	0.677830421291639	0.674724657950879	0.682866025732615	0.581673439664994	0.719858058396953	0.648839767823334	0.553080075898196	0.700678746200903	0.49710930389416	0.671210590263193	0.711936826657292	0.570606849865531	0.695751053171873	0.589295325221397	0.646246057240488	0.728645995095528	0.725966423910403	0.664331226632569	0.785620197917158	0.562734123702646	0.720764731746054	0.648558251514532	0.675046388422792	0.696286414721988	0.513615889246987	0.749910286687733	0.743976916593187	0.464658987132425	0.750637844184865	0.516773310749817	0.745333331689766	0.583461697380274	0.616093705039006	0.71212590179815	0.654739620850499	0.474368576362376
"SRR11292136"	0.250460517653104	0.269401196007146	0.417148441220473	0.238877261870964	0.333934381541502	0.289117556927309	0.329647588066129	0.148674455953712	0.145247243922753	0.322797121297572	0.247096368628285	0.378580862506563	0.243492703002365	0.2857526649356	0.39511618182454	0.418213562224502	0.175956906136256	0.456863675312649	0.412949680166553	0.216406915803255	0.231492790711595	0.315979257518419	0.417320899000235	0.344038483613508	0.208086722233744	0.252431324847205	0.319172800337892	0.309416705356007	0.363836392834026	0.215994487629863	0.342620327254607	0.168741127021737	0.221620382132419	0.295110735738448	0.237654446478185	0.215445697871448	0.301322669734797	0.280383259753134	0.44386814303082	0.276649353353395	0.408534560207599	0.341665966699513	0.342615583388464	0.255423096572164	0.289402827967388	0.358699670086147	0.308495881963877	0.258318225009428	0.310320698062105	0.472504209881011	0.241264644819265	0.269573122434194	0.454861225622754	0.320570823982154	0.365304735999024	0.238324494783203	0.249474052681248	0.236679982549258	0.248919432281489	0.18019079543564	0.308226875691073	0.273069448090057	0.266802730733538	0.410272996913743	0.348111621714065	0.354784347262374	0.259003332226345	0.249841104648013	0.237372975644495	0.277210891448534	0.243956788501284	0.244822600780251	0.228942965931014	0.302376704973856	0.32963591885918	0.255852146262271	0.413459264990276	0.414855804498921	0.173581166499529	0.440935674273962
"SRR11292137"	0.353266759078618	0.185756508962056	0.268560556339213	0.259835633803794	0.210388622218414	0.395408040951411	0.206837924371215	0.15999211963516	0.15153085116662	0.284703148247448	0.601263000693546	0.248345610459818	0.281278949743823	0.198629640661392	0.238704922007493	0.204570001058107	0.096128262688608	0.298755139310806	0.395137102042079	0.212189545707574	0.121786567567491	0.266667106027216	0.307419420028304	0.288076400014605	0.268356735870954	0.203983682174188	0.278440580761047	0.401879030184841	0.253848423286146	0.145922419663616	0.193983464961216	0.178558382056188	0.207931672383679	0.189871398322637	0.1238600609856	0.11781900662533	0.355144900642047	0.273321533510292	0.224348396565569	0.305216613444376	0.309470020802237	0.376129991518623	0.29494720783002	0.133794932926882	0.241384840498113	0.305064404642145	0.436116722289196	0.298532249614753	0.403382530292048	0.274383597560742	0.201923246759403	0.301802454647255	0.132865424694919	0.245437129256652	0.327657283987656	0.225629905221458	0.215346968686085	0.0996230199952385	0.238025903896765	0.222474586687337	0.300836591643971	0.223363591677964	0.270922910705127	0.336530000934498	0.250135646927841	0.316429717989911	0.259240742239668	0.201517574013562	0.220457694259063	0.308731541752716	0.288381765196745	0.226013308919438	0.275341259178728	0.266534199573854	0.340256041208864	0.206434901411745	0.215130221380937	0.204944786921028	0.232328968106403	0.29996179872177
"SRR11292138"	0.382708587182382	0.772047497937612	0.78217101486986	0.755899634649212	0.655989303166394	0.720142607318614	0.856717842577906	0.58414574890682	0.532340239172297	0.563105246146713	0.719087182181914	0.761953910783274	0.584026242222241	0.75169728143477	0.652013617480739	0.818010216900093	0.574702077131318	0.81310647131598	0.620322546744464	0.791885115145775	0.617465375571656	0.688283599997659	0.636544353664166	0.670771923896849	0.582283106849681	0.675481752591116	0.634450949904072	0.703298460167732	0.67240893049876	0.619417302898506	0.658155593255398	0.724630271705114	0.639942748521919	0.666571247918958	0.528652643851475	0.505385718834681	0.637587012940299	0.64973054169565	0.65019840891447	0.608190996621389	0.762875045042586	0.539206912527446	0.503050417855429	0.615969878074695	0.676748873622465	0.67428342184649	0.681557964921898	0.579160007033484	0.72329552262328	0.646955360009111	0.556396022352359	0.699581501824289	0.495550594889552	0.670253371795678	0.711117253206202	0.575964659202501	0.695006503246097	0.587859902122814	0.646101730623264	0.728166770022369	0.725223161371384	0.663072370976404	0.785335970944952	0.561333459266588	0.720273139271789	0.646743574849296	0.673897041420279	0.69600187425748	0.510128817868703	0.748878667412641	0.743175115125443	0.466711297655028	0.749842211857313	0.515563576645289	0.744069593645973	0.584783377253307	0.616115765960009	0.711334399889686	0.647263414667961	0.488437303128375
"SRR11292140"	0.259807809254773	0.182741712493381	0.399710029693784	0.194085409814917	0.251299352823812	0.246972720686301	0.280698291605488	0.168153944525512	0.125784187815234	0.296978008788787	0.2307451677367	0.323812815216442	0.209072905467397	0.270463558586524	0.317639706608842	0.313096693140021	0.0909774333050634	0.40833732141715	0.376375399032272	0.232739565282827	0.146715856308316	0.275308666056961	0.316948995361596	0.29623814782166	0.194686784934885	0.229860415111541	0.286441684978377	0.260411473939519	0.262727001646936	0.16726616519666	0.262631517321487	0.1182938721648	0.209860563837376	0.211063858316422	0.117074019067612	0.132508507971064	0.244196974650548	0.228417241353012	0.290483617903944	0.230023801615304	0.422815211984493	0.255442886375976	0.26511183217013	0.0972781856184804	0.296060780638792	0.23481142142272	0.291042019737676	0.192865157162793	0.203487251032174	0.371443410052074	0.213336842368405	0.226296130995101	0.179357812132581	0.275770649498234	0.356476959068503	0.199532423638507	0.255368316495529	0.124912167813688	0.231273623252435	0.147150782087218	0.293923353491803	0.278420472002968	0.299334418374312	0.372148271366511	0.327572935585173	0.326894440169125	0.18403544426428	0.279481764338274	0.231806493811008	0.249397213962168	0.200572362564618	0.20479594426595	0.182927083881617	0.280928431853873	0.236774512284161	0.229413948855437	0.223211228306178	0.316550141712268	0.175685313302907	0.267693754277546
"SRR11292141"	0.68685709507609	0.505340889127014	0.313814948954494	0.293537539895963	0.417424767879992	0.526247856698573	0.356142345779154	0.584257876767124	0.494013568551988	0.45173025356062	0.455182268284432	0.389453452732415	0.516637184595966	0.286809546073131	0.396114425106142	0.431521316891544	0.685616601142159	0.29733131609881	0.57742908705681	0.219240807300258	0.526544751587172	0.472149110264624	0.488219844838729	0.514638122889548	0.518279662306423	0.441875760997417	0.517414599977068	0.492452317320535	0.38990645962338	0.424073606724501	0.276158131971491	0.448335260408753	0.485986402369002	0.475385337710547	0.580494714995198	0.308374859394838	0.508857852492578	0.497576917186481	0.435502810689885	0.477883347042983	0.3416075597864	0.394808261371182	0.571774239245721	0.459830191505667	0.278142244780245	0.526292481492766	0.456356300362721	0.552254861450188	0.506376125286942	0.535866716620682	0.467706911360813	0.465585543094941	0.547489035060229	0.423165187777845	0.414977727791382	0.474916120960205	0.216389707986422	0.602361450262689	0.513933478746367	0.223014143162083	0.50430276354015	0.271577088816035	0.187172781554977	0.496985608201601	0.466117244159862	0.506462770484439	0.439330660370104	0.158332517203797	0.327584632031464	0.522902449967633	0.380997803141411	0.563235612843404	0.411659233515106	0.626043020465568	0.51514839722597	0.394047209846493	0.441715623272513	0.375564056586031	0.375945624273186	0.636519009018421
