"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR39238494"	0.353513693808097	0.43754454580658	0.240379348341041	0.527897697431859	0.286149038423653	0.537486508379487	0.285297231273798	0.419014323931853	0.30378941946754	0.26510444931533	0.453558486650259	0.166145079107614	0.257233552471768	0.154389033924724	0.379850127070228	0.216759480512583	0.252145318940028	0.163915812572903	0.226705836845723	0.452201605195727	0.256599797479356	0.262920521723655	0.349859653809595	0.245155828111709	0.391976422793503	0.232258000705101	0.301802806318785	0.262072370931042	0.298155140172819	0.276578622368003	0.366357651079919	0.426149710469504	0.227317245439641	0.347388150439088	0.547937863719357	0.494303767231797	0.296094777464305	0.35048310081567	0.32994023433316	0.373870894368819	0.198700975928037	0.440507428071587	0.474673595197424	0.319197744680928	0.304561530905836	0.313962468685442	0.198774052469946	0.41989215210675	0.422006342820969	0.146338187654967	0.346568006261241	0.427057958537331	0.381609243810372	0.262305498562203	0.27083008957238	0.329592287957145	0.357626919254693	0.48668625299832	0.21653716394263	0.665803880094859	0.23979427304243	0.260231065961356	0.320353972263447	0.292830839524528	0.28165766519001	0.202406923990339	0.540354136009248	0.328475957279852	0.232366486174226	0.317091054350849	0.598520334474766	0.322658279445259	0.58646690052531	0.346638798187366	0.484926841984765	0.263022972933977	0.614902301453746	0.390224475903626	0.356635404539525	0.391448311365349
"SRR39238509"	0.602919070321492	0.282389233946957	0.249641530186226	0.228419051407912	0.310237358511811	0.436258757129643	0.216632718804409	0.400443551136751	0.451918883722888	0.31677121784925	0.228117426390251	0.307885910921402	0.410400331147037	0.197080732681881	0.299925562039971	0.270292340997914	0.493608397562394	0.232075767907827	0.400691712543703	0.113424421367116	0.436128109302277	0.345872820365864	0.36774506462505	0.452327422895817	0.427074809750487	0.285400079003281	0.336814945620482	0.425604360917952	0.288910470150671	0.381342508664935	0.222333366924619	0.373989401074866	0.36016894328108	0.286994379006813	0.48371768571269	0.316222259539723	0.375347355263648	0.33527462508063	0.327071256185785	0.423020603057224	0.227859316770511	0.320345043734662	0.337857936659942	0.39894537936921	0.200556327238611	0.367019085654768	0.328979025962231	0.433432837173167	0.287562793893747	0.353160578684955	0.298159525061919	0.465406199751987	0.562599584683848	0.307755257262612	0.297021266302065	0.238528750971403	0.231554453437497	0.488788647567661	0.36277307868874	0.227763140036382	0.344027528298838	0.170231255432914	0.125928432033456	0.382195906915638	0.235073327017865	0.373310599122096	0.369644114826366	0.122243171500968	0.243223791974593	0.295912345339247	0.305257460174518	0.436001627866544	0.314555399846238	0.488860283340703	0.386919686468732	0.308051208458927	0.360465321391187	0.342328781569599	0.236848514121181	0.352739791354569
"SRR39238493"	0.0479790563645387	0.0330853942470759	0.0296899715797119	0.0515642592050446	0.0414978872958219	0.0646985968147856	0.027478020955646	0.0317879067813149	0.055810503510653	0.0871965958047231	0.0886469492273077	0.0194155862479964	0.0583393459996336	0.0233109946305029	0.0383615522991857	0.0213968288832634	0.0570058601524197	0.0244269383945994	0.0548711348182006	0.0508326114992487	0.0382071576320564	0.0435375368237697	0.0543724101112163	0.0422259778473743	0.0608521526312526	0.0338510277715468	0.0466310882570675	0.0347318165107383	0.0589193519426978	0.0570087863293596	0.0548462372702058	0.0559791481523682	0.0421109795339606	0.0384081466889731	0.0428962409358095	0.0607409656468195	0.0541036625654868	0.0590135318683312	0.049134596774891	0.0675620279719575	0.0252020723980295	0.0619736431351558	0.043674215937716	0.0586707171835112	0.0444549239552181	0.0436515953710235	0.0365642485597038	0.0565327569880119	0.0294076711086609	0.0234659181322785	0.0502438806094953	0.0552856209554308	0.0880997396263178	0.0410930838272389	0.0393159268316093	0.02518495497203	0.046290427075011	0.0451662709543251	0.0453737972664061	0.0932600645543342	0.0362624034496919	0.0428941581145172	0.0351193950206345	0.0463213104546361	0.0732689564002676	0.040058316194041	0.0894085766590721	0.0512363994893434	0.0715523931632549	0.0305600816915478	0.0602970829875367	0.0570951442576214	0.0514266147512362	0.0458008752328107	0.0442176927763127	0.0375279539541961	0.050306461940213	0.0302879966633651	0.044149147462986	0.0295645570980967
"SRR39238551"	0.223067095194516	0.610592056918876	0.641138703824818	0.638005966149475	0.449036916113683	0.604681005832342	0.686284789247308	0.453487189182986	0.446368620606012	0.428931578399531	0.565005688889221	0.609374028626731	0.534142302257386	0.596585539088477	0.678161294440721	0.674091290987003	0.300708273420839	0.692191126370712	0.569262674688415	0.671566959194312	0.526355826794541	0.540149797386415	0.475069998747077	0.697200475860447	0.452249092097136	0.504416330263328	0.434565445879615	0.686789218078946	0.485558828587131	0.545668553801166	0.471842511346768	0.59284595868591	0.606921622245387	0.400794843752077	0.520225829078004	0.474268011342933	0.516069778778529	0.442689711805748	0.702191645831601	0.469277930002726	0.637923917361155	0.431914983884432	0.40624103618476	0.601812892453177	0.558637868630751	0.440330870554167	0.540783430276367	0.395249202140611	0.476377525954552	0.408195148880287	0.343437154663454	0.57251659410615	0.241343658940324	0.506443674796127	0.591089864580757	0.5050674641804	0.679977396659448	0.595552926551812	0.618262804092691	0.660562913701924	0.586953825429799	0.56826963769312	0.696293877204531	0.423524877451079	0.468698376701645	0.59644088238925	0.512581951670122	0.620982352923958	0.409257060286055	0.559183903360383	0.625214803475742	0.312521622825672	0.613437579957317	0.420466632549492	0.553674979027637	0.595535569893818	0.416539510240726	0.667305419657713	0.536752582598255	0.582280511883778
"SRR39238476"	0.111747398151719	0.109583055048891	0.0660586668935252	0.182771857870158	0.097561437165767	0.241389415026794	0.0689632112248028	0.194914364556613	0.163464138253789	0.173287293132906	0.216810857955413	0.0506654682333221	0.189703316779854	0.0807795688518859	0.110011341955879	0.0658741110194783	0.187198042425862	0.0548232330548473	0.130114330390281	0.143980895279267	0.176128196691404	0.12331258398462	0.131777295760433	0.124294634568267	0.20281537431711	0.141700667402459	0.12773601217393	0.140946812350723	0.134327413911452	0.141832122278519	0.10436080476812	0.258219578099917	0.142381848532901	0.101848850538201	0.143955698974982	0.180655585542563	0.189090681768788	0.15445422995882	0.115752559289824	0.18910687006068	0.0695831842098046	0.148390042575027	0.110384155445141	0.178058499473682	0.110883687973984	0.170877489882608	0.131869920825775	0.166912368192047	0.15248657987294	0.0647950359867744	0.137423871065242	0.183510484386016	0.118244467257007	0.11035453952903	0.107940117653463	0.0948481043511065	0.116088544525176	0.166925760605374	0.140245828008919	0.244580183831161	0.150952545734881	0.100956527111504	0.131773807361497	0.104886236556127	0.155576714328744	0.0965186817400129	0.229942484000196	0.111634697543648	0.114723776665075	0.0872985459276963	0.223237562443705	0.134617907839042	0.230342315476305	0.132710251172115	0.179672384464874	0.0981109764275542	0.11490477032986	0.0990897246438998	0.23766954536942	0.0814826212198072
"SRR39238475"	0.306886239342477	0.137663954384757	0.190379995767914	0.186483233617761	0.205135753489745	0.264392751629404	0.173994566473518	0.139208295256353	0.184676305331872	0.313883220682856	0.357019157208833	0.204655620881615	0.296910095770511	0.217070447438379	0.218280973820338	0.164760334815341	0.207150199495087	0.269519980169181	0.373155854648666	0.154221014649847	0.162281924892742	0.225850221041134	0.24470678378588	0.262918978819273	0.218598609565202	0.205404537741202	0.229315444444113	0.184889927089084	0.223170079092882	0.236747177979015	0.169725309432392	0.186902581104182	0.228217475988951	0.165875329863388	0.157853461591555	0.130249407899854	0.288568970942123	0.248416045426802	0.205172278960269	0.247168569561909	0.210484148730488	0.205784377805765	0.261369749296833	0.171805437371047	0.208056149897345	0.266532605066773	0.218288928404703	0.319440480983985	0.143495209722805	0.235999533979611	0.181638057429505	0.218559962765075	0.232885411527362	0.222807086601741	0.215398976005649	0.165186680440263	0.163838564320047	0.171843356823822	0.291758236566511	0.154524080825767	0.23624359543541	0.250755496545928	0.147805801712959	0.241167141289915	0.250578704215212	0.276674129572479	0.284590500827952	0.142946146652321	0.278238036379589	0.235570657332226	0.213865285266772	0.25095033362226	0.21168469900025	0.271331206537976	0.263826243011986	0.240535058041437	0.154737737227948	0.155574402863619	0.219577329895578	0.257385194084141
"SRR39238550"	0.687330822641675	0.349428989961034	0.514614396832127	0.333466763197905	0.45408022490025	0.502019790401591	0.443781437780977	0.361907019713631	0.468949839857389	0.513868755888002	0.535404174190858	0.582997471988912	0.52541235262573	0.478053769028785	0.503614668817738	0.520944225017725	0.479774310911147	0.535158897403988	0.62426687240456	0.304608548366226	0.452294728486411	0.468939842917127	0.497981857382875	0.546141465682389	0.481703263276618	0.424448393967984	0.512622951891661	0.508591886716378	0.464634660121449	0.469556167732104	0.355719543335357	0.358725425508729	0.473884057666802	0.407300157834104	0.432226852770928	0.345988649038016	0.505329908007255	0.49223350080954	0.478825713873074	0.469079285181373	0.528420096498897	0.424164556195689	0.598340916589587	0.391229811639341	0.422714725240228	0.473059776401312	0.498649178381672	0.567586737180671	0.37710617775138	0.6312682946701	0.401817833677365	0.466042643674891	0.557966716259195	0.462136319021788	0.475399013599475	0.437523488463596	0.332737852286706	0.472642748278793	0.527038611225471	0.224964877835649	0.490345299132299	0.432388470859524	0.304182207858542	0.552060165580738	0.473369319316019	0.596149958504663	0.432621313126832	0.262233865864643	0.486166575956462	0.58701494249601	0.368681205604358	0.558836053608287	0.376409182006152	0.629265224063593	0.501837619321068	0.469791649726618	0.391588536385514	0.471389550599467	0.384138395247436	0.647119221959365
"SRR39238474"	0.116930693126228	0.1658460224769	0.217836458494492	0.268093848987154	0.157333547029426	0.26012790497813	0.203457615451061	0.189160191368719	0.229992202165055	0.180788809990359	0.17201845142545	0.161906473133394	0.209251989163673	0.242023211063323	0.158850282030102	0.194236399431565	0.220611267302959	0.186783723861266	0.139571512838774	0.29996275454256	0.233086118383752	0.16121913443228	0.191475822095263	0.176440788688082	0.248334423470025	0.195910962762861	0.197551788793755	0.197775181331697	0.247557270077551	0.229719390673416	0.215187367512125	0.28478035636727	0.178048507977274	0.179672245072805	0.176841845347238	0.2235535601432	0.201619095507603	0.206315473448433	0.179684363004381	0.235954411137635	0.196669336204403	0.189142906751349	0.171713365601478	0.225611573302119	0.200481298186928	0.184358002811371	0.164131474174038	0.168389262222063	0.119338362366425	0.147986928060648	0.201167208183506	0.239434349885823	0.154895632794875	0.171519637838041	0.176861313568129	0.135627139634509	0.214624261129284	0.241715663746462	0.160326681551449	0.300134652909742	0.198485086632208	0.187026027597356	0.264754991381717	0.175122186221301	0.286316149942164	0.14961684909179	0.23950373914435	0.253866404450303	0.189350514144938	0.154549968297652	0.263573383650579	0.175023201229103	0.261717669752123	0.191194983002839	0.208388715756708	0.174375130349076	0.183488270949484	0.167766271706295	0.291782224691377	0.151394666229182
"SRR39238473"	0.0386914138900048	0.0783402735184605	0.107831854293385	0.102732667211991	0.107673923909081	0.125526782102569	0.0814288686342374	0.150027711025518	0.0816176884041862	0.139133598596967	0.0778946129080299	0.0731253387233531	0.0819501122585004	0.112103646616664	0.104123902041603	0.0902096539160026	0.105957442579402	0.12208794182712	0.141968393744328	0.110146144947947	0.114377432210747	0.118796317682306	0.133198849786094	0.115546066701232	0.0808472086615654	0.15434525707907	0.13044695311289	0.0950287732926029	0.133390704021311	0.110754759701919	0.122457814858321	0.109856315310635	0.116711065813732	0.0986990710647323	0.0937978371043479	0.0739520199055911	0.0634193937042455	0.0753801371381453	0.114114720351161	0.0771581326452093	0.119756222956328	0.135754966975305	0.12434214089301	0.0715733658584703	0.105002302063706	0.0725332748173486	0.111370823214538	0.100215755434969	0.084318117472993	0.122968868636313	0.129995247518591	0.0550106816250153	0.0635402779430515	0.124339030994182	0.121446573086475	0.0861899580797255	0.0906792592903999	0.117314267803174	0.123272490955386	0.089354597007253	0.143869695968237	0.119238854979806	0.12270751083237	0.133689082832092	0.192104345699784	0.102806772491112	0.116347462442713	0.122112985200825	0.106179154059949	0.0718397526318488	0.114963023488935	0.112538782609993	0.118662162478966	0.152315914097229	0.113506675506593	0.121710472163453	0.104259219736621	0.0900123849916602	0.0719008632637572	0.126895460088756
"SRR39238472"	0.0518281190270677	0.0866876740504662	0.0974991942303447	0.201906235132454	0.194949464358247	0.104105992089984	0.103790490375768	0.119799488738084	0.0831389424641844	0.126599625470441	0.0664064769359781	0.080239193021623	0.143254397084587	0.219216383509223	0.0832373644086318	0.113836315732373	0.10955828470924	0.152170823523345	0.083683018535482	0.174917462258168	0.13702676307764	0.114170804723749	0.0935185250364235	0.0915425813647816	0.085886158575441	0.185706555711122	0.135369579268784	0.0720837380644453	0.176194634250581	0.140467374391596	0.154809334915515	0.211869496677636	0.121353052288567	0.137323616044714	0.126252935999739	0.138503775457638	0.10151903755491	0.113477847851444	0.104955816848638	0.0995816917095671	0.0981674525964313	0.120458440388035	0.101159512999992	0.0908488626503748	0.12410133797279	0.101086814881376	0.116023065723012	0.141513168360826	0.0636616259927788	0.090099763144035	0.138183496657383	0.0710983866542948	0.0539737986066148	0.130703260412124	0.0967200050512572	0.0741477949349482	0.116193387830341	0.125542546156054	0.157241910226487	0.202559660196835	0.122441177028901	0.188653591562504	0.200374716397947	0.071078955357545	0.21428103152572	0.0804080929430456	0.171120728091052	0.190032897124362	0.129747074834741	0.0683109351230561	0.181651968981507	0.0734857978363831	0.190602022977416	0.0980681486397143	0.149588075758036	0.140736103032821	0.0984887137996945	0.097845852287488	0.163320854340196	0.0722535599798581
