"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"ERR1624539"	0.419622341372086	0.390936594096654	0.465509117069584	0.254329422525161	0.245357833294138	0.433104458010181	0.576030784090936	0.348211150090337	0.629869197840204	0.0784376553816737	0.328500520607784	0.423064703931879	0.0893426444623472	0.296915458306139	0.216873957122564	0.342392836230741	0.476351961845529	0.191899067386386	0.387163564516035	0.243704622692276	0.139160903877169	0.329541240205261	0.390060983633942	0.377775821687908	0.262507631703905	0.370163878498123	0.089342644462347	0.398365643689654	0.49490672011434	0.139285172474714	0.221270854937888	0.183615272106262	0.256156427368209	0.484207105731308	0.448733663154944	0.156609026492618	0.16338151349637	0.289659976712351	0.0843796691165025	0.275975034154261	0.265376827907923	0.369295877475206	0.498777912198848	0.182590195868665	0.160572470024044	0.347732693141969	0.285440677029581	0.285590254254113	0.294306420909068	0.19935089539864	0.427915571514713	0.219394918804725	0.244356668175736	0.382019484560533	0.190859569760287	0.465039450111205	0.400749435132963	0.360401070541995	0.180592690824876	0.382019484560532	0.337555431738796	0.0363375958891764	0.260692367643093	0.220950465095909	0.605800242313809	0.256690882613051	0.202257036543765	0.300819396987467	0.262692689269311	0.382006155430778	0.189722690331532	0.38545946967103	0.196215944853172	0.316432401668169	0.189722690331533	0.395248843812231	0.329771729569668	0.441259018780434	0.16108061548158	0.473108761258363
"ERR1624542"	0.467818071811928	0.319584338659136	0.429738862419174	0.206374126357464	0.181170023927761	0.309522063280802	0.45261468321613	0.348211150090337	0.510761862360279	0.213010761010408	0.243570886019222	0.247139187365936	0.191454382728027	0.21751614101862	0.214551977222563	0.249356295613029	0.306922614303526	0.152345901787233	0.345363009680078	0.176560107247015	0.125921898681385	0.275777693313781	0.4263496449913	0.254463908756333	0.199894308849249	0.266438814198332	0.191454382728027	0.289312199873313	0.289667842063175	0.113812365540254	0.221270854937888	0.134844182254101	0.226180765765327	0.377302120566143	0.31513441136049	0.129784677103379	0.142295752977854	0.368747064456451	0.0759771621829243	0.159169280295979	0.191634549266537	0.386944441397979	0.313139605988917	0.144517581695411	0.139355296975996	0.324460273920252	0.0906911731197054	0.247784368451417	0.239287216732965	0.282915900137526	0.264682244248727	0.161562100753186	0.172979508787437	0.264837982670805	0.324202409489643	0.310100096338347	0.32008753553167	0.281300411508009	0.150904837841102	0.264837982670805	0.230595118366273	0.252503044521103	0.187358196167225	0.261786440511272	0.434402863538096	0.224400773646004	0.158713823881626	0.176292081524489	0.189630851432628	0.275502902582676	0.151751391089203	0.27137377242967	0.156710702601903	0.246098251918904	0.151751391089203	0.267617990608469	0.270551767865629	0.353361102823079	0.178476297147954	0.318994427009267
"ERR1624545"	0.816475728889459	0.494544175924637	0.48811883631837	0.259976023824004	0.222040624356892	0.344065819142418	0.576030784090936	0.348211150090337	0.851818102115422	0.257263669824857	0.465808717193019	0.354133816702648	0.286475533254495	0.296915458306139	0.301172706254181	0.313111954417084	0.556215237740915	0.247651647738054	0.386194099504339	0.190345300845085	0.111119002022038	0.622154961268828	0.537749920906695	0.376219326164058	0.228509965752895	0.516996154620234	0.286475533254495	0.473492546603287	0.521704604630176	0.139285172474714	0.221270854937888	0.187642485103023	0.513505831229627	0.450271597812748	0.512119339607349	0.156609026492618	0.0846056081339223	0.524739865869513	0.0517528619146196	0.41365907613514	0.306744192600065	0.470670939865613	0.530805825315032	0.187431331514382	0.160572470024044	0.381357304821812	0.398004576252628	0.569762714697779	0.335394219522794	0.473316599741342	0.54362945800829	0.192600727443609	0.25707302847239	0.307028712661205	0.536399546130634	0.511896635346604	0.38216027636151	0.360401070541995	0.283196294432017	0.307028712661205	0.337555431738796	0.283100472443226	0.297752878508648	0.492121020579293	0.49634380078836	0.344194149609331	0.202257036543765	0.436762062043639	0.268654073554879	0.457480761135315	0.216915573969813	0.38545946967103	0.196215944853172	0.303947314400727	0.216915573969813	0.395248843812231	0.545859309589521	0.41039689899632	0.214258337739353	0.309304075169871
"ERR1624547"	0.816475728889459	0.494544175924637	0.502681093097983	0.318547046001129	0.266666890226426	0.495260779641214	0.576030784090936	0.348211150090337	0.691896818445923	0.313960291611041	0.345218984275344	0.354133816702648	0.3010358702607	0.296915458306139	0.318557769022285	0.323538203134245	0.659088955113182	0.285793952157694	0.425098094038756	0.25271309613892	0.285905700632711	0.370018913680378	0.537749920906695	0.464935194884322	0.275240573973852	0.447376237230498	0.3010358702607	0.505110516405836	0.45574592479938	0.182504880041457	0.221270854937888	0.182956167305807	0.338820461771008	0.510590404363591	0.468518319327888	0.208140571572428	0.26647435276912	0.495213556195529	0.148902642257415	0.323243277901664	0.30104709507228	0.494793636346772	0.637063239313539	0.248014950335324	0.160572470024044	0.377629137707978	0.327942566110078	0.367893798308589	0.335394219522794	0.473316599741342	0.368065395607675	0.278494510420846	0.284766152777287	0.307028712661205	0.487702379148559	0.461602745549037	0.380489067101893	0.360401070541995	0.315619830267411	0.307028712661205	0.359817218136693	0.283100472443226	0.299870989583762	0.445369597265202	0.637591069220597	0.344194149609331	0.202257036543765	0.363330402334598	0.269281133913499	0.394365567113976	0.24357355641417	0.38545946967103	0.254601162309977	0.317740903736095	0.24357355641417	0.395248843812231	0.355821164120077	0.469622381984369	0.244635083540683	0.503662088803857
"ERR1624549"	0.700351451335635	0.433439184818661	0.552225962458251	0.295975607023785	0.248300566535078	0.439159496583263	0.576030784090936	0.348211150090337	0.650264394817163	0.347537052770713	0.331605507806477	0.415405630335694	0.264084803635789	0.296915458306139	0.300751740743366	0.35199882392883	0.584816033683653	0.193132314630213	0.45721915440399	0.238927084907811	0.0190003364443876	0.246408717531892	0.537749920906695	0.400883823039103	0.0555749455562547	0.405846037408323	0.264084803635789	0.444934871369817	0.515918956054243	0.139285172474714	0.221270854937888	0.187518471447364	0.283916122671915	0.60019176462468	0.455481986050196	0.156609026492618	0.0262098281048783	0.49164313234422	0.0224870166778937	0.336313079473391	0.278038928063413	0.467492740925674	0.588169214046446	0.18459425629766	0.160572470024044	0.439080176905061	0.300559723630399	0.31249872978539	0.311061908715682	0.376784783007518	0.469128009967017	0.231788537922033	0.256000020492261	0.373547990548384	0.459927030568821	0.464912402958755	0.539229824913899	0.360401070541995	0.263856833900642	0.373547990548384	0.337555431738796	0.283100472443226	0.274671032357052	0.403628319397938	0.629681614046318	0.291330047758264	0.202257036543765	0.342720244755183	0.265344609592828	0.398537109435826	0.232061458347088	0.38545946967103	0.196215944853172	0.315937532113767	0.232061458347089	0.395248843812231	0.334585380734421	0.507284218176838	0.236017933935005	0.19297964715095
"ERR1624550"	0.638143143109169	0.376025661056918	0.547873794440695	0.245748889122595	0.307954222985917	0.552986338407614	0.554998261701605	0.348211150090337	0.533283238233541	0.130849740547697	0.281789262886834	0.247261260132013	0.15417808281556	0.342443017610183	0.295542457221351	0.240862298111194	0.479860621076469	0.244326323206549	0.398425965166691	0.31184612485565	0.248221252214436	0.296139999267757	0.41024450805505	0.426114661681419	0.196083264171497	0.327153861691763	0.15417808281556	0.4071890092363	0.394322911646439	0.243992123019729	0.328188004289487	0.28405574890819	0.30245958602228	0.474347575557638	0.348165755590584	0.219874355765083	0.238076752123063	0.353448830037202	0.227051220665463	0.274507290737331	0.297194959968323	0.580510659424075	0.466054090300989	0.2428505442317	0.267566053484784	0.429654927509515	0.26871315450653	0.315832804708336	0.308466155224938	0.313180350232601	0.295784519199119	0.337085191416191	0.281795132679539	0.252498744298524	0.377852920339564	0.355479769295497	0.414075546361697	0.424947302905148	0.223649219142069	0.252498744298524	0.371299005113087	0.0848851304994407	0.301370020675609	0.333656977173936	0.530904634367019	0.322085287166683	0.251670406147571	0.289531417736123	0.263693522285203	0.341031419343856	0.243031489650402	0.364649453627033	0.251214831801293	0.258119508710326	0.243031489650403	0.376862300301342	0.318010524638203	0.479482537097506	0.248267131695061	0.438213667744852
"ERR1624552"	0.816475728889459	0.494544175924637	0.577712008519254	0.271338784997214	0.222040624356892	0.344065819142418	0.576030784090936	0.348211150090337	0.685165634826215	0.302100526755875	0.341430946167661	0.354133816702648	0.298099485338655	0.296915458306139	0.32026650088865	0.321445064353338	0.676100490596284	0.293242142627932	0.468688473230859	0.190345300845085	0.0395813640329216	0.262723261666131	0.537749920906695	0.367714411068072	0.0656686133142562	0.445071564333147	0.298099485338655	0.492778703307917	0.487612403103693	0.187125031189737	0.221270854937888	0.188430291801831	0.333435961409058	0.570029794141761	0.467066877230587	0.213652222210155	0.0465583500716373	0.494226980569985	0.0419318538394883	0.36047294959769	0.289739221969393	0.646236831604246	0.654831396718765	0.254425175139537	0.160572470024044	0.46648136987779	0.325711124645604	0.361532695535895	0.335394219522794	0.473316599741342	0.425575400720235	0.192600727443609	0.248939151171951	0.307028712661205	0.519995148208201	0.462285722745959	0.464674769766848	0.360401070541995	0.30899652656717	0.307028712661205	0.361972635616084	0.283100472443226	0.286649077922135	0.443820344089927	0.533383575962599	0.344194149609331	0.202257036543765	0.380038119165514	0.268654073554879	0.383149422954041	0.238086228613233	0.38545946967103	0.260724277262725	0.305614764215968	0.238086228613234	0.395248843812231	0.349892412792852	0.466806479227004	0.214258337739353	0.137103124374695
"ERR1624553"	0.665667352048445	0.418458321012703	0.473243349368864	0.297180376434938	0.263824190058151	0.492968406412972	0.576030784090936	0.348211150090337	0.687160483853824	0.305065090581344	0.35456272200307	0.409827167141673	0.244412290400262	0.296915458306139	0.300827771946125	0.341375184698765	0.5452179273119	0.202261222230957	0.405793735621714	0.265257708049958	0.15597578912177	0.393080665640534	0.537749920906695	0.42938207675928	0.33849243079742	0.411319637289688	0.244412290400262	0.43357723684072	0.503131367318015	0.139285172474714	0.221270854937888	0.180793580211119	0.305564509704891	0.492485728577501	0.462321633179915	0.156657049565497	0.16338151349637	0.444721228296897	0.0843796691165025	0.420086879049815	0.28064265342268	0.303177484488395	0.555171203942013	0.183892826505082	0.160572470024044	0.344596926790454	0.308818320732065	0.341010622285431	0.305154028703601	0.357775992466191	0.442735150872174	0.259210807999196	0.266136907929081	0.367397974781932	0.421333487955039	0.457291206099851	0.360604565052794	0.360401070541995	0.22839920877233	0.367397974781932	0.337555431738796	0.283100472443226	0.276354999914691	0.4038977002818	0.649566173893057	0.278930375965024	0.202257036543765	0.32482270851492	0.264639986148059	0.39674854781588	0.207894200233182	0.38545946967103	0.196215944853172	0.320663074948631	0.207894200233183	0.395248843812231	0.370500812593837	0.454511299820211	0.247589525805166	0.522699773947135
"ERR1624554"	0.676184311827534	0.422895405062876	0.568647847526449	0.230533061068736	0.389022190795466	0.550229418511658	0.738193345914585	0.348211150090337	0.65176262381626	0.269367321575322	0.414203144090612	0.497106787643741	0.239348738233612	0.544222199572813	0.536052813777834	0.334933367455707	0.605099434471574	0.234129477794101	0.384263919726629	0.371516009654944	0.164511031338398	0.364268766974598	0.537749920906695	0.475695737483586	0.335476270870151	0.471338232508743	0.239348738233612	0.509707094018816	0.762389356508028	0.301886700216421	0.391388080017044	0.496844954482903	0.335664342269626	0.493451198469391	0.524554656928285	0.237007670836062	0.166465380310328	0.470737484256152	0.2056896348781	0.712826202928048	0.435523970376515	0.409773677808401	0.631465959139909	0.268455656250332	0.403615013359975	0.434435016644525	0.398780651143571	0.356633265998655	0.394911256181937	0.410111907804987	0.673437362773824	0.327288204551864	0.372017009305073	0.420238377631852	0.447312412570228	0.562840954607206	0.396218345934516	0.614309667323006	0.215965774465822	0.420238377631852	0.581029916058971	0.283100472443226	0.439632499844419	0.485232198688676	0.525595529451623	0.357383480565376	0.392925725758509	0.560955035127189	0.418959078709031	0.455150199359837	0.163220078556084	0.574793422071722	0.281613106704247	0.33356018855028	0.163220078556085	0.613880050587304	0.416728229826704	0.472503749686288	0.407427938620859	0.488675004782466
"ERR1624555"	0.145858225465977	0.219470669164894	0.317807456067032	0.131602907944405	0.101669741917477	0.135676867796222	0.284996526447391	0.348211150090337	0.281938686617585	0.16983574353109	0.131761257378101	0.120152588773813	0.15598589278832	0.130716262997143	0.122907852462146	0.171299783795052	0.153806747086544	0.0994359919168484	0.241800042860601	0.0927689686295889	0.0979568608534344	0.158644291021968	0.17208730555262	0.106623864673885	0.139130583939296	0.12566812199835	0.15598589278832	0.160858558018033	0.121702906019388	0.0837847337348163	0.221270854937888	0.0814815022599708	0.153679624641329	0.245169974533025	0.158544722628911	0.0975344201932753	0.115478603904134	0.111925033869044	0.065018650482874	0.0765572506581032	0.107141730238192	0.323556414692413	0.149608138136729	0.100391528471344	0.112488833660978	0.232584356863881	0.0213190412763717	0.160767105087727	0.16861104190749	0.0749920481527356	0.140466533208511	0.0815349958120891	0.0902875356419383	0.187515100989945	0.06942722732661	0.152364903195095	0.243865313669159	0.18641918312956	0.110808880594801	0.187515100989944	0.120807187771028	0.211688012955654	0.104052880770393	0.0636731813460108	0.167047443073437	0.174505705298669	0.108888644376054	0.0731604197541303	0.111487026628449	0.13169653956472	0.120886065061404	0.147602839310418	0.110687367806342	0.16077409414456	0.120886065061404	0.134576892248096	0.165212786634455	0.182304546535268	0.10723054404985	0.124213835970929
