"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SAMPLE-1"	0.418533493471995	0.494544175924637	0.627143055579126	0.285191884684792	0.432705229321911	0.612396149063108	0.758386120305818	0.348211150090337	0.702105459175825	0.360474751839539	0.442464858087962	0.523818360082779	0.312210055302209	0.581768703944679	0.597837905113695	0.360633733550869	0.58870711687347	0.37797490980715	0.302637852517667	0.403652615786212	0.349109799277542	0.404106317232959	0.201790549041869	0.552049000755297	0.362740910088685	0.501789980041186	0.312210055302209	0.601124892709498	0.786832501065579	0.430181457472768	0.420311842608193	0.552010327395186	0.325614530438373	0.602241101375788	0.457292932051861	0.343545197679268	0.328940416010637	0.113026630647988	0.406878241523794	0.839730472724071	0.492231543304744	0.616048573656644	0.760125516905412	0.389297390041153	0.448976149884569	0.492549240922088	0.450182498391079	0.354900608591321	0.440538571647979	0.061402773299545	0.689104085271794	0.221968564374426	0.427324968319556	0.443695885837192	0.0612147639810346	0.60537624580399	0.513968788835144	0.649787965448943	0.341157127169977	0.443695885837192	0.645628280912889	0.283100472443226	0.500805881473744	0.148768426427513	0.549765090233537	0.272301358807954	0.426204789197887	0.642864993222727	0.449728470341721	0.482647987648019	0.311735168690327	0.602103402625417	0.392706588784735	0.113475210524707	0.311735168690327	0.644337283641762	0.453475684166821	0.516994748164088	0.444589216799331	0.51676335013131
"SAMPLE-2"	0.331123659436856	0.357195206740997	0.404221367517405	0.19521673209482	0.222061808877742	0.328204597678436	0.512720877962535	0.348211150090337	0.537413667151661	0.232584146273885	0.269640071310381	0.266926826205268	0.232240582399965	0.334441945652777	0.289655173185481	0.246480414133301	0.444777897675692	0.16403830783733	0.291034389723463	0.200691660260086	0.153081727215774	0.311202547839715	0.200385050960797	0.279571391864448	0.22923985947402	0.288304060049211	0.232240582399965	0.356966866822674	0.320997038638689	0.170899325968544	0.310057362090488	0.228853619721137	0.303761232575613	0.322255789113936	0.411118703674974	0.155969516845112	0.142936900219078	0.121760231977698	0.123771584153735	0.290358386829601	0.25406032328577	0.213047321629114	0.428768077413094	0.170886519395549	0.237192866574858	0.274154351357694	0.248647900453027	0.319780580256177	0.286864116233407	0.0948764900612721	0.232152141063864	0.196960392893436	0.213341059234939	0.294115157543423	0.0690445467724215	0.424487462614926	0.214992656426371	0.382567553507782	0.211048675091603	0.294115157543423	0.305045167555746	0.242618231326099	0.253830851726187	0.11832333379184	0.296708395008461	0.302712762739652	0.224042188853492	0.233406428702582	0.234299420989252	0.249037582990315	0.180076510644624	0.324356953711384	0.180971334970296	0.23133454367756	0.180076510644624	0.330614820254128	0.317117905310171	0.257053283550411	0.229363432982642	0.275953044051903
"SAMPLE-3"	0.230312075697509	0.359826010303233	0.58461044849993	0.259628223281138	0.405456018474931	0.675301668717248	0.643660396004445	0.348211150090337	0.529104363422982	0.272201916844033	0.317108317767956	0.35156592848212	0.23317657149714	0.494660536811309	0.474858299253834	0.271723872388709	0.507426135293318	0.330348285823348	0.40442654835973	0.426116116658577	0.147465721084919	0.256900516665539	0.165099689906592	0.506804929577813	0.111377538805523	0.32926930044496	0.23317657149714	0.439322521430389	0.493736033210695	0.383135515054182	0.410362529436669	0.435453414145432	0.306820032039602	0.501830175183483	0.470719799334808	0.31019980675325	0.165149099177962	0.0868420682012173	0.268997450686844	0.54370759880993	0.371606285860291	0.623928399551574	0.515723841065831	0.336789993035217	0.391416910465917	0.451883011109627	0.306862131414151	0.317151840490096	0.341773479296659	0.0534297174867733	0.307613666083519	0.438479623128767	0.353567605165332	0.34707229100773	0.0520469723092877	0.482883918880958	0.412521798884101	0.546714352495015	0.216007682361659	0.347072291007729	0.506744987011254	0.251357532072275	0.380330218604076	0.0989186840331322	0.580215188461168	0.3366192127673	0.342662175110814	0.337550112904442	0.334759538166762	0.384062395974583	0.214099701915742	0.458646321635493	0.344186834585387	0.278564583923655	0.214099701915743	0.48639746255794	0.348161260350203	0.522648038408582	0.404999534893154	0.370873450150742
"SAMPLE-4"	0.0579573638682559	0.145893216633764	0.342644067509218	0.11216098383466	0.204747695719216	0.341175162970412	0.380253673133804	0.348211150090337	0.300382996839341	0.122963910678495	0.177420030592265	0.122135086257842	0.106926394002518	0.274392514281699	0.233775541575784	0.139883450717047	0.0636647174408714	0.171046906682755	0.213475940041919	0.229020898527768	0.157532303480228	0.246121498597108	0.151029153634754	0.169667202454255	0.118628234640056	0.0505383374244301	0.106926394002518	0.134085612580763	0.168570344748978	0.215538374713191	0.386272278115231	0.228431910470251	0.196571968160221	0.190956017471354	0.214777408397979	0.174826180470043	0.173188613904402	0.0892895378743078	0.235096674002751	0.215687386974403	0.160959311933661	0.380906140157795	0.0732490682695398	0.168322924341915	0.283100114794294	0.238931670571769	0.0355030127157408	0.20725352738963	0.179096567377038	0.0567368279241633	0.146879101767678	0.191831474809135	0.0492154218621353	0.196441730491691	0.0627556530370606	0.219850162358084	0.175060461399527	0.339203406535825	0.0583152691337276	0.196441730491691	0.226977335861972	0.197390814126275	0.159655159071625	0.0676503474155845	0.209420568029438	0.162718954281033	0.204891695596495	0.0813664322639893	0.160382622068671	0.176355161775472	0.0705230240598283	0.214289170948617	0.183786865253898	0.159197135109831	0.0705230240598286	0.210349075726133	0.25672637867495	0.229705826416829	0.225674729876156	0.21794339521008
"SAMPLE-5"	0.121887861739025	0.17632472929945	0.181722870081457	0.247271624003598	0.207571431467117	0.313537851441251	0.465021848844221	0.47162329396228	0.405514647054007	0.150109525501847	0.205314634691974	0.157547918573661	0.116477728157237	0.254375173747929	0.195494620709821	0.179816297681127	0.0651496269392223	0.130869002520786	0.115689288888819	0.241056642385402	0.123710135850281	0.372180277289606	0.625394006607824	0.174912757956208	0.179028047865701	0.230018428184005	0.116477728157237	0.168995302544168	0.156787872523259	0.155187305296056	0.366711062727441	0.190241433105234	0.263223004074998	0.103446788753939	0.240105276794407	0.129184003240016	0.204659804221942	0.255610917146581	0.136594138538648	0.160006156506845	0.152437057638898	0.178824002926827	0.0721363267952316	0.121156255468837	0.28238693574429	0.116269765622882	0.0582274654789568	0.286257183492924	0.294726001817578	0.0925807730669484	0.153231718581777	0.178236835087425	0.140284798371185	0.326455581818519	0.100315851971747	0.239148675042134	0.125197585666278	0.306030397510069	0.0836500841560418	0.326455581818519	0.185776485652776	0.194294695076682	0.149144740243057	0.150981972211314	0.149299339549401	0.25902166990484	0.184096341865681	0.0785835539984332	0.197735807946038	0.172457067978907	0.134425074907979	0.2317275048984	0.145115403394017	0.151921015513567	0.13442507490798	0.184414085686917	0.327769636805393	0.134239514290926	0.203247808447443	0.303532160838368
"SAMPLE-6"	0.544687323125764	0.30755494755589	0.391849999430988	0.441247053818913	0.338073665853904	0.518879824204951	0.657398052047659	0.514146636684184	0.575627171050403	0.264225169025685	0.304460251060401	0.279330582232388	0.192180869503912	0.381512582822605	0.317453626079545	0.263425928319999	0.26012250385574	0.175714586640541	0.238953938786144	0.379504335063476	0.173981246269331	0.468527474163006	0.889195647942569	0.36240229468908	0.24764054019848	0.260345340541897	0.192180869503912	0.366424706422786	0.340942233250923	0.221686031831947	0.410422255646808	0.33022027131572	0.381718755238144	0.293733382062868	0.35972557673614	0.170761296054671	0.287445581837305	0.513503008179086	0.181846118908077	0.363009334398016	0.267964651882605	0.362952311089336	0.264916605422006	0.17057856505997	0.391087116572269	0.284556408719706	0.0432435780133565	0.408356042261692	0.469517496982558	0.276843424461779	0.279428314373329	0.319520069748934	0.101383827201938	0.451255892494435	0.38608936007472	0.365285851364089	0.334226064771724	0.439710330345636	0.205410819863215	0.451255892494434	0.320032160940406	0.218283322563366	0.268585178680531	0.469356539272363	0.32738555210099	0.438537087335353	0.268939120544371	0.205741481970975	0.332836112750872	0.307110111608389	0.273565692434849	0.388191391888512	0.200654861321948	0.204061181320902	0.273565692434851	0.322924838750688	0.42818873009732	0.323364366401425	0.309286964059822	0.521709120389444
"SAMPLE-7"	0.406302825176863	0.284244136631322	0.556324577699838	0.202937665020014	0.303895373202178	0.532349081927545	0.536353553057391	0.348211150090337	0.42727078923599	0.107395311112259	0.245922662968857	0.251988826692932	0.111028660656999	0.349577274920443	0.293800573244501	0.227818073339919	0.289048125715963	0.238923715580343	0.387286237783431	0.322139247522269	0.228975554806676	0.247475018164276	0.359397697945399	0.358485434815822	0.21248909330059	0.251243000369475	0.111028660656999	0.310405338170473	0.382090916143822	0.275881784293367	0.369606074151753	0.314418158952161	0.244485167788832	0.46053215435215	0.290323362460932	0.232534112775816	0.248447786408936	0.253790926931598	0.281940687466137	0.48310734209212	0.269107543436383	0.58703893071699	0.299594739447202	0.246150214182055	0.309020625279825	0.434567780155425	0.0725700615462738	0.253546574803997	0.273521687745201	0.212734048451854	0.309635520281807	0.316274092480363	0.252333544367993	0.286074601405754	0.299754835636801	0.304714973157363	0.402452646172726	0.438998667587028	0.150588752008012	0.286074601405754	0.368134981861987	0.0697368091802985	0.272852979674564	0.258565145843184	0.471685094314825	0.265543237233852	0.264601367898577	0.235580364554038	0.250936203261615	0.299091039691546	0.169828167883919	0.346642959500499	0.257793803780031	0.233484079131979	0.169828167883919	0.358168334636581	0.285381638835903	0.458930125598743	0.25113503526961	0.389845418303507
"SAMPLE-8"	0.81665127018372	0.494544175924637	0.611904582727301	0.33213062466369	0.408677408340802	0.673193930590302	0.69870157984169	0.348211150090337	0.695222376017259	0.355770736843148	0.402942269849473	0.511111522354447	0.311096017339279	0.474788349258887	0.47005011914486	0.369554651208636	0.737003282475239	0.227343026285836	0.458071990593073	0.404399581910411	0.187723614816033	0.383632598487904	0.537749920906695	0.589356341889918	0.332181182564806	0.498568645394374	0.311096017339279	0.57934464484288	0.623314400390893	0.249460015872535	0.340701419002728	0.402689698746181	0.380516956317716	0.602942382621645	0.5190636042529	0.213067299811842	0.174489363769348	0.495019221874564	0.164141984393027	0.684399913348178	0.427890172453242	0.454157680713711	0.730080340521543	0.247746879078358	0.325473893928573	0.485653078960678	0.127405770013049	0.401913655829983	0.401354141881332	0.418102088011051	0.42992849734408	0.43194778672414	0.402766380451644	0.448032052937336	0.496304077249776	0.537712659423959	0.520574512542083	0.546678324690026	0.338589572975062	0.448032052937335	0.514730363459953	0.283100472443226	0.434725115405279	0.509375376701273	0.682527407929332	0.403221199792766	0.334932131684529	0.491586550698315	0.380482219862597	0.480865116479391	0.291977688111095	0.523942842826258	0.256681842300976	0.339723041566021	0.291977688111095	0.556172605559336	0.412001084962451	0.580587774849716	0.394236728522523	0.59471556701373
"SAMPLE-9"	0.321869819950755	0.321132728541332	0.525527914911834	0.213404659317906	0.294134758294875	0.510927341589145	0.523293409961478	0.348211150090337	0.447808946064249	0.228334275971726	0.243142134858013	0.252166276920349	0.218782935668711	0.368539710550197	0.319329583580343	0.22854880482052	0.385101046490913	0.153283003018904	0.35560310104947	0.298822998797712	0.142203337596547	0.254868392761301	0.208603921340942	0.362704103018237	0.162050702549492	0.110005194064995	0.218782935668711	0.347273725532377	0.322423346758858	0.204980462187034	0.368043573672493	0.305308474670564	0.275545819895493	0.413272127284162	0.359364129310229	0.166808215684818	0.139555148338534	0.119633850269284	0.158055694082069	0.455493782010432	0.274219090692055	0.44113690566288	0.3747447555028	0.177302825174401	0.303503667393391	0.409134747878297	0.0438856739098477	0.282316497204277	0.286171287374631	0.105242717447083	0.220716637050676	0.315481430731313	0.0870403754386645	0.293936859337136	0.104127563427883	0.357266307003059	0.383953404242107	0.42853405368813	0.194370517917331	0.293936859337135	0.330038176217995	0.231843501399105	0.279277063760436	0.132611163005486	0.420625736217071	0.302791706064672	0.257782682217279	0.228293815352925	0.24544080411896	0.289672560157295	0.171597013535671	0.33428446030591	0.187935561416396	0.225979896487306	0.171597013535671	0.344119537297749	0.287907990172661	0.424005492755226	0.29602587672599	0.360679686182996
"SAMPLE-10"	0.816475728889459	0.494544175924637	0.378774426241776	0.255535059795482	0.247047568464554	0.429274236851544	0.576030784090936	0.348211150090337	0.851818102115422	0.0802889322063623	0.465808717193019	0.354133816702648	0.154091354157055	0.296915458306139	0.244218548082995	0.300066031460651	0.556215237740915	0.247651647738054	0.319987698602287	0.224691339373509	0.224759959644981	0.660422381413529	0.537749920906695	0.43162677063115	0.369875739883108	0.516996154620234	0.154091354157055	0.482242814207476	0.412140000029652	0.139285172474714	0.221270854937888	0.177846631755956	0.513505831229627	0.287904614201383	0.512119339607349	0.15671293601018	0.16338151349637	0.524739865869513	0.0843796691165025	0.526872399130175	0.313108368458732	0.241174573161526	0.530805825315032	0.187431331514382	0.160572470024044	0.259018460213324	0.213369856250163	0.569762714697779	0.335394219522794	0.473316599741342	0.325894780980168	0.239351475886222	0.277573751319747	0.307028712661205	0.47870058766453	0.499500646476155	0.157162627988628	0.360401070541995	0.233451238573439	0.307028712661205	0.337555431738796	0.0783043038721071	0.305275207039576	0.492121020579293	0.531353253415272	0.344194149609331	0.202257036543765	0.360635914259275	0.269014830137089	0.43250766940835	0.211554400790481	0.38545946967103	0.196215944853172	0.310868824568335	0.211554400790482	0.395248843812231	0.545859309589521	0.341041467314801	0.180342869738578	0.492480195679576
