"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR31418698"	0.290779320050823	0.437778663302401	0.47392733135104	0.284303936961281	0.267862245638112	0.504509172149299	0.576030784090936	0.348211150090337	0.77652813094184	0.156022052779906	0.408515845706712	0.419183552056027	0.164435418155441	0.296915458306139	0.272309811812562	0.343951250137248	0.544816300608777	0.322872046840973	0.400845566984764	0.266945384530154	0.173680702351031	0.492529918916314	0.206513658449829	0.449512570071684	0.254075759880921	0.425212779426717	0.164435418155441	0.448201123533231	0.587998161942844	0.184793378273423	0.221270854937888	0.183026862067853	0.392252065984904	0.484074119726828	0.484628658591361	0.210870780872097	0.156946082296937	0.131366697137888	0.10392810900774	0.436929444455713	0.294254376745005	0.503567047135834	0.545660319576065	0.247934613943635	0.160572470024044	0.352905074534692	0.345598355791022	0.440957763839289	0.312775389680586	0.0571014776133553	0.635724822164936	0.270674352787531	0.277323402318399	0.377722699892996	0.0559798064734036	0.503274275606948	0.375976046762068	0.360401070541995	0.233124748569233	0.377722699892995	0.360889368557107	0.105025781811476	0.288212602878804	0.10387310927267	0.652447815339048	0.294961664134872	0.202257036543765	0.408006080109116	0.265870676754047	0.441773183933646	0.192230069397095	0.38545946967103	0.257637043486643	0.320251581230035	0.192230069397096	0.395248843812231	0.456040746793741	0.468515067610987	0.205671793465985	0.44193121148835
"SRR31418709"	0.267779515238767	0.434161792882395	0.479931790531647	0.288947697963968	0.270447741974751	0.513343825156339	0.576030784090936	0.348211150090337	0.747148517215116	0.272960455843971	0.388838046902867	0.404772682172045	0.247789654011647	0.33922128469197	0.316114432272726	0.334053022753696	0.512015405602653	0.293454273459018	0.407599460578001	0.271649573158528	0.135557722996633	0.438288441848382	0.196294320813419	0.452014698777434	0.186035272372195	0.410973434328672	0.247789654011647	0.441591194737626	0.573779396140974	0.175704781580974	0.221270854937888	0.182904230586416	0.362189252252589	0.469782146776334	0.601707133481688	0.200027040289759	0.129649437586971	0.128431300065177	0.0871570434618473	0.416103450130345	0.291165398734476	0.472490413206801	0.514135726868345	0.235206627354902	0.160572470024044	0.357639446106783	0.333275761434691	0.406064279783748	0.31134715166192	0.0525013037648843	0.626941511812976	0.275199813317353	0.2771169915045	0.361840715172343	0.0477766382454501	0.60626638868848	0.346597495800518	0.360401070541995	0.228565102696299	0.361840715172342	0.356576936297644	0.283100472443226	0.286037987481353	0.0932135688147538	0.662877956328353	0.291933529561104	0.202257036543765	0.401357080085367	0.265684704566631	0.430999031948632	0.187669594708137	0.38545946967103	0.24554660481402	0.32086526374698	0.187669594708138	0.395248843812231	0.424786973728891	0.476399502102165	0.251058586303217	0.426371052847927
"SRR31418710"	0.250639386928202	0.433825075808109	0.43928800067209	0.297797600939978	0.272167482895126	0.518992579842031	0.576030784090936	0.348211150090337	0.743901235712083	0.312788195009397	0.385945088133888	0.431340864995375	0.256714419404756	0.296915458306139	0.316631522713317	0.352396300454638	0.563782099451282	0.294940887860669	0.383872310467692	0.274318205281284	0.265430499263589	0.471543156387055	0.185210333584213	0.455231255145753	0.351766920760805	0.407835855471655	0.256714419404756	0.449696599826792	0.60389093267575	0.177074048449431	0.221270854937888	0.177846631755956	0.357938089546273	0.465346065113368	0.475951341166894	0.201699844334496	0.235817294005306	0.118467631590981	0.139841401260695	0.533251884079521	0.2910612926359	0.347607569256762	0.566714945225403	0.237077007416305	0.160572470024044	0.3065237776531	0.331531018585593	0.401071528174795	0.31121423165652	0.0434492227547713	0.667178341678918	0.278598654786689	0.27814831847349	0.391208353560339	0.0374312695881543	0.499786210437075	0.31333648840107	0.360401070541995	0.247625652996147	0.391208353560338	0.357236143267775	0.283100472443226	0.286131179081388	0.0853748653713676	0.653081328608943	0.291652260147411	0.202257036543765	0.409005476793056	0.265686575606993	0.407633823380435	0.180908123896866	0.38545946967103	0.24737386671035	0.322042446979373	0.180908123896868	0.395248843812231	0.420190834834904	0.428462548401778	0.252244042517603	0.550019633833716
"SRR31418685"	0.572283507825874	0.494544175924637	0.482217057417281	0.31609052619132	0.261573762058299	0.478335186388434	0.576030784090936	0.348211150090337	0.725962940079705	0.360193668317454	0.363425073309936	0.423757002006444	0.312133259225987	0.296915458306139	0.300856514200154	0.360724622871783	0.711889785016597	0.205794747290471	0.40492747871691	0.24535721110995	0.0804332321600182	0.370661803707108	0.298262273411825	0.455559502815617	0.158931247580462	0.166556889911223	0.312133259225987	0.512747582195195	0.61921281582392	0.139285172474714	0.221270854937888	0.182826030146456	0.364879575580036	0.531010915553001	0.475400775732627	0.156609026492618	0.0732613437411371	0.201424033305517	0.0487243511963281	0.533094274406466	0.302489544146578	0.350249070884386	0.692384092185438	0.187431331514382	0.160572470024044	0.359337141777733	0.338617863242426	0.398622834402429	0.335394219522794	0.132042098420051	0.668320327899494	0.26815396722007	0.0666149925857842	0.38278676218305	0.124565401696692	0.477631043019874	0.440848966435743	0.360401070541995	0.340979992888107	0.382786762183049	0.337555431738796	0.283100472443226	0.300186904054383	0.18748474447216	0.615734987560782	0.344194149609331	0.202257036543765	0.462865313897635	0.269213247737993	0.40200563663704	0.2342301101079	0.38545946967103	0.196215944853172	0.317208132660944	0.234230110107901	0.395248843812231	0.384485152020886	0.448756871394758	0.241212530005405	0.362295031366483
"SRR31418686"	0.298463048476367	0.448146336556302	0.496107888097062	0.2861300411836	0.245945293299336	0.429755597783702	0.576030784090936	0.348211150090337	0.758863011435881	0.30435334765407	0.394495603822126	0.39593764899072	0.264842948596529	0.296915458306139	0.317393005679763	0.337006669347299	0.544240107547243	0.303297328270539	0.417432334952383	0.232451583519109	0.281256690363623	0.492891438411257	0.196673082121428	0.406172142270714	0.313241888055339	0.421848694801614	0.264842948596529	0.448125977121153	0.574412509622752	0.178994704422116	0.221270854937888	0.182002188214375	0.379246022542993	0.507173129702742	0.480910287202085	0.20395253038466	0.257632174380792	0.129392446395527	0.143016317800609	0.430744209329598	0.290189017597882	0.459068124154824	0.540214874593179	0.240532520252062	0.160572470024044	0.368483593552392	0.341139069993434	0.423756848027413	0.316875052720197	0.0670714139035289	0.61894560109419	0.229707417009447	0.261699634548945	0.352162311946806	0.048910340175955	0.501115653504349	0.36907309646898	0.360401070541995	0.258490124667796	0.352162311946805	0.358154999713466	0.283100472443226	0.284187223457992	0.0971837090422608	0.595600618243008	0.303711895983716	0.202257036543765	0.412849371647146	0.26620351832869	0.411566456826613	0.245467158359645	0.38545946967103	0.249933521997872	0.313719633504169	0.245467158359646	0.395248843812231	0.433776525190553	0.437866155267481	0.233486095184136	0.480063151709719
"SRR31418687"	0.287443692788174	0.437186681864483	0.616359633789856	0.304671948030194	0.463270803332837	0.707444771885028	0.74926338533952	0.348211150090337	0.685676979411956	0.353350049525517	0.437694864975422	0.518185781179883	0.268002850097481	0.564647923124945	0.555600233196819	0.35662305186404	0.643168547065515	0.244657530440038	0.440294808225211	0.471382088710964	0.176190091935941	0.404740571107268	0.205152563097342	0.59216414312434	0.278831440476292	0.466050792911268	0.268002850097481	0.547118029416064	0.774243212773575	0.318618582538523	0.406972400230443	0.523256418152817	0.37205825907805	0.597316768429783	0.537865572152566	0.244400461630364	0.1799623835185	0.109976616640994	0.219444749936459	0.603709615449346	0.470260046616788	0.368323835928073	0.664185403834906	0.27701093209085	0.428029669566879	0.473115823897577	0.422546026439807	0.395043387335037	0.408667762160559	0.0549362655350981	0.671918227391061	0.458144730492804	0.433356925532775	0.440356657480122	0.0491156441867556	0.599145075199512	0.480458333295782	0.633703039776064	0.270694952173893	0.440356657480121	0.600286931710671	0.283100472443226	0.477525188280777	0.132453164069538	0.667486994468411	0.377213221369393	0.410847274100037	0.585878647845709	0.434380657344243	0.496982138686697	0.2361348211382	0.589652513682498	0.289299135865972	0.347927577880233	0.236134821138201	0.630503675617349	0.449340003640889	0.565414518093351	0.465739918432561	0.615526515125956
"SRR31418682"	0.663818436176263	0.536371073583887	0.600955524628187	0.522372868682086	0.481403586659836	0.729015487178523	0.79537281559067	0.447527092785292	0.851818102115422	0.364511435065971	0.542585729345768	0.508274601595546	0.312567288030579	0.518503371006996	0.536432030693445	0.385143931541814	0.755020317924227	0.417509248227861	0.441185203347555	0.498374048797634	0.240647506594806	0.642412958469879	0.697902966083596	0.659035311609862	0.232998173668134	0.689685570621874	0.312567288030579	0.656393802224746	0.75842980824622	0.364150772532686	0.372229743113113	0.459561665377304	0.570218216533298	0.559865453724203	0.574152391374483	0.310815739971866	0.292768033574409	0.362534176972931	0.230768766868168	0.6556353740068	0.480921620053935	0.566200655977979	0.751073368518001	0.352504045436369	0.401963244832175	0.464442417383602	0.496137708118204	0.614046044649388	0.557743868024166	0.141536303712058	0.688014793048862	0.489027276579408	0.458899519125735	0.493446772586113	0.187912835007128	0.599343123300624	0.436353195873248	0.589570136692515	0.378954079996026	0.493446772586113	0.584886671522315	0.283100472443226	0.483482675465848	0.37671990727456	0.697980613244376	0.535358207911137	0.37094120180569	0.606680499287629	0.483483227465069	0.5693800227455	0.409162997917741	0.604322982810924	0.373066186806237	0.346925776336359	0.409162997917742	0.592738492924021	0.618403120992492	0.579378258816372	0.439647312607221	0.649047161819954
"SRR31418683"	0.445252918522575	0.494544175924637	0.528871912830725	0.337817451693376	0.280296225049409	0.539525668549255	0.576030784090936	0.348211150090337	0.751120734786353	0.336747796134862	0.380349735123753	0.402210392149469	0.306570420958318	0.296915458306139	0.300910597902898	0.347671284229301	0.705798569876316	0.212566627406886	0.44748801860181	0.272651310960483	0.190056119339811	0.457530422245374	0.21689440985596	0.495890544456878	0.302252187585527	0.441321254034265	0.306570420958318	0.517589340400005	0.615110116346696	0.139285172474714	0.221270854937888	0.185269985462437	0.389318838041848	0.552540854373019	0.481675075262032	0.15664062697045	0.16338151349637	0.145912189203107	0.0843796691165025	0.60611953401975	0.30919101208757	0.410299179345152	0.6859766955149	0.187431331514382	0.160572470024044	0.409378940242729	0.348482422520751	0.427319159129749	0.335394219522794	0.0755026946098665	0.668974722150691	0.306692989772706	0.298004617305487	0.359029139983418	0.0656044794661533	0.498910354320021	0.455006072210552	0.360401070541995	0.328206324213954	0.359029139983417	0.337555431738796	0.283100472443226	0.306904932926275	0.121058579121113	0.682006251500731	0.344194149609331	0.202257036543765	0.461724959964273	0.26945891635051	0.436618203854665	0.285195867287275	0.38545946967103	0.196215944853172	0.322021587685808	0.285195867287276	0.395248843812231	0.411304686556026	0.518805538058665	0.253750039957698	0.550180192415395
"SRR31418684"	0.656579047479819	0.538159406621577	0.613264239807145	0.543547775419554	0.475311071689265	0.723453813502135	0.793630680057468	0.451949073578961	0.702383240811932	0.410227916644704	0.418842414107152	0.5807848797993	0.323079242896778	0.508699955691131	0.523255621671655	0.426681105824006	0.767092272617026	0.332653294590321	0.455768901309792	0.492643820995572	0.323648166576315	0.398367135951304	0.704454029854169	0.647790747761934	0.278317381185594	0.264450678753705	0.323079242896778	0.658448409637089	0.761518385528164	0.34339592424141	0.36505212869202	0.446475728500166	0.395576436142943	0.606850699657871	0.529939350388546	0.294750492630499	0.439901037711585	0.316051898545135	0.300386800381269	0.81815397304295	0.455158694163283	0.552390876663412	0.762916926156566	0.334906405232959	0.391764065558887	0.478411817488561	0.419421855102872	0.416668461430967	0.560128567847545	0.137634685368655	0.699905122697375	0.482264832434418	0.101818360767406	0.580777578325756	0.156015892361145	0.578352206796586	0.501335712234516	0.580044423991711	0.406067135235233	0.580777578325756	0.571678567497594	0.283100472443226	0.463714448358447	0.325274104805948	0.704067142014509	0.537197117185101	0.362722371996526	0.603658436814231	0.480173631385459	0.493924284188984	0.409143548036764	0.599416535033079	0.356624469993068	0.346275282723861	0.409143548036765	0.584611571848071	0.430500607245071	0.588768784356363	0.431493781315488	0.718916093741069
"SRR31418707"	0.42881419874615	0.494544175924637	0.406399398133482	0.334528716448536	0.277558277533851	0.530769843482328	0.576030784090936	0.348211150090337	0.747394217425837	0.33437143806677	0.377497754930211	0.414224455497125	0.306002034213076	0.296915458306139	0.300901552907319	0.352249789703895	0.673295724436887	0.21142291247662	0.352773451591673	0.268617895306037	0.08984040915506	0.408771682674994	0.207533912372701	0.490054162856913	0.175774872407483	0.438616521564979	0.306002034213076	0.510986755503622	0.593741888992069	0.139285172474714	0.221270854937888	0.177846631755956	0.385189066923651	0.438505310675212	0.480625345524789	0.156609026492618	0.0834137625973026	0.137113971163256	0.051223171212855	0.500968132653377	0.308166658943932	0.241174573161526	0.651898199800873	0.187431331514382	0.160572470024044	0.280373331419549	0.346823386575367	0.422480386578679	0.335394219522794	0.0678952815736021	0.644822894916464	0.300971964383928	0.295660864579588	0.37224435804283	0.0502614069642018	0.498462026381463	0.317069902642862	0.360401070541995	0.326907849609741	0.372244358042829	0.337555431738796	0.283100472443226	0.305897631043882	0.113248838064723	0.630231451111697	0.344194149609331	0.202257036543765	0.455861249008765	0.269423634582412	0.399742206790909	0.252976338803268	0.38545946967103	0.196215944853172	0.320802914868933	0.252976338803269	0.395248843812231	0.406777979179042	0.403273940197589	0.251923740414015	0.417437201798005
