"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR13357893"	0.816475728889459	0.494544175924637	0.320162543130341	0.24250000830742	0.222040624356892	0.344065819142418	0.576030784090936	0.348211150090337	0.851818102115422	0.195310638350939	0.465808717193019	0.354133816702648	0.268505815775963	0.296915458306139	0.301172706254181	0.300066031460651	0.556215237740915	0.247651647738054	0.253496792089304	0.190345300845085	0.224759959644981	0.660422381413529	0.537749920906695	0.376219326164058	0.369875739883108	0.516996154620234	0.268505815775963	0.473492546603287	0.521704604630176	0.139285172474714	0.221270854937888	0.182076699982039	0.513505831229627	0.2534287494238	0.512119339607349	0.156609026492618	0.16338151349637	0.524739865869513	0.0843796691165025	0.41365907613514	0.306744192600065	0.332538757194872	0.530805825315032	0.187431331514382	0.160572470024044	0.226558336527152	0.398004576252628	0.569762714697779	0.335394219522794	0.473316599741342	0.555001755502405	0.192600727443609	0.25707302847239	0.307028712661205	0.503932530267603	0.511896635346604	0.205794519930451	0.360401070541995	0.244857226461093	0.307028712661205	0.337555431738796	0.283100472443226	0.297752878508648	0.492121020579293	0.425117052044406	0.344194149609331	0.202257036543765	0.436762062043639	0.268654073554879	0.432552253372751	0.186030302193405	0.38545946967103	0.196215944853172	0.303947314400727	0.186030302193406	0.395248843812231	0.545859309589521	0.289949564790996	0.214258337739353	0.423082141355019
"SRR13358121"	0.816475728889459	0.494544175924637	0.324337710416318	0.24250000830742	0.222040624356892	0.344065819142418	0.576030784090936	0.348211150090337	0.851818102115422	0.195310638350939	0.465808717193019	0.354133816702648	0.268505815775963	0.296915458306139	0.354854594262671	0.300066031460651	0.605062229291424	0.57361001653922	0.256318918912319	0.190345300845085	0.645503750394608	0.660422381413529	0.537749920906695	0.376219326164058	0.369875739883108	0.516996154620234	0.268505815775963	0.481077902013185	0.551071683735199	0.293882595164138	0.221270854937888	0.182394946112059	0.513505831229627	0.264068006570517	0.512119339607349	0.339957256859535	0.547090348980783	0.524739865869513	0.376990080514431	0.448571062320372	0.306744192600065	0.740709195981206	0.580998145561067	0.397214985022994	0.160572470024044	0.230566642028744	0.398004576252628	0.569762714697779	0.335394219522794	0.473316599741342	0.595878802197148	0.192600727443609	0.25707302847239	0.307028712661205	0.559431926019824	0.511896635346604	0.209829800628952	0.360401070541995	0.244857226461093	0.307028712661205	0.404594116720621	0.283100472443226	0.297752878508648	0.492121020579293	0.426990801480684	0.344194149609331	0.202257036543765	0.44445394849472	0.268654073554879	0.433985405112796	0.186030302193405	0.38545946967103	0.395555669393346	0.304603059919413	0.186030302193406	0.395248843812231	0.545859309589521	0.293678029029401	0.214258337739353	0.423082141355019
"SRR13358010"	0.816475728889459	0.494544175924637	0.413549502053187	0.258000293758755	0.222040624356892	0.344065819142418	0.576030784090936	0.348211150090337	0.660284063685767	0.249807916557395	0.327956673773246	0.354133816702648	0.284449657208768	0.296915458306139	0.323675047447125	0.311651513165114	0.725027322970062	0.305225230086163	0.325104708407509	0.190345300845085	0.313661292983342	0.328245728834177	0.537749920906695	0.366729719823819	0.262094585020395	0.43679086818774	0.284449657208768	0.501622672677004	0.584140328193129	0.196627279631695	0.221270854937888	0.185548413174372	0.314406587586592	0.38464543273703	0.461843881118718	0.225052607368466	0.302547550918865	0.490673970637137	0.173642270627306	0.612515012308065	0.287796589803431	0.602619309012035	0.706225405015219	0.267559496871189	0.160572470024044	0.310555390974521	0.317739720689044	0.339033407603841	0.335394219522794	0.443760343794135	0.59062983131479	0.192600727443609	0.248003696353691	0.307028712661205	0.502022620395226	0.490425623852181	0.334438815780303	0.360401070541995	0.278774384730188	0.307028712661205	0.366296990883087	0.283100472443226	0.28537288603396	0.438249518298389	0.465635097319512	0.344194149609331	0.202257036543765	0.432496466329269	0.268654073554879	0.362336538110297	0.246289660088275	0.38545946967103	0.273243910888621	0.252277426011312	0.246289660088276	0.395248843812231	0.328929863528853	0.357988016832285	0.214258337739353	0.378280775773809
"SRR13357899"	0.816475728889459	0.494544175924637	0.39100802978049	0.259559790972777	0.222040624356892	0.344065819142418	0.576030784090936	0.348211150090337	0.851818102115422	0.255715087734476	0.465808717193019	0.354133816702648	0.286048853975668	0.296915458306139	0.301172706254181	0.312804571301879	0.556215237740915	0.247651647738054	0.301716763843364	0.190345300845085	0.224759959644981	0.660422381413529	0.537749920906695	0.376219326164058	0.369875739883108	0.516996154620234	0.286048853975669	0.473492546603287	0.435728592618444	0.139285172474714	0.221270854937888	0.187289900307767	0.513505831229627	0.371790821647327	0.512119339607349	0.156609026492618	0.16338151349637	0.524739865869513	0.0843796691165025	0.307314947438435	0.306744192600065	0.461637825915859	0.530805825315032	0.187431331514382	0.160572470024044	0.297493236561056	0.398004576252628	0.569762714697779	0.335394219522794	0.473316599741342	0.3714129890851	0.192600727443609	0.25707302847239	0.307028712661205	0.534371198978359	0.511896635346604	0.373472294428964	0.360401070541995	0.282263022779825	0.307028712661205	0.337555431738796	0.283100472443226	0.297752878508648	0.492121020579293	0.455724923108742	0.344194149609331	0.202257036543765	0.376827804427241	0.268654073554879	0.455911028900175	0.262012003897389	0.38545946967103	0.196215944853172	0.303947314400727	0.26201200389739	0.395248843812231	0.545859309589521	0.353632486716083	0.214258337739353	0.423082141355019
"SRR13357647"	0.816475728889459	0.494544175924637	0.334019141741226	0.263420069841152	0.222040624356892	0.344065819142418	0.576030784090936	0.348211150090337	0.851818102115422	0.270512452576076	0.465808717193019	0.354133816702648	0.290003613921703	0.296915458306139	0.322757453278084	0.31564944178386	0.670710010598598	0.370354870959399	0.262868932962327	0.190345300845085	0.382140022678753	0.660422381413529	0.537749920906695	0.376219326164058	0.369875739883108	0.516996154620234	0.290003613921703	0.49185103770194	0.592076027830717	0.192829768931823	0.221270854937888	0.183126492328268	0.513505831229627	0.33692313117298	0.512119339607349	0.22045602287594	0.292781671805852	0.524739865869513	0.166827801682096	0.49888798274813	0.306744192600065	0.529931585028863	0.649195367521725	0.262318687500177	0.160572470024044	0.239946251512899	0.398004576252628	0.569762714697779	0.335394219522794	0.473316599741342	0.637530071542609	0.192600727443609	0.25707302847239	0.307028712661205	0.532307338169606	0.511896635346604	0.323422416827295	0.360401070541995	0.290952134360202	0.307028712661205	0.364585695333229	0.283100472443226	0.297752878508648	0.492121020579293	0.431296183698351	0.344194149609331	0.202257036543765	0.455408992201043	0.268654073554879	0.437276549555286	0.259087655306612	0.38545946967103	0.268252470964551	0.305534524956939	0.259087655306613	0.395248843812231	0.545859309589521	0.302334190853947	0.214258337739353	0.423082141355019
"SRR13358145"	0.816698417091793	0.494544175924637	0.448007958842559	0.276495250894369	0.304080130061293	0.505460693309257	0.636239490598922	0.348211150090337	0.851818102115422	0.088980685858107	0.495308079110163	0.382486916850706	0.135405741513338	0.376964202118476	0.337384859983683	0.319491746478345	0.655523266680503	0.573367728666688	0.340034398298435	0.281990846708714	0.62897401005022	0.667364514390491	0.537749920906695	0.48350927844507	0.369875739883108	0.541402626131617	0.135405741513338	0.525709457337428	0.630723909084766	0.356092794678703	0.273744978091491	0.271938656652255	0.535412885147166	0.436044048755787	0.536098317953283	0.366923776795051	0.529632864378589	0.50851798009792	0.436326090516617	0.667014078645191	0.370919722901912	0.743389544360233	0.639486649722318	0.422908988997941	0.228491699698889	0.32887397498461	0.435173720294954	0.586947114350004	0.365937651430542	0.473534771209689	0.612414852502516	0.295357981813054	0.327364872358857	0.323514688514664	0.564348795633887	0.545873918435919	0.361547189870538	0.446666296456028	0.284594589541955	0.323514688514664	0.485755753960567	0.0436000665915146	0.365877081656078	0.52259404942487	0.552410948569198	0.37160893280775	0.259606375066246	0.505259002021497	0.318963626528288	0.489000025304421	0.274968617913229	0.449970135293736	0.421062855902715	0.261236810707496	0.274968617913229	0.470592304417183	0.574134659261051	0.41500402831521	0.210259530002177	0.527649074675593
"SRR13357892"	0.816475728889459	0.494544175924637	0.391401148256314	0.24250000830742	0.222040624356892	0.344065819142418	0.576030784090936	0.348211150090337	0.851818102115422	0.195324898504688	0.465808717193019	0.354133816702648	0.268505815775963	0.296915458306139	0.327086205658278	0.300066031460651	0.381555275686135	0.397280136691666	0.219512342030007	0.190345300845085	0.413958292488961	0.660422381413529	0.537749920906695	0.376219326164058	0.369875739883108	0.516996154620234	0.268505815775963	0.473492546603287	0.521704604630176	0.205003800713696	0.221270854937888	0.182952608550311	0.430492238884295	0.308665995355464	0.430316645446231	0.234965768465591	0.324207475039632	0.524739865869513	0.189074293821805	0.41365907613514	0.306744192600065	0.559763259589554	0.530805825315032	0.279079078398753	0.160572470024044	0.284369850589217	0.398004576252628	0.499530749838873	0.335394219522794	0.473316599741342	0.555001755502405	0.101700643277018	0.25707302847239	0.307028712661205	0.535628234675784	0.511896635346604	0.217026634033873	0.360401070541995	0.244857226461093	0.307028712661205	0.369997000307276	0.283100472443226	0.297752878508648	0.492121020579293	0.456642515323154	0.214565315800621	0.202257036543765	0.436762062043639	0.268654073554879	0.436494680617684	0.203252930580198	0.38545946967103	0.284197446752634	0.113135046219876	0.2032529305802	0.395248843812231	0.545859309589521	0.333335770859569	0.214258337739353	0.423082141355019
"SRR13357761"	0.737804610127371	0.450935512932846	0.33062591769824	0.226591795909467	0.216371502222961	0.328580648949353	0.576030784090936	0.348211150090337	0.843568154642909	0.185932731541868	0.465808717193019	0.354133816702648	0.236015135259559	0.296915458306139	0.34101711507039	0.295878996293005	0.460135048122287	0.486153314747166	0.260572170001468	0.190345300845085	0.510477130139069	0.660422381413529	0.537749920906695	0.347452460130298	0.369875739883108	0.492784291566186	0.236015135259559	0.427157734588514	0.521704604630176	0.247349878697608	0.221270854937888	0.182871078034574	0.483407916136549	0.267355069784657	0.506543706734589	0.285291127869342	0.433717883479076	0.524739865869513	0.274303282288883	0.438201814543584	0.293028516721377	0.661814043288146	0.453679727411957	0.333391971898237	0.160572470024044	0.236645337933618	0.38269321171028	0.543807302888177	0.317979668343738	0.434427720474166	0.540395551059925	0.176766322642693	0.243237594669034	0.307028712661205	0.526736438246238	0.494492898885063	0.21596448990034	0.360401070541995	0.1979067573689	0.307028712661205	0.387381617071977	0.283100472443226	0.282489464077138	0.465796415160261	0.429793294663066	0.3060838773693	0.202257036543765	0.401517196621563	0.265943721234764	0.436127988312782	0.188062635076692	0.38545946967103	0.338367069090928	0.212312564540804	0.188062635076693	0.395248843812231	0.545859309589521	0.29929859403355	0.212822455305945	0.419678178368675
"SRR13357693"	0.492442897004855	0.313829348171173	0.300258423439565	0.153808322056075	0.137762556931288	0.198197569768622	0.384622469117334	0.348211150090337	0.483737449268347	0.127391314208711	0.212981105161225	0.165567349616836	0.180716623770756	0.180072404231624	0.191949408053747	0.192084119612117	0.208331509269	0.23693366029623	0.224139569101103	0.121863537863494	0.267252977607563	0.276441011965261	0.366037449705528	0.180179462589141	0.177567134644659	0.232800462008935	0.180716623770756	0.247004204226786	0.242689296783154	0.150096675181205	0.221270854937888	0.112957460993179	0.244010487822243	0.189686439083623	0.257846744507465	0.176288508382915	0.264533745516896	0.308886712677539	0.158627874351146	0.177490256006128	0.16238305576671	0.614867025728366	0.196019759913006	0.193783001769982	0.128466475654444	0.225742005739976	0.180391663846716	0.263332798847276	0.223054919145264	0.289297553676074	0.331045420019625	0.114903466908953	0.136464774158342	0.200503598781093	0.323096193627092	0.268712461971495	0.189854560435677	0.24170159519556	0.128497534602577	0.200503598781092	0.203056790391982	0.236255932447609	0.158137267549661	0.227017268699112	0.237559124070318	0.232976712345737	0.137714687355043	0.18089223853468	0.157186735622992	0.219793345568466	0.119530478085112	0.217312673507341	0.202918480037247	0.204816434804769	0.119530478085113	0.208431192873376	0.258165518756586	0.222062680105479	0.139773806839104	0.202883399786937
"SRR13357682"	0.816475728889459	0.494544175924637	0.406873657415271	0.24250000830742	0.222040624356892	0.344065819142418	0.576030784090936	0.348211150090337	0.851818102115422	0.195310638350939	0.465808717193019	0.354133816702648	0.268505815775963	0.296915458306139	0.346340443463717	0.300066031460651	0.3967538487804	0.520186528552542	0.194980695484769	0.190345300845085	0.573665978200722	0.660422381413529	0.537749920906695	0.376219326164058	0.369875739883108	0.516996154620234	0.268505815775963	0.484447962139754	0.564006308472363	0.264752800941653	0.221270854937888	0.188417654855722	0.404610288237813	0.331430082722935	0.40480898439557	0.305789987835829	0.477411803070687	0.524739865869513	0.311989278467066	0.464253550566972	0.306744192600065	0.80415768238854	0.602813117160219	0.359393338874762	0.160572470024044	0.314196463498331	0.398004576252628	0.477009322674495	0.335394219522794	0.473316599741342	0.613640034057851	0.0819547317967623	0.25707302847239	0.307028712661205	0.585718764654681	0.511896635346604	0.295631647086543	0.360401070541995	0.244857226461093	0.307028712661205	0.394010563263796	0.283100472443226	0.297752878508648	0.492121020579293	0.462311239356552	0.18156154313823	0.202257036543765	0.447877065757564	0.268654073554879	0.460926830089925	0.186030302193405	0.38545946967103	0.36004186765825	0.0796609269715138	0.186030302193406	0.395248843812231	0.545859309589521	0.368034347572966	0.214258337739353	0.423082141355019
