"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR39238554"	0.563374885910805	0.469675184770973	0.468948192008407	0.47410209326875	0.2731993128744	0.439622772525308	0.684114405886533	0.466593178723741	0.83754799460716	0.120499733076154	0.465808717193019	0.443785171877703	0.125884442998017	0.296915458306139	0.250394818287058	0.382025912791579	0.531451299916854	0.348077977996067	0.387896127006001	0.278739024708903	0.332876538038838	0.660422381413529	0.799655361894142	0.429442269662511	0.369875739883108	0.622058362466049	0.125884442998017	0.500738750275854	0.60215831823492	0.182920652689754	0.221270854937888	0.184370109523397	0.462310819382689	0.465513465735737	0.502623498694855	0.211749952058946	0.439224065835085	0.448969943442036	0.14960697482422	0.586196548853024	0.292421081378918	0.532980843501871	0.540206915358928	0.244375122108253	0.180444287335502	0.353270530881875	0.372066464884472	0.525410944547026	0.463162465572981	0.171585096414574	0.650038515385802	0.229304533094121	0.270799847582679	0.470951457897232	0.234017577927993	0.489263317730977	0.374446134779562	0.360401070541995	0.25458591894264	0.470951457897232	0.360012673608471	0.0608947419902017	0.282388274503996	0.351236776594665	0.602309687641092	0.406798896186539	0.202257036543765	0.397856372923853	0.340097469527994	0.47087310570695	0.413042146755424	0.442401890139197	0.271046894861337	0.315868468689631	0.413042146755425	0.395248843812231	0.545859309589521	0.444507627029211	0.176578575865828	0.628298819314981
"SRR39238457"	0.605569652798471	0.347371446568932	0.272402253000905	0.37177767191532	0.188335304829856	0.324063526091076	0.48787695550038	0.454608379284355	0.572628983960714	0.247083874304566	0.245681644235243	0.29259020324546	0.208313660506677	0.180177159426949	0.174816671563658	0.293872335906007	0.340499622305577	0.15012196931529	0.216077094020026	0.196545716769466	0.152511782261715	0.372254539174858	0.79502699795245	0.268913874175867	0.221526770030337	0.375761938843586	0.208313660506677	0.331221241938062	0.330801287399771	0.101356596854039	0.221270854937888	0.111498611418177	0.292204169438973	0.249137559128165	0.269778821938604	0.118235271539413	0.220131467964779	0.486375176076705	0.0715998039236771	0.330728240682287	0.172796387986051	0.357674328273329	0.328446234364743	0.127196741570109	0.143388329069477	0.198637355420341	0.195948498014644	0.322216285958379	0.341940642847268	0.290072792811061	0.465833201496497	0.176405672095556	0.167326023749487	0.425435901372301	0.387156777228441	0.274323109626777	0.303160110535524	0.241814904106258	0.207964385689327	0.4254359013723	0.181955908444085	0.236303736864694	0.168324870779843	0.370210710584224	0.348285305354021	0.329446885894477	0.137774238363542	0.194950479279583	0.205374123673251	0.259537051878488	0.305139010467962	0.255691111346797	0.146514794747479	0.21711560734745	0.305139010467964	0.208593965819328	0.316512701028349	0.258273583308159	0.163393671391535	0.406684840677869
"SRR39238553"	0.698507105814628	0.518648422627928	0.584643743903384	0.432330906199054	0.397454666538315	0.647425955213396	0.724928172830709	0.404363212908383	0.718514025309855	0.350329536700984	0.40721759649658	0.514055411341299	0.309473836638688	0.439953727132833	0.460965250292532	0.387071059049757	0.692186511268474	0.340509382429605	0.446948188765382	0.399293025021306	0.33761489621707	0.417209500598403	0.596076030011444	0.583259882100448	0.336714842958845	0.562990408967604	0.309473836638689	0.595414958789011	0.586098491712374	0.297416626675589	0.316367337477207	0.35376519915396	0.394153312979179	0.564835589032154	0.515223764966224	0.276244982275185	0.383353875252394	0.340337898339806	0.264849523590268	0.429566063689183	0.4059877772056	0.58439231369614	0.681703548949655	0.318636553596842	0.303413630511374	0.455232603649415	0.39728148874416	0.420529457377028	0.468508294627401	0.216673045999904	0.431347452255194	0.405603463624565	0.387532259456147	0.489951655844747	0.23466044818081	0.528834436880018	0.452211614698993	0.511718007799696	0.35573770278853	0.489951655844746	0.50945914943159	0.283100472443226	0.410504968271804	0.345289142985306	0.675963792427643	0.458875320224572	0.307341716757431	0.472039112163622	0.399647984655692	0.472191775688876	0.380453810835206	0.526551165925367	0.332625092025249	0.335540110324594	0.380453810835207	0.526362489040013	0.425123538152754	0.554603781063517	0.365335749015654	0.639580387554093
"SRR39238456"	0.654056744164083	0.494544175924637	0.445073804136012	0.296353542743244	0.248142350492866	0.43300087897339	0.576030784090936	0.348211150090337	0.771053967502892	0.298459152158148	0.395755663351964	0.354133816702648	0.297180398680929	0.296915458306139	0.300959027138197	0.320788956245961	0.658261912012939	0.218766743151764	0.363679760680628	0.226231768650547	0.19614603488496	0.496027556381915	0.361867537118395	0.42909515247822	0.354331564811334	0.463714894328483	0.297180398680929	0.498873708000423	0.537410609447985	0.139285172474714	0.221270854937888	0.184205176901662	0.411687154496597	0.449444481141901	0.487297816390019	0.156609026492618	0.16338151349637	0.280897854452511	0.0843796691165025	0.425821518023106	0.303834277172691	0.383764185847294	0.636200784310481	0.187431331514382	0.160572470024044	0.332422397122133	0.357426664503427	0.453440734968333	0.335394219522794	0.210716212626832	0.543616763308654	0.241483791688644	0.273724789691341	0.307028712661205	0.206777483779226	0.50131069899339	0.381467809777782	0.360401070541995	0.306931677012618	0.307028712661205	0.337555431738796	0.283100472443226	0.299359121101749	0.259311661032658	0.561580862591477	0.344194149609331	0.202257036543765	0.419656853230997	0.269030046140642	0.418935854558126	0.315379858096143	0.38545946967103	0.196215944853172	0.312742582796563	0.315379858096144	0.395248843812231	0.435778631519576	0.412484886116159	0.232137622564964	0.472443457693347
"SRR39238532"	0.666281006433205	0.492489830213545	0.55333619970135	0.478987700376437	0.446074459069407	0.628673896905907	0.810237707288364	0.460057293950709	0.737783647555821	0.33773889196985	0.460370139372438	0.581425187740956	0.270104537665283	0.534873260137223	0.543403767473277	0.409263989465035	0.582293209507391	0.330140485333081	0.379342535090162	0.453321075400539	0.290073218326381	0.479041246692323	0.808487348442929	0.564922918399781	0.324196916275358	0.6480000386407	0.270104537665283	0.596283664198225	0.724826544191083	0.348975274006538	0.384366701934102	0.483857460652983	0.415685017875696	0.504374876203505	0.542279043470126	0.289007236068513	0.419721255895314	0.464288935210999	0.291167893867675	0.635271141736355	0.451681284652427	0.52694769670891	0.597862607166029	0.324145842595543	0.424815471580098	0.421274559324027	0.432516199951537	0.446577736089589	0.558879397446594	0.226038148089799	0.62167611776744	0.389699033810333	0.411701869765941	0.581340169967401	0.282610559026006	0.592829076522565	0.428513785638579	0.605358399805358	0.308168790671541	0.581340169967401	0.590744731827702	0.283100472443226	0.455268301944169	0.458189052770859	0.589548543551178	0.506620338856372	0.384861523953231	0.563009653316924	0.499262409745478	0.500756468438653	0.433918703748189	0.621548096507081	0.351001954489288	0.33817009645663	0.433918703748191	0.606223600713671	0.49026008060279	0.502499729330014	0.421803300950141	0.666095009327791
"SRR39238521"	0.729662269783795	0.487191484856044	0.578024945147121	0.403933217501878	0.360591742393151	0.542401982473435	0.741768820486097	0.430151772189817	0.670649089812832	0.0733987701153966	0.385079843737825	0.515186538956108	0.0968149634295512	0.434989846576218	0.323871917286611	0.388234969404977	0.580813013156582	0.276310576142841	0.421628724065776	0.356886882285851	0.244196895946255	0.368077991356172	0.774855840316377	0.498494937406886	0.270887924477974	0.569309250713361	0.0968149634295511	0.55263900122386	0.627817132153887	0.260079128275527	0.312949026762474	0.354645562194089	0.337558879670122	0.554507587228523	0.50105492098154	0.240651606668884	0.34634263616435	0.511286347947214	0.202075841755914	0.546744510222848	0.377408344404112	0.633109613555068	0.586118231983106	0.275332579441042	0.3046272118196	0.467354784818425	0.368368571768067	0.362097614726089	0.483624714381189	0.334641512820291	0.535197085658264	0.316180778289917	0.344752633430018	0.506548050672506	0.400125457730693	0.530052579151001	0.523411735098178	0.506678392517392	0.280263010641032	0.506548050672505	0.491892708298261	0.0244193694018996	0.379313352136749	0.467673225241767	0.601182794864655	0.4457816924996	0.303483336242395	0.475338150895497	0.411386929408342	0.460229258294598	0.374828215671627	0.535432058997854	0.296908885735126	0.32715224692062	0.374828215671627	0.522059678041813	0.391502103231894	0.532995954015906	0.224704189879755	0.585997948125324
"SRR39238498"	0.362086306680543	0.453229164806099	0.605121236972425	0.396176223168781	0.351873531391482	0.584176120113963	0.753002870239812	0.418272788237268	0.695177701675877	0.111119709635944	0.385828248620943	0.452198887970086	0.11530498007856	0.503969256181628	0.356328896917883	0.391071078597	0.600235509447747	0.243103326885622	0.453946891158921	0.367043977342965	0.279588640836425	0.416938044300464	0.506349976277941	0.463573034548584	0.314580140556815	0.53960958672275	0.11530498007856	0.476327652517993	0.588779609368303	0.263467197969154	0.338868095850264	0.396534805254519	0.353908579055149	0.533283324463756	0.595354439974313	0.207154915183603	0.359926043985804	0.206343195411802	0.26364459997619	0.437793434778505	0.353078631866456	0.549910180340285	0.534260463010884	0.234190901426745	0.338165570566912	0.451563603498905	0.384730304497402	0.383408264137028	0.410153352099315	0.0713021753425352	0.392135910776077	0.366408126292429	0.371249987335587	0.449790652395923	0.082021416225237	0.584032875032819	0.405870850777301	0.544100607978136	0.253755007186879	0.449790652395923	0.496217493466053	0.030799236402464	0.352772417030114	0.188479685577985	0.615279716186379	0.415944207792394	0.293787381279204	0.365853665630254	0.370720892364017	0.436349708013783	0.356086896338654	0.515898907990508	0.257059014547883	0.336739152175638	0.356086896338655	0.508923968969147	0.416919677053861	0.533994651518557	0.250992521207259	0.629073964972593
"SRR39238471"	0.649183276742859	0.490738491427932	0.568829804048085	0.521069682697726	0.374325273755874	0.544074143577205	0.779298804389154	0.483338581396617	0.731323640765726	0.345142530913681	0.426171602562539	0.560737972979714	0.263772879409103	0.464659175755013	0.433562887750652	0.420356886295619	0.555375654941567	0.235781583067743	0.423483948203238	0.381808775899032	0.191856742344908	0.465530374006742	0.856164643247117	0.505272593561109	0.361038027773388	0.644305031861138	0.263772879409103	0.568217979883086	0.633845070330724	0.2229392862589	0.313796380137664	0.35029893871304	0.382241488664027	0.536551305870038	0.58706131226104	0.203762519098865	0.331034570834979	0.507741348369146	0.14401016364175	0.583768798981016	0.378728345055643	0.440060324886746	0.568778117892134	0.231155328350684	0.31906512695077	0.443888786310595	0.386591986191898	0.4175914345317	0.548776197955353	0.226457562025089	0.541417055273121	0.312837949888511	0.348257810594016	0.587109116671523	0.26518174268809	0.6055895465749	0.446917700628731	0.507930579522692	0.30645360707523	0.587109116671523	0.477284305566466	0.283100472443226	0.37784439588974	0.43318185864686	0.604588882839124	0.489364044090099	0.304439343319764	0.46164151906539	0.449180646756171	0.470416762351303	0.47316310489237	0.561668141589962	0.260953652723194	0.328372681319637	0.473163104892372	0.5231289806082	0.455519416308147	0.510691805719038	0.339382090071365	0.650170323633348
"SRR39238492"	0.37356717356006	0.461599289543958	0.64891895158856	0.410342686891104	0.371223580633125	0.598381696483087	0.720068576050305	0.408014685750778	0.745575933239374	0.352471698683675	0.432230177094809	0.503877031694276	0.266813577757957	0.426478104092217	0.451404202116246	0.382907538521811	0.557840366984707	0.370723796694223	0.503361585177548	0.380127412671911	0.346094410444554	0.487101180767658	0.45428517201522	0.526102275806542	0.307626872836384	0.348248080623559	0.266813577757957	0.527829888245911	0.587624380478806	0.297259232788639	0.307113654141381	0.342762392139531	0.393825424744155	0.64302720963579	0.514555530699942	0.282065398256359	0.41121296331123	0.199317300045082	0.274169782848544	0.468994734543287	0.378889896155178	0.708777427711421	0.569840018487498	0.32152814594464	0.290388171227361	0.535894395945447	0.245404875697421	0.43167508853084	0.442224651609687	0.0828587099185709	0.458698886492633	0.349750247143307	0.172535988923242	0.482763868894111	0.0904919416454844	0.529586257869237	0.561230436617919	0.49800273399056	0.28824864667216	0.48276386889411	0.50013946312204	0.283100472443226	0.378202895818643	0.176380921755414	0.687409331860285	0.401609969437979	0.296907693340644	0.426788012653539	0.388982043026878	0.502135780490508	0.344871237854258	0.518234959840938	0.339519855134887	0.332541443117324	0.344871237854259	0.514647331883844	0.46687894069373	0.606944838634312	0.347228354322238	0.630031061335551
"SRR39238481"	0.691276928280485	0.471201082475978	0.564151638464098	0.471735638598791	0.42618324011831	0.619454415882988	0.795751175058179	0.461203625693739	0.770956601818161	0.200173338996162	0.476909770072826	0.58418278576277	0.175322021065929	0.500773588552281	0.446963125306534	0.41339239851616	0.598114381447812	0.259419208462932	0.410685687728281	0.441262107919889	0.201480460316089	0.542211897204825	0.851052836422885	0.549788728827829	0.352048805028456	0.648917449618037	0.175322021065929	0.576218700533434	0.739408145056815	0.268328494089967	0.3592959729264	0.430960003149007	0.431942185670375	0.511684163795682	0.540042301490018	0.224807420381617	0.307049550105231	0.579442407403715	0.178825940086619	0.688618244797552	0.426155185054116	0.3397342462746	0.620909035900362	0.252831641594638	0.385134193413687	0.421584730748866	0.315126310248583	0.472100193565705	0.538048739034446	0.269220663117919	0.670830551345796	0.371913329161037	0.391414015895193	0.590933653136958	0.36627158120917	0.57231833952086	0.371880288313448	0.572303531602697	0.272259136903292	0.590933653136957	0.539702394821065	0.123673455635773	0.426238875545808	0.535065466311608	0.620567029886861	0.474992858589146	0.356139441022364	0.535275390331261	0.475641823655834	0.498346369384732	0.410154589214431	0.59805975612751	0.281407802302543	0.337827735356803	0.410154589214432	0.57801104322581	0.522354095530556	0.50404474413749	0.349861245699965	0.680709387512132
