"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR39238494"	0.349436950623677	0.263311411777092	0.353568627508792	0.165397920283711	0.322750001626059	0.517839855603453	0.572579643942687	0.348211150090337	0.639527197249092	0.0372920538027918	0.361079165549288	0.28508182219885	0.0565539256601618	0.405440075753676	0.296749838544016	0.224176303616103	0.256298896394753	0.345017715275823	0.207281152893537	0.337935491035919	0.336945606297854	0.51897806995876	0.34904089576184	0.347184678934371	0.225076244990747	0.30318825196616	0.0565539256601616	0.299386818313261	0.470427770169016	0.356735730077665	0.422229520277827	0.391824662996704	0.399122213093534	0.253336335164636	0.329059336495702	0.282111804909554	0.302307978749901	0.28251046375457	0.400980066056141	0.300045894396663	0.308279630982573	0.575006586341678	0.275515366787438	0.294553271044794	0.382067423636893	0.251112120303667	0.289279347571692	0.432447348726578	0.282099006198558	0.202148382033115	0.427026452775453	0.311215421472076	0.269362219395688	0.324718441059115	0.310313854192068	0.357295061766807	0.289677259890885	0.499544392318138	0.114751526206634	0.324718441059115	0.429692280564427	0.0198072592414083	0.307539756746375	0.29520284846479	0.325355640024861	0.265915078852291	0.310174601754734	0.278376556232291	0.277862494614577	0.35532934619471	0.182204219488707	0.382390124530344	0.306245571584604	0.229356721984283	0.182204219488707	0.400749789950333	0.478888655940693	0.304203450273594	0.230125989376036	0.397610958326941
"SRR39238509"	0.238149454851526	0.214205417733071	0.459457657906417	0.154083414411437	0.197862705233292	0.314842885468139	0.418062492522717	0.348211150090337	0.548600639514851	0.203767758624308	0.268022784291422	0.182067581075172	0.15557765567366	0.249084614027745	0.260589664193687	0.192987442840666	0.150023922407775	0.320499398534111	0.30654640867595	0.202819496234435	0.347409614737064	0.450998757622554	0.292879262372403	0.202389976747574	0.229642198103523	0.208120967312827	0.15557765567366	0.198900457439225	0.287476109499562	0.258105931463332	0.333902613546645	0.212202927828577	0.32430105707292	0.371725244277758	0.232674795988976	0.237369180345027	0.321330779082986	0.251882195889869	0.330976703785466	0.228923057400119	0.191288876763759	0.696644707888662	0.158779139547551	0.243831501886696	0.238672544969581	0.353973866301244	0.196008782383946	0.356686400375223	0.211356401256497	0.156276102681513	0.323183630059907	0.178967023342648	0.163334663539015	0.250445607919484	0.268564995247569	0.228584804766158	0.383433894927513	0.333732388098665	0.113367611137291	0.250445607919484	0.266142533603032	0.216004303395537	0.186706301580777	0.196327951259315	0.276732838247695	0.203113185077954	0.197472896564142	0.153653326607122	0.178486280747629	0.261862378694448	0.144990022906974	0.24339637639457	0.255843096523495	0.186006505156685	0.144990022906974	0.240918224784375	0.388167663486264	0.319174664560958	0.211501588656753	0.25504389111881
"SRR39238493"	0.45514602481292	0.414180334990773	0.585345730315917	0.252423480772039	0.435841874568712	0.659349163961992	0.743167424663729	0.348211150090337	0.836214236151038	0.05103129889472	0.553998213934262	0.441266755908502	0.0712249171252516	0.553351191043829	0.437603954182393	0.316821284914049	0.550692356698942	0.498852530788089	0.40810973183518	0.440724912298787	0.453683533412955	0.680984296524847	0.367767860083814	0.554667716551724	0.369875739883108	0.532177578997504	0.0712249171252514	0.508241036868138	0.750570052454233	0.443749834926667	0.39831075596213	0.50866988912195	0.523357748987479	0.5393555948654	0.573194093960794	0.371060240467075	0.399545417989721	0.296699555090172	0.459108083723586	0.545989056608646	0.469115012018552	0.647300365088155	0.582155667042383	0.414302065889195	0.414448503782641	0.44713098869104	0.481205690671135	0.573608962439159	0.394328845904482	0.168424109360963	0.643895902869389	0.407746214873324	0.415686414643273	0.357684014840039	0.229211299340723	0.612043074622279	0.429429854607345	0.623004844845538	0.199833984647024	0.357684014840039	0.631461916718628	0.0174334862902311	0.467745761346764	0.322749576165409	0.626581070983646	0.352045016333828	0.400883206607139	0.553431031973355	0.424845987332312	0.563298753456999	0.259197839444605	0.581436451379778	0.421450827762708	0.34237728913413	0.259197839444605	0.621326801443045	0.628905170259108	0.533073101381455	0.298236620911547	0.619332538723214
"SRR39238551"	0.610111150704573	0.365778796328083	0.379931297742837	0.34096927478207	0.325348987328344	0.541924633507765	0.63714866467639	0.413289588304136	0.556535050943738	0.253444843048923	0.304017487697192	0.379638319192469	0.214109719101737	0.387869456046933	0.347216138396467	0.304159363381698	0.373570289077083	0.180328688558927	0.257398648512627	0.344450599171871	0.151497749085726	0.32608132132086	0.707924261235592	0.419664851619516	0.210351340996263	0.41156702773012	0.214109719101737	0.408157970847986	0.445077998220358	0.199562688022614	0.330395929870637	0.2974341376311	0.292104269214738	0.325489036827102	0.441729303836472	0.175718704612188	0.214834726697484	0.472265690371236	0.141777236548869	0.382935389188344	0.296666309771491	0.417957414990207	0.383079083297646	0.191025674519577	0.29139812680472	0.280836330371949	0.272895149387005	0.311522208604167	0.383180477583685	0.317164949576892	0.36908937011704	0.315861490677118	0.281841544760761	0.430589045819561	0.406658169994798	0.4718006060731	0.368839934338619	0.440986335633315	0.202711851252976	0.430589045819561	0.370460369404826	0.252404608237064	0.298289131654761	0.421549640431787	0.471721968826868	0.35494952859566	0.262005606301516	0.294283299671947	0.316022876813212	0.357575685963188	0.303595574795193	0.416106955586499	0.211182662319898	0.267061675458957	0.303595574795194	0.399380343789162	0.34255322791292	0.380410685371376	0.307771615662874	0.515448446166878
"SRR39238476"	0.673983178189344	0.471836616143304	0.589117896497548	0.411774964560096	0.351317729837796	0.542325278337995	0.768695950510625	0.435266270222844	0.721214762389802	0.158335918278711	0.408655196421186	0.4566865891515	0.157098859762383	0.479503160214637	0.424252906014446	0.385640256602194	0.559005993322489	0.380647416071441	0.419768326718776	0.355466898735077	0.456346646606408	0.453636941824424	0.774392922226888	0.455974156088827	0.295910236942381	0.596118002032893	0.157098859762383	0.498124006096081	0.605883185796262	0.354046841441111	0.344045295826999	0.413031926093305	0.383700485458129	0.513407528906134	0.523166267621536	0.295391950123377	0.558871534208838	0.493203128533563	0.428678869216363	0.481978811183132	0.368336934249026	0.781072610372377	0.50340655042223	0.332342825214873	0.351319915278704	0.455041735943295	0.400695871964852	0.415721980317406	0.452096970638921	0.280651013586708	0.436463630118084	0.336139088038387	0.36686676814588	0.457640717702604	0.386788237269679	0.531325721850337	0.452435055585675	0.55135627565455	0.268006722260411	0.457640717702604	0.537828123551612	0.0670014632219294	0.367582272376404	0.464065682342685	0.56438656527668	0.449232382886006	0.306558294124932	0.413639321319681	0.398145902739564	0.460930792889997	0.361987940375884	0.537381513708508	0.355409228040182	0.331688732499545	0.361987940375885	0.523735326554185	0.445708165515892	0.520652549734483	0.279464617691505	0.609621573166065
"SRR39238475"	0.586049196120154	0.533871178872074	0.640503530076543	0.510461886953275	0.507358488453861	0.736591631825403	0.81422336803971	0.44136351707385	0.680921842367375	0.407995251974216	0.425838101631062	0.573456635186805	0.32263493089595	0.569198518087293	0.586402123596509	0.411903947193907	0.756189027723829	0.370863452982429	0.457050365957332	0.519418880533361	0.362240193291643	0.374336997234434	0.616512386492259	0.656681142148576	0.342560656580316	0.623273888666296	0.32263493089595	0.664446885151522	0.727837187466103	0.419942981410729	0.410492386859793	0.53414334451605	0.392149590453762	0.62248917973695	0.54171138378359	0.342576369096555	0.47504760520234	0.237767142206372	0.397819463763728	0.584371266548799	0.493730960111849	0.621506875957324	0.755073210943962	0.385367538030342	0.461137577113017	0.506998738149407	0.437213706486368	0.40786862506781	0.568166060091083	0.104739915900016	0.559094393470832	0.503723940299631	0.470918303731819	0.55610727738756	0.111355931525466	0.581941731367134	0.527039842895951	0.637993379314627	0.40101431924713	0.55610727738756	0.634685730539514	0.283100472443226	0.504984236674312	0.269962198935639	0.68346216577826	0.545133211537051	0.414898559731936	0.587299381649984	0.513035269587377	0.504227447498365	0.478384479236465	0.637081323200751	0.404374919438577	0.349316899440718	0.478384479236467	0.634189011761783	0.430081166332067	0.598555231620415	0.47523127912857	0.704493416220188
"SRR39238550"	0.761011529438956	0.53042833810579	0.625197464598126	0.479247415966362	0.387068925616965	0.619311309681064	0.738509102206606	0.432911704031138	0.751679767976493	0.352458377173047	0.425576818935507	0.49952545864089	0.309820399583517	0.425363392333417	0.436815496504651	0.389569880825251	0.673698679591943	0.297307704300271	0.480788205606723	0.388602091961576	0.285692005254737	0.471761647490492	0.739352657706397	0.571315657280462	0.349362949860737	0.612748260977929	0.309820399583518	0.603016643361894	0.613219208206549	0.254188099996245	0.306351819954928	0.340388920189965	0.423644344290197	0.598121526078702	0.519493970791429	0.238376945663996	0.352131467602247	0.448761666120283	0.197837951025676	0.477439852561578	0.39793606412919	0.608518650378857	0.661654059376696	0.275624430245901	0.295276435935847	0.509663501701761	0.40499530156745	0.455901373754927	0.502845177945082	0.28041773160462	0.523213017241555	0.381381395345249	0.377857796581487	0.491858026414877	0.327209679223515	0.536332320562502	0.510698256169589	0.496863356194253	0.367002130870419	0.491858026414876	0.482920730193448	0.283100472443226	0.400336789856235	0.434476296669189	0.678184044783067	0.487373824279698	0.296050265284368	0.495418350877288	0.41057359537978	0.494923597801007	0.436728583114688	0.529544175810795	0.294939640059046	0.332320325449968	0.43672858311469	0.513673335869123	0.456660850286268	0.58903845890971	0.348839483186673	0.653448724888336
"SRR39238474"	0.741887201583552	0.487655087492392	0.466755678991192	0.378855656070379	0.254573819762856	0.413758876788346	0.635261942210365	0.409929513603553	0.754141026313775	0.230257619130641	0.388903538768334	0.4395292607547	0.223013916320093	0.296915458306139	0.288734371027319	0.370031941627446	0.576326724751207	0.276390468764804	0.375516588558735	0.242125819639833	0.26225167925166	0.478940935507339	0.718817767366093	0.414511063250436	0.329316711245326	0.536538706470679	0.223013916320093	0.499561204286032	0.576347817750888	0.167696702167535	0.221270854937888	0.187058014445814	0.379900347646425	0.472871636478985	0.480564696476501	0.192046044494096	0.300042645393719	0.502474907499168	0.124817472083119	0.587303230843828	0.29204087995658	0.554734185915548	0.566730690670776	0.225593728651818	0.170928355343437	0.360625431131063	0.342337314150458	0.422175776452396	0.404513341252252	0.337775968643708	0.620523335053848	0.223627215231072	0.265431354572214	0.435036968061981	0.40791211072701	0.490094904862202	0.431713148142715	0.360401070541995	0.290588254621027	0.435036968061981	0.352649544747851	0.175899821256114	0.286521825752222	0.430893844506578	0.564326441638726	0.382990225656808	0.202257036543765	0.424035755030778	0.306036982640476	0.425830762174647	0.345786682112974	0.415505953177657	0.24275819558478	0.311987904607896	0.345786682112976	0.395248843812231	0.424891031157487	0.436588384651847	0.20825215849114	0.522871438956686
"SRR39238473"	0.509925062310544	0.388729240884597	0.594220508759821	0.354038175808009	0.333030685897221	0.536450036510364	0.665454632798728	0.421205098536239	0.581739658386951	0.135656996643785	0.322203985337195	0.382927751514018	0.128097471101903	0.42691931542573	0.316288156091605	0.319257261605371	0.45712268707138	0.264176404871645	0.440700714772217	0.347320103411296	0.24751441411176	0.33969826405032	0.644685640194396	0.431676095311927	0.222508607201875	0.441272744074209	0.128097471101903	0.444542753837032	0.473064240712919	0.25842807618464	0.330388180146606	0.313576720608571	0.303910488819718	0.549943091359415	0.523178727336128	0.23353191296296	0.330353217033297	0.351147838165287	0.231661401915739	0.406932989579007	0.313421332677633	0.571772586085797	0.467767321178261	0.256353724589282	0.299885310601252	0.471204283846474	0.292341829167306	0.324732910317581	0.409294598536391	0.192108597520827	0.354490134352621	0.312528013214203	0.293716837436002	0.421210300878413	0.247149762925422	0.518655387821877	0.463509430981693	0.45802976003023	0.230182932043716	0.421210300878413	0.41552800704374	0.0653570017433416	0.314983737474643	0.309561385652317	0.561724151323938	0.377225657744621	0.272951413912196	0.30989019761784	0.339047188929658	0.377321416418035	0.298220251902677	0.44406034211726	0.277511059076412	0.278093023313711	0.298220251902679	0.42602126346298	0.356629808286443	0.509189587532657	0.248632930982147	0.528807376904301
"SRR39238472"	0.320049544427731	0.382758193675007	0.492468218460337	0.354586061668255	0.27063307869952	0.44519179234015	0.601164337934139	0.420461154452021	0.535460016163592	0.282779457588568	0.275901848967499	0.325488720476937	0.229592275668419	0.30157080649778	0.306607969116756	0.297960945828862	0.34798457665709	0.224135688654195	0.36552274952758	0.276452077144458	0.218476344629127	0.294176483108028	0.46258397703366	0.365645747256899	0.263986050052782	0.384331836784067	0.229592275668419	0.395375614074001	0.353619867430465	0.19853725507518	0.285976512617302	0.226840223769088	0.271513780619639	0.448695132884864	0.347998249118409	0.195904811852922	0.307999287358962	0.187123987651701	0.170615049313315	0.288440565725035	0.258991631776325	0.542354880827173	0.346489353854723	0.215657370792798	0.23131008760859	0.380093041898911	0.108086560908887	0.289604824606538	0.376155133393621	0.0884791903695508	0.278827925969525	0.251167214729664	0.242701956291934	0.379096109067799	0.0820954672793443	0.380906154275851	0.412332679009982	0.377956772232964	0.232123253005863	0.379096109067799	0.330490798836762	0.252753801559498	0.258860758967833	0.139051489078352	0.484223736041425	0.355921176423075	0.219011388173197	0.252721548118764	0.284942368935249	0.324106852711623	0.315440859683087	0.374102344805418	0.23538317641939	0.257966185433809	0.315440859683088	0.347918370835046	0.306341160697689	0.422598011415286	0.25152567451957	0.458010732467704
