"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"ERR1624539"	0.342603248149878	0.242964182013034	0.188633288614622	0.21856396509138	0.194626142478448	0.214488264871678	0.122444071559511	0.263668150504608	0.197367854140716	0.237797786396983	0.19247525511455	0.214895420731588	0.283744766281272	0.218371031079279	0.166273769883994	0.203707085959215	0.236535425427841	0.129688714632623	0.242813976829472	0.155097221862589	0.123966939101009	0.159568577135224	0.149224745525083	0.170810235744358	0.110341921121557	0.16347070693203	0.160473576169594	0.113741399098696	0.112637026376962	0.205066036381212	0.263858021325435	0.0730504429482437	0.1455737450573	0.175192041600251	0.221271718662506	0.282473428233835	0.111824314911525	0.166337777000808	0.0832878171529175	0.32920627519178	0.312402679975	0.142964567827527	0.309599424575565	0.164527568521741	0.145203900549799	0.246903947967309	0.253898884335118	0.120906148746536	0.0773528945866734	0.177039837400153	0.178935304995119	0.300843452627465	0.213393772191432	0.131624379171335	0.351597182007116	0.0710776782915213	0.324032001620478	0.326404090386536	0.11068211770194	0.284142910606868	0.199387094679555	0.177632997837548	0.155665351966682	0.197321018200665	0.153668709897681	0.168193309947812	0.290673988840059	0.176773909421869	0.138046432570366	0.323764609824329	0.093647684042209	0.228830793352168	0.109528025545851	0.171225253951522	0.255935014078709	0.144536166427767	0.0909867606103901	0.159766401636763	0.246905929627878	0.138273591292002
"ERR1624542"	0.306533742175075	0.262892866950789	0.234019582646496	0.22347679009515	0.202221626218556	0.374518528674803	0.188173437545348	0.26507457177386	0.268498662523689	0.250077627318916	0.211474280312172	0.233879846016209	0.228156101194369	0.397950004695482	0.173993158550226	0.182930244388395	0.335052461634552	0.145730201842446	0.242813976829472	0.302312312856262	0.169682331868219	0.128457661439794	0.129374013120286	0.163749404780959	0.212112834113412	0.16347070693203	0.18719010026991	0.12326535988471	0.15982551539901	0.247745305327644	0.270095074110149	0.115592355219092	0.237401332689609	0.202920606548685	0.251714137162823	0.266756553795334	0.214263758552026	0.18849051455134	0.154161369046296	0.299206604840919	0.312402679975	0.247891171259165	0.371228332192898	0.191594014870631	0.157915377965719	0.258064123886545	0.255815421058395	0.142702054623205	0.11745466775936	0.252396336692199	0.288027537383254	0.253870528602326	0.220532902460867	0.142697695638922	0.454496759039457	0.131136635430536	0.322136002414524	0.327005017247326	0.203807642220682	0.226466484104793	0.247880042032667	0.172346525085633	0.201102371676693	0.156904035140008	0.16515217450935	0.172386739807381	0.256908974929268	0.214795788582432	0.127470401174099	0.310473667267041	0.137437389557133	0.370501986689705	0.151938355120927	0.407655419164724	0.348441560715807	0.249191755026956	0.145035187680991	0.259545274156226	0.223879799391352	0.152889423429854
"ERR1624545"	0.276216162695177	0.270659069440137	0.234019582646496	0.241134123857493	0.223368426674449	0.374518528674803	0.175985235088501	0.226269603896665	0.366184119618719	0.232283669331387	0.212314396068156	0.233879846016209	0.31801335674865	0.388110067597583	0.207033516762552	0.157494383059197	0.188432264086697	0.163056080246344	0.242813976829472	0.30478017060174	0.169682331868219	0.188830713389016	0.111857678942282	0.260906417131689	0.138809473509128	0.16347070693203	0.179479456947686	0.202161919014802	0.151726947599657	0.247745305327644	0.259093736854902	0.160125328602869	0.271686826100746	0.196135995687651	0.248795280603259	0.338071335713747	0.299792459641361	0.209479604632582	0.246387291893242	0.320648708325112	0.312402679975	0.303450013352458	0.335547288064532	0.188701783630801	0.135628042889323	0.257460426438774	0.255815421058395	0.162080246353759	0.140677668942314	0.234840183910002	0.36176125495213	0.226680982464643	0.228115334025168	0.166237899034092	0.41216487368419	0.167757528154194	0.351446280832633	0.327005017247326	0.127008902873812	0.178176287267464	0.221823695861334	0.155513182046713	0.230226808500542	0.104472115658728	0.139866783674792	0.137008238577854	0.29893940225521	0.214795788582432	0.22866370318291	0.299048101861928	0.124767047733826	0.252532650476046	0.164547496684418	0.385590789451405	0.30051779791645	0.332156026054703	0.143360771710773	0.213080666314458	0.201495552300711	0.17767803283776
"ERR1624547"	0.276216162695177	0.253208037374371	0.234019582646496	0.202342896076966	0.177494612847841	0.242519731605965	0.175985235088501	0.227568976033653	0.259362502347527	0.199943355806524	0.1304003476627	0.233879846016209	0.159051225818187	0.388110067597583	0.168961419606601	0.157494383059197	0.26811101883316	0.106061693407279	0.242813976829472	0.29918449009365	0.169682331868219	0.10488477436393	0.111857678942282	0.143381517320149	0.144279220990602	0.16347070693203	0.138989259124351	0.131945311893464	0.12578347993619	0.247745305327644	0.259093736854902	0.103306436369479	0.236809773956153	0.191111887567479	0.195400299608102	0.162321772501607	0.208573783185332	0.104837551651449	0.135126044072436	0.198448039252187	0.312402679975	0.216048198347055	0.335547288064532	0.147304371236942	0.107570256675444	0.158210014339114	0.255815421058395	0.0966065615894557	0.110367238980609	0.221838390744697	0.246855490604415	0.20642528909468	0.16837330176255	0.132537378918809	0.392482734107692	0.0907234521509196	0.321867351892356	0.327005017247326	0.145321497698865	0.159954334116428	0.208147477909762	0.121957733678769	0.156780087558856	0.0911092087332113	0.113511884214643	0.137008238577854	0.157844023885577	0.214795788582432	0.108935267670092	0.298879385949954	0.134560614327145	0.238841163891399	0.108584011739902	0.319154881176257	0.30051779791645	0.248287512209368	0.104954971619494	0.213080666314458	0.198547278264501	0.132791544693749
"ERR1624549"	0.335050009851939	0.256865718782425	0.234019582646496	0.210205020130065	0.186613834178584	0.521628969608337	0.199572755389645	0.449004229215327	0.299367130999317	0.293581693770197	0.306443805708674	0.476171064523315	0.250181617415197	0.487321091775876	0.179480693828634	0.240089229513953	0.439724063055835	0.358371680183418	0.389326204900099	0.300372623803581	0.406761843129922	0.380574779078965	0.22366440557169	0.223393675831019	0.238325278142544	0.16347070693203	0.348531495557521	0.124538678104442	0.168698228010685	0.40838143187081	0.280143427597442	0.135555563912033	0.690344611294835	0.442560840292825	0.288569249551223	0.219854659230744	0.484513934947619	0.242657604714568	0.173825111535966	0.289086834048938	0.361175223255954	0.221830155176657	0.413895157046001	0.306898754124613	0.321124751974232	0.332838902658388	0.271550726529709	0.146354599647866	0.30919547177024	0.575086053765588	0.253893638096353	0.331936685481264	0.294585254876373	0.162659316913163	0.504762971220492	0.173427896620907	0.405562620430166	0.327005017247326	0.2364959577833	0.485086686547756	0.296031901583933	0.292998153701749	0.354315011361923	0.3683913392973	0.245279235428535	0.323351330782648	0.229317873160908	0.393878844293739	0.246226828872095	0.451314311126065	0.432573434605841	0.440664603757306	0.155836823394782	0.365652510751514	0.62753921327853	0.295217894056474	0.222094742531921	0.491978238687762	0.245426261080059	0.18396425864517
"ERR1624550"	0.158863003685009	0.256159977023481	0.234019582646496	0.208676570927919	0.18483336953112	0.365472918203022	0.175985235088501	0.228930861675092	0.186933837832656	0.223721971132741	0.158240461258022	0.233879846016209	0.307903437637914	0.388110067597583	0.150302196453164	0.157494383059197	0.318502272664665	0.117582567994543	0.242813976829472	0.300144036494807	0.169682331868219	0.115156596103426	0.111857678942282	0.177634024675714	0.210228524701523	0.16347070693203	0.148662102501376	0.12411002993497	0.124979108368022	0.247745305327644	0.259093736854902	0.0905265776661247	0.162451938841035	0.192401729334764	0.218852711361008	0.154617186585357	0.227503436192293	0.139621829179374	0.177218018844134	0.213914000105044	0.312402679975	0.228515977217947	0.335547288064532	0.186572742319633	0.127280676717439	0.257460426438774	0.255815421058395	0.127469797305171	0.130465631195127	0.221801730616859	0.246729616622215	0.211212648919452	0.191173507269922	0.120785371257838	0.41216487368419	0.167757528154194	0.327233037896903	0.327005017247326	0.182297385818274	0.130981022782353	0.211127196966896	0.142148986056809	0.171999413809728	0.0944058063512289	0.130043086313289	0.137008238577854	0.161699992259915	0.214795788582432	0.157350722197448	0.298910545413747	0.14827393950211	0.305383918396285	0.117005890407168	0.387818479747794	0.240748590581784	0.262665271175685	0.14096863684495	0.19037831314948	0.199052738744205	0.113499239411353
"ERR1624552"	0.276216162695177	0.236703135343419	0.192822924540936	0.200520273253804	0.173919147816485	0.222536068192233	0.110706935875999	0.19382679206135	0.187606742898371	0.155860787831363	0.0921644664203788	0.21673074956802	0.142844825919094	0.26137467948445	0.178639878999796	0.149446447942112	0.190424148939497	0.0808742247443861	0.242813976829472	0.170388676681555	0.127987708100611	0.0999213724438294	0.110121035068546	0.143226190998694	0.0796817923254731	0.16347070693203	0.102936674671234	0.127820117289001	0.0795852007425366	0.211940797309924	0.242971400436529	0.0646347417447535	0.149585342669956	0.159537162414646	0.146578131779549	0.168556957373492	0.11395459097761	0.0710052464881052	0.0701402008186053	0.19360627901302	0.312402679975	0.133885509305367	0.251879865013208	0.0986364432761833	0.0704503188564573	0.0907003401808946	0.25408890763585	0.067633210854717	0.0858720288362674	0.157555116345821	0.173684665770817	0.210988760816508	0.120615787677649	0.11500301639275	0.298134086369918	0.0388593432147797	0.32110565456156	0.327005017247326	0.0684709872198082	0.140645768483076	0.139616924613677	0.094701492398056	0.141927263539116	0.0702456870909373	0.0762805662606607	0.10515889930348	0.164935491389414	0.180302213258381	0.0999780657826674	0.298874940878327	0.0949906165790319	0.11221971564571	0.068367586275827	0.159794130697681	0.18796971305523	0.147819065509754	0.0495954290301779	0.107376172335326	0.194329004058178	0.111694231067877
"ERR1624553"	0.329576191704496	0.252586180920122	0.234019582646496	0.201020988210246	0.175971066888431	0.300683477066739	0.197386087301354	0.293297467646086	0.254184651909439	0.281824727258195	0.260804048756889	0.233879846016209	0.248587786632944	0.600879598083991	0.168658133746309	0.203240352895896	0.500315866184399	0.178978053563006	0.242813976829472	0.298981637629452	0.169682331868219	0.198105005396982	0.143456001172721	0.215518351885912	0.179872179475369	0.16347070693203	0.216167335913106	0.146132647503533	0.157674899296709	0.247745305327644	0.278232879590865	0.111902423250963	0.228990454683557	0.210440810059709	0.253207786914151	0.178494948852197	0.245457489524343	0.201147847722473	0.189066726137503	0.481301507224509	0.312402679975	0.214994574881816	0.397967540440219	0.215295807340756	0.195044121415477	0.328091901238664	0.255815421058395	0.133326606049251	0.114349126842688	0.269353581458644	0.245561634897194	0.282789274959823	0.282003333084931	0.146960219951293	0.495593328144298	0.13624322697275	0.334087093226431	0.327005017247326	0.22511944713708	0.279389504328244	0.286702629142198	0.22102911485154	0.301170246959579	0.219151770613023	0.203638161164084	0.202232842626151	0.191101858343521	0.214795788582432	0.16767445297515	0.31908179472726	0.140605161106484	0.434033509319744	0.146722147610224	0.348002597686482	0.385196882449176	0.281969280727594	0.169319955619263	0.296996121795026	0.240200957490135	0.156681048043478
"ERR1624554"	0.377088394597401	0.265079827119541	0.234019582646496	0.228387136642969	0.208060486835261	0.75147605433391	0.197453444186415	0.558938464930249	0.283830906919127	0.455490486560602	0.431959680285905	0.506625719276038	0.580945551020376	0.494759819551486	0.218494570212165	0.238482310220681	0.495536781315867	0.427540335217409	0.441596565924198	0.30301075758926	0.439758834375262	0.380443324038604	0.229019462480659	0.296972530963357	0.318833873639536	0.16347070693203	0.383048843914277	0.150576880242348	0.179784256944252	0.428495264570257	0.278291848187748	0.260209001405635	0.79923002073213	0.614927588352447	0.504607085720658	0.317380277921129	0.555104735776211	0.457047802132952	0.344674710671964	0.351475902156607	0.628179103980139	0.255605272467336	0.408816311244684	0.488404722484031	0.545241598986824	0.570337292154637	0.273345745322805	0.333382692680139	0.458660231220974	0.71927203040371	0.280710901765164	0.550884187264801	0.435736865373194	0.178185012817042	0.517958059759798	0.525104217633058	0.422012740716886	0.327005017247326	0.47468335308647	0.584984141805116	0.447849810374451	0.418104660044223	0.474901072443755	0.399421580005074	0.478229483516886	0.451036421805396	0.419388464942527	0.440797414997471	0.495717807336054	0.63632616739184	0.547913194954611	0.582371757025813	0.295590397014416	0.438311693599146	0.712770132178025	0.313702709326445	0.515864292714438	0.660191238676625	0.242770527898481	0.247369295290918
"ERR1624555"	0.324625996216335	0.265349409497765	0.234019582646496	0.22899583892618	0.208786603776774	0.256282975113474	0.195408437174668	0.287708966800196	0.245213331531126	0.264655840356359	0.218649542616778	0.233879846016209	0.204204921618127	0.403598444111716	0.159302137507151	0.198806242797781	0.372143938166113	0.151245466949523	0.242813976829472	0.303096660596429	0.169682331868219	0.131110386318586	0.140373159539063	0.161167257718165	0.233294127501284	0.16347070693203	0.194838398078648	0.110665846893769	0.176627000898538	0.247745305327644	0.276498158126624	0.105599188820582	0.23085685421198	0.207216853346663	0.271415340218306	0.306101245709499	0.212755141051847	0.201506152204779	0.152146162632444	0.340337544266241	0.312402679975	0.255512204747028	0.392251675497652	0.200118201650955	0.175958924847999	0.274109949010429	0.255815421058395	0.152788754519952	0.101962412368593	0.248564036360278	0.281220589886233	0.273297323972979	0.247564254634549	0.13984621022492	0.481655831326101	0.122500172699853	0.322906013836254	0.327005017247326	0.230154346025519	0.261139377270334	0.273021342819992	0.197435979957079	0.204174133958208	0.197095460548181	0.184729354170514	0.19560974816095	0.297229973315308	0.214795788582432	0.108129435253452	0.317197871902658	0.136179984306155	0.390885749311389	0.173264003066943	0.407794098375958	0.377291859619812	0.251345232165653	0.151693828018433	0.288813715103356	0.23871807862944	0.149708268396199
