"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR5865065"	0.451925140504234	0.431356524888266	0.392334065072819	0.475253902958724	0.475841517119914	0.352674852614022	0.346819064507815	0.483035103994914	0.528537009985453	0.535752249644773	0.69274353389183	0.335974067302594	0.42069954283114	0.692157009680435	0.678450837596861	0.466101231779618	0.575452368592287	0.448658465296977	0.311214906131768	0.206038300561298	0.20961105325059	0.425952741252956	0.367245681809116	0.557507973310909	0.0868976950381418	0.618969205146103	0.605230626506891	0.379169805055986	0.331014135911202	0.312965972837025	0.478266081857414	0.394641006642536	0.379532424904128	0.69022465294295	0.479645657795169	0.492390388768288	0.245183476776056	0.59747902210309	0.535212027095641	0.784728108653649	0.361365947617942	0.447531027406369	0.681672612585846	0.430221935977385	0.369490002902746	0.619978794679057	0.574220353419201	0.446208466451407	0.892297460271783	0.849105205699095	0.488551867632019	0.461543868532586	0.551889866241101	0.467906687202829	0.701884209124818	0.402359463741464	0.490326789074356	0.52202143695036	0.270396234021398	0.438837322409041	0.372855819217046	0.630764727408496	0.529478416088037	0.500484397708758	0.407229452987142	0.29713406970695	0.509447422227217	0.548268988607637	0.342249897329386	0.314567348244636	0.821180683523558	0.46259223806756	0.377565139816568	0.241712157963094	0.283892914582574	0.346000065295229	0.332617801403745	0.253188791218173	0.447462660470332	0.503603384047482
"SRR5865066"	0.379152944112086	0.381620356194824	0.336331014657799	0.378108823139618	0.362527056796305	0.328138516564963	0.301563429297487	0.385867445419852	0.493542475281491	0.459929826504041	0.727134238891158	0.251085970711148	0.450313103044018	0.68310350625342	0.515257533461301	0.362055112417337	0.563855410932442	0.429014561555644	0.267108240554427	0.260573804434941	0.154535187332172	0.303085436184845	0.249436763176553	0.641848380938793	0.0954558542258465	0.400450671817086	0.53201742629966	0.321895993306391	0.297054183711732	0.258883596887091	0.421353791458242	0.305409374571491	0.230126193635616	0.456926110938397	0.42782696051985	0.354691448362377	0.294995750128322	0.56240866977848	0.516699203028627	0.694193748736686	0.378799006734334	0.415224486116849	0.600009435785609	0.358871386677325	0.314550828676596	0.61270322733396	0.454824468168939	0.342340370382833	0.768334029621441	0.665763161257924	0.448000858745066	0.443179959230232	0.544056612629148	0.373102233374706	0.696472392543506	0.306201565829843	0.459507704245781	0.479526132739239	0.265332031411076	0.348554497009109	0.372254432962134	0.508280062069626	0.560310568650831	0.403968021741423	0.371529634774892	0.250675318252005	0.389251161962481	0.36151195811931	0.295432073858903	0.338709336369519	0.45843946876267	0.505991453866464	0.321840791319559	0.313008282154165	0.285823425504533	0.424991189202203	0.272274085885252	0.250458696155572	0.381875355649746	0.40984549689567
"SRR5865067"	0.126313861151747	0.253319106992066	0.234019582646496	0.202579456567351	0.177767557452447	0.409519097912162	0.207487742895666	0.404666965414341	0.351835309349552	0.464895758220367	0.530959108710947	0.233879846016209	0.435848217403565	0.412739991598214	0.156239096993841	0.226480513070616	0.551172348308919	0.299504987220421	0.265377613677572	0.299220695126521	0.169682331868219	0.354281479399825	0.159701706626037	0.365260486188747	0.234427886284499	0.16347070693203	0.318347645034298	0.186216857879146	0.167172087357832	0.247745305327644	0.286995117087432	0.242850409068415	0.205890109715976	0.322181250297527	0.434693656680657	0.135599973977757	0.290445128007752	0.457000665903469	0.359384845353875	0.272953228758803	0.532506570077771	0.222758695963342	0.426900913763327	0.350808326248555	0.411588370873782	0.545748495776299	0.255815421058395	0.26759516107405	0.20912212799185	0.360702792109179	0.234510587689594	0.523672354038961	0.467678898856613	0.218305408783122	0.54890262307693	0.381383517462211	0.346665143192267	0.327005017247326	0.499282028557021	0.236527594119644	0.468646794769668	0.367983969593803	0.438325951917632	0.356906769151275	0.464945178948753	0.327850175118474	0.252621869878909	0.229096276361185	0.462117498257687	0.471725199992536	0.177219842774963	0.641104659154262	0.27682436716536	0.387800689897158	0.335734486921611	0.3141627335804	0.403788717032347	0.399022791654359	0.260699042747967	0.25819404995021
"SRR5865068"	0.155320815536426	0.245469221699215	0.201609382260298	0.20964875749599	0.184884055572521	0.490473756357893	0.149140440536616	0.407394604433711	0.249109631697936	0.3361151311168	0.452893412845376	0.369284824758044	0.328095452738127	0.589439509563356	0.169399557612366	0.23100232326631	0.523432803249283	0.376627039350592	0.3492904655143	0.204770088085945	0.264905860875988	0.441521443627407	0.200838831677063	0.483364082922753	0.161304939149632	0.159108958893979	0.320082966048639	0.158398898319625	0.21613656530159	0.31776258309769	0.27162551955902	0.12992644554524	0.356754798567713	0.389401440738893	0.318043929392626	0.25059586175587	0.430981738005331	0.31282515703947	0.268357361471418	0.546552965407587	0.458017709743958	0.204252978242497	0.355021886406234	0.282545352579839	0.322241162192275	0.354003351103774	0.264891044686545	0.193145626431032	0.575768201161323	0.444378503423382	0.244217979818402	0.447728756346263	0.392319662286501	0.167423492793647	0.455719075712433	0.170106019689143	0.423500350580047	0.327005017247326	0.238860871194398	0.315658111049799	0.318646454442119	0.334465958676413	0.480471856878878	0.336658120119652	0.298478159653252	0.302795299808783	0.249407518984046	0.302606013557695	0.347552647855439	0.486639727085913	0.286087978708693	0.374913415611419	0.210567392273382	0.257896875091859	0.372510575191334	0.311387681825086	0.215593221828806	0.325609541476139	0.25012634418811	0.188899565508229
"SRR5865069"	0.178542109173625	0.255337279590822	0.191559055661369	0.239622027186738	0.219967343586216	0.335327327959273	0.136138666027365	0.321090856603319	0.346767545147234	0.377786401056966	0.272701753281194	0.218504060760403	0.578376972025274	0.353103040933587	0.147349158554192	0.207696237560517	0.380389656923819	0.160584381446521	0.262937095807454	0.184250599719012	0.131953514263461	0.1717575790512	0.150998942083437	0.220100641941675	0.161377568256888	0.155455583241484	0.186784478507099	0.116708492477631	0.158524419143028	0.214872720528734	0.268154470389466	0.1671795977944	0.166469007925246	0.260044735045484	0.401160307093737	0.336065595375707	0.139316470128924	0.344643655932191	0.189755546844241	0.467571391652229	0.508330325562076	0.184681764067592	0.330757549983377	0.292972940587898	0.280387377893151	0.494105410206553	0.254271495653964	0.270574601487185	0.113252908236327	0.231412982364183	0.230549480659009	0.471701389425522	0.333956159961094	0.176859929244322	0.442467389219573	0.28272803080572	0.328226908627065	0.326880421410647	0.278545919718061	0.250475499060884	0.310428327844489	0.287161506426625	0.225151200526902	0.213422471880776	0.322777372630144	0.246559304826524	0.424409350533079	0.195117768536634	0.30600108504627	0.451655187651942	0.128988865719775	0.358719004762388	0.208607865052365	0.283275830376559	0.244658506154663	0.167997297476297	0.262255299172601	0.235373161116381	0.251396124281669	0.201588249201773
"SRR5865070"	0.136704410833556	0.247177876500763	0.215534284640668	0.204121592938862	0.178899512960343	0.505068947642637	0.195530950125524	0.407439847518156	0.299868429805175	0.337925378653426	0.41657511562496	0.330811180371368	0.358168561614116	0.610529735412903	0.221826176558548	0.226244339213534	0.472666713620668	0.347640479749671	0.319156320653873	0.237767108944428	0.240693211141478	0.410362666759592	0.185673902794518	0.515204449144128	0.137737966306383	0.16347070693203	0.327271602605566	0.241511940615381	0.194763158001571	0.30102677782376	0.275529923433787	0.133810772277082	0.300064543715979	0.380708596056624	0.347344686652376	0.162976513851521	0.421753857330685	0.286373154773385	0.299792015825621	0.53881364932316	0.469399349870892	0.257969248536489	0.428650194943523	0.327712674455915	0.334131482890407	0.418451818013342	0.262542814107052	0.210079700383864	0.49986110378312	0.366093749202142	0.283549233452686	0.420158338994708	0.421727212836955	0.172866395991272	0.483741546723127	0.205089989785397	0.407036813713551	0.327005017247326	0.20857076513509	0.279239092535951	0.336725103567101	0.357176278546985	0.423836832144319	0.348267017415032	0.303773189120319	0.31638306615839	0.242880863382667	0.280874078181073	0.3075762799807	0.475880251966388	0.239865262118171	0.427649395710358	0.237918288751668	0.298526734201977	0.349707947601157	0.380754315478973	0.2343682694711	0.321004255842157	0.249334097633605	0.189898358094548
"SRR5865071"	0.39552592815293	0.265825434036281	0.20238605147227	0.239806633944558	0.21894307501467	0.236420052714987	0.215617737825648	0.257623280735527	0.275895937674979	0.191209813250963	0.111095947991608	0.206815953200924	0.446790470219784	0.206954389233796	0.175463365198866	0.189802122952249	0.186023916623097	0.144069430497492	0.242813976829472	0.239376363362378	0.10727177023344	0.467726930843955	0.19066816079089	0.379995127304372	0.404804731133012	0.16347070693203	0.180250538777554	0.333274123996152	0.256040767923579	0.192210293486725	0.256629950329488	0.109338383832464	0.135069932220703	0.2158454634857	0.295248781709785	0.415924555724808	0.131683013617772	0.123841466013581	0.125959420158888	0.368439810440199	0.513683685452566	0.283581495525896	0.404387291019043	0.236466279723447	0.140313360054036	0.254168763552252	0.253049147622424	0.165001124045186	0.0690243696920988	0.149869238524239	0.42107818390429	0.322781459377052	0.259803711882808	0.255203445127122	0.327175720087364	0.0690515730861327	0.358703508204133	0.339318703597792	0.0891693820632165	0.288599755404666	0.181012806181811	0.234224876126824	0.157170077877473	0.156853859531908	0.153987478082907	0.244602334022973	0.493237878351189	0.161638598034939	0.370944189765209	0.520553593758378	0.091891965529045	0.124389253095318	0.16047044669922	0.486743069510439	0.170596117115723	0.34187817533387	0.0737581301344635	0.0905576323761668	0.252458306589903	0.192836013212449
"SRR5865072"	0.191696907657209	0.217601071155266	0.186190585093842	0.192531252503721	0.173633488590399	0.287433282990702	0.146789117457725	0.328739802670118	0.20416959797425	0.418020213938772	0.321974166366536	0.20227042129481	0.394113306649658	0.274005684437327	0.133499535270507	0.215834063022974	0.380228817757123	0.206517906453168	0.227102141847714	0.190256134719002	0.134150736632423	0.229927896603883	0.161552588600346	0.32156049012147	0.15714463948857	0.16347070693203	0.198657194406894	0.133423394130834	0.188419885547225	0.210155735212736	0.247992582084292	0.151958840212765	0.151659980535217	0.234757571488055	0.341382423215377	0.276891926348971	0.212043647669359	0.345535022186888	0.303812080148035	0.311632033010627	0.377555038097706	0.180288037965766	0.35250639049451	0.273535271378736	0.315330503847127	0.431011929287593	0.228083758727392	0.249501125212287	0.159303617568205	0.208575906823856	0.236675950601827	0.431538858498433	0.420053927107367	0.147633449857207	0.420075191173075	0.270327954820051	0.322648113266965	0.27180487632384	0.301373613187452	0.277949779626588	0.365685036223014	0.35279927102671	0.268628620598753	0.313703524780333	0.353837578248985	0.27103319191507	0.314199017932061	0.188506605040145	0.265986666743849	0.342234737472148	0.12649946305007	0.428608910818041	0.256087064684627	0.252838046009902	0.278244037818414	0.241606912872597	0.294745144963919	0.28054503153893	0.24951569190907	0.182657383342146
"SRR5865073"	0.124272216497765	0.238100456169266	0.189661018679434	0.201477532779581	0.175107028098999	0.406567725743943	0.127082333627708	0.30542821384964	0.328964505916046	0.372069186235798	0.322163345858366	0.217782045096883	0.533583128975852	0.280826749128671	0.165153877649206	0.187709142092027	0.340463648169902	0.197789513027521	0.268412359611999	0.177083157356749	0.130329200376229	0.349804238280486	0.136965114300438	0.41702514262591	0.0997368477837488	0.155064217760131	0.19140489939384	0.233874959720818	0.0940430282152323	0.214076867559936	0.259918235047165	0.19122683823347	0.153479059200956	0.277027382170285	0.352931013302583	0.115709269274845	0.211816542412472	0.299106086489993	0.297123828105525	0.208919932073917	0.56215077263926	0.150172459964825	0.303826157655762	0.265114251935323	0.264981002873331	0.408447097615663	0.254197272828334	0.203159953003707	0.146793751550368	0.255230978289706	0.190018996436566	0.490550717410556	0.373541924219164	0.195713046849781	0.409174042341524	0.274860570763758	0.362443701488407	0.327005017247326	0.259735641170222	0.177785278566441	0.322873935125713	0.280318596872515	0.285926207979739	0.170635324737092	0.318420620983417	0.229607429182285	0.236410348741721	0.19671311308292	0.543726386074728	0.477883361105414	0.135280199870863	0.320894507461697	0.171102522492239	0.210648710691545	0.198048952120287	0.237800647020655	0.253195760467664	0.208837011403245	0.230132101269118	0.214932851965457
"SRR5865074"	0.160812029022985	0.243565282265946	0.194597894636811	0.211488002090851	0.186749490715971	0.301690017985169	0.133547175942771	0.274561649788767	0.262702124542115	0.287988153258327	0.301220596768508	0.218850174454589	0.314699341329197	0.531367331227126	0.169288102796034	0.196069231779834	0.429731028552736	0.21017191671309	0.251010632410088	0.18328785109364	0.132736847819115	0.377162384917273	0.142609659386337	0.399685951006752	0.117230811347192	0.158797672748086	0.209423204259331	0.221860858605488	0.120955852801678	0.215397088992611	0.264003039729883	0.114023662683662	0.130940567935006	0.213954629959159	0.261864288071411	0.187974082960551	0.216588499579496	0.246025537523969	0.20779821253518	0.587144041508207	0.389661376279699	0.168420218865172	0.318638386270505	0.193618180346845	0.189263045326925	0.293802302989419	0.254307018354635	0.140910459681689	0.120818840820179	0.225125262543447	0.20938446441911	0.368882577979736	0.310779161318814	0.169114344425356	0.400350020243075	0.117256575917665	0.363052167077282	0.326847112379746	0.173615204770535	0.188399735150503	0.257580413047448	0.229612838868338	0.319074397663913	0.19753264804645	0.213378562386088	0.189106447248622	0.239041229875824	0.189073133720602	0.371498172888816	0.370192970590177	0.114024473164161	0.281045345086956	0.142904882661968	0.221510895582058	0.208424800410196	0.249565275260596	0.138020265173831	0.174497168101139	0.2383739220428	0.172568061589242
