"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR13357893"	0.276216162695177	0.290985419706456	0.234019582646496	0.29001241001673	0.283770680840962	0.238928201194845	0.175985235088501	0.22784696040176	0.350693572237129	0.24444371027538	0.30687221263524	0.233879846016209	0.31801335674865	0.388110067597583	0.252080414941543	0.157494383059197	0.1874491206042	0.214594765802748	0.242813976829472	0.311088087030536	0.169682331868219	0.268589047203404	0.111857678942282	0.308466713741015	0.246134018886992	0.16347070693203	0.229759186068265	0.259540057296007	0.185662684824107	0.247745305327644	0.259093736854902	0.191269956129637	0.280021906543717	0.2013678746104	0.293245872022546	0.600778874058537	0.294127515643609	0.340781447535717	0.252257039535009	0.486117146621032	0.312402679975	0.392976306585429	0.335547288064532	0.191599007348308	0.147873989021368	0.257460426438774	0.255815421058395	0.220158223659196	0.182323845660377	0.277063042160834	0.475214458450078	0.249160673219115	0.228115334025168	0.186588165793618	0.41216487368419	0.167757528154194	0.351446280832633	0.327005017247326	0.161517336927967	0.178176287267464	0.221813479319468	0.155513182046713	0.291418007931664	0.119862358128385	0.154404130401098	0.137008238577854	0.516041402947503	0.214795788582432	0.3300843826028	0.299048101861928	0.12456623891454	0.223153158286816	0.228448196297911	0.488725600644297	0.30051779791645	0.332156026054703	0.146710283661226	0.213080666314458	0.20482135254141	0.209416650149472
"SRR13358121"	0.276216162695177	0.290985419706456	0.234019582646496	0.29001241001673	0.283770680840962	0.374518528674803	0.175985235088501	0.227838854311981	0.366184119618719	0.24444371027538	0.30687221263524	0.233879846016209	0.31801335674865	0.388110067597583	0.252080414941543	0.157494383059197	0.187244933209848	0.214594765802748	0.242813976829472	0.311088087030536	0.169682331868219	0.268589047203404	0.111857678942282	0.308379348299859	0.245759411054751	0.16347070693203	0.229759186068265	0.259540057296007	0.185662684824107	0.247745305327644	0.259093736854902	0.191269956129637	0.280021906543717	0.2013678746104	0.293245872022546	0.600778874058537	0.299792459641361	0.340781447535717	0.252257039535009	0.486117146621032	0.312402679975	0.392976306585429	0.335547288064532	0.191599007348308	0.147873989021368	0.257460426438774	0.255815421058395	0.220158223659196	0.182271584590451	0.276977189171441	0.475214458450078	0.249160673219115	0.228115334025168	0.186588165793618	0.41216487368419	0.167757528154194	0.351446280832633	0.327005017247326	0.161351535681965	0.178176287267464	0.221811352340673	0.155513182046713	0.291418007931664	0.119862358128385	0.154404130401098	0.137008238577854	0.516041402947503	0.214795788582432	0.3300843826028	0.299048101861928	0.124524466634882	0.251979984867125	0.228448196297911	0.510714963349377	0.30051779791645	0.332156026054703	0.146710283661226	0.213080666314458	0.20482135254141	0.209416650149472
"SRR13358010"	0.309246177720771	0.262829236688999	0.195702010481179	0.259072685696191	0.243499436792747	0.43018444777791	0.114742842677369	0.249146873626203	0.306668388353138	0.244735531482088	0.0972862040907929	0.217980865983565	0.398939757123621	0.269885438526466	0.16985202846102	0.15003624793205	0.174454858580782	0.0836694168622628	0.262977895410884	0.184055379537161	0.130775168916294	0.25487731670666	0.110250057260009	0.225398555299127	0.130474395912355	0.16347070693203	0.0888334554393507	0.286330175581493	0.110102361604574	0.214481755736122	0.244152926903983	0.13139575961769	0.224782243152477	0.227566303423503	0.318930954743377	0.466999093499128	0.188713202416321	0.15246904416588	0.206012590426333	0.381657502710288	0.508736313979717	0.232198074787845	0.257634461968155	0.182500067528201	0.132191904705668	0.217904989563709	0.254217727765226	0.213957790896228	0.0899210288091315	0.17280340064618	0.31719528901224	0.33645851776351	0.235219315934452	0.15164129275679	0.32467691099734	0.164132238735481	0.352761358869971	0.327005017247326	0.142126526299848	0.186358887326225	0.235437436704846	0.162524138133849	0.136589982593895	0.0705277004242941	0.153990160573786	0.152115733993523	0.496696317283646	0.194074509962687	0.43781107032703	0.422711237134182	0.110558925438099	0.176284739895625	0.196290301081949	0.269425565772938	0.236233302708415	0.216808886198187	0.141417110873878	0.174150251270668	0.198926870710573	0.150547242161805
"SRR13357899"	0.289283776635325	0.290985419706456	0.234019582646496	0.29001241001673	0.283770680840962	0.331639580662454	0.175985235088501	0.256635106519327	0.358126002017126	0.261132935035284	0.200466804733344	0.233879846016209	0.349684925568564	0.388110067597583	0.20011818193071	0.157494383059197	0.397057177638122	0.151309448930921	0.250824416678907	0.311088087030536	0.169682331868219	0.260784684960774	0.111857678942282	0.316263193085416	0.590598992078767	0.16347070693203	0.165165409995542	0.268074651197816	0.185662684824107	0.247745305327644	0.259093736854902	0.179754097742782	0.293458909772274	0.224021461179962	0.341947979104965	0.604754502367247	0.300540944076855	0.276576565365962	0.279712806905285	0.486117146621032	0.387844740004641	0.392976306585429	0.335547288064532	0.213557035372838	0.158757352523804	0.280299071998978	0.255815421058395	0.257363933377815	0.171249776563244	0.306713156848376	0.475214458450078	0.276022724667145	0.256240255890993	0.174357580648274	0.41216487368419	0.215122477986824	0.351976808258017	0.327005017247326	0.375047514505285	0.188947849682545	0.261882602616803	0.171615386245394	0.229312161211568	0.10274958415701	0.171232778658573	0.157270325999662	0.556492690072253	0.219893495521276	0.367272930725225	0.346648386570068	0.168334095004825	0.338458420292579	0.266646543577427	0.63368813131564	0.321580061791809	0.332156026054703	0.182365745945792	0.248921437559706	0.20482135254141	0.183885681843775
"SRR13357647"	0.276216162695177	0.244758363964791	0.131881961412715	0.277043717295273	0.262559508752263	0.119019865637305	0.0528864110300087	0.125419973864258	0.199128404707126	0.122373633043639	0.0609244777380892	0.192971466649331	0.31801335674865	0.0948437012683957	0.193511116520439	0.138121452718976	0.0500933246761434	0.0628807848926795	0.242813976829472	0.0642891898108998	0.0823746904566429	0.260743472263069	0.107585101211861	0.248263976123266	0.046398009231363	0.143672929055513	0.0645078865176233	0.252450580460221	0.0584941288042588	0.162430300789263	0.220309753389807	0.0493503960881424	0.0885860123114807	0.120571385446874	0.149955902082697	0.485103886519149	0.0596767101186972	0.0831005118670713	0.0504539034827658	0.348162255489677	0.312402679975	0.127706835864671	0.155671113182151	0.0773241808701467	0.0423166822636393	0.0816414536254241	0.251538613906355	0.0904810264458701	0.0649443264889229	0.0896661304996343	0.214078107939476	0.221633274042999	0.105972572551605	0.123138811031466	0.154918919990952	0.0237297084968824	0.351446280832633	0.326193941929258	0.0241336193409444	0.134736661242683	0.0691498589334575	0.0778024735439441	0.0740523836596397	0.0357226183522288	0.0484642711488231	0.0699155328053928	0.470145053368702	0.137266740111336	0.31403338882844	0.299048101861928	0.0578020630819316	0.0207600039186441	0.063132641696398	0.0899800391878306	0.0845675970432641	0.093440657575796	0.0238501267626629	0.0347899949362538	0.193759026636866	0.101933491287159
"SRR13358145"	0.175321670262323	0.125021569430644	0.0948459231199509	0.125172158069018	0.116404206401466	0.0250462407728035	0.0576520399875897	0.0335656266014207	0.090862046533859	0.0854960786449043	0.0250231979880193	0.124648248637725	0.0662981310827857	0.0532664496658016	0.105862704788172	0.103263619211118	0.0185659976501781	0.031856398843092	0.115443388275487	0.0701579441615397	0.0867099496432101	0.0880081496240317	0.094116056614286	0.0422547500479026	0.020719573443015	0.111945410995435	0.0341875565213338	0.110108930392069	0.0518081270719622	0.122547769312308	0.131380164553785	0.0498103187808977	0.0722410951431959	0.0438049984955242	0.035120484222093	0.0968919036422502	0.0337448377804821	0.0364020799383957	0.0334764990122397	0.0742147636852148	0.0265465435286398	0.0715349661770262	0.0931733425873797	0.0417601550833111	0.0240078915331064	0.0284255319083878	0.153946131611219	0.035406394152155	0.0509811302424388	0.0308163250889743	0.106979199579391	0.0428674038685727	0.0393559811989546	0.0620574546185824	0.0548080515418118	0.0273066161802845	0.137559630677238	0.135366022723907	0.0132434665438965	0.0790370077106987	0.0318706562598024	0.041074097221042	0.0291915846061975	0.0262532435717249	0.023824883157232	0.041987177484043	0.0696727555785984	0.110529093935407	0.0882121069579921	0.0344618217894863	0.0577560229066615	0.0083832841919749	0.0278998908677493	0.0555638856112682	0.0589753007010923	0.054758463791973	0.0270449130727037	0.0276331067582723	0.133089142003967	0.056601729551466
"SRR13357892"	0.229329840012667	0.198060524591384	0.160831172846803	0.193563820888176	0.181494249716617	0.150956093749859	0.0967548513099248	0.127665593929729	0.204414191995303	0.175945011905384	0.132110077806448	0.182368428708553	0.173181266813974	0.186423932563909	0.200674609115135	0.1299731449906	0.0971347994320509	0.108023812314014	0.179520636590867	0.14766452453785	0.118051763004831	0.17476182447216	0.103500712147726	0.157640048402266	0.098108016764842	0.16347070693203	0.113285340399541	0.186232596268893	0.0898973679094251	0.190084535885683	0.192746797520655	0.108911589749714	0.146673771767563	0.10429138382075	0.110507752249993	0.319350122489014	0.0992908382614343	0.14030878053503	0.101278825675811	0.257553591629149	0.120774127780403	0.162651874658791	0.220154663324489	0.0920876873888128	0.0685234391466544	0.0935283759526681	0.20734334900262	0.0927433565879479	0.115725056509514	0.115340838242915	0.249330634004139	0.130736206181267	0.104934582138945	0.121462373354168	0.200067152510274	0.0635845176763509	0.26867401712254	0.231173533217277	0.0496737723843839	0.123259065476135	0.0991046835490721	0.0952009991685101	0.123834389560527	0.0772410076846721	0.0678283948268438	0.077558988281564	0.227630908071665	0.155014494615313	0.203465446790166	0.129335394972449	0.0808412683129542	0.0680584409272885	0.0853421352237186	0.192008125038976	0.141480760826116	0.142023056247612	0.0603262291601062	0.0760975482602907	0.16923501203031	0.134914888278771
"SRR13357761"	0.145835789508353	0.170015539262799	0.118649084324429	0.186163335920629	0.181952926895392	0.0585125479198493	0.0725723967313037	0.0682128348925672	0.137335447952698	0.138914753626359	0.0438980602785614	0.157468980434953	0.109243055777776	0.120693922274002	0.117921391807571	0.116150371952717	0.0362012842496222	0.0486247803722039	0.146468052107071	0.103471585731997	0.0994307001993497	0.122754699564763	0.098841565725453	0.0719227088502001	0.0408588903743048	0.138086729742889	0.0522983205263639	0.131922175320141	0.0774995791999672	0.165475447825084	0.160435345763034	0.0612421450926173	0.0838665448899198	0.0671582856896999	0.0746165440425855	0.277057563478528	0.054344782724067	0.0741913427390713	0.0594960678648647	0.191439279459539	0.0603458556690794	0.13913325093547	0.176412197687349	0.0623817467711139	0.0365955524683424	0.0514018095069137	0.18056148796173	0.0717681226386321	0.0601982126771137	0.0467638628832472	0.241825130402697	0.0760720638559863	0.0662120872049276	0.0828315388591291	0.124885124429214	0.0397398370193927	0.222977708790719	0.181422648472739	0.0224096034371712	0.0822682485718189	0.05230335508713	0.0725760226385299	0.0506108977526735	0.0356735028125897	0.0373303959485581	0.0567560720844673	0.21313202009235	0.130172983600781	0.131598297526583	0.0706068566017028	0.0640163123690112	0.0179826989199734	0.0603530325991647	0.155722715907195	0.0801008758645728	0.0869315043302003	0.0380981555467691	0.0412685322941331	0.153095516955347	0.0739883983636082
"SRR13357693"	0.164192981386152	0.290985419706456	0.224491047970205	0.29001241001673	0.283770680840962	0.375671317648577	0.175985235088501	0.257290702567323	0.35942142632361	0.325290801138307	0.350715724429333	0.233879846016209	0.378485773155524	0.388110067597583	0.225827426686993	0.157494383059197	0.312694923305796	0.222586552726621	0.261106610122012	0.311088087030536	0.169682331868219	0.258472943088342	0.111857678942282	0.387718909551931	0.395876504922114	0.150982490171785	0.229759186068265	0.254512892407538	0.177992613410145	0.247745305327644	0.259093736854902	0.254869030540529	0.261055506366522	0.273931422000699	0.407902223301041	0.479021975407581	0.305681895492842	0.42873296881112	0.337148472368203	0.414569709753131	0.490070373783204	0.390779243573118	0.335547288064532	0.243577936464698	0.213037550384759	0.310594523589855	0.255815421058395	0.294684499236757	0.237009829513182	0.359495300841178	0.461169787881663	0.378909858461006	0.294543798519743	0.19945595720778	0.41216487368419	0.287144023901321	0.352642071158215	0.327005017247326	0.400308761360466	0.143681443767162	0.295835803701209	0.193621488960725	0.338974540477985	0.108017321199444	0.254192221041169	0.186018544920445	0.546717653445988	0.226402682751742	0.439712050236598	0.410810939504894	0.173244559057239	0.309044884660853	0.297407181917461	0.610744730061754	0.274326287251072	0.332156026054703	0.250910150078714	0.266296543345637	0.20482135254141	0.231038218315973
"SRR13357682"	0.276216162695177	0.274338159125077	0.198075338484796	0.285462289398187	0.276278646522349	0.252557116923962	0.118130437270537	0.199366128275069	0.30047172227195	0.199385396123852	0.22218975942834	0.219004800683218	0.31801335674865	0.276958194599988	0.252080414941543	0.150518940222302	0.159135733787377	0.163940891642485	0.242813976829472	0.193278803145851	0.133087783317935	0.268589047203404	0.110355436692922	0.311984424088945	0.189655950357397	0.16347070693203	0.171446362333804	0.259540057296007	0.126692692913964	0.21657151736568	0.245119922968571	0.133536631171933	0.196672469190003	0.171587252434717	0.235579186534759	0.597329015978124	0.185756172370315	0.249376660794256	0.156444608844857	0.471575353641478	0.312402679975	0.278536108861456	0.2623933194735	0.14171069033155	0.103833659954564	0.177631596891104	0.254322876100293	0.169650104610773	0.147742892612447	0.211577318197136	0.384847070001035	0.249160673219115	0.177022079258694	0.168643974169543	0.330156084802428	0.0880899956626223	0.351446280832633	0.327005017247326	0.09755246554466	0.161943913766798	0.158644947420339	0.128355189924373	0.212398502219592	0.0934029922443851	0.109994971804853	0.109064675207935	0.516041402947503	0.184719177666155	0.3300843826028	0.299048101861928	0.0969662232004756	0.128934943030602	0.158081850777339	0.326618201490958	0.201123139520223	0.223440898162865	0.0811656023384081	0.118400831682896	0.200922381690858	0.181288894468228
